	"56.Elutriation2:Sample2:Time3.5hrs"	"497.Heat Shock 000 minutes"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"684.YP fructose vs reference pool"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"
"YMR215W"	1.057	0.545	-0.617	-0.869	0.36	-3.881	-1.933	-3.705	-4.406	-1.984	-2.601	-3.639	-2.081	-3.365	-2.939	-2.956	-3.467	0.391	0.067	-2.702	0.223	0.147	-2.122
"YMR235C"	0.162	0.788	-0.246	-0.676	0.603	-1.783	-1.785	-3.534	-5.187	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.196	-0.11	-1.782	0.123	-0.02	0.207
"YMR237W"	0.218	-0.122	-0.064	-0.136	0.189	-0.894	-1.08	-2.955	-4.233	-0.21	-0.509	-0.68	-0.651	-0.65	-1.452	-1.947	-2.335	-0.281	-0.065	-0.828	-0.061	-0.126	-0.065
"YNL001W"	-0.423	0.911	-0.086	-0.297	0.048	-1.065	-0.887	-1.318	-3.241	-0.606	-0.717	-1.239	-1.24	-1.077	-1.116	-1.395	-1.761	-0.103	-0.043	-0.914	-0.106	0.115	-0.784
"YNL002C"	-0.319	1.243	-0.589	-0.698	-0.06	-1.951	-2.475	-2.73	-3.468	-2.59	-2.178	-2.177	-1.856	-2.186	-2.277	-2.592	-2.588	-0.059	-0.226	-1.942	-0.019	-0.071	-0.89
"YNL009W"	0.334	-0.415	-0.366	-0.375	-0.222	3.931	2.976	3.672	5.794	1.965	2.771	2.567	2.625	2.456	4.699	4.803	3.897	-0.046	-0.017	2.142	0.47	0.374	1.589
"YNL066W"	-0.487	0.949	-0.17	-0.582	0.503	-4.141	-3.125	-4.175	-5.451	-1.078	-2.475	-3.648	-2.162	-2.812	-2.02	-3.425	-3.757	-0.196	0.078	-3.3795	-0.045	-0.05	-1.723
"YNL079C"	0.533	0.307	0.912	0.958	0.302	-0.891	-1.362	-2.802	-4.703	-0.148	-1.01	-0.652	-0.764	-0.464	-1.383	-2.486	-3.23	-0.054	0.25	-1.2105	-0.034	0.311	-1.073
"YNL084C"	-0.111	0.234	0.461	0.247	-0.174	-0.498	-1.408	-1.945	-3.396	-0.235	-0.477	-0.802	-0.53	-0.673	-1.386	-1.735	-1.919	-0.007	0.116	-0.09	0.142	0.087	0.694
"YNL085W"	0.109	0.171	0.774	-0.178	0.427	-0.67	-0.991	-2.342	-5.369	-1.277	-1.365	-1.115	-1.668	-1.484	-2.001	-2.706	-3.291	0.203	-0.366	-0.946	-0.463	-0.511	-1.251
"YNL096C"	0.043	1.017	-0.286	-0.913	0.236	-2.81	-3.616	-4.038	-6.106	-3.045	-2.761	-3.165	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	0.169	-2.8625	0.115	0.04	-2.243
"YNL130C"	-0.011	-0.04	0.415	0.099	0.176	-1.04	-1.728	-1.94	-2.872	-1.353	-1.383	-1.463	-0.874	-0.669	-0.934	-1.411	-1.614	0.054	0.122	-0.314	-0.064	-0.004	-0.139
"YNL132W"	-0.15	1.008	-1.277	-1.487	0.226	-2.572	-3.653	-4.956	-6.392	-3.141	-2.521	-2.512	-2.799	-2.936	-3.396	-4.377	-4.049	-0.079	-0.156	-1.281	-0.001	0.148	2.403
"YNL141W"	-0.481	1.551	-0.606	-0.679	0.856	-3.426	-3.35	-3.37	-4.776	-2.936	-1.598	-2.614	-2.886	-3.361	-3.883	-3.946	-3.935	-0.281	-0.258	-2.6235	0.326	-0.001	-1.105
"YNL162W"	0.316	1.123	0.111	-0.209	0.555	-2.175	-2.163	-2.858	-6.425	-2.872	-2.421	-2.763	-2.0	-2.0	-1.742	-2.487	-3.468	-0.03	0.3	-1.852	0.268	0.288	-2.539
"YNL178W"	0.706	1.181	-0.187	-0.926	0.679	-1.857	-3.159	-4.338	-6.62	-3.307	-3.272	-3.183	-2.899	-2.981	-2.958	-3.483	-3.871	0.438	0.117	-2.479	0.88	0.949	-1.387
"YNL220W"	-0.043	0.243	-0.83	-0.7	0.669	-1.92	-1.445	-3.758	-6.09	-0.4	-0.66	-1.475	-0.618	-1.771	-1.724	-2.555	-3.197	0.111	0.294	-1.597	0.316	0.368	0.546
"YNL248C"	-0.277	1.117	-0.828	-1.118	-0.089	-2.794	-3.857	-4.575	-5.215	-3.014	-1.941	-3.947	-2.444	-2.924	-2.98	-3.902	-3.609	0.124	0.027	-2.53	0.097	0.268	-1.477
"YNL256W"	-0.056	0.788	-0.424	-0.587	-0.009	-1.376	-1.049	-2.448	-3.668	-0.452	0.397	1.222	-1.334	-1.45	-2.464	-3.25	-3.112	0.179	-0.138	-0.721	0.099	0.023	-0.657
"YNL287W"	0.131	0.134	0.079	0.989	-0.261	-0.596	0.067	-2.621	-3.454	-0.783	-1.098	-1.915	-0.779	-1.013	-2.186	-2.841	-3.164	0.041	-0.004	-0.624	-0.439	-0.62	0.688
"YOR243C"	-0.217	1.203	-0.864	-1.091	0.204	-1.6015	-2.2855	-3.3625	-4.3935	-2.1815	-1.6325	-2.414	-2.179	-2.726	-2.865	-4.484	-3.863	-0.005	-0.109	-1.712	0.086	0.118	-0.53
"YOR253W"	-0.207	0.448	0.208	-0.063	0.388	-1.575	-1.759	-2.7935	-5.157	-1.475	-1.538	-2.16	-1.139	-1.299	-1.872	-2.672	-2.633	-0.146	0.181	-0.978	0.248	0.301	-0.478
"YOR277C"	-0.045	0.737	-0.019	-0.124	0.376	-1.713	-2.0645	-3.25	-4.571	-1.802	-2.148	-1.8895	-1.464	-2.047	-1.978	-2.103	-2.211	-0.271	0.108	-1.884	0.099	0.056	-1.008
"YOR309C"	-0.234	0.423	-0.615	-0.974	0.134	-3.75	-3.942	-4.234	-6.859	-3.9105	-3.8235	-2.194	-3.704	-4.353	-4.746	-5.449	-5.009	0.043	0.089	-3.451	-0.085	0.043	-1.43
"YOR323C"	0.239	0.575	-0.268	-0.6	0.329	-1.941	-2.0305	-4.2845	-6.434	-2.061	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	0.153	0.227	-1.603	0.142	0.093	-1.189
"YOR369C"	0.729	1.029	-0.084	-0.71	0.865	-2.805	-3.7395	-3.724	-6.5475	-3.6415	-3.752	-3.809	-2.858	-2.986	-2.456	-2.662	-3.502	0.217	0.27	-2.309	0.95	0.753	-1.674
"YPL028W"	0.548	0.515	-0.943	0.097	0.502	-1.3315	-1.7105	-3.482	-5.5385	-1.1795	-1.9625	-2.1645	-1.336	-1.006	-1.692	-2.17	-2.948	-0.256	0.225	-1.486	-0.201	-0.121	-0.964
"YPL037C"	0.515	0.835	0.011	-0.129	0.421	-1.975	-2.12	-3.9955	-5.417	-1.4435	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	-0.106	0.237	-1.648	0.499	0.4	0.677
"YPL079W"	-0.037	0.688	-0.373	-0.49	0.576	-2.3565	-2.6495	-3.892	-6.4765	-3.172	-3.0255	-3.112	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	0.143	-1.673	0.284	0.34	-1.236
"YPL081W"	0.246	0.427	-0.379	-0.793	0.27	-2.508	-3.086	-3.4025	-6.801	-2.916	-2.428	-2.3315	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	0.171	-1.844	0.145	0.101	-1.349
"YPL094C"	0.586	0.436	0.154	-0.022	0.22	-1.14	-1.143	-3.0415	-5.3055	-1.1815	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	-0.303	-0.205	-0.981	-0.104	-0.114	-1.387
"YPL178W"	0.324	0.895	0.0565	-0.139	0.385	-0.866	-0.909	-2.0395	-3.2495	-0.131	-0.3965	-0.2915	-1.104	-1.052	-1.535	-1.511	-1.922	0.044	0.165	-0.741	0.11	0.068	-0.426
"YPL198W"	0.534	1.284	0.0595	-0.7555	0.574	-2.218	-2.395	-4.3605	-6.879	-3.3185	-3.022	-2.766	-2.227	-2.449	-2.487	NaN	-3.133	-0.237	0.079	-1.633	0.352	0.283	-0.946
"YPL220W"	0.49	1.277	0.3395	-0.519	0.745	-2.1715	-2.2495	-3.187	-6.1465	-3.442	-3.3935	-2.852	-2.548	-2.639	-2.247	-2.571	-3.926	0.081	0.236	-1.925	0.448	0.378	-1.129
"YPL237W"	0.125	0.905	0.359	0.1355	0.152	-2.029	-2.27	-2.875	-5.7585	-1.39	-1.8945	-2.2035	-1.817	-1.927	-2.006	-2.44	-3.024	0.071	0.179	-1.537	0.093	0.116	-1.201
"YPL243W"	-0.417	0.625	0.1135	-0.1885	-0.198	-1.456	-1.5805	-4.1455	-5.276	-1.0065	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.062	0.174	-1.188	0.019	0.072	-1.151
"YPR010C"	-0.55	0.823	-0.515666666666667	-0.581333333333333	0.3005	-1.582	-1.21766666666667	-1.86833333333333	-3.425	-2.13833333333333	-1.50933333333333	-1.37666666666667	-1.8945	-1.5645	-1.852	-2.158	-2.729	-0.0985	-0.2815	-0.491	-0.116	0.083	-0.592
"YPR080W"	1.0	0.842	0.3185	0.3315	0.297	-1.771	-2.584	-2.848	-5.6305	-2.144	-2.5835	-2.8585	-1.197	-1.321	-1.689	-2.389	-3.139	-0.11	0.408	-1.681	0.583	0.42	-0.029
"YPR102C"	0.4	1.367	-0.4395	-0.92	0.609	-2.7315	-2.6455	-4.045	-6.451	-4.118	-3.673	-3.277	-2.723	-3.232	-3.352	-3.749	-4.692	0.219	0.435	-2.384	0.446	0.519	-2.297
"YPR118W"	0.106	1.07	-0.4405	-0.59	0.364	-2.706	-3.095	-3.9965	-5.524	-2.5375	-2.305	-2.577	-2.594	-2.077	-2.882	-3.334	-3.538	0.036	-0.027	-1.794	0.023	-0.046	0.959
"YPR125W"	0.249	0.523	-0.472	-0.1795	-0.101	-0.6235	-0.68	-1.846	-4.04	-1.0545	-1.462	-1.3575	-0.602	-0.532	-1.108	-1.757	-2.566	0.0	0.204	-0.622	-0.108	-0.049	-1.017
"YPR163C"	1.131	1.032	0.078	-0.187	0.21	-1.8375	-0.93	-2.9485	-5.4905	-2.469	-2.6395	-2.0525	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	-0.192	-2.145	-0.247	-0.331	-1.509
"YPR187W"	0.334	1.237	-0.2935	-0.5385	0.536	-1.511	-1.4365	-3.609	-5.408	-2.232	-2.16	-1.962	-1.816	-2.016	-2.28	-2.584	-3.22	-0.039	-0.181	-1.604	0.111	0.022	-0.786
