	"53.Elutriation2:Sample2:Time2.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12744.heat shock 17 to 37, 20 minutes"	"15180.Ca 15min (2)"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34360.batch 02X25 4"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YLL008W"	0.543	-0.405	-2.364	-4.973	-4.981	-1.744	-2.133	-3.751	-4.808	-4.019	0.828	0.601	0.91	-0.136	-3.718	-3.309	-5.659	-3.126	-2.364	0.21	-3.473	0.116	-0.544	-0.383	-0.432	-0.182	-0.626	-1.104	-2.724	0.585	0.404	0.049	-4.642	-3.343	-1.778	-0.273	-4.08	-2.614	-2.378	-1.915	-3.042	-2.072	-1.757	-1.789	-1.826	-3.002	-2.689
"YLL023C"	0.221	-0.26	1.094	2.164	2.068	1.316	0.719	1.571	2.334	2.261	-0.435	-0.526	-0.682	0.279	1.186	1.312	3.606	1.039	1.64	-0.583	2.958	0.02	0.2	0.012	-0.177	0.337	0.489	1.86	2.428	0.235	0.214	0.445	2.488	1.236	-0.011	0.237	1.699	1.277	1.678	2.0	3.532	2.303	1.679	3.09	2.328	3.197	2.523
"YLR009W"	1.207	0.032	-2.705	-4.735	-4.564	-1.981	-1.697	-2.897	-4.204	-3.864	1.074	1.035	0.872	0.458	-2.25	-2.132	-4.675	-2.78	-2.737	0.44	-3.455	0.188	0.139	-0.266	-0.5	-0.226	-0.605	-2.176	-2.802	0.905	0.662	0.362	-4.344	-2.849	-0.777	-0.066	-3.436	-1.875	-1.829	-2.229	-3.361	-1.953	-2.04	-2.074	-2.601	-2.653	-2.19
"YLR175W"	0.563	0.088	-4.217	-4.176	-3.679	-2.134	-1.829	-3.07	-4.552	-4.902	1.215	1.304	1.12	0.137	-2.338	-2.257	-5.607	-3.43	-3.996	0.234	-4.678	0.018	-0.166	-0.186	-0.209	0.163	-0.329	-1.896	-2.188	0.892	0.937	0.316	-4.431	-2.519	-1.861	-1.479	-4.177	-1.884	-3.986	-3.995	-4.338	-2.959	-2.713	-3.796	-2.978	-2.879	-2.89
"YLR196W"	0.371	-0.142	-4.71	-5.425	-5.04	-1.973	-2.108	-3.221	-4.896	-4.532	1.483	1.407	1.059	-0.022	-2.562	-2.364	-5.083	-2.118	-2.858	0.242	-4.378	-0.053	-0.219	-0.273	-0.291	0.082	-0.278	-1.581	-2.793	0.766	0.517	0.147	-5.097	-2.435	-1.113	-1.896	-3.697	-2.702	-2.671	-2.901	-3.658	-2.412	-2.247	-2.053	-1.579	-1.62	-1.73
"YLR197W"	0.626	0.144	-3.755	-4.98	-4.044	-2.606	-1.636	-3.638	-4.76	-5.179	1.23	1.252	1.224	-0.227	-2.263	-2.63	-5.817	-3.387	-3.899	0.168	-5.671	0.069	-0.412	-0.107	-0.238	0.049	-0.229	-1.423	-2.28	0.748	0.742	0.576	-5.072	-2.659	-0.933	-2.105	-4.496	-2.603	-4.151	-4.983	-4.545	-3.045	-3.015	-3.736	-2.647	-2.994	-2.559
"YLR198C"	1.197	0.548	-2.631	-4.57	-4.694	-2.132	-1.876	-3.371	-4.643	-4.805	0.626	0.538	0.338	-0.492	-1.942	-2.411	-5.143	-3.057	-3.471	0.35	-5.282	0.025	-0.206	-0.031	0.207	0.186	-0.031	-1.384	-2.026	0.787	0.499	0.343	-4.143	-3.258	-0.353	-1.448	-3.4	-2.256	-1.816	-2.271	-3.761	-2.805	-2.448	-3.254	-2.449	-2.231	-2.734
"YLR251W"	-0.956	-0.711	3.436	3.829	3.611	1.665	2.099	2.862	3.682	3.696	-2.372	-2.679	-1.765	-0.605	1.8	1.474	3.169	2.154	1.778	-0.888	2.36	-0.187	0.048	0.298	0.435	0.241	0.903	3.116	3.251	-1.082	-1.119	-0.635	4.136	3.449	0.963	1.013	1.438	0.998	2.533	1.305	2.615	1.701	2.449	2.426	2.229	2.663	2.431
"YLR252W"	-0.353	-0.227	3.536	3.483	2.704	1.238	2.289	2.656	3.133	3.23	-2.496	-2.284	-1.811	-0.899	2.042	2.041	2.929	1.905	1.742	-0.778	1.93	-0.283	0.13	0.322	0.071	0.138	0.972	3.59	3.319	-1.158	-0.862	-0.755	3.837	2.994	1.178	1.075	0.776	-0.155	1.859	1.494	3.058	2.007	2.792	2.319	2.691	3.61	2.018
"YLR270W"	-0.745	-0.089	2.619	2.816	2.659	2.141	1.375	2.515	2.627	2.718	-1.191	-1.215	-1.155	-0.297	2.388	2.215	3.652	1.834	2.081	-0.774	3.081	-0.17	0.147	0.045	0.04	0.449	0.908	2.369	3.79	-0.467	-0.527	-0.141	3.272	2.949	0.558	0.147	2.407	1.611	2.518	2.699	3.716	2.802	1.847	2.484	2.768	3.381	3.198
"YLR276C"	0.418	-0.249	-3.536	-4.199	-3.855	-2.573	-2.196	-3.331	-3.732	-4.143	1.132	1.168	0.994	-0.014	-2.616	-1.884	-4.467	-2.381	-2.386	0.212	-3.49	-0.097	-0.094	-0.023	-0.3	-0.208	-0.596	-1.433	-2.531	0.752	0.834	0.253	-2.51	-2.416	-1.044	-0.394	-4.014	-2.707	-2.803	-2.141	-3.838	-1.145	-2.228	-1.986	-2.272	-1.937	-1.878
"YLR356W"	-0.315	0.089	2.147	2.487	1.967	2.031	1.419	1.848	2.234	2.179	-1.222	-1.105	-0.95	0.099	1.802	1.761	4.015	1.522	2.083	-0.857	1.792	-0.163	0.26	0.281	0.199	0.296	0.49	1.112	1.868	-0.65	-0.766	-0.29	2.688	2.031	-0.775	0.405	2.01	1.412	2.033	2.523	3.571	2.324	1.953	3.044	1.624	2.572	1.603
"YML004C"	-0.61	-0.725	2.069	2.415	2.252	1.737	1.078	1.902	2.217	2.599	-0.856	-0.816	-0.678	-0.059	1.5	1.659	1.393	1.379	1.844	-0.339	1.918	-0.136	0.026	-0.236	0.194	-0.106	0.751	1.539	2.667	-0.401	-0.317	-0.261	2.787	2.316	1.443	1.381	2.326	2.024	1.396	2.317	2.385	1.744	2.464	2.657	2.194	2.854	2.584
"YMR110C"	-0.896	-0.592	2.134	2.615	2.414	0.622	1.848	2.26	2.565	2.824	-0.955	-1.172	-0.793	-0.606	1.437	1.559	3.925	2.145	2.473	-0.511	4.042	-0.179	-0.363	0.194	0.193	-0.246	0.397	1.814	1.966	-0.351	-0.806	-0.258	2.675	1.888	0.938	1.158	2.545	1.675	1.23	3.97	3.64	3.462	2.152	2.785	2.488	2.47	2.932
"YMR131C"	1.156	0.277	-3.068	-4.819	-4.183	-2.431	-1.969	-3.849	-4.525	-4.347	1.141	0.906	0.972	0.181	-2.255	-2.188	-5.631	-3.153	-3.547	0.305	-4.277	-0.125	-0.279	-0.019	-0.049	0.12	-0.375	-1.198	-3.012	0.791	0.774	0.656	-4.674	-2.228	-1.451	-1.47	-3.866	-3.136	-3.736	-1.412	-4.181	-2.68	-2.03	-2.124	-2.149	-3.389	-2.21
"YMR139W"	-0.769	-0.158	1.536	1.925	1.824	0.515	1.164	1.541	2.023	1.993	-0.851	-0.797	-0.929	-0.579	1.406	1.151	3.263	1.441	2.003	-0.362	2.543	-0.039	0.054	0.275	0.199	0.098	0.496	1.477	1.653	-0.727	-0.322	0.306	1.885	1.912	0.866	1.109	1.96	1.325	1.497	2.121	2.001	1.737	0.932	1.872	1.399	1.752	1.655
"YMR217W"	0.998	0.008	-1.41	-2.517	-3.444	NaN	-1.729	-2.705	-2.964	-3.238	1.251	1.158	1.301	0.403	-2.637	-3.402	-5.293	-2.699	-3.48	0.181	-4.287	0.087	0.0	-0.26	-0.163	-0.204	0.127	-1.314	-2.654	0.959	1.092	0.5	-3.402	-2.975	-1.506	-1.414	-4.738	-3.101	-3.741	-3.621	-4.222	-3.421	-2.783	-3.089	-2.497	-3.239	-3.146
"YMR290C"	0.797	0.03	-2.333	-3.64	-3.689	-2.627	-1.56	-2.957	-3.89	-3.624	0.988	1.028	1.098	0.061	-2.545	-2.5	-5.132	-3.458	-3.243	0.078	-4.614	0.132	-0.121	-0.241	-0.227	0.063	-0.567	-1.658	-2.885	0.92	1.215	0.354	-4.129	-2.513	0.848	0.235	-4.343	-3.775	-3.98	-4.028	-4.544	-3.558	-2.21	-3.084	-1.701	-1.911	-2.141
"YMR297W"	-0.522	-0.747	1.527	2.292	1.743	2.22	1.284	1.826	2.33	2.581	-0.881	-0.924	-0.679	0.751	1.242	1.784	1.899	0.806	1.645	-0.677	2.818	0.144	-0.034	0.161	0.176	-0.166	0.268	0.783	1.074	-0.371	-0.64	-0.17	2.628	1.354	0.187	0.428	1.918	1.343	1.078	2.025	2.004	2.188	1.342	2.801	2.053	2.522	2.512
"YNL002C"	1.103	-0.599	-3.547	-4.666	-4.07	-1.784	-2.094	-3.305	-4.559	-4.222	1.243	1.183	1.119	-0.305	-2.627	-2.564	-5.196	-2.839	-3.072	0.539	-3.426	-0.152	-0.25	-0.227	-0.191	0.023	-0.693	-1.829	-2.774	0.991	0.91	0.378	-4.603	-2.612	-0.388	-1.123	-3.481	-2.594	-3.245	-2.92	-4.466	-2.41	-2.619	-1.768	-2.083	-1.86	-1.552
"YNL060C"	0.317	-0.124	-1.731	-2.662	-3.546	-1.721	-1.567	-2.78	-3.921	-3.668	0.647	0.9	0.795	-0.101	-2.747	-2.318	-5.032	-2.061	-2.119	0.187	-2.933	0.093	-0.347	-0.892	-0.948	-0.069	-0.568	-1.347	-2.555	0.538	0.753	-0.031	-4.389	-3.038	-0.577	-0.075	-3.38	-2.089	-2.13	-1.761	-3.208	-2.173	-1.632	-1.811	-2.189	-2.301	-2.106
"YNL062C"	0.458	-0.157	-2.043	-3.459	-2.934	-1.18	-0.927	-2.143	-3.093	-2.844	1.074	0.899	0.774	0.356	-1.917	-1.508	-4.157	-2.538	-2.304	0.032	-2.028	0.077	-0.249	-0.362	-0.452	-0.198	-0.336	-1.131	-1.772	0.552	1.182	0.669	-2.71	-1.999	1.147	-0.306	-4.112	-2.584	-2.778	-2.698	-2.838	-2.509	-1.431	-0.771	-1.693	-1.255	-1.669
"YNL075W"	0.572	-0.369	-2.664	-3.86	-3.164	-2.073	-1.324	-2.558	-3.304	-2.768	1.178	1.226	0.992	0.238	-2.078	-1.5	-4.782	-2.433	-3.095	0.263	-2.149	-0.096	-0.041	-0.037	-0.027	0.024	-0.15	-1.308	-1.85	1.056	0.989	0.146	-3.301	-2.281	-1.194	-0.848	-2.935	-2.361	-2.748	-2.459	-3.779	-2.192	-1.93	-2.099	-2.202	-2.141	-1.961
"YNL110C"	0.917	0.098	-3.468	-4.43	-3.64	-2.443	-1.669	-3.768	-4.56	-4.991	1.332	1.1	1.189	-0.538	-2.66	-2.463	-5.108	-1.641	-2.565	0.367	-4.151	-0.179	-0.326	-0.456	-0.665	-0.14	-0.977	-1.665	-3.662	-0.052	0.492	0.0	-5.064	-2.308	-0.732	-0.335	-4.907	-3.471	-3.973	-3.18	-4.747	-2.546	-2.002	-1.619	-2.512	-2.299	-1.758
"YNL132W"	0.534	-0.281	-2.988	-4.679	-5.146	-2.394	-2.972	-3.658	-3.329	-4.954	1.008	0.683	0.542	0.113	-2.754	-3.143	-5.826	-3.883	-3.285	-0.045	-4.353	-0.072	-0.55	-0.275	-0.486	0.067	-0.705	-2.042	-2.468	0.708	0.612	0.447	-3.45	-2.637	-0.256	0.384	-4.311	-2.617	-3.564	-2.994	-3.989	-2.673	-2.269	-1.684	-2.333	-1.182	-2.393
"YNL151C"	0.418	0.265	-1.51	-2.707	-2.055	-1.601	-1.162	-2.682	-2.835	-2.667	1.0	1.215	0.756	0.354	-1.236	-1.273	-1.688	-1.45	-1.523	0.256	-1.317	-0.104	0.036	-0.333	-0.533	0.142	-0.153	-1.232	-1.545	0.824	0.878	0.569	-3.201	-1.731	-0.939	-0.236	-2.152	-1.745	-2.456	-3.305	-3.425	-2.373	-1.217	-1.674	-0.94	-1.302	-0.945
"YNL200C"	-1.131	-0.339	3.958	4.143	3.376	3.204	2.855	3.17	3.269	3.585	-1.755	-2.308	-1.611	-0.818	1.816	2.286	4.582	1.214	2.15	-1.251	3.003	-0.028	-0.032	0.113	0.112	-0.028	-0.253	1.124	1.733	-1.436	-1.322	-0.693	4.124	2.548	0.996	0.737	1.738	1.505	2.293	4.514	4.527	4.165	2.591	3.367	2.392	3.19	2.592
"YNL305C"	0.032	-0.099	2.702	2.659	2.292	1.429	1.664	1.962	2.585	2.924	-1.292	-1.639	-1.302	-0.406	1.496	1.692	1.558	0.556	1.664	-0.787	2.762	-0.115	-0.06	0.315	0.428	0.1	0.224	0.756	2.037	-0.814	-0.789	-0.086	3.11	2.186	-1.308	0.501	1.802	1.922	2.439	2.416	2.226	1.702	1.842	2.676	1.85	1.888	1.686
"YOL010W"	0.475	-0.234	-2.371	-2.972	-3.252	-1.282	-2.023	-2.711	-2.999	-2.174	1.238	1.089	0.7325	0.592	-2.246	-1.822	-2.573	-2.945	-2.6505	0.1	-3.125	-0.006	-0.166	-0.354	-0.549	0.175	-0.838	-2.518	-2.621	0.552	0.525	-0.00949999999999998	-2.479	-1.572	-1.296	0.201	-3.167	-2.1035	-3.1535	-2.953	-3.9135	-2.207	-1.751	-1.838	-1.93	-2.0995	-2.087
"YOL022C"	0.519	0.021	-1.069	-2.578	-2.43	-1.397	-1.05	-2.344	-2.29	-2.301	0.934	0.777	0.4675	0.26	-1.744	-1.669	-1.8955	-1.7425	-2.0495	0.266	-1.88	0.134	-0.389	-0.209	0.054	-0.123	0.092	-0.94	-1.85	0.812	0.6285	0.408	-2.13	-0.999	-1.294	-0.283	-2.882	-2.184	-3.424	-2.213	-2.775	-1.991	-1.398	-0.767	-1.025	-0.808	-0.966
"YOL077C"	1.019	0.034	-4.404	-5.439	-5.04	-2.828	-2.032	-4.336	-5.22	-4.28	1.476	1.273	-0.096	0.844	-2.83	-2.938	-5.186	-2.1355	-4.174	0.413	-3.705	0.035	0.035	-0.135	-0.169	0.019	-0.499	-1.535	-3.287	-0.032	0.48	0.684	-4.7	-3.346	-1.214	-2.367	-4.969	-3.866	-4.679	-2.855	-5.145	-2.894	-2.897	-2.759	-2.418	-2.762	-2.379
"YOL124C"	0.316	-0.229	-3.477	-5.367	-5.101	-2.355	-1.608	-3.858	-4.247	-3.145	1.183	1.328	0.892	0.342	-2.33	-1.693	-1.6095	-1.895	-1.787	0.32	-3.058	-0.199	-0.21	-0.319	-0.617	0.537	-0.248	-2.134	-2.345	0.868	0.198	-0.2705	-4.313	-2.137	-0.623	-0.533	-3.978	-2.981	-4.404	-3.721	-4.431	-2.893	-2.538	-2.112	-1.839	-2.538	-1.826
"YOR052C"	-0.114	0.08	3.429	2.928	3.124	1.507	1.964	2.471	3.237	3.288	-1.924	-1.85	-1.902	0.1335	2.571	2.168	3.063	2.315	1.688	0.076	2.054	-0.303	0.38	0.146	0.056	0.038	1.437	3.015	2.173	-0.454	-1.559	0.478	3.265	1.896	0.786	-0.218	3.6	2.616	2.538	0.84	2.334	1.072	2.281	1.937	2.347	3.077	2.462
"YOR120W"	-0.306	-0.142	2.674	3.611	3.535	2.348	2.124	3.086	3.797	4.06	-1.663	-2.142	-2.109	-0.7155	2.94	2.947	1.576	2.906	3.563	-0.857	3.214	0.009	-0.209	-0.215	-0.316	0.271	1.082	2.352	1.749	-0.6295	-0.916	-0.706	4.078	2.249	1.428	0.358	3.207	2.666	3.005	3.606	3.403	3.666	3.144	2.993	3.206	3.86	3.542
"YOR206W"	0.784	0.237	-3.294	-5.087	-3.702	-2.15	-1.66	-3.585	-5.083	-4.513	1.184	1.088	0.951	-0.0775	-2.894	-2.77	-5.827	-2.919	-3.1625	0.218	-3.888	-0.064	-0.422	-0.104	-0.314	0.139	-0.889	-1.355	-3.65	0.5695	0.9085	0.334	-5.066	-3.013	-1.236	-0.898	-3.839	-2.816	-4.003	-3.193	-4.817	-2.585	-2.166	-2.49	-2.558	-2.475	-2.141
"YOR243C"	0.267	-0.107	-3.173	-3.594	-3.234	-2.239	-0.62	-2.436	-3.633	-3.982	1.203	1.139	1.2455	0.268	-1.985	-1.827	-3.8055	-1.9265	-2.588	0.146	-3.635	0.092	-0.275	-0.075	-0.193	0.213	-0.516	-1.763	-1.872	0.6185	0.7605	0.6085	-4.099	-1.815	-1.685	-1.238	-2.845	-1.727	-2.616	-1.759	-2.825	-2.065	-1.862	-1.997	-1.778	-3.197	-1.962
"YOR272W"	0.758	0.105	-2.564	NaN	-3.645	-2.034	-2.152	-3.098	-2.566	1.0	1.2	1.356	0.9675	-0.032	-2.627	-2.516	-4.8145	-2.841	-3.033	0.373	-3.311	0.006	-0.253	-0.046	-0.062	0.184	-0.237	-1.104	-1.261	1.0365	0.9705	0.3365	-2.217	-3.661	-0.419	-1.407	-3.187	-3.082	-2.816	-1.487	-3.502	-2.158	-1.678	-2.384	-1.962	-2.482	-2.122
"YOR285W"	-0.646	-0.376	2.196	2.249	1.793	2.245	1.225	1.979	2.258	2.284	-0.862	-0.776	-0.5465	0.0915	-1.0	2.435	2.2335	1.14	1.9255	-0.153	2.58	0.362	-0.052	0.03	0.064	-0.384	-0.366	1.051	1.245	-0.1485	-0.5435	-0.0615	2.865	1.919	-0.057	1.234	1.95	1.785	2.469	3.117	2.663	3.422	1.527	0.901	0.837	1.653	0.407
"YOR310C"	1.092	0.244	-4.866	-5.053	-4.365	-2.174	-2.299	-3.309	-4.639	-3.004	1.211	1.223	1.0465	0.1095	-2.348	-2.686	-6.006	-3.101	-3.766	0.498	-5.777	-0.06	-0.106	0.011	-0.395	0.415	-0.225	-1.969	-2.449	1.276	1.051	0.5145	-4.948	-3.489	-1.735	-2.262	-4.326	-3.006	-4.099	-4.564	-5.14	-4.292	-3.033	-3.229	-2.639	-2.241	-2.539
"YPL154C"	-0.241	-0.187	1.807	2.195	1.961	1.426	1.192	1.899	2.149	2.103	-1.277	-0.7325	-0.799	0.1995	2.029	2.4185	2.41	1.5985	1.221	-0.774	2.873	0.246	0.025	0.342	0.399	0.215	0.216	1.04	2.871	-0.6485	-0.947	-0.751	2.081	1.83	0.267	0.619	2.935	2.389	2.972	1.986	2.234	2.194	1.407	1.776	1.66	2.211	1.667
"YPL226W"	0.716	-0.02	-3.629	-3.457	-3.002	-1.42	-1.6735	-2.4945	-3.229	-4.183	0.7565	0.906666666666667	0.858	0.375666666666667	-1.99	-1.997	-4.86566666666667	-2.472	-3.37333333333333	0.122	-4.0095	0.1885	0.187	-0.24	-0.0935	0.0015	-0.652	-1.8515	-1.907	0.789333333333333	0.748	0.288333333333333	-3.215	-2.5885	-1.1055	-0.594	-3.076	-2.041	-3.793	-2.657	-3.811	-3.004	-1.952	-2.123	-1.494	-1.763	-1.471
"YPR163C"	0.475	0.034	-1.554	-2.552	-2.832	-1.926	-1.119	-2.415	-3.276	-3.939	1.032	1.048	1.063	-0.0395	-1.102	-1.6565	-3.6815	-2.1035	-2.5635	0.082	-3.136	-0.189	-0.159	0.274	-0.006	-0.396	-0.02	-1.13	-2.045	0.7575	0.562	0.456	-3.572	-1.381	0.242	-1.413	-3.015	-1.939	-2.373	-3.506	-3.575	-2.873	-1.488	-1.861	-1.475	-1.728	-1.088
