	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1107.alpha factor release sample025"	"1661.1 mM Menadione (50 min)redo"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8235.dtt 480 min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"
"YPL146C"	-3.196	-2.458	-0.984	-2.143	-3.003	-3.135	-2.239	-3.5085	-1.4725	-2.007	-1.641	-0.322	-0.321	-0.418	-0.48	-3.297	-1.982	-0.188	-0.338	-1.278	-0.965	-1.027	-1.125	-0.3145	-0.25	-3.416	0.068
"YPL238C"	-2.231	-1.665	-0.55	-2.064	-2.04	-1.979	-1.898	-4.788	-0.7425	-1.551	-1.391	0.908	0.71	0.623	0.541	-2.451	-1.817	-0.02	0.262	-1.2	-1.017	-0.865	-1.297	-0.273	0.323	-2.123	0.212
"YPL265W"	2.479	1.984	0.654	2.133	1.938	2.102	2.341	-1.1765	2.119	1.6165	1.619	0.854	-0.05	0.106	0.503	2.373	1.916	-0.267	0.235	0.656	0.234	0.846	0.949	-0.166	-0.107	2.727	0.237
"YPL266W"	-3.981	-3.222	-1.233	-2.968	-3.585	-3.063	-4.1135	-3.1595	-2.162	-3.267	-2.3995	-0.382	-0.44	0.233	-0.101	-2.099	-1.926	0.045	0.038	-2.134	-2.032	-2.001	-2.596	-0.076	-0.551	-3.636	-0.422
"YPR047W"	1.379	1.455	1.036	1.11	1.493	1.163	2.9395	-1.4475	1.0285	1.354	0.9965	0.821	0.199	0.143	0.064	0.588	0.378	-0.432	0.041	0.971	0.861	1.046	0.975	-0.412	0.15	1.152	0.036
"YPR081C"	1.29	1.161	0.816	1.218	1.082	1.198	0.4375	-0.8155	0.7175	0.266	0.4695	0.691	0.373	0.002	0.356	1.193	0.75	-0.523	0.107	0.414	0.385	0.312	0.231	0.2165	-0.178	1.315	0.074
"YPR102C"	-2.11	-2.298	-0.565	-2.206	-3.37	-4.232	-3.521	-6.451	-1.9585	-3.5055	-4.118	-0.427	0.263	-0.051	-0.165	-4.644	-2.495	0.174	-0.405	-2.388	-1.826	-2.23	-2.126	0.0725	0.03	-3.007	0.125
"YPR110C"	-3.178	-3.084	-1.163	-2.507	-3.52	-3.728	-5.7185	-6.318	-2.6255	-3.01	-3.296	-0.703	0.14	0.008	-0.41	-3.88	-2.186	-0.038	-0.128	-2.308	-1.703	-2.158	-2.174	0.23	-0.258	-3.168	0.331
"YPR143W"	-3.07	-2.179	-0.801	-2.433	-3.115	-2.963	-1.922	-3.332	-1.4065	-2.0935	-1.4905	-0.425	0.114	-0.157	-0.431	-2.489	-1.527	-0.017	-0.238	-1.404	-1.302	-1.163	-1.721	-0.2625	0.21	-3.674	-0.454
"YPR163C"	-2.552	-2.832	-1.119	-2.415	-3.276	-3.939	-3.6815	-5.4905	-2.1035	-2.5635	-2.469	-2.092	-0.935	-0.947	-1.026	-3.136	-2.003	-0.189	-1.143	-2.045	-1.884	-1.688	-1.806	-0.317	0.49	-3.572	-0.462
