	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"33779.delYPL230w_stationary_phase_5hours"
"YJL188C"	-1.789	-1.645	-1.9795	-2.06	-2.5615	0.031	-1.1625	-2.075	-1.392	-0.502	-0.672	-0.523	-2.525	-2.39	-2.043	-2.786	-4.633	-2.442	-2.24	-2.745	-0.199	0.017	-0.001	-0.346	-0.85	-0.598	0.284	0.142	-1.518	-1.135	-1.4	-0.657	-0.147	-0.077	-0.353	-2.649	-0.136	-2.777
"YJR063W"	-2.675	-2.1255	-2.576	-2.555	-2.2705	-0.375	-0.733	-1.634	-1.035	-1.153	-0.993	-0.608	-3.233	-2.702	-2.518	-2.37	-3.68	-2.039	-1.586	-2.243	-0.057	0.019	0.057	-0.38	-0.722	-0.584	-0.044	-0.181	-1.804	-1.476	-1.422	-0.571	-0.14	-0.411	-0.2275	-3.415	-0.239	-2.958
"YJR070C"	-4.6905	-4.824	-3.895	-4.828	-4.332	-0.331	-1.134	-2.253	-1.098	-2.577	-1.538	-0.712	-5.317	-3.975	-3.514	-3.511	-7.226	-3.689	-3.471	-2.777	-0.132	-0.067	-0.189	-0.694	-0.862	-0.886	-0.208	-0.447	-2.306	-2.616	-3.193	-0.858	-0.5145	-0.4815	-0.235	-4.7655	0.338	-3.754
"YKL180W"	-1.731	-1.947	-2.16	-2.81	-3.531	-0.267	-1.763	-2.553	-1.948	-1.169	-1.02	-0.838	-2.661	-2.738	-2.549	-2.561	-5.237	-2.195	-2.625	-3.204	-0.014	0.469	0.535	-0.169	-0.42	-0.213	0.449	0.479	-2.003	-1.883	-1.742	-0.342	0.12	0.101	0.009	-3.37	0.072	-3.071
"YKL189W"	0.673	0.554	0.874	0.607	0.317	-0.186	0.307	1.031	0.451	0.664	0.73	0.534	1.449	0.764	1.243	1.632	-1.718	0.445	0.167	0.651	0.241	-0.314	0.045	0.189	0.092	0.079	-0.241	-0.053	0.988	0.67	0.809	-0.194	-0.03	0.0	0.066	0.569	-0.317	2.109
"YKR024C"	-3.382	-3.489	-2.212	-3.285	-2.848	-0.189	-0.648	-1.625	-0.518	-2.27	-1.873	-1.588	-4.227	-2.481	-2.732	-1.784	NaN	-2.358	-2.262	-2.227	0.162	0.155	-0.061	-1.194	-1.358	-1.206	-0.494	-0.1	-2.204	-1.791	-1.689	-1.396	-0.268	-0.47	0.0	-3.49	0.165	-2.389
"YKR056W"	-4.01	-3.872	-2.945	-3.217	-3.127	-0.19	-1.013	-1.683	-1.237	-2.101	-1.554	-1.038	-4.495	-2.575	-2.343	-3.298	-4.34	-2.352	-2.379	-1.808	0.069	-0.129	-0.101	-0.447	1.144	-0.548	-0.336	-0.18	-2.896	-3.105	-2.539	-0.601	-0.114	-0.444	0.076	-3.682	-0.387	-3.056
"YKR060W"	-2.755	-2.43	-1.512	-2.593	-2.337	0.105	-0.653	-1.355	-0.947	-1.31	-1.2	-0.868	-3.243	-2.165	-2.05	-3.218	-3.796	-1.826	-2.014	-1.723	0.008	-0.05	0.018	-0.849	-0.702	-0.765	-0.493	-0.403	-1.044	-1.186	-1.483	-0.792	0.022	-0.3	0.079	-2.833	-0.409	-2.055
"YLL008W"	-4.973	-4.981	-3.751	-4.808	-4.019	-0.302	-1.147	-2.387	-1.409	-3.309	-2.293	-1.589	-5.659	-3.509	-3.627	-2.899	-6.113	-3.126	-2.364	-2.55	0.249	-0.01	-0.182	-0.87	-0.943	-0.705	0.175	-0.175	-2.724	-2.071	-2.458	-0.737	-0.169	-0.082	0.149	-4.642	0.012	-3.042
"YLL045C"	-1.746	-2.105	-2.319	-3.116	-3.722	-0.514	-1.721	-2.573	-1.975	-1.27	-1.25	-0.851	-3.851	-3.176	-2.506	-3.857	-6.618	-2.711	-3.169	-3.335	0.058	0.223	0.18	-0.164	-0.446	-0.457	0.145	0.435	-2.243	-1.924	-1.585	-0.381	-0.23	-0.256	-0.103	-3.545	-0.052	-3.788
"YLR009W"	-4.735	-4.564	-2.897	-4.204	-3.864	0.098	-0.859	-2.235	-1.527	-2.132	-1.593	-0.994	-4.675	-2.624	-2.259	-2.518	-5.388	-2.78	-2.737	-2.637	0.06	-0.064	-0.226	-1.111	-1.101	-1.256	0.278	-0.225	-2.802	-2.902	-2.825	-1.071	-0.354	-0.398	-0.035	-4.344	-0.134	-3.361
"YLR167W"	-1.492	-1.586	-1.934	-2.464	-2.707	-0.171	-0.617	-1.294	-1.851	-0.39	-0.686	-0.6	-1.481	-2.342	-1.799	-1.761	-4.496	-2.286	-1.882	-1.934	0.042	0.231	0.406	0.221	-0.041	-0.036	0.057	0.246	-1.565	-1.549	-1.386	-0.109	0.273	0.362	0.16	-2.342	-0.482	-3.272
"YLR196W"	-5.425	-5.04	-3.221	-4.896	-4.532	-0.264	-1.52	-2.273	-1.576	-2.364	-1.459	-1.106	-5.083	-3.01	-3.156	-4.437	-5.836	-2.118	-2.858	-2.859	-0.446	0.24	0.082	-1.533	-1.553	-1.357	-0.356	-0.428	-2.793	-2.637	-2.454	-1.252	-0.434	-0.457	-0.223	-5.097	0.296	-3.658
"YLR198C"	-4.57	-4.694	-3.371	-4.643	-4.805	-0.331	-1.561	-2.6	-2.306	-2.411	-1.55	-1.242	-5.143	-2.989	-3.1	-3.745	-3.401	-3.057	-3.471	-3.106	-0.328	0.231	0.186	-0.89	-0.962	-0.925	-0.014	-0.113	-2.026	-1.502	-2.042	-0.815	-0.367	-0.035	-0.083	-4.143	-0.067	-3.761
"YLR202C"	1.097	0.494	0.541	0.31	0.585	-0.17	0.723	0.868	0.448	0.939	0.688	0.548	2.168	1.953	1.5	1.047	-1.056	0.719	0.423	0.528	0.226	-0.225	-0.281	-0.019	0.144	0.298	0.091	-0.124	0.959	0.644	0.63	0.358	-0.037	0.052	0.115	0.911	-0.105	1.574
"YLR284C"	NaN	NaN	2.248	NaN	NaN	0.093	NaN	0.778	0.8	0.853	0.096	0.49	2.165	1.552	1.89	3.911	0.139	1.239	1.97	1.349	-0.25	0.039	-0.042	0.308	0.338	0.446	-0.154	-0.325	1.414	1.786	1.715	0.378	NaN	NaN	NaN	NaN	0.177	1.702
