	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"107.heat shock 10 min"	"108.heat shock 15 min"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"12737.Nitrogen Depletion 2 d"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"	"21632..24 mM H2O2- 250 minutes"	"21645..24 mM H2O2- 020 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YKL034W"	0.224	0.036	0.7755	1.3415	1.0205	0.868	1.931	1.524	1.165	1.046	1.479	0.772	0.232	0.899	2.832	1.629	1.47	1.574	-0.186	0.178	0.387	1.444	0.031	0.158	0.0435	-0.109	-0.116	0.902	0.513	1.145	0.195	0.95	0.119	2.344	1.771	1.819	1.87	0.855	0.413	0.468	0.89	-0.311	0.328
"YKL067W"	0.298	0.223	1.508	1.766	2.207	1.954	2.333	2.596	3.159	2.571	1.511	2.321	-0.134	1.617	2.54	2.244	1.923	2.243	0.481	-0.01	-0.057	1.344	-0.337	0.615	0.256	-0.118	-0.076	1.379	0.611	2.22	-0.125	-0.102	0.432	1.834	3.313	3.108	2.735	3.04	1.975	2.862	2.029	-0.486	0.649
"YKL085W"	-0.287	-0.219	2.143	2.516	2.557	2.992	4.338	4.621	4.735	3.853	2.829	3.112	0.264	2.52	3.733	3.587	2.72	2.135	-0.183	0.102	0.168	3.032	-0.104	-0.293	0.234	0.13	-0.014	1.962	0.164	2.286	-0.569	-0.035	1.107	3.126	3.575	2.917	3.615	3.704	2.809	3.561	2.829	-2.343	0.626
"YKL093W"	0.129	0.151	1.489	2.467	1.891	2.147	5.448	4.655	4.714	4.393	4.525	4.208	-0.045	3.199	4.872	3.902	2.916	2.536	-0.081	-0.142	0.467	2.314	-0.119	0.06	0.125	0.35	-0.017	2.745	1.753	2.213	-0.076	0.47	-0.542	4.428	4.865	4.992	4.664	3.337	2.451	2.976	2.4	-2.916	0.843
"YKL099C"	-0.238	-0.488	-2.757	-4.464	-3.564	-3.037	-4.145	-2.015	-2.146	-1.585	-1.353	-1.537	0.006	-2.585	-3.26	-1.746	-1.419	-1.618	0.088	0.217	0.187	-0.703	-0.055	0.19	-0.089	0.181	0.122	NaN	0.246	-3.926	-0.118	-1.339	-0.229	-1.88	-1.394	-3.486	-1.59	-1.288	-1.993	-2.753	-2.401	0.43	-0.132
"YKL109W"	-0.232	-0.421	2.832	3.026	2.127	2.389	3.944	4.619	4.678	3.512	3.345	3.204	0.863	3.076	4.55	3.416	3.126	3.018	0.056	0.258	0.703	3.603	-0.038	-0.678	0.263	-0.102	-0.162	2.198	-0.028	2.019	0.233	0.092	0.418	3.675	3.213	3.231	3.514	3.295	1.419	1.602	1.661	-1.824	-0.205
"YKL143W"	-0.036	0.08	-3.105	-4.877	-3.979	-3.248	-4.748	-1.715	-2.281	-1.954	-1.458	-1.805	0.414	-2.756	-2.734	-1.821	-1.815	-1.965	0.1	0.033	0.084	0.165	0.247	0.06	-0.244	-0.559	0.049	-1.367	-0.42	-4.275	-0.119	0.401	0.515	-2.618	-1.955	-3.914	-2.07	-1.525	-2.409	-2.162	-2.402	0.43	0.333
"YKL148C"	-0.575	-0.259	2.968	3.187	2.788	2.705	4.34	5.409	4.444	4.55	3.513	3.419	-0.09	2.311	3.649	3.541	3.258	2.644	-0.271	0.006	0.222	2.498	-0.595	0.135	0.324	-0.217	-0.101	2.355	0.172	2.844	0.275	1.407	0.689	2.912	3.686	2.514	0.695	3.227	1.327	0.593	1.865	-1.036	0.605
"YKL150W"	-0.229	-0.078	2.809	2.913	3.068	2.915	3.989	3.734	3.947	3.273	3.283	2.136	0.222	1.457	4.228	3.833	3.772	3.627	-0.008	0.111	0.25	1.859	-0.101	0.074	0.117	-0.258	-0.325	2.209	0.468	2.857	0.49	0.714	0.495	2.7	3.344	4.12	3.616	3.503	2.817	3.411	3.112	-0.443	0.782
"YKL172W"	0.062	0.118	-4.013	-1.667	-3.445	-4.261	-4.354	-2.219	-1.661	-1.733	-1.845	-1.457	0.201	-2.545	-3.248	-1.664	-1.613	-2.079	0.072	0.193	0.169	-1.101	0.208	0.34	-0.063	-0.082	0.208	-1.592	-0.338	-3.684	-0.001	0.04	0.166	-2.694	-2.344	-3.42	-2.734	-1.952	-2.038	-1.784	-1.836	1.006	0.662
"YKR081C"	-0.162	-0.11	-4.01	-4.459	-3.81	-3.431	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-0.331	-3.278	-3.734	-2.064	-2.119	-2.118	-0.04	0.298	0.326	-1.065	0.334	0.336	-0.503	0.423	0.288	-1.349	-1.099	-3.505	-0.064	1.485	0.718	-3.386	-2.103	-3.261	-2.433	-1.814	-2.161	-2.332	-1.814	0.152	0.659
"YLL023C"	-0.137	-0.1015	1.094	2.164	2.334	2.261	3.606	2.665	2.517	2.475	1.663	2.152	-0.139	1.64	2.958	2.037	1.972	2.401	0.02	0.16	0.09	1.738	0.01	0.072	0.013	0.343	-0.277	1.412	0.578	2.488	-0.034	0.208	0.1	2.0	1.656	3.532	2.303	1.613	2.328	3.197	2.523	-0.759	0.855
"YLL041C"	-0.737	-0.292	2.552	2.665	2.775	2.977	4.794	5.323	5.655	5.102	4.997	4.796	0.422	2.342	4.827	4.436	3.693	3.746	-0.242	0.014	0.124	2.991	-0.657	-0.018	0.179	0.307	-0.122	3.417	1.493	2.274	0.121	1.009	1.58	3.903	4.684	3.781	4.867	4.49	1.833	1.933	2.35	-1.145	0.252
"YLL045C"	0.341	0.171	-0.787	-1.746	-3.116	-3.722	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-0.056	-3.169	-3.66	-2.096	-2.604	-2.495	0.209	0.243	-0.047	-2.692	0.309	0.223	-0.056	0.258	0.456	-2.165	-1.237	-3.545	-0.345	-0.411	0.834	-3.449	-2.833	-3.788	-3.87	-2.635	-0.909	-1.4	-2.09	0.531	0.865
"YLR002C"	0.106	-0.142	-4.018	-4.273	-3.425	-2.737	-3.541	-1.701	-1.693	-1.352	-1.168	-0.99	0.037	-2.611	-2.747	-1.603	-1.661	-1.599	-0.35	0.026	-0.26	-1.408	0.031	0.14	-0.324	0.332	0.054	0.135	-0.846	-4.018	-0.049	-0.267	0.388	-1.828	-1.445	-2.422	-2.55	-1.453	-1.479	-1.378	-1.304	0.432	0.658
"YLR129W"	-0.256	-0.039	-4.191	-4.096	-3.676	-3.658	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-0.355	-3.12	-3.861	-2.137	-1.99	-2.481	-0.04	-0.281	-0.203	-1.825	0.051	0.139	-0.376	-0.185	0.169	-2.011	-1.639	-4.108	-0.107	-0.465	0.389	-3.422	-2.781	-4.119	-2.843	-2.213	-2.048	-2.361	-2.087	1.74	0.292
"YLR175W"	-0.03	-0.235	-4.217	-4.176	-4.552	-4.902	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-0.302	-3.996	-4.678	-2.413	-2.762	-3.408	0.018	0.375	0.51	-1.941	0.175	0.21	-0.038	-0.029	0.305	-2.422	-2.291	-4.431	-0.378	-0.874	0.741	-3.995	-3.16	-4.338	-2.959	-2.455	-2.978	-2.879	-2.89	1.575	0.471
"YLR197W"	-0.17	-0.192	-3.755	-4.98	-4.76	-5.179	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	0.259	-3.899	-5.671	-2.611	-3.067	-3.716	0.069	0.494	0.467	-1.633	0.42	0.131	-0.125	-0.183	0.038	-2.488	-3.099	-5.072	0.141	-0.742	0.555	-4.983	-3.17	-4.545	-3.045	-2.593	-2.647	-2.994	-2.559	1.065	0.908
"YLR198C"	0.155	0.01	-2.631	-4.57	-4.643	-4.805	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	0.307	-3.471	-5.282	-2.521	-3.21	-3.479	0.025	0.362	0.13	-2.048	0.137	0.231	0.009	0.089	0.421	-2.698	-3.086	-4.143	-0.082	0.343	1.046	-2.271	-2.674	-3.761	-2.805	-1.946	-2.449	-2.231	-2.734	-0.411	0.706
"YLR276C"	-0.161	-0.182	-3.536	-4.199	-3.732	-4.143	-4.467	-2.163	-1.657	-1.532	-1.655	-1.858	-0.219	-2.386	-3.49	-1.977	-1.889	-2.427	-0.097	0.185	0.12	-1.261	0.077	-0.088	-0.192	0.2	0.217	-1.452	-1.003	-2.51	0.005	-0.917	-0.836	-2.141	-1.833	-3.838	-1.145	-2.088	-2.272	-1.937	-1.878	1.454	0.862
"YLR294C"	-0.451	-0.314	0.832	0.158	0.241	0.273	2.002	2.564	2.632	2.149	1.48	2.171	0.074	1.31	2.466	2.104	1.302	1.48	-0.06	-0.004	-0.289	1.447	-0.352	-0.103	0.006	-0.002	-0.046	0.78	0.61	0.449	-0.028	0.584	0.096	2.041	2.539	1.565	1.96	2.671	1.119	1.651	1.098	-0.272	0.313
"YLR449W"	0.296	0.198	-1.748	-3.266	-3.738	-3.97	-6.206	-3.515	-3.262	-2.978	-2.79	-3.758	-0.388	-2.597	-3.782	-2.95	-3.268	-3.547	0.054	0.02	0.0	-1.866	0.175	0.26	-0.009	-0.207	-0.064	-2.199	-1.829	-4.241	-0.398	-0.431	-0.219	-3.658	-2.81	-4.694	-2.945	-2.791	-1.626	-1.327	-0.884	0.471	0.499
"YML054C"	-0.24	-0.366	1.471	2.266	2.272	2.11	5.268	4.128	4.968	3.708	3.294	3.21	0.318	3.189	5.255	3.649	3.305	3.486	-0.31	-0.49	-0.159	3.39	-0.283	-0.106	-0.044	-0.381	-0.114	1.562	2.041	3.838	0.012	0.369	-0.807	4.187	5.343	5.314	4.811	2.678	3.873	3.743	4.321	-0.064	-0.194
"YMR110C"	-0.298	-0.285	2.134	2.615	2.565	2.824	3.925	3.346	3.746	3.565	3.434	2.517	-0.005	2.473	4.042	3.217	2.995	3.422	-0.179	0.1	0.37	2.339	-0.129	-0.312	0.097	-0.116	-0.117	2.645	1.174	2.675	0.23	-1.05	-0.807	3.97	4.096	3.64	3.462	2.896	2.488	2.47	2.932	-0.26	0.276
"YMR131C"	0.282	0.094	-3.068	-4.819	-4.525	-4.347	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-0.133	-3.547	-4.277	-2.776	-2.829	-3.214	-0.125	0.297	0.176	-2.274	0.198	-0.015	-0.17	-0.1	0.359	-1.789	-1.271	-4.674	0.014	-0.687	0.22	-1.412	-2.944	-4.181	-2.68	-1.908	-2.149	-3.389	-2.21	0.273	0.528
"YMR142C"	NaN	NaN	-0.959	-2.549	-3.395	-3.688	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	0.039	-3.048	-4.4	-2.393	-2.974	-2.468	NaN	NaN	NaN	NaN	NaN	0.009	0.076	NaN	0.432	-1.565	-0.954	-3.22	0.056	-0.531	0.6	-4.355	-3.347	-4.039	-3.538	-3.031	-1.003	-0.84	-1.544	0.033	0.432
"YMR271C"	-0.061	-0.313	1.37	1.746	1.968	1.82	4.289	2.99	3.521	3.307	4.093	3.803	0.152	2.448	3.829	2.495	3.065	3.758	0.025	-0.25	-0.373	1.852	0.083	0.151	-0.193	-0.11	-0.243	2.576	1.036	2.359	0.227	1.033	0.882	1.558	2.473	2.63	2.408	1.052	1.293	1.882	0.813	-0.193	0.235
"YMR290C"	0.204	-0.043	-2.333	-3.64	-3.89	-3.624	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-0.38	-3.243	-4.614	-3.037	-3.295	-3.716	0.132	0.191	-0.086	-2.712	0.596	-0.092	-0.189	-0.283	0.271	-2.957	-2.242	-4.129	-0.025	-0.618	-0.134	-4.028	-3.856	-4.544	-3.558	-3.243	-1.701	-1.911	-2.141	0.941	0.611
"YNL055C"	-0.124	-0.242	1.877	2.301	2.503	3.263	3.045	3.733	3.137	2.56	1.814	1.79	0.666	1.705	3.605	3.465	2.257	2.534	-0.165	0.03	-0.092	1.486	-0.384	0.122	0.373	0.065	-0.371	1.2175	-0.618	2.153	-0.056	0.192	-0.093	1.702	1.996	1.948	2.793	2.231	1.335	2.05	1.216	-1.77	1.042
"YNL113W"	-0.437	-0.306	-1.831	-3.404	-2.536	-2.502	-5.347	-3.34	-2.736	-2.957	-1.878	-2.291	-0.372	-3.971	-3.24	-1.962	-1.673	-1.782	-0.096	0.018	-0.192	-0.895	0.054	-0.176	0.046	-0.282	0.145	-1.302	-0.085	-3.986	0.103	-0.367	-0.098	-2.809	-2.407	-4.226	-2.606	-2.059	-1.658	-1.723	-1.645	1.517	0.466
"YNL132W"	0.143	-0.013	-2.988	-4.679	-3.329	-4.954	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-1.023	-3.285	-4.353	-2.313	-2.799	-2.936	-0.072	0.159	0.218	-1.988	0.415	-0.079	-0.156	0.05	0.103	-1.281	-2.565	-3.45	0.001	-1.577	-0.06	-2.994	-2.948	-3.989	-2.673	-2.3	-2.333	-1.182	-2.393	0.416	0.432
"YNL248C"	-0.094	0.0	-4.024	-4.791	-4.455	-4.373	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-0.741	-3.866	-5.072	-2.419	-2.444	-2.924	0.19	0.275	0.148	-1.381	0.239	0.124	0.027	-0.372	0.139	-2.53	-2.278	-4.868	0.092	-1.065	-0.162	-4.652	-4.217	-6.193	-3.878	-3.385	-2.94	-3.256	-3.147	1.379	0.5
"YNR071C"	-1.16	-0.678	1.178	0.811	0.54	-0.737	2.793	1.621	-0.2875	-0.448	-0.9565	-0.913	-0.676	0.575	2.183	0.848	1.839	2.947	-0.458	-0.726	-0.294	1.026	-0.675	0.155	-0.422	-0.311	-0.114	0.56	0.989	0.014	0.111	-0.687	-0.9	0.734	0.811	2.693	1.48	0.325	-2.737	-1.762	-2.21	0.152	-0.224
"YOL077C"	-0.162	-0.135	-4.404	-5.439	-5.22	-4.28	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	0.267	-4.174	-3.705	-2.565	-2.549	-3.046	0.035	0.316	0.125	-1.821	0.414	-0.102	-0.085	-0.072	0.212	-2.39	-1.414	-4.7	0.218	-0.727	1.111	-2.855	-2.586	-5.145	-2.894	-2.392	-2.418	-2.762	-2.379	0.522	-0.03
"YOR019W"	0.2	0.138	2.287	2.544	2.388	2.222	3.05	1.903	2.681	2.055	2.368	0.665	0.029	3.232	4.246	3.292	3.589	3.136	0.03	-0.267	-0.086	2.646	0.284	-0.145	0.073	-0.103	-0.091	3.035	2.352	2.715	0.021	0.436	-0.36	3.105	4.002	2.791	3.264	2.761	0.789	1.875	0.845	-0.457	0.288
"YOR065W"	-0.696	-0.539	2.641	2.411	1.979	1.913	3.411	1.4535	3.3745	2.427	1.5945	1.538	1.0895	1.607	3.297	2.65	1.998	2.056	-0.368	0.211	0.087	2.846	-0.445	-0.339	-0.097	0.368	0.0645	2.044	-0.691	1.576	-0.608	0.784	0.217	2.838	3.265	2.483	3.006	3.308	1.144	1.748	1.156	-0.148	0.189
"YOR206W"	-0.487	-0.233	-3.294	-5.087	-5.083	-4.513	-5.827	-2.568	-2.0395	-1.991	-2.0975	-2.174	-0.0905	-3.1625	-3.888	-2.026	-2.451	-2.637	-0.064	0.126	0.13	-1.55	0.079	-0.2	-0.152	-0.078	0.254	-1.792	-1.352	-5.066	-0.11	-1.062	-0.556	-3.193	-2.539	-4.817	-2.585	-1.507	-2.558	-2.475	-2.141	0.989	0.611
"YOR228C"	-0.546	-0.294	1.345	1.372	1.83	1.12	3.3105	2.6875	2.42	2.232	1.9255	2.4005	0.1215	1.4945	4.0	2.58	1.844	2.244	-0.392	0.041	0.852	1.175	-0.316	0.133	0.176	-0.248	-0.052	1.21	0.54	1.368	-0.22	0.31	0.873	1.566	1.587	2.326	2.13	0.722	1.223	1.484	0.918	-0.15	-0.069
"YOR289W"	-0.168	-0.518	2.96	3.218	2.935	2.676	4.4405	3.0065	3.8215	3.2295	4.1875	3.0405	0.922	2.721	2.948	2.726	3.378	3.636	-0.169	-0.106	0.006	2.164	0.009	0.125	-0.084	-0.119	-0.559	3.277	2.086	3.401	0.342	0.685	-0.623	3.785	3.484	3.745	3.176	2.549	2.241	2.584	2.062	-0.264	-0.393
"YOR309C"	-0.183	-0.425	-3.819	-4.991	-5.523	-5.514	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-0.2935	-3.709	-5.839	-3.084	-3.704	-4.353	0.103	0.27	0.297	-2.569	0.09	0.043	0.089	0.067	0.25	-3.451	-2.775	-4.939	0.024	-0.921	0.392	-2.543	-3.28	-4.097	-3.518	-2.477	-2.874	-2.991	-3.595	0.161	0.334
"YOR310C"	0.082	0.058	-4.866	-5.053	-4.639	-3.004	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-0.109	-3.766	-5.777	-2.773	-3.838	-4.105	-0.06	0.222	0.038	-2.782	0.126	0.202	-0.205	0.049	0.316	-2.849	-2.944	-4.948	-0.212	-0.94	-0.078	-4.564	-4.629	-5.14	-4.292	-3.502	-2.639	-2.241	-2.539	0.84	0.885
"YPL004C"	-0.613	-0.151	2.638	3.048	2.241	2.589	2.962	1.8025	2.449	2.109	1.6325	1.689	0.0015	1.4925	3.013	2.417	1.835	2.007	-0.217	0.288	0.473	1.669	-0.326	-0.26	0.363	0.013	-0.046	1.961	0.599	2.2	-0.08	0.329	-0.344	2.73	2.358	3.09	2.61	1.146	3.227	3.541	3.393	-0.177	0.723
"YPL044C"	-0.476	-0.061	-3.287	-4.106	-4.783	-4.009	-4.1695	-2.458	-2.0485	-1.6585	-1.769	-1.773	-0.181	-3.256	-3.164	-2.194	-2.405	-1.877	0.049	0.081	-0.1	-1.177	0.199	-0.198	-0.253	0.224	0.1	-1.02	-0.56	-4.807	-0.49	0.094	-0.036	-1.798	-2.545	-2.954	-2.261	-0.951	-1.894	-1.837	-1.807	0.772	-0.059
"YPL087W"	-0.731	-0.237	2.703	2.869	-0.454	2.728	2.998	2.716	2.316	1.5655	1.1645	2.0105	0.1305	0.968	3.3	1.769	2.032	2.401	-0.033	0.122	0.319	2.459	-0.093	0.055	0.27	0.077	-0.03	1.676	0.767	2.868	0.088	-0.062	-0.205	2.46	2.058	2.77	2.742	1.903	1.097	1.623	0.934	-0.339	0.235
"YPL126W"	-0.119	-0.091	-3.103	-3.932	-2.989	-3.334	-4.3895	-2.102	-1.398	-2.0145	-1.832	-1.9955	-0.596	-2.192	-3.301	-2.411	-2.497	-2.642	-0.202	0.179	0.194	-1.769	0.087	-0.196	0.093	0.035	0.359	-1.514	-1.268	-1.407	0.047	-1.823	-0.841	-3.748	-3.644	-4.666	-2.937	-1.94	-2.18	-3.284	-1.737	0.958	0.466
"YPL146C"	-0.315	-0.073	-2.261	-3.196	-3.003	-3.135	-2.239	-1.417	-1.1295	-1.693	-1.316	-1.1555	-0.032	-2.007	-3.297	-1.982	-1.917	-1.781	-0.188	0.208	0.007	-0.545	0.025	-0.045	-0.341	0.117	0.321	-1.048	0.316	-3.416	0.068	-0.391	-1.186	-2.508	-1.864	-2.955	-2.098	-1.463	-2.152	-1.711	-1.552	0.21	0.247
"YPL154C"	-0.095	0.257	1.807	2.195	2.149	2.103	2.41	2.5425	2.5635	2.7215	1.4765	1.6205	0.084	1.221	2.873	3.017	1.833	1.846	0.246	0.288	0.683	1.931	0.369	0.235	0.072	-0.162	0.118	1.876	-0.818	2.081	-0.199	0.554	-0.145	1.986	1.715	2.234	2.194	1.496	1.66	2.211	1.667	0.092	0.355
"YPL212C"	0.181	-1.1355	-2.2725	-2.8775	-3.0655	-2.0715	-3.33233333333333	-2.51233333333333	-2.52533333333333	-1.83233333333333	-2.36566666666667	-1.71933333333333	0.127	-1.874	-2.621	-2.0305	-2.322	-2.2515	-0.3745	0.015	-0.033	-0.691	-0.1645	-0.0425	0.083	0.006	-0.131	-1.3225	-0.729	-2.912	-0.1775	-1.2405	0.305	-2.339	-2.278	-3.1355	-2.7785	-1.994	-1.7465	-1.816	-1.838	1.1525	0.225
"YPL226W"	0.4335	0.4525	-3.629	-3.457	-3.229	-4.183	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-0.518666666666667	-3.37333333333333	-4.0095	-2.363	-2.3985	-2.8955	0.1885	0.105	0.122	-1.995	0.386	-0.0735	0.0465	-0.253	0.402	-1.7375	-1.7945	-3.215	-0.057	-1.5775	-0.4235	-2.657	-3.519	-3.811	-3.004	-2.748	-1.494	-1.763	-1.471	1.566	0.461
"YPL272C"	-0.055	0.062	0.193	-0.091	-0.32	-0.6945	1.636	2.02366666666667	1.879	1.28833333333333	1.178	1.12333333333333	0.120666666666667	-0.125333333333333	1.672	1.0505	0.6195	0.869	-0.309	-0.212	-0.154	0.189	-0.104	0.09	-0.095	0.052	0.071	0.454	0.2245	-0.879	0.078	0.233	1.085	0.133	0.177	0.126	0.725	0.281	NaN	-0.697	-0.947	-0.625	-0.085
"YPR098C"	-0.442	-0.454	1.226	1.2	0.968	1.538	2.4485	2.8885	2.574	2.2645	1.7885	1.351	0.477	0.898	2.568	1.52	1.654	2.007	-0.264	0.294	0.365	1.869	-0.143	0.099	0.086	0.054	-0.126	1.229	0.611	1.688	0.206	0.618	0.042	2.205	2.258	1.796	2.476	1.543	1.128	2.378	1.187	-0.909	-0.269
"YPR110C"	-0.262	-0.211	-1.58	-3.178	-3.52	-3.728	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-0.326	-3.01	-3.88	-2.186	-2.175	-2.703	-0.038	0.352	0.334	-1.161	0.311	-0.091	0.102	0.137	0.106	-2.108	-1.635	-3.168	0.331	-1.344	0.5	-2.851	-1.853	-3.882	-3.113	-2.597	-1.564	-2.129	-1.842	1.487	0.561
"YPR142C"	-0.042	-0.246	-2.213	-3.13	-3.21	-3.322	-2.3555	-1.5845	-1.639	-1.534	-1.412	-1.2625	0.7635	-2.0655	-2.665	-1.608	-1.227	-1.214	-0.301	0.208	-0.075	-0.724	0.153	-0.076	-0.294	0.048	0.129	-1.613	0.239	-3.649	-0.475	1.213	-1.508	-0.516	-0.592	-1.825	-0.874	-0.475	-1.432	-1.793	-1.75	-0.672	0.019
"YPR187W"	-0.558	-0.28	-2.245	-2.333	-1.951	-2.183	-2.5615	-1.8665	-1.5675	-1.8265	-1.511	-1.4365	-0.1725	-2.283	-2.563	-1.827	-1.816	-2.016	-0.15	0.253	-0.036	-1.32	0.078	-0.039	-0.181	0.269	0.567	-1.604	-0.561	-2.036	0.101	-0.458	-0.322	-2.584	-2.061	-2.896	-2.213	-1.752	-1.152	-1.095	-0.957	0.768	0.399
