	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"4874.1M sorbitol - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6824.Sporulation t0"	"13057.wt/crz1 Na 30min (1)"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"44524.first half PM prep, array 2"
"YJL138C"	-1.288	-1.457	-1.195	-1.358	-3.125	-5.625	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.542	0.19	-1.659	0.067	0.633	-0.611	0.533
"YJL145W"	-0.8655	-1.178	-1.431	-2.509	-2.136	-3.628	-1.17	-1.678	-1.482	-2.303	-2.334	-2.853	0.014	-0.171	-1.0165	0.238	0.521	-0.483	0.427
"YJR123W"	-1.822	-1.807	-2.46	-3.124	-4.381	-9.147	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.319	0.368	-2.0685	-0.57	0.789	-1.332	1.152
"YKL080W"	-0.451	-0.877	-1.25	-1.469	-4.229	-5.94	-0.824	-1.299	-1.962	-2.874	-2.944	-2.866	0.087	0.176	-0.692	0.26	0.345	1.737	0.294
"YKL154W"	0.031	-0.272	-1.486	-1.312	-2.701	-3.89	-1.194	-1.477	-1.447	-1.765	-2.132	-2.222	0.29	-0.01	-0.165	0.157	-0.04	0.413	0.393
"YKL172W"	-0.796	-1.757	-1.845	-1.457	-2.813	-5.305	-1.664	-1.613	-2.079	-2.271	-2.723	-3.135	-0.388	0.239	-1.183	-0.082	0.126	0.975	0.662
"YKR056W"	-1.013	-1.237	-1.492	-2.639	-3.298	-4.34	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	0.241	-0.101	-0.816	-0.334	-0.216	-0.448	0.199
"YKR059W"	-1.426	-1.501	-1.543	-1.54	-2.817	-4.998	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.684	0.323	-1.384	0.044	0.604	-0.745	0.533
"YLL044W"	-1.796	-2.271	-2.211	-2.963	-3.79	-6.48	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.42	-0.133	-1.906	-0.024	0.842	-0.664	0.837
"YLL045C"	-1.721	-1.975	-1.64	-2.221	-3.857	-6.618	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.515	0.18	-1.965	0.258	0.676	-0.549	0.865
"YLR061W"	-0.693	-1.3	-2.908	-3.127	-4.939	-6.591	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.94	0.433	-0.817	0.087	0.736	-1.434	0.782
"YLR062C"	-1.524	-2.004	-3.127	-4.077	-5.705	-6.896	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.045	0.353	-1.928	-0.324	0.77	0.454	0.598
"YLR083C"	-1.173	-1.358	-2.021	-2.216	-3.767	-5.137	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	0.358	-0.129	-1.513	0.128	0.063	-0.859	0.511
"YLR153C"	-0.22	-0.814	-0.867	-1.497	-4.481	-5.598	0.537	-1.29	-2.312	-3.578	-3.672	-3.394	-0.186	0.084	-0.493	0.531	0.052	0.766	1.0
"YLR192C"	-0.165	-0.49	-1.651	-1.665	-2.456	-4.349	-1.655	-2.008	-1.414	-1.566	-2.165	-2.147	0.066	-0.209	-0.404	0.165	0.223	1.356	0.663
"YLR196W"	-1.52	-1.576	-1.898	-2.276	-4.437	-5.836	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	0.127	0.082	-1.454	0.305	0.513	1.715	0.459
"YLR249W"	-2.168	-1.853	-3.403	-3.637	-4.146	-6.742	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.273	-0.006	-2.345	-0.113	0.412	1.837	0.492
"YLR340W"	-1.549	-1.728	-2.963	-2.876	-4.11	-6.819	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	-0.006	0.099	-1.943	-0.455	0.83	-1.445	0.443
"YLR409C"	-0.942	-0.875	-1.629	-2.222	-3.204	-4.211	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	-0.055	0.033	-1.148	0.39	0.191	-0.382	0.597
"YLR448W"	-1.538	-1.88	-2.052	-2.688	-3.552	-5.971	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.051	0.099	-1.725	-0.209	0.622	1.217	0.646
"YML022W"	-1.023	-1.119	-1.985	-2.389	-3.146	-3.98	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	0.141	-0.391	-1.207	-0.523	0.537	0.236	0.554
"YML064C"	-0.053	-0.503	-1.739	-1.415	-2.421	-3.73	-0.652	-0.612	-1.432	-1.338	-1.457	-1.948	-0.063	-0.302	-0.274	-0.108	0.363	0.685	0.316
"YMR208W"	-0.05	-0.62	-0.82	-1.063	-2.542	-3.618	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	-0.014	-0.153	-0.276	0.002	0.236	0.852	0.541
"YMR217W"	-2.139	-2.309	-2.518	-3.785	-4.735	-5.29	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	0.516	-0.204	-2.116	0.121	0.884	1.4465	0.654
"YMR242C"	-1.649	-2.14	-2.522	-3.032	-3.971	-6.226	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.499	-0.025	-1.855	0.115	0.63	-1.4935	1.046
"YNL096C"	-1.149	-1.871	-2.81	-3.616	-4.038	-6.106	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.183	-0.048	-1.523	-0.25	0.748	-0.00749999999999995	0.905
"YNL132W"	-1.718	-1.292	-2.572	-3.653	-4.956	-6.392	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.302	0.067	-1.837	0.05	0.351	-0.015	0.432
"YNL145W"	-0.199	-0.491	-1.447	-0.12	-2.121	-3.38	-0.729	-0.305	-1.623	-1.576	-1.347	-2.183	-0.02	0.276	-0.684	-0.061	0.681	-0.7455	0.592
"YNL178W"	-1.826	-2.578	-1.857	-3.159	-4.338	-6.62	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.342	-0.138	-2.137	-0.073	0.971	-1.5005	0.92
"YNL247W"	-1.11	-1.326	-1.822	-1.928	-3.191	-4.64	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.106	0.091	-1.462	0.118	0.182	1.461	0.27
"YNL248C"	-1.163	-1.798	-2.794	-3.857	-4.575	-5.215	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	0.292	-0.265	-1.15	-0.372	0.735	0.9	0.5
"YNL256W"	-0.577	-0.754	-1.376	-1.049	-2.448	-3.668	-1.429	-1.334	-1.45	-2.464	-3.25	-3.112	0.122	-0.032	-0.703	-0.204	0.317	0.62	0.134
"YOR164C"	-0.136	-0.388	-0.779	-0.894	-2.555	-4.0095	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	0.183	0.216	-0.447	-0.208	0.279	NaN	0.517
"YOR206W"	-1.554	-1.361	-2.0975	-2.174	-3.681	-6.4785	-2.026	-2.451	-2.637	-3.151	-3.692	-3.694	-0.071	0.139	-1.499	-0.078	0.778	1.499	0.611
"YOR224C"	-0.876	-1.367	-2.2005	-2.081	-3.348	-4.849	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	-0.124	0.266	-1.34	-0.28	0.609	0.38	0.747
"YOR239W"	-0.598	-0.421	-1.31	-2.145	-3.232	-5.0985	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	0.113	0.159	-0.933	-0.121	0.1695	0.45	0.378
"YOR272W"	-1.539	-1.371	-1.682	-1.968	-3.353	-4.712	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	0.202	0.184	-1.677	-0.013	0.919	1.093	0.367
"YOR310C"	-1.291	-1.986	-3.303	-3.319	-4.7765	-7.1385	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.311	0.415	-1.628	0.049	1.033	1.662	0.885
"YOR323C"	-0.479	-0.816	-1.941	-2.0305	-4.2845	-6.434	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	-0.146	0.162	-0.792	0.018	0.371	0.644	0.809
"YOR326W"	0.005	-1.069	-1.329	-1.6295	-3.4635	-4.9875	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	-0.07	0.07	0.366	0.215	-0.041	-1.084	0.402
"YOR369C"	-1.683	-2.11	-2.805	-3.7395	-3.724	-6.5475	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	0.491	-0.196	-1.941	-0.428	0.861	-0.952	0.641
"YPL037C"	-0.705	-0.961	-1.975	-2.12	-3.9955	-5.417	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.387	-0.248	-1.009	-0.288	0.593	-0.845	1.085
"YPL079W"	-1.437	-2.168	-2.3565	-2.6495	-3.892	-6.4765	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.418	-0.058	-1.713	-0.072	0.853	1.216	0.819
"YPL142C"	-1.361	-1.527	-1.78	-1.891	-3.5865	-5.604	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.462	-0.016	-1.793	0.271	0.62	-1.825	0.937
"YPL160W"	-1.107	-1.6245	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0136666666666667	0.0055	-1.148	0.202	0.073	1.3825	0.7495
"YPL178W"	-0.16	-0.221	-0.866	-0.909	-2.0395	-3.2495	-0.592	-1.104	-1.052	-1.535	-1.511	-1.922	0.2185	0.12	-0.281	0.307	0.28	0.67	-0.51
"YPL220W"	-1.816	-2.333	-2.1715	-2.2495	-3.187	-6.1465	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	-0.0245	0.221	-2.166	-0.163	0.674	-0.457	1.024
"YPL237W"	-0.981	-1.437	-2.029	-2.27	-2.875	-5.7585	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	0.201	0.211	-1.302	-0.218	0.496	-0.777	0.221
"YPL273W"	-1.352	-1.622	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.257666666666667	-0.129	-1.632	-0.247	0.544	0.747	0.481
"YPR033C"	-0.853	-1.113	-2.534	-2.142	-4.8805	-7.94	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.375	0.183	-1.174	0.135	0.381	0.848	0.737
"YPR041W"	-0.2895	-0.8655	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.292333333333333	-0.0605	-0.6805	-0.175	0.3655	0.626	0.551
"YPR102C"	-1.491	-1.866	-2.7315	-2.6455	-4.045	-6.451	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.288	0.076	-1.815	-0.151	0.802	-0.792	0.961
"YPR114W"	0.06	-0.485	-2.1515	-1.837	-2.9825	-3.903	-1.276	-1.338	-1.177	-1.633	-1.738	-2.533	-0.456	-0.07	-0.066	0.189	0.05	1.437	0.102
"YPR118W"	-1.296	-0.791	-2.706	-3.095	-3.9965	-5.524	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	-0.085	0.151	-1.435	0.297	0.239	0.349	0.21
"YPR132W"	-1.078	-1.741	-2.6445	-2.672	-3.1925	-5.805	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.165	0.057	-1.376	-0.019	0.559	0.136	0.802
