	"49.Elutriation2:Sample2:Time0.0hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30319.usv1("	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34502.wt_hypo_osmotic_shock_0min_repeat"
"YGR183C"	0.79	2.516	2.937	3.093	2.609	1.742	3.487	3.414	1.924	1.266	1.583	1.511	1.834	2.594	2.333	1.945	2.742	3.301	3.204	2.341	0.726	0.987	-0.014	0.297	-0.268	-0.481	-0.99	-0.505	-0.535	1.505	-0.325	0.113	3.35	2.247	2.779	2.596	2.973	0.498	0.009	0.453	0.349	0.253	-0.04	0.229	0.251	0.712
"YGR201C"	1.012	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.246	3.062	2.97	2.896	3.228	2.855	2.842	3.597	2.109	2.914	5.103	3.769	2.296	2.061	0.31	0.258	0.135	0.134	0.542	0.499	0.555	3.357	0.467	0.329	2.239	2.238	1.833	1.267	2.151	0.052	-0.06	0.003	0.058	-0.016	0.015	-0.015	0.133	-0.489
"YGR214W"	-1.244	-4.3	-2.826	-2.795	-2.24	-1.862	-2.776	-3.03	-1.901	-3.581	-2.953	-2.7	-1.615	-4.842	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	-1.61	-2.084	0.128	-0.184	-0.269	-0.327	-0.522	-0.515	-0.475	-1.905	0.287	0.457	-2.906	-3.805	-2.3	-2.11	-2.419	0.029	0.301	0.708	0.482	0.429	0.429	0.687	0.704	0.098
"YGR236C"	1.0055	5.885	5.633	4.84	5.548	6.013	4.335	5.413	4.797	4.716	5.412	5.567	5.087	2.582	2.144	3.123	3.07	4.433	4.451	5.04	3.681	3.301	0.085	-0.251	-0.234	-0.159	0.012	0.057	-0.113	4.122	-0.475	0.451	7.961	6.284	6.182	5.837	5.338	0.425	-0.442	0.131	-0.597	-0.4	0.258	-0.591	-0.816	-0.427
"YGR249W"	1.208	2.21	1.706	1.603	1.177	1.569	1.131	0.914	3.712	2.556	1.646	1.881	2.014	0.799	0.848	1.024	0.697	1.061	1.543	1.063	0.659	0.631	0.233	0.388	-0.199	-0.523	-0.455	0.11	-0.313	0.538	0.406	-0.057	0.383	1.1	0.182	-0.177	0.535	0.575	0.205	0.278	0.425	0.287	0.351	-0.15	0.433	0.515
"YHL033C"	-0.391	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-1.783	-3.056	-3.153	-3.005	-2.318	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	-1.544	-2.128	0.08	-0.36	-0.652	-0.508	-0.422	-0.494	-0.368	-1.956	0.404	-0.004	-1.757	-0.001	-1.385	-1.492	-1.18	0.839	0.907	0.942	0.567	0.772	0.668	0.666	0.672	0.739
"YHR010W"	-0.329	-3.693	-3.281	-3.149	-2.926	-2.458	-3.025	-3.508	-1.864	-3.343	-3.288	-3.007	-2.769	-4.159	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	-1.033	-1.584	-0.034	-0.216	-0.427	-0.534	-0.651	-0.769	-0.772	-2.412	-0.321	-0.128	-2.267	-3.56	-2.961	-1.715	-2.978	0.201	-0.059	0.076	0.101	-0.049	0.296	0.142	0.016	0.326
"YHR068W"	-0.918	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-1.698	-2.873	-2.52	-2.526	-1.119	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.414	-0.65	0.241	-0.023	-0.238	-0.231	-0.193	-0.137	-0.295	-2.29	-0.274	0.273	-2.467	-2.406	-2.362	-1.8	-1.861	0.262	0.365	0.495	0.192	0.289	0.026	0.367	0.752	0.717
"YHR133C"	-0.916	-1.498	-1.357	-0.653	-1.163	-1.453	-1.561	-1.885	-1.471	-1.51	-1.708	-1.622	-0.998	-1.49	-1.072	-1.703	-1.806	-1.64	-1.82	-2.45	-0.202	-0.606	-0.043	0.006	-0.245	-0.211	-0.226	-0.243	-0.278	-0.395	0.412	0.159	-0.652	-1.475	-1.273	-1.046	-1.683	-0.04	-0.567	-0.321	-0.212	-0.276	-0.216	-0.043	0.306	-0.094
"YHR141C"	-0.315	-2.32	-2.364	-2.143	-1.635	-1.491	-1.631	-2.472	-1.502	-2.31	-2.677	-2.575	-1.44	-2.888	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	-1.232	-1.618	0.039	-0.12	-0.339	-0.26	-0.878	-0.733	-0.674	-1.582	0.096	0.331	-2.729	-3.686	-3.203	-2.487	-2.359	-0.204	-0.405	0.018	-0.226	-0.333	-0.429	-0.129	-0.132	0.02
"YHR162W"	0.765	0.358	0.106	0.124	-0.109	-1.203	-0.541	-2.48	0.553	0.315	0.013	-0.627	-0.293	0.348	-0.138	-1.253	-2.038	-1.104	-1.619	-1.148	0.359	1.184	0.078	0.098	0.615	0.754	0.559	0.319	0.403	-0.99	-0.133	0.29	1.943	0.659	0.695	0.759	-0.933	0.294	-0.152	-0.171	0.556	0.175	-0.241	-0.033	0.145	0.157
"YHR183W"	-0.9835	-0.9555	-1.161	-1.3185	-0.9165	-1.2015	-0.4545	-0.7	0.106	-0.7175	-0.463	-1.2335	-1.7405	-1.1675	-1.2305	-0.834	-1.302	-0.768	-0.6495	-1.6165	-0.261	-0.286	-0.124	-0.119	0.042	0.0465	-0.194	-0.0545	-0.0035	-1.3965	-0.314	-0.0675	-1.9875	-1.5505	-1.5255	-1.5365	-1.27	0.2185	0.085	0.0465	0.0625	-0.024	-0.077	-0.123	0.021	-0.084
"YHR203C"	-0.72	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-1.998	-3.917	-3.774	-3.412	-3.049	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	-1.507	-1.717	0.264	-0.2	-0.319	-0.342	-0.356	-0.537	-0.391	-2.302	-0.137	0.676	-3.308	-3.717	-3.449	-2.785	-3.424	-0.097	0.006	0.154	0.175	0.073	0.248	0.539	0.427	0.062
"YIL045W"	2.256	4.837	3.725	3.789	4.285	5.025	4.058	4.605	2.699	2.691	2.176	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	2.963	0.72	0.594	-0.009	1.372	0.449	0.595	0.993	1.053	0.695	2.832	0.38	0.273	2.929	3.875	2.985	2.251	3.3	0.394	0.449	0.197	-0.285	-0.034	0.033	0.344	0.039	0.426
"YIL052C"	-0.37	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-1.912	-2.82	-2.793	-2.559	-2.622	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-1.569	-1.876	0.24	-0.094	-0.27	-0.197	-0.413	-0.411	-0.506	-1.743	-0.245	0.613	-2.562	-2.821	-2.677	-1.94	-3.315	0.721	0.135	0.546	0.199	0.085	0.233	0.327	-0.19	0.463
"YIL097W"	1.23	3.652	2.439	2.393	2.036	2.507	2.43	3.556	2.729	1.732	2.315	1.786	1.294	2.356	1.47	2.0	2.636	2.674	2.268	1.763	1.985	1.835	0.026	-0.317	0.664	0.564	0.571	0.768	0.595	1.203	-0.528	-0.426	1.491	1.995	2.194	0.877	1.863	-0.422	-0.137	-0.88	-0.594	0.008	-0.101	-0.423	-0.138	-0.452
"YIL120W"	-0.068	1.649	1.536	1.395	1.32	1.525	1.822	4.578	0.769	0.832	0.799	1.319	1.289	1.695	1.293	0.996	2.065	0.518	3.061	2.677	1.111	0.754	0.06	0.332	0.013	0.2	0.407	0.209	0.323	0.609	-0.271	-0.142	0.134	-0.019	0.064	0.317	0.93	-0.579	-0.299	-0.208	0.019	-0.189	0.086	0.216	0.137	-0.072
"YIL122W"	0.435	2.109	1.27	1.77	1.672	2.044	2.78	1.361	0.943	0.939	1.214	1.217	1.268	0.995	1.252	1.311	1.297	1.844	1.441	0.661	1.407	1.277	0.023	0.294	-0.292	-0.015	0.303	0.34	0.38	1.262	0.595	0.557	0.938	1.802	0.869	0.238	1.41	0.068	-0.058	-0.259	0.481	0.01	0.243	-0.191	-0.391	0.21
"YIL155C"	0.633	1.725	2.2955	2.221	2.5535	1.566	2.7135	2.4965	1.8295	1.8615	1.871	2.293	1.7625	1.8305	1.9575	0.968	1.4335	1.722	1.465	1.235	0.65	0.862	0.213	0.148	-0.148	0.122	-0.093	0.3965	-0.0635	2.2445	0.065	0.232	3.229	2.436	2.744	1.892	2.155	-0.081	-0.008	0.204	0.009	-0.083	0.52	0.44	0.113	0.086
"YJL080C"	-1.597	-2.655	-2.64	-1.679	-1.79	-1.719	-1.923	-3.029	-1.028	-1.693	-1.793	-1.545	-2.084	-2.248	-1.823	-2.293	-2.334	-2.401	-2.866	-3.001	-1.088	-1.487	0.026	0.005	-0.264	-0.197	-0.301	-0.203	-0.136	-1.086	0.026	0.088	-2.286	-1.905	-1.8825	-1.495	-1.6585	-0.1485	0.134	0.1085	-0.28	0.0445	0.109	0.2515	0.2015	-0.0645
"YJL094C"	1.343	1.612	1.723	1.56	1.8345	2.161	1.6455	2.054	0.5415	0.453	0.731	0.568	0.1995	1.342	0.9735	0.859	0.643	1.7255	1.8985	1.8435	0.607	0.945	-0.2135	0.0925	0.4325	0.269	0.072	0.1025	0.1035	0.236	0.208	0.432	0.2855	0.6225	0.871	0.3895	1.363	0.847	0.529	0.349	0.7185	0.2915	0.2715	0.3125	0.2475	0.8885
"YJL103C"	0.985	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.515	1.735	2.684	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.006	2.229	2.668	-0.094	-0.199	0.276	0.531	0.567	0.776	0.727	0.352	-0.126	0.415	3.146	2.897	3.1435	2.411	2.663	0.3655	-0.1455	-0.119	0.173	0.008	0.04	-0.0685	0.084	0.5525
"YJL136C"	-0.538	-2.5965	-2.5195	-2.1625	-1.923	-1.762	-1.46	-2.0505	-1.322	-1.93	-2.1825	-1.308	-1.441	-3.159	-1.774	-2.063	-2.01	-1.2865	-0.379	-2.1235	-1.417	-2.026	0.159	0.292	-0.203	-0.585	-0.783	-0.728	-0.725	-2.1465	-0.06	0.2795	-2.42	-3.751	-2.53	-2.526	-2.859	-0.027	-0.194	0.127	-0.325	-0.336	-0.272	-0.061	0.069	-0.38
"YJL166W"	1.741	3.137	3.667	3.5	3.101	2.498	3.751	3.849	2.392	2.57	2.339	2.197	2.526	3.028	2.833	2.507	2.963	3.264	3.664	3.32	1.878	1.383	0.021	0.235	-0.19	-0.577	-0.725	-0.259	-0.43	1.113	-0.014	0.137	3.65	2.806	3.428	3.524	3.809	0.358	-0.093	-0.073	0.153	-0.1	-0.308	-0.117	-0.132	0.264
"YJL177W"	-0.368	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-1.729	-3.409	-3.772	-3.428	-3.164	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	-1.858	-2.013	0.25	0.027	-0.106	-0.229	-0.379	-0.327	-0.417	-2.348	-0.245	0.495	-4.004	-4.54	-4.115	-3.056	-3.266	0.217	0.25	0.501	0.371	0.238	0.232	0.481	0.477	0.148
"YJL185C"	0.447	2.062	2.22	2.091	1.526	1.748	2.056	3.178	1.358	1.2	1.493	2.057	1.529	2.666	1.76	2.126	2.385	2.188	4.108	3.299	0.875	1.918	0.083	-0.073	-0.06	0.118	0.323	0.576	0.25	1.301	-0.195	-0.097	1.808	1.727	2.015	1.118	1.24	-0.189	0.074	0.118	-0.035	0.141	0.016	0.061	0.035	0.023
"YJL188C"	0.179	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-1.612	-2.24	-2.745	-2.519	-1.879	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	-1.089	-1.486	0.017	0.024	-0.084	-0.346	-0.85	-0.598	-0.657	-1.525	-0.136	0.221	-1.947	-2.777	-2.447	-2.254	-2.01	0.219	0.174	0.626	0.052	0.062	-0.12	0.091	0.166	-0.155
"YJL190C"	-1.343	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-2.845	-3.969	-3.744	-3.536	-3.062	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	-1.426	-1.906	0.048	0.098	-0.064	-0.298	-0.671	-0.598	-0.548	-2.43	0.271	0.881	-3.912	-4.874	-4.273	-3.311	-3.497	-0.227	-0.227	-0.112	-0.255	-0.284	-0.137	0.18	0.274	-0.511
"YJR123W"	-0.581	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-1.536	-3.809	-3.529	-3.442	-3.646	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	-1.789	-2.097	0.56	-0.339	-0.28	-0.351	-0.474	-0.396	-0.362	-2.153	0.081	0.668	-3.113	-3.711	-4.025	-2.566	-3.587	0.164	0.141	0.584	0.413	0.083	0.465	0.591	0.414	0.071
"YJR158W"	0.43	2.439	1.69	2.551	2.097	2.537	2.536	1.645	1.665	1.477	1.985	0.773	1.577	1.898	1.969	2.057	2.169	1.981	2.516	1.807	1.211	0.987	0.443	0.266	0.04	0.248	0.912	0.369	0.4	0.749	0.375	-0.199	0.616	2.171	1.454	0.358	1.562	0.406	0.079	-1.07	0.473	0.322	0.532	-0.449	0.117	0.668
"YKL026C"	2.587	4.553	3.42	4.251	4.429	4.068	3.618	5.561	3.587	3.848	3.239	3.305	3.067	3.106	2.687	3.137	3.607	4.354	3.97	3.468	3.843	3.191	0.101	0.104	0.423	0.269	0.089	0.352	0.107	1.288	-0.323	0.037	5.449	3.949	4.063	3.2	3.668	NaN	-0.033	0.0	0.256	0.029	0.083	0.148	0.114	0.558
"YKL081W"	-1.046	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-2.074	-3.28	-3.157	-3.837	-3.37	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	-2.104	-2.013	-0.042	0.223	-0.595	-0.708	-0.685	-0.554	-0.564	-2.502	-0.047	0.311	-3.449	-3.386	-3.054	-2.989	-3.704	0.352	0.49	1.008	0.632	0.642	0.561	0.695	0.695	0.525
"YKL093W"	2.94	5.448	4.655	4.714	4.393	4.525	4.208	4.369	2.966	3.199	3.212	2.953	3.082	4.872	3.902	2.916	2.536	2.725	3.515	2.14	2.251	2.314	0.06	0.768	0.255	0.025	0.133	0.207	0.267	2.745	-0.288	0.001	4.865	4.992	4.664	3.337	3.528	0.155	-0.141	-0.302	-0.254	-0.278	-0.304	-0.189	0.037	-0.151
"YKL109W"	0.769	3.944	4.619	4.678	3.512	3.345	3.204	3.232	3.343	3.076	3.27	2.936	2.799	4.55	3.416	3.126	3.018	3.054	2.687	2.59	2.962	3.603	-0.678	-0.439	-0.773	-1.016	-0.62	-0.225	-0.472	2.198	-0.594	0.309	3.213	3.231	3.514	3.295	2.285	-0.212	-0.155	0.131	-0.699	-0.15	0.245	0.506	0.542	-0.111
"YKL154W"	-0.366	-1.585	-1.703	-1.223	-1.327	-1.486	-1.312	-2.701	-1.526	-1.149	-1.358	-1.136	-0.702	-2.099	-1.194	-1.477	-1.447	-1.765	-2.132	-2.222	-0.387	-0.721	-0.006	-0.394	0.093	-0.401	-0.597	-0.468	-0.887	-1.175	0.279	-0.418	-2.137	-2.702	-2.572	-1.419	-1.102	-0.507	-0.376	-0.291	-0.675	-0.446	-0.612	-0.424	-0.372	-0.507
"YKL171W"	0.626	2.975	2.732	1.981	2.48	2.215	2.459	2.01	1.677	2.034	1.204	2.02	1.73	1.246	0.992	1.417	1.626	1.6	1.107	1.326	1.066	1.772	-0.082	0.05	0.229	0.228	-0.03	0.249	0.177	1.605	0.045	0.215	2.197	1.954	2.196	0.791	1.237	0.0	-0.06	-0.202	0.089	0.069	0.009	-0.218	0.09	0.085
"YKR082W"	-0.927	-0.889	-1.103	-0.767	-0.731	-0.67	-1.122	-2.473	-0.697	-0.702	-0.565	-0.832	-1.633	-1.922	-1.054	-0.885	-1.249	-1.45	-1.895	-2.598	-0.427	-0.507	-0.053	-0.363	-0.235	-0.301	-0.369	-0.265	-0.64	-0.573	0.155	0.596	-1.24	-0.737	-0.893	-0.412	-0.524	-0.572	0.09	-0.241	-0.274	-0.27	-0.163	-0.112	-0.156	-0.149
"YKR094C"	-0.017	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-1.021	-2.102	-2.333	-1.972	-2.7	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	-1.496	-1.456	0.016	-0.041	-0.279	-0.229	-0.506	-0.661	-0.483	-2.035	0.065	-0.069	-2.549	-3.694	-3.422	-2.865	-3.683	-0.397	-0.232	-0.065	-0.298	-0.257	-0.233	0.19	0.325	-0.237
"YKR101W"	-0.651	1.359	0.859	1.438	1.39	1.505	1.234	1.64	0.261	0.779	0.747	0.852	1.087	0.632	0.774	0.919	1.588	1.173	0.788	0.257	1.532	1.037	0.089	-0.207	-0.102	0.105	-0.28	0.0	-0.575	0.363	0.201	0.184	0.653	0.195	0.575	0.494	0.336	-0.061	-0.024	-0.222	-0.386	-0.408	-0.371	-0.614	-0.383	-0.188
"YLL017W"	0.583	1.569	1.326	1.548	1.859	2.057	2.426	2.779	0.675	0.742	0.55	1.361	2.906	1.318	1.138	1.407	1.493	2.867	2.209	2.791	0.313	1.223	0.181	0.109	-0.077	0.064	-0.062	0.061	-0.013	0.15	-0.296	-0.139	0.688	0.232	0.658	-0.484	0.371	-0.359	-0.101	-0.948	-0.767	-0.511	-0.177	-0.346	-0.299	-0.482
"YLL019C"	0.764	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.102	1.0635	1.257	1.021	0.6375	1.397	1.255	1.789	1.8515	1.9515	1.767	1.3115	1.042	1.507	0.013	0.13	0.394	0.5155	0.664	0.5925	0.662	1.933	0.272	0.884	2.654	2.511	2.838	2.632	2.205	0.751	0.473	0.343	0.721	0.621	0.404	-0.143	-0.102	0.978
"YLL041C"	0.326	4.794	5.323	5.655	5.102	4.997	4.796	5.281	2.48	2.342	2.74	2.712	2.855	4.827	4.436	3.693	3.746	4.25	4.703	3.334	2.67	2.991	-0.018	0.182	-0.224	0.062	0.381	0.613	0.632	3.417	-0.157	-0.47	4.684	3.781	4.867	4.49	4.704	0.479	0.212	-0.012	0.259	0.076	0.109	0.21	0.431	0.649
"YLL044W"	-0.738	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-1.665	-3.313	-3.031	-3.269	-2.156	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-2.05	-2.154	-0.086	-0.187	-0.32	-0.235	-0.395	-0.397	-0.546	-2.227	0.186	-0.084	-2.774	-3.806	-2.77	-2.196	-2.935	0.388	0.518	0.726	0.244	0.334	0.277	0.454	0.417	0.334
"YLL045C"	-0.597	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-1.489	-3.169	-3.335	-3.185	-2.744	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-1.89	-2.692	0.223	-0.24	-0.447	-0.164	-0.446	-0.457	-0.381	-2.165	-0.052	-0.354	-2.833	-3.788	-3.87	-2.635	-2.362	-0.009	0.364	0.726	0.252	0.255	0.217	0.515	0.521	0.779
"YLR029C"	0.038	-3.174	-2.641	-3.465	-2.572	-2.334	-3.108	-3.615	-0.543	-2.777	-2.809	-2.78	-2.648	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	-1.039	-1.8	-0.158	-0.306	-0.231	-0.204	-0.266	-0.101	-0.296	-2.49	0.321	-0.733	-2.733	-3.637	-2.766	-2.153	-2.685	0.015	0.131	0.337	-0.105	-0.168	0.1	0.24	0.308	-0.113
"YLR048W"	-0.832	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-1.942	-3.296	-3.55	-2.771	-2.506	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	-1.856	-2.181	0.258	-0.267	-0.363	-0.496	-0.574	-0.387	-0.395	-2.293	0.248	-0.545	-3.403	-4.032	-3.798	-2.576	-3.432	0.016	0.147	0.415	0.295	0.129	0.167	0.212	0.328	-0.014
"YLR061W"	-0.284	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-1.703	-3.239	-3.818	-3.021	-3.058	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-1.397	-1.525	0.078	-0.104	-0.171	-0.1	-0.408	-0.462	-0.507	-2.482	-0.019	0.232	-2.246	-4.004	-2.793	-2.94	-3.717	-0.602	-0.603	-0.748	-0.551	-0.463	-0.651	-0.12	-0.085	-0.43
"YLR062C"	-0.374	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-1.847	-3.6	-3.985	-3.965	-3.18	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-1.868	-2.368	0.023	-0.012	-0.357	-0.436	-0.654	-0.635	-0.497	-2.675	-0.236	0.084	-3.723	-4.54	-4.001	-2.894	-3.419	-0.273	-0.167	0.17	-0.014	0.006	-0.03	0.238	0.584	-0.174
"YLR065C"	0.093	-1.734	-1.826	-1.451	-1.638	-1.191	-1.341	-1.93	-0.969	-1.082	-1.343	-1.411	-1.516	-1.44	-1.007	-1.07	-1.137	-1.477	-1.554	-1.642	-0.502	-0.571	0.002	0.572	0.223	0.242	0.012	-0.024	0.236	-0.712	0.121	0.197	-0.248	-1.485	-1.417	-0.902	-1.482	-0.335	-0.466	-0.254	-0.113	-0.222	-0.093	0.058	0.007	-0.399
"YLR075W"	0.16	-4.356	-3.127	-2.622	-2.246	-2.047	-2.366	-1.991	-1.197	-2.552	-2.46	-2.807	-2.616	-4.079	-1.489	-1.706	-1.888	-1.003	-2.135	-2.586	-0.886	-1.906	0.189	-0.096	-0.086	0.107	-0.097	-0.088	-0.115	-2.132	-0.347	-0.138	-2.951	-4.051	-3.6	-2.245	-2.384	-0.346	-0.169	0.012	-0.19	-0.135	-0.045	0.235	0.312	-0.533
"YLR076C"	-0.033	-3.332	-2.564	-2.261	-1.808	-1.463	-1.839	-1.78	-1.25	-1.405	-2.576	-2.924	-2.039	-3.015	-1.22	-1.575	-1.453	-1.198	-1.871	-1.996	-1.431	-1.894	-0.03	0.112	0.263	0.045	-0.045	-0.067	0.107	-2.021	0.288	-0.533	-2.762	-3.867	-3.418	-2.353	-2.473	-0.081	-0.246	0.056	-0.337	-0.297	-0.01	0.19	0.212	-0.41
"YLR128W"	-0.465	1.3	0.731	1.153	0.919	1.032	0.761	-0.946	0.347	0.418	0.604	0.373	0.569	1.125	0.693	0.982	1.146	1.0	0.878	-0.038	0.926	0.903	-0.055	-0.016	0.488	0.7	0.637	0.956	0.726	0.611	0.391	-0.773	-0.432	-0.069	-0.22	-0.309	-0.48	0.336	0.401	0.152	0.278	0.111	0.222	0.429	0.577	0.036
"YLR142W"	2.29	3.095	4.015	5.049	5.05	5.354	5.307	6.188	5.754	5.646	4.467	4.387	4.716	4.418	4.268	4.522	5.09	3.893	5.129	4.349	0.863	3.052	0.363	-0.014	-0.292	-0.551	-1.119	-0.506	-0.588	3.391	-0.367	0.259	2.898	1.179	3.978	2.474	4.307	1.366	0.571	0.269	0.873	0.182	0.004	-0.135	0.129	1.242
"YLR164W"	0.762	4.52	3.048	3.554	4.168	5.283	4.605	4.582	2.529	2.965	3.134	3.068	3.756	1.295	1.643	1.874	1.017	2.092	3.006	2.089	2.262	2.066	0.1	0.389	0.179	0.175	0.446	0.106	-0.005	3.56	0.509	-0.381	2.314	2.636	3.124	1.587	3.638	-0.164	-0.326	-0.228	-0.362	-0.602	-0.35	-0.185	0.152	-0.364
"YLR186W"	-1.809	-4.787	-2.844	-2.506	-2.174	-2.293	-2.346	-4.298	-2.093	-3.036	-2.821	-2.007	2.878	-2.372	-1.577	-2.069	-1.671	-1.74	-2.678	-2.467	-1.447	-2.005	0.05	-0.2	-0.484	-0.264	-0.389	-0.487	-0.212	-2.09	-0.008	-0.013	-2.552	-4.173	-2.896	-1.936	-2.714	-0.686	-0.699	-0.698	-0.607	-0.286	-0.395	-0.346	-0.232	-0.746
"YLR192C"	-0.568	-2.241	-1.224	-1.761	-1.243	-1.651	-1.665	-2.456	-0.954	-1.134	-1.581	-1.867	-1.0	-1.685	-1.655	-2.008	-1.414	-1.566	-2.165	-2.147	-0.605	-0.88	-0.082	0.162	0.625	0.391	0.331	0.283	0.61	-1.922	0.238	0.619	-1.818	-1.495	-1.21	-0.488	-0.803	0.342	0.437	0.663	-0.054	0.143	0.018	0.375	0.194	0.143
"YLR325C"	-0.18	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-1.454	-3.178	-3.753	-2.76	-3.039	-4.948	-2.81	-2.802	-3.314	-1.609	-1.204	-2.637	-1.522	-2.221	0.292	0.188	-0.469	-0.569	-0.687	-0.714	-0.684	-2.253	0.133	0.26	-2.034	-2.866	-2.701	-2.834	-3.594	0.021	-0.441	-0.303	-0.254	-0.091	-0.084	0.159	0.238	-0.515
"YLR333C"	-0.552	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-1.82	-3.538	-3.334	-2.939	-2.483	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	-0.819	-1.434	0.246	0.103	-0.065	-0.152	-0.225	-0.252	-0.119	-1.748	-0.009	-0.111	-2.673	-3.582	-2.843	-2.359	-1.826	-0.212	-0.184	-0.121	-0.2	-0.055	-0.016	0.067	0.267	-0.333
"YLR409C"	-1.308	-4.402	-2.709	-2.6	-1.8	-1.629	-2.222	-3.204	-1.551	-2.308	-2.578	-1.928	-2.361	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	-2.021	-1.732	0.013	-0.394	-0.809	-0.869	-0.786	-0.854	-1.078	-1.502	-0.039	0.782	-1.648	-3.231	-1.992	-1.204	-1.981	-0.139	-0.249	-0.098	-0.401	-0.195	-0.38	-0.357	-0.447	-0.256
