	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"21638..24 mM H2O2- 070 minutes"	"21659..24 mM H2O2- 077 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YNL134C"	4.104	4.226	4.61	4.382	4.557	4.138	2.698	2.221	2.984	1.649	0.987	0.754	0.288	-0.354	2.718	3.45	2.417	3.454	2.859	2.785	3.653	3.207	2.725	2.493	2.483	2.489	2.146	1.603	1.29	3.44	4.146	1.7855	0.567	0.986	0.815	0.643	0.56	2.799	4.659	4.516	4.471	3.873	3.196	3.7	4.094	2.674	2.305
"YNL260C"	1.13	0.743	0.262	0.425	0.764	0.706	-0.832	-0.555	-0.677	-0.567	-2.671	0.381	0.556	0.062	1.07	1.401	0.77	1.174	0.834	0.755	2.837	2.134	1.035	-0.709	-0.593	-0.312	-0.479	-0.674	-0.579	1.022	1.584	-0.379	0.111	0.33	0.061	0.413	0.426	1.933	0.089	0.595	0.345	0.012	-0.537	-1.037	-1.03	-0.897	-0.693
"YNR030W"	-0.077	0.357	0.269	0.434	0.456	0.552	0.026	-0.2235	0.00399999999999999	0.283	-2.3165	-0.988	-1.0945	-0.8935	-0.117	0.174	0.514	0.331	0.15	0.186	0.196	0.539	0.123	-0.406	-0.565	-0.399	0.028	-1.753	-1.455	0.125	0.586	-0.412	-0.868	-1.442	-1.383	-2.137	-1.91	0.545	0.303	0.218	-0.448	-1.046	-1.547	-0.907	-0.914	-1.398	-1.247
"YOL031C"	-0.168	0.301	1.062	1.283	1.726	1.917	-0.326	0.0545	0.0205	-0.884	-1.5995	-0.7855	-1.5395	-0.745	0.44	0.434	0.703	0.304	0.525	0.581	0.42	0.744	0.085	-0.533	-1.049	-1.329	-1.538	-2.129	-1.17	0.268	0.506	-0.533	-0.234	-1.037	-1.205	-1.165	-1.197	0.371	-0.027	0.829	0.496	-0.285	-1.06	-0.328	-0.571	-0.842	-1.063
"YOL057W"	-0.209	-0.267	-0.782	-0.124	0.415	0.209	-1.017	1.1245	-0.386	-3.194	0.17	-1.3255	-1.333	-1.619	0.236	0.368	0.777	0.263	0.33	0.443	0.684	1.192	0.163	-0.564	-0.695	-0.942	-2.417	-2.989	-2.675	0.11	0.111	-0.921	-0.181	-0.91	-1.196	-1.324	-0.93	0.4	-0.864	-0.841	-0.623	-2.186	-2.087	-1.584	-1.952	-1.352	-0.861
"YOL150C"	3.612	4.209	3.71	2.945	2.639	2.954	1.539	0.6625	1.756	0.3385	-1.8365	0.242	-0.305	0.541	3.513	4.264	3.298	3.909	3.588	3.493	3.972	3.545	2.581	1.663	2.05	2.952	0.645	0.182	0.084	4.092	4.802	1.393	2.188	2.313	2.449	2.018	2.097	4.51	2.98	2.962	4.646	1.679	1.168	1.266	1.05	0.598	1.7
"YOL151W"	4.064	4.123	3.8	3.096	3.357	3.008	1.272	1.507	1.462	1.182	-3.604	0.276	0.312	-0.0225	4.397	5.186	4.291	4.995	4.51	4.338	3.939	3.599	2.672	1.836	2.542	2.986	0.484	0.347	0.096	4.721	4.733	1.528	2.26	2.424	2.381	2.202	2.418	4.864	3.73	3.245	4.664	1.881	1.317	2.082	1.592	0.66	1.927
"YOR085W"	-0.459	-0.056	-0.084	-0.003	0.161	0.106	0.6855	-1.467	-1.216	-0.2295	-0.8185	0.0145	-1.383	0.4455	0.383	0.273	0.698	0.221	0.413	0.403	-0.02	-0.034	0.264	-0.437	-0.701	-1.048	-1.727	-2.121	-2.057	0.245	-0.355	-0.77	-0.636	-1.693	-1.456	-1.814	-1.986	0.107	-0.267	0.246	0.922	-0.951	-1.41	-0.932	-1.168	-1.072	-1.937
"YOR088W"	0.342	0.676	0.699	0.823	0.903	0.529	0.046	0.023	0.7495	-0.4185	-1.979	0.63	0.391	-0.1105	0.657	0.688	1.133	0.369	0.469	0.466	0.063	1.411	0.489	-0.003	-0.483	-0.388	-1.457	-1.775	-1.922	0.419	0.616	-0.48	-0.197	-0.786	-0.516	-0.669	-0.525	0.667	-0.095	0.072	-0.369	-0.482	-1.131	0.1	-1.033	-0.764	-0.687
"YOR103C"	-0.007	0.314	0.097	0.16	0.41	0.559	-1.292	1.605	-1.1035	-1.431	-2.033	-1.118	-0.868	-0.958	-0.099	0.078	0.046	-0.181	-0.045	-0.192	-0.087	0.18	-0.344	-0.732	-0.653	-0.79	-0.954	-1.114	-1.311	-0.226	-0.452	-0.908	-0.5	-0.824	-0.731	-0.932	-0.685	0.107	-1.161	-0.274	-0.83	-1.076	-0.679	-0.571	-0.583	-0.585	-1.337
"YOR239W"	-1.01	-0.353	-0.241	-0.228	-0.15	0.217	-1.1765	-1.31	-2.145	-3.232	-5.0985	-1.0745	-1.633	-1.8425	0.059	-0.058	0.521	-0.031	0.057	0.293	0.031	0.196	0.06	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	0.014	-0.005	-1.366	-1.752	-1.963	-1.992	-1.951	-1.867	0.058	-0.2295	-0.388	-0.4055	-0.652	-0.884	-0.623	-0.426	-0.439	-0.564
"YOR254C"	-0.711	-0.173	-0.223	-0.235	0.138	0.05	-1.406	-1.671	-1.5485	-2.192	-6.426	-1.8245	-2.018	-1.4845	0.02	0.102	0.415	-0.173	0.217	0.006	0.017	0.249	-0.197	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	-0.128	-0.176	-1.174	NaN	-1.388	-1.468	-1.679	-1.489	-0.09	-1.266	-0.71	-1.011	-2.166	-2.254	-2.342	-2.212	-1.537	-2.314
"YOR309C"	-1.808	-1.218	-2.476	-2.675	-1.779	-1.262	-4.227	-3.75	-3.942	-4.234	-6.859	-3.9105	-3.8235	-2.194	-0.467	-0.315	0.243	-0.493	0.007	-0.042	-2.156	-1.868	-0.444	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.224	-2.004	-3.451	-3.577	-2.601	-2.983	-2.775	-3.093	-1.411	-1.508	-1.68	-1.753	-2.543	-3.28	-4.097	-3.518	-2.477	-3.672
"YOR310C"	-1.747	-1.362	-2.348	-2.686	-1.831	-1.366	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.585	-3.5415	-2.603	-0.732	-0.574	-0.3	-0.651	-0.237	-0.232	-2.005	-2.056	-0.937	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.398	-1.71	-2.849	-3.238	-2.67	-2.757	-2.944	-3.125	-1.398	-1.821	-2.173	-3.37	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073
"YOR321W"	-0.061	-0.25	0.092	0.221	0.511	0.603	-0.3045	0.039	-0.2955	-2.096	-3.7905	-1.0295	-0.701	-0.877	0.117	0.091	0.631	-0.327	0.152	0.31	0.541	0.065	0.197	-0.18	-0.275	-0.345	-1.374	-1.619	-2.487	-0.321	-0.086	0.148	-0.563	-0.817	-0.432	-0.66	-0.381	0.34	-0.285	-0.214	0.153	-0.769	0.068	-0.347	-0.254	-0.1	-0.162
"YPL244C"	-0.458	-0.0785	-0.2665	0.039	0.349	0.326	-0.368	-1.295	-0.713	-2.5495	-3.0545	-1.447	-1.3155	-0.4545	-0.011	0.208	0.372	0.205	0.305	0.237	-0.411	0.375	-0.04	-0.74	-0.954	-0.926	-1.204	-1.807	-0.822	0.23	-0.33	-0.845	-1.268	-1.082	-1.16	-1.232	-0.983	0.06	-1.322	-0.791	-1.404	-0.851	-1.07	-1.213	-1.244	-1.037	-1.878
"YPR074C"	-0.697	0.247	0.1035	0.099	0.2105	0.1645	-2.134	-3.2975	-2.2945	-5.337	-5.42	-2.2005	-3.7185	-4.2955	-0.046	-0.307	0.273	-0.019	-0.012	0.119	-0.5	-0.224	-0.054	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	0.243	-0.431	-3.132	-2.906	-3.257	-3.973	-3.946	-4.176	-0.276	-1.898	-1.35	-1.239	-4.473	-3.729	-2.351	-3.123	-1.997	-3.18
"YPR139C"	-0.303	0.031	-0.0765	-0.0865	-0.1015	-0.022	0.2525	-0.468	-0.2475	-2.01	-3.5915	-0.1355	-0.321	-0.3065	0.143	0.288	0.272	0.069	0.274	0.231	0.473	0.527	0.023	-0.48	-0.876	-0.704	-0.934	-1.637	-0.936	0.275	0.096	-0.711	0.36	0.029	-0.169	-0.394	-0.011	0.351	-0.129	0.12	-0.25	-1.252	-0.885	-0.858	-0.563	-0.989	-0.79
"YPR146C"	-0.067	0.253	0.1085	0.222	0.41	0.435	-0.1915	9.99999999999997E-4	-0.566	-0.9235	-1.4365	0.0625	0.2285	-0.5305	0.227	0.346	0.305	0.392	0.077	0.084	0.829	1.092	0.506	-0.086	-0.095	0.222	-0.155	-0.23	-0.438	0.309	0.224	-0.181	-0.155	-0.398	-0.229	-0.639	-0.317	0.306	0.07	0.62	0.128	0.061	0.357	0.078	-0.059	-0.204	-0.156
"YPR176C"	0.32	0.0975	-0.036	0.0645	0.2945	0.377	-0.336	-0.5075	-0.4615	-0.881	-3.0475	-0.6065	-0.434	-1.3265	0.401	0.574	0.681	0.379	0.328	0.316	0.761	0.41	0.378	-0.047	-0.239	-0.275	-0.567	-1.0	-0.283	0.438	0.169	-0.398	-0.194	-0.728	-0.323	-0.315	-0.025	0.327	-0.154	0.512	0.452	0.259	0.134	-0.627	-0.511	-0.213	-0.447
