	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"978.wt_plus_gamma_20_min"	"979.wt_plus_gamma_30_min"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1172.pho80 mutant vs wild type"	"1173.PHO4c vs. wild type"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1301.PHO81c vs. wild type, exp.2"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"12739.Nitrogen Depletion 30 min."	"21631..24 mM H2O2- 190 minutes"	"30773.Pomona/Brown Sir3x red"	"34360.batch 02X25 4"	"38154.03II01 batch p10"	"40965.MD_II_28_min"
"YLR185W"	-4.508	-3.498	-3.001	-2.551	-2.578	-5.928	-2.94	-2.559	-2.616	-0.892	-0.824	-4.019	-2.136	-2.209	-2.015	-2.479	-3.065	-0.033	-0.353	0.25	0.29	0.086	-0.006	-2.023	-1.422	0.016	-0.133	-1.832	-1.615	0.569
"YLR264W"	-3.105	-2.523	-2.018	-1.862	-2.597	-5.152	-2.945	-2.94	-2.616	-0.574	-0.635	-3.525	-2.241	-2.158	-1.649	-2.334	-2.391	0.004	-0.201	-0.781	-0.223	-0.672	-0.175	-1.833	-1.622	-0.408	0.154	-1.505	-1.148	-0.802
"YLR333C"	-3.93	-3.067	-2.402	-2.401	-3.011	-5.863	-3.538	-3.334	-2.939	-0.68	-0.409	-4.032	-2.092	-2.057	-1.584	-2.45	-2.848	0.131	0.176	-0.63	-0.063	-0.101	0.246	-1.748	-1.209	0.245	-0.722	-1.107	-1.31	-0.154
"YLR342W"	-1.693	-0.732	-0.704	-0.653	-0.873	-2.686	-1.462	-1.154	-1.198	0.178	-0.008	-1.594	-1.693	-1.367	-1.208	-0.933	-1.564	-0.346	-0.675	-0.253	-0.165	0.253	0.268	-0.569	-0.996	-0.024	0.024	-0.3815	-1.3015	0.873
"YLR367W"	-3.848	-3.069	-3.283	-2.91	-2.78	-6.716	-3.055	-2.602	-2.335	-0.932	-0.821	-3.649	-2.591	-2.935	-2.165	-2.476	-3.007	0.004	0.38	-0.077	-0.145	-0.02	0.19	-1.95	-1.648	-0.169	0.097	-1.566	-2.019	0.105
"YLR448W"	-4.815	-3.882	-3.116	-3.083	-3.552	-5.971	-3.425	-3.454	-3.179	-0.98	-0.672	-4.891	-2.521	-2.621	-2.668	-3.192	-4.132	0.23	0.196	-0.466	-0.373	-0.048	0.011	-2.337	-1.514	0.279	-0.053	-1.946	-1.818	0.909
"YML106W"	-1.425	-0.881	-0.346	-0.774	-2.297	-3.649	-1.636	-1.809	-2.071	-0.469	-0.495	-1.366	-1.501	-1.583	-1.423	-1.467	-1.771	-0.186	-0.094	-0.246	0.018	-0.053	0.268	-0.025	-0.944	-0.143	0.074	-0.824	-1.111	-0.128
"YMR116C"	-3.012	-3.687	-4.292	-3.142	-4.551	-6.865	-2.937	-3.905	-3.535	-0.971	-1.092	-3.586	-2.851	-2.888	-2.906	-3.561	-4.003	-0.124	0.474	-0.07	-0.271	-0.379	-0.542	-2.539	-1.882	-0.287	0.168	-1.73	-2.236	-0.964
"YMR214W"	-1.431	-3.24	-2.045	-2.69	-4.239	-2.422	-1.585	-1.327	-0.361	0.235	0.188	-1.601	-1.17	-1.827	-1.377	-1.21	-0.98	-0.02	-0.214	-0.017	-0.182	0.397	0.061	-1.2915	-0.431	0.008	0.2115	0.21	-0.047	-0.226
"YMR235C"	-1.54	-1.45	-1.143	-1.493	-3.534	-5.187	-1.622	-1.883	-1.879	-0.101	0.167	-1.679	-2.046	-2.046	-2.838	-3.21	-3.756	-0.086	0.098	0.015	-0.043	-0.037	0.196	-1.782	0.4	-0.174	0.1645	-0.752	-0.039	0.179
"YMR242C"	-4.702	-3.631	-3.819	-3.001	-3.971	-6.226	-3.832	-4.338	-3.636	-0.792	-0.91	-4.84	-2.59	-3.004	-2.601	-3.133	-3.475	-0.057	0.087	-0.297	-0.418	-0.031	0.442	-2.4615	-1.243	0.216	0.1305	-1.905	-1.655	0.846
"YMR247C"	-1.184	-0.471	0.356	-0.257	-1.4055	-2.271	-0.701	-0.339	-0.286	0.0595	0.041	-1.0935	-1.069	-1.032	-2.104	-2.2935	-2.7345	-0.037	-0.081	-0.168	0.116	0.168	0.0375	-0.0393333333333333	-0.557	-0.0425	0.034	0.018	-0.116	0.4455
"YMR290C"	-5.132	-3.842	-3.455	-3.073	-3.509	-5.217	-3.243	-3.378	-2.625	-1.31	-1.005	-4.614	-3.295	-3.716	-3.219	-3.665	-2.938	0.01	0.392	0.054	-0.801	-0.052	-0.092	-2.957	-2.409	-0.372	0.1175	-2.21	-2.141	0.367
"YMR318C"	-2.436	-2.298	-2.292	-2.382	-3.467	-3.423	-1.463	-1.406	-1.826	0.736	0.535	-1.737	-3.398	-2.822	-2.227	-2.227	-2.879	-0.112	-0.632	0.36	-0.091	0.034	0.164	-1.814	0.17	0.149	0.254	-1.383	-1.112	-0.964
"YNL067W"	-4.019	-2.871	-2.193	-2.054	-2.84	-5.731	-2.866	-3.241	-2.399	-0.841	-0.909	-4.131	-2.506	-2.759	-1.884	-1.906	-2.76	-0.029	0.031	0.087	-0.322	-0.179	0.53	-1.5625	-1.214	-0.105	-5.0E-4	-1.875	-1.238	-1.301
"YNL069C"	-3.663	-3.006	-2.506	-1.993	-4.006	-4.824	-3.44	-3.85	-3.199	-0.81	-0.796	-4.269	-2.199	-2.466	-2.107	-2.509	-3.665	0.228	-0.062	-0.624	-0.36	-0.412	0.164	-2.137	-1.722	0.085	0.0335	-1.852	-1.996	-0.608
"YNL087W"	-1.855	-1.557	-0.896	-1.321	-1.605	-3.407	-1.34	-1.25	-1.432	0.176	0.074	-1.992	-2.327	-1.937	-1.983	-2.611	-2.819	0.428	-0.029	-0.095	0.241	0.153	0.132	-1.579	-0.559	-0.977	0.083	-0.464	-0.236	-0.302
"YNL089C"	-1.202	-0.797	-0.46	-0.924	-2.333	-2.142	-1.254	-1.218	-1.259	-0.102	-0.177	-0.686	-1.872	-1.565	-1.866	-1.819	-2.26	0.023	-0.031	-0.427	-0.011	-0.17	0.023	-0.868	0.237	0.143	0.1055	-0.395	-0.284	-0.27
"YNL096C"	-4.113	-3.765	-3.642	-3.235	-4.038	-6.106	-3.331	-3.045	-2.761	-1.289	-1.018	-4.716	-2.776	-3.041	-3.644	-4.096	-4.68	-0.04	0.037	-0.113	-0.267	-0.262	-0.057	-2.8625	-1.727	-0.082	0.112	-2.208	-1.178	-0.205
"YNL113W"	-5.347	-3.34	-2.736	-2.957	-2.537	-7.034	-3.971	-2.612	-1.964	-0.553	-0.369	-3.24	-1.673	-1.782	-1.889	-2.222	-2.123	-0.242	0.177	-0.342	-1.058	-0.445	-0.176	-1.302	-0.959	-0.407	-0.0015	-1.817	-1.645	0.357
"YNL153C"	-0.54	-1.355	-0.952	-0.942	-2.968	-3.338	-1.165	-1.382	-1.461	-0.165	-0.45	-1.544	-1.594	-1.341	-1.523	-2.302	-1.649	-0.195	-0.044	-0.406	-0.286	-0.067	-0.096	-1.5535	0.254	-0.692	0.089	-0.291	-0.649	-0.245
"YNL162W"	-3.953	-3.395	-3.14	-2.838	-2.858	-6.425	-2.86	-2.872	-2.421	-0.684	-0.539	-3.999	-2.0	-2.0	-1.742	-2.487	-3.468	-0.316	-0.258	-0.571	-0.657	-0.633	-0.03	-1.852	-1.582	0.04	-0.5945	-0.901	-1.809	0.198
"YNL178W"	-4.244	-3.755	-3.785	-3.505	-4.338	-6.62	-3.239	-3.307	-3.272	-1.098	-1.14	-4.97	-2.899	-2.981	-2.958	-3.483	-3.871	-0.118	0.241	-0.413	-0.421	-0.041	0.438	-2.479	-1.057	-0.404	0.2625	-1.799	-2.545	0.103
"YNL181W"	0.41	0.31	0.37	0.351	-1.86	-3.847	-0.44	-0.254	-0.606	0.606	0.57	-0.26	-0.753	-0.888	-1.588	-2.16	-1.612	-0.171	-0.138	-0.156	0.058	0.192	-0.046	-0.455	0.626	0.295	0.226	0.183	0.576	0.471
"YNL183C"	1.252	1.503	1.406	1.226	1.403	1.899	0.786	0.932	0.775	0.734	0.196	1.487	0.977	1.718	1.194	0.858	0.745	0.037	-0.077	0.286	0.918	0.548	-0.13	0.9425	1.243	0.002	0.308	0.245	0.641	-0.576
"YNL303W"	-2.545	-2.523	-2.68	-1.903	-2.836	-3.619	-2.1	-2.56	-1.485	-0.964	-1.199	-2.672	-2.383	-2.466	-2.533	-2.398	-3.2	-0.014	-0.239	-0.241	-0.134	-0.109	-0.411	-1.139	-1.524	0.399	0.062	-1.099	-1.551	1.094
"YOL060C"	1.314	3.0615	1.4245	1.329	1.706	-0.201	0.7185	0.618	1.1465	0.679	0.35	0.843	0.962	1.259	1.212	2.259	1.423	0.392	-0.751	-0.017	0.102	0.127	-0.074	0.775	0.354	0.773	0.38	-0.526	0.875	0.458
"YOR220W"	3.7725	2.959	2.657	2.843	4.0665	3.0645	3.113	2.4945	2.2515	-0.389	-0.089	3.838	2.692	2.751	3.747	4.082	3.593	0.015	-0.343	0.144	0.443	0.941	-0.504	1.74	0.805	0.772	0.15	1.672	1.838	-1.251
"YOR293W"	-4.155	-3.7615	-3.19	-2.996	-2.7875	-4.496	-3.442	-3.1085	-3.0195	-0.949	-0.863	-4.233	-2.533	-2.507	-1.856	-2.041	-3.118	0.086	0.102	-0.797	-0.49	-0.6	-0.036	-1.85	-1.601	0.057	0.035	-1.762	-1.809	-0.372
"YOR312C"	-3.8645	-3.381	-2.919	-2.263	-3.3005	-4.8175	-2.99	-3.177	-3.0	-0.784	-0.674	-4.638	-2.511	-2.402	-2.039	-1.569	-3.224	0.081	-0.093	-0.549	-0.474	-0.529	0.298	-1.883	-1.289	0.182	-0.008	-1.564	-1.926	0.493
"YOR369C"	-3.6225	-4.255	-3.641	-2.7865	-3.724	-6.5475	-3.0405	-3.6415	-3.752	-1.055	-1.05	-3.998	-2.858	-2.986	-2.456	-2.662	-3.502	-0.359	0.288	-0.414	-0.263	-0.168	0.217	-2.309	-1.697	-0.348	-0.123	-2.121	-3.043	-0.92
"YPL050C"	-1.673	-1.242	-0.8915	-1.0575	-2.2165	-4.275	-1.6985	-1.5115	-1.9345	-0.077	-0.366	-1.498	-1.195	-1.188	-1.143	-1.8	-1.614	0.117	-0.067	-0.298	-0.238	-0.316	-0.158	-0.945	-0.042	-0.113	0.0	-0.829	-0.229	0.084
"YPL079W"	-4.616	-4.1965	-3.787	-3.3525	-3.892	-6.4765	-3.085	-3.172	-3.0255	-1.163	-1.097	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	-0.109	-0.072	-0.757	-0.616	-0.692	0.031	-1.673	-1.506	0.053	-0.574	-1.449	-1.662	-0.431
"YPL081W"	-4.5065	-3.3595	-3.199	-3.083	-3.4025	-6.801	-2.5355	-2.916	-2.428	-0.591	-0.444	-4.022	-2.849	-2.929	-2.789	-2.909	-3.725	-0.143	-0.194	-0.415	-0.531	-0.656	0.099	-1.844	-1.583	-0.048	-0.095	-1.902	-1.555	-1.297
"YPL090C"	-3.9615	-3.256	-2.7785	-2.4215	-4.364	-6.197	-3.398	-3.223	-3.3795	-0.836	0.347	-5.307	-2.833	-2.954	-3.292	-3.309	-4.719	0.147	0.056	-0.396	-0.373	-0.288	-0.045	-2.061	-1.184	0.325	0.123	-1.747	-1.851	-0.26
"YPL142C"	-3.1395	-2.973	-2.7515	-2.2525	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-0.55	-0.641	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	0.091	-0.18	-0.876	-0.295	-0.314	0.2	-2.011	-1.409	0.152	0.142	-1.359	-1.942	-0.643
"YPL143W"	-4.4445	-3.3605	-3.232	-3.2955	-3.35	-5.0395	-3.0685	-3.1305	-2.7815	-0.807	-1.074	-4.372	-2.155	-2.195	-1.391	-1.972	-2.941	-0.106	0.171	-0.693	-0.474	-0.332	0.005	-2.07	-1.751	0.165	-0.161	-1.325	-2.05	0.37
"YPL198W"	-4.269	-3.194	-2.836	-2.46	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-0.838	-0.799	-3.875	-2.227	-2.449	-2.487	NaN	-3.133	-0.291	0.066	0.081	-0.253	-0.235	-0.237	-1.633	-1.576	-0.214	0.206	-2.0715	-2.162	-0.557
"YPL230W"	5.7835	4.1855	4.254	4.299	6.6385	4.1485	4.669	3.9765	3.797	0.75	0.803	4.417	4.16	3.897	5.844	6.611	5.087	0.251	-0.137	0.178	0.313	0.055	-0.203	2.633	0.704	0.564	0.099	2.588	2.406	0.032
"YPL231W"	-2.83233333333333	0.570666666666667	-0.487666666666667	-0.570666666666667	-0.832	-3.48	-0.9435	-0.433	-0.405	0.1765	-0.0385	-1.1255	-0.7695	-0.6705	-0.892	-1.4855	-1.278	-0.199	0.018	-0.028	-0.112	-0.172	-0.192	-1.188	-0.593	0.045	-0.118	-0.058	0.4725	-0.629
"YPL235W"	-0.842666666666667	-1.108	-1.02966666666667	-1.09866666666667	-0.762333333333333	-3.62066666666667	-0.891333333333333	-0.818666666666667	-1.12333333333333	-0.4425	-0.3415	-1.209	-1.0275	-1.3	-1.5825	-1.8145	-2.0025	-0.566	0.082	0.388	0.298	0.244	-0.3475	-0.9125	0.207	-0.2585	-0.05	-0.073	0.3225	-0.7915
"YPL237W"	-2.6285	-1.9335	-2.0395	-2.3465	-2.875	-5.7585	-1.791	-1.39	-1.8945	-0.369	-0.393	-2.288	-1.817	-1.927	-2.006	-2.44	-3.024	-0.163	-0.072	-0.079	0.093	-0.387	0.071	-1.537	0.225	0.239	-0.081	-0.716	-0.317	0.27
"YPL238C"	-1.898	-1.7665	-1.5655	-1.85	-2.431	-4.788	-1.551	-1.391	-0.8025	-0.299	-0.29	-2.451	-2.037	-1.989	-1.843	-2.517	-2.586	0.274	0.013	-0.247	-0.223	-0.434	-0.219	-2.063	0.061	0.101	0.08	-0.594	-0.694	0.507
"YPL245W"	-2.523	-2.6785	-2.5975	-2.684	-3.98	-3.717	-1.167	-1.9545	-1.596	-0.664	-0.739	-0.908	-1.32	-1.548	-0.959	-2.016	-1.767	-0.279	-0.004	0.166	-0.004	0.666	-0.197	-1.34	-0.627	-0.799	0.135	-0.291	-1.156	-1.023
"YPR033C"	-2.7945	-1.8465	-1.291	-1.908	-4.8805	-7.94	-2.32	-2.0735	-2.759	-0.657	-0.635	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	-0.256	0.042	-0.034	-0.247	-0.179	0.015	-2.107	-0.609	0.035	0.327	-1.3345	-0.49	-0.178
"YPR041W"	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.41033333333333	-0.5575	-0.483	-1.646	-1.658	-1.0965	-1.805	-1.8775	-2.441	NaN	-1.725	-1.893	-0.907	-0.542	-0.1465	-1.977	-0.589	-0.0795	0.114	-1.53	-0.569	-0.308
"YPR132W"	-2.849	-3.586	-3.351	-1.806	-3.1925	-5.805	-2.5895	-3.048	-2.967	-0.799	-0.796	-3.788	-2.214	-2.292	-1.968	-2.388	-3.151	-0.03	0.037	-0.429	-0.424	-0.426	0.125	-2.217	-1.071	-0.034	0.031	-1.437	-1.542	-0.475
