	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"
"YGR110W"	0.4025	0.8115	0.3605	1.12	0.807	0.431	0.606	0.6035	0.5415	0.83	0.619	1.155	0.644	0.453	1.265	0.267	0.994	1.025	1.553	1.492	1.369	0.882	3.059	3.408	3.575	2.845	3.106	3.427	4.541	0.65	2.006	1.881	2.242	2.425	2.361	3.976	2.805	2.625	2.566	2.578	4.305	3.146	-0.217	1.065	1.671	2.627	0.292	0.01	0.706	1.24	-0.019	0.183	0.384	-0.124	-0.112	0.416	-0.321	1.158	1.658	1.88	0.701	0.743	1.094	0.039	1.577	-0.513	-0.497	2.049	1.613	1.652	1.2435	0.391	2.758	3.419	2.854	3.213	3.774	2.809	3.468	-0.082	-0.38	-0.299	0.088	1.572	2.622	3.029	1.046	1.448	1.031	0.724	-0.783
"YGR183C"	0.6305	1.1535	1.02	1.033	0.8015	0.4085	0.1555	0.223	1.0275	1.456	1.041	1.39	0.4155	0.111	0.42	0.98	0.426	0.139	0.147	-0.071	-0.51	-0.163	2.516	2.937	3.093	2.609	1.742	3.487	3.414	1.116	1.924	1.266	1.583	1.511	1.834	2.594	2.333	1.945	2.742	3.301	3.204	2.341	-0.191	0.044	0.726	0.987	0.646	0.203	0.434	-0.451	0.985	0.411	-0.218	-0.323	-0.014	0.226	-0.645	0.093	0.186	0.034	0.283	0.225	0.149	0.232	0.497	-0.99	-1.115	1.505	0.538	0.509	1.352	1.145	2.669	3.35	2.072	2.247	2.779	2.596	2.973	0.349	0.253	-0.04	0.696	1.424	1.017	0.971	1.026	2.2	1.081	1.416	0.729
"YGR236C"	1.5705	1.2755	0.282	1.042	0.592	0.446	-0.6995	-0.1495	-0.1315	0.0455	0.678	1.495	-0.35	0.099	0.055	-0.074	0.136	0.483	0.004	0.119	-0.098	-0.826	5.885	5.633	4.84	5.548	6.013	4.335	5.413	0.723	4.797	4.716	5.412	5.567	5.087	2.582	2.144	3.123	3.07	4.433	4.451	5.04	-0.582	-0.337	3.681	3.301	-0.265	-0.166	1.257	-0.014	0.354	-0.108	0.677	-0.443	0.085	0.3315	-0.213	0.631	0.972	0.874	0.156	0.479	0.531	-0.926	0.585	-0.733	-0.606	4.122	0.879	1.468	1.557	0.927	6.492	7.961	4.95	6.284	6.182	5.837	5.338	-0.597	-0.4	0.258	1.386	2.972	NaN	2.895	-0.994	0.026	-0.417	1.165	0.339
"YGR243W"	3.2135	3.8465	3.233	3.0145	2.825	0.4795	-0.316	2.14	2.767	1.0685	2.8095	1.771	0.17	0.745	-0.098	1.931	2.514	2.16	1.861	1.267	0.849	0.169	4.614	4.911	5.283	4.612	5.095	5.612	5.628	1.109	5.402	3.855	4.495	3.75	3.675	3.651	4.059	3.864	3.442	5.617	5.108	4.88	-0.227	-1.0	3.605	3.092	0.866	4.203	4.936	-0.759	1.416	0.383	-0.807	-1.008	0.164	0.3975	0.028	4.944	4.579	4.645	4.334	3.985	4.276	0.0	1.1	-0.276	-0.317	4.328	-0.182	-0.513	3.3865	4.307	6.112	6.012	5.015	5.734	6.73	5.893	5.542	0.238	-0.374	-0.115	1.791	3.444	2.05	2.218	3.234	3.035	2.804	3.212	1.29
"YHL032C"	0.6645	0.8555	1.395	1.139	1.1415	0.984	-0.1205	0.3675	0.741	0.995	0.998	1.854	-0.1985	0.049	0.159	0.394	0.737	0.609	0.736	0.266	0.084	0.013	3.295	4.517	2.199	3.994	1.068	1.326	0.728	0.683	1.419	2.655	2.794	2.646	2.109	1.994	1.534	0.965	0.806	1.472	1.904	1.897	-0.661	-0.216	1.408	1.95	0.274	-0.232	0.307	-0.029	0.178	0.271	-0.393	-0.491	0.167	0.2765	-0.03	0.148	0.484	0.294	-0.233	0.341	0.691	-0.04	0.363	-0.379	-0.498	2.573	-0.428	-0.186	1.431	0.923	2.223	2.68	1.187	2.558	3.059	1.023	2.259	0.012	-0.167	0.022	0.91	1.533	0.705	-0.043	1.907	1.835	2.385	1.716	-0.451
"YHR051W"	0.5035	1.5435	1.3665	1.1595	1.0225	0.396	0.2215	1.0285	1.058	1.313	1.449	1.176	0.604	0.16	0.297	1.004	0.701	0.195	0.267	-0.083	-0.202	-0.226	2.562	3.688	3.419	2.769	2.012	2.399	2.191	0.329	1.784	1.64	1.91	1.879	1.817	3.332	2.68	2.112	1.853	2.322	1.808	1.49	-0.384	-0.053	2.302	2.934	0.385	-0.108	-0.131	-0.074	0.74	0.459	-0.132	0.11	-0.172	0.2315	-0.547	-0.655	-0.155	-0.346	-0.313	-0.241	-0.286	-0.023	0.719	-0.922	-1.058	1.741	0.902	0.456	1.196	1.271	3.028	3.999	3.435	2.435	3.973	4.032	2.958	0.299	0.217	0.03	0.85	0.996	0.804	0.931	1.401	1.907	1.031	1.293	0.25
"YHR096C"	2.05	4.316	5.573	5.3105	4.401	2.702	0.207	2.5435	3.4085	5.0375	5.238	2.424	2.121	1.377	1.669	0.243	0.646	1.126	1.075	0.425	0.059	-0.248	4.284	5.741	5.093	5.155	5.155	4.52	5.687	2.368	4.524	4.426	4.823	4.644	4.582	3.276	4.069	4.974	4.183	5.745	6.472	5.826	0.683	3.293	1.841	3.498	1.658	1.2	2.941	-0.015	1.274	1.555	0.566	-0.936	-0.001	2.0455	0.07	3.148	3.597	3.595	1.659	2.337	3.101	0.11	2.168	-0.228	-0.196	2.974	3.156	2.415	6.7425	1.871	5.589	5.478	4.324	4.216	6.151	4.914	6.856	0.625	-0.595	-0.62	1.449	4.354	5.733	4.467	-0.922	0.235	0.79	2.74	2.495
"YHR195W"	1.2345	1.7435	1.6935	1.897	1.5025	0.0735	0.213	0.85	0.9565	1.262	1.16	0.528	0.6115	0.189	0.249	0.911	0.873	0.77	0.584	0.275	0.081	-0.378	3.151	1.548	1.496	1.62	1.817	1.818	2.079	1.464	1.976	1.262	1.36	1.173	0.866	0.828	1.032	1.57	1.492	2.051	2.066	1.785	0.333	0.25	2.422	1.675	0.741	-0.417	1.152	0.419	0.972	0.662	-0.185	0.208	-0.084	0.134	-0.122	0.586	1.166	0.955	0.298	0.777	0.766	0.315	0.488	0.323	0.24	1.742	1.052	0.98	1.5155	0.922	1.314	1.737	1.353	2.657	1.876	1.079	2.427	-0.078	0.016	0.154	1.201	1.237	1.771	1.212	0.63	0.724	1.375	1.308	0.291
"YIL045W"	2.055	1.251	1.198	1.043	1.0975	0.2855	0.5095	0.6845	0.757	1.7175	1.4795	1.113	-0.2535	1.313	0.372	0.086	0.453	0.237	-0.254	0.123	0.172	0.229	4.837	3.725	3.789	4.285	5.025	4.058	4.605	1.688	2.699	2.691	2.176	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	2.963	0.142	-0.373	0.72	0.594	0.175	1.384	3.234	0.893	0.579	-0.038	-0.009	-0.159	-0.009	-0.304	0.087	2.141	2.037	1.75	1.892	1.915	1.491	0.146	0.658	0.348	0.494	2.832	3.84	3.974	1.9585	1.063	2.782	2.929	2.827	3.875	2.985	2.251	3.3	-0.285	-0.034	0.033	1.893	2.0	2.916	2.223	1.008	1.438	1.375	0.788	1.103
"YIL057C"	1.009	0.4925	-0.313	0.1495	-0.04	-0.3645	-0.9005	-0.129	0.111	0.6165	0.1265	2.351	-0.455	-0.171	-0.05	-0.422	-0.028	0.104	-0.576	-0.516	-0.481	-0.73	4.935	6.561	7.093	6.563	6.542	5.5	6.544	-0.013	5.73	6.057	6.302	1.241	6.257	4.439	4.612	2.754	2.592	6.044	6.174	5.453	-0.653	-0.379	0.554	1.982	-0.209	0.67	2.239	0.038	0.055	0.105	-0.627	-0.243	0.114	0.147	-0.379	1.602	1.518	1.123	1.547	1.52	1.466	-0.503	-0.138	-0.662	-0.399	5.043	-0.048	-0.097	1.13	-0.202	4.799	5.812	1.115	3.196	5.445	4.778	4.052	0.006	0.027	0.052	3.217	2.139	4.637	4.274	3.774	4.298	3.82	2.567	0.347
"YIL087C"	1.1015	1.603	2.417	3.0805	1.9465	1.397	0.4975	0.9775	1.535	2.07	1.8265	0.963	1.281	0.009	0.05	0.959	1.388	1.617	1.495	0.996	0.821	0.005	3.671	3.897	2.31	2.048	2.39	1.61	NaN	1.5	2.003	1.563	1.187	1.325	1.48	3.174	2.153	2.187	2.42	3.014	2.869	2.391	-0.033	0.933	2.13	2.095	1.14	0.453	1.189	0.356	0.474	0.665	0.238	0.046	0.128	1.2035	0.215	0.433	0.898	0.7	0.533	0.448	0.76	0.204	0.82	0.242	0.193	1.636	1.107	1.001	2.865	0.427	2.942	2.843	1.679	3.578	3.235	2.076	2.399	0.68	0.374	0.318	2.232	0.969	2.813	2.636	2.07	3.038	1.98	2.013	1.153
"YIL136W"	2.6195	4.318	2.297	4.81	4.5115	1.479	2.303	2.249	3.5705	4.093	3.794	2.292	0.3735	1.164	1.937	2.451	3.611	3.364	3.375	2.8	1.889	1.189	5.349	6.184	4.276	6.125	3.55	3.821	3.306	3.374	3.633	3.895	4.339	3.863	-1.402	3.382	3.27	2.773	3.387	2.374	3.938	3.439	-0.232	1.737	3.914	2.318	2.624	0.79	2.974	1.007	2.82	3.293	1.266	1.452	0.28	1.0635	-0.005	3.068	3.701	3.756	2.993	3.409	3.592	0.807	0.836	0.951	0.887	5.48	2.003	2.02	3.8555	3.125	5.402	5.624	5.235	5.469	5.356	5.332	4.327	0.924	0.574	1.107	2.611	3.858	4.147	2.034	3.653	3.715	4.429	3.453	1.271
"YJL023C"	0.21	0.59	0.083	0.4075	0.346	-0.056	0.214	0.2755	0.39	0.3745	-0.0675	0.823	0.0785	0.103	0.091	0.303	0.209	0.205	-0.008	0.205	0.171	0.032	1.328	1.182	1.516	1.307	1.32	1.435	1.408	0.593	0.737	0.619	0.836	0.848	0.872	1.013	0.88	0.578	0.731	2.123	1.426	0.904	-0.009	0.308	1.013	0.851	0.349	-0.277	0.392	0.033	0.365	0.418	0.258	0.02	0.009	0.082	0.101	-0.034	0.359	0.286	0.026	0.223	0.343	-0.102	0.0	0.204	0.249	0.888	0.737	1.083	0.324	-0.0995	0.9815	1.787	0.712	0.95	1.1915	1.2695	1.4805	-0.173	-0.0935	-0.15	0.326	0.277	1.545	1.0255	-0.085	0.6455	0.3605	0.6695	-0.1835
"YJL048C"	1.2005	1.641	1.1105	2.642	2.2155	2.599	0.8525	0.878	1.284	2.0455	1.085	0.991	0.2385	0.512	0.611	1.375	1.655	1.798	1.47	1.451	2.059	1.283	3.61	2.909	3.215	3.749	3.083	2.646	2.065	1.066	2.857	2.751	2.485	2.429	2.308	1.876	1.831	2.324	1.267	2.076	2.013	1.04	0.085	0.787	1.546	1.382	1.021	0.133	1.011	-0.148	0.862	1.033	0.371	0.266	0.404	1.031	0.8	0.773	1.249	1.159	0.8	0.9	0.983	0.063	1.707	-1.45	-1.296	1.714	1.643	1.218	2.562	0.827	3.428	3.625	2.146	3.542	3.681	2.98	2.911	1.154	0.22	0.203	1.197	1.91	1.443	0.916	2.245	1.914	2.12	0.661	0.594
"YJL066C"	1.313	2.291	2.484	1.324	2.363	1.68	1.132	0.9545	2.0645	2.2855	2.4895	1.51	0.5275	0.073	0.308	1.424	1.725	1.585	1.647	1.1	1.083	0.275	3.176	3.323	3.479	2.755	2.79	3.462	4.019	1.057	1.801	1.811	1.934	1.663	1.583	2.344	1.306	2.029	2.063	3.576	3.436	2.791	0.288	1.446	0.84	1.048	1.816	0.568	1.578	0.115	1.335	1.543	-0.026	1.14	-0.228	1.355	0.007	1.574	1.874	1.89	1.186	1.424	1.574	0.454	1.162	-0.151	0.014	2.401	0.269	0.147	2.9045	1.4	2.893	2.947	1.997	4.144	3.6	3.185	2.863	0.569	0.23	0.068	1.613	1.902	1.467	0.77	2.702	3.287	3.058	2.196	1.008
"YJL103C"	1.054	2.011	3.288	1.943	1.6305	1.6905	0.4915	0.6805	1.3185	1.3855	1.0685	0.688	0.2065	0.172	0.596	1.201	1.016	0.737	0.757	0.344	0.183	-0.478	3.518	3.541	3.739	3.366	3.386	3.31	4.161	1.276	2.515	1.735	2.684	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.006	-0.156	0.25	2.229	2.668	-0.332	-0.685	0.772	0.455	1.007	0.425	0.013	-0.436	-0.094	0.0835	-0.447	0.448	1.066	0.805	0.197	0.758	0.867	0.036	1.15	-0.126	-0.219	0.352	1.552	1.399	1.6965	0.4725	1.9115	3.146	2.8995	2.897	3.1435	2.411	2.663	0.173	0.008	0.04	0.9985	1.0455	1.528	1.6935	1.126	0.571	0.826	0.6665	0.596
"YJL155C"	1.05	1.8935	1.931	2.1955	1.423	1.2145	0.223	0.5565	1.3205	1.4235	1.444	0.547	1.1	0.453	1.098	1.477	1.544	1.395	1.021	0.672	-0.596	-1.344	3.286	2.56	2.079	1.745	2.247	1.743	2.926	2.01	2.646	2.032	1.618	1.556	1.182	2.864	2.005	2.466	2.552	3.346	3.436	3.129	0.175	0.871	1.795	2.013	1.129	-0.617	1.252	0.817	1.115	0.127	0.164	0.23	0.096	0.819	0.311	0.441	1.017	0.548	0.445	1.047	1.377	-0.015	0.491	0.853	0.699	2.385	1.413	1.8	1.8415	0.722	3.737	3.76	2.479	3.452	3.254	2.793	2.891	0.416	0.181	0.383	1.733	1.624	2.454	1.866	1.18	1.44	1.659	0.762	0.551
"YJL163C"	1.5855	2.5895	3.0055	5.781	2.034	0.5145	0.478	0.881	1.6395	2.0905	2.1745	1.04	1.039	0.246	0.055	1.775	1.559	1.842	1.566	1.112	0.07	0.12	3.842	2.233	3.424	2.79	3.922	3.8	5.291	2.03	1.602	1.835	1.743	1.552	1.668	3.863	3.154	4.047	4.772	5.26	5.571	4.674	-0.463	0.438	1.402	2.308	1.265	0.466	2.28	0.587	1.151	0.924	-0.29	-0.099	0.036	0.5805	-0.452	1.958	2.335	1.774	1.304	1.902	2.075	0.033	1.175	-0.039	0.263	1.213	2.537	3.309	2.3505	2.248	1.762	2.681	2.677	3.147	2.17	1.792	2.68	0.202	0.387	0.437	1.881	2.039	2.553	2.425	1.421	1.388	1.105	0.874	0.89
"YJL166W"	1.3355	1.8145	1.501	3.694	1.835	0.651	0.6415	0.4355	1.4775	2.2645	1.883	1.485	1.2545	0.613	0.733	1.356	1.002	0.665	0.588	0.182	0.354	0.041	3.137	3.667	3.5	3.101	2.498	3.751	3.849	1.054	2.392	2.57	2.339	2.197	2.526	3.028	2.833	2.507	2.963	3.264	3.664	3.32	0.219	0.26	1.878	1.383	0.812	0.073	0.776	-0.171	1.359	1.055	0.2	0.509	0.021	0.7645	-0.394	1.161	1.321	1.151	0.421	0.482	0.496	0.095	1.362	-0.569	-0.759	1.113	1.203	0.888	2.077	1.03	4.107	3.65	3.802	2.806	3.428	3.524	3.809	0.153	-0.1	-0.308	0.772	0.992	0.898	0.865	0.981	0.984	0.693	1.427	1.226
"YJL185C"	0.4015	1.414	0.475	0.9745	0.768	0.9445	0.199	0.8095	0.6965	0.9725	0.984	1.141	0.4385	0.039	0.772	0.239	0.464	0.619	0.884	0.826	0.451	0.252	2.062	2.22	2.091	1.526	1.748	2.056	3.178	0.381	1.358	1.2	1.493	2.057	1.529	2.666	1.76	2.126	2.385	2.188	4.108	3.299	-0.653	0.466	0.875	1.918	0.507	0.698	1.018	0.052	0.127	0.585	0.313	-0.264	0.083	0.2475	-0.282	0.917	1.013	1.133	0.835	0.875	0.895	0.199	0.678	-0.165	-0.174	1.301	1.031	0.863	1.1405	0.484	2.152	1.808	0.81	1.727	2.015	1.118	1.24	-0.035	0.141	0.016	1.555	2.0	2.908	2.711	1.17	1.651	0.948	1.376	0.439
"YJR008W"	2.404	4.05	3.38	2.5185	2.6695	1.491	0.57	0.7225	2.33	2.81	2.208	1.406	-0.0895	1.211	1.78	0.757	1.126	1.421	0.317	0.585	0.769	0.319	2.34	2.316	3.929	3.529	4.368	3.419	3.964	2.285	3.745	3.536	2.826	1.935	3.793	3.467	3.586	3.187	3.699	4.553	5.21	4.377	0.686	1.62	1.931	1.781	1.015	1.34	1.838	-0.031	1.049	1.051	0.102	0.514	0.038	1.377	-0.144	1.667	1.513	1.765	1.555	1.425	1.54	0.218	1.014	0.126	0.232	2.805	2.3	2.326	2.806	2.387	3.648	3.265	2.533	3.072	3.435	2.523	3.297	0.497	0.172	-0.027	2.581	2.472	2.944	2.817	2.633	2.974	2.809	2.522	0.574
"YKL026C"	0.9095	1.979	2.2195	2.506	1.669	1.2625	0.131	0.909	1.275	2.0745	1.793	0.848	1.444	1.487	1.417	0.645	0.879	1.388	1.355	1.162	1.004	0.059	4.553	3.42	4.251	4.429	4.068	3.618	5.561	1.697	3.587	3.848	3.239	3.305	3.067	3.106	2.687	3.137	3.607	4.354	3.97	3.468	0.059	2.452	3.843	3.191	1.303	0.187	1.806	0.927	0.538	1.571	0.677	0.059	0.101	1.606	0.157	0.766	1.439	1.522	0.762	1.227	1.317	0.129	1.407	0.434	0.24	1.288	2.371	2.834	2.634	1.391	3.937	5.449	4.434	3.949	4.063	3.2	3.668	0.256	0.029	0.083	4.005	3.417	4.872	4.16	3.365	6.475	2.871	3.971	0.651
"YKL093W"	0.86	1.489	2.467	1.907	1.872	0.931	0.422	0.654	1.138	1.891	2.147	1.139	0.917	0.915	1.477	0.5	0.826	0.677	0.56	0.288	0.412	0.054	5.448	4.655	4.714	4.393	4.525	4.208	4.369	0.562	2.966	3.199	3.212	2.953	3.082	4.872	3.902	2.916	2.536	2.725	3.515	2.14	-0.163	0.786	2.251	2.314	0.643	0.622	2.515	0.247	0.796	0.595	0.197	0.085	0.06	0.814	0.292	1.45	1.642	1.688	1.52	1.819	1.784	0.344	0.753	-0.082	-0.308	2.745	2.544	1.743	2.213	0.575	4.428	4.865	2.992	4.992	4.664	3.337	3.528	-0.254	-0.278	-0.304	2.271	2.899	3.144	3.011	2.451	2.976	2.4	2.533	0.103
"YKL148C"	1.901	2.968	3.187	3.015	2.686	2.205	1.048	1.527	2.214	2.788	2.705	0.437	0.559	0.384	0.393	1.388	1.067	1.04	0.726	0.119	-0.701	-0.736	4.34	5.409	4.444	4.55	3.513	3.419	1.344	1.165	2.584	2.311	2.666	2.463	2.127	3.649	3.541	3.258	2.644	3.254	3.476	2.365	-0.425	0.03	2.339	2.498	1.099	0.508	1.862	0.126	1.227	0.954	-0.708	-0.489	0.135	0.485	-0.357	1.907	1.989	1.449	1.182	1.37	1.583	0.318	1.425	-1.431	-1.371	2.355	0.859	0.721	2.844	1.699	2.912	3.686	2.525	2.514	0.695	3.227	2.242	0.278	-0.172	-0.143	0.669	1.197	1.182	0.855	1.327	0.593	1.865	0.142	1.03
"YKL171W"	1.032	1.17	1.119	NaN	0.571	0.751	0.337	-0.189	0.63	1.093	0.916	0.107	0.175	0.135	-0.113	-0.253	-0.072	0.018	0.099	0.044	-0.13	0.13	2.975	2.732	1.981	2.48	2.215	2.459	2.01	0.75	1.677	2.034	1.204	2.02	1.73	1.246	0.992	1.417	1.626	1.6	1.107	1.326	-0.232	0.268	1.066	1.772	0.482	-0.236	0.642	0.614	0.054	0.366	-0.046	-0.767	-0.082	0.164	0.121	0.567	0.453	0.441	0.041	0.165	0.538	-0.222	0.202	-0.216	-0.1	1.605	0.931	0.8	1.242	0.304	0.62	2.197	2.028	1.954	2.196	0.791	1.237	0.089	0.069	0.009	0.748	1.146	1.436	0.672	1.369	0.822	1.166	0.453	0.05
"YKL187C"	0.809	1.855	3.147	2.953	2.346	0.694	-0.264	0.323	1.793	3.596	3.674	2.618	0.914	0.085	-0.09	1.446	3.093	3.23	2.743	1.904	0.906	-0.134	3.195	4.289	4.917	4.657	5.015	3.151	5.575	1.5	1.311	1.255	3.166	3.771	3.338	1.695	3.45	2.909	2.31	4.717	5.088	4.51	0.075	0.118	2.306	3.834	0.308	-0.376	0.763	1.201	-0.117	0.092	-0.16	-0.384	-0.094	0.597	-0.153	0.513	0.801	0.61	0.2	0.517	0.995	-0.238	0.482	-0.065	-0.229	2.083	0.455	0.572	4.123	1.256	1.726	3.123	1.992	2.958	3.799	2.705	2.829	-0.553	-0.339	-0.374	-0.259	2.901	3.943	3.297	-0.142	0.343	-0.01	0.95	-0.387
"YKL217W"	0.729	2.322	2.197	2.078	0.928	0.883	-0.034	-1.467	0.874	1.43	1.7	2.059	-0.026	-0.026	-0.047	0.201	0.272	0.684	0.42	0.298	0.159	0.285	5.715	6.332	5.482	5.515	5.188	5.504	6.057	0.66	4.078	3.919	4.968	4.881	4.935	5.204	5.036	4.489	4.2	6.184	7.178	6.94	-0.022	0.219	3.613	4.249	0.201	-0.123	1.312	-0.59	-0.125	0.302	-0.16	-0.351	0.102	0.131	-0.035	0.756	1.109	0.923	0.461	0.799	1.219	0.493	0.61	-0.497	-0.588	3.157	0.068	0.003	2.407	1.206	5.399	6.083	4.87	3.813	6.592	6.498	5.542	-0.436	-0.124	-0.521	1.861	3.396	3.863	3.437	2.16	1.298	2.822	1.386	-0.381
"YKR009C"	0.534	0.66	1.476	1.214	1.142	0.709	0.35	0.701	0.954	1.478	0.937	1.513	0.293	0.22	0.537	0.242	0.487	0.863	0.249	0.2	0.575	0.168	3.745	3.401	3.725	4.306	3.934	1.861	3.808	0.947	2.174	2.628	1.431	3.166	2.958	2.522	2.425	1.963	1.392	4.39	3.928	3.376	-0.049	0.764	0.813	1.21	0.848	0.435	2.068	0.473	0.641	0.939	0.429	0.177	0.332	0.556	0.32	0.782	1.375	1.196	1.09	1.581	1.792	0.358	0.84	-0.089	0.0	1.162	2.025	1.16	1.717	0.488	1.071	2.304	1.02	2.707	2.301	2.185	2.722	-0.667	-0.188	-0.227	1.33	1.855	2.501	2.303	0.723	0.165	0.71	1.752	0.222
"YLL019C"	1.0235	0.9315	1.734	1.1685	1.559	0.8705	0.696	0.463	1.4005	1.8155	1.6465	0.6475	0.9705	0.21	0.193	0.0015	0.435	0.557	0.622	0.1915	0.181	0.3245	1.971	1.624	2.0355	1.832	1.8805	1.9865	2.1885	1.0215	1.102	1.0635	1.257	1.021	0.6375	1.397	1.255	1.789	1.8515	1.9515	1.767	1.3115	0.137	0.803	1.042	1.507	0.911	-0.096	1.291	0.1075	0.62	0.9465	0.401	0.263	0.013	0.7625	-0.0485	1.322	1.5565	1.4665	1.0165	1.2295	1.324	0.283	0.7715	0.0055	0.0245	1.933	0.8285	0.943	1.6225	1.304	2.302	2.654	2.889	2.511	2.838	2.632	2.205	0.721	0.621	0.404	0.344	1.02	1.395	1.358	1.402	0.273	1.265	0.562	0.236
"YLL020C"	1.269	2.301	2.175	0.635	1.787	1.146	0.84	0.835	1.436	2.303	1.547	1.152	1.2	0.328	0.348	0.2	0.742	0.631	0.807	0.528	0.367	0.308	2.548	2.425	2.819	2.393	2.931	3.266	3.846	1.63	1.718	1.37	1.193	1.519	1.423	1.886	1.633	2.494	2.677	3.623	3.679	3.754	0.124	0.626	0.554	1.512	0.534	-0.155	2.004	-0.007	0.788	0.688	0.018	0.006	0.281	0.819	-0.174	2.105	2.161	1.839	0.828	1.562	1.456	0.459	0.674	-0.337	0.063	2.314	1.227	1.505	1.901	0.429	2.446	2.618	2.643	2.452	2.687	2.212	2.504	0.862	0.82	0.681	0.713	1.243	1.257	1.354	0.921	1.484	0.397	-0.4	0.235
"YLL027W"	-1.232	-0.349	-0.037	0.9	0.323	-0.118	-0.146	-0.082	0.598	0.823	0.896	0.513	0.477	-0.339	0.029	-0.041	-0.186	-0.273	0.042	-0.045	-0.029	0.088	1.043	1.93	2.151	1.734	1.425	1.493	2.08	0.666	0.535	0.495	1.03	1.238	1.253	1.21	1.252	1.264	1.344	1.09	0.931	0.522	-0.184	0.875	0.662	1.113	0.158	-0.137	0.928	-0.935	0.453	0.471	0.413	0.21	-0.038	0.295	-0.643	0.459	0.509	0.44	0.073	0.194	0.12	-0.006	0.692	-0.498	-0.143	1.003	0.941	0.646	0.489	0.273	2.361	1.569	1.436	0.915	1.717	2.031	1.96	0.295	0.435	0.087	0.103	1.05	1.984	1.81	0.847	1.288	1.027	1.586	-0.039
