	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1302.diauxic shift timecourse: 15.5 hr"	"1303.diauxic shift timecourse: 0 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"27101.P1Comp 07 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34347.wt_hypo_osmotic_shock_0min"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YHR203C"	1.231	1.011	0.884	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.917	-2.575	-3.081	-3.941	0.108	0.39	0.243	-0.087	0.058	-0.052	-1.971	-0.165	0.702	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-0.097	-2.05	0.56	0.497	0.591
"YHR204W"	0.745	0.67	0.62	-1.236	-0.465	-0.285	-0.373	-0.09	-0.642	-1.658	-2.025	-1.294	-0.668	-0.88	-1.121	-0.066	0.204	0.069	-0.076	-0.188	0.172	0.601	-0.411	0.396	-1.518	-1.648	-1.07	-1.497	-1.541	-1.259	-0.313	-0.526	-0.326	-0.436	-0.532
"YHR216W"	1.01	0.917	0.816	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-1.762	-2.237	-2.621	-2.913	-0.112	0.363	0.269	-0.273	-0.081	0.259	-1.833	-0.596	0.089	-2.109	-3.074	-2.509	-3.001	-2.823	-2.765	0.136	-3.045	0.138	0.1	0.118
"YIL018W"	1.253	1.177	1.056	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.362	-2.661	-3.27	-3.914	0.085	0.361	0.193	-0.012	-0.089	0.349	-1.905	-0.308	0.224	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	0.0	-1.765	0.802	0.674	0.561
"YIL047C"	0.44	0.52	0.057	-0.908	0.345	-0.029	0.58	1.056	1.044	1.963	2.254	-1.229	2.807	3.997	3.773	-0.357	-0.064	0.064	0.113	0.219	0.22	-0.776	-0.306	-0.077	-1.526	-0.349	0.524	-2.269	-0.779	-0.647	-0.404	0.102	0.446	-0.189	-0.079
"YIL090W"	0.367	0.181	0.233	-0.54	0.504	0.205	0.299	0.078	0.396	-0.286	-1.085	-0.948	-0.345	-0.554	-0.68	-0.266	-0.037	-0.093	-0.148	0.09	0.261	-2.539	-0.446	0.154	-0.906	-1.004	-1.557	-0.461	-0.699	-0.862	-0.346	-0.507	0.394	0.165	0.273
"YIL110W"	1.05	0.92	0.477	-2.095	-1.733	-1.333	-1.395	1.513	-0.964	-2.455	-3.072	-1.151	-1.775	-2.473	-2.492	0.612	0.075	-0.021	-0.194	-0.336	0.409	NaN	0.199	0.347	-2.022	-1.619	-1.081	-2.182	-1.8	-1.251	-0.568	-2.239	0.157	0.236	0.155
"YIL133C"	1.02	0.983	0.899	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-2.693	-5.79	-2.93	-2.615	-3.007	-3.393	-0.119	0.405	0.134	-0.135	-0.165	0.241	-2.184	-0.308	0.894	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-0.073	-1.856	0.458	0.439	0.455
"YJL087C"	0.222	0.37	0.686	-0.701	-1.038	-0.42	-0.272	-0.879	-0.481	-2.195	-2.16	-2.062	-1.856	-1.935	-1.807	-0.121	-0.144	-0.19	-0.206	-0.057	0.224	-1.101	-0.232	-0.137	-1.308	-1.3545	-1.6995	-1.904	-1.377	-1.1085	-0.576	-0.209	0.093	-0.0515	0.0605
"YJL111W"	1.059	0.527	0.821	-1.744	-1.717	-1.355	-1.285	-1.375	-1.323	-3.38	-6.57	-1.929	-1.573	-1.994	-2.239	-0.137	0.346	-0.012	-0.134	-0.482	0.556	-1.871	0.177	0.279	-2.75	-2.343	-1.819	-1.829	-2.027	-2.019	-0.219	-1.102	0.006	-0.163	-0.009
"YJL183W"	0.489	0.42	0.582	-2.65	-1.47	-1.069	-2.032	-2.434	-1.944	-2.097	-4.986	-2.067	-1.66	-2.208	-2.121	-0.023	0.369	0.089	0.057	-0.268	0.069	-0.46	-0.272	-0.163	-2.838	-2.286	-1.656	-2.116	-1.595	-1.189	-0.482	-0.544	0.859	0.606	0.654
"YJL188C"	1.008	1.159	0.709	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.24	-2.169	-2.54	-2.776	0.058	0.088	-0.039	0.246	0.298	0.583	-1.505	0.842	0.369	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	0.219	-1.398	0.901	0.821	0.663
"YJL189W"	1.089	0.91	0.731	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.446	-1.577	-2.282	-2.837	-0.022	0.045	-0.47	-0.404	-0.016	0.352	-1.288	0.462	0.176	-2.736	-2.597	-2.818	-2.888	-2.522	-2.288	0.292	-1.14	0.766	0.631	0.558
"YJL190C"	1.36	1.453	1.126	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.969	-2.941	-3.365	-3.524	0.148	0.177	0.24	0.298	0.1	-0.032	-2.112	-0.836	0.457	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	-0.227	-2.045	0.641	0.593	0.559
"YJL195C"	0.193	0.228	0.507	-2.268	-1.333	-1.245	-1.218	-1.305	-1.371	-1.651	NaN	-0.897	0.31	-0.086	0.184	-1.193	0.058	-1.235	-1.072	-0.097	-0.176	0.107	0.193	0.845	-1.263	-0.917	-1.518	-1.875	-1.319	-0.84	-0.408	0.195	-0.551	-0.163	-0.268
"YJL208C"	0.758	0.922	0.522	-2.326	0.095	-0.447	-0.827	-1.206	-1.191	-2.879	-3.324	-1.817	-1.647	-2.188	-1.371	-0.404	0.098	-0.206	0.002	0.069	0.203	-1.315	-0.424	0.139	-3.074	-1.825	-1.581	-3.351	-1.603	-0.997	-0.218	-1.377	-0.02	-0.079	-0.063
"YJR016C"	NaN	0.911	0.344	-4.202	-1.993	-1.491	-1.274	-1.146	-1.028	-2.006	-5.079	-3.415	-0.939	-1.747	-2.976	-0.351	0.408	0.069	-0.384	0.165	0.342	-2.73	-0.583	0.06	-2.8	-1.964	-0.994	-2.779	-2.158	-1.538	0.507	-3.013	-0.043	-0.095	0.148
"YJR032W"	0.379	0.051	0.086	-2.197	-1.721	-0.908	-1.348	-1.137	-1.097	-2.635	-3.054	-1.562	-1.546	-1.609	-1.727	0.236	0.13	0.105	-0.093	0.401	0.34	-0.555	-0.151	0.24	-1.432	-1.954	-0.978	-2.495	-1.712	-1.064	-0.219	-0.585	0.433	0.388	0.485
"YJR042W"	0.048	-0.111	0.7245	-0.579	-0.309	0.4115	-0.863	-1.05	0.09	-1.7145	-1.7805	-0.5365	-0.4935	-0.3795	-0.1555	-0.301	-0.075	-0.185	-0.203	0.026	-0.018	-1.412	-0.2715	0.522	-0.459	-0.869	-1.0165	-0.7765	-0.563	-0.8	0.26	0.3495	0.0395	0.0405	-0.3805
"YJR047C"	0.828	0.68	0.494	-1.68	-1.561	-0.57	-0.362	-0.423	-0.619	-1.06	-3.054	-0.793	-0.66	-1.285	-2.504	-0.244	0.214	-0.162	-0.277	-0.323	0.265	-1.248	-0.184	0.623	-1.973	-1.411	-1.555	-1.978	-1.688	-1.092	0.666	0.218	0.755	0.732	0.686
"YJR054W"	0.207	0.353	0.573	-2.133	-1.476	-0.652	-1.292	-1.086	-0.967	-1.262	-2.301	-1.302	-1.305	-2.0	-1.547	-0.586	0.145	-0.451	-0.337	-0.062	0.031	-0.945	-0.259	-0.628	-2.156	-2.072	-1.384	-2.504	-1.804	-1.541	0.177	0.771	-0.098	0.016	-0.073
"YJR070C"	1.246	1.272	1.129	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-3.511	-7.226	-3.471	-1.463	-2.254	-2.322	0.174	0.257	0.289	-0.495	-0.414	0.464	-3.782	-0.998	0.309	-3.069	-2.355	-1.434	-3.754	-3.104	-2.692	-0.118	-2.357	0.326	0.176	0.34
"YJR123W"	1.3	1.246	1.081	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-3.809	-2.639	-3.543	-4.006	-0.173	0.165	0.09	-0.184	-0.57	-0.141	-2.759	-0.341	0.658	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	0.164	-1.533	0.391	0.291	0.314
"YJR124C"	1.0	0.633	0.643	-2.856	-1.786	-1.605	-1.729	-2.069	-2.068	-2.359	-2.412	-1.609	-1.401	-1.723	-2.242	-0.557	-0.04	0.403	-0.283	-0.304	0.352	-1.013	-0.619	0.152	-1.665	-1.941	-1.098	-3.078	-2.439	-1.866	-0.699	-1.495	-0.012	-0.089	-0.125
"YJR145C"	1.17	1.341	0.963	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-3.551	-2.519	-3.105	-3.178	-0.185	0.134	-0.333	-0.365	0.112	-0.168	-3.157	0.091	0.803	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-0.107	-1.724	0.61	0.573	0.516
"YKL060C"	0.893	0.662	0.475	-2.383	-1.744	-0.364	-0.454	-0.207	-0.401	-1.412	-4.684	-0.705	-0.564	-1.392	-2.196	0.289	0.193	-0.003	0.196	0.065	0.008	-0.854	0.04	-0.169	-2.26	-1.568	-0.858	-1.374	-1.758	-1.542	0.318	-0.251	0.221	-0.299	0.136
"YKL081W"	1.515	1.025	0.724	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-3.28	-2.997	-2.811	-3.497	-0.487	0.19	-0.072	-0.7	-0.212	-0.179	-1.189	-0.671	0.483	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	0.352	-1.568	0.042	-0.067	-0.056
"YKL113C"	0.343	0.5745	0.7735	-2.701	-1.2675	-0.4395	-0.323	-0.7775	-0.721	-2.6995	-2.644	-2.212	-1.4465	-1.3135	-1.721	-0.558	0.349	0.069	-0.07	-0.288	0.228	-1.054	-0.086	-0.02	-2.369	-1.556	-1.993	-3.3	-1.92	-0.94	-0.589	-0.074	0.653	0.341	0.224
"YKL154W"	0.426	0.727	0.541	-1.585	-1.703	-1.223	-1.327	-1.486	-1.312	-2.701	-3.89	-1.149	-1.765	-2.132	-2.222	0.314	0.132	0.168	0.247	0.157	0.215	-0.316	-0.004	0.328	-2.361	-2.137	-1.684	-2.702	-2.572	-1.419	-0.507	-0.427	0.464	0.41	0.433
"YKL180W"	1.141	1.368	0.983	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.625	-2.059	-2.04	-2.857	0.305	0.09	-0.118	0.086	0.441	-0.05	-2.497	-0.38	0.734	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	0.366	-1.732	0.586	0.59	0.534
"YKL225W"	-0.485	-0.433	-1.078	NaN	NaN	1.0	NaN	NaN	NaN	0.17	NaN	NaN	1.249	1.07	0.903	-0.118	-0.047	-0.267	0.069	-0.313	-0.232	NaN	0.111	-0.676	0.88	1.753	1.196	0.668	0.51	0.376	0.069	0.615	-0.048	-0.04	-0.436
"YKR013W"	0.541	0.271	0.186	-2.29	0.17	0.856	-0.056	-1.541	-0.64	-3.03	-2.894	-1.04	-0.508	-0.788	-2.208	-0.005	0.02	0.206	0.095	0.016	0.024	-0.484	0.186	-1.065	-1.706	-0.942	-1.089	-2.752	-1.641	-0.256	0.159	-0.672	-0.049	-0.292	-0.158
"YKR026C"	0.833	0.523	0.517	-3.144	-2.386	-1.661	-2.212	-1.705	-1.843	-2.863	-3.755	-1.979	-1.858	-2.363	-2.231	-0.144	0.439	-0.065	0.061	0.224	0.237	-1.214	-0.003	0.172	-2.323	-1.851	-0.992	-1.972	-2.064	-1.268	-0.39	-1.269	0.441	0.351	0.383
"YKR076W"	-1.827	-1.823	-0.018	3.875	3.412	4.51	4.77	4.76	3.109	4.215	-0.113	2.875	4.985	4.234	3.654	0.547	-0.135	0.269	0.576	0.117	0.041	0.155	-0.267	0.612	3.013	2.863	1.964	4.538	3.998	2.687	0.161	1.017	-0.572	-0.491	-0.595
"YKR094C"	0.976	0.977	0.785	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-2.102	-1.792	-2.197	-2.387	-0.112	-0.036	-0.21	-0.2	-0.246	-0.055	-3.122	-0.353	0.617	-3.423	-2.549	-1.96	-3.694	-3.422	-2.865	-0.397	-1.704	0.545	0.622	0.526
"YLL044W"	1.121	1.115	1.006	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-3.313	-2.724	-3.494	-3.967	-0.461	0.327	-0.248	-0.238	-0.024	0.547	-2.458	-0.643	0.611	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	0.388	-2.417	0.595	0.521	0.575
"YLL045C"	1.394	1.348	1.206	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-2.943	-3.021	-3.731	0.17	0.243	-0.171	0.099	0.258	0.182	-2.44	-0.249	0.757	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	-0.009	-2.053	0.56	0.472	0.444
"YLR029C"	1.094	0.903	0.831	-3.174	-2.641	-3.465	-2.572	-2.334	-3.108	-3.615	-6.877	-2.777	-2.242	-2.378	-2.987	0.306	0.511	0.385	0.572	0.37	0.136	-1.866	0.087	0.22	-3.518	-2.733	-2.594	-3.637	-2.766	-2.153	0.015	-1.718	0.532	0.559	0.503
"YLR048W"	1.193	1.041	0.762	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-3.296	-2.294	-2.17	-3.634	-0.066	0.394	0.356	0.081	-0.249	0.225	-2.114	-0.418	0.028	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	0.016	-2.177	0.322	0.261	0.255
"YLR057W"	0.0	0.142	0.049	NaN	NaN	-0.911	-2.409	-2.365	-3.663	-1.719	-4.294	-1.018	-1.683	-1.94	-2.121	-0.139	-0.005	-0.398	-0.119	0.159	-0.026	NaN	-0.374	0.156	-1.58	-1.1	-0.963	-1.663	-1.084	-0.746	-0.982	-0.619	-0.684	-0.331	-0.08
"YLR062C"	1.164	1.05	1.07	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-3.6	-4.299	-4.293	-5.234	0.136	0.245	-0.028	-0.138	-0.324	0.189	-2.165	-0.184	0.648	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-0.273	-1.905	0.558	0.577	0.576
"YLR075W"	1.136	1.067	1.166	-4.356	-3.127	-2.622	-2.246	-2.047	-2.366	-1.991	-6.109	-2.552	-1.003	-2.135	-2.586	0.115	0.172	0.014	0.024	-0.197	0.3	-1.53	0.375	0.01	-4.584	-2.951	-2.268	-4.051	-3.6	-2.245	-0.346	-1.555	0.465	0.486	0.316
"YLR076C"	0.754	1.03	0.762	-3.332	-2.564	-2.261	-1.808	-1.463	-1.839	-1.78	-4.142	-1.405	-1.198	-1.871	-1.996	-0.072	0.283	0.015	0.274	0.114	0.15	-0.264	0.212	0.183	-4.238	-2.762	-2.446	-3.867	-3.418	-2.353	-0.081	-1.361	0.667	0.564	0.642
"YLR083C"	0.768	0.765	0.758	-3.703	-2.067	-1.922	-1.598	-2.021	-2.216	-3.767	-5.137	-2.718	-2.29	-3.88	-3.36	0.207	0.278	0.334	0.254	0.128	0.152	-1.961	-0.585	0.072	-3.186	-2.942	-1.706	-3.492	-2.869	-2.182	-0.538	-2.271	-0.095	0.008	0.072
"YLR129W"	0.833	0.944	0.869	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.12	-2.714	-2.42	-3.068	-0.667	-0.281	-0.376	-0.722	-0.185	0.335	-1.808	-0.663	0.43	-3.422	-2.781	-1.86	-4.119	-2.843	-2.213	-0.836	-1.753	-0.149	-0.011	-0.095
"YLR150W"	1.346	1.264	0.864	-2.804	-2.168	-1.847	-1.165	-1.319	-1.005	-2.579	-6.397	-2.284	-1.785	-1.84	-2.771	-0.068	0.455	-0.111	0.151	-0.31	0.359	-2.015	0.117	0.601	-3.064	-2.211	-1.554	-2.235	-2.285	-1.844	0.639	-1.093	0.6	0.425	0.504
"YLR183C"	0.428	0.457	0.554	-3.26	-2.307	-0.689	-1.607	-1.65	-1.912	-3.664	-3.782	-1.854	-1.791	-3.695	-3.132	0.028	0.156	0.357	0.089	-0.18	0.071	-1.281	0.333	0.193	-1.962	-2.055	-2.425	-3.342	-2.647	-1.395	-0.861	-0.63	-0.025	0.139	0.258
"YLR185W"	1.047	1.135	0.922	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-5.928	-2.94	-2.015	-2.479	-3.065	0.109	0.406	0.09	0.109	-0.035	-0.065	-2.147	-0.262	0.658	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-0.245	-1.832	0.544	0.663	0.539
"YLR188W"	0.334	0.519	0.173	-1.007	0.127	0.243	0.057	0.201	-0.146	-1.732	-2.848	-0.804	-0.637	-1.07	-1.029	-0.098	0.056	-0.214	-0.074	0.064	-0.006	NaN	-0.054	0.388	-2.305	-1.115	-1.301	-1.402	-1.335	-1.126	-0.103	-0.586	-0.04	-0.176	-0.151
"YLR264W"	0.631	0.922	0.819	-3.105	-2.523	-2.018	-1.862	-1.529	-1.693	-2.597	-5.152	-2.945	-1.649	-2.334	-2.391	0.066	0.2	0.514	0.45	0.354	0.294	-1.162	-0.924	0.037	-3.507	-2.202	-1.49	-3.145	-2.797	-2.013	-0.293	-1.505	0.583	0.465	0.465
"YLR293C"	0.886	0.877	1.013	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-2.379	-3.03	-3.186	-0.556	0.45	-0.186	-0.54	-0.14	0.475	-0.934	0.009	0.382	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	0.629	-1.162	0.372	0.457	0.406
"YLR333C"	1.149	0.802	0.708	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-5.863	-3.538	-1.584	-2.45	-2.848	0.478	0.19	0.155	0.317	-0.163	0.246	-1.828	-0.45	0.106	-4.086	-2.673	-1.894	-3.582	-2.843	-2.359	-0.212	-1.107	0.833	0.84	0.705
"YLR339C"	0.906	0.66	0.586	-3.243	-2.951	-2.69	-2.664	-3.285	-3.76	-4.988	-6.865	-2.453	-2.461	-3.161	-3.973	-0.403	0.375	0.214	0.006	-0.057	0.058	-2.141	-0.58	-0.059	-4.034	-3.474	-3.052	-3.409	-3.723	-3.161	0.013	-1.795	0.263	0.318	0.291
"YLR340W"	1.063	1.164	0.822	-2.59	-2.224	-2.566	-1.969	-2.963	-2.876	-4.11	-6.819	-2.128	-2.702	-3.206	-4.105	-0.219	0.266	0.399	0.112	-0.455	-0.273	-1.649	-0.59	0.16	-4.14	-3.346	-3.304	-3.405	-3.289	-2.708	0.456	-1.809	0.416	0.483	0.338
"YLR344W"	1.172	0.989	0.717	-3.262	-2.447	-2.374	-1.944	-1.903	-1.785	-3.139	-4.414	-3.245	-1.824	-2.383	-3.724	-0.331	-0.001	-0.44	-0.494	-0.034	0.107	NaN	-0.332	0.525	-3.46	-2.977	-2.583	-4.22	-3.608	-2.781	-0.033	-1.789	0.627	0.683	0.555
"YLR355C"	1.174	1.252	0.973	NaN	-3.638	NaN	-3.036	-0.712	-1.153	-5.125	-6.009	-3.526	-1.878	-1.989	-3.088	-1.005	0.425	-0.542	-1.047	0.057	-0.061	-3.118	-1.028	0.338	-3.857	-2.137	-2.153	-4.176	-2.151	-2.062	0.447	-3.092	0.223	0.099	0.056
"YLR372W"	0.939	1.022	0.965	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-3.069	-2.844	-3.456	-3.544	0.343	0.168	0.575	0.151	0.01	-0.07	-2.933	-0.726	0.031	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	-0.503	-2.133	0.576	0.622	0.499
"YLR388W"	1.213	1.145	0.956	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-3.204	-2.232	-2.581	-3.193	0.074	0.395	0.428	0.299	0.204	0.091	-1.781	-0.349	-0.078	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-0.098	-1.536	0.883	0.795	0.727
"YLR430W"	0.0465	0.311	-0.0375	-0.4255	-0.118	0.165	0.128	-0.606	-0.4585	-0.045	-1.768	-0.445	-0.4805	-1.0295	0.23	-0.095	-0.012	-0.086	-0.162	-0.035	-0.018	0.1495	0.078	-0.1995	-0.8295	-0.5815	-0.61	-1.052	-0.479	-0.4065	-0.2105	-0.3515	0.112	0.058	0.041
"YLR432W"	0.975	0.949	0.793	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-2.412	-1.934	-2.482	-3.034	-0.165	0.424	0.302	-0.101	-0.117	0.002	-2.238	-0.346	-0.116	-3.491	-3.179	-2.252	-3.412	-2.927	-2.885	0.095	-3.235	0.108	-0.016	0.05
"YLR435W"	1.251	1.0	0.731	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-3.819	-1.506	-2.038	-2.387	-2.149	0.08	0.026	0.164	-0.754	0.091	0.286	-2.285	-0.375	0.132	-2.298	-2.662	-2.618	-4.563	-2.595	-2.03	-0.348	-0.794	0.27	0.008	0.048
"YLR441C"	1.252	1.221	0.945	NaN	-3.118	-6.259	NaN	-0.19	-1.352	NaN	-12.655	-3.365	-3.329	-3.986	-4.389	0.254	0.149	0.068	-0.042	0.036	0.528	-2.126	0.394	0.639	-4.558	-3.19	-2.531	-3.957	-3.819	-2.681	0.22	-1.474	0.477	0.341	0.414
"YLR448W"	1.062	0.837	0.739	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-3.425	-2.668	-3.192	-4.132	-0.504	0.394	-0.306	-0.404	-0.209	0.146	-0.962	-0.058	0.803	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	0.476	-1.946	0.422	0.339	0.365
"YML018C"	1.047	0.914	1.055	-3.624	-2.452	-2.174	-2.315	-1.808	-2.038	-2.284	-3.383	-1.603	-1.452	-1.922	-2.274	-0.142	0.342	0.627	-0.175	-0.715	-0.079	-2.928	-0.538	-0.086	-2.241	-2.024	-1.829	-3.046	-1.902	-2.258	-0.131	-1.421	1.688	1.626	1.552
"YML037C"	0.241	0.304	-0.025	-0.778	-0.717	-0.033	0.224	-0.307	3.044	-1.42	-3.869	-0.16	-0.602	-0.714	-0.836	-0.208	-0.156	-0.239	-0.283	-0.3	-0.132	-1.594	-0.406	0.793	-0.457	-0.594	-0.386	-1.27	-0.853	-0.602	-0.285	0.104	0.15	0.096	0.014
"YML063W"	1.401	1.17	1.219	-4.408	-3.73	-3.027	-2.778	-2.416	-2.904	-4.048	-13.273	-3.657	-3.123	-3.364	-4.059	0.199	0.278	0.298	0.202	0.003	0.268	-2.033	0.469	0.72	-4.819	-3.531	-2.707	-4.008	-3.578	-2.829	-0.066	-1.582	0.37	0.336	0.42
"YML103C"	0.661	-0.0625	0.373	-0.6295	-1.4415	-0.4125	-0.95	-0.68	-0.798	-1.649	-1.519	-0.0135	-1.437	-0.885	-0.9345	-0.567	0.053	-0.032	-0.302	-0.272	0.037	0.2325	-0.41	0.6265	-1.2065	-1.304	-0.783	-0.863	-0.852	-0.8295	-0.023	-0.2755	0.1665	0.174	-0.07
"YMR010W"	0.558	0.434	0.329	-0.879	-0.7	-0.471	-0.908	-1.284	-0.883	-1.643	-4.183	-1.002	-1.189	-1.308	-1.893	0.017	0.23	0.206	0.032	0.142	-0.12	1.08	0.316	0.617	-2.599	-1.8	-0.918	-1.583	-1.497	-1.252	0.152	-1.041	-0.373	-0.153	-0.246
"YMR123W"	0.782	0.578	0.532	-3.098	-1.897	-1.503	-2.225	-2.491	-2.616	-2.374	-3.061	-2.235	-1.615	-1.137	-1.512	-0.453	-0.071	-0.202	-0.062	-0.148	0.021	-0.689	0.177	0.551	-2.52	-1.331	-1.183	-1.533	-1.272	-0.879	0.22	-0.531	0.499	0.6	0.401
"YMR202W"	0.632	0.617	0.743	-3.652	-2.101	-2.009	-1.785	-2.236	-2.852	-4.391	-5.431	-1.983	-2.263	-2.876	-2.931	0.271	0.432	0.299	0.06	0.369	0.175	-1.477	-0.244	-0.606	-3.376	-2.583	-2.939	-3.34	-2.624	-2.11	-0.305	-0.314	0.745	0.677	0.519
"YMR239C"	1.348	0.907	0.902	-4.414	-2.819	-2.693	-2.296	-1.587	-2.209	-2.176	-3.323	-2.372	-2.236	-2.42	-2.415	-0.77	0.112	0.043	-0.689	-0.244	0.723	-1.262	0.35	0.625	-3.048	-3.138	-2.128	-4.048	-2.804	-2.334	-1.096	-1.419	-0.012	0.005	0.149
"YMR242C"	1.262	1.333	1.294	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-2.601	-3.133	-3.475	0.037	0.362	0.25	0.061	0.115	0.317	-2.152	0.025	0.891	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-0.183	-1.905	0.573	0.505	0.501
"YNL001W"	0.911	0.764	0.811	-0.834	-1.185	-0.646	-0.823	-1.065	-0.887	-1.318	-3.241	-0.89	-1.116	-1.395	-1.761	0.023	-0.124	-0.112	-0.144	0.27	0.151	-0.331	0.435	0.399	-0.858	-0.96	-0.981	-1.187	-0.754	-1.034	-0.73	-0.241	0.28	0.221	0.239
"YNL049C"	0.249	0.139	-0.067	-2.113	-1.251	-0.799	-0.864	-0.74	-0.673	-2.162	-4.607	-0.939	-1.564	-1.776	-1.25	-0.39	-0.006	-0.366	-0.284	-0.255	0.091	-0.098	-0.248	0.217	-2.403	-1.941	-1.268	-2.3	-1.6	-1.171	-0.305	-0.409	-0.071	-0.186	-0.089
"YNL062C"	1.074	0.899	0.774	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-6.263	-2.304	-1.717	-2.639	-2.206	-0.45	-0.123	-0.091	-0.317	-0.121	0.791	-1.603	-0.254	0.114	-2.698	-2.338	-1.801	-2.838	-2.509	-1.871	-0.659	-1.431	0.363	0.273	0.301
"YNL067W"	1.17	1.166	0.859	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-5.731	-2.866	-1.884	-1.906	-2.76	-0.012	0.091	-0.224	-0.184	0.171	0.715	-1.22	0.191	0.639	-2.698	-2.15	-2.329	-3.107	-2.534	-2.013	-0.156	-1.875	0.594	0.722	0.553
