	"686.YP ethanol vs reference pool"	"830.1.5 mM diamide (10 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"864.Amino acid + adenine starvation 4 h"	"865.Amino acid + adenine starvation 6 h"	"896.Amino acid + adenine starvation 2 h"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1172.pho80 mutant vs wild type"	"1255.mec1_plus_gamma_90_min"	"1664.cdc15 170 min"	"5357.1.5 mM diamide (5 min)"	"11466.yO1 test hyb"	"15635.Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42379.CC UL 2B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"
"YOR254C"	-1.067	-0.173	0.138	0.05	0.178	0.252	-1.5795	-1.406	-1.671	-1.5485	-2.192	-6.426	-0.4855	0.076	-0.468	-2.018	-0.167	-2.631	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	-0.137	0.101	0.944	0.12	-1.174	-0.505	0.495	-0.441	-0.499	-2.398	-2.867	-3.196	-2.86	-2.436	-2.896	-2.216	-2.166	-2.254	-1.27	-2.212	-1.537	-2.314	-1.872	-1.601	-1.239	-1.14	-1.819	0.028	-0.338	-0.236	0.118
"YOR260W"	-0.503	-0.247	0.118	-0.21	0.018	-0.003	-1.6535	-1.432	-1.6735	-1.833	-2.507	-4.639	-0.287	-0.374	-0.5045	-1.6575	0.205	-1.898	-1.26	-1.513	-1.624	-2.257	-2.577	-3.081	-0.241	-0.022	0.041	-0.055	-1.54	-0.436	-0.12	-0.512	0.039	-1.538	-1.792	-2.218	-2.159	-1.35	-2.125	-1.582	-2.096	-1.909	-1.298	-1.944	-1.556	-2.111	-1.795	-0.765	-0.964	-1.4	-1.341	-0.065	-0.059	0.34	-0.022
"YOR271C"	-0.705	-0.647	-0.706	-0.461	0.206	0.08	-2.0775	-1.6325	-1.9525	-2.9425	-2.276	-2.9995	0.083	0.168	0.593	-2.2645	-0.713	-1.553	-0.953	-0.749	-1.175	-1.395	-0.914	-1.184	-0.26	-0.507	-0.398	-0.081	-0.418	-1.33	-0.692	-0.806	0.478	-1.371	-2.071	-1.695	-2.037	-2.453	-2.412	-2.235	-3.724	-3.078	-2.25	-2.638	-2.47	-2.264	-1.747	-1.861	-2.292	-1.418	-2.346	1.167	-1.033	-1.191	1.301
"YOR326W"	-0.926	-0.44	-0.481	-0.464	-0.901	-0.272	-1.798	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-0.75	-0.672	-0.399	-2.6115	0.406	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	-0.154	-0.032	0.166	-0.539	-1.467	-0.855	-0.024	0.106	-0.306	-1.593	-1.984	-1.925	-2.788	-2.392	-2.817	-2.239	-1.109	-1.568	-0.579	-1.215	-0.751	-1.621	-1.301	-0.82	-0.704	-1.506	-0.917	-0.066	-0.22	-0.163	-0.115
"YPL160W"	-1.226	-0.528666666666667	-0.829	-0.726333333333333	-0.633666666666667	-0.334666666666667	-2.28466666666667	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-0.646	-0.722	-0.048	-2.11133333333333	-0.13	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.231	0.1215	-0.191	0.0143333333333333	-1.8045	-1.504	-0.287	-1.0215	0.13	-1.912	-2.124	-2.5015	-1.7655	-2.1145	-2.096	-1.5875	-3.477	-2.958	-2.059	-2.719	-2.2345	-2.589	-1.34	-1.376	-1.059	-1.725	-1.5195	0.7735	-1.054	-0.9135	1.035
"YPL211W"	-0.152	-1.0255	-1.8705	-1.2915	-0.658	-0.2995	-3.5535	-3.4755	-2.914	-3.869	-4.4555	-5.029	-0.4885	-0.8655	-0.9055	-3.046	0.378	-4.129	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	0.377	0.111	-0.116	-0.181	-2.25	-1.26	0.312	-0.975	-0.842	-2.547	-1.644	-1.958	-2.051	-1.923	-1.893	-1.437	-2.333	-2.347	-2.063	-2.743	-1.72	-1.583	-1.803	-2.099	-1.74	-1.704	-1.653	-0.006	-0.023	-0.571	0.389
"YPL238C"	-0.296	0.0945	-0.664	-0.5295	-0.571	-0.4375	-1.7665	-1.85	-1.744	-1.544	-2.431	-4.788	-0.543	-0.639	0.2015	-0.8025	0.487	-2.451	-1.817	-2.037	-1.989	-1.843	-2.517	-2.586	0.013	0.175	-0.265	-0.0165	-2.063	-0.739	0.212	-0.744	0.307	-1.993	-2.424	-0.905	-1.181	-2.323	-1.52	-1.829	-0.961	-1.597	-1.043	-1.135	-1.303	-1.766	-1.266	-0.741	-0.665	-1.76	-1.061	0.157	-0.227	-0.31	0.445
"YPR033C"	-0.59	-0.289	-0.809	-0.556	-0.3505	-0.003	-1.8465	-1.908	-2.534	-2.142	-4.8805	-7.94	-0.183	-0.435	0.0515	-2.759	0.186	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.042	0.176	-0.142	0.0695	-2.107	-0.231	-0.181	-0.575	-0.119	-1.4505	-1.478	-1.7485	-1.877	-2.2955	-2.43	-2.3255	-2.1325	-2.033	-1.22	-1.9695	-1.4105	-2.053	-1.4975	-1.59	-2.03	-1.6955	-1.855	0.506666666666667	-0.589666666666667	-0.103333333333333	0.393
"YPR074C"	-1.655	0.247	0.2105	0.1645	0.141	-0.1085	-2.5595	-2.134	-3.2975	-2.2945	-5.337	-5.42	-0.621	-0.5275	0.2455	-3.7185	-0.353	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	0.669	-0.598	-0.439	0.3345	-3.132	-0.959	-0.322	-1.119	-0.437	-1.879	-3.097	-3.071	-1.863	-1.688	-3.316	-2.418	-4.473	-3.729	-1.348	-3.123	-1.997	-3.18	-2.877	-2.835	-3.446	-2.231	-2.642	-0.698	0.483	0.33	-0.387
"YPR102C"	-1.197	0.2925	-1.199	-0.851	-0.714	-0.5025	-3.2315	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-0.34	-0.607	-0.1045	-3.673	0.704	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.201	0.074	0.575	0.3965	-2.384	-0.567	0.125	-1.926	0.652	-1.443	-2.037	-2.018	-1.817	-1.601	-1.833	-2.033	-3.927	-2.614	-2.344	-3.517	-2.547	-3.247	-2.418	-1.408	-1.914	-0.913	-1.413	0.274	-0.026	-0.216	0.455
"YPR113W"	-0.935	0.2325	-0.1515	0.013	0.138	0.0795	-0.739	-1.4285	-2.238	-1.5365	-2.516	-3.537	-0.334	-0.404	-0.388	-2.5815	-0.074	0.708	-0.842	-1.374	-0.991	-0.472	-0.775	-1.622	-0.062	0.038	0.221	0.266	-1.364	-0.27	0.043	-0.604	0.735	-1.212	-1.327	-1.205	-0.556	-0.634	0.107	-1.001	-0.413	-0.918	-1.355	-1.373	-1.315	-1.219	-1.077	-0.598	-0.898	-0.676	-1.496	-0.215	0.663	-0.032	-0.276
"YPR119W"	-0.787	-1.1035	-0.959	-1.241	-2.098	-0.8365	-2.3105	-1.6945	-4.2055	-1.976	-4.6155	-4.3695	-0.361	-0.861	-0.413	-2.3625	0.226	-2.424	-1.119	-2.207	-4.062	-3.433	-3.885	-3.308	-0.525	-0.378	0.144	-0.601	-1.316	-1.448	-0.147	-1.769	0.941	-0.757	-1.364	-2.727	-2.833	-2.1	-1.553	-2.428	-2.849	-2.418	-3.005	-2.925	-0.962	-1.893	-1.675	-1.43	-2.614	-1.965	-2.752	-0.594	0.24	0.5	-0.453
"YPR145W"	-1.036	-0.007	-0.3015	-0.6045	-0.573	-0.031	-1.5905	-1.9485	-2.5015	-0.508	-3.737	-5.02	-0.8225	-0.501	-0.1915	-1.2765	0.765	-2.229	-1.892	-2.228	-2.21	-3.369	-3.625	-3.498	-0.137	-0.16	-0.048	0.2425	-2.303	-0.135	-0.568	-1.843	-0.702	-2.335	-4.032	-3.782	-3.472	-3.473	-3.793	-3.152	-3.325	-2.035	-1.056	-1.807	-1.273	-1.223	-1.756	-3.068	-3.87	-2.685	-3.513	1.714	-1.801	-1.04	1.954
"YPR163C"	-1.144	-0.355	-1.2635	-0.946	-0.6215	-0.2735	-2.265	-1.717	-1.8375	-0.93	-2.9485	-5.4905	0.0445	-0.456	0.1105	-2.6395	0.082	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.163	-0.019	-0.438	-0.204	-2.145	-0.937	-0.462	-0.622	0.621	-2.378	-2.41	-1.273	-2.071	-2.191	-1.804	-1.744	-3.506	-3.14	-1.955	-2.873	-2.034	-2.32	-1.761	-1.493	-1.627	-1.399	-1.336	0.275	-0.565	-0.228	0.566
