	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.2H.A9GH.01A.11R.A37I.31	TCGA.L5.A8NV.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BP.4988.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.ZP.A9CV.01A.11R.A38B.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.14753.1626.SM.5NQ9L	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U3ZH.0526.SM.3DB75	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.VQ.A8E0.01A.11R.A414.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.4191.01A.02R.1131.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.QDVJ.1426.SM.48U1Y	GTEX.T8EM.1226.SM.4DM5J	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
CLASRP	703.28	493.56	902.89	693.58	1037.29	1199.98	967.76	1001.93	1233.75	1199.98	2573.36	1709.26	1331.57	2163.77	1617.0	1407.55	3039.3	3103.19	1977.24	1639.59	2271.4	1519.15	2240.11	2468.49	1991.0	1331.57	1936.53	1561.89	1369.04	1111.82	2351.53	1216.75	4704.07	87.03	860.08	1008.9	353.59	808.0	490.14	529.06	674.59	316.37	480.04	400.71	246.28	183.82	265.87	387.02	417.77	348.71	291.04	825.0	0.0	1.5	890.44	764.36	540.19	532.74	1628.26	1498.22	1051.79	825.0	529.06	633.73	1233.75	1088.92	836.53	775.05	1096.5	642.59	995.0	928.3	1662.49	514.56	1175.27	947.83	1096.5	1277.29	775.05	500.46	854.13	684.02	493.56	616.37	1183.45	599.49	1583.71	791.35	1135.2	1104.13
CLK1	947.83	1111.82	480.04	1819.35	2351.53	3081.75	2627.46	2032.85	1519.15	2384.37	4512.4	3190.46	2178.83	5147.73	2417.67	2133.97	4512.4	4095.0	2627.46	1697.45	2335.28	4152.18	3349.13	2591.27	3491.39	1350.18	2935.74	1977.24	4239.45	2319.15	3190.46	2018.8	6607.01	629.35	921.88	1733.13	426.57	896.64	638.15	878.17	1127.35	316.37	1008.9	497.0	674.59	476.71	555.41	743.43	642.59	896.64	961.07	988.12	0.0	0.45	4268.94	1216.75	693.58	813.63	1304.15	1857.6	2367.9	1378.57	1023.0	2645.74	3060.45	1909.85	1322.37	1369.04	1628.26	2997.45	2997.45	2240.11	4903.87	733.19	1529.73	1498.22	884.29	2384.37	1304.15	373.81	848.22	1216.75	1081.39	1183.45	2758.13	1477.58	2178.83	934.76	1286.18	1175.27
CREBZF	356.05	244.57	429.54	201.25	379.04	872.1	791.35	547.75	808.0	708.18	1388.16	647.07	698.41	941.27	1030.12	651.58	954.43	1088.92	842.36	1313.23	1331.57	884.29	1540.37	1268.46	1378.57	733.19	1104.13	988.12	909.17	1127.35	981.29	764.36	1191.69	121.79	241.19	301.33	267.73	441.64	119.26	156.59	197.09	148.09	242.88	214.27	170.25	65.26	173.85	177.53	146.03	246.28	120.1	239.52	0.0	1.06	1104.13	351.14	291.04	363.56	417.77	571.05	642.59	733.19	470.14	373.81	974.5	620.67	599.49	454.09	1066.48	555.41	813.63	813.63	1225.22	343.89	743.43	1369.04	356.05	713.11	1044.52	429.54	303.44	406.31	208.38	253.23	591.22	218.79	346.29	214.27	271.48	379.04
CTC-241N9.1	15.91	12.18	34.75	10.47	58.3	105.15	94.01	15.68	19.53	27.84	20.26	13.12	11.3	90.77	13.32	23.59	42.11	38.95	32.36	15.0	48.87	38.67	75.64	49.56	18.43	5.63	63.45	39.5	25.54	12.09	45.53	8.25	127.89	21.01	17.38	6.26	18.29	12.64	15.11	11.38	8.25	9.48	8.06	12.45	17.51	8.99	10.63	5.06	6.46	9.13	19.25	3.38	0.0	0.0	57.49	17.9	21.32	31.9	11.73	18.16	12.18	16.88	9.2	19.25	20.41	19.11	15.0	3.44	10.79	20.56	198.47	17.64	58.3	13.72	23.08	32.59	22.92	36.27	55.1	13.42	24.28	17.38	12.18	11.82	33.06	13.62	12.0	14.14	10.39	18.29
DCAF17	83.45	94.67	72.01	87.65	118.43	129.69	130.6	122.64	84.63	115.97	173.85	161.02	125.24	175.07	301.33	217.27	189.02	211.31	191.67	231.32	248.0	253.23	301.33	287.01	221.86	139.07	186.4	221.86	151.22	197.09	242.88	158.79	269.6	31.0	49.56	36.01	56.28	91.41	50.27	31.9	40.36	29.27	35.0	47.5	48.52	25.72	27.44	59.97	38.12	64.34	32.82	45.21	0.0	0.04	275.28	145.02	96.01	116.78	95.34	146.03	206.94	115.16	126.12	139.07	264.03	195.72	223.41	63.89	279.14	293.07	271.48	279.14	400.71	105.89	332.14	115.16	78.34	119.26	161.02	98.04	104.42	105.89	105.15	102.25	181.28	110.43	260.38	84.63	114.36	90.77
DDX42	981.29	1277.29	1199.98	1066.48	1721.16	2682.69	2997.45	2133.97	1697.45	1757.34	1883.54	1697.45	1651.0	1225.22	2119.22	1745.2	1794.29	2133.97	1487.87	1977.24	2047.0	1883.54	2255.7	1733.13	1340.84	1073.91	1781.89	1709.26	1295.13	1508.65	1781.89	1286.18	2047.0	71.5	698.41	848.22	759.08	775.05	759.08	493.56	599.49	493.56	591.22	665.29	551.56	435.55	409.15	669.92	660.68	836.53	264.03	693.58	759.08	232.94	2004.85	1331.57	1407.55	1447.15	791.35	1216.75	1378.57	1721.16	1088.92	1127.35	2255.7	1697.45	2163.77	616.37	3639.7	1208.34	2434.5	1721.16	2004.85	1233.75	1651.0	1447.15	981.29	1477.58	1427.22	2032.85	1331.57	1175.27	791.35	934.76	1561.89	1111.82	1286.18	1477.58	1051.79	1467.37
DGKH	25.91	48.18	33.78	27.25	37.85	63.45	76.71	59.13	43.32	36.79	118.43	92.7	50.27	167.9	167.9	151.22	98.04	195.72	176.29	251.48	127.0	249.73	208.38	236.21	236.21	55.89	142.01	164.42	191.67	220.32	183.82	173.85	163.28	3.96	8.99	15.45	8.78	10.96	8.65	4.13	3.2	1.99	4.46	5.02	4.1	4.86	2.39	10.39	4.24	6.78	3.0	5.02	0.0	0.47	105.89	70.01	72.52	75.64	31.22	94.67	49.91	50.27	44.89	38.67	63.45	64.34	40.36	63.0	155.5	64.8	18.29	143.01	229.72	20.71	50.98	106.63	33.3	53.57	120.94	36.79	35.76	49.91	40.64	36.53	42.71	29.91	76.71	28.24	39.22	31.67
DHX35	145.02	127.89	128.79	25.91	84.63	113.56	138.1	241.19	177.53	183.82	339.14	591.22	237.86	348.71	854.13	373.81	283.05	629.35	395.18	595.34	543.96	414.87	480.04	679.29	470.14	297.17	1447.15	703.28	256.78	429.54	511.0	334.46	190.34	40.64	115.16	96.01	85.22	76.71	95.34	55.49	54.72	99.43	59.97	76.71	73.03	63.89	75.11	71.5	70.51	98.04	77.25	62.56	0.0	0.73	348.71	96.01	151.22	167.9	170.25	187.71	84.04	178.77	199.85	111.99	490.14	271.48	329.84	106.63	209.84	251.48	221.86	346.29	283.05	130.6	299.25	303.44	234.57	348.71	249.73	199.85	144.01	165.57	133.36	115.97	171.45	135.24	115.97	116.78	150.17	150.17
DMTF1	285.03	435.55	420.68	271.48	587.13	921.88	878.17	325.29	698.41	532.74	1295.13	708.18	713.11	1167.14	1628.26	954.43	1447.15	1950.0	1378.57	1427.22	1697.45	1697.45	2287.2	1936.53	1286.18	842.36	1733.13	842.36	878.17	941.27	1936.53	1030.12	2573.36	75.11	239.52	287.01	142.01	320.8	139.07	121.79	167.9	31.22	107.38	104.42	99.43	42.11	79.45	172.65	115.16	144.01	49.56	129.69	0.0	1.16	2178.83	381.68	273.37	346.29	397.93	679.29	674.59	854.13	423.61	392.44	1073.91	1037.29	559.28	314.17	825.0	473.41	934.76	1268.46	1709.26	295.11	1037.29	854.13	457.25	2627.46	819.3	157.68	341.51	376.41	327.56	373.81	1037.29	295.11	660.68	336.79	460.44	473.41
ETAA1	197.09	185.11	139.07	260.38	271.48	193.01	251.48	249.73	178.77	86.43	124.37	137.14	143.01	185.11	141.02	176.29	187.71	163.28	163.28	150.17	164.42	185.11	285.03	205.5	226.54	115.16	180.02	145.02	156.59	197.09	214.27	130.6	224.97	35.5	82.29	85.82	140.04	108.9	80.57	42.71	72.52	15.8	59.55	82.87	75.64	68.55	74.06	57.49	63.89	100.13	35.25	23.08	0.0	0.2	353.59	133.36	190.34	183.82	97.36	273.37	94.67	96.68	81.71	129.69	228.13	173.85	156.59	63.89	271.48	265.87	392.44	258.57	325.29	52.45	267.73	237.86	105.15	150.17	194.36	41.22	89.51	131.51	84.63	102.25	117.6	111.99	126.12	90.77	111.21	142.01
EZH1	232.94	147.06	423.61	412.0	532.74	1015.93	915.51	363.56	299.25	361.04	457.25	438.59	417.77	612.11	769.69	947.83	759.08	866.07	669.92	753.83	1088.92	684.02	1111.82	967.76	708.18	325.29	785.88	379.04	435.55	559.28	679.29	529.06	1551.09	66.65	193.01	295.11	128.79	381.68	154.42	211.31	69.03	100.13	81.14	136.19	140.04	59.13	60.82	75.64	94.01	74.06	112.77	122.64	0.0	0.82	896.64	293.07	273.37	363.56	148.09	674.59	351.14	248.0	166.73	285.03	414.87	403.5	253.23	191.67	518.15	246.28	599.49	429.54	669.92	214.27	273.37	348.71	239.52	423.61	358.54	131.51	366.09	351.14	289.02	358.54	647.07	343.89	688.78	295.11	438.59	412.0
FAM178A	100.13	129.69	162.14	95.34	148.09	314.17	299.25	151.22	152.28	147.06	236.21	153.34	258.57	249.73	197.09	384.34	297.17	229.72	279.14	325.29	343.89	366.09	320.8	406.31	234.57	186.4	332.14	201.25	194.36	283.05	332.14	202.66	423.61	62.12	88.26	182.55	69.52	175.07	124.37	69.03	54.33	36.27	72.01	63.45	59.97	52.45	40.93	55.49	53.19	88.26	12.55	51.35	220.32	59.13	356.05	176.29	120.1	185.11	164.42	164.42	180.02	206.94	120.94	183.82	209.84	209.84	312.0	112.77	559.28	182.55	327.56	320.8	256.78	117.6	343.89	215.77	136.19	253.23	228.13	123.5	126.12	193.01	163.28	129.69	329.84	145.02	133.36	139.07	163.28	147.06
FAM21C	148.09	169.07	172.65	132.44	221.86	769.69	854.13	121.79	236.21	181.28	376.41	305.55	307.69	503.95	281.09	314.17	392.44	406.31	432.53	429.54	579.04	579.04	698.41	718.08	403.5	242.88	547.75	177.53	316.37	309.83	567.1	400.71	878.17	13.22	100.83	89.51	209.84	132.44	88.26	105.89	83.45	46.5	103.69	136.19	142.01	146.03	61.68	111.99	163.28	153.34	66.18	224.97	0.0	0.65	974.5	339.14	303.44	387.02	316.37	199.85	353.59	400.71	323.03	218.79	551.56	476.71	341.51	158.79	423.61	208.38	493.56	718.08	563.18	205.5	511.0	486.75	169.07	361.04	447.82	309.83	373.81	381.68	320.8	287.01	595.34	346.29	555.41	314.17	540.19	476.71
FNBP4	395.18	536.45	341.51	429.54	733.19	1340.84	1096.5	830.75	583.07	728.11	2434.5	1572.76	1030.12	1819.35	1769.57	1806.78	1857.6	2271.4	1977.24	1583.71	1923.14	1594.73	2720.15	2758.13	2193.99	1322.37	1628.26	1407.55	1685.71	1651.0	1745.2	1378.57	2061.24	41.52	214.27	269.6	229.72	540.19	208.38	205.5	241.19	65.72	242.88	191.67	147.06	109.66	124.37	297.17	242.88	309.83	63.45	379.04	518.15	1529.73	1407.55	665.29	698.41	769.69	728.11	1277.29	1111.82	1001.93	563.18	775.05	1769.57	1295.13	974.5	521.76	2468.49	909.17	1127.35	1685.71	2739.08	500.46	1467.37	1457.23	579.04	1208.34	1135.2	435.55	457.25	633.73	476.71	718.08	981.29	688.78	500.46	607.87	599.49	595.34
GNPDA2	133.36	159.9	295.11	76.71	262.2	351.14	435.55	93.35	128.79	178.77	249.73	190.34	209.84	217.27	182.55	146.03	248.0	231.32	143.01	146.03	193.01	212.78	256.78	157.68	157.68	93.35	220.32	172.65	132.44	223.41	197.09	154.42	299.25	454.09	59.97	39.79	37.59	64.34	48.87	46.84	24.28	17.38	28.24	36.53	43.63	96.01	36.79	31.67	27.64	45.53	10.88	45.53	0.0	0.31	591.22	202.66	373.81	381.68	73.54	204.07	212.78	85.82	141.02	260.38	189.02	239.52	63.0	106.63	332.14	122.64	406.31	226.54	493.56	103.69	68.07	236.21	92.05	214.27	178.77	22.75	102.25	273.37	90.77	147.06	181.28	169.07	157.68	186.4	125.24	120.1
GOLGA6L4	16.51	16.39	31.0	10.63	140.04	113.56	85.82	18.7	24.11	11.13	43.32	27.44	30.12	124.37	60.82	48.52	183.82	94.67	98.73	39.79	45.53	35.25	120.1	108.14	164.42	48.18	120.1	73.03	85.22	62.56	61.25	77.79	140.04	4.06	21.47	36.53	2.25	22.1	4.86	16.03	9.78	1.53	16.03	6.31	0.0	4.66	9.27	21.63	7.88	10.31	2.36	9.56	0.0	0.75	110.43	46.18	80.57	51.71	18.03	33.54	10.55	56.28	3.08	48.18	37.05	66.18	7.51	18.84	58.3	11.55	14.56	27.84	130.6	5.63	40.64	11.91	16.03	96.68	18.84	19.25	13.32	9.06	6.62	6.01	20.26	13.52	24.99	25.35	18.84	6.06
GPATCH8	103.69	185.11	246.28	164.42	154.42	256.78	361.04	212.78	228.13	275.28	299.25	327.56	323.03	397.93	555.41	490.14	441.64	547.75	441.64	624.99	529.06	660.68	713.11	656.11	460.44	229.72	555.41	320.8	384.34	373.81	420.68	381.68	400.71	14.78	61.68	67.12	107.38	146.03	82.29	57.49	46.18	51.71	67.12	99.43	80.01	33.3	48.87	89.51	66.65	97.36	37.85	135.24	0.0	0.6	571.05	287.01	287.01	476.71	128.79	373.81	351.14	281.09	206.94	237.86	395.18	248.0	327.56	283.05	483.38	229.72	389.72	426.57	718.08	244.57	460.44	356.05	156.59	403.5	392.44	251.48	255.0	251.48	249.73	256.78	289.02	234.57	239.52	256.78	239.52	246.28
GSAP	115.16	155.5	122.64	156.59	211.31	490.14	353.59	113.56	223.41	199.85	460.44	397.93	503.95	426.57	463.65	173.85	316.37	429.54	237.86	273.37	363.56	348.71	540.19	500.46	353.59	177.53	366.09	204.07	232.94	258.57	633.73	429.54	1594.73	267.73	231.32	181.28	172.65	312.0	155.5	175.07	190.34	110.43	156.59	173.85	171.45	119.26	113.56	180.02	182.55	141.02	181.28	139.07	0.0	0.57	1417.35	109.66	190.34	177.53	258.57	281.09	209.84	231.32	204.07	239.52	283.05	860.08	599.49	152.28	384.34	334.46	341.51	450.94	780.44	195.72	555.41	460.44	214.27	218.79	279.14	121.79	201.25	163.28	173.85	177.53	423.61	171.45	224.97	205.5	356.05	169.07
HSPBAP1	237.86	229.72	194.36	50.63	258.57	400.71	283.05	211.31	146.03	145.02	389.72	181.28	128.79	287.01	334.46	289.02	397.93	476.71	301.33	277.2	253.23	204.07	414.87	521.76	384.34	217.27	320.8	236.21	178.77	295.11	476.71	223.41	346.29	43.32	121.79	104.42	71.0	106.63	88.26	73.54	54.72	39.79	68.55	38.95	49.56	57.89	60.82	78.89	88.26	74.06	35.0	63.45	0.0	0.57	483.38	136.19	163.28	146.03	92.05	166.73	84.63	113.56	148.09	221.86	186.4	260.38	132.44	78.34	185.11	119.26	158.79	403.5	202.66	75.64	195.72	220.32	132.44	241.19	145.02	40.93	101.54	85.82	75.11	89.51	178.77	111.21	87.65	176.29	118.43	115.16
KIAA0895L	244.57	120.94	63.45	202.66	176.29	379.04	289.02	796.86	281.09	223.41	884.29	420.68	341.51	361.04	460.44	612.11	493.56	1044.52	503.95	651.58	532.74	836.53	571.05	921.88	860.08	514.56	2400.97	612.11	381.68	457.25	743.43	351.14	1583.71	15.68	92.05	111.21	59.97	102.97	49.56	78.89	36.79	24.63	40.64	24.63	48.87	14.14	13.72	34.75	64.8	22.59	22.26	34.75	0.0	1.23	441.64	132.44	63.89	111.99	229.72	529.06	376.41	332.14	175.07	205.5	249.73	299.25	201.25	189.02	293.07	215.77	486.75	297.17	500.46	143.01	264.03	183.82	256.78	381.68	262.2	202.66	191.67	234.57	226.54	170.25	514.56	122.64	373.81	162.14	221.86	197.09
LCN2	318292.9	129266.49	217400.14	565825.41	1179708.33	706337.4	313910.86	311742.51	280957.98	316094.29	248002.34	204252.32	542775.98	223512.12	190574.09	343510.77	131982.68	134755.94	313910.86	204252.32	275175.93	606436.73	53601.03	52497.92	256748.15	654483.73	131071.0	1238359.56	336441.4	149521.18	91404.92	513497.31	22.43	4.82	177811.84	79572.48	2119.22	115696.65	85876.94	32315.87	199.85	201.25	303.44	96.01	110.43	4152.18	4010.71	332.14	1407.55	177.53	138.1	3820.7	0.0	0.43	181.28	425853.18	284880.02	267651.2	1034138.94	565825.41	202841.44	174152.51	251464.33	1472666.19	593956.43	162489.97	244588.0	172949.54	269512.87	431797.89	195931.88	334117.42	48982.22	87681.42	466008.55	301123.38	251464.33	383800.28	305326.92	350728.68	161367.56	197294.7	290865.98	162489.97	186652.11	218912.29	248002.34	217400.14	301123.38	320506.81
LENG8	684.02	547.75	743.43	753.83	1467.37	3639.7	2384.37	1477.58	1896.65	1857.6	8840.04	3589.58	3235.01	5751.61	5995.9	5112.16	5831.91	8078.22	6792.79	5041.77	8658.09	4419.52	6652.97	7911.95	6983.79	2417.67	4704.07	3039.3	3665.02	2835.7	6983.79	3325.99	10440.2	52.82	1322.37	981.29	420.68	1417.35	483.38	591.22	629.35	289.02	708.18	490.14	447.82	229.72	239.52	507.46	466.88	164.42	299.25	403.5	0.0	1.77	3639.7	660.68	872.1	775.05	2018.8	2520.38	3540.14	1594.73	1359.57	1662.49	1437.15	2018.8	3349.13	2032.85	2976.74	1977.24	3491.39	2367.9	4038.61	1023.0	2627.46	2609.3	2502.97	2915.45	1286.18	1183.45	1467.37	1819.35	1208.34	2240.11	3212.66	1508.65	2895.31	1639.59	1844.76	2061.24
LHX4	9.7	3.29	3.14	3.89	2.61	5.68	6.21	8.71	7.46	3.08	17.0	11.38	9.93	9.41	20.41	15.34	13.52	17.64	35.0	38.12	37.32	12.18	19.68	43.63	26.1	19.39	34.51	16.63	6.94	13.83	26.1	11.3	35.25	0.0	27.05	4.21	1.89	3.92	1.16	1.22	0.0	0.0	1.22	1.22	2.01	0.28	0.0	0.0	2.03	0.32	0.34	0.0	0.0	0.28	17.25	4.43	2.76	1.2	10.31	35.25	13.62	11.21	7.46	5.82	24.81	16.27	14.24	4.17	31.45	11.91	21.78	23.25	78.34	7.4	21.63	15.34	7.11	13.12	14.78	7.46	7.06	4.98	5.82	6.67	15.11	4.17	13.72	5.5	7.57	11.82
LMBR1L	660.68	547.75	493.56	460.44	612.11	1233.75	1023.0	463.65	563.18	674.59	1896.65	884.29	575.03	1909.85	1286.18	934.76	2163.77	1605.83	2609.3	961.07	1769.57	1388.16	1685.71	1561.89	1331.57	486.75	1388.16	1175.27	1015.93	723.08	1417.35	1268.46	3146.52	95.34	325.29	291.04	229.72	423.61	339.14	309.83	361.04	145.02	341.51	229.72	205.5	199.85	220.32	309.83	285.03	129.69	293.07	368.65	0.0	0.58	890.44	473.41	642.59	679.29	493.56	368.65	490.14	490.14	480.04	748.61	624.99	819.3	463.65	470.14	503.95	466.88	872.1	629.35	921.88	258.57	669.92	457.25	395.18	651.58	486.75	198.47	490.14	444.72	414.87	341.51	884.29	373.81	909.17	470.14	450.94	579.04
LUC7L3	902.89	1183.45	1111.82	1191.69	1457.23	2319.15	2303.12	3443.31	2895.31	3018.3	4481.23	3146.52	2796.65	3768.09	2895.31	4481.23	3443.31	5594.3	3081.75	4328.55	4903.87	4736.79	5633.22	9606.86	4181.07	1477.58	3794.3	6887.62	2956.17	4575.41	5555.65	1794.29	4769.75	167.9	941.27	974.5	884.29	928.3	974.5	693.58	551.56	111.99	497.0	551.56	521.76	332.14	480.04	426.57	356.05	406.31	412.0	503.95	1277.29	3847.29	2976.74	1378.57	1159.07	1991.0	1498.22	6207.38	2555.58	4095.0	928.3	1498.22	5329.3	1674.06	2451.44	1519.15	5112.16	2664.15	3716.2	4038.61	4607.24	1572.76	2739.08	3212.66	2319.15	5041.77	2485.67	1119.56	1225.22	1369.04	813.63	1119.56	3212.66	1183.45	2163.77	1427.22	1519.15	1709.26
LY6G5B	49.56	33.06	53.19	18.84	69.52	162.14	139.07	414.87	57.08	137.14	361.04	246.28	161.02	255.0	283.05	656.11	603.67	808.0	409.15	291.04	395.18	403.5	406.31	791.35	607.87	312.0	591.22	361.04	249.73	325.29	642.59	246.28	748.61	2.97	84.04	57.89	25.91	53.95	21.47	32.59	15.34	0.0	28.86	32.82	11.13	8.71	17.64	29.06	31.0	15.91	1.27	17.13	0.0	1.23	289.02	31.0	81.14	49.21	88.26	303.44	165.57	325.29	96.01	58.3	603.67	483.38	172.65	17.9	432.53	176.29	441.64	334.46	341.51	47.5	186.4	242.88	164.42	228.13	83.45	94.01	56.28	104.42	52.45	81.71	131.51	60.82	39.79	78.89	110.43	127.0
MARCH7	791.35	1340.84	525.39	3103.19	1540.37	813.63	909.17	624.99	624.99	457.25	785.88	679.29	493.56	1081.39	1674.06	1268.46	854.13	1191.69	1008.9	1143.1	1119.56	1359.57	1685.71	1350.18	1096.5	860.08	1191.69	1250.98	1977.24	1127.35	909.17	1059.11	1044.52	139.07	551.56	441.64	612.11	460.44	460.44	444.72	642.59	232.94	532.74	532.74	480.04	423.61	301.33	486.75	307.69	802.41	454.09	536.45	0.0	0.47	1498.22	1477.58	1199.98	1037.29	486.75	607.87	830.75	547.75	432.53	563.18	1073.91	1304.15	693.58	460.44	1096.5	878.17	759.08	733.19	1088.92	555.41	1044.52	423.61	400.71	476.71	579.04	633.73	775.05	1015.93	718.08	559.28	780.44	629.35	921.88	674.59	607.87	571.05
MDM1	90.77	64.8	125.24	58.3	151.22	301.33	264.03	220.32	172.65	312.0	201.25	217.27	376.41	199.85	214.27	205.5	260.38	759.08	279.14	297.17	376.41	156.59	358.54	348.71	332.14	121.79	312.0	327.56	145.02	185.11	329.84	95.34	423.61	39.79	75.11	40.64	73.03	84.04	58.3	26.47	30.34	26.1	21.47	52.45	49.56	50.98	60.82	49.56	54.33	48.52	21.01	30.34	0.0	0.21	381.68	94.67	81.14	150.17	75.11	166.73	165.57	307.69	102.97	111.99	201.25	231.32	217.27	47.5	497.0	75.64	90.77	283.05	1832.01	120.94	267.73	100.13	111.99	129.69	265.87	45.21	98.73	171.45	133.36	120.94	153.34	111.21	134.3	96.01	137.14	129.69
MGEA5	603.67	753.83	791.35	1417.35	1175.27	1233.75	1216.75	647.07	543.96	1001.93	2400.97	884.29	1051.79	1583.71	1697.45	1832.01	2209.26	2119.22	2018.8	1551.09	2075.59	2047.0	2758.13	2485.67	1923.14	995.0	1350.18	1151.06	1617.0	1378.57	2032.85	1183.45	3665.02	366.09	567.1	591.22	426.57	579.04	366.09	356.05	532.74	470.14	669.92	642.59	728.11	275.28	358.54	397.93	291.04	642.59	583.07	341.51	0.0	0.56	2133.97	1359.57	1519.15	1199.98	669.92	555.41	1081.39	974.5	718.08	819.3	633.73	738.29	954.43	438.59	1745.2	629.35	848.22	1447.15	1721.16	624.99	1096.5	878.17	450.94	921.88	921.88	417.77	656.11	723.08	563.18	620.67	1572.76	769.69	1191.69	796.86	748.61	967.76
MPHOSPH10	698.41	656.11	460.44	583.07	743.43	587.13	612.11	728.11	454.09	529.06	642.59	547.75	563.18	759.08	612.11	547.75	521.76	624.99	830.75	559.28	525.39	651.58	656.11	698.41	674.59	318.57	866.07	1066.48	967.76	759.08	769.69	343.89	412.0	82.87	473.41	470.14	348.71	460.44	346.29	279.14	366.09	40.36	490.14	320.8	256.78	353.59	450.94	514.56	339.14	536.45	209.84	258.57	0.0	0.14	583.07	660.68	525.39	607.87	460.44	684.02	579.04	432.53	358.54	366.09	612.11	518.15	441.64	283.05	1066.48	579.04	551.56	500.46	480.04	341.51	547.75	674.59	379.04	587.13	612.11	356.05	368.65	432.53	381.68	389.72	420.68	373.81	221.86	373.81	358.54	381.68
