	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.OHPM.0526.SM.2YUMJ
LACC1	84.04	115.97	54.33	62.12	195.72	19.11	157.68	37.85	162.14	117.6	57.08	130.6	171.45	149.12	163.28	271.48	20.26	58.3	102.97	36.27	80.01	94.67	69.03	206.94	151.22	223.41	102.97
LEO1	265.87	217.27	107.38	194.36	368.65	120.1	353.59	112.77	339.14	373.81	157.68	246.28	348.71	309.83	361.04	406.31	53.95	119.26	241.19	172.65	231.32	291.04	156.59	291.04	348.71	389.72	258.57
MCTS1	555.41	669.92	363.56	384.34	1350.18	180.02	808.0	255.0	1175.27	819.3	358.54	738.29	1208.34	660.68	902.89	1119.56	202.66	490.14	521.76	381.68	559.28	587.13	389.72	1111.82	819.3	878.17	447.82
METTL6	218.79	231.32	95.34	189.02	318.57	84.63	258.57	88.88	299.25	246.28	104.42	175.07	329.84	249.73	312.0	293.07	63.0	117.6	224.97	117.6	181.28	232.94	138.1	285.03	277.2	285.03	135.24
MPV17	1697.45	2018.8	733.19	1073.91	2796.65	743.43	1963.57	703.28	2468.49	2417.67	934.76	2255.7	1819.35	1745.2	2555.58	2777.33	656.11	1651.0	1551.09	1030.12	1427.22	1991.0	1030.12	2319.15	2224.63	2777.33	1199.98
MRPL35	397.93	473.41	260.38	287.01	791.35	166.73	599.49	190.34	785.88	647.07	177.53	497.0	591.22	595.34	825.0	890.44	118.43	339.14	571.05	283.05	353.59	403.5	279.14	830.75	620.67	612.11	432.53
MRPL44	432.53	466.88	202.66	299.25	518.15	289.02	507.46	172.65	591.22	426.57	490.14	356.05	599.49	540.19	591.22	583.07	246.28	339.14	497.0	251.48	334.46	438.59	373.81	703.28	547.75	587.13	409.15
MRS2	329.84	490.14	217.27	381.68	603.67	113.56	457.25	141.02	579.04	473.41	123.5	493.56	669.92	540.19	688.78	738.29	86.43	244.57	356.05	220.32	237.86	417.77	409.15	620.67	587.13	642.59	438.59
MTBP	17.25	19.97	4.43	18.43	49.56	9.2	31.22	7.4	40.93	41.52	2.86	19.68	35.76	25.54	42.41	44.25	1.43	6.78	26.1	9.63	18.43	19.68	15.22	31.67	37.05	38.95	9.27
MTIF2	316.37	339.14	99.43	301.33	473.41	218.79	379.04	119.26	420.68	363.56	113.56	373.81	435.55	389.72	371.22	395.18	47.5	166.73	356.05	217.27	343.89	297.17	220.32	420.68	529.06	426.57	206.94
MTX2	579.04	620.67	256.78	518.15	1030.12	397.93	764.36	198.47	866.07	791.35	265.87	616.37	878.17	813.63	878.17	796.86	107.38	441.64	642.59	500.46	521.76	571.05	518.15	743.43	551.56	866.07	480.04
MYCL	36.01	64.34	35.76	55.49	231.32	22.1	202.66	9.85	123.5	156.59	44.89	110.43	103.69	129.69	134.3	255.0	7.94	35.5	143.01	57.89	31.9	94.67	21.16	157.68	91.41	242.88	29.06
MZT1	114.36	176.29	146.03	171.45	371.22	91.41	253.23	133.36	244.57	159.9	146.03	205.5	320.8	341.51	366.09	466.88	64.8	131.51	189.02	111.21	92.05	172.65	98.73	343.89	348.71	316.37	95.34
NARS2	466.88	612.11	165.57	497.0	473.41	50.27	457.25	139.07	525.39	476.71	133.36	318.57	591.22	373.81	334.46	713.11	68.55	155.5	409.15	87.65	307.69	420.68	269.6	551.56	551.56	480.04	395.18
NUP37	320.8	371.22	120.1	323.03	563.18	182.55	417.77	81.71	490.14	497.0	150.17	348.71	555.41	379.04	521.76	579.04	44.57	223.41	366.09	198.47	325.29	376.41	287.01	503.95	376.41	438.59	256.78
NVL	237.86	236.21	145.02	232.94	483.38	206.94	376.41	90.14	470.14	417.77	108.14	269.6	343.89	289.02	269.6	514.56	95.34	191.67	273.37	297.17	309.83	389.72	271.48	332.14	435.55	497.0	195.72
ORC5	125.24	163.28	107.38	152.28	229.72	120.94	224.97	54.33	258.57	215.77	83.45	183.82	211.31	176.29	214.27	332.14	31.9	79.45	206.94	162.14	140.04	149.12	161.02	246.28	289.02	305.55	140.04
OSGEPL1	57.89	139.07	28.86	96.01	181.28	29.48	162.14	24.11	161.02	164.42	42.11	110.43	141.02	127.0	153.34	167.9	23.08	46.84	120.1	42.41	73.54	121.79	48.18	155.5	195.72	151.22	59.97
OXCT1	128.79	356.05	53.19	323.03	559.28	226.54	190.34	65.72	514.56	316.37	64.34	384.34	785.88	384.34	1001.93	507.46	32.59	121.79	191.67	145.02	229.72	170.25	59.97	309.83	473.41	532.74	205.5
OXSM	140.04	149.12	120.1	130.6	237.86	108.9	181.28	88.26	301.33	262.2	54.72	169.07	237.86	194.36	241.19	269.6	78.89	100.83	211.31	128.79	143.01	205.5	97.36	251.48	285.03	253.23	161.02
PDHB	1001.93	1733.13	599.49	1350.18	2047.0	476.71	1487.87	974.5	1769.57	1498.22	819.3	1617.0	1896.65	1519.15	2061.24	1467.37	633.73	1037.29	1617.0	928.3	967.76	1044.52	954.43	2047.0	1950.0	1378.57	1030.12
PIGF	343.89	438.59	273.37	305.55	563.18	152.28	656.11	177.53	769.69	595.34	182.55	381.68	660.68	532.74	575.03	660.68	115.16	423.61	476.71	221.86	356.05	376.41	194.36	656.11	708.18	603.67	258.57
