	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.111CU.0826.SM.5EGIJ	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.P4QT.0626.SM.3NMCP	GTEX.S95S.0326.SM.4B66U	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5734.01A.11R.1602.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.CG.4460.01A.01R.1157.13	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.FP.7829.11A.01R.2055.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
MAP1B	591.22	2573.36	5711.87	769.69	860.08	974.5	115.97	1151.06	229.72	228.13	36.27	265.87	31.45	198.47	79.45	98.73	94.01	825.0	67.59	49.91	48.87	743.43	82.29	81.14	69.52	102.25	120.94	97.36	287.01	2075.59	139.07	49.56	884.29	314.17	57.89	1605.83	117.6	76.71	75.64	190.34
MAP3K12	547.75	2224.63	718.08	1023.0	647.07	514.56	256.78	733.19	178.77	164.42	105.15	373.81	69.03	173.85	218.79	151.22	161.02	483.38	76.71	107.38	88.88	454.09	121.79	100.13	287.01	92.7	121.79	67.59	269.6	543.96	164.42	115.16	567.1	185.11	112.77	500.46	133.36	341.51	115.16	237.86
MAP3K3	1331.57	1605.83	1304.15	733.19	954.43	1119.56	392.44	780.44	547.75	384.34	183.82	460.44	106.63	403.5	229.72	166.73	392.44	866.07	208.38	277.2	275.28	603.67	325.29	186.4	309.83	312.0	316.37	406.31	547.75	909.17	358.54	204.07	954.43	454.09	353.59	1001.93	318.57	480.04	253.23	420.68
MARVELD1	2133.97	3982.99	5995.9	1561.89	1794.29	2032.85	253.23	1457.23	1277.29	866.07	356.05	470.14	38.95	660.68	277.2	656.11	507.46	2367.9	178.77	209.84	759.08	1359.57	825.0	303.44	466.88	220.32	1199.98	314.17	660.68	2104.58	426.57	212.78	1639.59	476.71	265.87	3564.78	316.37	334.46	228.13	400.71
MLTK	12502.12	26614.89	30361.44	2720.15	2104.58	3039.3	229.72	2645.74	1417.35	1286.18	148.09	423.61	122.64	237.86	177.53	161.02	376.41	1991.0	163.28	183.82	327.56	616.37	463.65	131.51	151.22	204.07	307.69	173.85	791.35	7280.4	825.0	64.34	3589.58	878.17	142.01	6516.03	181.28	170.25	109.66	866.07
MRAS	802.41	1051.79	1487.87	575.03	441.64	567.1	61.25	583.07	301.33	218.79	61.25	258.57	44.25	229.72	190.34	128.79	220.32	612.11	65.26	135.24	423.61	450.94	150.17	42.41	197.09	41.81	126.12	75.64	198.47	603.67	153.34	126.12	466.88	237.86	173.85	624.99	175.07	244.57	171.45	228.13
MRGPRF	14867.79	7911.95	21768.19	2367.9	2502.97	2935.74	406.31	878.17	2664.15	2224.63	102.25	323.03	10.96	303.44	149.12	82.87	309.83	3325.99	76.71	212.78	74.58	830.75	251.48	43.63	96.01	31.0	185.11	59.13	878.17	5479.15	1088.92	133.36	2468.49	1331.57	132.44	4769.75	309.83	281.09	164.42	656.11
MRVI1	5672.41	9945.68	9409.14	2997.45	2758.13	4095.0	366.09	2855.44	1159.07	872.1	190.34	532.74	35.0	507.46	217.27	236.21	339.14	2303.12	127.0	161.02	185.11	1350.18	249.73	96.68	239.52	105.15	438.59	84.63	698.41	2720.15	656.11	236.21	1572.76	1111.82	297.17	3768.09	457.25	395.18	241.19	447.82
MSRB3	11745.96	7803.01	16960.78	1883.54	1936.53	2855.44	205.5	2555.58	2367.9	1883.54	64.34	395.18	19.39	277.2	63.45	111.21	194.36	2061.24	68.55	76.17	95.34	842.36	143.01	29.48	180.02	50.27	281.09	63.45	607.87	3847.29	642.59	85.82	1857.6	660.68	139.07	3716.2	244.57	303.44	125.24	660.68
MYLK	218912.29	146444.06	294926.33	18689.27	12244.81	22380.2	890.44	20593.91	24321.43	20737.16	376.41	1487.87	65.72	1417.35	412.0	441.64	1081.39	25887.07	299.25	450.94	460.44	4937.99	723.08	154.42	708.18	249.73	1259.69	234.57	5366.37	35609.13	8718.32	392.44	20737.16	11112.3	698.41	46662.28	1909.85	1529.73	616.37	5672.41
NCALD	1313.23	872.1	1104.13	529.06	551.56	366.09	100.83	206.94	435.55	543.96	62.56	148.09	50.98	76.17	103.69	71.5	176.29	567.1	70.51	66.18	31.22	232.94	62.12	53.57	59.13	66.18	119.26	24.63	295.11	1159.07	232.94	141.02	647.07	279.14	104.42	928.3	187.71	130.6	64.34	226.54
NCAM1	2555.58	1051.79	2287.2	872.1	825.0	1030.12	112.77	1378.57	738.29	607.87	22.1	162.14	15.91	59.55	75.64	23.59	146.03	660.68	34.02	100.13	55.1	94.01	65.26	98.73	87.03	41.52	70.01	6.78	444.72	2502.97	293.07	193.01	1277.29	703.28	269.6	1304.15	251.48	236.21	514.56	291.04
NEGR1	1477.58	1183.45	1757.34	500.46	713.11	872.1	95.34	480.04	438.59	457.25	61.25	176.29	18.56	262.2	52.82	46.5	62.56	412.0	34.75	51.35	37.05	161.02	92.7	40.36	74.06	41.22	95.34	9.34	229.72	1268.46	251.48	70.51	693.58	283.05	150.17	1008.9	134.3	119.26	82.29	217.27
NPTN	9740.98	5633.22	7433.4	3257.52	3955.48	4639.29	1936.53	3443.31	3982.99	4210.15	1529.73	1745.2	2417.67	2468.49	2520.38	1757.34	2335.28	3467.27	1721.16	1757.34	2004.85	2915.45	1508.65	1088.92	1639.59	1617.0	2451.44	1233.75	3081.75	5366.37	3665.02	2335.28	4210.15	3665.02	1950.0	7433.4	3081.75	1832.01	2434.5	2816.11
NRXN3	1151.06	1551.09	5954.47	269.6	551.56	915.51	18.7	454.09	253.23	237.86	2.2	38.67	1.13	24.99	13.03	14.45	31.9	1037.29	4.7	12.74	9.2	133.36	11.73	1.1	42.11	3.35	30.12	1.97	167.9	1096.5	100.83	25.91	825.0	103.69	4.58	1594.73	41.81	20.26	7.94	133.36
OSTM1	842.36	1447.15	1322.37	764.36	563.18	665.29	197.09	684.02	525.39	420.68	429.54	384.34	177.53	409.15	414.87	220.32	376.41	753.83	285.03	341.51	251.48	616.37	339.14	183.82	406.31	171.45	285.03	267.73	392.44	928.3	493.56	231.32	896.64	503.95	293.07	1088.92	339.14	312.0	248.0	441.64
PABPC5	119.26	195.72	97.36	30.56	29.27	38.12	6.52	38.4	25.91	18.56	2.41	15.34	0.74	10.88	2.29	8.92	8.51	27.44	1.5	1.79	3.26	26.86	4.58	1.08	3.96	1.46	7.46	0.69	15.22	43.63	11.04	3.47	28.04	10.08	4.46	81.71	6.52	9.2	1.23	13.62
PARK2	79.45	91.41	135.24	77.79	90.14	92.7	22.92	85.82	36.53	40.64	6.84	26.28	12.0	18.7	16.63	7.88	25.17	73.54	6.11	15.56	7.46	26.28	12.36	24.63	16.03	36.79	24.46	2.58	47.84	130.6	34.51	24.63	107.38	49.21	33.78	156.59	54.72	29.91	28.04	46.84
PARVA	17437.64	10733.74	12589.08	2997.45	3124.78	4152.18	703.28	3372.43	3124.78	2739.08	651.58	884.29	417.77	1111.82	703.28	872.1	830.75	4358.66	842.36	728.11	884.29	1674.06	1295.13	941.27	507.46	607.87	902.89	1030.12	1583.71	4869.99	1447.15	656.11	3349.13	1857.6	802.41	4239.45	866.07	708.18	642.59	1059.11
PBX1	3325.99	1447.15	2133.97	2303.12	1191.69	1487.87	327.56	884.29	866.07	808.0	503.95	555.41	215.77	403.5	258.57	151.22	329.84	974.5	107.38	229.72	353.59	616.37	273.37	269.6	429.54	133.36	249.73	67.12	802.41	2148.82	753.83	376.41	1685.71	995.0	547.75	1977.24	607.87	287.01	387.02	426.57
PBX3	3372.43	1167.14	1135.2	748.61	674.59	866.07	237.86	620.67	1051.79	753.83	169.07	503.95	98.73	514.56	193.01	137.14	327.56	1350.18	108.14	221.86	145.02	775.05	221.86	109.66	237.86	371.22	403.5	283.05	395.18	2417.67	511.0	178.77	1340.84	860.08	253.23	1159.07	262.2	314.17	217.27	480.04
PBXIP1	7857.29	5594.3	9344.14	5219.6	4388.98	4388.98	1295.13	3928.15	2835.7	2163.77	1359.57	1697.45	713.11	1769.57	1277.29	819.3	1551.09	3103.19	563.18	1037.29	1037.29	1709.26	1477.58	1583.71	1508.65	480.04	1662.49	638.15	2209.26	4038.61	2193.99	1508.65	3901.01	2417.67	2090.03	5672.41	1832.01	2255.7	1662.49	2104.58
PCDHGC3	785.88	1225.22	759.08	642.59	647.07	466.88	420.68	738.29	389.72	420.68	229.72	260.38	19.82	409.15	140.04	72.52	195.72	769.69	67.59	283.05	255.0	457.25	198.47	303.44	202.66	307.69	329.84	251.48	463.65	748.61	463.65	212.78	866.07	371.22	258.57	785.88	334.46	236.21	190.34	190.34
PDLIM3	27363.16	32092.64	70727.3	9279.58	10014.87	10154.69	866.07	7433.4	4095.0	3540.14	145.02	1832.01	21.16	1322.37	503.95	267.73	1044.52	11745.96	336.79	426.57	264.03	3820.7	633.73	37.32	503.95	69.03	796.86	171.45	2520.38	14971.21	3467.27	486.75	10368.08	3257.52	414.87	19892.37	1127.35	1651.0	620.67	3768.09
PDZD4	1639.59	764.36	1923.14	423.61	551.56	638.15	49.21	397.93	483.38	414.87	8.78	68.55	3.2	40.36	14.89	14.56	27.64	351.14	7.88	33.78	3.47	125.24	27.44	3.96	113.56	6.11	29.7	12.09	171.45	718.08	123.5	57.08	591.22	197.09	48.87	647.07	53.95	97.36	47.17	137.14
PGC	5.19	3.86	0.0	506427.83	8046889.67	1634025.56	2039804.27	938500.81	7.06	3.29	400098.69	2310861.52	5711.87	1535204.12	1255646.43	1005860.33	2310861.52	1212874.47	535303.41	2310861.52	3200796.55	1916442.45	1.011504819E7	1131651.83	1600397.78	805764.22	5128124.01	757033.75	672883.8	1662.49	1851161.35	1956711.0	659036.03	2068278.89	5690009.96	42.71	2025714.3	2025714.3	4885245.74	2654482.97
PHLDB2	2271.4	1167.14	1167.14	660.68	884.29	728.11	316.37	1977.24	518.15	444.72	248.0	551.56	194.36	208.38	120.1	153.34	221.86	698.41	158.79	194.36	75.11	563.18	108.9	90.14	113.56	96.01	187.71	65.72	293.07	1037.29	285.03	127.0	599.49	277.2	307.69	708.18	157.68	279.14	172.65	271.48
PITPNM2	329.84	595.34	460.44	305.55	389.72	429.54	165.57	381.68	172.65	134.3	80.57	171.45	78.34	126.12	93.35	78.89	139.07	327.56	107.38	120.94	67.12	229.72	88.88	77.25	127.89	79.45	82.29	123.5	283.05	334.46	119.26	143.01	395.18	139.07	144.01	540.19	137.14	147.06	122.64	112.77
PLIN4	5076.84	4298.64	5872.48	2468.49	1008.9	1096.5	63.0	616.37	1088.92	1088.92	8.92	22.92	33.3	6.57	9.78	49.21	22.75	1119.56	21.16	26.67	18.84	32.36	8.92	12.93	9.06	6.78	42.11	2.78	647.07	2835.7	559.28	26.86	1896.65	954.43	80.57	2855.44	228.13	108.14	76.17	242.88
PLN	14361.31	10014.87	15499.21	2468.49	3847.29	4010.71	158.79	2193.99	2701.35	1662.49	28.24	253.23	6.57	113.56	41.52	49.91	84.63	1096.5	58.71	65.72	31.0	563.18	78.89	5.45	57.89	7.75	176.29	4.94	854.13	6337.83	1175.27	51.71	2875.3	854.13	88.26	6471.02	271.48	532.74	116.78	1417.35
PPP1R12C	18178.19	21172.91	35118.87	5076.84	5913.33	7032.37	2240.11	5006.93	4903.87	4239.45	1322.37	1119.56	860.08	1369.04	1044.52	1304.15	1199.98	7485.11	1378.57	1467.37	403.5	1936.53	775.05	981.29	854.13	1199.98	1159.07	796.86	2664.15	6079.61	2400.97	1540.37	5441.3	2485.67	1167.14	10808.41	1427.22	1697.45	1104.13	2090.03
PRELP	5555.65	3614.55	7589.61	7642.41	3081.75	1250.98	890.44	4268.94	1540.37	1295.13	34.02	571.05	0.87	356.05	32.36	42.11	226.54	2133.97	21.94	80.57	47.17	656.11	199.85	4.43	70.01	13.22	277.2	10.31	830.75	2915.45	624.99	173.85	2303.12	684.02	38.4	1936.53	295.11	450.94	206.94	457.25
PRICKLE2	1447.15	1159.07	1286.18	500.46	503.95	591.22	138.1	507.46	329.84	332.14	35.0	147.06	13.52	93.35	33.54	40.64	70.51	587.13	51.35	39.79	38.4	189.02	38.4	59.13	53.95	20.86	90.14	24.99	256.78	1388.16	193.01	80.01	674.59	285.03	82.87	791.35	120.1	60.39	75.11	134.3
PRKG1	624.99	884.29	1051.79	165.57	195.72	253.23	29.7	175.07	186.4	155.5	32.82	83.45	8.92	60.39	33.78	53.57	52.08	151.22	16.63	21.63	29.48	149.12	36.79	19.68	31.67	33.3	52.82	15.0	81.14	379.04	71.5	37.85	175.07	129.69	58.3	358.54	65.72	50.63	43.63	61.25
PRNP	15824.9	4181.07	3847.29	2417.67	2573.36	2956.17	1030.12	1991.0	3303.0	4010.71	435.55	1295.13	287.01	872.1	1233.75	473.41	785.88	4575.41	392.44	674.59	599.49	1651.0	1191.69	454.09	703.28	967.76	1037.29	540.19	1844.76	8658.09	2303.12	791.35	6164.49	3589.58	651.58	5995.9	1268.46	1268.46	954.43	2303.12
PTRF	35609.13	17804.06	34635.37	6381.92	8363.13	11035.54	1572.76	5913.33	7642.41	6561.36	444.72	1651.0	125.24	2133.97	780.44	848.22	1662.49	11909.94	476.71	988.12	497.0	4937.99	1407.55	281.09	693.58	406.31	1073.91	1111.82	3639.7	10154.69	2485.67	764.36	8022.41	3081.75	718.08	16843.62	1628.26	1096.5	902.89	2104.58
RAI2	1199.98	1277.29	1151.06	1191.69	1529.73	884.29	483.38	808.0	559.28	403.5	264.03	483.38	26.28	420.68	346.29	297.17	285.03	1135.2	140.04	256.78	64.34	551.56	183.82	303.44	137.14	70.51	532.74	103.69	583.07	1529.73	753.83	426.57	1250.98	698.41	583.07	1259.69	387.02	559.28	395.18	633.73
RASSF8	1088.92	616.37	688.78	323.03	341.51	463.65	58.71	336.79	228.13	221.86	39.22	164.42	7.11	166.73	88.26	70.01	96.68	432.53	20.56	42.11	43.94	403.5	47.84	11.04	123.5	38.67	145.02	15.91	122.64	660.68	128.79	30.12	397.93	220.32	47.84	480.04	62.12	73.03	44.25	98.73
RBFOX2	6079.61	2209.26	2468.49	1397.83	1268.46	1572.76	660.68	1216.75	1088.92	995.0	480.04	718.08	435.55	718.08	417.77	629.35	733.19	1250.98	397.93	450.94	438.59	1104.13	460.44	450.94	518.15	332.14	529.06	348.71	878.17	2319.15	753.83	384.34	1594.73	819.3	521.76	2520.38	486.75	318.57	316.37	497.0
RBPMS2	13215.02	7749.1	11504.21	3794.3	3443.31	3467.27	186.4	2956.17	2335.28	1540.37	32.82	249.73	6.84	157.68	63.0	67.12	82.29	2855.44	94.01	175.07	27.25	476.71	115.16	20.86	177.53	43.63	177.53	127.89	896.64	4210.15	684.02	155.5	3325.99	791.35	223.41	5292.48	291.04	339.14	412.0	981.29
RECK	348.71	743.43	447.82	226.54	223.41	237.86	108.9	223.41	181.28	147.06	38.4	220.32	8.99	94.01	75.11	48.18	92.7	186.4	28.04	39.5	48.87	199.85	55.89	27.05	100.13	32.82	80.57	18.03	183.82	486.75	113.56	48.52	441.64	115.97	61.68	441.64	100.83	110.43	73.54	159.9
REM1	177.53	346.29	480.04	128.79	106.63	124.37	23.59	102.97	60.39	46.84	17.25	77.25	2.34	36.27	14.56	19.53	59.55	102.97	6.57	32.82	11.38	118.43	50.27	12.36	30.56	7.57	24.28	34.75	63.45	140.04	58.3	21.01	100.83	83.45	21.78	265.87	43.02	80.01	19.39	96.01
RGAG4	466.88	435.55	450.94	503.95	366.09	366.09	93.35	244.57	154.42	89.51	18.97	92.05	3.63	63.89	35.25	25.17	52.08	214.27	20.11	28.24	14.89	98.04	34.75	45.21	111.99	16.63	126.12	24.81	147.06	361.04	103.69	61.25	358.54	124.37	104.42	314.17	73.54	108.14	48.52	141.02
RGL1	353.59	1059.11	693.58	366.09	450.94	507.46	85.82	356.05	260.38	169.07	90.14	228.13	16.39	106.63	93.35	73.54	150.17	208.38	52.08	61.25	68.07	182.55	58.71	55.1	144.01	48.52	75.11	76.71	228.13	429.54	183.82	79.45	470.14	206.94	94.01	708.18	156.59	244.57	95.34	218.79
RGS4	555.41	2061.24	1594.73	151.22	599.49	642.59	31.0	32.59	198.47	50.27	16.27	78.89	5.54	92.7	76.71	17.38	53.19	490.14	9.7	49.56	37.59	323.03	25.17	202.66	36.01	10.16	115.97	3.35	209.84	674.59	98.04	27.05	633.73	314.17	32.36	2835.7	44.57	22.75	25.17	199.85
RILPL1	872.1	612.11	995.0	403.5	343.89	343.89	112.77	339.14	251.48	169.07	45.21	99.43	61.25	130.6	97.36	46.18	87.03	457.25	42.41	56.28	134.3	305.55	157.68	73.03	84.04	51.71	146.03	115.97	130.6	450.94	115.97	53.95	412.0	146.03	74.06	567.1	75.11	78.34	101.54	148.09
RNF150	1870.53	595.34	854.13	236.21	295.11	379.04	21.01	170.25	316.37	253.23	4.46	93.35	0.06	36.79	4.31	13.83	27.84	241.19	6.01	7.28	10.96	98.04	16.63	1.71	35.76	3.14	32.13	1.91	114.36	718.08	76.17	15.0	356.05	175.07	10.39	547.75	30.34	46.5	19.39	77.25
RSU1	4450.27	2468.49	3280.18	1819.35	1733.13	1662.49	738.29	1583.71	1896.65	1437.15	866.07	1111.82	909.17	1008.9	974.5	961.07	995.0	1697.45	878.17	974.5	420.68	1923.14	896.64	728.11	902.89	909.17	909.17	486.75	860.08	2682.69	1617.0	902.89	2367.9	1397.83	1023.0	3349.13	854.13	1295.13	1066.48	1594.73
RTN4	5954.47	6699.25	8191.0	4607.24	5711.87	5292.48	3060.45	5995.9	5403.7	5255.91	2047.0	2796.65	1583.71	3716.2	2645.74	2018.8	2609.3	5517.27	1733.13	2119.22	2720.15	3325.99	679.29	555.41	2075.59	1662.49	2163.77	633.73	3372.43	6426.31	2739.08	2591.27	4802.93	2555.58	2255.7	5479.15	2855.44	2520.38	2209.26	2758.13
RUSC2	2163.77	1487.87	1551.09	575.03	896.64	909.17	346.29	587.13	521.76	202.66	152.28	197.09	98.73	201.25	170.25	193.01	191.67	830.75	303.44	117.6	113.56	444.72	157.68	190.34	149.12	88.88	195.72	82.29	376.41	954.43	234.57	96.01	915.51	327.56	135.24	1233.75	127.89	124.37	78.89	145.02
SCHIP1	743.43	1950.0	2255.7	224.97	447.82	264.03	9.48	221.86	412.0	115.16	5.73	59.55	12.0	26.47	36.01	27.05	6.16	358.54	6.36	10.96	14.67	249.73	49.91	9.06	52.82	14.35	11.04	35.0	123.5	688.78	75.64	41.22	368.65	145.02	4.13	934.76	31.22	41.81	2.1	158.79
SELM	40621.74	48982.22	59063.35	14867.79	18560.17	17804.06	2434.5	13586.57	8421.31	6121.9	872.1	4512.4	182.55	4358.66	3928.15	3540.14	2400.97	17317.18	1397.83	2075.59	1322.37	7642.41	6652.97	1191.69	1721.16	1143.1	2609.3	1923.14	5479.15	23330.64	5711.87	3103.19	14561.8	4769.75	2193.99	24660.96	3716.2	9025.81	5555.65	13586.57
SGCD	638.15	921.88	1447.15	264.03	234.57	289.02	26.1	114.36	103.69	106.63	28.04	123.5	5.45	115.97	25.72	35.5	67.59	194.36	26.28	21.78	56.28	248.0	40.36	9.27	38.12	15.56	55.89	5.73	59.13	307.69	104.42	27.64	194.36	81.71	67.59	1208.34	72.01	40.64	27.64	56.28
SH3BGR	2609.3	872.1	7331.05	1561.89	447.82	540.19	52.45	651.58	392.44	583.07	74.06	114.36	73.54	87.03	23.93	55.89	81.14	633.73	47.17	53.57	61.25	118.43	67.59	59.13	27.84	48.18	76.17	36.27	244.57	902.89	267.73	69.03	860.08	128.79	80.57	1457.23	73.03	170.25	47.84	500.46
SHISA3	185.11	674.59	420.68	106.63	211.31	271.48	14.89	197.09	152.28	145.02	3.63	525.39	39.79	98.04	7.34	10.24	37.59	291.04	2.14	72.52	5.5	146.03	12.93	1.5	4.78	6.84	26.67	0.24	107.38	595.34	244.57	17.38	403.5	91.41	3.96	423.61	18.7	67.59	19.82	70.51
SHISA9	61.68	59.55	123.5	23.76	26.47	38.95	3.59	40.64	27.44	32.59	0.93	11.3	0.31	2.39	2.14	1.28	5.82	12.93	1.03	3.79	0.64	4.58	0.35	0.3	1.07	0.3	0.0	0.0	17.13	105.89	4.78	4.94	45.21	15.68	1.01	27.25	7.4	3.63	3.56	9.2
SLC25A4	7857.29	2664.15	5995.9	2777.33	2956.17	3665.02	525.39	2627.46	2119.22	1857.6	167.9	753.83	733.19	674.59	620.67	497.0	647.07	2163.77	379.04	1059.11	764.36	713.11	392.44	346.29	1008.9	457.25	583.07	563.18	1340.84	2895.31	1447.15	1073.91	2627.46	1407.55	1508.65	4481.23	1104.13	2133.97	2400.97	2400.97
SLC8A1	3564.78	1551.09	1572.76	146.03	206.94	241.19	22.75	141.02	476.71	325.29	53.95	69.03	4.82	91.41	53.57	40.64	110.43	181.28	23.08	30.34	47.84	108.9	49.21	22.1	62.12	32.36	80.57	21.63	114.36	616.37	130.6	42.41	127.0	120.94	49.91	620.67	88.26	35.25	46.5	45.53
SMOC2	1044.52	5711.87	2148.82	3124.78	1806.78	2287.2	351.14	1135.2	713.11	718.08	105.89	813.63	6.16	1685.71	285.03	144.01	450.94	5594.3	143.01	232.94	183.82	2133.97	363.56	19.97	287.01	49.91	878.17	237.86	1674.06	12160.22	1806.78	297.17	8363.13	2271.4	169.07	3419.52	713.11	848.22	285.03	2720.15
SOBP	1015.93	713.11	1183.45	323.03	301.33	412.0	56.28	417.77	293.07	211.31	49.56	147.06	15.34	47.5	37.85	77.25	78.34	314.17	40.64	94.67	142.01	183.82	34.02	94.67	73.03	22.92	112.77	18.16	137.14	633.73	126.12	47.5	361.04	141.02	92.7	486.75	68.55	88.88	84.63	112.77
SORBS2	21468.49	3212.66	4328.55	3303.0	11584.24	8305.36	532.74	2875.3	4095.0	4543.8	708.18	1250.98	17.0	432.53	241.19	607.87	353.59	5255.91	323.03	454.09	143.01	1313.23	162.14	967.76	323.03	316.37	256.78	72.01	2835.7	5041.77	967.76	583.07	6652.97	1437.15	836.53	8078.22	921.88	954.43	878.17	2935.74
SOX10	830.75	343.89	733.19	269.6	279.14	232.94	15.0	371.22	397.93	164.42	1.91	53.57	0.0	25.72	11.21	10.88	20.11	129.69	11.64	22.59	1.16	29.27	3.63	3.66	3.47	5.68	3.14	1.14	126.12	583.07	67.12	50.27	384.34	182.55	16.75	358.54	78.89	33.54	75.64	63.89
SPARCL1	30785.28	77396.54	66449.85	19348.38	26248.46	20451.65	4095.0	26614.89	8901.53	7230.1	638.15	4869.99	265.87	2351.53	1259.69	1081.39	1870.53	18178.19	854.13	1709.26	713.11	10296.45	1340.84	571.05	1819.35	454.09	1757.34	954.43	5954.47	32540.65	5872.48	1143.1	18819.27	4268.94	2485.67	30785.28	3103.19	2935.74	1883.54	6607.01
SSPN	665.29	723.08	1030.12	205.5	273.37	463.65	31.67	221.86	269.6	232.94	34.75	297.17	15.91	177.53	21.32	26.86	98.04	454.09	33.06	64.34	35.0	293.07	71.0	18.97	26.86	57.89	92.7	9.27	180.02	633.73	150.17	75.64	470.14	320.8	67.59	854.13	66.18	154.42	65.26	187.71
ST3GAL3	1322.37	961.07	1259.69	575.03	555.41	567.1	78.89	571.05	379.04	281.09	141.02	220.32	53.95	189.02	59.55	61.68	102.97	500.46	70.01	86.43	77.25	175.07	96.68	48.18	88.88	87.03	84.04	64.8	248.0	698.41	182.55	88.88	559.28	218.79	129.69	896.64	119.26	187.71	115.16	273.37
STOM	6037.61	23986.58	15180.22	5791.62	5441.3	4903.87	1340.84	10084.54	2935.74	3168.41	1199.98	2287.2	239.52	3419.52	1844.76	1733.13	1662.49	4937.99	1447.15	981.29	1447.15	5147.73	934.76	884.29	1127.35	656.11	1733.13	878.17	2915.45	8022.41	2451.44	1111.82	7130.55	1832.01	1088.92	4802.93	1857.6	1757.34	934.76	3124.78
STON1	2240.11	2682.69	3146.52	813.63	1359.57	961.07	135.24	961.07	575.03	412.0	31.9	215.77	17.0	126.12	34.75	37.32	82.29	733.19	27.05	33.3	36.01	450.94	49.56	17.25	71.5	17.0	77.25	12.27	376.41	1936.53	241.19	35.0	860.08	295.11	58.71	1159.07	116.78	85.22	33.3	299.25
SYDE1	1427.22	2682.69	2335.28	688.78	669.92	825.0	158.79	620.67	497.0	346.29	109.66	180.02	22.43	406.31	267.73	152.28	218.79	967.76	90.77	108.14	102.25	559.28	180.02	67.59	127.89	81.71	220.32	149.12	336.79	1135.2	236.21	108.14	1001.93	332.14	141.02	974.5	193.01	191.67	129.69	277.2
TCEAL7	1030.12	540.19	791.35	161.02	201.25	148.09	58.71	149.12	346.29	258.57	12.74	75.64	2.86	51.71	29.27	23.08	37.32	332.14	20.71	35.76	17.64	163.28	28.86	11.38	37.32	15.22	43.63	3.41	146.03	476.71	114.36	21.32	420.68	105.89	51.35	334.46	58.3	92.05	72.52	260.38
TCF7L1	1388.16	1378.57	2075.59	684.02	796.86	759.08	109.66	555.41	493.56	316.37	138.1	163.28	12.09	111.21	77.25	57.49	84.04	493.56	46.18	73.54	36.27	540.19	117.6	43.63	204.07	46.84	199.85	72.01	236.21	890.44	206.94	95.34	571.05	189.02	67.59	1001.93	99.43	127.89	68.55	208.38
TGFB1I1	48982.22	20451.65	42346.82	5954.47	6426.31	4704.07	842.36	4903.87	7180.15	4736.79	567.1	1104.13	92.05	1286.18	536.45	547.75	684.02	7382.04	320.8	435.55	303.44	2468.49	629.35	161.02	629.35	293.07	647.07	389.72	2061.24	11664.82	2502.97	473.41	7537.18	2855.44	406.31	13123.73	713.11	1159.07	728.11	2119.22
TMEM240	890.44	500.46	1073.91	181.28	234.57	215.77	27.05	147.06	220.32	89.51	4.86	19.11	5.32	23.93	5.32	5.92	9.13	186.4	10.71	8.99	2.01	52.82	12.74	3.38	9.34	2.05	20.56	8.0	71.5	269.6	38.67	14.14	185.11	65.26	9.85	265.87	22.26	46.5	4.94	94.67
TMEM252	490.14	476.71	902.89	283.05	110.43	132.44	21.47	158.79	108.9	100.83	3.38	10.16	0.06	1.69	9.7	3.59	7.94	82.87	0.06	2.81	1.13	14.24	1.95	1.43	2.43	0.0	4.06	0.04	60.39	316.37	43.94	16.63	104.42	64.34	4.9	269.6	30.12	13.72	4.13	24.63
TSHZ3	1104.13	728.11	660.68	387.02	289.02	318.57	65.72	287.01	253.23	167.9	33.78	100.13	8.0	111.21	39.5	49.56	71.5	432.53	27.64	34.26	37.59	221.86	43.32	26.67	37.32	25.72	64.8	27.64	161.02	447.82	94.01	32.36	525.39	106.63	44.89	429.54	64.34	66.65	34.75	95.34
