	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.E9.A1ND.01A.11R.A144.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.A2.A0ST.01A.12R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.ZJ.AAX4.01A.11R.A42T.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CQ.7065.01A.11R.2081.07	TCGA.BB.7861.01A.11R.2232.07	TCGA.CR.6481.01A.11R.1873.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.86.8671.01A.11R.2403.07	GTEX.Q734.0626.SM.2I3EF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
IL2RA	329.84	223.41	223.41	175.07	503.95	176.29	2.36	83.45	43.02	181.28	65.26	954.43	83.45	9.13	3.53	43.32	23.59	8.06	30.56	86.43	4.06	14.56	2.41	507.46	420.68	135.24	156.59	141.02	111.21	8.71	27.84	30.34	8.45	43.94	20.56
ITGAL	688.78	669.92	559.28	358.54	2701.35	1104.13	130.6	175.07	275.28	414.87	186.4	1359.57	325.29	11.3	15.91	62.56	101.54	51.35	54.72	251.48	16.03	96.68	9.06	1259.69	1286.18	1639.59	1268.46	2915.45	24.99	43.94	81.14	74.06	232.94	21.94	2.68
ITGB2	5594.3	3303.0	3491.39	3018.3	5112.16	5255.91	249.73	2047.0	2997.45	2739.08	2271.4	7331.05	2777.33	172.65	83.45	493.56	348.71	325.29	514.56	2148.82	70.51	339.14	68.55	5006.93	5791.62	6840.04	6983.79	10084.54	2434.5	173.85	397.93	753.83	480.04	258.57	229.72
JAK3	620.67	486.75	267.73	161.02	1583.71	521.76	44.57	126.12	128.79	403.5	84.63	579.04	262.2	59.97	21.47	127.89	85.82	47.84	114.36	208.38	50.27	111.99	13.93	813.63	376.41	733.19	1066.48	587.13	13.62	19.11	182.55	32.59	65.26	14.24	21.32
KCNJ10	31.0	62.12	13.32	29.7	111.21	56.68	3.0	4.98	5.82	44.57	13.52	118.43	8.51	0.18	0.04	1.1	0.2	0.27	0.54	3.06	0.0	0.46	0.92	161.02	78.34	76.17	67.12	91.41	0.0	0.32	2.76	0.0	0.51	0.0	0.0
KLHL6	95.34	150.17	74.58	82.29	521.76	209.84	12.55	68.55	50.63	68.55	52.08	368.65	55.89	16.27	9.34	26.67	16.63	9.85	19.53	50.98	7.69	34.02	47.84	314.17	279.14	148.09	307.69	429.54	7.88	0.44	7.88	14.89	13.62	6.16	1.51
KRT4	0.0	1.35	11.91	1.97	915.51	12.93	3.697379928E7	819.3	5555.65	2451.44	7589.61	12853.63	183.82	1163466.92	1402917.72	1.810644424E7	6140819.49	2.276004283E7	3359929.59	1800541.22	1462493.73	3.109113511E7	480.04	24.28	0.33	0.0	45.53	3901.01	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LAT2	753.83	660.68	603.67	301.33	1794.29	651.58	29.48	267.73	305.55	536.45	332.14	417.77	351.14	57.89	111.99	105.15	117.6	97.36	202.66	285.03	88.88	164.42	30.34	493.56	656.11	866.07	884.29	2997.45	389.72	55.1	85.82	134.3	102.25	60.82	55.1
LCK	1088.92	764.36	376.41	209.84	2816.11	1051.79	163.28	343.89	256.78	1088.92	148.09	1277.29	384.34	19.11	61.25	65.72	98.73	40.64	90.77	265.87	19.53	112.77	8.51	1135.2	995.0	1397.83	1447.15	1313.23	16.51	67.59	353.59	73.54	194.36	31.67	34.51
LCP2	1350.18	1437.15	1225.22	769.69	2895.31	1709.26	69.52	450.94	457.25	1151.06	808.0	2240.11	503.95	119.26	88.26	271.48	241.19	163.28	334.46	780.44	72.01	175.07	31.9	2573.36	1721.16	2816.11	2004.85	2935.74	316.37	73.03	220.32	204.07	187.71	69.03	48.18
LILRB1	262.2	285.03	318.57	289.02	563.18	295.11	18.29	64.34	127.89	211.31	153.34	406.31	141.02	17.0	15.68	49.56	51.71	25.54	82.87	262.2	7.34	58.3	2.76	490.14	277.2	638.15	521.76	1008.9	11.13	0.84	32.36	27.84	17.9	4.21	1.1
LIMD2	2609.3	1991.0	842.36	688.78	8247.98	2255.7	193.01	1806.78	902.89	1733.13	1175.27	2240.11	872.1	108.9	130.6	249.73	346.29	155.5	283.05	878.17	72.01	397.93	85.82	2255.7	2367.9	2502.97	3395.89	2400.97	205.5	64.34	167.9	165.57	239.52	110.43	42.41
LTA	108.9	128.79	66.65	41.22	400.71	220.32	9.78	36.79	37.59	106.63	22.1	69.03	35.25	3.76	7.57	8.25	11.91	7.75	9.7	22.1	1.69	38.67	1.45	195.72	224.97	158.79	190.34	51.35	0.0	7.51	28.45	8.25	18.03	2.05	0.48
LTB	2004.85	1936.53	403.5	791.35	10225.32	5672.41	651.58	1183.45	616.37	1051.79	260.38	738.29	384.34	18.7	35.0	102.97	78.89	100.83	123.5	409.15	22.59	521.76	72.01	2047.0	2664.15	1127.35	4123.49	4239.45	127.0	167.9	109.66	88.26	764.36	45.53	40.93
MAP4K1	796.86	688.78	384.34	265.87	2468.49	981.29	89.51	194.36	307.69	642.59	127.89	1104.13	414.87	33.06	31.45	137.14	133.36	62.56	105.89	255.0	43.63	157.68	5.02	1059.11	860.08	819.3	1250.98	988.12	38.4	49.21	81.14	24.63	77.25	23.93	25.91
MPEG1	575.03	665.29	327.56	423.61	1498.22	909.17	64.34	208.38	187.71	262.2	211.31	785.88	146.03	29.06	21.16	138.1	86.43	63.89	120.1	253.23	17.25	98.73	10.31	961.07	902.89	1104.13	769.69	1388.16	1073.91	56.68	56.68	215.77	92.05	70.01	96.01
NCKAP1L	642.59	624.99	575.03	454.09	1583.71	961.07	18.7	289.02	285.03	470.14	273.37	1044.52	218.79	43.32	17.9	171.45	146.03	104.42	126.12	444.72	137.14	206.94	7.63	974.5	1104.13	1119.56	836.53	2119.22	256.78	27.05	39.22	91.41	66.18	44.57	23.93
NR1H3	2075.59	2384.37	934.76	1639.59	2061.24	2004.85	211.31	612.11	866.07	2335.28	486.75	2739.08	1059.11	220.32	285.03	341.51	208.38	291.04	395.18	1127.35	224.97	221.86	215.77	2485.67	2090.03	1757.34	2209.26	3716.2	348.71	185.11	134.3	189.02	152.28	190.34	110.43
P2RY13	199.85	162.14	51.71	120.1	361.04	285.03	34.02	34.26	29.27	81.71	33.3	206.94	30.78	3.56	4.5	31.22	29.7	20.86	21.63	55.1	3.69	16.39	7.46	191.67	229.72	209.84	223.41	830.75	109.66	33.3	27.05	39.5	38.12	14.45	4.9
PARVG	1008.9	764.36	507.46	356.05	3081.75	764.36	31.22	575.03	490.14	679.29	500.46	1437.15	583.07	71.5	48.18	195.72	163.28	135.24	178.77	629.35	37.59	193.01	9.2	848.22	698.41	1437.15	2193.99	2645.74	223.41	55.1	123.5	132.44	88.88	35.0	22.1
PDCD1	381.68	176.29	197.09	62.56	587.13	212.78	22.75	65.26	70.51	269.6	54.72	332.14	167.9	5.19	3.56	28.24	19.68	10.88	13.12	90.77	7.75	21.63	0.0	232.94	231.32	693.58	316.37	366.09	2.86	19.68	102.97	28.65	16.03	3.53	18.29
PIK3CG	37.59	57.89	45.85	36.27	183.82	137.14	3.2	19.11	21.47	39.5	25.72	135.24	10.55	5.19	4.06	16.15	18.43	5.36	13.42	22.75	1.1	14.56	1.93	183.82	186.4	187.71	82.29	1127.35	23.42	1.04	6.41	31.9	22.1	4.9	2.43
PLA2G7	780.44	511.0	438.59	435.55	540.19	753.83	38.67	205.5	208.38	423.61	193.01	1477.58	226.54	31.45	24.11	32.82	17.13	12.55	43.63	246.28	2.2	5.87	5.02	1359.57	1015.93	172.65	460.44	540.19	132.44	7.34	16.03	77.25	44.89	10.08	21.32
PLCB2	612.11	529.06	426.57	417.77	1508.65	624.99	100.13	334.46	358.54	358.54	376.41	1001.93	463.65	64.34	88.26	226.54	224.97	129.69	190.34	583.07	108.14	193.01	7.0	511.0	339.14	1104.13	1721.16	2255.7	72.01	70.51	75.11	97.36	68.07	47.5	31.0
PLD4	85.22	100.13	53.57	57.08	500.46	223.41	75.64	165.57	98.04	86.43	95.34	68.07	35.5	7.17	5.68	16.39	19.25	26.47	17.51	56.28	1.58	49.91	3.59	163.28	255.0	327.56	260.38	336.79	10.71	30.12	13.12	40.07	87.65	52.45	2.94
PLEK	988.12	1119.56	808.0	785.88	3280.18	1819.35	28.24	226.54	536.45	599.49	521.76	1096.5	429.54	43.02	23.42	90.77	77.79	64.8	173.85	493.56	23.76	117.6	8.78	1781.89	1721.16	1721.16	1369.04	1757.34	1191.69	98.04	105.15	133.36	301.33	108.14	128.79
PREX1	429.54	500.46	348.71	214.27	1225.22	693.58	60.82	223.41	204.07	389.72	178.77	854.13	218.79	64.34	62.56	127.0	82.87	58.71	111.99	163.28	40.36	112.77	26.86	713.11	775.05	878.17	915.51	660.68	197.09	52.08	139.07	183.82	59.13	54.33	49.56
PSTPIP1	1066.48	563.18	291.04	334.46	1331.57	669.92	92.05	277.2	255.0	629.35	127.89	860.08	563.18	49.91	22.59	141.02	178.77	93.35	90.14	348.71	80.01	93.35	64.34	703.28	329.84	808.0	1111.82	769.69	221.86	48.18	111.99	64.8	64.8	18.16	27.44
PTPN6	3190.46	2417.67	2004.85	2417.67	7911.95	3639.7	1529.73	1896.65	2018.8	2468.49	1350.18	2555.58	2178.83	642.59	575.03	493.56	525.39	435.55	995.0	1963.57	281.09	656.11	753.83	2645.74	2997.45	2701.35	3716.2	3690.52	1037.29	599.49	486.75	802.41	902.89	503.95	486.75
PTPN7	599.49	591.22	486.75	295.11	1437.15	796.86	125.24	177.53	181.28	525.39	183.82	607.87	267.73	24.28	23.25	72.01	66.18	48.52	71.5	228.13	156.59	86.43	3.38	825.0	718.08	1023.0	896.64	995.0	36.79	20.41	79.45	33.54	128.79	21.16	7.88
PTPRC	802.41	1119.56	802.41	624.99	6561.36	2148.82	118.43	536.45	373.81	819.3	518.15	2720.15	279.14	40.64	37.05	151.22	158.79	84.04	108.9	368.65	36.53	187.71	11.3	3124.78	1844.76	2591.27	1936.53	2573.36	318.57	115.16	432.53	99.43	191.67	24.63	46.84
PTPRCAP	2855.44	1359.57	591.22	351.14	5329.3	3060.45	124.37	633.73	607.87	2976.74	293.07	2163.77	1119.56	108.14	64.8	183.82	157.68	114.36	156.59	429.54	80.57	346.29	6.84	1651.0	2224.63	1950.0	2915.45	3874.05	21.01	57.49	123.5	97.36	346.29	48.52	45.21
RAB33A	109.66	76.71	44.25	28.04	223.41	99.43	6.21	46.18	23.93	143.01	17.25	112.77	24.28	5.02	1.06	10.39	10.88	3.96	9.41	41.52	6.78	13.83	7.69	102.97	87.65	82.29	115.16	42.71	33.78	1.39	14.35	3.96	6.46	7.69	8.71
RAB37	96.68	138.1	47.5	29.91	753.83	199.85	21.47	117.6	48.52	152.28	29.91	267.73	118.43	19.25	55.89	34.75	20.26	16.75	36.01	29.7	25.35	41.22	17.38	246.28	177.53	387.02	273.37	518.15	19.53	28.65	23.76	42.71	44.57	24.63	8.85
RASAL3	575.03	432.53	242.88	182.55	1519.15	547.75	80.57	198.47	163.28	480.04	124.37	713.11	361.04	37.85	41.22	108.9	107.38	64.34	115.16	285.03	30.56	155.5	7.46	591.22	457.25	669.92	1135.2	884.29	17.9	58.71	180.02	53.57	171.45	11.47	16.39
RCSD1	299.25	438.59	559.28	341.51	2004.85	583.07	24.63	157.68	150.17	223.41	120.94	688.78	107.38	31.67	15.56	92.05	50.63	34.02	53.19	120.1	49.21	111.99	30.34	579.04	579.04	708.18	591.22	1216.75	260.38	42.71	42.11	113.56	69.03	38.67	39.79
RHOH	521.76	603.67	176.29	169.07	2645.74	1030.12	73.54	178.77	128.79	521.76	88.26	775.05	154.42	15.91	22.75	62.56	48.87	21.47	48.18	162.14	14.56	92.05	5.77	890.44	638.15	866.07	688.78	1250.98	75.11	7.28	90.14	34.75	20.71	14.03	6.36
SARDH	105.15	77.79	29.91	23.25	130.6	91.41	12.36	23.76	13.62	83.45	16.03	140.04	32.82	1.03	0.56	3.72	3.23	2.71	5.5	27.25	1.89	4.06	15.0	113.56	76.17	122.64	150.17	125.24	5.5	1.43	10.16	6.31	7.46	4.06	1.3
SASH3	947.83	785.88	679.29	400.71	3039.3	1199.98	75.64	293.07	341.51	854.13	258.57	1030.12	332.14	49.91	31.0	140.04	124.37	81.71	135.24	320.8	32.13	232.94	6.36	1259.69	1331.57	1477.58	1498.22	3928.15	435.55	34.26	162.14	121.79	217.27	56.68	39.22
SCML4	78.34	71.5	45.21	17.64	409.15	140.04	21.32	28.86	20.71	84.63	10.31	392.44	43.94	1.95	7.06	12.83	16.51	4.82	3.89	23.08	2.78	15.68	0.91	169.07	76.17	72.01	161.02	110.43	1.28	1.68	39.22	13.62	5.15	5.77	0.0
SELPLG	1991.0	1151.06	753.83	429.54	2209.26	1199.98	133.36	629.35	297.17	743.43	239.52	1628.26	379.04	49.21	47.84	151.22	106.63	75.64	152.28	327.56	33.3	115.16	90.14	1119.56	1143.1	1143.1	1313.23	4836.35	435.55	69.03	297.17	211.31	156.59	89.51	112.77
SH2D1A	209.84	217.27	88.26	54.33	1119.56	351.14	12.45	78.34	39.5	158.79	27.44	473.41	88.88	5.02	4.21	23.93	26.67	8.38	9.13	149.12	2.1	22.92	0.4	351.14	249.73	543.96	241.19	193.01	6.11	5.63	27.64	5.45	35.76	6.73	3.29
SIGLEC14	118.43	172.65	104.42	151.22	358.54	201.25	5.63	48.87	80.57	100.83	130.6	271.48	38.67	8.0	0.0	31.45	17.25	6.41	32.82	37.85	2.05	48.52	0.0	297.17	239.52	187.71	273.37	473.41	78.89	3.53	7.69	16.03	12.09	14.03	13.42
SIGLEC8	21.63	36.53	17.0	17.13	56.28	19.25	8.92	12.83	11.64	98.73	55.49	343.89	18.43	3.89	1.85	8.78	9.06	5.82	6.94	23.76	1.85	6.57	0.55	132.44	153.34	197.09	84.04	80.01	6.94	0.34	1.71	7.11	0.0	0.3	0.99
SIRPG	563.18	384.34	195.72	110.43	1313.23	429.54	69.52	46.84	84.04	497.0	58.3	878.17	208.38	4.7	4.17	27.44	30.34	16.03	15.11	131.51	2.71	44.25	1.1	665.29	514.56	785.88	480.04	353.59	2.76	26.28	84.63	55.89	61.25	22.59	8.25
SIT1	579.04	323.03	217.27	106.63	1628.26	511.0	182.55	110.43	101.54	417.77	52.08	432.53	60.82	4.98	5.54	28.24	22.1	11.21	10.79	100.13	4.21	57.08	0.0	476.71	420.68	941.27	651.58	813.63	44.57	6.78	145.02	16.39	193.01	5.5	3.5
SLAMF7	1572.76	1467.37	486.75	791.35	1397.83	1870.53	791.35	289.02	283.05	1015.93	371.22	2701.35	466.88	18.03	23.42	46.84	62.12	104.42	59.55	206.94	14.03	96.68	126.12	2520.38	2591.27	1909.85	1088.92	3419.52	146.03	26.28	52.08	135.24	660.68	106.63	38.12
SMCO4	1923.14	1896.65	941.27	1923.14	860.08	1322.37	1662.49	1685.71	1208.34	1977.24	961.07	2400.97	791.35	204.07	373.81	325.29	232.94	277.2	397.93	356.05	80.57	301.33	249.73	1662.49	1359.57	2664.15	2627.46	3467.27	417.77	187.71	353.59	389.72	234.57	511.0	112.77
SNX20	426.57	511.0	348.71	251.48	961.07	785.88	37.05	176.29	132.44	303.44	152.28	395.18	159.9	17.64	10.08	46.18	49.21	43.32	51.35	126.12	13.62	55.1	11.04	571.05	521.76	759.08	563.18	1350.18	155.5	42.71	71.5	56.28	114.36	16.39	15.0
SPN	409.15	387.02	205.5	187.71	928.3	728.11	74.06	144.01	141.02	287.01	98.73	507.46	217.27	12.93	9.63	57.89	73.03	38.67	47.84	161.02	9.34	70.01	7.28	595.34	738.29	981.29	603.67	2627.46	67.12	72.01	137.14	152.28	275.28	31.22	9.85
SPOCK2	1286.18	1001.93	493.56	384.34	2701.35	1277.29	38.67	279.14	273.37	764.36	224.97	1111.82	139.07	35.0	88.88	97.36	85.82	56.28	74.06	208.38	43.32	118.43	7.4	1467.37	1233.75	1477.58	1477.58	4152.18	9.78	71.5	493.56	86.43	89.51	36.27	35.25
SSTR3	14.24	12.0	9.85	3.2	48.52	26.86	0.0	3.06	2.84	15.11	1.23	15.22	7.22	0.0	0.05	0.3	0.06	0.09	0.26	0.88	0.0	0.83	0.0	39.79	23.76	11.3	16.88	4.24	0.0	0.0	1.03	0.0	2.23	0.27	0.0
SUCNR1	82.29	44.57	37.85	57.49	41.81	150.17	1.22	30.56	17.0	32.82	24.99	66.18	19.68	1.99	2.29	3.38	6.78	3.89	5.19	24.28	0.6	2.43	3.56	75.64	82.29	91.41	53.57	154.42	41.22	24.11	5.87	9.85	14.03	2.41	4.21
SUSD3	954.43	406.31	223.41	138.1	1709.26	587.13	12.18	205.5	102.25	547.75	124.37	438.59	129.69	20.56	13.03	65.26	115.16	40.64	30.34	137.14	24.11	97.36	22.75	412.0	387.02	454.09	514.56	473.41	42.41	25.72	107.38	58.71	73.54	11.21	14.78
TAGAP	255.0	198.47	183.82	92.7	1104.13	392.44	28.24	87.03	56.68	148.09	62.56	521.76	214.27	9.78	15.0	38.95	32.36	15.0	48.52	58.3	5.32	43.63	4.9	366.09	305.55	329.84	312.0	830.75	58.3	21.94	68.55	52.08	84.63	17.13	3.17
TBC1D10C	1119.56	518.15	293.07	197.09	3190.46	808.0	180.02	256.78	255.0	961.07	144.01	928.3	426.57	35.76	28.45	94.67	90.14	60.39	69.03	224.97	38.67	152.28	8.58	836.53	638.15	842.36	1498.22	1721.16	24.11	13.42	113.56	52.08	190.34	12.74	14.14
TIGIT	420.68	503.95	255.0	132.44	1819.35	612.11	40.07	104.42	86.43	379.04	84.04	693.58	159.9	2.53	2.2	17.64	13.93	7.82	11.73	145.02	2.76	24.99	0.41	599.49	486.75	529.06	361.04	223.41	1.89	29.48	78.34	23.08	54.72	23.25	6.21
TLR8	87.65	60.39	50.98	115.16	38.4	119.26	0.01	27.84	29.06	84.63	23.42	305.55	33.54	3.69	2.14	15.8	8.45	10.55	14.89	43.02	1.75	3.38	0.41	166.73	171.45	191.67	132.44	316.37	70.51	3.29	5.96	12.18	3.17	4.39	8.65
TMEM176B	13776.25	6250.56	2997.45	3039.3	4639.29	13123.73	830.75	2485.67	791.35	4328.55	1896.65	5751.61	2555.58	500.46	2915.45	2193.99	703.28	759.08	1225.22	2997.45	884.29	624.99	68.55	3690.52	7180.15	16045.82	5954.47	14262.1	1175.27	947.83	2434.5	759.08	269.6	371.22	603.67
TNFRSF4	660.68	237.86	165.57	109.66	738.29	314.17	21.78	281.09	129.69	379.04	79.45	180.02	126.12	42.71	26.86	71.0	42.71	38.67	105.89	211.31	12.74	43.63	16.03	281.09	361.04	187.71	642.59	190.34	16.39	13.62	21.94	13.52	18.43	22.1	6.26
TNFRSF9	88.88	130.6	54.33	69.52	199.85	159.9	0.0	28.45	28.45	85.82	37.32	130.6	41.81	3.14	0.82	4.21	6.84	2.32	8.78	34.75	0.48	2.56	0.3	241.19	145.02	493.56	105.89	24.28	28.45	12.36	78.34	10.31	12.0	0.0	0.0
TNFSF13	1685.71	995.0	1331.57	1088.92	928.3	1277.29	336.79	780.44	728.11	647.07	825.0	1417.35	521.76	140.04	217.27	295.11	165.57	181.28	246.28	258.57	173.85	139.07	229.72	1037.29	1059.11	1819.35	1781.89	5076.84	264.03	49.21	119.26	285.03	146.03	182.55	90.14
TNFSF8	102.25	84.04	81.14	46.84	529.06	134.3	15.22	57.49	32.36	37.59	29.48	287.01	15.22	4.86	0.55	19.82	5.54	1.53	5.28	23.76	5.19	12.45	2.34	142.01	116.78	202.66	140.04	105.15	87.65	1.73	8.25	22.26	10.96	8.71	5.32
TRAT1	130.6	119.26	51.71	25.17	808.0	246.28	3.76	53.19	35.5	111.21	16.39	406.31	36.53	0.26	0.84	6.78	11.47	3.76	2.58	23.08	0.0	6.16	0.0	224.97	149.12	366.09	157.68	108.9	5.82	61.25	36.79	1.01	10.31	3.86	0.64
TRPV2	1457.23	808.0	780.44	454.09	915.51	896.64	63.89	460.44	426.57	830.75	412.0	1199.98	612.11	71.5	82.29	204.07	120.1	94.67	215.77	480.04	167.9	108.9	87.03	660.68	1015.93	723.08	1066.48	2271.4	323.03	150.17	151.22	120.1	131.51	82.29	100.13
UBASH3A	129.69	97.36	51.71	32.59	409.15	130.6	39.5	32.13	40.64	162.14	16.03	193.01	55.89	2.14	2.61	11.82	15.22	7.28	9.93	30.56	0.59	13.83	0.78	183.82	104.42	291.04	228.13	242.88	1.17	10.55	25.54	10.39	26.67	3.92	9.85
WDFY4	293.07	279.14	135.24	144.01	1378.57	387.02	2.78	229.72	119.26	170.25	96.68	387.02	76.17	14.78	11.21	49.91	25.54	24.63	35.0	73.03	16.39	93.35	3.53	497.0	529.06	409.15	595.34	1781.89	55.89	49.91	17.0	69.52	45.21	5.23	52.08
