	GTEX.12WSI.0826.SM.5EGKD	GTEX.13D11.0326.SM.5LZXX	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.144GN.0426.SM.5O9AP	GTEX.12584.1426.SM.5EGJ9	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.RTLS.0926.SM.2TF5X	GTEX.S7SF.0426.SM.3K2B7	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.XOT4.1426.SM.4B65T	GTEX.WYVS.0526.SM.3NM9W
SCGB1A1	3336720.86	485798.0	2581895.97	66449.85	554180.87	65535.0	3178687.03	2343119.96	2068278.89	1739208.14	834179.46	3156730.23	845824.19	307450.64	32092.64	2691538.19	3178687.03	1556634.79	3091765.64	3968052.37	1155430.26	3134925.09	244588.0	2392353.91	998912.34	2825352.59	1246973.04	2691538.19	998912.34	17437.64	3070409.25	811368.76	938500.81	2682.69	419990.32
SF3A3	733.19	1572.76	791.35	1417.35	1757.34	412.0	974.5	591.22	1498.22	974.5	1143.1	1081.39	802.41	633.73	332.14	525.39	830.75	928.3	1111.82	896.64	1651.0	647.07	587.13	567.1	1397.83	713.11	559.28	896.64	624.99	1572.76	1268.46	1709.26	1857.6	376.41	1583.71
SF3B3	1340.84	1870.53	1051.79	3443.31	2240.11	1295.13	1697.45	3060.45	2915.45	2485.67	3491.39	1950.0	1250.98	1268.46	1977.24	1832.01	1733.13	1936.53	2915.45	1378.57	2895.31	1883.54	1447.15	642.59	2997.45	1417.35	1709.26	2148.82	2018.8	4038.61	1417.35	3325.99	3589.58	1437.15	3716.2
SLC35C1	363.56	819.3	141.02	665.29	813.63	100.13	150.17	406.31	521.76	234.57	713.11	473.41	190.34	112.77	142.01	145.02	348.71	358.54	529.06	297.17	967.76	301.33	108.9	164.42	603.67	327.56	132.44	356.05	253.23	802.41	379.04	860.08	780.44	104.42	665.29
SNRPB2	688.78	1388.16	665.29	1639.59	1081.39	595.34	444.72	921.88	1199.98	775.05	961.07	748.61	521.76	376.41	368.65	473.41	884.29	890.44	1167.14	819.3	1417.35	764.36	420.68	651.58	1304.15	802.41	500.46	1037.29	607.87	1457.23	860.08	1417.35	1233.75	432.53	1551.09
SNRPE	1991.0	3982.99	1331.57	6699.25	3235.01	1583.71	1781.89	1709.26	2434.5	2090.03	2451.44	1662.49	1167.14	684.02	1175.27	1407.55	2367.9	1923.14	3039.3	2193.99	3419.52	3303.0	941.27	2178.83	4869.99	1340.84	1540.37	2240.11	1183.45	6607.01	1950.0	6294.04	4937.99	780.44	6561.36
SRP68	1378.57	1467.37	1175.27	1709.26	1617.0	981.29	1015.93	1733.13	3124.78	1529.73	1870.53	1250.98	1369.04	1008.9	785.88	1081.39	1242.34	1594.73	1709.26	1331.57	3124.78	1447.15	743.43	1111.82	1594.73	1268.46	764.36	1883.54	1119.56	1769.57	1051.79	1617.0	1819.35	698.41	1551.09
SSB	1407.55	2855.44	1745.2	3901.01	2875.3	1199.98	1313.23	1551.09	1674.06	1295.13	3060.45	1583.71	775.05	954.43	1096.5	1427.22	1437.15	2163.77	2163.77	2573.36	2664.15	2163.77	796.86	1697.45	2777.33	2335.28	1529.73	2502.97	1519.15	2895.31	1991.0	3349.13	3190.46	974.5	3212.66
SSBP1	2591.27	4736.79	1819.35	5831.91	4181.07	1447.15	1572.76	2047.0	3589.58	1883.54	2319.15	2287.2	1806.78	878.17	1208.34	1757.34	2739.08	2555.58	3325.99	2520.38	4419.52	2163.77	1059.11	1733.13	3794.3	2664.15	1662.49	2855.44	1794.29	5913.33	2720.15	6037.61	4704.07	1322.37	5076.84
SSR2	6516.03	15180.22	4575.41	14065.74	10440.2	6037.61	7130.55	6381.92	17558.94	9740.98	8479.89	6699.25	8901.53	3820.7	5403.7	4972.34	4512.4	6250.56	7911.95	5517.27	13033.07	7180.15	4836.35	5872.48	9808.75	5183.54	4607.24	6887.62	6699.25	20881.4	5711.87	13306.94	12502.12	3847.29	13215.02
STOML2	1322.37	3257.52	693.58	3564.78	3103.19	579.04	1051.79	1870.53	3515.68	1923.14	2502.97	1583.71	1295.13	363.56	450.94	902.89	1685.71	2004.85	2319.15	2047.0	2976.74	1225.22	403.5	1127.35	3280.18	1417.35	733.19	2104.58	1143.1	3665.02	1628.26	4388.98	4512.4	470.14	3018.3
TIMM13	915.51	1769.57	599.49	2627.46	2090.03	486.75	1340.84	1651.0	1733.13	1073.91	1936.53	1051.79	723.08	587.13	878.17	629.35	1477.58	1167.14	1378.57	1268.46	1551.09	1977.24	693.58	629.35	2271.4	698.41	688.78	1359.57	743.43	4239.45	915.51	3190.46	2758.13	872.1	2555.58
TIMM50	703.28	1963.57	616.37	2451.44	1551.09	733.19	791.35	1096.5	1781.89	1331.57	1268.46	813.63	665.29	595.34	540.19	575.03	1096.5	1467.37	1295.13	1023.0	2816.11	947.83	503.95	785.88	1844.76	860.08	567.1	1015.93	642.59	2555.58	909.17	2319.15	2104.58	603.67	1639.59
TMA16	229.72	420.68	217.27	579.04	395.18	202.66	161.02	281.09	316.37	395.18	325.29	358.54	211.31	108.9	150.17	206.94	242.88	358.54	341.51	242.88	540.19	239.52	185.11	197.09	426.57	249.73	149.12	265.87	244.57	454.09	341.51	493.56	420.68	148.09	441.64
TMEM147	1781.89	4575.41	1037.29	4095.0	4298.64	1199.98	1628.26	2451.44	3515.68	2032.85	3190.46	1583.71	1936.53	1111.82	1127.35	1304.15	2271.4	3212.66	2555.58	1936.53	2119.22	1447.15	1183.45	1073.91	3039.3	1745.2	1191.69	2468.49	1508.65	6079.61	1794.29	4836.35	5112.16	1081.39	2758.13
TRUB2	376.41	591.22	155.5	547.75	624.99	98.73	236.21	406.31	470.14	412.0	420.68	444.72	256.78	100.83	155.5	224.97	403.5	397.93	429.54	507.46	642.59	366.09	132.44	206.94	616.37	314.17	163.28	426.57	271.48	718.08	392.44	693.58	599.49	154.42	493.56
TSFM	688.78	842.36	343.89	915.51	967.76	215.77	314.17	703.28	693.58	438.59	780.44	616.37	392.44	180.02	307.69	305.55	536.45	647.07	728.11	595.34	748.61	450.94	199.85	329.84	878.17	571.05	211.31	620.67	395.18	1143.1	583.07	1151.06	915.51	232.94	1143.1
TSR1	215.77	540.19	420.68	743.43	429.54	241.19	144.01	193.01	587.13	334.46	387.02	295.11	175.07	144.01	156.59	198.47	223.41	323.03	373.81	320.8	995.0	211.31	167.9	155.5	708.18	289.02	223.41	265.87	229.72	435.55	241.19	693.58	555.41	157.68	460.44
TTC4	318.57	432.53	244.57	660.68	400.71	211.31	224.97	423.61	387.02	366.09	460.44	371.22	215.77	151.22	214.27	217.27	429.54	483.38	500.46	381.68	603.67	473.41	190.34	170.25	624.99	307.69	239.52	417.77	384.34	587.13	264.03	525.39	493.56	220.32	432.53
TUFM	3419.52	4639.29	2047.0	4639.29	4736.79	1519.15	3564.78	5219.6	4152.18	2739.08	3212.66	3665.02	2758.13	1594.73	1487.87	1721.16	4639.29	3212.66	4010.71	5112.16	4328.55	2956.17	1378.57	2178.83	4671.57	2855.44	1617.0	6652.97	2240.11	7180.15	3467.27	6037.61	4769.75	1594.73	4239.45
TXNDC17	2664.15	5831.91	1119.56	6337.83	5913.33	909.17	1277.29	2178.83	3419.52	1991.0	2915.45	1286.18	981.29	633.73	802.41	902.89	2816.11	2739.08	2777.33	1923.14	3257.52	1508.65	567.1	1167.14	4736.79	3039.3	1191.69	1733.13	1159.07	12244.81	2303.12	7081.29	5831.91	928.3	12076.21
UBE2L3	2209.26	2777.33	1066.48	3564.78	3168.41	733.19	713.11	1757.34	2777.33	1030.12	2664.15	1268.46	842.36	947.83	884.29	647.07	1199.98	1651.0	2255.7	1540.37	2468.49	1051.79	802.41	1508.65	2835.7	1883.54	1015.93	1963.57	1001.93	5255.91	1870.53	3794.3	2417.67	988.12	4010.71
UCHL5	329.84	684.02	289.02	688.78	603.67	267.73	264.03	420.68	575.03	426.57	432.53	387.02	323.03	163.28	231.32	307.69	289.02	414.87	457.25	281.09	633.73	376.41	395.18	299.25	543.96	379.04	251.48	256.78	346.29	567.1	435.55	679.29	642.59	229.72	567.1
UFSP1	20.26	76.17	10.0	70.51	76.17	4.94	9.78	52.08	22.43	42.41	53.19	38.95	14.67	12.83	9.85	16.27	51.35	29.48	47.17	55.49	80.01	24.99	11.47	32.82	65.72	12.93	8.45	41.52	21.78	65.72	34.51	58.3	78.89	14.24	46.84
UTP14A	156.59	395.18	148.09	547.75	318.57	201.25	121.79	239.52	327.56	244.57	279.14	267.73	232.94	115.97	148.09	137.14	258.57	279.14	295.11	251.48	656.11	194.36	84.04	181.28	450.94	170.25	105.15	281.09	253.23	334.46	182.55	423.61	395.18	111.99	325.29
WDR12	236.21	713.11	299.25	967.76	703.28	175.07	242.88	289.02	624.99	426.57	438.59	336.79	199.85	87.65	138.1	218.79	426.57	525.39	414.87	316.37	878.17	316.37	137.14	202.66	669.92	332.14	147.06	381.68	215.77	785.88	301.33	802.41	785.88	148.09	738.29
WDR5	241.19	599.49	258.57	728.11	674.59	220.32	314.17	420.68	480.04	457.25	624.99	536.45	202.66	387.02	195.72	241.19	493.56	420.68	412.0	665.29	674.59	384.34	239.52	144.01	723.08	176.29	205.5	392.44	249.73	638.15	376.41	688.78	748.61	234.57	571.05
YRDC	356.05	507.46	273.37	679.29	395.18	241.19	137.14	334.46	708.18	260.38	325.29	314.17	187.71	215.77	153.34	158.79	275.28	466.88	429.54	351.14	974.5	275.28	269.6	214.27	483.38	414.87	173.85	400.71	176.29	529.06	212.78	638.15	507.46	201.25	551.56
ZNF480	166.73	348.71	106.63	450.94	212.78	97.36	109.66	202.66	111.99	187.71	190.34	289.02	86.43	127.89	62.56	191.67	262.2	193.01	371.22	116.78	206.94	158.79	61.25	90.77	137.14	99.43	100.83	153.34	76.71	289.02	86.43	271.48	325.29	78.89	155.5
