	TCGA.B0.5709.01A.11R.1541.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	GTEX.ZAB4.0626.SM.5CVN3	GTEX.N7MT.0126.SM.2D7VT	GTEX.ZAB5.0626.SM.5PNVB	GTEX.Q734.0626.SM.2I3EF
MS4A6A	6699.25	11827.67	6037.61	151.22	368.65	351.14	269.6	325.29	303.44	5076.84	2061.24	94.01	66.65	78.89	104.42	53.95	182.55	273.37	166.73	395.18	289.02	620.67	66.18	651.58	1088.92	251.48	150.17	674.59	397.93	191.67	559.28	289.02	395.18	86.43	147.06	14461.21	3081.75	353.59	2875.3	1487.87	1135.2	5555.65	934.76	624.99	6745.86	1781.89	1388.16	1286.18	3124.78	2119.22	5219.6	1457.23	5995.9	1081.39	4268.94	2835.7	2351.53	5147.73	669.92	341.51	2485.67	10808.41	6792.79	5329.3	14663.09
MXRA5	189.02	169.07	316.37	7.51	6.84	4.98	3.17	5.32	2.56	40.64	43.94	1.33	1.1	7.88	2.29	1.07	12.93	6.21	2.68	6.89	0.75	15.91	0.74	19.97	32.59	2.29	2.78	38.4	4.86	3.5	33.54	9.56	8.25	2.03	9.2	463.65	157.68	10.71	339.14	45.85	161.02	39.79	65.26	20.41	130.6	122.64	18.97	58.71	141.02	86.43	102.97	104.42	189.02	64.34	180.02	43.94	35.5	67.12	18.03	3.92	35.76	287.01	265.87	105.15	251.48
MYO10	325.29	253.23	214.27	18.84	26.28	11.21	12.83	22.43	8.45	575.03	108.9	11.04	10.55	17.25	14.35	6.67	16.75	36.79	14.14	16.27	5.23	38.4	7.06	41.52	46.5	4.46	14.03	69.03	19.25	8.65	35.0	17.25	24.46	10.88	14.14	947.83	153.34	37.85	503.95	53.57	176.29	194.36	113.56	55.89	221.86	121.79	115.16	36.53	182.55	143.01	133.36	228.13	466.88	63.0	218.79	116.78	132.44	223.41	24.81	6.89	125.24	197.09	1551.09	703.28	890.44
MYO1F	775.05	915.51	1208.34	47.17	82.87	100.13	66.65	131.51	63.45	642.59	215.77	25.17	44.25	42.71	37.05	20.26	48.52	72.01	17.64	59.97	49.21	165.57	27.44	113.56	170.25	40.93	42.11	121.79	132.44	65.72	117.6	81.14	63.45	46.18	65.26	647.07	191.67	187.71	234.57	125.24	384.34	297.17	232.94	92.05	277.2	158.79	220.32	226.54	395.18	113.56	204.07	379.04	217.27	198.47	518.15	248.0	209.84	111.21	121.79	89.51	111.21	713.11	1745.2	1369.04	2935.74
NCKAP1L	947.83	1277.29	1081.39	21.16	27.44	43.02	27.05	31.45	22.26	426.57	147.06	6.26	10.47	6.36	17.64	5.68	16.39	34.26	10.55	26.47	21.94	57.89	6.67	55.89	57.49	19.11	14.03	74.58	49.21	29.7	58.3	25.91	29.06	7.11	19.82	656.11	191.67	42.71	102.25	22.92	102.25	208.38	48.18	49.91	256.78	64.34	37.85	119.26	229.72	47.17	246.28	88.88	346.29	112.77	202.66	146.03	124.37	50.63	51.35	62.56	74.58	1594.73	915.51	1369.04	2119.22
NCKAP5	53.95	23.25	33.3	23.42	1.64	8.65	1.62	40.64	20.26	82.29	35.5	5.19	24.99	1.6	9.63	3.53	1.79	8.85	1.73	4.9	0.84	35.25	2.53	10.88	14.03	4.66	4.66	4.82	6.36	11.82	15.22	33.06	3.96	7.51	22.1	37.59	52.82	15.91	161.02	19.68	38.4	55.49	31.0	17.38	84.63	23.42	16.27	38.4	80.57	22.43	56.68	112.77	95.34	18.56	24.46	113.56	15.91	112.77	57.89	18.7	29.7	118.43	217.27	277.2	249.73
PALM2-AKAP2	208.38	139.07	55.89	2.61	4.5	0.56	9.78	2.56	1.45	41.81	49.21	31.0	16.63	2.32	52.08	3.89	0.0	19.53	1.2	13.93	0.0	8.32	6.67	29.7	21.32	0.0	14.67	147.06	4.17	11.21	55.89	6.01	7.75	15.8	6.01	88.88	49.91	4.13	25.17	18.03	22.59	376.41	28.45	54.72	376.41	30.34	53.19	47.84	50.63	35.25	264.03	21.78	155.5	54.33	253.23	6.89	47.17	10.24	53.57	14.03	728.11	109.66	346.29	115.16	72.01
PDCD1LG2	159.9	305.55	141.02	5.92	5.5	7.34	8.92	1.46	13.42	71.5	41.52	1.79	2.32	0.25	7.0	1.41	3.06	16.03	0.61	4.94	2.86	13.62	1.11	13.52	13.32	2.89	2.36	36.79	3.56	2.76	7.46	10.31	3.96	21.47	6.46	131.51	42.41	12.27	51.71	15.8	45.21	52.45	17.0	14.35	74.58	24.28	21.16	16.51	91.41	19.39	75.64	28.45	96.01	41.22	43.94	24.63	27.84	85.82	23.42	4.1	33.3	281.09	190.34	155.5	176.29
PIK3CD	454.09	432.53	514.56	22.75	15.56	28.86	29.91	63.89	23.08	314.17	98.73	21.63	2.14	10.96	7.28	9.27	18.29	26.47	3.76	23.25	14.56	52.82	4.13	31.22	45.85	25.54	6.36	43.32	45.85	21.01	31.67	19.68	24.28	6.26	31.67	463.65	66.65	60.82	130.6	26.1	112.77	182.55	63.0	26.47	195.72	73.03	55.1	81.71	161.02	76.71	115.97	152.28	125.24	90.14	187.71	74.06	55.1	27.25	20.41	25.72	43.02	256.78	543.96	460.44	1183.45
PIK3R5	242.88	595.34	624.99	9.56	15.34	23.42	19.53	19.39	15.8	253.23	64.34	8.32	6.41	6.21	11.13	9.93	15.8	21.78	6.21	17.13	12.74	64.34	9.13	33.54	40.93	9.48	7.82	45.21	29.91	10.0	51.35	19.11	20.56	7.4	12.64	189.02	129.69	36.79	80.57	16.51	57.89	88.88	47.84	25.91	66.18	38.95	104.42	99.43	214.27	36.53	118.43	93.35	71.0	67.59	164.42	57.89	100.13	53.19	44.89	48.52	38.12	514.56	312.0	412.0	693.58
PLEKHA2	1127.35	878.17	607.87	24.28	46.5	56.68	111.21	53.57	37.05	559.28	146.03	30.56	10.55	42.11	71.0	13.93	51.71	60.82	41.22	53.95	13.32	68.07	7.82	101.54	94.01	23.08	11.47	53.95	87.03	64.34	122.64	53.19	39.22	19.25	19.39	223.41	182.55	55.49	371.22	129.69	218.79	162.14	189.02	60.39	157.68	221.86	132.44	134.3	287.01	74.06	131.51	260.38	218.79	98.04	212.78	189.02	126.12	136.19	63.0	167.9	154.42	902.89	1467.37	791.35	921.88
PRICKLE1	178.77	125.24	151.22	8.92	6.16	0.55	1.97	11.3	0.52	172.65	39.22	3.56	1.2	11.21	0.93	2.53	6.78	4.28	2.12	9.93	2.23	11.91	1.53	22.1	19.39	1.89	1.22	41.52	7.11	2.78	8.38	3.76	6.36	3.76	1.08	305.55	29.7	12.64	85.22	32.36	38.4	57.89	79.45	7.11	48.18	70.51	26.67	10.16	39.22	56.68	37.59	75.11	57.08	23.08	145.02	21.94	18.7	66.65	2.53	3.29	17.77	435.55	426.57	819.3	323.03
PRKCB	307.69	329.84	172.65	4.86	5.32	9.2	3.86	5.77	6.78	78.89	39.5	0.61	4.39	1.68	4.06	1.23	2.27	9.7	2.97	2.84	3.66	13.83	1.58	11.55	10.16	5.06	5.45	26.1	15.11	6.36	11.38	5.06	10.16	1.85	10.39	281.09	152.28	40.64	64.34	31.67	25.91	76.17	53.19	16.27	92.7	30.78	9.93	52.08	127.0	33.54	78.89	42.11	80.57	84.04	57.89	90.77	51.71	23.42	20.56	29.27	47.17	275.28	320.8	325.29	1044.52
PRKCH	848.22	1111.82	441.64	78.89	111.21	59.55	50.27	73.54	39.5	273.37	127.0	62.56	45.85	50.27	45.21	20.11	53.19	87.03	57.89	71.5	65.26	85.82	20.11	102.25	96.01	20.11	80.01	237.86	97.36	27.25	96.01	74.58	104.42	36.27	41.52	460.44	301.33	131.51	384.34	150.17	295.11	208.38	115.16	75.11	141.02	332.14	159.9	92.05	384.34	172.65	239.52	244.57	212.78	133.36	152.28	94.67	151.22	172.65	51.35	80.57	101.54	708.18	2609.3	775.05	941.27
PRKG1	145.02	283.05	64.8	4.31	6.31	2.34	4.74	22.59	2.56	239.52	34.02	2.92	0.91	5.82	6.94	3.06	5.68	6.73	5.87	6.78	2.73	7.63	2.34	11.47	13.72	3.23	3.53	21.94	2.01	2.27	21.47	3.63	7.75	1.48	5.96	49.91	33.3	9.56	50.98	8.45	34.51	28.86	40.64	8.65	11.82	49.56	9.56	25.35	24.99	22.26	13.03	49.56	10.39	37.05	32.36	18.84	14.35	27.84	9.48	10.47	16.03	260.38	532.74	215.77	172.65
PTPRC	2104.58	2335.28	866.07	30.56	30.78	75.64	43.02	63.89	31.67	444.72	297.17	17.13	16.39	25.17	35.76	6.36	18.43	53.95	16.88	46.5	24.28	100.13	9.93	99.43	92.05	14.45	22.43	177.53	91.41	59.13	96.01	44.25	54.33	61.68	56.28	1135.2	703.28	128.79	791.35	96.68	273.37	361.04	381.68	156.59	314.17	138.1	146.03	303.44	1350.18	156.59	228.13	612.11	197.09	514.56	334.46	226.54	381.68	141.02	229.72	117.6	87.03	2075.59	1883.54	1594.73	2573.36
RCBTB2	521.76	483.38	387.02	45.21	43.63	44.25	36.01	45.21	43.02	376.41	116.78	66.18	26.28	39.22	100.83	33.3	44.25	32.36	34.51	55.89	22.26	53.57	12.74	71.0	74.06	24.28	43.63	142.01	62.12	28.04	67.59	68.07	58.71	24.28	39.5	323.03	176.29	89.51	162.14	120.94	146.03	193.01	94.01	52.45	177.53	159.9	63.0	159.9	178.77	159.9	241.19	170.25	204.07	81.14	248.0	106.63	82.87	161.02	46.5	39.79	157.68	356.05	395.18	507.46	571.05
RCSD1	769.69	1119.56	651.58	30.34	28.45	31.45	30.56	55.89	21.78	291.04	96.01	18.03	15.45	24.99	21.47	11.47	21.32	41.52	23.08	33.54	15.68	47.84	9.13	63.45	62.12	17.77	14.03	105.15	46.5	21.63	66.18	23.42	34.26	9.13	27.64	567.1	96.01	35.5	182.55	80.01	182.55	136.19	74.06	33.78	166.73	158.79	38.95	70.01	112.77	113.56	137.14	141.02	220.32	75.64	137.14	94.67	113.56	99.43	30.34	35.76	59.55	457.25	2468.49	753.83	1216.75
RGL1	1096.5	738.29	500.46	34.75	46.18	56.68	87.65	57.08	39.5	915.51	173.85	104.42	34.75	15.91	82.29	25.17	24.11	92.05	18.56	70.01	28.86	77.25	13.12	59.55	74.58	11.47	51.35	134.3	35.5	41.81	169.07	67.12	33.06	21.47	29.91	454.09	136.19	46.18	325.29	48.18	90.14	289.02	105.15	53.57	264.03	75.64	117.6	108.14	187.71	103.69	305.55	163.28	432.53	130.6	264.03	130.6	142.01	143.01	26.28	77.25	209.84	1437.15	941.27	1044.52	974.5
SCIMP	373.81	480.04	490.14	8.65	9.48	18.29	7.28	20.86	13.52	165.57	85.22	8.25	3.47	2.39	18.7	2.84	5.77	9.34	7.46	4.35	4.03	21.16	1.95	28.65	46.5	6.94	3.26	31.22	15.56	6.57	17.64	8.19	17.77	5.77	10.0	376.41	114.36	24.11	81.71	31.67	68.07	212.78	20.71	45.85	242.88	64.8	24.81	31.22	68.55	36.01	217.27	53.57	318.57	72.01	105.15	34.75	66.18	48.87	30.12	47.17	81.71	603.67	363.56	1225.22	638.15
SLC8A1	417.77	409.15	173.85	5.23	2.76	5.19	9.7	11.55	2.43	99.43	43.02	4.35	1.0	4.31	5.28	3.47	3.76	7.28	2.2	8.06	2.89	8.0	1.93	13.72	15.34	2.43	5.82	19.39	3.96	2.16	14.35	8.06	8.51	3.76	4.24	199.85	54.33	5.54	104.42	30.12	34.75	67.59	64.8	14.89	80.01	102.97	11.21	32.36	63.89	21.32	47.84	41.52	85.82	15.56	51.71	29.91	50.63	52.08	31.45	6.57	32.13	244.57	483.38	412.0	320.8
SLC9A9	403.5	325.29	293.07	22.75	22.26	11.55	40.64	17.64	10.0	265.87	105.89	8.85	5.96	10.71	8.65	4.58	10.96	13.52	10.47	25.91	8.99	28.24	5.5	30.78	41.52	12.0	9.27	42.71	32.36	7.75	35.76	39.22	19.39	4.66	19.53	412.0	151.22	23.93	92.05	39.5	77.25	165.57	47.5	37.59	242.88	61.25	80.57	42.71	119.26	130.6	242.88	90.14	215.77	78.34	198.47	80.01	84.04	154.42	25.72	16.27	98.73	603.67	1250.98	314.17	521.76
SLFN11	902.89	748.61	429.54	22.75	27.25	20.11	17.38	24.99	14.89	164.42	133.36	26.47	23.25	14.45	35.76	17.9	25.91	43.32	26.28	28.45	22.59	51.35	7.46	57.89	44.25	8.45	13.42	115.97	26.28	10.71	67.59	25.17	35.76	11.13	24.28	237.86	154.42	16.03	171.45	13.83	41.81	141.02	75.64	46.5	52.08	48.18	53.19	73.03	201.25	57.08	71.0	138.1	66.18	68.55	312.0	94.67	127.89	35.0	17.25	78.89	46.5	1936.53	2224.63	3540.14	3212.66
SPRY1	2835.7	3303.0	808.0	232.94	318.57	186.4	128.79	287.01	173.85	718.08	389.72	105.15	202.66	141.02	175.07	161.02	194.36	336.79	287.01	217.27	103.69	220.32	95.34	264.03	248.0	108.9	167.9	412.0	189.02	253.23	551.56	159.9	262.2	95.34	169.07	1051.79	651.58	157.68	1340.84	228.13	796.86	232.94	854.13	242.88	244.57	400.71	373.81	301.33	503.95	607.87	271.48	669.92	209.84	387.02	493.56	660.68	703.28	753.83	260.38	232.94	199.85	4937.99	6792.79	2502.97	2047.0
SYTL2	1519.15	854.13	291.04	115.97	46.18	26.1	39.22	111.21	24.11	555.41	127.89	27.84	31.0	44.25	36.01	53.19	66.65	47.5	35.0	50.27	14.89	112.77	8.06	94.01	90.14	23.42	25.17	120.1	27.05	21.01	94.67	29.91	42.11	23.76	56.28	195.72	108.9	88.88	571.05	62.12	121.79	142.01	231.32	102.25	57.49	303.44	53.57	150.17	348.71	128.79	43.63	221.86	139.07	144.01	111.21	108.9	172.65	171.45	118.43	46.84	57.49	684.02	1216.75	381.68	316.37
TLR3	1313.23	361.04	100.83	52.82	23.08	37.05	64.34	37.05	28.24	51.35	175.07	15.45	7.34	23.42	55.49	30.12	23.59	62.12	8.19	26.47	9.41	60.82	3.44	55.89	26.86	18.56	14.67	164.42	16.39	26.47	36.53	20.56	19.82	82.29	37.85	171.45	173.85	77.25	70.51	78.89	87.65	277.2	162.14	92.05	493.56	97.36	53.95	69.03	96.01	183.82	329.84	291.04	155.5	500.46	220.32	113.56	26.67	92.05	52.45	40.36	287.01	198.47	476.71	928.3	297.17
TRANK1	532.74	371.22	152.28	129.69	84.63	65.72	50.27	185.11	47.84	242.88	329.84	111.21	25.54	46.84	190.34	81.71	40.93	62.56	45.21	68.55	55.89	102.25	35.0	161.02	72.52	20.41	61.68	567.1	119.26	19.82	107.38	75.64	80.57	57.08	128.79	518.15	325.29	177.53	417.77	153.34	236.21	759.08	102.25	154.42	341.51	291.04	107.38	202.66	432.53	384.34	518.15	381.68	486.75	395.18	651.58	241.19	191.67	262.2	154.42	108.9	450.94	579.04	2255.7	866.07	1233.75
TRIM22	3467.27	2271.4	1340.84	110.43	111.99	334.46	110.43	231.32	95.34	1111.82	1467.37	43.94	39.79	67.59	571.05	120.94	208.38	113.56	176.29	88.26	107.38	165.57	166.73	136.19	111.99	34.02	36.27	283.05	108.14	91.41	764.36	79.45	249.73	267.73	665.29	1030.12	1844.76	223.41	1733.13	175.07	397.93	1286.18	967.76	441.64	341.51	575.03	136.19	1721.16	1551.09	379.04	1233.75	1561.89	775.05	5913.33	2075.59	796.86	503.95	2075.59	183.82	376.41	543.96	2004.85	4512.4	5441.3	3168.41
TSHZ3	92.05	144.01	84.63	10.16	4.1	3.08	4.86	11.21	2.01	75.11	26.67	4.7	1.91	4.82	3.38	2.66	8.0	8.92	4.31	8.19	1.48	9.7	1.07	14.78	13.72	3.29	5.92	19.68	4.7	2.94	21.32	6.73	7.06	3.08	7.51	73.03	17.38	10.16	48.52	11.73	18.03	29.7	16.27	14.56	12.93	31.9	4.31	13.12	23.93	19.97	14.35	53.95	26.86	9.63	57.49	12.55	16.27	18.97	4.31	9.27	9.7	175.07	473.41	161.02	176.29
UNC5C	36.79	66.18	8.32	1.85	0.44	0.89	1.89	5.5	0.0	86.43	15.45	2.2	0.0	2.23	0.85	0.77	1.69	2.84	1.64	3.35	0.42	3.41	0.41	7.69	6.67	0.66	1.14	7.88	0.51	1.07	6.01	0.89	2.63	6.26	1.91	30.78	24.81	7.75	37.05	8.32	23.25	17.51	12.45	2.36	8.32	16.51	6.67	6.06	8.25	14.14	7.4	33.78	5.36	15.56	31.0	8.99	11.3	20.71	3.72	1.41	8.99	186.4	137.14	103.69	98.04
VAV1	476.71	540.19	825.0	17.64	28.86	35.5	25.35	55.89	14.24	447.82	105.15	4.86	7.22	11.04	9.85	6.41	15.11	24.28	8.85	27.05	22.75	51.35	8.78	38.67	71.0	19.68	12.64	57.49	39.5	27.25	38.95	21.47	24.63	3.76	24.46	395.18	115.97	15.11	81.14	30.78	63.0	183.82	60.39	29.48	242.88	26.47	51.35	73.54	189.02	46.5	226.54	102.25	231.32	94.67	260.38	56.68	57.49	36.79	26.86	20.86	78.34	299.25	329.84	1127.35	1794.29
ZEB2	1540.37	1295.13	1023.0	42.71	38.67	45.53	52.82	77.79	32.36	1427.22	185.11	26.67	18.97	43.02	27.44	38.4	54.33	62.56	43.63	53.57	28.65	124.37	12.45	119.26	113.56	29.48	31.22	115.16	40.36	37.32	100.83	46.84	34.51	28.45	68.07	743.43	457.25	131.51	529.06	197.09	409.15	297.17	253.23	55.1	194.36	400.71	295.11	170.25	384.34	212.78	156.59	555.41	297.17	285.03	356.05	271.48	258.57	299.25	62.12	68.55	172.65	1437.15	2664.15	2047.0	1745.2
