	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.UPK5.1326.SM.4IHLE	GTEX.T2IS.0926.SM.4DM5B	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	GTEX.WH7G.1526.SM.4LVMX
TBC1D2B	265.87	180.02	483.38	299.25	392.44	476.71	563.18	511.0	441.64	660.68	872.1	866.07	813.63	921.88	902.89	470.14	651.58	665.29	848.22	708.18	0.0	0.61	406.31	353.59	316.37	281.09	204.07	718.08
TCIRG1	890.44	624.99	633.73	616.37	529.06	1477.58	1498.22	1963.57	1167.14	2502.97	3820.7	4239.45	3039.3	4066.71	3146.52	1259.69	2018.8	3419.52	4639.29	3235.01	0.0	1.36	842.36	656.11	423.61	363.56	329.84	890.44
THOC1	414.87	212.78	351.14	325.29	320.8	423.61	466.88	679.29	551.56	679.29	1407.55	1769.57	1044.52	1388.16	1044.52	457.25	780.44	791.35	1088.92	1191.69	0.0	0.85	356.05	325.29	242.88	228.13	236.21	195.72
TICAM2	25.35	39.22	63.45	36.79	56.68	84.63	136.19	45.53	58.71	141.02	107.38	111.21	115.16	108.14	102.25	74.58	107.38	185.11	89.51	150.17	0.0	0.18	105.89	49.91	43.94	39.5	65.26	76.71
TLR5	55.89	58.71	107.38	53.19	52.08	105.89	79.45	220.32	79.45	140.04	86.43	110.43	130.6	165.57	117.6	115.16	234.57	177.53	181.28	133.36	0.0	0.09	78.89	142.01	101.54	55.1	18.7	61.25
TMEM201	147.06	218.79	137.14	85.82	117.6	129.69	172.65	242.88	205.5	191.67	320.8	295.11	258.57	332.14	361.04	180.02	208.38	212.78	224.97	295.11	0.0	0.36	137.14	121.79	106.63	145.02	120.1	101.54
TMEM240	244.57	217.27	204.07	149.12	244.57	447.82	890.44	336.79	1073.91	273.37	299.25	325.29	348.71	267.73	325.29	164.42	264.03	273.37	297.17	387.02	0.0	0.32	299.25	297.17	218.79	123.5	140.04	164.42
TRAF2	202.66	320.8	244.57	115.97	279.14	332.14	307.69	241.19	202.66	327.56	356.05	255.0	320.8	275.28	316.37	267.73	348.71	429.54	356.05	305.55	0.0	0.49	346.29	156.59	267.73	346.29	218.79	191.67
TRIM65	162.14	275.28	256.78	109.66	320.8	305.55	389.72	414.87	277.2	450.94	432.53	529.06	507.46	470.14	543.96	273.37	473.41	450.94	536.45	432.53	0.0	0.56	312.0	249.73	242.88	220.32	236.21	217.27
USP21	463.65	583.07	521.76	218.79	454.09	629.35	769.69	718.08	575.03	961.07	995.0	1001.93	1059.11	1242.34	1183.45	579.04	753.83	1081.39	1233.75	1088.92	0.0	0.8	559.28	551.56	514.56	521.76	500.46	423.61
VPS37D	63.0	40.93	60.82	25.91	53.57	51.35	167.9	37.32	38.12	84.04	135.24	86.43	141.02	77.79	112.77	76.71	117.6	143.01	98.04	169.07	0.0	0.27	110.43	153.34	53.95	61.25	70.51	34.02
VPS8	309.83	208.38	262.2	277.2	320.8	332.14	356.05	555.41	379.04	426.57	674.59	733.19	624.99	688.78	684.02	289.02	599.49	660.68	583.07	559.28	0.0	0.79	384.34	260.38	256.78	293.07	166.73	228.13
ZKSCAN3	38.95	39.79	83.45	27.25	69.03	79.45	115.16	36.27	62.56	133.36	101.54	139.07	140.04	142.01	98.04	113.56	111.21	116.78	124.37	120.1	52.08	77.79	85.82	82.87	91.41	62.12	88.88	44.89
ZNF30	21.78	35.25	47.84	14.56	61.68	59.97	70.51	37.59	41.81	93.35	116.78	120.94	155.5	120.1	104.42	59.55	72.52	162.14	131.51	112.77	0.0	0.21	57.08	28.45	34.02	23.42	38.4	27.64
hsa-mir-1199	23.25	76.71	71.5	15.45	31.0	159.9	58.3	34.75	66.18	177.53	356.05	332.14	283.05	320.8	256.78	265.87	129.69	237.86	423.61	376.41	0.0	0.39	69.03	111.21	82.29	129.69	53.95	85.82
