	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3V4.01A.11R.A22U.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EM.A2P1.01A.11R.A206.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A3BN.01A.11R.A19O.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A4V2.01A.11R.A250.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3GU.01A.11R.A21D.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.E8.A2JQ.01A.11R.A180.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.ET.A3DO.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A13U.01A.11R.A10U.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.H2.A422.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CP.01A.11R.A180.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EL.A3CV.01A.11R.A19O.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WHSE.0626.SM.4RGNF	TCGA.AJ.A3BK.01A.11R.A19W.07
RNASEH2C	353.59	0.57	473.41	1208.34	1350.18	825.0	1151.06	1242.34	1233.75	1250.98	872.1	872.1	872.1	733.19	915.51	1088.92	1561.89	1051.79	1111.82	1051.79	1508.65	1268.46	559.28	1268.46	1378.57	1397.83	825.0	738.29	1487.87	1313.23	909.17	1639.59	1119.56	698.41	854.13	1119.56	1233.75	1388.16	902.89	921.88	733.19	612.11	1259.69	890.44	1295.13	1594.73	764.36	1096.5	1313.23	748.61	1023.0	1023.0	1015.93	532.74	674.59	836.53	507.46	616.37	802.41	723.08	1277.29	473.41	1594.73	1199.98	872.1	1457.23	842.36	1388.16	460.44	1369.04	802.41	981.29	1001.93	738.29	854.13	1008.9	921.88	1519.15	1242.34	703.28	1594.73	647.07	1277.29	813.63	1388.16	974.5	1304.15	1561.89	1487.87	1295.13	1295.13	1073.91	1081.39	808.0	1242.34	1388.16	884.29	1081.39	753.83	947.83	981.29	1135.2	1015.93	878.17	1183.45	884.29	1870.53	1794.29	1628.26	854.13	934.76	1073.91	1135.2	1096.5	738.29	988.12	974.5	915.51	1199.98	1216.75	878.17	642.59	563.18	392.44	1437.15	947.83	860.08	511.0	1331.57	1397.83	1225.22	379.04	1313.23	830.75	1151.06	1286.18	819.3	1081.39	269.6	432.53	529.06	1191.69	848.22	1167.14	1096.5	1572.76	1685.71	1175.27	2075.59	674.59	1001.93	1159.07	860.08	981.29	884.29	819.3	579.04	633.73	961.07	872.1	1159.07	1857.6	802.41	1044.52	1250.98	759.08	995.0	1059.11	1561.89	842.36	909.17	684.02	954.43	947.83	1388.16	825.0	1639.59	890.44	1208.34	1561.89	775.05	1199.98	1674.06	1447.15	860.08	1151.06	693.58	1529.73	1286.18	1191.69	633.73	450.94	2573.36
RUVBL2	624.99	0.35	579.04	1561.89	1662.49	1572.76	1359.57	2591.27	1498.22	1519.15	1662.49	1313.23	1295.13	1628.26	1242.34	1340.84	1617.0	1477.58	1427.22	1583.71	1781.89	1487.87	1159.07	1498.22	1583.71	1883.54	1304.15	1331.57	1923.14	2193.99	1250.98	1781.89	1594.73	1167.14	1447.15	1540.37	1437.15	1594.73	1242.34	1498.22	1369.04	1023.0	1733.13	1331.57	1806.78	1757.34	1447.15	1498.22	1909.85	1167.14	1781.89	1651.0	1457.23	1322.37	1073.91	1250.98	1437.15	1059.11	1769.57	1331.57	1674.06	1051.79	1487.87	1651.0	1277.29	1551.09	1313.23	1806.78	1259.69	1977.24	1457.23	1175.27	1551.09	1662.49	1369.04	1216.75	1295.13	1806.78	1806.78	1594.73	2018.8	1467.37	1437.15	1242.34	1407.55	1572.76	1605.83	1540.37	1909.85	1487.87	1651.0	1304.15	1208.34	1388.16	1498.22	1388.16	2240.11	1407.55	1498.22	1498.22	1662.49	1628.26	1674.06	1498.22	1427.22	1295.13	1583.71	2061.24	1936.53	1519.15	1322.37	1498.22	1551.09	1477.58	1135.2	1721.16	1250.98	1487.87	1594.73	1437.15	1529.73	1259.69	2061.24	967.76	1617.0	1427.22	1508.65	1127.35	1977.24	1594.73	1572.76	791.35	1477.58	1583.71	1519.15	1359.57	1378.57	1447.15	1781.89	1183.45	1191.69	1561.89	1628.26	1477.58	1498.22	1857.6	1709.26	1628.26	1794.29	1175.27	1529.73	1498.22	1286.18	1313.23	1208.34	1437.15	928.3	1250.98	1286.18	1529.73	1819.35	1781.89	1295.13	1781.89	1437.15	1250.98	1540.37	1757.34	1844.76	1605.83	1561.89	1233.75	1331.57	1242.34	1721.16	1183.45	1697.45	1378.57	1745.2	2287.2	1340.84	1427.22	1757.34	1457.23	1277.29	1457.23	1119.56	1529.73	1594.73	1407.55	1001.93	941.27	5112.16
SART1	325.29	0.83	921.88	1295.13	1662.49	1322.37	1388.16	1127.35	1030.12	1008.9	1685.71	1225.22	1191.69	769.69	1037.29	961.07	1340.84	1447.15	1143.1	1605.83	1030.12	1583.71	909.17	1388.16	1457.23	1769.57	1369.04	1059.11	2075.59	1268.46	1191.69	1806.78	1167.14	1081.39	1183.45	1617.0	1467.37	1437.15	1167.14	1286.18	947.83	1628.26	1709.26	928.3	2018.8	1551.09	1378.57	1508.65	1769.57	896.64	1540.37	1594.73	1359.57	1313.23	1059.11	1023.0	854.13	780.44	1674.06	1119.56	1923.14	796.86	1551.09	1594.73	1191.69	1378.57	1104.13	1896.65	947.83	1745.2	967.76	1059.11	884.29	1199.98	1081.39	1127.35	981.29	1477.58	1457.23	1242.34	2061.24	1096.5	947.83	1250.98	1628.26	1709.26	2075.59	941.27	1806.78	1806.78	1457.23	1250.98	1167.14	1331.57	1191.69	1417.35	1628.26	1225.22	1199.98	1350.18	1295.13	1183.45	1457.23	1498.22	1437.15	1044.52	2104.58	2255.7	1950.0	941.27	1199.98	1340.84	1119.56	1350.18	1167.14	1397.83	1073.91	974.5	1242.34	1135.2	1277.29	961.07	1350.18	954.43	1733.13	1167.14	866.07	995.0	1340.84	1286.18	1313.23	1008.9	1369.04	981.29	1199.98	1208.34	872.1	1183.45	961.07	2090.03	1127.35	1447.15	1467.37	1572.76	1529.73	2032.85	1388.16	1023.0	2319.15	995.0	941.27	1883.54	1096.5	1159.07	1551.09	1111.82	1104.13	961.07	1388.16	1135.2	1183.45	1832.01	1268.46	1487.87	934.76	954.43	1044.52	1417.35	1883.54	1096.5	1023.0	974.5	1268.46	872.1	1832.01	1135.2	1991.0	1135.2	1628.26	2004.85	1183.45	1119.56	1572.76	1781.89	813.63	1340.84	1104.13	1175.27	1388.16	1242.34	1023.0	1023.0	2758.13
SCYL1	583.07	1.1	836.53	2271.4	2119.22	2133.97	2240.11	1963.57	1697.45	1757.34	2075.59	2004.85	1709.26	3372.43	1832.01	1909.85	2209.26	2133.97	1936.53	2178.83	1977.24	2133.97	1427.22	1857.6	2627.46	2468.49	1733.13	1769.57	2417.67	1883.54	1977.24	2148.82	2104.58	1487.87	2104.58	1844.76	2240.11	2047.0	1721.16	1909.85	1896.65	2075.59	2400.97	1844.76	2485.67	2400.97	1870.53	2591.27	2271.4	1628.26	1991.0	2119.22	2061.24	1963.57	1487.87	1844.76	2287.2	1242.34	2537.92	1794.29	2303.12	1477.58	2119.22	2032.85	2047.0	2090.03	1721.16	2367.9	1733.13	2485.67	1745.2	1870.53	1605.83	1923.14	1806.78	1857.6	1781.89	2209.26	2351.53	2061.24	2855.44	2119.22	2178.83	1806.78	2664.15	2303.12	2434.5	1883.54	2367.9	2287.2	1923.14	1832.01	1617.0	1844.76	1977.24	1794.29	2400.97	1977.24	2104.58	2224.63	2271.4	2163.77	2240.11	1991.0	2061.24	1685.71	2796.65	2209.26	2287.2	1870.53	1617.0	2047.0	1963.57	1769.57	1963.57	2032.85	1733.13	1963.57	2075.59	1923.14	1991.0	1674.06	2335.28	1697.45	2367.9	1769.57	1909.85	1721.16	2451.44	2075.59	2004.85	1883.54	1963.57	2451.44	2032.85	2004.85	1819.35	1950.0	1304.15	2271.4	2133.97	2351.53	1977.24	2178.83	2047.0	3018.3	2520.38	1923.14	2417.67	2032.85	2119.22	2485.67	1794.29	1923.14	1639.59	1870.53	1551.09	2075.59	1819.35	1769.57	2090.03	2573.36	2090.03	2032.85	1769.57	1617.0	2018.8	2209.26	2682.69	1617.0	1896.65	1794.29	2303.12	1745.2	2367.9	1721.16	2573.36	2090.03	2319.15	2573.36	1781.89	2004.85	2271.4	1819.35	1896.65	1923.14	1457.23	2209.26	1605.83	2075.59	1407.55	2255.7	3395.89
SDHAF1	150.17	395.18	181.28	660.68	435.55	409.15	532.74	540.19	454.09	403.5	543.96	366.09	395.18	406.31	327.56	450.94	486.75	450.94	476.71	376.41	486.75	490.14	212.78	500.46	540.19	486.75	332.14	283.05	633.73	660.68	366.09	493.56	769.69	312.0	368.65	583.07	441.64	532.74	343.89	432.53	480.04	260.38	470.14	295.11	397.93	555.41	361.04	540.19	599.49	287.01	525.39	409.15	420.68	281.09	293.07	351.14	500.46	121.79	368.65	329.84	559.28	224.97	463.65	591.22	299.25	493.56	414.87	656.11	503.95	571.05	490.14	353.59	511.0	540.19	323.03	346.29	356.05	587.13	423.61	309.83	579.04	256.78	423.61	332.14	595.34	547.75	497.0	647.07	490.14	476.71	441.64	334.46	334.46	457.25	463.65	389.72	595.34	514.56	353.59	387.02	543.96	493.56	500.46	450.94	480.04	373.81	703.28	555.41	633.73	353.59	363.56	336.79	343.89	395.18	392.44	387.02	414.87	460.44	387.02	450.94	444.72	438.59	555.41	255.0	389.72	536.45	476.71	283.05	441.64	521.76	412.0	285.03	480.04	490.14	403.5	379.04	392.44	447.82	629.35	454.09	265.87	376.41	514.56	400.71	384.34	518.15	595.34	457.25	551.56	373.81	373.81	463.65	353.59	316.37	381.68	356.05	269.6	275.28	400.71	387.02	460.44	624.99	373.81	507.46	486.75	483.38	373.81	447.82	547.75	447.82	575.03	309.83	480.04	217.27	426.57	343.89	603.67	406.31	511.0	753.83	381.68	389.72	454.09	450.94	361.04	532.74	241.19	480.04	409.15	397.93	409.15	420.68	457.25
SHARPIN	567.1	285.03	802.41	2004.85	1685.71	1628.26	1685.71	1769.57	1407.55	1447.15	1909.85	1540.37	1295.13	2935.74	1340.84	1286.18	1594.73	1417.35	1832.01	1427.22	1757.34	1467.37	1135.2	1477.58	1605.83	1844.76	1572.76	1359.57	1806.78	2004.85	1268.46	1806.78	1685.71	1233.75	1417.35	2032.85	1617.0	1721.16	1331.57	1551.09	1617.0	1023.0	1519.15	1191.69	1870.53	1923.14	1322.37	2119.22	1721.16	981.29	1977.24	1628.26	1437.15	1159.07	1008.9	1183.45	2061.24	896.64	1551.09	1208.34	2720.15	1051.79	1870.53	2468.49	1427.22	1519.15	1313.23	1674.06	1936.53	1883.54	1651.0	1388.16	1508.65	1529.73	1250.98	1322.37	1295.13	1551.09	1662.49	1651.0	2335.28	1104.13	1583.71	1407.55	2047.0	2645.74	1733.13	1350.18	1844.76	1674.06	1447.15	1498.22	1119.56	1407.55	1745.2	1417.35	2555.58	1572.76	1427.22	1397.83	1572.76	1519.15	2047.0	1639.59	1757.34	1151.06	2351.53	2032.85	2090.03	1477.58	1437.15	1369.04	1519.15	1467.37	1199.98	1583.71	1225.22	1437.15	1572.76	1427.22	1806.78	1388.16	2682.69	785.88	1936.53	2061.24	1340.84	1096.5	1896.65	1605.83	1617.0	1037.29	1662.49	1617.0	1498.22	1378.57	1199.98	1447.15	1628.26	1242.34	1066.48	1721.16	1662.49	1437.15	1594.73	2255.7	1674.06	1709.26	1832.01	1397.83	1487.87	1745.2	1397.83	1259.69	1359.57	1304.15	988.12	1151.06	1457.23	1369.04	1819.35	1923.14	1745.2	1844.76	1397.83	1175.27	1498.22	1651.0	1923.14	1733.13	2018.8	1199.98	1709.26	1286.18	1781.89	1208.34	1909.85	1561.89	1733.13	2193.99	1447.15	1322.37	1832.01	1685.71	1159.07	1651.0	941.27	1674.06	1832.01	1457.23	1259.69	665.29	2537.92
SMUG1	417.77	0.0	262.2	974.5	802.41	769.69	872.1	1081.39	733.19	967.76	954.43	836.53	633.73	713.11	698.41	808.0	1088.92	723.08	780.44	785.88	624.99	848.22	507.46	769.69	896.64	1059.11	647.07	660.68	728.11	1674.06	764.36	854.13	1111.82	575.03	808.0	995.0	679.29	780.44	642.59	808.0	878.17	591.22	934.76	698.41	819.3	848.22	748.61	1001.93	981.29	579.04	928.3	769.69	884.29	660.68	591.22	660.68	1159.07	587.13	780.44	633.73	854.13	543.96	764.36	1081.39	718.08	693.58	591.22	988.12	830.75	1051.79	890.44	743.43	830.75	934.76	612.11	599.49	563.18	1001.93	738.29	684.02	1081.39	599.49	954.43	723.08	1331.57	1066.48	921.88	981.29	954.43	854.13	669.92	620.67	543.96	684.02	830.75	753.83	1350.18	718.08	708.18	633.73	1030.12	688.78	693.58	638.15	981.29	583.07	1051.79	961.07	1037.29	819.3	638.15	854.13	878.17	693.58	624.99	825.0	698.41	981.29	848.22	595.34	1111.82	660.68	1697.45	379.04	854.13	872.1	728.11	607.87	1066.48	967.76	713.11	543.96	890.44	854.13	802.41	693.58	684.02	583.07	981.29	595.34	660.68	802.41	748.61	753.83	769.69	896.64	1008.9	748.61	1059.11	591.22	836.53	974.5	555.41	633.73	748.61	633.73	575.03	567.1	679.29	651.58	785.88	909.17	780.44	860.08	825.0	733.19	884.29	647.07	759.08	669.92	967.76	587.13	698.41	612.11	759.08	638.15	878.17	854.13	872.1	1832.01	748.61	738.29	921.88	878.17	759.08	896.64	518.15	884.29	674.59	808.0	660.68	351.14	1008.9
SNRPA	567.1	0.73	1769.57	1628.26	1794.29	1487.87	1857.6	775.05	1519.15	1781.89	2018.8	1498.22	1561.89	1044.52	1277.29	1806.78	1447.15	1331.57	1685.71	1477.58	1685.71	1844.76	1051.79	1583.71	2163.77	1697.45	1594.73	1259.69	2133.97	1340.84	1340.84	2287.2	1594.73	1519.15	1359.57	2520.38	1832.01	2271.4	1313.23	1617.0	1378.57	1870.53	1519.15	1388.16	1963.57	3103.19	1437.15	2335.28	2384.37	941.27	1936.53	1561.89	1397.83	1709.26	1233.75	2004.85	1143.1	1242.34	1832.01	1674.06	1819.35	1175.27	1628.26	2777.33	1250.98	1923.14	1639.59	2573.36	890.44	1936.53	1721.16	1350.18	1806.78	1397.83	1135.2	1447.15	1605.83	2004.85	1685.71	1225.22	1963.57	1378.57	1519.15	1369.04	1832.01	2119.22	1909.85	1119.56	1733.13	1628.26	1794.29	1427.22	1159.07	1991.0	1806.78	1304.15	1519.15	2004.85	1745.2	1757.34	2758.13	1977.24	1769.57	1883.54	1697.45	1417.35	2485.67	2061.24	1936.53	1378.57	1674.06	1467.37	1529.73	1529.73	1674.06	1407.55	1896.65	1359.57	1583.71	1709.26	1977.24	1242.34	1427.22	1508.65	1745.2	1794.29	1350.18	1322.37	1685.71	1721.16	1519.15	1407.55	1540.37	1709.26	1662.49	1477.58	1594.73	1757.34	1572.76	2758.13	1697.45	1369.04	2090.03	1674.06	1594.73	2303.12	2224.63	1963.57	2351.53	1437.15	1437.15	1896.65	1457.23	1388.16	1519.15	1794.29	1540.37	1250.98	1709.26	1857.6	1794.29	2417.67	1369.04	2417.67	1561.89	1242.34	1427.22	1844.76	2400.97	1594.73	1417.35	1519.15	1936.53	1159.07	1857.6	1467.37	2075.59	1286.18	1923.14	2075.59	1331.57	1572.76	1733.13	1583.71	1397.83	1936.53	1250.98	1487.87	1745.2	1437.15	1477.58	1233.75	3928.15
SSSCA1	579.04	0.67	733.19	1135.2	1467.37	1286.18	1350.18	1127.35	1417.35	1331.57	1369.04	1378.57	1268.46	1388.16	1286.18	1088.92	1721.16	1159.07	1295.13	1233.75	1519.15	1216.75	1008.9	1151.06	1397.83	1733.13	1059.11	1175.27	1369.04	1268.46	1233.75	1628.26	1304.15	830.75	1447.15	1081.39	1277.29	1259.69	1167.14	1427.22	1208.34	1183.45	1594.73	1159.07	1175.27	1709.26	1023.0	1467.37	1674.06	934.76	1551.09	1359.57	1304.15	1233.75	934.76	1159.07	1359.57	974.5	1286.18	1127.35	1191.69	1119.56	1295.13	1467.37	1191.69	1369.04	1015.93	1407.55	1277.29	1709.26	1191.69	1023.0	1369.04	1417.35	1242.34	1135.2	1088.92	1437.15	1350.18	1111.82	1794.29	1111.82	1277.29	1051.79	1427.22	1208.34	1066.48	1111.82	1477.58	1191.69	1313.23	1259.69	1051.79	1104.13	1477.58	1135.2	1896.65	1313.23	1447.15	1378.57	1697.45	1583.71	1313.23	1331.57	1216.75	1023.0	1781.89	1769.57	2104.58	1437.15	981.29	1340.84	1350.18	1199.98	928.3	1350.18	981.29	1199.98	1304.15	1135.2	1388.16	1135.2	1685.71	872.1	1388.16	1359.57	1467.37	1015.93	1295.13	1350.18	1313.23	1001.93	1233.75	1909.85	1487.87	1250.98	1340.84	1008.9	748.61	1397.83	1250.98	1304.15	1250.98	1369.04	1304.15	1529.73	1674.06	1216.75	1378.57	1295.13	1467.37	1359.57	1277.29	1066.48	802.41	1304.15	921.88	1096.5	896.64	1350.18	1313.23	1322.37	902.89	1216.75	1167.14	995.0	1457.23	1143.1	1561.89	1111.82	1250.98	1066.48	1322.37	1119.56	1388.16	981.29	1709.26	1378.57	1340.84	1397.83	1104.13	1286.18	1477.58	872.1	1378.57	1498.22	836.53	1331.57	1175.27	1304.15	915.51	1096.5	1617.0
STK19	256.78	0.87	224.97	759.08	753.83	595.34	802.41	884.29	575.03	909.17	775.05	830.75	909.17	500.46	718.08	620.67	791.35	583.07	753.83	748.61	708.18	928.3	540.19	785.88	728.11	802.41	836.53	785.88	836.53	698.41	748.61	878.17	866.07	733.19	842.36	780.44	842.36	854.13	587.13	954.43	587.13	395.18	764.36	713.11	743.43	1081.39	591.22	718.08	854.13	540.19	1191.69	780.44	693.58	571.05	583.07	616.37	669.92	493.56	718.08	915.51	802.41	575.03	733.19	848.22	587.13	872.1	693.58	830.75	620.67	1037.29	559.28	656.11	961.07	896.64	612.11	620.67	603.67	825.0	830.75	575.03	785.88	665.29	708.18	753.83	669.92	775.05	791.35	698.41	674.59	878.17	743.43	638.15	842.36	878.17	684.02	633.73	603.67	802.41	802.41	775.05	866.07	890.44	688.78	759.08	947.83	688.78	825.0	1037.29	1066.48	866.07	775.05	612.11	802.41	775.05	780.44	796.86	728.11	647.07	579.04	698.41	1208.34	651.58	775.05	525.39	684.02	748.61	775.05	647.07	860.08	785.88	796.86	329.84	934.76	941.27	728.11	656.11	764.36	728.11	665.29	733.19	547.75	825.0	723.08	775.05	902.89	587.13	753.83	591.22	981.29	759.08	713.11	718.08	713.11	660.68	679.29	723.08	684.02	728.11	723.08	669.92	743.43	1096.5	633.73	802.41	967.76	559.28	693.58	902.89	902.89	583.07	884.29	759.08	934.76	559.28	967.76	633.73	698.41	860.08	595.34	1066.48	674.59	909.17	842.36	693.58	759.08	825.0	575.03	665.29	547.75	743.43	693.58	733.19	780.44
