	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYY3.0926.SM.5E454	GTEX.P4QR.1026.SM.2I5GP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.148VJ.0826.SM.5LU8V	GTEX.145LS.1226.SM.5Q5D9	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.22.5482.11A.01R.1635.07
KIF13B	450.94	224.97	256.78	476.71	125.24	224.97	312.0	94.67	93.35	125.24	208.38	104.42	75.64	91.41	90.14	84.63	74.58	52.82	384.34	147.06	103.69	198.47	137.14	121.79	190.34	356.05	209.84	105.15	120.1	141.02	130.6	384.34	84.63	387.02	150.17	258.57	145.02	128.79	540.19	525.39	503.95	239.52	242.88	503.95	236.21	4095.0	540.19	130.6	316.37
KMT2D	409.15	351.14	387.02	255.0	346.29	242.88	246.28	204.07	237.86	175.07	339.14	163.28	182.55	195.72	297.17	129.69	154.42	70.01	249.73	120.94	150.17	246.28	108.14	131.51	147.06	149.12	567.1	279.14	229.72	318.57	447.82	688.78	208.38	297.17	312.0	277.2	341.51	265.87	358.54	656.11	738.29	397.93	934.76	480.04	698.41	848.22	1001.93	301.33	669.92
KMT2E	2627.46	293.07	246.28	45.85	211.31	158.79	175.07	143.01	133.36	105.15	199.85	91.41	94.01	56.28	113.56	82.29	70.51	87.03	231.32	46.18	159.9	124.37	96.01	89.51	73.03	118.43	490.14	620.67	329.84	361.04	500.46	473.41	283.05	674.59	497.0	289.02	444.72	733.19	384.34	1159.07	511.0	273.37	1001.93	934.76	995.0	713.11	842.36	343.89	684.02
KPNA4	836.53	327.56	361.04	193.01	231.32	214.27	309.83	232.94	190.34	420.68	305.55	152.28	186.4	166.73	165.57	162.14	149.12	239.52	336.79	88.26	185.11	185.11	142.01	142.01	161.02	194.36	269.6	753.83	392.44	381.68	547.75	412.0	571.05	819.3	723.08	229.72	575.03	305.55	521.76	563.18	525.39	108.14	567.1	708.18	1340.84	248.0	1001.93	356.05	432.53
LATS2	283.05	138.1	265.87	139.07	90.77	56.68	34.51	68.55	47.5	45.53	86.43	52.08	48.87	47.17	26.67	68.55	48.87	21.47	92.05	92.7	124.37	60.39	61.25	61.25	127.89	125.24	193.01	190.34	162.14	218.79	269.6	353.59	162.14	555.41	426.57	220.32	332.14	346.29	414.87	1030.12	507.46	107.38	540.19	896.64	1037.29	373.81	599.49	231.32	466.88
LCORL	145.02	87.03	74.58	32.13	69.52	45.53	84.63	58.71	22.75	122.64	78.89	39.79	30.34	35.0	42.71	31.9	41.81	70.01	72.01	27.84	44.89	31.22	37.85	64.34	48.18	109.66	108.9	35.5	96.01	77.25	166.73	92.05	87.65	112.77	108.14	75.64	109.66	127.89	112.77	84.63	118.43	57.49	176.29	165.57	291.04	90.77	126.12	97.36	82.87
LIMS1	1167.14	603.67	981.29	536.45	297.17	363.56	361.04	371.22	239.52	303.44	255.0	164.42	177.53	153.34	104.42	119.26	156.59	206.94	759.08	82.87	163.28	226.54	169.07	143.01	170.25	698.41	884.29	426.57	1135.2	1159.07	1583.71	909.17	775.05	2664.15	915.51	713.11	1119.56	1844.76	1304.15	2796.65	1051.79	842.36	1331.57	3146.52	3124.78	1143.1	2104.58	995.0	1369.04
MAP4K5	336.79	218.79	226.54	86.43	171.45	116.78	100.13	106.63	92.7	119.26	96.01	98.73	114.36	85.82	98.73	65.72	63.45	71.5	189.02	40.93	125.24	171.45	73.54	87.03	102.25	218.79	392.44	348.71	234.57	255.0	438.59	287.01	249.73	559.28	497.0	271.48	417.77	444.72	332.14	647.07	309.83	193.01	1111.82	836.53	518.15	698.41	595.34	269.6	466.88
MATR3	2485.67	2573.36	2119.22	389.72	1721.16	1709.26	1757.34	1662.49	1322.37	1721.16	2018.8	1096.5	1378.57	1008.9	1167.14	1151.06	1378.57	1709.26	2224.63	514.56	1498.22	1662.49	1259.69	1233.75	1313.23	2032.85	2664.15	2468.49	3081.75	2417.67	3303.0	3540.14	2682.69	4937.99	3928.15	2255.7	4328.55	3589.58	3443.31	3349.13	2720.15	1594.73	4419.52	5751.61	4543.8	3515.68	3716.2	2976.74	3794.3
MBNL2	1051.79	389.72	403.5	52.82	647.07	351.14	123.5	400.71	368.65	58.71	102.97	236.21	305.55	389.72	363.56	287.01	221.86	242.88	511.0	79.45	1832.01	429.54	612.11	587.13	500.46	551.56	490.14	414.87	595.34	521.76	571.05	603.67	559.28	1359.57	995.0	318.57	1378.57	1250.98	748.61	1639.59	497.0	104.42	2047.0	2997.45	1883.54	1322.37	1572.76	629.35	1037.29
MED13L	358.54	258.57	258.57	118.43	149.12	90.77	125.24	93.35	111.21	70.51	166.73	69.03	84.04	67.12	101.54	43.63	48.52	51.71	183.82	49.91	90.14	76.71	61.68	68.07	102.25	161.02	339.14	395.18	237.86	211.31	255.0	291.04	178.77	669.92	872.1	228.13	403.5	607.87	420.68	665.29	463.65	123.5	1151.06	571.05	579.04	633.73	587.13	209.84	536.45
MEF2C	780.44	197.09	371.22	49.21	92.05	124.37	45.85	92.7	70.01	49.91	46.18	92.7	71.0	36.79	29.48	42.71	62.12	20.11	162.14	23.93	38.95	62.12	75.64	61.68	52.82	74.06	291.04	130.6	327.56	224.97	392.44	212.78	291.04	285.03	260.38	134.3	454.09	633.73	260.38	587.13	166.73	94.67	1388.16	884.29	1950.0	473.41	1030.12	400.71	521.76
MEX3C	532.74	172.65	242.88	108.9	199.85	118.43	115.97	176.29	139.07	147.06	214.27	110.43	99.43	83.45	149.12	134.3	76.71	92.05	190.34	57.49	187.71	106.63	95.34	169.07	152.28	211.31	236.21	493.56	246.28	201.25	426.57	236.21	450.94	373.81	314.17	173.85	525.39	435.55	269.6	490.14	334.46	70.51	830.75	796.86	848.22	358.54	470.14	211.31	406.31
MFAP3	389.72	193.01	211.31	131.51	137.14	181.28	112.77	127.0	104.42	124.37	137.14	107.38	109.66	97.36	159.9	101.54	113.56	85.22	244.57	110.43	129.69	141.02	149.12	124.37	128.79	291.04	253.23	209.84	262.2	204.07	312.0	289.02	336.79	612.11	397.93	209.84	872.1	444.72	351.14	397.93	277.2	169.07	514.56	246.28	463.65	193.01	866.07	279.14	414.87
MFHAS1	332.14	171.45	265.87	271.48	153.34	156.59	332.14	112.77	61.68	182.55	178.77	135.24	76.17	69.03	63.0	80.01	91.41	40.36	743.43	57.08	95.34	76.17	53.95	69.52	116.78	158.79	273.37	91.41	341.51	309.83	708.18	376.41	376.41	764.36	336.79	173.85	529.06	343.89	612.11	995.0	543.96	221.86	191.67	842.36	995.0	242.88	612.11	248.0	327.56
MIB1	260.38	82.29	101.54	18.29	97.36	107.38	130.6	92.7	79.45	74.06	158.79	68.55	77.79	57.49	88.26	40.07	53.95	40.36	99.43	46.18	64.34	75.11	73.03	115.97	57.49	182.55	146.03	134.3	132.44	97.36	256.78	161.02	135.24	269.6	244.57	107.38	228.13	177.53	154.42	154.42	115.97	40.36	483.38	384.34	450.94	120.94	246.28	118.43	198.47
MLTK	480.04	177.53	307.69	54.72	249.73	271.48	412.0	384.34	285.03	147.06	120.1	195.72	299.25	327.56	183.82	171.45	251.48	130.6	283.05	154.42	395.18	248.0	239.52	139.07	206.94	500.46	417.77	470.14	423.61	289.02	373.81	473.41	320.8	1340.84	1044.52	220.32	684.02	435.55	575.03	1030.12	435.55	198.47	575.03	954.43	1096.5	397.93	878.17	409.15	698.41
MLXIP	2502.97	507.46	480.04	417.77	555.41	438.59	890.44	204.07	684.02	277.2	157.68	239.52	511.0	301.33	265.87	204.07	211.31	267.73	379.04	156.59	343.89	185.11	171.45	214.27	289.02	152.28	743.43	473.41	273.37	327.56	454.09	432.53	587.13	1250.98	1119.56	343.89	529.06	802.41	395.18	1015.93	420.68	748.61	934.76	769.69	1167.14	497.0	1870.53	463.65	665.29
MOB1B	153.34	154.42	164.42	85.22	80.01	60.82	59.13	53.57	41.22	45.21	37.85	38.4	52.08	54.72	75.64	40.64	28.65	35.5	109.66	17.25	64.8	43.94	34.02	39.22	37.85	53.95	197.09	92.7	167.9	139.07	361.04	185.11	155.5	273.37	279.14	161.02	145.02	176.29	224.97	414.87	129.69	63.45	780.44	819.3	417.77	343.89	454.09	137.14	226.54
MTPN	2119.22	967.76	896.64	454.09	483.38	429.54	587.13	395.18	409.15	206.94	258.57	220.32	204.07	185.11	248.0	191.67	206.94	201.25	679.29	239.52	260.38	351.14	289.02	297.17	279.14	825.0	854.13	802.41	1388.16	1295.13	3039.3	1551.09	1340.84	1936.53	1628.26	954.43	2915.45	1950.0	2224.63	2351.53	1225.22	303.44	1883.54	3768.09	4010.71	848.22	2384.37	1111.82	1769.57
NAA50	1662.49	669.92	802.41	339.14	624.99	698.41	1151.06	607.87	890.44	921.88	563.18	406.31	571.05	525.39	406.31	269.6	435.55	928.3	866.07	423.61	466.88	665.29	591.22	497.0	802.41	1583.71	733.19	1487.87	1119.56	1066.48	2178.83	1030.12	1286.18	2335.28	1023.0	417.77	2133.97	1397.83	2133.97	1175.27	1216.75	339.14	1457.23	3168.41	4210.15	718.08	2032.85	961.07	1059.11
NAP1L1	7642.41	8305.36	7695.57	2956.17	3212.66	2816.11	3690.52	2835.7	3018.3	5555.65	2664.15	3257.52	2468.49	2271.4	1561.89	2351.53	2502.97	2816.11	6983.79	1199.98	2255.7	4010.71	1583.71	2163.77	3467.27	3690.52	7032.37	5366.37	7032.37	7749.1	8718.32	5183.54	5403.7	20310.37	7382.04	7911.95	12502.12	12943.04	8538.88	5995.9	8247.98	3901.01	12943.04	13215.02	9279.58	11345.82	11992.79	9673.69	9540.5
NAV1	231.32	90.77	136.19	59.55	39.79	45.53	19.39	32.82	15.0	18.16	13.22	21.78	15.56	18.84	8.78	12.0	28.86	4.54	87.65	9.34	6.52	20.86	8.65	8.78	9.78	17.77	169.07	81.71	47.5	48.18	39.5	121.79	208.38	241.19	236.21	51.71	669.92	507.46	46.5	195.72	130.6	108.14	214.27	119.26	1225.22	66.18	928.3	123.5	246.28
NCOR2	2163.77	1151.06	1540.37	1487.87	808.0	738.29	642.59	629.35	591.22	629.35	921.88	656.11	414.87	493.56	713.11	551.56	500.46	563.18	854.13	420.68	273.37	346.29	158.79	262.2	379.04	361.04	2224.63	1350.18	1183.45	1605.83	1073.91	1923.14	1340.84	2520.38	1857.6	1909.85	1407.55	1023.0	2367.9	5041.77	2720.15	2682.69	1605.83	1437.15	2209.26	1259.69	4802.93	1529.73	2451.44
NEDD4L	1617.0	353.59	234.57	460.44	483.38	642.59	1183.45	759.08	1023.0	842.36	674.59	679.29	860.08	928.3	389.72	507.46	339.14	555.41	305.55	208.38	142.01	181.28	129.69	130.6	339.14	189.02	808.0	1359.57	819.3	1008.9	728.11	1127.35	536.45	1143.1	1806.78	1096.5	497.0	587.13	1883.54	967.76	2047.0	780.44	921.88	5872.48	2090.03	3190.46	2573.36	890.44	1175.27
NOG	5.92	6.62	7.11	1.13	0.0	0.0	4.17	0.39	0.0	3.03	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.6	1.13	0.0	0.0	0.4	0.0	0.0	1.71	0.87	34.26	7.06	68.07	18.43	16.75	75.64	30.56	82.29	0.95	26.86	96.01	31.0	9.63	0.55	33.54	8.85	0.0	11.73	77.79	1.64	138.1	20.11	36.27
NPAT	503.95	79.45	89.51	9.2	52.08	54.33	65.26	64.8	36.27	57.49	71.0	26.67	23.42	29.06	45.85	31.22	36.01	41.52	75.11	12.64	63.45	78.89	31.22	41.22	37.85	34.75	93.35	127.89	101.54	85.82	150.17	116.78	105.89	153.34	153.34	79.45	136.19	135.24	98.73	202.66	100.13	74.06	400.71	258.57	293.07	172.65	226.54	111.99	166.73
OSBPL8	620.67	271.48	265.87	37.59	157.68	123.5	144.01	96.68	133.36	78.34	96.68	78.34	75.64	61.25	75.11	51.71	49.56	48.18	241.19	26.86	98.73	82.87	83.45	116.78	84.04	193.01	327.56	153.34	406.31	334.46	387.02	309.83	329.84	1242.34	1008.9	295.11	642.59	703.28	339.14	656.11	339.14	111.99	1066.48	1015.93	743.43	587.13	1001.93	420.68	511.0
PAK2	684.02	511.0	595.34	444.72	450.94	429.54	555.41	423.61	348.71	595.34	620.67	301.33	447.82	423.61	454.09	256.78	312.0	318.57	603.67	264.03	559.28	356.05	381.68	493.56	387.02	559.28	559.28	1073.91	575.03	547.75	981.29	738.29	780.44	896.64	1313.23	412.0	1151.06	629.35	934.76	703.28	703.28	198.47	1407.55	1088.92	1498.22	429.54	1233.75	511.0	813.63
PAPPA-AS1	14.03	3.59	2.86	0.0	0.93	0.91	6.11	0.0	0.0	3.63	0.0	0.87	0.0	0.0	0.39	0.0	0.44	0.0	1.51	0.0	1.25	0.0	0.0	0.0	1.31	3.44	3.63	0.87	6.84	3.11	5.87	7.34	0.0	11.64	0.0	5.06	24.11	7.88	0.6	9.13	2.94	0.0	10.88	59.55	3.44	6.84	26.86	0.0	22.92
PCBP2	12415.75	11504.21	15934.98	20170.07	9151.82	6607.01	7966.99	6935.54	13033.07	11345.82	14361.31	6935.54	8901.53	7589.61	9673.69	6607.01	7695.57	6337.83	9344.14	9876.98	10512.82	8479.89	10585.95	6745.86	10368.08	14163.58	11909.94	9945.68	13033.07	12589.08	13872.08	10014.87	9808.75	18304.63	12502.12	13033.07	17804.06	15285.81	11827.67	12244.81	20170.07	6426.31	18819.27	16496.96	12943.04	17317.18	17197.56	11345.82	12589.08
PDS5B	212.78	122.64	164.42	34.75	205.5	95.34	101.54	172.65	122.64	42.11	169.07	92.7	119.26	103.69	118.43	97.36	104.42	46.5	164.42	38.12	90.77	183.82	61.68	88.88	130.6	267.73	226.54	186.4	218.79	199.85	148.09	314.17	171.45	361.04	299.25	211.31	389.72	320.8	392.44	490.14	348.71	228.13	457.25	403.5	514.56	551.56	493.56	223.41	403.5
PHACTR2	438.59	108.9	162.14	33.3	70.01	74.06	212.78	58.71	47.5	76.71	69.52	40.93	48.18	55.89	4.28	53.19	34.75	38.95	164.42	20.56	46.5	37.59	33.54	50.63	51.35	100.13	271.48	162.14	277.2	220.32	409.15	351.14	228.13	476.71	607.87	234.57	420.68	379.04	547.75	463.65	255.0	221.86	921.88	387.02	1407.55	353.59	674.59	265.87	620.67
PHC3	249.73	121.79	111.99	41.81	46.5	69.52	63.45	59.55	49.21	47.5	73.03	33.3	36.79	40.07	46.5	19.25	47.5	42.11	78.89	32.82	74.06	55.89	52.45	50.63	76.17	127.0	163.28	147.06	124.37	102.25	249.73	137.14	129.69	170.25	320.8	77.79	260.38	269.6	157.68	387.02	217.27	72.01	733.19	297.17	656.11	228.13	454.09	158.79	253.23
PHF20	457.25	251.48	248.0	59.13	89.51	114.36	88.88	110.43	69.52	78.89	84.04	94.67	89.51	48.52	125.24	65.72	69.52	69.52	138.1	55.89	126.12	40.64	66.18	65.72	84.63	144.01	212.78	170.25	220.32	187.71	226.54	202.66	205.5	444.72	327.56	176.29	260.38	277.2	293.07	1467.37	256.78	156.59	295.11	412.0	497.0	521.76	525.39	185.11	339.14
PIAS1	890.44	277.2	316.37	120.94	173.85	142.01	143.01	171.45	130.6	121.79	144.01	118.43	111.99	82.29	148.09	108.9	102.25	129.69	231.32	106.63	137.14	173.85	89.51	159.9	156.59	224.97	447.82	373.81	368.65	389.72	802.41	555.41	486.75	579.04	607.87	392.44	406.31	540.19	521.76	660.68	543.96	323.03	884.29	748.61	961.07	878.17	1135.2	432.53	567.1
PIKFYVE	189.02	87.65	101.54	32.36	70.51	60.82	75.11	51.71	39.22	42.11	59.55	35.0	46.5	38.95	68.55	33.06	30.56	19.97	92.05	28.86	53.95	49.21	54.72	34.75	48.18	82.29	170.25	98.73	116.78	90.14	147.06	141.02	88.26	120.1	205.5	94.67	119.26	153.34	133.36	236.21	112.77	72.01	438.59	463.65	212.78	312.0	241.19	133.36	164.42
PJA2	1467.37	775.05	825.0	366.09	563.18	571.05	579.04	525.39	423.61	255.0	547.75	303.44	447.82	325.29	521.76	423.61	454.09	287.01	587.13	476.71	813.63	392.44	587.13	728.11	633.73	947.83	738.29	314.17	1111.82	842.36	902.89	1397.83	669.92	2148.82	1819.35	738.29	1896.65	1135.2	1225.22	2004.85	1001.93	260.38	1733.13	2664.15	1540.37	1467.37	1674.06	743.43	1388.16
PRKAA1	559.28	417.77	275.28	108.14	503.95	426.57	612.11	366.09	289.02	248.0	423.61	454.09	277.2	271.48	395.18	281.09	229.72	248.0	397.93	224.97	525.39	358.54	412.0	438.59	358.54	358.54	656.11	684.02	547.75	486.75	514.56	723.08	275.28	848.22	571.05	454.09	497.0	620.67	638.15	1417.35	674.59	336.79	1617.0	1540.37	1183.45	693.58	1119.56	612.11	703.28
PRKD3	271.48	144.01	206.94	57.08	89.51	89.51	147.06	106.63	71.0	140.04	78.34	53.57	47.5	39.5	80.57	52.08	53.95	67.59	156.59	39.5	55.89	72.52	56.68	46.18	81.14	123.5	289.02	239.52	295.11	218.79	346.29	297.17	251.48	543.96	389.72	215.77	441.64	444.72	242.88	500.46	285.03	114.36	995.0	723.08	974.5	551.56	551.56	339.14	490.14
PTP4A2	13586.57	2664.15	3349.13	2502.97	2319.15	2061.24	4937.99	1991.0	1685.71	5076.84	1008.9	1870.53	1508.65	2287.2	2018.8	1447.15	2018.8	3419.52	2627.46	896.64	2148.82	1832.01	1909.85	1662.49	2004.85	2271.4	3303.0	5791.62	4704.07	3794.3	7032.37	3146.52	4903.87	7280.4	7081.29	2351.53	6164.49	4358.66	5183.54	3395.89	4607.24	3716.2	5219.6	8191.0	13872.08	3039.3	9740.98	4836.35	3901.01
PTPN12	1583.71	753.83	708.18	177.53	518.15	392.44	660.68	414.87	267.73	595.34	480.04	327.56	301.33	303.44	231.32	149.12	231.32	267.73	785.88	105.15	239.52	287.01	177.53	189.02	232.94	277.2	1268.46	785.88	1151.06	1628.26	2384.37	1447.15	780.44	2895.31	2758.13	1183.45	1378.57	1119.56	1304.15	2193.99	1350.18	633.73	2384.37	2895.31	5329.3	1508.65	3794.3	1059.11	1757.34
PXK	1143.1	301.33	249.73	260.38	387.02	314.17	234.57	220.32	140.04	157.68	218.79	143.01	152.28	108.14	151.22	141.02	149.12	133.36	312.0	52.45	151.22	224.97	193.01	121.79	143.01	244.57	285.03	131.51	595.34	336.79	406.31	291.04	368.65	748.61	703.28	301.33	624.99	450.94	454.09	688.78	255.0	368.65	842.36	514.56	525.39	414.87	713.11	366.09	551.56
QKI	890.44	624.99	830.75	208.38	438.59	389.72	358.54	260.38	463.65	255.0	387.02	195.72	283.05	162.14	236.21	194.36	172.65	175.07	575.03	180.02	343.89	305.55	297.17	379.04	373.81	1388.16	981.29	255.0	1268.46	981.29	1340.84	1794.29	1023.0	1757.34	2047.0	1008.9	1883.54	1745.2	2609.3	1936.53	1950.0	295.11	2997.45	1909.85	3742.05	1268.46	3190.46	1073.91	2193.99
RAB11FIP1	2163.77	429.54	366.09	674.59	198.47	128.79	454.09	229.72	155.5	74.58	195.72	318.57	127.89	69.52	98.73	55.89	202.66	66.18	256.78	95.34	41.52	389.72	58.71	77.79	105.89	151.22	1467.37	4769.75	1030.12	1963.57	1467.37	2627.46	791.35	2004.85	1143.1	1651.0	1259.69	1001.93	4210.15	1051.79	4704.07	1721.16	1388.16	5183.54	2047.0	2047.0	5995.9	1304.15	2816.11
RAB21	1529.73	915.51	651.58	392.44	607.87	447.82	575.03	336.79	521.76	323.03	409.15	320.8	316.37	420.68	334.46	312.0	277.2	217.27	536.45	287.01	447.82	447.82	387.02	358.54	309.83	493.56	587.13	624.99	830.75	934.76	1617.0	909.17	915.51	2018.8	1883.54	629.35	1127.35	1044.52	941.27	2018.8	934.76	607.87	1685.71	2224.63	2720.15	1242.34	2047.0	723.08	1119.56
RAB5A	1685.71	718.08	521.76	476.71	547.75	473.41	497.0	579.04	423.61	466.88	567.1	305.55	486.75	356.05	457.25	389.72	295.11	318.57	642.59	395.18	607.87	420.68	366.09	543.96	356.05	454.09	713.11	595.34	909.17	743.43	1225.22	961.07	947.83	1617.0	1143.1	728.11	915.51	878.17	872.1	1540.37	921.88	381.68	1259.69	2104.58	2400.97	902.89	1844.76	808.0	890.44
RASSF2	2417.67	255.0	595.34	182.55	74.58	74.06	23.42	63.0	21.63	64.8	37.32	46.18	34.26	11.38	7.46	21.47	52.08	13.93	212.78	29.91	65.72	35.25	11.3	46.18	35.0	23.25	620.67	69.03	591.22	318.57	147.06	429.54	223.41	283.05	314.17	248.0	629.35	642.59	543.96	1081.39	438.59	417.77	884.29	161.02	5183.54	384.34	1208.34	674.59	981.29
RBMS1	921.88	497.0	660.68	157.68	146.03	171.45	166.73	197.09	61.25	267.73	60.82	126.12	145.02	120.94	27.64	106.63	88.88	25.91	332.14	73.54	256.78	251.48	287.01	260.38	141.02	180.02	1096.5	656.11	1159.07	921.88	1769.57	1191.69	1427.22	2004.85	1561.89	665.29	1477.58	1870.53	1233.75	2777.33	915.51	684.02	1605.83	1572.76	3190.46	947.83	1605.83	1081.39	1350.18
RECK	173.85	122.64	123.5	80.01	68.07	134.3	161.02	43.02	10.88	70.01	64.8	86.43	38.12	79.45	147.06	70.51	15.22	41.81	120.94	22.43	11.73	61.25	22.43	16.88	18.84	33.06	145.02	122.64	147.06	157.68	173.85	185.11	124.37	1191.69	295.11	127.89	521.76	348.71	206.94	493.56	176.29	62.12	389.72	684.02	688.78	293.07	620.67	242.88	417.77
RNF216	265.87	438.59	384.34	281.09	309.83	248.0	450.94	244.57	142.01	376.41	309.83	248.0	201.25	166.73	291.04	133.36	170.25	217.27	271.48	159.9	187.71	105.15	111.99	177.53	198.47	231.32	334.46	301.33	271.48	237.86	271.48	320.8	444.72	351.14	332.14	339.14	414.87	289.02	406.31	409.15	521.76	358.54	1427.22	361.04	450.94	514.56	967.76	297.17	426.57
ROCK2	389.72	87.03	114.36	18.84	117.6	108.9	185.11	178.77	99.43	159.9	236.21	89.51	112.77	83.45	114.36	108.9	100.83	56.68	175.07	31.45	148.09	98.04	87.65	85.82	94.67	133.36	248.0	165.57	177.53	167.9	153.34	327.56	190.34	397.93	329.84	190.34	406.31	368.65	420.68	559.28	379.04	98.73	329.84	376.41	753.83	224.97	836.53	229.72	518.15
RP11-159G9.5	379.04	28.04	24.28	5.11	11.3	21.47	16.75	7.4	11.91	7.94	18.03	1.45	8.0	4.94	4.82	5.02	10.79	6.21	44.25	11.3	25.91	11.47	16.39	7.06	31.22	108.9	55.89	30.78	52.08	38.4	76.71	78.89	7.88	119.26	87.03	15.11	115.97	90.14	89.51	120.94	72.01	13.32	147.06	64.34	281.09	101.54	228.13	47.17	89.51
RSPO4	0.0	27.84	1.75	8.25	3.0	1.33	0.0	0.0	0.0	0.0	2.51	1.27	0.72	0.74	0.0	0.0	0.74	0.62	1.62	0.84	1.35	0.0	2.41	12.45	0.34	1.19	120.94	2.05	82.87	175.07	35.0	105.15	38.95	1104.13	19.53	143.01	836.53	825.0	17.64	346.29	147.06	181.28	29.27	878.17	521.76	93.35	1286.18	97.36	358.54
RYBP	3874.05	204.07	138.1	106.63	105.89	104.42	127.0	100.83	75.11	111.21	131.51	85.22	97.36	63.45	119.26	64.34	66.18	84.63	145.02	158.79	138.1	83.45	111.21	157.68	100.13	166.73	199.85	147.06	256.78	295.11	246.28	267.73	166.73	536.45	511.0	253.23	234.57	264.03	303.44	483.38	361.04	92.7	329.84	708.18	1199.98	186.4	713.11	190.34	339.14
SAMD8	303.44	103.69	107.38	53.57	62.12	62.12	86.43	42.11	27.84	57.89	50.27	40.93	39.22	41.22	23.08	55.89	26.67	22.75	94.01	25.54	68.07	71.5	60.39	55.89	59.55	84.63	151.22	102.97	132.44	149.12	239.52	142.01	124.37	289.02	299.25	149.12	175.07	234.57	122.64	366.09	127.0	74.58	470.14	293.07	395.18	327.56	363.56	142.01	242.88
SBNO1	813.63	152.28	126.12	38.67	102.97	115.16	135.24	73.03	106.63	96.01	82.29	64.8	77.25	72.52	96.01	64.34	53.57	71.5	117.6	42.71	94.01	99.43	77.79	78.89	84.63	162.14	128.79	363.56	121.79	98.73	140.04	208.38	209.84	212.78	303.44	86.43	267.73	129.69	231.32	81.14	113.56	69.52	217.27	262.2	389.72	100.13	376.41	134.3	156.59
SCNN1B	204.07	16.03	125.24	12.18	33.78	6.26	11.73	30.56	12.83	6.73	26.47	12.45	12.55	2.05	19.53	0.53	37.85	14.78	8.06	8.58	3.29	10.79	9.63	11.64	3.5	1.08	909.17	796.86	693.58	775.05	785.88	2796.65	32.13	1295.13	2777.33	651.58	248.0	559.28	2271.4	117.6	2758.13	1340.84	187.71	1001.93	283.05	733.19	2935.74	753.83	1286.18
SIN3A	921.88	277.2	316.37	141.02	187.71	145.02	120.1	201.25	152.28	150.17	158.79	129.69	181.28	94.01	211.31	123.5	186.4	84.63	189.02	122.64	358.54	122.64	120.1	140.04	162.14	152.28	346.29	547.75	287.01	267.73	420.68	466.88	348.71	583.07	406.31	339.14	327.56	379.04	447.82	808.0	438.59	392.44	1159.07	1059.11	934.76	674.59	1001.93	356.05	599.49
SKIV2L2	323.03	486.75	409.15	139.07	435.55	403.5	470.14	384.34	332.14	444.72	547.75	384.34	444.72	281.09	291.04	301.33	490.14	603.67	403.5	177.53	287.01	551.56	303.44	234.57	301.33	371.22	438.59	316.37	521.76	525.39	450.94	559.28	490.14	1617.0	860.08	353.59	738.29	480.04	444.72	441.64	423.61	450.94	490.14	836.53	713.11	376.41	698.41	466.88	595.34
SLAIN2	860.08	389.72	540.19	228.13	258.57	497.0	595.34	381.68	334.46	285.03	376.41	208.38	206.94	228.13	183.82	269.6	242.88	193.01	397.93	239.52	346.29	441.64	287.01	384.34	583.07	1037.29	454.09	162.14	607.87	647.07	854.13	1008.9	995.0	819.3	1883.54	395.18	1923.14	629.35	1733.13	759.08	1378.57	199.85	728.11	1216.75	967.76	438.59	1340.84	665.29	1167.14
