	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CU.11A.11R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13VXU.0826.SM.5KLZ2
MFSD8	55.49	76.17	60.82	124.37	85.82	152.28	139.07	129.69	289.02	199.85	287.01	248.0	201.25	260.38	314.17	204.07	371.22	193.01	187.71	215.77	226.54	214.27	209.84	180.02	148.09	182.55	269.6	206.94	246.28	129.69	211.31	231.32	223.41	224.97	267.73	249.73	242.88	164.42	262.2	301.33	221.86	161.02
MLLT4	450.94	629.35	532.74	660.68	603.67	575.03	909.17	371.22	1936.53	1322.37	2645.74	5366.37	1498.22	2255.7	3235.01	2004.85	4328.55	1487.87	1651.0	2287.2	1359.57	1674.06	1023.0	2434.5	1175.27	954.43	2224.63	1331.57	2075.59	1073.91	1617.0	2018.8	2835.7	1529.73	2047.0	860.08	1883.54	842.36	2271.4	1594.73	1769.57	1073.91
MOB1B	85.22	17.25	246.28	204.07	127.89	117.6	166.73	112.77	264.03	173.85	318.57	339.14	190.34	303.44	316.37	167.9	289.02	193.01	248.0	181.28	180.02	220.32	125.24	444.72	194.36	226.54	204.07	173.85	212.78	158.79	209.84	145.02	202.66	239.52	246.28	190.34	241.19	143.01	220.32	251.48	209.84	224.97
MPP6	72.52	60.39	73.54	87.03	62.56	183.82	92.05	142.01	150.17	135.24	232.94	334.46	262.2	273.37	123.5	178.77	164.42	82.87	204.07	201.25	194.36	126.12	105.89	136.19	178.77	76.17	170.25	226.54	229.72	167.9	218.79	142.01	158.79	226.54	201.25	275.28	232.94	116.78	181.28	285.03	256.78	100.13
MSI2	463.65	199.85	624.99	555.41	555.41	647.07	551.56	521.76	1023.0	825.0	934.76	1183.45	866.07	1104.13	1081.39	723.08	1331.57	684.02	884.29	723.08	684.02	791.35	423.61	1119.56	825.0	620.67	713.11	884.29	813.63	599.49	909.17	854.13	872.1	802.41	1081.39	842.36	896.64	579.04	981.29	780.44	902.89	743.43
MTHFD2L	119.26	195.72	309.83	353.59	314.17	246.28	348.71	293.07	438.59	305.55	457.25	476.71	348.71	616.37	447.82	269.6	366.09	293.07	381.68	242.88	316.37	255.0	214.27	293.07	199.85	312.0	395.18	291.04	376.41	239.52	438.59	285.03	336.79	301.33	417.77	518.15	323.03	190.34	426.57	389.72	361.04	356.05
MTMR10	105.89	249.73	170.25	241.19	301.33	289.02	325.29	204.07	497.0	417.77	603.67	500.46	387.02	708.18	450.94	466.88	688.78	329.84	412.0	460.44	353.59	417.77	348.71	309.83	397.93	363.56	476.71	400.71	587.13	397.93	341.51	381.68	490.14	414.87	607.87	387.02	423.61	285.03	698.41	543.96	507.46	358.54
MTPAP	71.5	88.88	128.79	134.3	127.89	131.51	224.97	84.63	273.37	154.42	228.13	195.72	206.94	341.51	267.73	215.77	236.21	178.77	204.07	236.21	267.73	224.97	139.07	182.55	204.07	138.1	234.57	241.19	212.78	214.27	199.85	209.84	239.52	256.78	209.84	208.38	214.27	171.45	287.01	305.55	218.79	143.01
MYO9A	16.27	12.93	55.49	105.89	96.01	98.73	170.25	52.45	318.57	205.5	567.1	381.68	265.87	642.59	420.68	246.28	429.54	264.03	283.05	273.37	163.28	253.23	228.13	480.04	244.57	229.72	267.73	209.84	297.17	231.32	173.85	336.79	316.37	299.25	460.44	133.36	373.81	93.35	277.2	379.04	232.94	248.0
N4BP1	115.97	80.01	224.97	271.48	366.09	366.09	248.0	389.72	387.02	318.57	417.77	842.36	536.45	647.07	693.58	444.72	603.67	373.81	435.55	454.09	346.29	490.14	309.83	567.1	403.5	403.5	457.25	454.09	473.41	470.14	351.14	460.44	457.25	563.18	426.57	366.09	351.14	246.28	483.38	483.38	384.34	371.22
NEDD4L	460.44	208.38	325.29	379.04	295.11	363.56	189.02	607.87	389.72	323.03	567.1	1250.98	343.89	743.43	1051.79	400.71	1268.46	387.02	297.17	518.15	376.41	309.83	265.87	698.41	473.41	376.41	525.39	412.0	384.34	412.0	291.04	329.84	660.68	291.04	665.29	507.46	332.14	312.0	713.11	476.71	361.04	366.09
NEMF	61.25	66.18	356.05	547.75	511.0	518.15	624.99	273.37	633.73	490.14	698.41	642.59	616.37	954.43	753.83	638.15	713.11	616.37	647.07	483.38	616.37	555.41	503.95	587.13	583.07	450.94	718.08	563.18	629.35	518.15	642.59	525.39	575.03	656.11	624.99	603.67	674.59	493.56	796.86	780.44	616.37	450.94
NIPBL	34.02	46.84	358.54	384.34	406.31	587.13	371.22	389.72	612.11	521.76	688.78	543.96	466.88	836.53	567.1	532.74	708.18	490.14	536.45	497.0	403.5	457.25	514.56	476.71	525.39	414.87	540.19	480.04	493.56	429.54	511.0	460.44	521.76	563.18	536.45	438.59	540.19	366.09	503.95	587.13	460.44	486.75
NOC3L	25.35	17.38	109.66	154.42	155.5	149.12	273.37	94.01	417.77	120.94	376.41	376.41	209.84	414.87	463.65	248.0	441.64	256.78	199.85	253.23	209.84	195.72	152.28	135.24	157.68	228.13	358.54	293.07	269.6	199.85	171.45	234.57	275.28	269.6	329.84	205.5	208.38	152.28	447.82	392.44	242.88	156.59
NT5C2	563.18	242.88	1628.26	1745.2	1388.16	1991.0	1340.84	1277.29	3665.02	2367.9	3515.68	2451.44	2835.7	4972.34	4450.27	2895.31	5006.93	2701.35	3018.3	3190.46	2417.67	2520.38	2018.8	4972.34	2468.49	1923.14	3103.19	2555.58	3103.19	2287.2	3081.75	2816.11	3716.2	2573.36	3540.14	2758.13	3540.14	2367.9	4181.07	3060.45	3060.45	2047.0
NUP54	76.71	99.43	291.04	429.54	368.65	450.94	473.41	299.25	753.83	633.73	743.43	703.28	583.07	902.89	693.58	656.11	753.83	567.1	591.22	518.15	521.76	684.02	607.87	616.37	587.13	529.06	674.59	612.11	579.04	503.95	540.19	567.1	660.68	698.41	642.59	529.06	612.11	500.46	684.02	785.88	591.22	551.56
NUPL1	173.85	87.65	90.77	232.94	186.4	212.78	353.59	131.51	551.56	301.33	629.35	500.46	334.46	848.22	802.41	318.57	521.76	395.18	397.93	314.17	366.09	346.29	316.37	525.39	332.14	432.53	447.82	332.14	384.34	293.07	368.65	329.84	329.84	426.57	429.54	412.0	339.14	220.32	473.41	808.0	341.51	376.41
OSBPL3	67.12	10.16	138.1	341.51	205.5	759.08	226.54	197.09	358.54	236.21	457.25	647.07	307.69	397.93	406.31	248.0	397.93	234.57	454.09	444.72	265.87	571.05	269.6	395.18	346.29	205.5	346.29	312.0	521.76	277.2	624.99	327.56	368.65	356.05	426.57	423.61	525.39	248.0	555.41	409.15	753.83	223.41
OTUD4	51.71	102.97	132.44	144.01	146.03	164.42	180.02	102.25	420.68	305.55	497.0	400.71	255.0	460.44	358.54	264.03	441.64	287.01	275.28	264.03	242.88	256.78	206.94	490.14	339.14	258.57	262.2	264.03	279.14	273.37	260.38	269.6	267.73	299.25	329.84	158.79	287.01	231.32	384.34	395.18	303.44	281.09
PANK3	115.16	242.88	127.89	193.01	114.36	141.02	191.67	73.54	325.29	153.34	432.53	358.54	281.09	343.89	361.04	273.37	351.14	299.25	334.46	271.48	220.32	332.14	126.12	336.79	241.19	176.29	244.57	249.73	303.44	194.36	260.38	209.84	356.05	348.71	301.33	232.94	336.79	123.5	348.71	351.14	295.11	307.69
PAPD4	145.02	130.6	287.01	490.14	412.0	616.37	373.81	397.93	1059.11	536.45	988.12	941.27	525.39	1199.98	1088.92	728.11	1001.93	660.68	587.13	624.99	587.13	698.41	579.04	854.13	551.56	579.04	819.3	638.15	802.41	406.31	463.65	651.58	738.29	638.15	684.02	660.68	713.11	460.44	1111.82	860.08	688.78	543.96
PAQR3	49.56	39.5	63.89	120.1	74.58	101.54	187.71	61.68	287.01	115.97	297.17	211.31	144.01	368.65	214.27	167.9	267.73	214.27	244.57	195.72	195.72	159.9	100.83	299.25	131.51	136.19	249.73	173.85	153.34	140.04	251.48	171.45	164.42	220.32	191.67	131.51	237.86	117.6	260.38	273.37	197.09	195.72
PDCD4	902.89	483.38	4512.4	5751.61	5672.41	5441.3	4903.87	3901.01	10808.41	5183.54	14561.8	9344.14	10659.59	19214.73	16611.71	11827.67	14561.8	6887.62	9215.48	9344.14	11112.3	10440.2	5006.93	12943.04	7180.15	7331.05	8022.41	10883.59	10585.95	9088.59	10659.59	10154.69	12764.83	15392.14	11267.44	10585.95	13033.07	6207.38	17681.08	8598.28	11664.82	5751.61
PHF16	46.5	54.33	74.58	61.25	66.18	71.0	82.87	34.02	92.7	55.1	109.66	126.12	86.43	98.04	119.26	77.25	94.67	66.18	75.11	69.03	62.56	77.79	42.11	74.58	76.17	56.28	84.63	77.79	88.26	88.88	90.14	79.45	98.73	111.21	97.36	62.56	85.22	64.34	109.66	145.02	75.64	51.71
PHF20L1	35.5	34.26	450.94	647.07	381.68	348.71	571.05	177.53	571.05	384.34	748.61	1662.49	1286.18	753.83	684.02	1081.39	703.28	660.68	813.63	753.83	743.43	543.96	432.53	764.36	642.59	400.71	1331.57	780.44	872.1	518.15	1008.9	718.08	698.41	1119.56	934.76	890.44	1001.93	441.64	1008.9	1519.15	1104.13	521.76
PHF3	29.91	58.3	221.86	237.86	277.2	318.57	339.14	199.85	836.53	595.34	780.44	638.15	450.94	1191.69	934.76	563.18	1059.11	547.75	435.55	599.49	346.29	521.76	669.92	575.03	629.35	651.58	547.75	503.95	583.07	460.44	392.44	567.1	642.59	579.04	555.41	358.54	521.76	346.29	738.29	674.59	521.76	587.13
PLRG1	529.06	595.34	713.11	1030.12	1151.06	934.76	988.12	941.27	1331.57	651.58	1733.13	1936.53	1286.18	1594.73	1977.24	1313.23	1340.84	1143.1	1407.55	1159.07	1225.22	1369.04	775.05	1151.06	967.76	934.76	1487.87	1242.34	1268.46	896.64	1208.34	1111.82	1617.0	1806.78	1498.22	1378.57	1359.57	1001.93	1457.23	1697.45	1313.23	728.11
PRKAA2	24.11	6.73	60.39	39.22	36.01	23.59	50.63	18.03	87.65	55.1	141.02	173.85	49.21	151.22	104.42	49.56	142.01	45.21	71.0	44.57	41.52	72.52	40.36	108.14	44.25	57.89	46.18	50.63	51.35	46.84	60.39	44.89	59.97	67.12	66.65	41.52	63.89	24.63	73.54	63.89	58.71	46.18
PTBP2	68.55	20.71	125.24	190.34	212.78	166.73	223.41	81.71	642.59	251.48	656.11	848.22	497.0	612.11	633.73	500.46	571.05	346.29	392.44	346.29	305.55	307.69	269.6	521.76	301.33	224.97	521.76	275.28	438.59	293.07	392.44	493.56	403.5	444.72	567.1	463.65	346.29	212.78	571.05	555.41	454.09	236.21
PYGO1	3.99	0.61	32.82	47.5	58.3	55.49	83.45	46.18	180.02	93.35	208.38	131.51	83.45	236.21	151.22	68.07	224.97	108.9	105.89	81.71	74.58	100.13	75.11	171.45	119.26	127.0	86.43	80.01	105.15	94.01	75.64	100.83	108.14	97.36	116.78	67.59	108.9	52.82	111.21	147.06	98.04	123.5
QSER1	12.55	14.24	75.64	84.04	71.5	91.41	109.66	47.17	211.31	166.73	279.14	175.07	154.42	269.6	260.38	172.65	295.11	135.24	130.6	148.09	110.43	152.28	108.9	157.68	151.22	151.22	169.07	154.42	159.9	120.1	113.56	170.25	158.79	170.25	182.55	92.7	148.09	94.67	156.59	206.94	176.29	166.73
RAB3GAP2	36.01	35.5	139.07	166.73	136.19	135.24	232.94	96.68	346.29	167.9	450.94	412.0	289.02	361.04	384.34	303.44	353.59	236.21	299.25	242.88	258.57	255.0	177.53	303.44	224.97	212.78	301.33	212.78	275.28	205.5	293.07	246.28	297.17	323.03	332.14	228.13	285.03	172.65	297.17	381.68	285.03	232.94
RBMS3	10.47	13.52	131.51	176.29	194.36	229.72	336.79	244.57	583.07	275.28	466.88	587.13	332.14	728.11	733.19	305.55	540.19	277.2	361.04	215.77	256.78	307.69	253.23	583.07	305.55	366.09	417.77	260.38	287.01	248.0	258.57	277.2	309.83	307.69	414.87	403.5	339.14	249.73	329.84	327.56	217.27	397.93
RBPJ	199.85	107.38	555.41	389.72	603.67	543.96	511.0	567.1	928.3	583.07	848.22	759.08	514.56	785.88	967.76	679.29	941.27	575.03	551.56	579.04	507.46	660.68	743.43	764.36	753.83	603.67	688.78	603.67	656.11	559.28	507.46	595.34	603.67	684.02	603.67	429.54	583.07	476.71	915.51	674.59	723.08	532.74
RC3H1	18.16	25.91	61.25	85.82	82.29	78.89	70.01	35.0	218.79	126.12	285.03	191.67	121.79	283.05	221.86	142.01	223.41	131.51	152.28	111.21	91.41	125.24	106.63	197.09	133.36	139.07	175.07	119.26	132.44	77.79	114.36	120.94	123.5	158.79	197.09	136.19	156.59	80.57	204.07	126.12	149.12	103.69
RGPD5	29.27	49.91	103.69	120.94	148.09	163.28	140.04	110.43	329.84	118.43	551.56	368.65	318.57	332.14	555.41	301.33	323.03	205.5	147.06	164.42	145.02	186.4	141.02	307.69	171.45	141.02	260.38	190.34	271.48	224.97	215.77	229.72	267.73	420.68	285.03	159.9	217.27	142.01	387.02	231.32	295.11	134.3
RHOQ	555.41	148.09	909.17	902.89	1023.0	878.17	1572.76	583.07	1369.04	848.22	1183.45	2255.7	1059.11	1037.29	2451.44	1135.2	1359.57	896.64	1259.69	961.07	1030.12	1104.13	878.17	2133.97	915.51	1008.9	890.44	947.83	1066.48	921.88	1447.15	915.51	1304.15	1119.56	1457.23	1151.06	1233.75	890.44	941.27	872.1	1066.48	1111.82
RICTOR	11.82	24.11	57.49	70.51	82.87	85.82	82.29	63.0	293.07	134.3	366.09	271.48	171.45	371.22	295.11	193.01	363.56	206.94	191.67	182.55	169.07	157.68	139.07	329.84	157.68	143.01	226.54	173.85	201.25	111.21	151.22	164.42	194.36	217.27	242.88	153.34	156.59	81.14	309.83	287.01	183.82	133.36
RIOK3	170.25	733.19	547.75	603.67	684.02	521.76	713.11	483.38	967.76	447.82	1081.39	1617.0	902.89	1427.22	1477.58	1119.56	1199.98	748.61	738.29	759.08	688.78	733.19	511.0	967.76	599.49	718.08	988.12	753.83	884.29	698.41	638.15	866.07	1023.0	1081.39	995.0	830.75	848.22	595.34	1313.23	1081.39	802.41	665.29
RLF	10.39	20.56	58.3	58.3	72.01	74.58	88.26	36.27	218.79	127.89	199.85	236.21	100.83	229.72	209.84	151.22	202.66	146.03	119.26	111.21	92.7	147.06	143.01	149.12	121.79	108.9	146.03	125.24	140.04	105.15	106.63	115.97	129.69	187.71	130.6	115.16	108.14	80.57	167.9	162.14	118.43	108.14
RNF149	748.61	444.72	444.72	400.71	583.07	511.0	444.72	450.94	743.43	500.46	1066.48	1135.2	583.07	934.76	934.76	764.36	1030.12	525.39	432.53	532.74	567.1	529.06	536.45	708.18	551.56	559.28	587.13	660.68	642.59	490.14	493.56	521.76	540.19	808.0	567.1	486.75	579.04	473.41	890.44	567.1	555.41	423.61
RSPRY1	123.5	138.1	242.88	320.8	237.86	417.77	406.31	231.32	529.06	329.84	647.07	728.11	412.0	753.83	791.35	511.0	620.67	466.88	507.46	368.65	329.84	466.88	351.14	525.39	432.53	426.57	616.37	536.45	529.06	373.81	454.09	457.25	483.38	624.99	612.11	336.79	466.88	329.84	629.35	612.11	463.65	447.82
SEC24B	88.26	198.47	187.71	229.72	205.5	269.6	289.02	167.9	476.71	273.37	612.11	547.75	366.09	629.35	571.05	392.44	493.56	366.09	327.56	429.54	351.14	325.29	297.17	414.87	373.81	264.03	332.14	366.09	412.0	334.46	299.25	395.18	414.87	567.1	423.61	236.21	363.56	343.89	414.87	525.39	361.04	309.83
SLC36A4	90.77	29.48	114.36	114.36	105.15	123.5	129.69	100.83	244.57	117.6	299.25	429.54	215.77	309.83	249.73	205.5	309.83	143.01	158.79	289.02	215.77	157.68	138.1	195.72	90.77	152.28	234.57	205.5	275.28	164.42	297.17	201.25	267.73	262.2	273.37	256.78	228.13	121.79	223.41	348.71	271.48	189.02
SMC5	13.32	32.36	148.09	149.12	205.5	167.9	197.09	105.15	435.55	232.94	490.14	842.36	325.29	540.19	466.88	366.09	426.57	312.0	318.57	281.09	289.02	295.11	239.52	341.51	229.72	293.07	423.61	299.25	299.25	264.03	297.17	343.89	366.09	426.57	397.93	226.54	307.69	162.14	441.64	511.0	312.0	234.57
SRSF10	346.29	514.56	890.44	1519.15	941.27	1304.15	1369.04	620.67	2271.4	1331.57	2319.15	3614.55	1721.16	2434.5	2997.45	1806.78	2645.74	1832.01	1745.2	1896.65	1697.45	1572.76	1295.13	2133.97	1540.37	1477.58	2537.92	1651.0	1963.57	1447.15	1733.13	1870.53	2224.63	1896.65	1923.14	1529.73	1769.57	1295.13	2720.15	2855.44	1950.0	1781.89
TADA2A	83.45	52.82	260.38	198.47	262.2	432.53	260.38	218.79	379.04	253.23	525.39	540.19	281.09	325.29	441.64	429.54	500.46	318.57	258.57	435.55	323.03	348.71	327.56	483.38	379.04	281.09	423.61	265.87	336.79	343.89	258.57	358.54	358.54	312.0	447.82	361.04	297.17	242.88	358.54	532.74	334.46	336.79
TAPT1	217.27	353.59	221.86	441.64	379.04	231.32	490.14	182.55	1088.92	497.0	1259.69	802.41	543.96	1183.45	1059.11	684.02	1529.73	651.58	607.87	890.44	493.56	571.05	563.18	743.43	616.37	514.56	693.58	629.35	785.88	432.53	547.75	748.61	785.88	638.15	872.1	703.28	703.28	438.59	1023.0	791.35	802.41	514.56
TG	432.53	197.09	610654.84	794671.01	794671.01	894051.48	834179.46	663619.99	817012.28	1282030.25	1019901.63	1012856.65	2247670.86	524287.0	2111737.85	1611529.43	1308968.45	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1984025.69	1472666.19	2025714.3	2425749.94	1402917.72	1929772.37	1727194.55	1355129.16	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1131651.83	1085552.95	2263304.65	1634025.56
THOC2	43.32	76.71	373.81	595.34	633.73	607.87	791.35	457.25	854.13	688.78	1378.57	1268.46	733.19	1119.56	1216.75	764.36	1378.57	808.0	802.41	1001.93	842.36	872.1	733.19	915.51	703.28	780.44	1001.93	808.0	1066.48	603.67	842.36	769.69	884.29	759.08	1208.34	703.28	915.51	587.13	961.07	1044.52	988.12	708.18
TNRC6B	26.86	50.98	82.29	80.57	62.12	68.07	83.45	40.36	144.01	118.43	171.45	111.99	105.15	181.28	189.02	107.38	156.59	142.01	121.79	136.19	130.6	141.02	105.89	209.84	175.07	120.1	100.83	111.21	127.89	109.66	158.79	102.25	104.42	125.24	142.01	94.67	131.51	98.73	171.45	187.71	153.34	91.41
TRA2A	262.2	289.02	878.17	1832.01	1806.78	2004.85	961.07	1044.52	2255.7	1540.37	2502.97	1781.89	1594.73	3303.0	2178.83	1369.04	2468.49	1857.6	2400.97	1733.13	1295.13	1721.16	2119.22	2119.22	1733.13	1277.29	2004.85	1304.15	1769.57	1369.04	2351.53	1529.73	1662.49	1561.89	1844.76	1437.15	1870.53	1242.34	2271.4	2163.77	1733.13	1359.57
TRAF6	69.03	60.82	162.14	156.59	98.73	107.38	170.25	67.12	293.07	122.64	277.2	249.73	144.01	312.0	316.37	139.07	209.84	154.42	176.29	186.4	163.28	138.1	137.14	403.5	237.86	125.24	189.02	138.1	151.22	146.03	176.29	149.12	158.79	209.84	217.27	119.26	187.71	147.06	169.07	255.0	163.28	102.25
UBR2	68.55	121.79	194.36	209.84	154.42	209.84	224.97	146.03	356.05	312.0	420.68	325.29	275.28	529.06	454.09	363.56	466.88	301.33	281.09	287.01	279.14	285.03	312.0	376.41	303.44	234.57	358.54	287.01	341.51	244.57	271.48	305.55	307.69	323.03	307.69	269.6	318.57	218.79	497.0	373.81	285.03	228.13
USP24	66.18	88.26	96.01	115.16	144.01	150.17	177.53	98.73	318.57	277.2	384.34	332.14	224.97	339.14	457.25	283.05	406.31	258.57	226.54	287.01	241.19	241.19	281.09	299.25	217.27	242.88	371.22	237.86	353.59	236.21	208.38	255.0	341.51	307.69	309.83	206.94	217.27	183.82	397.93	273.37	291.04	218.79
USP42	40.93	38.67	65.26	57.49	71.0	116.78	87.03	102.97	167.9	140.04	172.65	204.07	143.01	132.44	185.11	117.6	133.36	120.1	111.99	138.1	108.9	108.14	107.38	162.14	132.44	72.52	145.02	142.01	150.17	124.37	119.26	134.3	114.36	169.07	145.02	87.65	112.77	108.9	138.1	178.77	128.79	100.83
UTP15	59.13	54.33	83.45	80.57	53.19	137.14	148.09	78.34	187.71	64.34	198.47	161.02	164.42	175.07	208.38	172.65	175.07	137.14	199.85	186.4	139.07	126.12	82.29	141.02	131.51	60.39	155.5	186.4	178.77	151.22	150.17	158.79	163.28	187.71	169.07	127.0	159.9	118.43	260.38	173.85	177.53	80.01
WAC	420.68	343.89	941.27	947.83	1030.12	1001.93	1277.29	759.08	2133.97	1651.0	2104.58	2061.24	1487.87	2303.12	2075.59	1572.76	2468.49	1388.16	1639.59	1519.15	1167.14	1242.34	1427.22	1733.13	1757.34	1628.26	1594.73	1583.71	1857.6	1331.57	1457.23	1674.06	1936.53	1923.14	1617.0	1331.57	1583.71	1467.37	1857.6	1844.76	1628.26	1806.78
XRN1	16.88	43.02	59.55	74.06	85.22	80.57	83.45	47.84	228.13	123.5	267.73	232.94	140.04	301.33	351.14	208.38	332.14	181.28	154.42	177.53	137.14	157.68	119.26	164.42	134.3	153.34	215.77	152.28	218.79	95.34	133.36	209.84	201.25	206.94	220.32	106.63	161.02	92.7	305.55	232.94	178.77	154.42
YPEL5	1498.22	796.86	1594.73	1498.22	1844.76	1233.75	1427.22	1295.13	2224.63	1709.26	2255.7	2720.15	2004.85	2335.28	2303.12	2004.85	2468.49	1498.22	1733.13	1806.78	1208.34	1936.53	1437.15	2047.0	2287.2	1896.65	1794.29	1819.35	1950.0	1617.0	1477.58	1781.89	2224.63	2148.82	1936.53	1781.89	1936.53	1883.54	1721.16	1769.57	1832.01	1794.29
YTHDC1	258.57	269.6	583.07	769.69	928.3	860.08	808.0	629.35	1651.0	1216.75	1674.06	1662.49	1340.84	1991.0	1963.57	1331.57	2061.24	1225.22	1159.07	1498.22	947.83	1151.06	1295.13	1378.57	1295.13	995.0	1594.73	1208.34	1447.15	1059.11	1119.56	1529.73	1508.65	1350.18	1340.84	733.19	1304.15	967.76	1769.57	1529.73	1295.13	1242.34
YTHDF1	599.49	361.04	575.03	723.08	684.02	884.29	698.41	571.05	890.44	753.83	860.08	921.88	647.07	802.41	1159.07	718.08	928.3	647.07	587.13	791.35	579.04	693.58	674.59	1008.9	890.44	587.13	764.36	802.41	830.75	728.11	647.07	819.3	642.59	802.41	748.61	708.18	764.36	624.99	896.64	878.17	764.36	633.73
ZBTB18	86.43	178.77	190.34	150.17	189.02	124.37	154.42	165.57	356.05	236.21	293.07	246.28	186.4	258.57	299.25	199.85	301.33	199.85	221.86	214.27	197.09	195.72	138.1	277.2	264.03	162.14	223.41	201.25	214.27	206.94	215.77	211.31	189.02	181.28	301.33	154.42	223.41	178.77	303.44	226.54	231.32	170.25
ZC3H15	221.86	246.28	743.43	1059.11	802.41	802.41	1151.06	713.11	1208.34	819.3	1167.14	1359.57	1233.75	1457.23	1697.45	1096.5	1037.29	813.63	1073.91	813.63	995.0	802.41	842.36	1081.39	1001.93	836.53	1119.56	1096.5	1059.11	1030.12	1233.75	884.29	896.64	1208.34	1030.12	981.29	1096.5	915.51	1216.75	1135.2	1104.13	1151.06
ZC3H7A	182.55	220.32	571.05	872.1	674.59	733.19	607.87	547.75	1359.57	884.29	1250.98	1896.65	1001.93	1769.57	1295.13	961.07	1407.55	854.13	1073.91	836.53	728.11	854.13	866.07	1250.98	688.78	802.41	1119.56	842.36	872.1	708.18	1037.29	947.83	967.76	1044.52	915.51	785.88	967.76	679.29	961.07	1250.98	974.5	791.35
ZFAND1	218.79	234.57	575.03	674.59	688.78	1037.29	1183.45	688.78	1697.45	1073.91	1407.55	1519.15	884.29	1508.65	1721.16	1059.11	1745.2	1030.12	1167.14	1119.56	830.75	974.5	1073.91	1199.98	1119.56	1159.07	1183.45	961.07	1044.52	878.17	854.13	1096.5	1167.14	1037.29	1304.15	896.64	1066.48	860.08	1191.69	1313.23	1073.91	1233.75
ZNF267	23.25	11.21	50.98	53.57	76.17	101.54	78.89	70.51	171.45	115.97	134.3	214.27	145.02	289.02	180.02	141.02	202.66	96.01	138.1	75.11	105.15	115.16	108.9	194.36	180.02	92.05	182.55	102.97	107.38	126.12	125.24	143.01	148.09	158.79	122.64	132.44	112.77	126.12	180.02	176.29	161.02	95.34
ZNF326	53.95	93.35	189.02	234.57	206.94	220.32	253.23	131.51	373.81	277.2	450.94	551.56	327.56	457.25	532.74	316.37	376.41	279.14	379.04	293.07	303.44	327.56	363.56	551.56	316.37	353.59	379.04	305.55	336.79	253.23	476.71	343.89	327.56	336.79	303.44	226.54	358.54	180.02	387.02	591.22	376.41	423.61
ZNF395	384.34	186.4	305.55	205.5	373.81	318.57	371.22	291.04	620.67	842.36	698.41	1963.57	595.34	708.18	1277.29	723.08	872.1	571.05	403.5	603.67	406.31	587.13	674.59	947.83	791.35	540.19	532.74	543.96	688.78	514.56	368.65	603.67	808.0	579.04	638.15	351.14	493.56	633.73	961.07	633.73	480.04	638.15
ZNF431	24.11	5.15	139.07	144.01	171.45	258.57	255.0	119.26	379.04	211.31	309.83	1733.13	234.57	351.14	718.08	194.36	1651.0	432.53	432.53	450.94	231.32	275.28	206.94	988.12	368.65	198.47	305.55	202.66	332.14	295.11	269.6	206.94	332.14	297.17	339.14	223.41	928.3	135.24	248.0	420.68	361.04	198.47
ZNF451	37.59	60.39	121.79	212.78	185.11	273.37	199.85	139.07	555.41	307.69	624.99	450.94	279.14	587.13	607.87	412.0	571.05	376.41	346.29	379.04	379.04	346.29	262.2	503.95	332.14	320.8	341.51	356.05	412.0	242.88	297.17	346.29	400.71	406.31	511.0	316.37	387.02	256.78	473.41	525.39	397.93	260.38
