	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
DUOX1	132.44	974.5	8.85	1119.56	289.02	703.28	37.85	323.03	287.01	366.09	497.0	507.46	679.29	412.0	432.53	412.0	379.04	46.18	432.53	775.05	285.03	400.71	934.76	1104.13	723.08	231.32	802.41	429.54	397.93	854.13	72.01	358.54	68.07	406.31	444.72	954.43	493.56	463.65	232.94	113.56	120.1	0.0	0.27	153.34	4123.49	7081.29	5147.73	4095.0	4704.07	2271.4	5255.91	7642.41	6079.61	3303.0	2502.97	5006.93	4704.07	4419.52	6337.83	6471.02	7180.15	1963.57	4903.87	5183.54	5995.9	9540.5	3190.46	5555.65	9409.14	5711.87	6337.83	8134.41	5555.65	6121.9	7485.11	7280.4	1923.14	3060.45	6207.38	5076.84	718.08	6294.04	8479.89	6699.25	2004.85	1508.65	7032.37	4298.64	2287.2	3794.3	3716.2	759.08	5791.62	5672.41	4607.24	2178.83	6121.9	2090.03	6561.36	5711.87	1844.76	5791.62	2434.5	2555.58	4769.75	8538.88	2335.28	4575.41	4123.49	6037.61	890.44	6294.04	5112.16	4239.45	9474.59	8363.13	2335.28	6426.31	2224.63	9025.81	6294.04	7857.29	1487.87	2335.28	7180.15	6561.36	4388.98	8247.98	7032.37	3060.45	4268.94	5292.48	2627.46	3491.39	3614.55	125.24	397.93	674.59	638.15	497.0	466.88
DUOXA1	172.65	2061.24	5.23	1447.15	444.72	1417.35	49.21	9.56	46.18	31.0	559.28	830.75	409.15	4.43	181.28	813.63	140.04	61.68	221.86	981.29	273.37	848.22	1111.82	403.5	1015.93	403.5	860.08	733.19	1044.52	947.83	121.79	199.85	34.02	674.59	708.18	1268.46	426.57	656.11	559.28	239.52	123.5	181.28	271.48	241.19	3955.48	5041.77	4450.27	3419.52	5479.15	1594.73	3639.7	4607.24	3564.78	2240.11	2434.5	4123.49	3716.2	3235.01	5594.3	6561.36	5831.91	1697.45	4704.07	5292.48	4769.75	5831.91	2720.15	4010.71	6699.25	5441.3	5872.48	5872.48	4802.93	5147.73	4802.93	5041.77	1397.83	2591.27	6516.03	2997.45	503.95	7642.41	5183.54	3349.13	1529.73	967.76	4802.93	3589.58	1781.89	2777.33	2777.33	988.12	4671.57	5711.87	5995.9	1819.35	4095.0	1175.27	5112.16	5594.3	1397.83	4388.98	2032.85	1551.09	3690.52	6426.31	1572.76	3349.13	4512.4	4704.07	571.05	4210.15	4268.94	3395.89	6699.25	5791.62	1685.71	4481.23	1407.55	6840.04	6164.49	3820.7	1477.58	1857.6	5441.3	5913.33	2451.44	8778.97	5872.48	1819.35	3742.05	4419.52	1769.57	2193.99	3146.52	122.64	571.05	775.05	775.05	642.59	595.34
EMP2	409.15	4769.75	1066.48	2537.92	6652.97	3325.99	371.22	1844.76	2018.8	3540.14	2796.65	4328.55	5006.93	1991.0	1844.76	2573.36	3467.27	1662.49	2119.22	2664.15	2451.44	1216.75	3124.78	1008.9	813.63	3491.39	3491.39	2627.46	693.58	753.83	2537.92	2287.2	3060.45	2664.15	1519.15	2720.15	2319.15	1909.85	2777.33	2555.58	2855.44	1233.75	1295.13	830.75	22225.61	28723.62	19214.73	22850.48	14561.8	7749.1	12589.08	35609.13	18178.19	17437.64	18819.27	24832.5	18178.19	25354.3	9945.68	23169.48	32092.64	13776.25	11827.67	20451.65	18052.61	19082.0	13872.08	7280.4	30572.63	14262.1	23330.64	10084.54	23986.58	12853.63	13215.02	17681.08	5517.27	16383.0	11112.3	19348.38	7589.61	20030.74	21919.61	25005.23	10659.59	11909.94	14561.8	12329.98	18560.17	17804.06	13586.57	18689.27	11035.54	13968.57	10296.45	22072.07	25179.16	9740.98	9945.68	24660.96	31650.8	26431.04	11909.94	12676.65	18950.18	9279.58	10014.87	16157.44	15180.22	12160.22	9540.5	17927.91	26067.14	22692.63	15075.35	22225.61	14971.21	11267.44	11827.67	26800.01	8134.41	23009.42	18950.18	20170.07	11745.96	55877.28	20170.07	10808.41	18052.61	8538.88	8658.09	18950.18	15075.35	30151.71	16727.26	2816.11	4181.07	5995.9	1350.18	1467.37	1745.2
EPB41L5	220.32	186.4	144.01	107.38	241.19	163.28	68.55	248.0	309.83	291.04	132.44	226.54	373.81	291.04	287.01	256.78	132.44	193.01	167.9	132.44	190.34	133.36	297.17	332.14	301.33	379.04	256.78	249.73	140.04	314.17	271.48	226.54	186.4	460.44	183.82	309.83	115.16	94.67	497.0	406.31	248.0	0.0	0.2	332.14	1286.18	1594.73	1111.82	1397.83	616.37	954.43	872.1	2367.9	1628.26	1639.59	698.41	2335.28	1605.83	1991.0	718.08	1519.15	1427.22	454.09	1159.07	2434.5	1487.87	1733.13	1111.82	813.63	1572.76	713.11	2255.7	1030.12	1331.57	1519.15	1088.92	1295.13	796.86	830.75	1059.11	2400.97	753.83	1427.22	1477.58	2004.85	665.29	954.43	1487.87	1119.56	429.54	1427.22	1583.71	371.22	728.11	1073.91	981.29	848.22	2018.8	954.43	1617.0	1896.65	791.35	1721.16	733.19	1417.35	1159.07	1794.29	587.13	1159.07	1151.06	1407.55	1819.35	1044.52	1044.52	1208.34	2090.03	1519.15	1225.22	1167.14	842.36	1437.15	1397.83	2193.99	1066.48	995.0	884.29	2303.12	1023.0	1991.0	1519.15	587.13	1037.29	1151.06	1167.14	1313.23	1685.71	170.25	429.54	185.11	181.28	178.77	212.78
EPDR1	88.26	37.05	39.22	58.71	11.82	20.86	33.78	9.93	102.97	150.17	103.69	27.64	9.06	30.56	60.82	77.25	84.04	29.48	30.12	15.11	136.19	31.45	237.86	29.27	6.73	67.12	59.97	55.1	9.7	25.54	43.32	147.06	67.12	24.11	7.0	60.82	119.26	450.94	155.5	236.21	124.37	0.0	0.42	559.28	1407.55	3665.02	1950.0	3443.31	1286.18	595.34	2855.44	2935.74	2591.27	848.22	363.56	2287.2	2075.59	2004.85	1857.6	2777.33	2335.28	503.95	1225.22	2319.15	1340.84	3443.31	1572.76	1295.13	3639.7	1051.79	2537.92	1561.89	3168.41	2502.97	1487.87	2502.97	1015.93	995.0	567.1	3103.19	1304.15	1605.83	3190.46	1127.35	947.83	1081.39	3589.58	1417.35	444.72	2224.63	981.29	400.71	1417.35	2193.99	1286.18	728.11	2609.3	567.1	2271.4	2720.15	679.29	4152.18	1119.56	1175.27	1733.13	1268.46	470.14	2520.38	2434.5	1977.24	1617.0	1794.29	2193.99	2796.65	1819.35	1151.06	934.76	1769.57	2148.82	2627.46	2573.36	1540.37	3349.13	915.51	1781.89	1950.0	1313.23	2335.28	3491.39	860.08	414.87	1757.34	1819.35	974.5	1651.0	125.24	180.02	102.25	100.83	120.94	211.31
ERVFRD-1	0.65	0.95	0.31	0.33	0.57	0.33	0.32	0.0	0.33	0.0	0.95	0.0	0.35	0.66	0.71	0.36	0.36	0.35	0.6	0.83	2.86	0.0	0.53	0.51	0.0	0.48	1.62	0.0	0.48	0.0	1.64	0.0	0.0	0.91	0.0	0.0	1.36	4.7	2.89	2.14	0.0	0.0	0.0	1.2	4.5	8.32	35.76	15.91	13.42	9.7	29.27	20.26	16.27	31.9	7.46	18.84	29.91	17.51	11.64	14.45	9.63	1.99	8.13	26.86	16.27	20.26	13.03	10.39	24.63	8.92	18.56	7.06	47.17	32.59	17.13	18.29	18.97	3.76	3.17	9.41	15.56	17.25	27.25	13.22	6.73	23.59	9.41	6.41	4.35	36.53	14.78	4.94	10.55	23.08	11.73	4.24	25.35	3.86	13.12	14.35	4.58	27.05	6.73	16.39	18.84	8.38	2.97	4.82	12.83	27.64	15.45	30.34	6.89	5.36	10.39	12.09	21.63	15.34	1.51	14.78	13.72	8.65	43.32	6.84	23.08	21.47	28.65	8.78	10.55	12.83	8.06	10.55	25.72	11.47	8.71	0.23	1.38	0.56	0.23	0.85	0.55
FAM105A	118.43	132.44	53.19	58.71	100.13	738.29	348.71	25.54	84.63	187.71	50.98	40.64	22.1	68.07	66.65	256.78	96.01	55.49	9.85	61.68	201.25	47.5	180.02	38.95	16.88	84.63	122.64	70.51	9.56	33.54	112.77	23.93	221.86	94.67	25.17	52.08	135.24	127.0	105.15	127.0	305.55	0.0	0.31	63.89	967.76	3589.58	1059.11	3103.19	1340.84	547.75	2835.7	4419.52	1250.98	1883.54	2193.99	3280.18	947.83	2075.59	1407.55	2209.26	2520.38	500.46	1167.14	4937.99	2796.65	2796.65	1233.75	1407.55	2119.22	1313.23	5791.62	981.29	3742.05	2520.38	1781.89	1991.0	753.83	1697.45	1304.15	2915.45	403.5	1259.69	1437.15	647.07	860.08	785.88	2271.4	1175.27	1242.34	1857.6	2645.74	497.0	1340.84	4388.98	1437.15	1709.26	3146.52	136.19	1427.22	5672.41	1127.35	5255.91	470.14	1183.45	2609.3	896.64	400.71	1870.53	2303.12	2255.7	651.58	1508.65	2104.58	2485.67	1819.35	4038.61	1313.23	1896.65	703.28	3982.99	1519.15	1313.23	1594.73	1081.39	1561.89	3874.05	591.22	2875.3	3901.01	1572.76	1359.57	2701.35	1819.35	753.83	1991.0	101.54	108.14	90.77	81.14	48.87	76.17
FASN	1639.59	796.86	819.3	8963.45	6294.04	1551.09	1457.23	974.5	1709.26	2816.11	2591.27	1806.78	8479.89	1286.18	954.43	1304.15	2997.45	1794.29	1073.91	3874.05	2193.99	1697.45	5006.93	3018.3	3874.05	2032.85	1250.98	2224.63	4095.0	1844.76	1857.6	1781.89	1331.57	1051.79	2591.27	3018.3	1685.71	4268.94	2018.8	1923.14	4038.61	0.0	0.0	2573.36	8191.0	9540.5	9945.68	9088.59	8598.28	4869.99	5147.73	7966.99	9088.59	5292.48	4575.41	5555.65	7537.18	7382.04	9673.69	7382.04	8022.41	7485.11	5041.77	8479.89	7180.15	9151.82	7032.37	6037.61	7230.1	9409.14	6381.92	13033.07	7803.01	7749.1	8022.41	6792.79	4038.61	4972.34	11424.74	7382.04	5366.37	19482.97	11035.54	11664.82	6250.56	3690.52	6652.97	6516.03	9088.59	4010.71	5672.41	4903.87	8963.45	15285.81	6381.92	3349.13	7081.29	7230.1	8479.89	9945.68	7485.11	4769.75	9673.69	3955.48	6516.03	9215.48	5831.91	7382.04	8305.36	11267.44	1909.85	6792.79	9088.59	10883.59	8247.98	13033.07	2573.36	7857.29	6207.38	9673.69	19348.38	5555.65	4671.57	4543.8	12244.81	11504.21	7966.99	7280.4	8134.41	6250.56	12943.04	5292.48	4869.99	4972.34	8363.13	4639.29	2240.11	2796.65	1268.46	2367.9	1081.39
FBLN5	466.88	172.65	189.02	108.14	33.54	13.22	218.79	85.82	193.01	555.41	125.24	181.28	142.01	423.61	890.44	547.75	624.99	75.11	170.25	156.59	555.41	87.65	669.92	136.19	35.0	579.04	450.94	212.78	50.27	217.27	320.8	89.51	309.83	379.04	54.72	642.59	660.68	301.33	1628.26	629.35	80.57	0.0	0.67	205.5	5517.27	8718.32	2935.74	4671.57	708.18	1388.16	14262.1	13776.25	3103.19	4388.98	2796.65	5366.37	7966.99	2119.22	5219.6	3564.78	4512.4	466.88	2032.85	11189.6	5147.73	4481.23	2163.77	5112.16	4210.15	2303.12	7331.05	2271.4	6337.83	5995.9	4937.99	3847.29	1066.48	4123.49	4607.24	5711.87	1135.2	3325.99	2935.74	3847.29	1806.78	3060.45	4210.15	5112.16	2664.15	4704.07	2303.12	674.59	2104.58	3257.52	7695.57	988.12	8247.98	1963.57	5147.73	7280.4	1662.49	7433.4	896.64	3467.27	4038.61	4388.98	1870.53	4769.75	3874.05	4937.99	928.3	4358.66	4869.99	3349.13	5594.3	3901.01	2240.11	6471.02	2796.65	4095.0	5255.91	6294.04	2555.58	2835.7	4328.55	3847.29	1583.71	6840.04	2303.12	6426.31	3491.39	8247.98	6037.61	6840.04	3874.05	320.8	175.07	366.09	255.0	332.14	368.65
FCN3	72.01	38.4	74.06	61.68	7.28	10.47	48.87	11.13	1.39	10.47	3.82	30.56	29.7	20.26	129.69	15.45	25.91	642.59	37.32	19.39	16.15	20.41	38.95	18.56	27.44	94.67	49.56	17.9	11.91	34.02	42.41	16.39	37.85	30.56	25.17	46.18	35.76	55.89	61.25	110.43	35.25	0.0	0.79	260.38	2451.44	8191.0	7642.41	624.99	8598.28	17078.76	10808.41	12943.04	8247.98	40062.48	3235.01	5831.91	19082.0	4704.07	6699.25	16611.71	18560.17	10084.54	9740.98	4152.18	5633.22	13872.08	5517.27	21172.91	10959.3	16269.83	66912.05	7642.41	10959.3	10084.54	34635.37	629.35	7966.99	37121.34	44452.21	15824.9	591.22	27363.16	11345.82	16611.71	8598.28	4671.57	2335.28	4095.0	11745.96	5633.22	1639.59	1498.22	12764.83	4736.79	19892.37	2018.8	34158.52	134.3	3874.05	11035.54	7280.4	22380.2	5791.62	15499.21	15392.14	5183.54	7180.15	12329.98	16611.71	3349.13	2956.17	19892.37	28132.47	8247.98	15392.14	11992.79	5147.73	11745.96	1127.35	4607.24	29943.43	3060.45	3349.13	14163.58	9344.14	16611.71	967.76	28923.41	4095.0	3103.19	6607.01	25354.3	3190.46	18950.18	39785.74	137.14	43.94	125.24	90.77	81.71	241.19
FMO2	31.67	8.25	48.87	21.01	2.56	0.0	11.55	2.63	2.71	368.65	1.06	7.75	2.14	3.92	1.14	5.73	3.29	0.0	17.25	67.59	90.77	3.38	329.84	2.18	4.43	108.14	1096.5	31.67	4.03	3.63	17.25	22.43	32.82	49.21	3.59	108.14	190.34	68.07	305.55	171.45	34.02	0.0	0.32	50.63	2178.83	4802.93	2645.74	2335.28	251.48	2047.0	3665.02	6381.92	1417.35	1605.83	902.89	5041.77	2119.22	5441.3	2855.44	909.17	4419.52	204.07	1322.37	7433.4	2591.27	3467.27	2451.44	1135.2	3467.27	1844.76	6121.9	1331.57	3467.27	3955.48	3395.89	3614.55	4903.87	1697.45	3103.19	10014.87	848.22	1617.0	3639.7	3168.41	995.0	3716.2	1963.57	4268.94	1167.14	1757.34	5831.91	198.47	1508.65	3491.39	2032.85	1594.73	6516.03	271.48	4736.79	6079.61	1378.57	4328.55	878.17	3190.46	3742.05	3190.46	1662.49	3419.52	1551.09	4575.41	3212.66	3235.01	1709.26	2032.85	1561.89	2720.15	7331.05	3081.75	1519.15	3235.01	2193.99	5041.77	1529.73	1427.22	2875.3	5479.15	2335.28	5913.33	1417.35	698.41	4358.66	4639.29	8778.97	2075.59	2047.0	73.54	271.48	175.07	146.03	88.88	511.0
FOXA2	18.84	0.0	0.0	5.28	2.76	0.0	0.0	267.73	63.45	3.2	2.53	0.0	0.0	100.83	120.94	0.0	13.22	0.0	271.48	0.27	0.3	51.71	6.16	0.0	9.34	0.0	6.06	0.95	2.01	3.35	0.3	0.92	23.93	26.47	9.41	32.59	0.0	3.26	232.94	75.64	258.57	0.0	0.13	11.04	2855.44	1685.71	3614.55	4181.07	1508.65	1313.23	2609.3	3235.01	2224.63	1733.13	503.95	6699.25	5006.93	4607.24	4123.49	2758.13	1388.16	8658.09	3212.66	4358.66	5147.73	3491.39	4210.15	1322.37	4181.07	909.17	2335.28	3419.52	3467.27	1322.37	961.07	3372.43	1359.57	2319.15	1685.71	3395.89	2468.49	3103.19	4328.55	3665.02	1594.73	1175.27	5219.6	3103.19	1268.46	1059.11	1304.15	1407.55	1051.79	11189.6	3928.15	733.19	5479.15	1745.2	5954.47	1697.45	1477.58	9740.98	2148.82	808.0	3589.58	1617.0	1151.06	2520.38	2351.53	1909.85	688.78	6121.9	3690.52	3039.3	480.04	3060.45	1183.45	2720.15	1857.6	4543.8	902.89	1427.22	2047.0	693.58	2271.4	2875.3	1733.13	1044.52	3564.78	273.37	115.97	1769.57	759.08	669.92	1233.75	108.9	27.84	19.53	20.86	6.31	59.55
FREM3	0.0	0.0	0.0	0.0	0.28	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.39	0.0	0.0	0.0	0.0	0.37	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	6.16	4.74	6.06	5.96	0.0	4.66	4.62	8.99	8.38	4.74	11.38	11.47	4.62	6.06	24.28	0.0	15.22	4.66	4.54	4.66	0.0	6.06	7.22	4.58	0.0	0.0	20.11	0.0	33.3	6.06	0.0	7.46	5.82	17.38	0.0	4.62	24.63	0.0	8.65	0.0	8.45	4.62	7.28	25.91	7.46	11.91	33.78	14.56	7.4	0.0	0.0	0.0	9.93	45.85	8.92	29.06	5.92	5.96	4.7	9.56	21.47	6.06	6.06	4.7	0.0	4.66	11.3	4.7	4.66	14.24	6.11	0.0	21.32	0.0	15.22	8.92	4.7	7.82	4.54	15.8	43.94	11.38	10.24	0.0	0.0	8.78	0.0	6.06	16.03	9.85	4.66	0.0	1.6	0.85	0.0	0.0	0.14
GKN2	0.64	0.32	1.5	0.0	1.93	4.06	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	1.91	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	1.16	14.56	20.26	56.28	0.0	0.05	21.16	9151.82	12244.81	4388.98	153724.82	13215.02	6381.92	6792.79	11267.44	15180.22	3491.39	12676.65	18052.61	7589.61	32540.65	13586.57	3515.68	3768.09	6337.83	15075.35	9215.48	21172.91	19892.37	4298.64	1037.29	11189.6	16960.78	5711.87	4481.23	39785.74	8479.89	9279.58	28525.2	4123.49	16383.0	5366.37	150561.19	2997.45	995.0	4607.24	12943.04	2895.31	7081.29	5954.47	7180.15	20030.74	8247.98	9215.48	10084.54	1883.54	127486.83	4038.61	2287.2	21768.19	7032.37	4639.29	14461.21	16383.0	21026.65	5366.37	5913.33	5112.16	2303.12	4802.93	11584.24	22850.48	7695.57	1870.53	9740.98	33455.53	55877.28	5147.73	26431.04	2682.69	6079.61	18052.61	24832.5	7537.18	6207.38	11035.54	6887.62	3039.3	6745.86	3589.58	12676.65	46662.28	2758.13	2591.27	24321.43	4152.18	6699.25	16157.44	8.38	6.36	24.99	9.93	2.43	24.28
GPD1L	145.02	323.03	111.21	483.38	163.28	318.57	47.5	279.14	301.33	547.75	89.51	457.25	309.83	748.61	312.0	163.28	255.0	94.67	551.56	165.57	293.07	52.45	269.6	66.18	66.18	180.02	170.25	95.34	17.9	13.12	172.65	215.77	119.26	145.02	92.7	224.97	127.89	107.38	318.57	299.25	170.25	0.0	0.29	197.09	995.0	1870.53	1159.07	2434.5	587.13	1437.15	1806.78	2520.38	1572.76	2178.83	473.41	1540.37	1477.58	1896.65	1594.73	1769.57	2271.4	285.03	1096.5	1322.37	1487.87	4095.0	2061.24	1233.75	2485.67	934.76	2090.03	1322.37	2915.45	2133.97	1733.13	2090.03	896.64	723.08	896.64	2319.15	748.61	2351.53	1936.53	1529.73	928.3	1378.57	2816.11	1781.89	348.71	753.83	1073.91	334.46	1923.14	1870.53	1583.71	753.83	2502.97	651.58	1963.57	1977.24	497.0	2047.0	836.53	1350.18	1769.57	2075.59	780.44	1883.54	1268.46	2271.4	1709.26	1030.12	1721.16	1388.16	1870.53	1794.29	1498.22	2090.03	1295.13	1844.76	2758.13	2032.85	1508.65	638.15	1277.29	2351.53	1340.84	1697.45	1794.29	902.89	713.11	1923.14	2018.8	1151.06	1111.82	144.01	204.07	229.72	253.23	140.04	131.51
GPM6A	4.39	0.0	12.18	0.0	34.51	0.0	0.95	0.21	0.22	0.0	0.0	0.95	1.27	14.14	1.66	4.86	2.07	0.0	0.0	2.01	4.62	9.93	1.53	0.0	5.68	0.0	24.63	7.46	2.71	2.89	0.0	11.3	3.82	1.14	15.22	1.91	5.96	2.78	19.39	29.7	14.45	0.0	0.0	11.04	2133.97	2090.03	493.56	1950.0	215.77	191.67	1769.57	4607.24	2163.77	896.64	1127.35	1844.76	1437.15	1540.37	212.78	1066.48	2351.53	244.57	764.36	2018.8	2384.37	651.58	599.49	279.14	1233.75	713.11	2739.08	115.97	2104.58	2335.28	438.59	1096.5	214.27	1745.2	368.65	1295.13	150.17	733.19	1313.23	921.88	281.09	684.02	1697.45	518.15	967.76	759.08	3768.09	1199.98	334.46	665.29	961.07	612.11	3212.66	473.41	896.64	2163.77	1781.89	2193.99	599.49	638.15	928.3	1088.92	454.09	473.41	629.35	1044.52	1844.76	1059.11	1015.93	808.0	819.3	486.75	1225.22	403.5	1259.69	1685.71	583.07	1081.39	1322.37	743.43	368.65	2367.9	1096.5	1709.26	1073.91	190.34	339.14	2384.37	1950.0	2061.24	1322.37	7.06	2.71	4.17	2.66	0.15	4.86
