	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.UZ.A9PR.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13FH7.0126.SM.5KLZ1	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV
SCEL	0.0	11.64	2.71	2796.65	934.76	1378.57	9.34	2591.27	4181.07	12.83	1806.78	2855.44	132.44	1674.06	1340.84	2739.08	543.96	0.0	0.26	0.11	0.0	0.0	0.04	0.54	0.92	0.89	0.99	0.01	0.52	312.0	1030.12	14.56	13.93	25.35
SEPT11	320.8	1030.12	1199.98	2502.97	842.36	1340.84	896.64	1313.23	2032.85	909.17	1832.01	1605.83	890.44	1313.23	1477.58	928.3	947.83	239.52	703.28	403.5	575.03	599.49	429.54	392.44	708.18	759.08	271.48	775.05	638.15	438.59	620.67	595.34	255.0	389.72
SIPA1L1	460.44	633.73	423.61	1909.85	651.58	1963.57	1359.57	1427.22	1295.13	392.44	1340.84	1286.18	1233.75	1508.65	1313.23	1447.15	1066.48	511.0	348.71	224.97	267.73	371.22	417.77	303.44	406.31	323.03	260.38	244.57	414.87	1073.91	954.43	470.14	660.68	460.44
SLC16A12	1.38	3928.15	10.63	830.75	81.71	961.07	460.44	555.41	1697.45	221.86	884.29	567.1	1295.13	118.43	1037.29	543.96	61.68	9.13	19.97	7.34	7.69	6.36	20.11	4.03	85.22	376.41	2.68	7.94	43.94	7.82	17.25	145.02	193.01	265.87
SLC2A13	48.87	134.3	86.43	466.88	187.71	651.58	175.07	376.41	511.0	105.15	323.03	368.65	490.14	395.18	269.6	237.86	447.82	41.81	82.87	37.85	125.24	63.89	74.58	77.79	53.95	50.98	90.77	37.59	105.15	91.41	80.01	53.57	21.94	24.99
SLC9C1	0.0	2.51	2.05	18.97	0.39	8.19	7.63	35.76	24.46	0.39	5.54	5.15	8.85	8.71	12.0	17.38	4.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	6.11	3.82	0.79	0.52
SMURF1	193.01	638.15	409.15	703.28	358.54	412.0	239.52	490.14	435.55	329.84	387.02	525.39	346.29	525.39	483.38	420.68	470.14	103.69	152.28	108.9	87.65	111.99	119.26	96.01	141.02	205.5	182.55	172.65	108.9	167.9	205.5	173.85	152.28	139.07
SOX9	78.89	1151.06	1457.23	3212.66	1030.12	2351.53	1407.55	3716.2	3847.29	2178.83	2935.74	2047.0	1745.2	2720.15	6840.04	1909.85	1617.0	17.64	346.29	20.56	15.34	67.59	105.15	57.49	88.26	2701.35	102.97	4.7	21.94	532.74	320.8	665.29	1359.57	693.58
SSH2	32.36	325.29	236.21	1167.14	447.82	764.36	426.57	764.36	1023.0	309.83	764.36	988.12	967.76	995.0	848.22	688.78	563.18	470.14	318.57	212.78	303.44	373.81	215.77	285.03	281.09	212.78	231.32	208.38	293.07	309.83	361.04	500.46	258.57	325.29
STARD3NL	733.19	1143.1	866.07	2303.12	1081.39	954.43	1081.39	1639.59	1467.37	934.76	1674.06	1551.09	1015.93	1639.59	1594.73	1498.22	909.17	175.07	403.5	103.69	312.0	309.83	242.88	297.17	384.34	414.87	185.11	143.01	327.56	684.02	616.37	1001.93	988.12	941.27
STOX2	3.59	44.25	53.57	164.42	46.18	186.4	58.71	116.78	171.45	42.71	94.01	137.14	68.55	159.9	127.89	77.79	130.6	7.28	14.45	9.93	7.22	16.51	39.22	21.32	4.82	33.3	16.27	2.46	74.58	25.17	42.11	71.0	87.03	72.01
TMEM102	166.73	159.9	217.27	281.09	297.17	226.54	256.78	376.41	281.09	275.28	473.41	363.56	363.56	438.59	429.54	412.0	264.03	178.77	131.51	66.65	157.68	155.5	88.88	73.03	90.77	92.05	63.89	73.03	121.79	301.33	154.42	152.28	173.85	214.27
TNFSF13	543.96	2573.36	1208.34	7180.15	2520.38	4639.29	3540.14	5219.6	5219.6	2148.82	6294.04	4671.57	3982.99	3928.15	4769.75	5219.6	2664.15	229.72	447.82	146.03	403.5	389.72	412.0	567.1	346.29	397.93	201.25	163.28	163.28	1369.04	1250.98	884.29	1183.45	718.08
TP53I13	70.51	1733.13	733.19	1769.57	1030.12	1268.46	1001.93	2537.92	1950.0	693.58	1923.14	1844.76	2255.7	1896.65	1923.14	3060.45	802.41	1167.14	633.73	1651.0	733.19	571.05	684.02	785.88	909.17	642.59	1498.22	825.0	473.41	1697.45	1250.98	890.44	1096.5	1066.48
TPK1	140.04	143.01	98.04	1757.34	115.16	463.65	426.57	1242.34	1322.37	101.54	1030.12	1008.9	909.17	497.0	1096.5	1008.9	183.82	139.07	96.68	59.13	165.57	150.17	78.89	79.45	125.24	52.45	81.14	58.71	98.04	101.54	105.15	133.36	92.05	88.88
TRIOBP	503.95	2303.12	1605.83	3589.58	1030.12	2855.44	1051.79	3257.52	3190.46	1044.52	2835.7	2956.17	4575.41	2537.92	3639.7	3018.3	1950.0	363.56	400.71	341.51	536.45	373.81	323.03	454.09	802.41	620.67	371.22	183.82	244.57	1721.16	1088.92	1073.91	1037.29	1216.75
TTC28	93.35	151.22	242.88	291.04	199.85	368.65	170.25	231.32	299.25	146.03	209.84	281.09	156.59	214.27	218.79	175.07	376.41	62.12	83.45	35.25	63.45	105.89	77.79	56.68	40.07	76.17	63.0	25.91	72.01	147.06	156.59	155.5	190.34	212.78
UBAC2	1794.29	1883.54	2047.0	2997.45	1286.18	2645.74	2287.2	3146.52	3235.01	1487.87	2935.74	2591.27	2682.69	2287.2	2645.74	2997.45	2090.03	1233.75	1378.57	1259.69	1561.89	1037.29	988.12	1427.22	1059.11	1277.29	866.07	1119.56	1674.06	1369.04	1437.15	1304.15	1322.37	1561.89
VCAN	759.08	2193.99	2400.97	16727.26	2133.97	6652.97	2434.5	5147.73	14663.09	780.44	6294.04	12764.83	4903.87	13776.25	13033.07	9344.14	9876.98	48.52	75.64	3.69	17.13	26.47	5.82	31.45	27.25	830.75	93.35	84.63	9.7	220.32	629.35	224.97	205.5	825.0
VGLL4	1073.91	2075.59	1561.89	3257.52	995.0	1651.0	1583.71	2163.77	3146.52	1378.57	2720.15	2303.12	1936.53	2287.2	2701.35	2502.97	1662.49	157.68	269.6	150.17	229.72	217.27	180.02	211.31	165.57	738.29	269.6	170.25	180.02	1277.29	1151.06	1250.98	2075.59	1286.18
WDR54	500.46	1304.15	785.88	616.37	842.36	988.12	575.03	665.29	791.35	1313.23	934.76	769.69	1427.22	743.43	921.88	638.15	1159.07	55.49	87.65	33.78	29.27	105.15	58.3	57.49	100.83	151.22	41.52	10.88	34.26	693.58	633.73	343.89	332.14	361.04
YWHAE	10084.54	8598.28	11827.67	19214.73	12853.63	13215.02	13399.51	18431.96	20451.65	12764.83	14561.8	19892.37	18178.19	16383.0	17317.18	16843.62	11909.94	5555.65	6983.79	6983.79	6652.97	5479.15	9088.59	7695.57	7911.95	6250.56	4769.75	7280.4	5555.65	12160.22	9876.98	14461.21	9279.58	13306.94
ZCCHC14	152.28	764.36	361.04	532.74	258.57	571.05	271.48	547.75	802.41	249.73	351.14	669.92	289.02	575.03	708.18	493.56	285.03	201.25	166.73	255.0	204.07	379.04	178.77	206.94	204.07	283.05	251.48	224.97	320.8	409.15	397.93	323.03	366.09	269.6
ZMYND10	23.93	60304.42	38.67	529.06	406.31	836.53	137.14	412.0	775.05	211.31	1088.92	808.0	1044.52	764.36	688.78	379.04	587.13	2.36	12.27	1.58	5.5	9.27	11.64	10.39	7.0	6.52	14.45	0.61	8.78	258.57	182.55	68.07	99.43	96.01
ZNF592	232.94	199.85	329.84	406.31	329.84	497.0	314.17	353.59	476.71	301.33	316.37	395.18	229.72	470.14	358.54	320.8	389.72	199.85	198.47	135.24	153.34	199.85	251.48	153.34	234.57	249.73	155.5	118.43	139.07	285.03	309.83	351.14	334.46	265.87
