	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.DF.A2KZ.01A.11R.A213.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
LATS1	75.64	29.48	78.89	346.29	155.5	241.19	190.34	239.52	305.55	206.94	249.73	182.55	173.85	165.57	215.77	303.44	178.77	85.22	197.09	116.78	287.01	105.15	182.55	191.67	441.64	127.0	175.07	320.8	329.84	279.14	275.28	149.12	356.05	460.44	295.11	417.77	406.31	371.22	323.03	356.05	301.33	356.05	138.1	435.55	154.42	629.35	75.11	77.79	47.17	52.45	104.42	68.07	71.0	127.89
LTN1	56.28	66.18	52.45	417.77	155.5	157.68	221.86	220.32	299.25	199.85	289.02	145.02	128.79	170.25	232.94	241.19	154.42	101.54	187.71	99.43	260.38	68.07	209.84	129.69	381.68	94.67	153.34	253.23	299.25	204.07	202.66	139.07	329.84	612.11	285.03	341.51	490.14	435.55	253.23	325.29	167.9	289.02	75.11	358.54	124.37	490.14	57.08	89.51	34.02	60.39	34.02	69.03	33.78	57.49
MARK2	241.19	486.75	518.15	884.29	563.18	733.19	928.3	791.35	836.53	476.71	656.11	753.83	1242.34	728.11	896.64	819.3	571.05	743.43	780.44	486.75	693.58	406.31	642.59	536.45	836.53	743.43	693.58	688.78	738.29	872.1	808.0	612.11	819.3	890.44	934.76	759.08	921.88	961.07	872.1	941.27	473.41	819.3	638.15	466.88	599.49	703.28	220.32	279.14	312.0	571.05	547.75	540.19	356.05	318.57
MGA	52.45	30.34	40.64	265.87	74.06	107.38	156.59	205.5	217.27	88.26	166.73	102.97	105.15	124.37	99.43	190.34	104.42	95.34	175.07	99.43	189.02	87.03	165.57	67.59	339.14	91.41	113.56	220.32	226.54	231.32	199.85	115.97	289.02	466.88	153.34	318.57	409.15	249.73	271.48	281.09	115.16	234.57	51.35	194.36	90.77	285.03	42.11	38.67	62.12	73.03	60.39	46.84	63.0	59.97
MGP	82378.63	48307.85	12853.63	229795.93	469249.9	998912.34	1139523.1	659036.03	736332.6	623486.02	716197.51	462789.59	489177.0	569761.05	1196176.45	414208.18	539026.74	443937.41	623486.02	256748.15	434801.29	402881.61	706337.4	687022.54	343510.77	301123.38	425853.18	453265.5	462789.59	408505.64	800198.39	509950.32	288856.81	358098.26	598087.73	378516.38	585779.24	1524599.69	400098.69	565825.41	869603.57	331809.5	1100706.72	845824.19	1308968.45	614902.29	624.99	808.0	1159.07	1685.71	15180.22	1437.15	5219.6	200048.85
MTX3	8.65	5.11	6.73	312.0	44.25	66.18	148.09	69.03	138.1	120.1	195.72	40.93	45.85	68.55	103.69	66.18	59.13	18.29	73.54	19.82	127.89	16.39	102.97	42.71	249.73	21.01	39.5	146.03	131.51	114.36	113.56	50.63	190.34	363.56	133.36	214.27	281.09	289.02	209.84	92.7	56.68	183.82	19.25	112.77	75.11	229.72	13.62	24.63	3.79	18.29	8.51	11.04	9.63	8.19
NARS	802.41	753.83	688.78	2004.85	1605.83	2701.35	1936.53	1909.85	2520.38	1286.18	2209.26	1594.73	1794.29	1794.29	1909.85	2032.85	1447.15	2075.59	1844.76	1551.09	1781.89	2047.0	1977.24	1896.65	2209.26	1498.22	1572.76	2047.0	2255.7	2520.38	1844.76	1769.57	2319.15	1721.16	1896.65	2701.35	2163.77	2682.69	2018.8	1936.53	2502.97	2303.12	1167.14	3103.19	2090.03	1733.13	1551.09	830.75	995.0	1119.56	1167.14	954.43	1175.27	1757.34
NCOA3	158.79	128.79	156.59	583.07	171.45	297.17	651.58	223.41	358.54	275.28	420.68	214.27	231.32	348.71	373.81	277.2	231.32	258.57	237.86	215.77	275.28	205.5	307.69	195.72	412.0	141.02	198.47	361.04	358.54	320.8	281.09	180.02	384.34	371.22	395.18	473.41	320.8	242.88	460.44	202.66	158.79	285.03	51.35	351.14	148.09	361.04	88.88	134.3	80.01	190.34	163.28	111.99	74.58	189.02
NR1D2	132.44	98.04	86.43	866.07	180.02	348.71	379.04	571.05	629.35	287.01	221.86	457.25	132.44	182.55	336.79	555.41	507.46	204.07	603.67	239.52	493.56	246.28	423.61	271.48	1208.34	246.28	299.25	1397.83	669.92	1059.11	470.14	432.53	1167.14	1191.69	934.76	836.53	1127.35	733.19	567.1	665.29	368.65	616.37	599.49	1073.91	525.39	1151.06	94.01	29.27	101.54	201.25	87.65	111.99	52.45	75.64
PBLD	81.14	46.5	28.65	105.15	146.03	153.34	162.14	130.6	167.9	147.06	195.72	189.02	264.03	62.12	285.03	111.99	88.26	31.22	141.02	114.36	135.24	57.89	85.22	52.45	173.85	127.0	113.56	100.83	180.02	178.77	156.59	172.65	177.53	171.45	301.33	236.21	575.03	316.37	126.12	218.79	87.65	226.54	49.21	293.07	127.0	201.25	37.85	29.91	50.63	47.84	95.34	42.71	139.07	18.97
PBRM1	166.73	80.57	152.28	848.22	214.27	264.03	532.74	642.59	665.29	363.56	329.84	167.9	291.04	420.68	356.05	438.59	320.8	241.19	366.09	214.27	571.05	169.07	429.54	289.02	708.18	209.84	343.89	540.19	575.03	497.0	466.88	271.48	660.68	669.92	500.46	866.07	1044.52	591.22	718.08	532.74	353.59	551.56	193.01	1143.1	217.27	890.44	144.01	92.7	88.88	125.24	170.25	68.55	82.29	189.02
PHLPP1	53.95	47.5	32.82	190.34	108.14	103.69	84.63	63.89	99.43	76.17	76.71	132.44	85.22	65.26	159.9	211.31	114.36	164.42	178.77	77.79	155.5	89.51	169.07	113.56	197.09	152.28	166.73	262.2	218.79	229.72	195.72	138.1	228.13	389.72	223.41	299.25	312.0	457.25	221.86	163.28	66.65	255.0	195.72	178.77	155.5	244.57	74.06	60.39	75.11	28.04	65.26	26.47	21.47	63.89
PIAS2	133.36	76.71	72.52	329.84	163.28	140.04	234.57	228.13	287.01	204.07	242.88	186.4	183.82	279.14	231.32	206.94	128.79	190.34	206.94	152.28	198.47	228.13	255.0	133.36	299.25	149.12	178.77	249.73	269.6	197.09	236.21	194.36	285.03	287.01	277.2	228.13	283.05	432.53	218.79	165.57	249.73	332.14	61.25	518.15	260.38	316.37	94.67	65.26	140.04	149.12	199.85	74.58	80.57	289.02
PIGN	100.13	134.3	77.25	947.83	228.13	316.37	633.73	208.38	583.07	211.31	435.55	277.2	320.8	500.46	267.73	387.02	136.19	165.57	423.61	205.5	454.09	178.77	429.54	229.72	536.45	223.41	236.21	420.68	441.64	463.65	514.56	265.87	620.67	775.05	587.13	1081.39	1023.0	438.59	432.53	226.54	212.78	718.08	106.63	693.58	500.46	738.29	110.43	66.18	113.56	50.98	112.77	74.06	54.33	73.03
PIK3C2A	140.04	56.28	60.82	836.53	224.97	260.38	543.96	497.0	629.35	371.22	293.07	218.79	201.25	283.05	327.56	353.59	329.84	154.42	303.44	180.02	543.96	176.29	483.38	195.72	780.44	123.5	248.0	497.0	571.05	529.06	429.54	150.17	624.99	525.39	780.44	647.07	559.28	514.56	429.54	336.79	312.0	511.0	96.68	759.08	229.72	728.11	162.14	50.63	73.03	63.0	128.79	70.51	87.65	100.13
PIKFYVE	50.98	14.67	34.75	353.59	86.43	98.04	139.07	178.77	185.11	131.51	151.22	82.87	96.01	100.13	115.97	191.67	108.14	54.72	127.0	76.71	199.85	56.68	169.07	81.14	295.11	61.25	110.43	212.78	231.32	193.01	169.07	102.25	236.21	279.14	307.69	312.0	285.03	271.48	334.46	183.82	109.66	211.31	33.54	197.09	108.9	205.5	46.18	43.94	42.71	37.59	67.12	30.56	31.67	60.82
PLCB1	138.1	98.04	39.5	212.78	148.09	241.19	417.77	127.89	64.8	87.03	194.36	55.89	26.28	71.0	134.3	283.05	199.85	87.65	291.04	75.64	209.84	131.51	400.71	12.09	384.34	173.85	144.01	327.56	236.21	277.2	189.02	120.1	246.28	373.81	669.92	366.09	320.8	532.74	214.27	297.17	435.55	403.5	189.02	195.72	132.44	532.74	115.16	53.19	176.29	21.94	24.63	55.1	100.13	108.14
PPP3CB	669.92	258.57	603.67	902.89	698.41	890.44	759.08	688.78	1088.92	854.13	500.46	723.08	629.35	825.0	733.19	1135.2	500.46	363.56	819.3	813.63	961.07	518.15	595.34	1151.06	1225.22	647.07	915.51	1135.2	921.88	878.17	902.89	748.61	921.88	1519.15	1295.13	1037.29	1066.48	1001.93	1151.06	890.44	1008.9	1081.39	890.44	1662.49	703.28	1508.65	387.02	454.09	303.44	206.94	470.14	423.61	258.57	607.87
PTPLAD1	476.71	884.29	486.75	2319.15	1467.37	6250.56	3820.7	2004.85	3874.05	1331.57	2997.45	1923.14	4038.61	1923.14	1923.14	2061.24	1447.15	629.35	2335.28	1674.06	2400.97	1015.93	1030.12	2451.44	1757.34	1819.35	1477.58	1639.59	1508.65	2591.27	2956.17	2004.85	2417.67	2384.37	2133.97	1378.57	5041.77	2485.67	2163.77	2133.97	1340.84	2739.08	2178.83	2935.74	3060.45	2075.59	915.51	532.74	536.45	301.33	500.46	567.1	571.05	1059.11
PTPRA	684.02	642.59	872.1	1923.14	1096.5	1044.52	1870.53	1143.1	1340.84	1073.91	1697.45	1183.45	1167.14	1073.91	1208.34	1540.37	796.86	1159.07	1259.69	1457.23	1551.09	866.07	1331.57	921.88	1697.45	1037.29	1427.22	1896.65	1529.73	1896.65	1427.22	1295.13	1594.73	1572.76	1697.45	1769.57	2645.74	1208.34	1477.58	1199.98	2468.49	1896.65	819.3	2367.9	1286.18	1977.24	708.18	323.03	460.44	384.34	669.92	830.75	540.19	836.53
PUM2	395.18	460.44	426.57	1674.06	769.69	1044.52	1437.15	1104.13	1508.65	921.88	1242.34	954.43	733.19	866.07	1127.35	1378.57	1066.48	988.12	1175.27	718.08	1378.57	764.36	1015.93	915.51	1697.45	642.59	769.69	1467.37	1304.15	1477.58	1225.22	791.35	1594.73	1832.01	1498.22	1487.87	1745.2	1259.69	1407.55	1044.52	808.0	1519.15	575.03	1662.49	878.17	1896.65	470.14	366.09	379.04	463.65	356.05	470.14	358.54	476.71
RAB3GAP1	287.01	332.14	279.14	1151.06	473.41	500.46	656.11	718.08	674.59	669.92	1159.07	507.46	559.28	842.36	595.34	728.11	679.29	269.6	656.11	575.03	698.41	397.93	708.18	733.19	981.29	521.76	718.08	974.5	733.19	808.0	693.58	603.67	848.22	1191.69	830.75	1023.0	1096.5	1104.13	878.17	728.11	703.28	988.12	420.68	921.88	575.03	1001.93	289.02	620.67	397.93	384.34	293.07	239.52	327.56	395.18
RAB5B	376.41	295.11	363.56	2664.15	1208.34	1674.06	2417.67	890.44	2004.85	1594.73	2777.33	1313.23	1437.15	1572.76	1832.01	1651.0	1674.06	872.1	2090.03	884.29	2163.77	825.0	1896.65	1721.16	2303.12	1286.18	1819.35	2178.83	2224.63	2816.11	2163.77	1340.84	2664.15	2816.11	2303.12	3540.14	2976.74	3018.3	2855.44	1883.54	1073.91	2319.15	866.07	2468.49	1498.22	2075.59	551.56	543.96	346.29	748.61	723.08	218.79	249.73	432.53
RABGAP1	256.78	201.25	305.55	884.29	470.14	728.11	503.95	587.13	769.69	497.0	759.08	567.1	466.88	555.41	514.56	769.69	363.56	358.54	728.11	435.55	723.08	368.65	698.41	384.34	902.89	450.94	607.87	825.0	743.43	878.17	703.28	555.41	848.22	934.76	961.07	1199.98	947.83	785.88	808.0	651.58	551.56	974.5	301.33	759.08	473.41	1104.13	190.34	341.51	281.09	248.0	246.28	384.34	142.01	264.03
RALGAPB	178.77	185.11	141.02	808.0	414.87	447.82	679.29	255.0	551.56	493.56	607.87	358.54	287.01	420.68	536.45	543.96	395.18	351.14	563.18	232.94	595.34	264.03	358.54	258.57	713.11	260.38	409.15	579.04	567.1	674.59	612.11	368.65	647.07	825.0	624.99	521.76	684.02	638.15	848.22	928.3	417.77	543.96	137.14	921.88	289.02	536.45	199.85	155.5	112.77	228.13	154.42	189.02	147.06	177.53
RAPGEF6	35.25	25.72	46.84	358.54	70.51	112.77	195.72	90.77	159.9	163.28	152.28	111.21	95.34	110.43	135.24	148.09	78.34	35.76	97.36	67.59	170.25	59.55	124.37	96.01	241.19	56.28	87.65	158.79	176.29	169.07	147.06	77.79	201.25	293.07	253.23	165.57	232.94	281.09	185.11	190.34	130.6	182.55	65.26	217.27	66.18	226.54	55.49	33.06	23.59	32.13	43.32	31.22	32.13	28.04
RPRD1B	234.57	208.38	199.85	511.0	318.57	514.56	480.04	262.2	525.39	457.25	503.95	361.04	269.6	368.65	480.04	497.0	295.11	368.65	376.41	258.57	432.53	205.5	262.2	260.38	529.06	318.57	260.38	441.64	368.65	414.87	400.71	334.46	486.75	616.37	283.05	358.54	514.56	381.68	555.41	314.17	242.88	551.56	130.6	395.18	265.87	299.25	244.57	215.77	110.43	248.0	135.24	265.87	212.78	295.11
RSBN1L	81.71	75.64	120.1	607.87	253.23	343.89	406.31	226.54	417.77	242.88	249.73	379.04	320.8	220.32	444.72	476.71	195.72	134.3	291.04	198.47	334.46	228.13	237.86	490.14	403.5	206.94	226.54	348.71	341.51	371.22	275.28	234.57	366.09	454.09	497.0	423.61	503.95	457.25	403.5	358.54	228.13	368.65	170.25	497.0	218.79	339.14	138.1	66.18	88.26	217.27	100.13	136.19	115.97	114.36
SATL1	8.51	11.21	8.99	27.84	16.39	27.05	28.65	13.22	23.25	16.27	26.28	10.16	19.39	8.85	32.13	31.0	6.78	23.08	26.47	15.8	21.94	18.43	19.68	14.35	15.56	20.86	21.94	30.12	18.16	33.06	31.0	22.43	34.02	24.99	24.11	34.75	26.86	19.39	48.87	33.3	19.53	46.5	14.24	17.13	12.18	22.43	11.3	13.22	8.71	10.31	6.89	12.93	10.24	7.75
SENP7	66.65	39.5	41.81	579.04	185.11	132.44	157.68	169.07	262.2	201.25	236.21	223.41	150.17	114.36	205.5	279.14	98.04	183.82	273.37	149.12	297.17	43.02	123.5	72.52	447.82	71.5	107.38	316.37	363.56	283.05	291.04	166.73	348.71	603.67	275.28	293.07	571.05	511.0	406.31	314.17	89.51	358.54	105.89	341.51	153.34	480.04	16.03	32.13	40.36	78.89	46.18	32.59	24.11	45.21
SENP8	19.39	14.56	19.53	85.82	51.71	93.35	68.07	55.1	81.14	60.39	60.82	86.43	44.89	39.22	48.87	75.11	92.05	58.71	69.03	61.25	80.57	40.93	53.19	38.95	92.7	70.51	37.05	96.68	67.12	75.11	90.14	86.43	78.89	96.01	90.14	96.68	114.36	65.26	63.0	56.28	43.02	94.01	77.25	43.02	119.26	57.08	40.64	23.25	24.46	25.54	29.91	17.13	28.86	27.25
SETD2	195.72	96.01	189.02	764.36	327.56	327.56	511.0	486.75	483.38	444.72	361.04	251.48	376.41	438.59	521.76	540.19	332.14	293.07	500.46	303.44	543.96	214.27	473.41	312.0	718.08	341.51	483.38	555.41	587.13	583.07	480.04	426.57	684.02	954.43	665.29	872.1	1008.9	571.05	660.68	529.06	426.57	612.11	212.78	612.11	289.02	624.99	218.79	129.69	198.47	293.07	193.01	124.37	139.07	236.21
SHROOM3	5.11	171.45	61.25	921.88	511.0	423.61	909.17	444.72	785.88	493.56	307.69	595.34	921.88	1359.57	1199.98	808.0	595.34	214.27	842.36	267.73	1427.22	109.66	256.78	253.23	1059.11	447.82	723.08	525.39	974.5	1331.57	819.3	688.78	1769.57	796.86	775.05	571.05	753.83	954.43	748.61	703.28	616.37	665.29	473.41	842.36	607.87	775.05	135.24	27.44	83.45	178.77	133.36	70.51	209.84	99.43
SIN3A	273.37	151.22	229.72	1183.45	435.55	651.58	629.35	547.75	1023.0	500.46	511.0	540.19	629.35	743.43	361.04	813.63	406.31	476.71	753.83	435.55	854.13	262.2	490.14	450.94	967.76	470.14	633.73	748.61	872.1	995.0	796.86	521.76	974.5	1143.1	909.17	961.07	1350.18	769.69	780.44	961.07	497.0	947.83	366.09	928.3	409.15	842.36	273.37	241.19	299.25	251.48	256.78	251.48	195.72	307.69
SLC24A1	75.11	38.67	35.76	358.54	171.45	275.28	251.48	239.52	358.54	127.0	127.0	291.04	165.57	164.42	117.6	320.8	115.97	81.14	208.38	136.19	299.25	73.03	137.14	204.07	343.89	209.84	195.72	348.71	358.54	356.05	325.29	202.66	358.54	503.95	497.0	379.04	743.43	435.55	329.84	318.57	157.68	412.0	107.38	343.89	199.85	525.39	61.25	38.67	73.03	84.63	84.63	94.01	39.5	47.5
SLX4IP	1.99	14.78	4.03	77.79	19.25	45.21	71.0	51.35	76.17	34.51	96.68	21.47	25.72	37.59	70.51	28.65	27.84	29.48	38.4	26.28	63.45	15.45	48.87	25.35	54.33	16.51	13.32	49.56	44.57	67.12	62.12	31.0	87.65	139.07	72.52	69.03	75.64	41.52	90.14	94.01	14.78	71.5	9.06	50.63	14.24	84.63	15.8	5.5	3.38	5.32	5.41	6.94	3.38	2.58
SMAD2	748.61	624.99	612.11	1437.15	884.29	967.76	1295.13	1268.46	1551.09	1135.2	1059.11	1001.93	780.44	1498.22	638.15	1295.13	954.43	1225.22	1487.87	1044.52	1437.15	941.27	1498.22	1023.0	1794.29	1127.35	1233.75	1769.57	1662.49	1721.16	1498.22	1175.27	1769.57	1467.37	1551.09	1991.0	2537.92	1104.13	1037.29	733.19	1467.37	1605.83	1781.89	2739.08	1286.18	1870.53	693.58	507.46	444.72	587.13	836.53	373.81	346.29	1015.93
SMAD5	189.02	94.67	129.69	921.88	260.38	320.8	571.05	607.87	480.04	400.71	612.11	341.51	209.84	368.65	420.68	583.07	251.48	123.5	336.79	239.52	571.05	215.77	351.14	271.48	718.08	260.38	339.14	616.37	514.56	769.69	525.39	316.37	656.11	860.08	947.83	738.29	684.02	660.68	660.68	665.29	329.84	698.41	198.47	669.92	226.54	872.1	185.11	133.36	102.97	97.36	141.02	85.82	132.44	293.07
SMARCAD1	94.01	78.34	85.22	426.57	251.48	195.72	316.37	332.14	412.0	275.28	251.48	295.11	221.86	361.04	343.89	381.68	256.78	248.0	271.48	182.55	361.04	151.22	251.48	170.25	480.04	209.84	218.79	438.59	376.41	332.14	358.54	234.57	429.54	915.51	366.09	476.71	620.67	406.31	423.61	356.05	226.54	486.75	202.66	368.65	214.27	669.92	190.34	119.26	74.58	71.0	142.01	74.06	122.64	142.01
SP3	334.46	214.27	255.0	1909.85	780.44	1088.92	1651.0	954.43	1674.06	947.83	1250.98	1023.0	961.07	836.53	954.43	1378.57	1295.13	429.54	981.29	872.1	1216.75	447.82	759.08	563.18	1572.76	603.67	738.29	1183.45	1119.56	1199.98	1286.18	679.29	1662.49	1572.76	1250.98	1304.15	1594.73	1322.37	1447.15	1159.07	902.89	1369.04	915.51	2104.58	836.53	1685.71	450.94	329.84	229.72	521.76	293.07	314.17	248.0	529.06
SPIRE1	148.09	79.45	110.43	497.0	182.55	199.85	289.02	988.12	312.0	229.72	305.55	198.47	220.32	295.11	291.04	277.2	854.13	183.82	255.0	217.27	271.48	140.04	201.25	126.12	486.75	149.12	281.09	400.71	339.14	291.04	327.56	220.32	353.59	441.64	629.35	514.56	223.41	414.87	420.68	234.57	381.68	638.15	116.78	896.64	198.47	450.94	152.28	173.85	40.64	68.55	17.51	36.27	73.54	136.19
SPOPL	67.59	97.36	77.25	708.18	301.33	693.58	1167.14	221.86	738.29	497.0	819.3	336.79	507.46	409.15	543.96	579.04	236.21	74.06	366.09	221.86	693.58	111.99	260.38	122.64	688.78	223.41	256.78	332.14	444.72	607.87	536.45	202.66	559.28	796.86	808.0	579.04	921.88	595.34	660.68	633.73	376.41	503.95	109.66	796.86	215.77	651.58	76.17	127.0	56.68	79.45	64.8	51.71	59.55	78.89
STAM2	102.97	120.94	74.06	693.58	273.37	426.57	366.09	307.69	529.06	299.25	460.44	255.0	283.05	318.57	277.2	460.44	325.29	118.43	318.57	223.41	438.59	123.5	293.07	381.68	540.19	182.55	271.48	395.18	429.54	507.46	412.0	248.0	551.56	651.58	316.37	486.75	854.13	486.75	651.58	624.99	269.6	559.28	229.72	708.18	269.6	543.96	100.13	163.28	104.42	94.67	120.1	68.07	92.7	131.51
TLK1	149.12	132.44	153.34	1081.39	348.71	638.15	775.05	575.03	1066.48	473.41	842.36	409.15	384.34	429.54	426.57	684.02	543.96	191.67	507.46	392.44	723.08	241.19	595.34	301.33	813.63	303.44	457.25	743.43	651.58	981.29	607.87	384.34	780.44	890.44	995.0	665.29	967.76	872.1	743.43	559.28	532.74	718.08	289.02	1135.2	454.09	775.05	190.34	191.67	223.41	232.94	209.84	149.12	189.02	183.82
TMPPE	5.45	5.63	10.63	38.12	5.96	10.88	10.63	38.95	13.32	19.82	19.82	12.45	9.63	9.27	22.1	13.03	62.12	17.0	11.38	7.63	19.39	9.06	25.91	4.94	24.28	10.47	14.56	21.78	17.25	15.68	19.68	7.88	24.46	23.76	14.14	39.5	28.04	33.3	22.43	13.72	10.39	27.44	2.01	14.89	12.27	22.92	7.06	5.41	7.46	15.34	8.25	7.94	5.59	6.31
TRIM24	120.94	177.53	158.79	356.05	209.84	412.0	417.77	371.22	351.14	325.29	231.32	309.83	217.27	307.69	366.09	412.0	269.6	208.38	275.28	291.04	301.33	409.15	234.57	228.13	295.11	242.88	279.14	307.69	260.38	303.44	334.46	211.31	327.56	454.09	265.87	301.33	466.88	373.81	295.11	248.0	172.65	299.25	169.07	384.34	262.2	473.41	136.19	117.6	166.73	190.34	182.55	143.01	251.48	242.88
VPS4B	242.88	381.68	289.02	1628.26	551.56	1111.82	878.17	679.29	1216.75	559.28	808.0	878.17	708.18	753.83	460.44	1208.34	480.04	559.28	1037.29	547.75	1167.14	493.56	1037.29	540.19	1359.57	638.15	854.13	1023.0	1199.98	1378.57	1233.75	802.41	1397.83	1697.45	1119.56	1883.54	1832.01	1457.23	1457.23	780.44	547.75	1286.18	813.63	1857.6	1104.13	1551.09	438.59	348.71	242.88	239.52	202.66	201.25	201.25	373.81
VWA9	423.61	450.94	412.0	1023.0	607.87	1111.82	748.61	1051.79	1015.93	497.0	651.58	974.5	842.36	884.29	497.0	967.76	698.41	358.54	775.05	718.08	791.35	651.58	571.05	733.19	848.22	723.08	684.02	842.36	769.69	785.88	967.76	764.36	934.76	1037.29	633.73	769.69	915.51	884.29	825.0	698.41	651.58	723.08	624.99	1066.48	866.07	890.44	660.68	493.56	651.58	543.96	599.49	638.15	473.41	403.5
WAC	866.07	842.36	708.18	1923.14	1066.48	1457.23	1977.24	1242.34	1883.54	1572.76	2609.3	1457.23	1191.69	1583.71	1477.58	2367.9	2018.8	1806.78	1561.89	1286.18	1883.54	1208.34	1617.0	1295.13	2335.28	1119.56	1437.15	2468.49	1950.0	2178.83	1662.49	1208.34	2193.99	2591.27	2384.37	2468.49	2351.53	2148.82	1950.0	1745.2	1819.35	1977.24	1081.39	3257.52	1322.37	2609.3	583.07	669.92	493.56	825.0	733.19	651.58	785.88	854.13
WDR37	121.79	84.04	90.77	262.2	242.88	97.36	124.37	320.8	258.57	224.97	366.09	224.97	116.78	167.9	215.77	269.6	242.88	301.33	264.03	176.29	242.88	127.89	197.09	133.36	327.56	217.27	209.84	277.2	275.28	293.07	269.6	212.78	303.44	397.93	389.72	343.89	363.56	246.28	412.0	193.01	118.43	251.48	68.55	211.31	183.82	239.52	52.45	82.87	54.33	165.57	80.57	120.1	66.65	55.49
XRN2	796.86	460.44	698.41	1551.09	836.53	1167.14	1378.57	1313.23	1378.57	1073.91	1359.57	1111.82	954.43	1268.46	1437.15	1447.15	830.75	1119.56	1225.22	1340.84	1369.04	1001.93	1159.07	941.27	1477.58	1088.92	1250.98	1295.13	1304.15	1498.22	1340.84	1135.2	1417.35	1216.75	961.07	1340.84	1594.73	1407.55	1350.18	1104.13	1883.54	1359.57	909.17	1806.78	1388.16	1216.75	1096.5	332.14	547.75	633.73	647.07	486.75	575.03	769.69
YTHDC1	529.06	409.15	438.59	1407.55	1127.35	947.83	1369.04	981.29	1369.04	1044.52	1044.52	1159.07	967.76	1030.12	848.22	1745.2	1073.91	825.0	1208.34	872.1	1508.65	642.59	928.3	775.05	1794.29	947.83	1081.39	1359.57	1594.73	1662.49	1350.18	1008.9	1628.26	2018.8	1467.37	1572.76	1697.45	1697.45	1397.83	1617.0	1286.18	1540.37	802.41	1781.89	1001.93	1733.13	555.41	633.73	432.53	507.46	547.75	490.14	454.09	583.07
ZCCHC2	140.04	64.34	103.69	493.56	195.72	176.29	258.57	241.19	226.54	178.77	151.22	353.59	165.57	616.37	100.83	264.03	108.14	190.34	323.03	205.5	241.19	172.65	285.03	128.79	339.14	178.77	169.07	309.83	279.14	182.55	264.03	172.65	293.07	429.54	454.09	368.65	323.03	688.78	309.83	381.68	155.5	379.04	142.01	500.46	113.56	277.2	73.03	89.51	94.67	158.79	170.25	153.34	108.9	129.69
ZDHHC17	108.9	34.02	88.88	642.59	253.23	177.53	246.28	157.68	241.19	224.97	343.89	220.32	181.28	166.73	186.4	371.22	220.32	141.02	318.57	201.25	400.71	118.43	223.41	148.09	684.02	120.1	249.73	529.06	536.45	409.15	368.65	220.32	444.72	896.64	412.0	555.41	684.02	551.56	612.11	500.46	253.23	656.11	151.22	547.75	185.11	684.02	91.41	62.12	54.33	91.41	78.34	67.12	97.36	112.77
