	TCGA.38.4625.01A.01R.1206.07	GTEX.147F4.0926.SM.5Q5EO	GTEX.145LS.1226.SM.5Q5D9	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
FAM104B	0.0	186.4	332.14	435.55	406.31	759.08	480.04	387.02	638.15	521.76	406.31	575.03	334.46	599.49	460.44	441.64	381.68	575.03	480.04	540.19	547.75	579.04	599.49	607.87	507.46	651.58	447.82	351.14	366.09	511.0	587.13	435.55	733.19	551.56	429.54	463.65	379.04	660.68	620.67	559.28	441.64	395.18	748.61	447.82	693.58	536.45	473.41	616.37	532.74	536.45	563.18	373.81	497.0	403.5	493.56	373.81	323.03	414.87	587.13	438.59	371.22	463.65	318.57	348.71	607.87	624.99	466.88	551.56	316.37	633.73	426.57	612.11	470.14	514.56	808.0	332.14	764.36	633.73	525.39	620.67	571.05	536.45	473.41	536.45	420.68	429.54	575.03	612.11
FIS1	0.0	1709.26	1096.5	4268.94	4419.52	8421.31	5751.61	3443.31	5555.65	6037.61	3614.55	5594.3	3928.15	5329.3	5711.87	4419.52	3874.05	6471.02	3847.29	6426.31	6607.01	7695.57	5479.15	6652.97	6337.83	6561.36	5594.3	4152.18	3060.45	6164.49	5366.37	5219.6	6121.9	5791.62	2468.49	4575.41	5219.6	4239.45	6745.86	9540.5	4123.49	5633.22	7966.99	3614.55	8840.04	5076.84	4836.35	6887.62	6561.36	4704.07	5711.87	3742.05	3982.99	4937.99	6699.25	4869.99	3419.52	4095.0	6164.49	4181.07	3589.58	4769.75	3491.39	3955.48	8191.0	5255.91	3372.43	6381.92	4181.07	8901.53	4639.29	6207.38	4388.98	5872.48	6699.25	4181.07	6337.83	5913.33	4671.57	7749.1	5711.87	5633.22	5913.33	6294.04	5329.3	4704.07	7857.29	7537.18
GADD45GIP1	0.0	555.41	435.55	1651.0	2032.85	4181.07	2303.12	1477.58	2119.22	2935.74	1331.57	2555.58	1519.15	2997.45	2537.92	1628.26	1709.26	3639.7	1529.73	2739.08	3349.13	2591.27	2255.7	3443.31	2796.65	4607.24	2627.46	1397.83	1487.87	3639.7	2573.36	2193.99	3419.52	3303.0	2163.77	2163.77	1963.57	2178.83	3589.58	4388.98	1340.84	2319.15	5147.73	1407.55	4123.49	3372.43	2537.92	2956.17	3665.02	2271.4	2739.08	1605.83	1781.89	2240.11	3146.52	2163.77	1674.06	1977.24	3124.78	1662.49	1540.37	2816.11	1540.37	1605.83	4704.07	2627.46	1594.73	2915.45	1781.89	4769.75	2573.36	2976.74	1844.76	2591.27	2915.45	1857.6	4704.07	4010.71	2609.3	3540.14	2573.36	1977.24	2537.92	2682.69	1857.6	1806.78	2915.45	3103.19
GCAT	0.0	53.19	303.44	1059.11	1487.87	2193.99	1259.69	587.13	1909.85	1561.89	743.43	1709.26	866.07	1832.01	1417.35	1225.22	1191.69	2417.67	796.86	2119.22	1331.57	921.88	1417.35	1639.59	1857.6	1697.45	1685.71	738.29	329.84	1322.37	1977.24	1313.23	1757.34	2090.03	1111.82	902.89	967.76	1417.35	1709.26	2451.44	896.64	1437.15	2367.9	1015.93	1457.23	2018.8	1508.65	665.29	2178.83	1199.98	1617.0	1259.69	1199.98	1685.71	2047.0	1037.29	620.67	915.51	1508.65	1104.13	1350.18	1059.11	688.78	1183.45	1781.89	1519.15	1111.82	2090.03	1233.75	2090.03	1733.13	1340.84	1268.46	1437.15	2224.63	1359.57	2240.11	1832.01	1519.15	2090.03	1583.71	1437.15	1883.54	1551.09	1674.06	796.86	1572.76	1295.13
GNPTG	0.0	595.34	728.11	1721.16	2209.26	3124.78	2417.67	1304.15	2400.97	2997.45	1286.18	2485.67	1295.13	2627.46	1781.89	2090.03	1417.35	3146.52	1369.04	2682.69	3018.3	2133.97	2104.58	2434.5	2502.97	2997.45	2468.49	1378.57	1030.12	2777.33	2032.85	1819.35	2682.69	2777.33	1883.54	1857.6	1561.89	1950.0	2627.46	2796.65	1781.89	2335.28	3146.52	1340.84	4066.71	2664.15	1963.57	2417.67	2645.74	1923.14	2224.63	1628.26	1427.22	2434.5	2417.67	1857.6	1498.22	1594.73	2664.15	1617.0	1781.89	2255.7	1427.22	1651.0	3690.52	2133.97	1769.57	2537.92	2075.59	2935.74	1674.06	2720.15	1896.65	2451.44	2627.46	1757.34	3018.3	2537.92	2627.46	2287.2	2816.11	2351.53	1295.13	2451.44	1870.53	1639.59	2148.82	2875.3
GSTZ1	0.0	145.02	152.28	1322.37	1806.78	3257.52	1498.22	775.05	2739.08	2664.15	941.27	1909.85	1216.75	2502.97	1936.53	1340.84	1216.75	2739.08	941.27	2271.4	2777.33	1936.53	2335.28	1950.0	2178.83	2485.67	1350.18	1073.91	854.13	2796.65	2287.2	1674.06	2417.67	2104.58	379.04	1286.18	1745.2	1769.57	2163.77	941.27	1191.69	1832.01	3614.55	934.76	3491.39	2255.7	1819.35	2627.46	2061.24	1909.85	1508.65	1407.55	1508.65	1709.26	2520.38	1359.57	1175.27	1208.34	2591.27	1467.37	1313.23	1388.16	941.27	1286.18	3614.55	2104.58	1378.57	2178.83	1066.48	2915.45	1487.87	2255.7	1594.73	2555.58	2609.3	1388.16	1991.0	2451.44	1794.29	2645.74	1508.65	1794.29	1651.0	1977.24	1437.15	878.17	1697.45	2271.4
HDDC3	0.0	198.47	293.07	624.99	518.15	1199.98	595.34	555.41	1127.35	848.22	540.19	854.13	583.07	660.68	769.69	642.59	638.15	909.17	579.04	1001.93	1015.93	669.92	947.83	854.13	928.3	819.3	579.04	457.25	346.29	698.41	836.53	669.92	1135.2	1233.75	708.18	764.36	620.67	718.08	954.43	941.27	551.56	647.07	1572.76	463.65	988.12	791.35	450.94	813.63	947.83	791.35	713.11	607.87	583.07	665.29	1183.45	733.19	483.38	708.18	1015.93	514.56	447.82	854.13	470.14	633.73	1340.84	1096.5	497.0	947.83	830.75	1175.27	813.63	791.35	780.44	836.53	775.05	624.99	780.44	1044.52	500.46	1037.29	1037.29	642.59	723.08	738.29	647.07	426.57	836.53	921.88
KLK3	0.0	1.64	5.41	772940.66	881742.8	1345768.59	1005860.33	573724.06	1116072.03	1212874.47	459592.86	887875.81	585779.24	1163466.92	1116072.03	691801.16	517068.97	834179.46	440870.9	925580.18	751804.53	985160.01	1063212.58	731246.37	1055868.42	623486.02	767601.56	489177.0	691801.16	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	654483.73	805764.22	1100706.72	1327240.99	887875.81	1147449.11	585779.24	925580.18	978355.0	394590.4	1412675.8	822695.06	1238359.56	1327240.99	731246.37	800198.39	1196176.45	851707.37	542775.98	985160.01	869603.57	845824.19	805764.22	696613.03	851707.37	767601.56	589853.66	1063212.58	378516.38	716197.51	1212874.47	1238359.56	654483.73	985160.01	845824.19	672883.8	1048575.0	1345768.59	711250.37	1472666.19	1229805.58	517068.97	623486.02	751804.53	1019901.63	828417.36	938500.81	894051.48	1019901.63	925580.18	794671.01	546551.29	985160.01	1063212.58
LAMTOR2	0.0	503.95	791.35	2209.26	2004.85	4239.45	2816.11	1662.49	1662.49	2935.74	1685.71	2816.11	1950.0	2915.45	2287.2	1870.53	2061.24	3928.15	1617.0	2956.17	3614.55	2816.11	2609.3	3212.66	2739.08	3325.99	2240.11	1769.57	1674.06	2875.3	2875.3	2367.9	3103.19	3124.78	2485.67	2816.11	2520.38	2209.26	3491.39	4512.4	1628.26	2485.67	5479.15	1757.34	3540.14	2739.08	3235.01	2956.17	3124.78	2682.69	2956.17	2018.8	2032.85	2148.82	3614.55	2591.27	1685.71	2417.67	3564.78	1806.78	1605.83	3060.45	1508.65	1923.14	4769.75	2720.15	1617.0	3419.52	2224.63	4123.49	2915.45	3395.89	2303.12	3419.52	3540.14	2061.24	3794.3	3768.09	2351.53	3614.55	2915.45	2209.26	2163.77	2609.3	1781.89	1561.89	2609.3	3257.52
LAMTOR4	0.0	759.08	575.03	3103.19	4358.66	6652.97	5006.93	3515.68	4972.34	5751.61	2682.69	5913.33	3280.18	5183.54	5255.91	3690.52	3146.52	7280.4	3372.43	4972.34	6037.61	6381.92	6079.61	6471.02	6294.04	7911.95	4937.99	3928.15	2758.13	5872.48	5292.48	4575.41	5831.91	6250.56	2520.38	5255.91	4736.79	3982.99	7382.04	8840.04	3372.43	5147.73	9088.59	3018.3	7803.01	6250.56	5517.27	6381.92	7280.4	5292.48	6935.54	3212.66	3467.27	4123.49	6037.61	4450.27	2935.74	4152.18	5441.3	3443.31	3419.52	5479.15	2645.74	3742.05	7803.01	5441.3	2895.31	5219.6	3665.02	10084.54	5041.77	6561.36	3847.29	4836.35	7485.11	3847.29	8022.41	7966.99	7130.55	7537.18	6079.61	4671.57	6745.86	5751.61	4607.24	3874.05	7081.29	7331.05
LSM4	0.0	674.59	1127.35	1844.76	1963.57	3257.52	2720.15	1359.57	2835.7	2895.31	1605.83	2555.58	2119.22	2537.92	2287.2	2004.85	2061.24	3820.7	1733.13	2935.74	3212.66	3103.19	2319.15	2591.27	3018.3	3419.52	2758.13	1769.57	1733.13	2816.11	2664.15	2609.3	3018.3	2855.44	1909.85	2287.2	2645.74	2240.11	4639.29	4181.07	1794.29	2591.27	3303.0	1844.76	4607.24	3168.41	2520.38	2682.69	3081.75	2451.44	3081.75	2591.27	2148.82	2400.97	2777.33	2104.58	1540.37	2163.77	2682.69	1709.26	1757.34	2609.3	1519.15	1832.01	4575.41	2591.27	1819.35	3928.15	1909.85	3395.89	2178.83	3257.52	1963.57	2335.28	3146.52	2104.58	3325.99	2627.46	2895.31	3349.13	2835.7	2287.2	2555.58	3303.0	2485.67	2032.85	2627.46	3443.31
LSMD1	0.0	769.69	753.83	2537.92	3124.78	8658.09	4010.71	1540.37	4152.18	4869.99	1605.83	4869.99	2367.9	5672.41	4038.61	2178.83	1551.09	6745.86	2367.9	4736.79	5292.48	5441.3	4358.66	4239.45	4358.66	6561.36	3124.78	2047.0	1857.6	5112.16	4181.07	3716.2	4210.15	4802.93	1733.13	3901.01	3103.19	2935.74	5183.54	4481.23	1757.34	3665.02	6516.03	1331.57	9215.48	4388.98	4298.64	5403.7	4123.49	2701.35	4481.23	2835.7	2178.83	3768.09	4769.75	4543.8	2627.46	1832.01	4095.0	2271.4	2351.53	2720.15	2367.9	1883.54	7433.4	4671.57	2384.37	3614.55	2758.13	5995.9	3018.3	3847.29	2935.74	4481.23	6079.61	2816.11	5366.37	5872.48	3491.39	6887.62	4066.71	3395.89	4575.41	5219.6	3190.46	3039.3	4543.8	6337.83
MRPL16	0.0	323.03	674.59	830.75	878.17	1242.34	909.17	688.78	974.5	890.44	753.83	981.29	728.11	1008.9	967.76	808.0	796.86	1286.18	808.0	802.41	1225.22	967.76	921.88	902.89	866.07	1008.9	896.64	629.35	684.02	1023.0	854.13	884.29	1199.98	1023.0	785.88	728.11	819.3	915.51	1250.98	1159.07	890.44	713.11	1457.23	769.69	1268.46	890.44	860.08	1088.92	1135.2	866.07	1088.92	674.59	866.07	967.76	934.76	866.07	854.13	884.29	854.13	713.11	743.43	967.76	769.69	785.88	1059.11	1111.82	825.0	1151.06	974.5	1104.13	890.44	941.27	878.17	866.07	1295.13	848.22	1250.98	1096.5	830.75	1044.52	1059.11	872.1	890.44	954.43	802.41	813.63	1066.48	961.07
MRPL20	0.0	1498.22	1883.54	3491.39	4210.15	7642.41	4903.87	3742.05	4836.35	5255.91	3515.68	4937.99	3540.14	4836.35	5517.27	4181.07	3928.15	5913.33	3564.78	4903.87	5329.3	4937.99	4358.66	5594.3	5479.15	6699.25	4639.29	3794.3	3443.31	4450.27	5255.91	5366.37	5751.61	5711.87	4268.94	4481.23	4481.23	4066.71	6792.79	7382.04	3372.43	4152.18	7230.1	3303.0	6250.56	4802.93	4869.99	6121.9	5633.22	5403.7	5479.15	3146.52	3901.01	3794.3	5292.48	5041.77	3303.0	4671.57	5366.37	4123.49	3349.13	4210.15	3212.66	3564.78	6471.02	5366.37	3060.45	6381.92	3372.43	6887.62	4607.24	6207.38	4038.61	4450.27	6561.36	3443.31	6337.83	5112.16	5517.27	6561.36	5366.37	4038.61	4769.75	5255.91	4123.49	3443.31	5791.62	6037.61
MRPL21	0.0	647.07	275.28	1119.56	1388.16	2664.15	1143.1	1242.34	2224.63	2468.49	1685.71	2018.8	1477.58	1794.29	1617.0	1233.75	1540.37	2627.46	1639.59	1175.27	2335.28	2018.8	2255.7	3039.3	1745.2	1628.26	1909.85	1216.75	1104.13	1832.01	1733.13	1529.73	1781.89	2104.58	1508.65	1313.23	1594.73	1437.15	1832.01	2520.38	1477.58	1340.84	3820.7	1350.18	1806.78	1794.29	1498.22	1745.2	2573.36	1457.23	2004.85	1059.11	2018.8	1662.49	2271.4	1674.06	1313.23	1870.53	2555.58	1551.09	1697.45	1745.2	1427.22	1721.16	2976.74	1757.34	1191.69	2335.28	1397.83	1963.57	1427.22	1991.0	1950.0	1950.0	2434.5	1605.83	1870.53	2335.28	1697.45	1977.24	1923.14	1697.45	1769.57	2255.7	1023.0	1733.13	1883.54	2224.63
MRPL27	0.0	511.0	476.71	1508.65	1745.2	3257.52	2287.2	1397.83	2004.85	2520.38	1583.71	2384.37	1639.59	2664.15	2287.2	1757.34	1457.23	2701.35	1477.58	2148.82	3124.78	2367.9	2148.82	2287.2	2485.67	3168.41	2193.99	1417.35	1313.23	2163.77	2178.83	2061.24	2739.08	2400.97	2047.0	2004.85	2209.26	2075.59	2573.36	3515.68	1757.34	2061.24	3665.02	1417.35	3190.46	2555.58	2303.12	2875.3	2627.46	1870.53	2664.15	1709.26	1794.29	1857.6	2303.12	1936.53	1498.22	1487.87	2573.36	1721.16	1651.0	2075.59	1331.57	1487.87	3124.78	2319.15	1519.15	2627.46	1437.15	3212.66	1733.13	2664.15	1832.01	2555.58	2976.74	1662.49	2701.35	2758.13	2209.26	3124.78	2384.37	1896.65	2468.49	2485.67	1857.6	1639.59	2976.74	3280.18
MRPL40	0.0	318.57	466.88	1023.0	1044.52	2303.12	1359.57	1051.79	1508.65	1628.26	1111.82	1350.18	836.53	1378.57	1088.92	819.3	954.43	1819.35	1073.91	1369.04	1519.15	1216.75	1242.34	1447.15	1540.37	1832.01	1216.75	1066.48	466.88	1540.37	1388.16	1088.92	1572.76	1407.55	1143.1	1225.22	1059.11	1498.22	1540.37	1709.26	1001.93	1096.5	2537.92	954.43	1551.09	1685.71	1104.13	1540.37	1378.57	1286.18	1467.37	791.35	1437.15	1268.46	1477.58	872.1	583.07	1119.56	1359.57	1340.84	995.0	1233.75	836.53	921.88	1857.6	1529.73	1143.1	1977.24	1015.93	2018.8	1447.15	1397.83	1143.1	1529.73	1963.57	981.29	1745.2	1487.87	1119.56	1605.83	1331.57	1277.29	1369.04	1407.55	1208.34	941.27	1477.58	1427.22
MRPL53	0.0	848.22	529.06	1936.53	1909.85	3847.29	2400.97	1151.06	2956.17	2537.92	1167.14	2417.67	1781.89	2816.11	2163.77	1561.89	2004.85	3103.19	1350.18	2935.74	2956.17	2485.67	2303.12	3190.46	2520.38	3467.27	2434.5	1030.12	1388.16	2915.45	2193.99	2537.92	2976.74	3235.01	2367.9	2485.67	2178.83	1286.18	2367.9	4038.61	1745.2	2367.9	4704.07	1397.83	4152.18	2835.7	2119.22	3901.01	3103.19	1991.0	2303.12	1781.89	1697.45	1936.53	2303.12	2434.5	1991.0	2133.97	2935.74	1081.39	1397.83	2816.11	1417.35	1870.53	4152.18	2032.85	1487.87	2451.44	1697.45	3515.68	2163.77	3018.3	1242.34	2434.5	3039.3	2224.63	2796.65	3419.52	2520.38	3018.3	2502.97	2739.08	2047.0	2520.38	2271.4	1477.58	1529.73	2645.74
MRPL54	0.0	764.36	480.04	2018.8	2400.97	5219.6	2682.69	1674.06	2758.13	3146.52	1857.6	2835.7	2047.0	3515.68	2758.13	1651.0	1806.78	3325.99	1745.2	2956.17	3955.48	2434.5	2664.15	3168.41	2956.17	4095.0	2417.67	1651.0	1561.89	2997.45	2485.67	2417.67	2956.17	2816.11	2502.97	2520.38	2520.38	2287.2	2835.7	4152.18	1583.71	2537.92	4152.18	1447.15	2627.46	3190.46	2502.97	3060.45	3982.99	2645.74	2895.31	2004.85	2209.26	2468.49	3257.52	2555.58	1844.76	2119.22	3395.89	1769.57	1709.26	2645.74	1757.34	1757.34	3955.48	2485.67	1651.0	2758.13	1757.34	3491.39	2335.28	2573.36	2119.22	3018.3	3280.18	2018.8	3349.13	3540.14	2451.44	3372.43	2956.17	2573.36	2627.46	2796.65	2255.7	2209.26	2956.17	3589.58
MRPS11	0.0	158.79	426.57	981.29	921.88	1529.73	1167.14	728.11	1143.1	1417.35	808.0	1286.18	941.27	1437.15	1151.06	967.76	1030.12	1551.09	836.53	1295.13	1498.22	1175.27	1135.2	1540.37	1191.69	1745.2	1191.69	819.3	775.05	1359.57	1286.18	1143.1	1322.37	1183.45	1313.23	1191.69	1081.39	884.29	1883.54	1936.53	848.22	1143.1	1794.29	830.75	1721.16	1295.13	1359.57	1331.57	1467.37	1208.34	1340.84	934.76	934.76	1143.1	1304.15	1037.29	723.08	961.07	1407.55	915.51	854.13	1167.14	848.22	988.12	1806.78	1388.16	961.07	1498.22	981.29	1551.09	1111.82	1268.46	1044.52	1313.23	1519.15	1001.93	1467.37	1417.35	1073.91	1572.76	1369.04	1159.07	1191.69	1378.57	954.43	934.76	1259.69	1437.15
MRPS24	0.0	688.78	878.17	2664.15	2835.7	4512.4	3257.52	1950.0	3146.52	3820.7	2148.82	3589.58	2434.5	3742.05	3768.09	2555.58	2835.7	4736.79	2468.49	3639.7	4010.71	3768.09	3491.39	4210.15	3794.3	4543.8	3168.41	2255.7	2400.97	5112.16	4010.71	3395.89	4239.45	3928.15	3168.41	3257.52	2573.36	2796.65	3874.05	6121.9	2609.3	3349.13	5479.15	2384.37	4671.57	4152.18	3716.2	3820.7	4802.93	3018.3	3794.3	2400.97	2956.17	2875.3	3955.48	3491.39	2148.82	2855.44	3491.39	2701.35	2400.97	3419.52	2319.15	2664.15	4972.34	3742.05	2468.49	3742.05	3419.52	5329.3	3419.52	3039.3	2997.45	3467.27	4836.35	2816.11	4639.29	4038.61	3395.89	4607.24	3768.09	2915.45	3280.18	3589.58	2758.13	2319.15	3235.01	4152.18
MRPS34	0.0	466.88	638.15	2004.85	1963.57	3901.01	2555.58	1519.15	3303.0	2956.17	1583.71	2796.65	1883.54	3103.19	2739.08	1909.85	2384.37	3515.68	1832.01	3491.39	3257.52	2591.27	3168.41	3820.7	3168.41	3303.0	2537.92	1583.71	1639.59	3540.14	3768.09	2018.8	3491.39	3419.52	2645.74	3081.75	2895.31	2271.4	3874.05	4450.27	2004.85	2520.38	5006.93	1844.76	3515.68	3280.18	2520.38	3395.89	3847.29	2816.11	3018.3	1605.83	2209.26	2758.13	3372.43	3349.13	1551.09	2796.65	3955.48	1781.89	1662.49	2573.36	1745.2	2451.44	4328.55	3146.52	1950.0	4210.15	3018.3	4181.07	3124.78	3081.75	2400.97	2682.69	4010.71	2104.58	4038.61	4152.18	3589.58	3955.48	3540.14	2400.97	2591.27	2895.31	2047.0	1685.71	2777.33	3639.7
MTFP1	0.0	239.52	275.28	698.41	536.45	607.87	543.96	228.13	718.08	866.07	287.01	665.29	583.07	309.83	890.44	503.95	551.56	1096.5	441.64	854.13	1096.5	620.67	514.56	703.28	748.61	764.36	555.41	450.94	115.97	684.02	1191.69	674.59	802.41	967.76	493.56	525.39	660.68	860.08	2032.85	1359.57	423.61	764.36	1561.89	409.15	1745.2	928.3	748.61	376.41	830.75	571.05	791.35	348.71	376.41	753.83	656.11	791.35	371.22	279.14	642.59	518.15	476.71	616.37	329.84	417.77	1551.09	563.18	470.14	698.41	638.15	1277.29	392.44	529.06	808.0	866.07	1277.29	463.65	974.5	1059.11	1216.75	1977.24	854.13	775.05	878.17	941.27	753.83	486.75	890.44	995.0
MTX1	0.0	490.14	780.44	934.76	1135.2	1923.14	1143.1	802.41	1388.16	1572.76	896.64	1295.13	928.3	1769.57	1135.2	842.36	974.5	1508.65	934.76	1487.87	1508.65	1378.57	1369.04	1427.22	1313.23	1781.89	1199.98	866.07	1001.93	1540.37	1268.46	1199.98	1662.49	1457.23	1104.13	1216.75	1066.48	1119.56	1639.59	1769.57	928.3	1023.0	1844.76	802.41	1709.26	1427.22	1199.98	1757.34	1769.57	1286.18	1119.56	954.43	1088.92	1233.75	1540.37	1111.82	1001.93	1081.39	1540.37	981.29	988.12	1304.15	860.08	884.29	1781.89	1397.83	1015.93	1313.23	967.76	1721.16	1250.98	1594.73	1127.35	1378.57	1721.16	1183.45	1709.26	1467.37	1191.69	1651.0	1268.46	1119.56	1191.69	1304.15	1081.39	902.89	1397.83	1417.35
MYEOV2	0.0	1066.48	703.28	2796.65	3639.7	5633.22	4607.24	2997.45	3928.15	6037.61	3039.3	4836.35	3124.78	6337.83	4937.99	3716.2	3280.18	6079.61	2855.44	4181.07	6164.49	4869.99	3716.2	5995.9	5329.3	7130.55	4543.8	3303.0	2178.83	5329.3	3847.29	4802.93	5555.65	6207.38	2609.3	4181.07	3280.18	3955.48	5831.91	9279.58	2502.97	4671.57	9215.48	2915.45	7230.1	5329.3	5006.93	5594.3	6745.86	4736.79	5479.15	2796.65	3039.3	3372.43	4802.93	3515.68	2133.97	3168.41	5403.7	3467.27	3039.3	4358.66	1477.58	2739.08	7230.1	4066.71	2935.74	4769.75	2816.11	6840.04	4419.52	5292.48	3212.66	4328.55	6561.36	3018.3	6294.04	6164.49	4769.75	6840.04	4802.93	4038.61	4736.79	6745.86	4123.49	3372.43	5672.41	7749.1
NAA10	0.0	1225.22	769.69	1685.71	2047.0	3257.52	1923.14	1250.98	2367.9	2178.83	1286.18	2209.26	1529.73	2627.46	2367.9	1733.13	2104.58	3614.55	1467.37	2451.44	2976.74	2468.49	1991.0	2682.69	2090.03	3190.46	2061.24	1199.98	1183.45	2915.45	2468.49	2163.77	2739.08	2777.33	2193.99	1709.26	1909.85	1617.0	4038.61	3742.05	1757.34	1819.35	4010.71	1359.57	2664.15	2701.35	2720.15	2255.7	2855.44	2163.77	2701.35	1617.0	1674.06	1832.01	2720.15	2384.37	1457.23	1896.65	3039.3	1208.34	1350.18	2384.37	1295.13	1757.34	3303.0	2163.77	1467.37	2720.15	1639.59	3235.01	1977.24	2816.11	1794.29	1896.65	2591.27	1721.16	2796.65	3280.18	2468.49	3060.45	2915.45	1508.65	1923.14	2384.37	1651.0	1769.57	2061.24	2240.11
NDUFA2	0.0	775.05	490.14	2468.49	3039.3	4543.8	3820.7	1896.65	3955.48	4066.71	2591.27	3665.02	2209.26	4095.0	3419.52	2645.74	2417.67	5219.6	2133.97	3103.19	4298.64	3742.05	3614.55	3690.52	4010.71	5041.77	3443.31	2163.77	2004.85	4481.23	3467.27	3419.52	4575.41	4181.07	2627.46	2976.74	2835.7	3168.41	4972.34	5219.6	2319.15	3395.89	6207.38	2178.83	6337.83	3540.14	3742.05	3794.3	4419.52	3639.7	4210.15	2090.03	2627.46	3235.01	3982.99	1870.53	2119.22	2835.7	4152.18	2645.74	2335.28	3901.01	1991.0	2335.28	5791.62	4010.71	2319.15	2303.12	2367.9	5329.3	3614.55	4268.94	2835.7	3515.68	5633.22	2335.28	5147.73	4388.98	4152.18	4181.07	3874.05	3614.55	3212.66	3982.99	2645.74	2434.5	3901.01	5183.54
