	TCGA.GU.A767.01A.11R.A32O.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.C8.A8HQ.01A.11R.A36F.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.CZ.5986.01A.11R.1672.07
PSMG3	1540.37	1628.26	612.11	1127.35	1059.11	583.07	1167.14	1508.65	813.63	1030.12	2119.22	674.59	961.07	2367.9	780.44	1508.65	748.61	954.43	1819.35	2193.99	947.83	647.07	1407.55	1295.13	884.29	1498.22	1936.53	753.83	1088.92	928.3	633.73	2018.8	878.17	1340.84	543.96	529.06	426.57	575.03	379.04	406.31	819.3	318.57	435.55	878.17	307.69	647.07	896.64	2367.9	417.77
RHBDD3	1519.15	559.28	361.04	248.0	656.11	303.44	490.14	429.54	571.05	206.94	981.29	215.77	473.41	802.41	616.37	612.11	896.64	361.04	483.38	518.15	503.95	248.0	1417.35	363.56	507.46	808.0	403.5	665.29	529.06	497.0	368.65	848.22	417.77	336.79	208.38	246.28	217.27	305.55	164.42	135.24	211.31	90.14	137.14	406.31	157.68	151.22	325.29	1322.37	91.41
RNASEH2C	2319.15	1457.23	341.51	718.08	848.22	409.15	753.83	1674.06	780.44	514.56	1199.98	379.04	1242.34	1313.23	934.76	2075.59	902.89	1350.18	718.08	1447.15	713.11	493.56	1477.58	480.04	1447.15	1487.87	884.29	1617.0	339.14	866.07	890.44	1378.57	521.76	764.36	463.65	423.61	287.01	511.0	358.54	320.8	450.94	368.65	785.88	379.04	493.56	164.42	351.14	2367.9	295.11
SAC3D1	466.88	507.46	198.47	193.01	412.0	162.14	260.38	511.0	353.59	193.01	409.15	191.67	239.52	358.54	358.54	486.75	511.0	269.6	373.81	579.04	246.28	198.47	599.49	503.95	638.15	450.94	409.15	267.73	271.48	363.56	248.0	1313.23	373.81	343.89	105.89	78.34	110.43	148.09	78.34	31.0	163.28	77.79	133.36	146.03	53.19	76.17	165.57	866.07	33.06
SCGB2A2	3.89	964885.69	701458.36	1800541.22	233003.78	845824.19	800198.39	978355.0	645473.24	938500.81	731246.37	1318073.06	919186.72	271387.49	1163466.92	54727.32	1238359.56	1788103.97	1034138.94	1751305.3	2279047.19	589853.66	271387.49	1668359.93	1422501.74	887875.81	783730.52	1600397.78	1524599.69	8805660.77	1345768.59	619179.28	1578364.61	1187913.85	82378.63	64186.29	9876.98	90146.51	3395.89	104996.83	531605.79	6561.36	1442359.14	1019901.63	1081.39	641014.63	731246.37	1096.5	0.0
SCYL1	2682.69	1697.45	759.08	1037.29	1378.57	1051.79	1250.98	1733.13	1359.57	934.76	2573.36	995.0	1225.22	1832.01	1216.75	2417.67	3103.19	1233.75	1477.58	2351.53	1159.07	825.0	1923.14	2303.12	2047.0	1733.13	1639.59	1832.01	1498.22	1709.26	1397.83	2319.15	1639.59	1857.6	836.53	698.41	703.28	988.12	521.76	503.95	981.29	521.76	547.75	1259.69	603.67	486.75	748.61	2287.2	878.17
SHFM1	15075.35	8305.36	3847.29	5711.87	5006.93	3901.01	6745.86	11112.3	4802.93	2609.3	13776.25	4704.07	4869.99	9808.75	4802.93	6079.61	3665.02	6121.9	4736.79	6207.38	4639.29	4736.79	10512.82	4704.07	5403.7	4152.18	5076.84	5954.47	5076.84	4512.4	4210.15	14971.21	4607.24	5711.87	3124.78	3212.66	3395.89	3768.09	1977.24	2351.53	4802.93	3540.14	4419.52	5329.3	4181.07	2178.83	2163.77	8247.98	3982.99
SSNA1	2627.46	2133.97	1508.65	1417.35	1950.0	961.07	1781.89	2573.36	1857.6	947.83	2255.7	1313.23	1233.75	3716.2	1617.0	3515.68	1709.26	1794.29	1477.58	2875.3	1388.16	934.76	4419.52	1477.58	1909.85	2367.9	1923.14	2047.0	1519.15	2061.24	1378.57	2434.5	1417.35	1268.46	698.41	660.68	579.04	1015.93	346.29	283.05	848.22	395.18	884.29	1111.82	476.71	490.14	1037.29	3060.45	693.58
SSR4	52135.28	11035.54	4543.8	30151.71	14765.09	12160.22	10014.87	15824.9	4769.75	6207.38	24660.96	5995.9	8305.36	14561.8	9344.14	12244.81	13968.57	13968.57	5913.33	31215.04	10733.74	6250.56	8022.41	9409.14	19482.97	9876.98	10368.08	12943.04	21172.91	19892.37	11745.96	15075.35	15607.02	17804.06	4802.93	5831.91	6121.9	7280.4	5751.61	5594.3	7749.1	3039.3	7331.05	4704.07	4575.41	5751.61	7803.01	125731.67	3928.15
SSSCA1	2193.99	1617.0	842.36	684.02	1477.58	759.08	872.1	1388.16	1191.69	825.0	1769.57	651.58	1388.16	1639.59	1540.37	2061.24	2075.59	1295.13	961.07	2061.24	909.17	708.18	1781.89	1331.57	1225.22	1487.87	1242.34	1508.65	995.0	1066.48	1073.91	1991.0	1081.39	1277.29	764.36	571.05	599.49	934.76	543.96	441.64	748.61	507.46	1119.56	684.02	967.76	669.92	848.22	1340.84	327.56
SUV39H1	241.19	181.28	121.79	95.34	116.78	103.69	151.22	201.25	106.63	94.67	258.57	88.88	108.14	234.57	114.36	208.38	114.36	158.79	152.28	107.38	92.7	101.54	384.34	81.71	180.02	171.45	142.01	96.01	131.51	72.01	95.34	204.07	120.94	128.79	114.36	97.36	115.16	99.43	96.68	63.89	85.82	96.01	58.3	115.16	74.06	31.67	111.99	555.41	90.77
TIMM13	10585.95	2537.92	1233.75	1259.69	1794.29	1119.56	1685.71	1896.65	1594.73	660.68	2875.3	954.43	1529.73	2591.27	1369.04	1721.16	1950.0	1819.35	1233.75	2895.31	1135.2	764.36	1963.57	1745.2	1769.57	2502.97	1936.53	1407.55	1023.0	1551.09	1233.75	2645.74	1757.34	1781.89	698.41	612.11	836.53	866.07	381.68	251.48	733.19	397.93	819.3	934.76	351.14	493.56	1191.69	3235.01	312.0
TIMM17B	3280.18	1651.0	638.15	1331.57	1167.14	1030.12	1216.75	1651.0	941.27	830.75	1583.71	1030.12	769.69	1896.65	1001.93	2004.85	785.88	1359.57	896.64	1857.6	915.51	842.36	4038.61	1268.46	1059.11	1551.09	1331.57	967.76	1104.13	1407.55	693.58	2555.58	1733.13	941.27	669.92	575.03	651.58	684.02	395.18	327.56	616.37	389.72	633.73	1216.75	493.56	571.05	1015.93	4210.15	638.15
TK1	2367.9	941.27	199.85	339.14	896.64	547.75	1286.18	2178.83	511.0	518.15	1529.73	307.69	974.5	1923.14	571.05	1183.45	587.13	703.28	1143.1	848.22	693.58	547.75	3955.48	647.07	1697.45	1417.35	802.41	802.41	1477.58	336.79	351.14	1923.14	1023.0	1388.16	85.82	236.21	226.54	149.12	97.36	94.67	255.0	12.0	353.59	265.87	114.36	193.01	307.69	3716.2	244.57
TMEM214	1551.09	1605.83	1628.26	1950.0	2032.85	1697.45	1651.0	2468.49	1487.87	1467.37	2468.49	1870.53	2061.24	2090.03	1477.58	1923.14	2335.28	1369.04	1757.34	2287.2	2163.77	1427.22	2271.4	3690.52	2075.59	1617.0	1819.35	2224.63	2537.92	1991.0	2075.59	2627.46	1639.59	2090.03	1551.09	1359.57	1216.75	1936.53	1295.13	1551.09	1268.46	961.07	1477.58	1508.65	1104.13	1388.16	1127.35	4575.41	1199.98
TOMM40	2193.99	854.13	860.08	941.27	974.5	769.69	1001.93	954.43	878.17	476.71	2119.22	684.02	753.83	1216.75	791.35	1378.57	961.07	1127.35	791.35	1378.57	656.11	414.87	2645.74	651.58	1081.39	1104.13	896.64	878.17	1001.93	759.08	638.15	1304.15	7695.57	1008.9	387.02	409.15	511.0	511.0	277.2	236.21	400.71	287.01	409.15	665.29	384.34	409.15	403.5	1757.34	559.28
TRAPPC5	6699.25	3124.78	1340.84	1508.65	2682.69	1015.93	1216.75	3257.52	1674.06	1191.69	2224.63	981.29	1427.22	3039.3	2303.12	5403.7	2178.83	2224.63	1457.23	2956.17	1745.2	1167.14	3614.55	2004.85	1909.85	2997.45	2047.0	1697.45	2451.44	2148.82	1487.87	2956.17	2193.99	1896.65	878.17	698.41	866.07	1674.06	703.28	633.73	878.17	441.64	1561.89	981.29	743.43	599.49	967.76	3325.99	497.0
TRPT1	2193.99	1277.29	629.35	1427.22	1096.5	708.18	954.43	1651.0	629.35	848.22	703.28	961.07	1044.52	575.03	1081.39	2319.15	1233.75	1051.79	974.5	2255.7	995.0	769.69	1923.14	2224.63	1001.93	1487.87	1183.45	981.29	866.07	1477.58	733.19	2061.24	974.5	1159.07	738.29	642.59	603.67	974.5	579.04	476.71	624.99	426.57	693.58	1073.91	417.77	738.29	497.0	2004.85	941.27
UBE2S	3443.31	1350.18	476.71	1088.92	656.11	629.35	1295.13	1208.34	1135.2	525.39	5831.91	299.25	796.86	2796.65	595.34	1651.0	1111.82	438.59	915.51	713.11	457.25	373.81	5831.91	351.14	2777.33	1369.04	591.22	872.1	1143.1	595.34	447.82	2163.77	2627.46	1651.0	232.94	295.11	518.15	327.56	264.03	202.66	432.53	33.3	902.89	403.5	204.07	96.68	332.14	3614.55	291.04
UBL5	27553.49	23009.42	8718.32	15934.98	11584.24	10296.45	9215.48	12589.08	9474.59	9876.98	18819.27	10154.69	10585.95	14361.31	12329.98	21172.91	9474.59	15075.35	8963.45	19482.97	12589.08	10296.45	10659.59	11345.82	12076.21	11345.82	11345.82	11909.94	13681.08	14065.74	7382.04	13215.02	14361.31	11584.24	6983.79	7180.15	9088.59	8778.97	4769.75	6652.97	5441.3	8840.04	10659.59	7485.11	5751.61	7857.29	7032.37	11992.79	4972.34
YDJC	2119.22	325.29	127.0	303.44	400.71	348.71	426.57	309.83	237.86	169.07	616.37	152.28	400.71	665.29	511.0	575.03	587.13	490.14	381.68	518.15	371.22	241.19	1359.57	202.66	447.82	620.67	339.14	490.14	454.09	329.84	358.54	753.83	529.06	291.04	202.66	176.29	175.07	150.17	195.72	180.02	211.31	37.85	90.77	269.6	108.9	67.59	208.38	1023.0	123.5
YIF1A	4388.98	3124.78	1111.82	1477.58	1950.0	1709.26	2451.44	2434.5	1819.35	1023.0	4450.27	1427.22	1721.16	3491.39	2061.24	2835.7	3982.99	1583.71	1883.54	3081.75	1427.22	947.83	2682.69	3325.99	2075.59	2075.59	2240.11	2502.97	1757.34	1991.0	1359.57	3564.78	1819.35	2758.13	1167.14	941.27	872.1	1508.65	769.69	808.0	769.69	579.04	769.69	1331.57	764.36	633.73	941.27	3716.2	872.1
YIPF2	2855.44	2645.74	1208.34	2255.7	2090.03	1208.34	1216.75	1519.15	1286.18	928.3	3564.78	1175.27	1127.35	1991.0	2004.85	3168.41	2855.44	1407.55	2032.85	2163.77	1378.57	947.83	1427.22	3716.2	2701.35	1369.04	1397.83	2555.58	2645.74	1991.0	1331.57	2018.8	1313.23	1651.0	854.13	656.11	947.83	974.5	688.78	567.1	1001.93	387.02	848.22	1233.75	607.87	693.58	1369.04	2976.74	463.65
YIPF3	5147.73	3395.89	3515.68	3515.68	3742.05	4095.0	2485.67	4671.57	2255.7	2720.15	3982.99	2777.33	3124.78	4671.57	3443.31	4607.24	5006.93	3190.46	3742.05	3742.05	3280.18	2895.31	3325.99	5366.37	4972.34	3212.66	3257.52	3768.09	3212.66	3564.78	2855.44	4419.52	3257.52	3419.52	2255.7	2004.85	2133.97	2701.35	2032.85	1936.53	1721.16	1487.87	1322.37	2209.26	1447.15	1340.84	1977.24	3235.01	2351.53
ZFPL1	1794.29	1781.89	638.15	595.34	1081.39	703.28	825.0	1051.79	780.44	802.41	1191.69	642.59	902.89	854.13	1159.07	1977.24	1844.76	1175.27	1216.75	1295.13	974.5	629.35	1250.98	1628.26	866.07	1407.55	954.43	1295.13	995.0	1073.91	647.07	1977.24	1250.98	780.44	708.18	651.58	571.05	941.27	603.67	571.05	612.11	438.59	483.38	1096.5	493.56	339.14	872.1	1583.71	450.94
ZMAT5	1135.2	579.04	463.65	409.15	703.28	525.39	633.73	1030.12	703.28	325.29	629.35	309.83	733.19	836.53	733.19	813.63	507.46	718.08	665.29	1023.0	651.58	457.25	1977.24	309.83	571.05	819.3	514.56	616.37	587.13	780.44	490.14	1508.65	688.78	753.83	423.61	417.77	269.6	559.28	351.14	307.69	409.15	312.0	460.44	575.03	273.37	476.71	540.19	728.11	392.44
