	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.S7SE.0926.SM.2XCD6	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07	TCGA.85.7710.11A.01R.2125.07
KLRC1	19.11	18.29	25.35	5.87	3.59	2.03	8.51	4.82	2.78	0.0	2.07	1.04	1.62	0.95	2.94	44.25	6.16	0.52	0.45	0.0	1.11	12.45	12.09	8.58	1.57	2.01	8.13	11.82	106.63	53.57	82.29	57.49	76.71	35.5	115.97	75.11	136.19	19.68	314.17	20.41	9.78	48.87	35.25
KLRC3	5.06	0.0	4.21	0.0	0.0	1.95	1.23	0.0	5.06	0.0	0.83	0.0	0.0	0.0	1.68	9.06	0.0	1.19	0.0	0.0	0.0	1.57	0.0	4.9	1.41	5.5	0.0	0.0	14.78	0.0	38.95	10.55	22.92	0.72	10.79	26.47	19.97	7.63	37.85	2.41	5.54	8.32	1.79
KLRF1	108.14	80.57	11.73	26.67	8.51	17.51	4.74	11.47	8.92	6.78	12.83	6.73	4.06	6.84	2.01	154.42	14.67	16.75	0.95	15.45	35.76	22.43	16.39	27.44	14.35	30.78	10.79	51.35	97.36	55.89	172.65	86.43	147.06	55.1	27.05	264.03	147.06	6.78	264.03	132.44	94.01	105.89	155.5
LINS	507.46	198.47	142.01	67.12	66.65	93.35	87.03	80.57	44.89	68.55	63.0	61.25	118.43	68.55	59.97	376.41	121.79	120.94	44.57	65.26	123.5	92.05	88.88	76.71	74.58	68.07	62.56	260.38	229.72	183.82	285.03	214.27	236.21	201.25	157.68	299.25	173.85	117.6	218.79	85.82	193.01	241.19	253.23
LRRK2	180.02	1359.57	119.26	108.14	18.56	31.67	13.93	17.64	24.63	38.12	18.97	8.71	22.26	59.13	18.56	132.44	5.63	18.29	6.52	4.03	19.25	52.82	41.81	50.63	37.85	129.69	56.28	2178.83	1709.26	2178.83	376.41	563.18	698.41	3395.89	941.27	248.0	967.76	2178.83	409.15	5147.73	633.73	3060.45	1551.09
MARK2	414.87	312.0	384.34	376.41	146.03	223.41	346.29	249.73	199.85	204.07	154.42	187.71	275.28	226.54	221.86	466.88	163.28	185.11	237.86	232.94	139.07	303.44	73.54	153.34	151.22	158.79	105.89	420.68	356.05	379.04	397.93	297.17	511.0	381.68	293.07	438.59	320.8	896.64	423.61	403.5	392.44	320.8	540.19
MB21D1	211.31	49.91	74.06	9.27	6.21	23.08	80.57	18.84	8.32	3.79	12.09	9.2	32.59	5.23	8.38	143.01	5.73	6.84	32.82	4.46	26.28	11.64	7.22	21.32	4.74	9.7	9.93	98.04	98.73	199.85	186.4	143.01	159.9	59.97	139.07	103.69	82.29	54.72	204.07	21.16	126.12	98.04	167.9
MCOLN2	563.18	38.4	82.87	23.76	1.55	34.02	140.04	22.59	3.63	3.41	12.18	0.0	0.68	2.89	4.98	204.07	4.06	2.34	0.96	2.27	15.68	2.53	17.51	7.28	4.17	0.78	4.1	226.54	85.82	85.82	454.09	173.85	157.68	183.82	154.42	1059.11	329.84	198.47	69.52	112.77	231.32	206.94	400.71
MLKL	490.14	348.71	316.37	121.79	171.45	161.02	149.12	197.09	98.73	76.17	103.69	84.63	37.85	93.35	104.42	426.57	37.85	51.35	106.63	127.0	104.42	106.63	55.89	120.94	81.71	59.97	71.0	521.76	327.56	441.64	607.87	579.04	775.05	457.25	384.34	878.17	728.11	728.11	708.18	583.07	764.36	423.61	753.83
MMP25	173.85	18.16	25.35	32.82	18.03	57.89	7.57	33.3	11.38	13.52	26.28	3.08	14.78	12.45	10.39	116.78	17.0	4.78	9.85	8.58	55.89	27.64	3.06	76.17	37.05	21.47	5.02	62.12	116.78	50.98	50.27	37.32	603.67	180.02	32.36	75.11	224.97	620.67	84.04	57.49	61.25	166.73	198.47
MOB3C	406.31	277.2	327.56	301.33	67.12	101.54	140.04	92.7	96.68	88.88	72.52	43.02	218.79	108.14	90.77	255.0	108.9	102.97	103.69	89.51	205.5	107.38	78.34	146.03	100.13	122.64	134.3	441.64	336.79	532.74	536.45	406.31	624.99	417.77	358.54	587.13	438.59	295.11	536.45	325.29	511.0	376.41	460.44
MTA2	2075.59	830.75	941.27	819.3	674.59	830.75	860.08	941.27	620.67	620.67	638.15	470.14	708.18	521.76	796.86	1322.37	536.45	620.67	902.89	624.99	669.92	860.08	307.69	426.57	651.58	450.94	460.44	1259.69	928.3	1628.26	1023.0	1119.56	1191.69	743.43	748.61	1662.49	884.29	1167.14	620.67	981.29	753.83	1096.5	1572.76
MX2	967.76	217.27	447.82	108.9	20.71	110.43	571.05	146.03	60.82	35.76	82.29	16.88	5.54	18.16	29.06	1407.55	28.24	71.0	66.65	39.5	186.4	36.27	21.78	89.51	11.3	32.82	34.26	356.05	656.11	967.76	759.08	293.07	703.28	529.06	414.87	872.1	3768.09	327.56	688.78	521.76	854.13	353.59	764.36
NAB2	426.57	514.56	457.25	563.18	221.86	312.0	320.8	301.33	277.2	503.95	329.84	125.24	189.02	301.33	346.29	409.15	108.9	234.57	173.85	463.65	316.37	384.34	361.04	303.44	559.28	185.11	197.09	647.07	400.71	909.17	769.69	684.02	480.04	353.59	563.18	1427.22	327.56	226.54	733.19	244.57	988.12	395.18	409.15
NABP1	981.29	1096.5	599.49	202.66	48.18	229.72	651.58	156.59	103.69	49.91	148.09	76.17	329.84	46.18	142.01	665.29	105.89	77.25	108.9	129.69	368.65	271.48	50.63	92.7	141.02	186.4	128.79	1561.89	708.18	1159.07	435.55	547.75	961.07	387.02	1143.1	854.13	536.45	490.14	529.06	279.14	1498.22	769.69	884.29
NCR1	23.42	12.0	4.17	6.57	0.48	4.39	2.89	6.06	2.36	3.03	0.0	0.0	0.84	2.14	0.0	15.34	4.13	4.7	0.41	1.97	5.15	8.85	0.87	5.32	9.27	13.83	3.92	6.46	21.01	11.73	25.91	10.88	44.25	12.0	18.03	61.25	67.12	12.93	27.05	12.0	14.45	11.73	40.36
NKG2-E	46.5	7.63	4.98	5.11	0.0	4.74	4.31	3.26	0.0	0.0	0.0	0.0	1.99	0.0	0.0	43.94	1.6	1.71	0.0	2.68	0.0	8.58	15.0	12.09	0.0	0.0	0.0	31.22	67.12	11.47	31.9	2.29	44.57	14.35	82.87	39.79	16.51	0.0	70.51	4.74	9.63	4.9	20.41
NKG7	2758.13	733.19	2537.92	507.46	130.6	127.89	109.66	336.79	197.09	195.72	283.05	53.57	86.43	145.02	100.13	2609.3	156.59	171.45	78.89	165.57	493.56	264.03	470.14	624.99	329.84	536.45	400.71	587.13	1628.26	1059.11	3443.31	1277.29	2400.97	1175.27	1250.98	3820.7	2664.15	2915.45	4512.4	575.03	708.18	1233.75	1242.34
NLRC5	3190.46	384.34	450.94	209.84	231.32	555.41	460.44	412.0	182.55	197.09	190.34	121.79	215.77	85.82	182.55	1923.14	150.17	237.86	157.68	260.38	246.28	255.0	193.01	463.65	123.5	88.88	88.26	954.43	438.59	698.41	2004.85	836.53	1167.14	381.68	532.74	4152.18	1242.34	1066.48	928.3	642.59	854.13	718.08	1594.73
NLRP1	1427.22	356.05	444.72	105.15	71.5	363.56	738.29	114.36	244.57	82.87	232.94	46.18	43.02	42.41	43.02	759.08	34.26	412.0	31.22	60.39	67.12	83.45	45.85	125.24	46.5	92.7	38.67	665.29	191.67	215.77	1769.57	220.32	1023.0	642.59	753.83	3190.46	536.45	229.72	1498.22	718.08	890.44	435.55	1119.56
NT5C3A	1135.2	389.72	366.09	164.42	239.52	336.79	1529.73	309.83	166.73	241.19	170.25	363.56	191.67	476.71	271.48	1359.57	205.5	329.84	457.25	291.04	136.19	234.57	232.94	176.29	122.64	96.01	96.68	381.68	728.11	305.55	713.11	587.13	547.75	327.56	563.18	753.83	371.22	189.02	540.19	329.84	708.18	532.74	860.08
OAS3	540.19	224.97	480.04	180.02	96.68	165.57	164.42	132.44	273.37	193.01	53.95	101.54	62.12	119.26	53.19	1015.93	110.43	361.04	84.63	41.52	40.36	223.41	132.44	426.57	150.17	166.73	90.14	318.57	571.05	947.83	1051.79	379.04	753.83	438.59	409.15	297.17	961.07	253.23	813.63	279.14	1487.87	291.04	540.19
ODF2L	860.08	228.13	118.43	24.81	32.82	112.77	447.82	44.57	24.99	31.9	38.12	50.98	33.3	59.97	122.64	480.04	37.59	156.59	28.04	48.87	18.43	95.34	43.63	64.8	45.85	45.85	56.68	514.56	389.72	358.54	1199.98	890.44	656.11	368.65	599.49	1135.2	417.77	392.44	403.5	669.92	450.94	587.13	860.08
OR52N4	51.71	6.73	0.88	1.14	0.89	2.61	1.33	0.91	0.0	22.92	0.0	0.0	0.0	0.92	0.0	24.99	0.0	0.88	0.0	5.28	0.0	2.25	2.92	6.41	0.0	0.66	0.0	16.27	3.92	3.26	18.7	0.84	8.13	8.45	5.11	84.63	3.59	12.09	2.39	28.65	16.63	5.11	33.54
OTOF	10.55	2.97	3.38	0.75	0.79	1.38	0.8	2.61	0.89	1.41	1.14	0.89	1.43	0.43	2.29	20.11	0.89	0.78	0.36	0.75	0.28	1.71	0.33	1.95	0.0	1.06	0.0	1.25	5.11	3.56	17.64	1.41	7.94	0.33	18.56	48.87	7.17	3.69	10.71	3.47	5.41	1.6	4.24
OVOL2	80.57	18.29	4.58	2.56	0.0	2.27	10.39	1.23	0.0	1.48	2.61	0.0	1.5	0.0	2.34	41.81	0.0	0.0	2.94	0.0	0.56	12.55	6.73	22.1	0.65	0.0	0.0	130.6	100.83	75.11	116.78	35.25	70.51	199.85	90.14	34.26	41.81	139.07	89.51	125.24	123.5	141.02	72.52
P2RY10	1030.12	29.27	84.04	14.14	3.47	25.72	15.34	9.93	5.5	4.31	11.91	0.0	0.0	3.96	1.14	438.59	5.11	2.76	0.0	2.68	13.42	16.88	8.85	40.07	1.14	11.38	2.16	48.52	96.68	39.79	624.99	71.5	57.89	66.18	226.54	1242.34	86.43	17.25	158.79	189.02	59.13	81.14	563.18
PARP8	954.43	441.64	303.44	215.77	169.07	158.79	143.01	163.28	142.01	155.5	163.28	217.27	198.47	214.27	142.01	693.58	25.91	25.54	171.45	38.12	239.52	281.09	275.28	334.46	83.45	166.73	226.54	403.5	392.44	323.03	902.89	400.71	486.75	450.94	642.59	2209.26	1167.14	289.02	532.74	974.5	384.34	457.25	684.02
PATL2	514.56	63.0	57.89	12.09	17.0	99.43	72.52	26.1	37.05	44.89	22.59	11.64	15.0	30.56	16.27	397.93	7.75	5.82	12.45	12.36	23.42	26.28	18.03	118.43	15.91	20.56	13.83	112.77	46.18	65.26	780.44	137.14	145.02	133.36	127.0	665.29	67.59	62.56	303.44	116.78	81.14	92.7	275.28
PCSK7	1508.65	447.82	1073.91	547.75	486.75	490.14	684.02	406.31	356.05	400.71	293.07	318.57	698.41	295.11	454.09	1008.9	435.55	356.05	379.04	293.07	329.84	607.87	232.94	323.03	339.14	173.85	208.38	1135.2	563.18	848.22	1340.84	854.13	941.27	567.1	819.3	4123.49	2303.12	775.05	796.86	974.5	775.05	830.75	1350.18
PDCD1	587.13	57.08	87.03	96.68	2.78	10.0	7.11	23.25	8.71	5.15	28.65	0.0	9.2	9.34	2.89	307.69	4.78	1.3	9.78	3.0	3.14	2.73	11.38	39.22	0.65	9.56	1.08	45.53	53.57	23.59	229.72	30.78	212.78	32.36	307.69	346.29	429.54	78.89	57.49	312.0	31.45	57.89	144.01
PIK3C3	848.22	723.08	703.28	417.77	392.44	490.14	647.07	559.28	376.41	497.0	493.56	559.28	457.25	713.11	420.68	1127.35	591.22	493.56	339.14	373.81	285.03	441.64	567.1	547.75	384.34	563.18	688.78	967.76	607.87	1508.65	878.17	708.18	890.44	476.71	825.0	1030.12	688.78	848.22	703.28	909.17	866.07	808.0	872.1
PIM2	3901.01	591.22	3491.39	633.73	140.04	199.85	215.77	351.14	106.63	194.36	267.73	49.91	120.1	226.54	120.94	1781.89	171.45	83.45	156.59	231.32	194.36	171.45	248.0	441.64	291.04	271.48	194.36	896.64	651.58	2004.85	6426.31	4543.8	909.17	1331.57	2537.92	5112.16	733.19	587.13	493.56	2119.22	426.57	607.87	2485.67
PKHD1L1	73.54	17.0	22.75	14.45	4.98	0.0	13.12	3.5	0.0	389.72	1.04	0.0	0.0	77.25	2.76	99.43	0.0	1.03	5.02	4.78	0.0	22.59	18.97	2.34	7.57	50.63	0.16	70.51	63.89	18.43	217.27	32.36	28.65	92.05	136.19	93.35	242.88	38.95	29.48	73.54	52.08	72.52	414.87
PLAGL1	265.87	172.65	156.59	63.0	10.16	58.3	503.95	22.59	10.55	20.11	16.15	5.5	7.63	11.82	11.91	255.0	15.8	8.71	8.0	15.0	12.93	64.34	20.56	27.84	11.04	22.1	10.47	708.18	409.15	281.09	563.18	127.0	460.44	297.17	785.88	336.79	392.44	163.28	356.05	426.57	674.59	366.09	483.38
PLSCR1	1477.58	1745.2	1350.18	813.63	327.56	620.67	674.59	674.59	738.29	743.43	497.0	575.03	366.09	314.17	684.02	2319.15	356.05	244.57	223.41	314.17	1498.22	759.08	460.44	1457.23	638.15	500.46	483.38	1295.13	2895.31	1628.26	1167.14	1407.55	2193.99	1551.09	1870.53	2047.0	5441.3	1685.71	1427.22	1685.71	1819.35	2502.97	2271.4
PML	1175.27	1135.2	1159.07	1183.45	348.71	647.07	366.09	665.29	444.72	327.56	454.09	358.54	698.41	353.59	521.76	1066.48	303.44	348.71	432.53	356.05	312.0	551.56	170.25	447.82	316.37	271.48	111.99	1159.07	961.07	1427.22	1331.57	1216.75	1417.35	1023.0	1388.16	2133.97	3742.05	1359.57	1233.75	1909.85	1447.15	1268.46	1143.1
PRKRIR	967.76	258.57	406.31	138.1	279.14	239.52	361.04	262.2	159.9	226.54	195.72	229.72	303.44	172.65	275.28	780.44	283.05	202.66	199.85	232.94	327.56	269.6	180.02	149.12	138.1	220.32	202.66	454.09	775.05	521.76	941.27	819.3	551.56	563.18	591.22	718.08	529.06	131.51	299.25	346.29	698.41	656.11	836.53
PSTPIP1	1331.57	368.65	476.71	154.42	37.32	197.09	76.17	102.25	51.35	48.52	101.54	11.04	19.82	29.7	45.85	854.13	17.51	12.18	38.95	54.33	67.12	31.67	96.01	256.78	30.12	55.1	25.35	412.0	231.32	441.64	995.0	361.04	1277.29	285.03	307.69	1896.65	279.14	555.41	684.02	120.94	514.56	532.74	656.11
PTGDR	51.71	21.01	35.76	5.59	1.35	3.56	3.41	3.0	3.82	2.14	3.35	1.99	0.89	1.81	3.47	24.81	2.43	1.71	0.45	1.66	4.98	3.72	14.67	7.06	3.92	8.71	5.77	15.91	14.67	18.16	56.28	19.53	57.49	3.41	7.28	34.51	20.56	9.13	50.98	17.38	23.93	13.42	42.41
PTPN22	454.09	72.52	80.01	18.16	4.7	37.85	12.0	20.86	9.2	10.39	11.13	1.69	1.06	13.72	7.63	234.57	6.16	3.86	6.94	5.19	11.3	21.94	16.63	26.28	4.9	9.2	3.35	148.09	92.05	109.66	518.15	135.24	170.25	74.58	417.77	1561.89	684.02	165.57	190.34	432.53	194.36	133.36	346.29
PTPN7	1437.15	183.82	279.14	122.64	17.77	113.56	53.95	122.64	41.81	34.02	63.45	3.96	10.31	21.47	20.71	723.08	18.84	9.06	25.17	27.25	31.9	20.26	82.29	102.97	18.7	22.59	7.51	297.17	143.01	236.21	1909.85	389.72	860.08	126.12	246.28	2434.5	406.31	226.54	156.59	318.57	244.57	323.03	961.07
PTPRQ	4.94	0.0	4.46	0.0	0.0	0.0	19.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.42	0.0	5.63	0.0	0.0	0.0	0.26	0.33	3.11	0.0	0.0	0.3	16.51	23.08	0.0	90.77	7.82	4.24	18.43	9.06	83.45	52.08	2.53	19.97	44.25	14.45	10.71	33.3
RAC2	11112.3	1519.15	2133.97	1143.1	100.83	830.75	256.78	587.13	231.32	246.28	656.11	39.79	28.04	100.13	127.89	4903.87	183.82	94.67	80.01	208.38	400.71	651.58	198.47	759.08	265.87	536.45	341.51	1268.46	1709.26	1674.06	6037.61	2485.67	8538.88	3303.0	2400.97	5403.7	5479.15	2367.9	5147.73	1088.92	3768.09	1639.59	6699.25
RASGRP1	507.46	47.17	53.95	13.52	3.89	30.12	6.52	14.35	7.69	5.23	6.78	1.04	1.6	4.43	3.66	239.52	4.43	2.76	1.69	3.72	2.86	7.17	19.82	20.56	7.22	7.82	19.11	76.17	47.17	132.44	503.95	124.37	115.97	44.25	209.84	1096.5	178.77	55.89	107.38	161.02	77.25	85.22	242.88
RP11-248J23.6	3.41	1.46	0.42	0.0	0.0	0.52	0.84	0.43	0.0	0.0	0.0	0.0	0.0	0.44	0.0	1.91	0.0	0.0	0.0	0.4	3.82	0.51	0.0	0.0	0.0	0.0	0.0	6.46	0.0	6.11	3.23	1.04	0.84	1.55	4.74	3.96	4.46	0.0	1.23	2.34	2.34	3.32	5.19
RUFY4	53.57	12.64	8.51	0.0	10.55	12.64	6.67	2.51	4.66	5.02	6.57	0.0	0.71	5.96	0.0	58.3	1.79	2.84	2.03	2.34	1.1	13.42	3.38	0.85	0.04	3.72	0.3	33.54	4.78	17.38	37.05	26.47	33.3	3.96	24.11	180.02	1.3	0.91	12.18	13.32	56.68	19.82	15.45
RUNX2	146.03	105.89	73.54	34.02	3.32	10.47	3.0	9.27	6.26	29.91	5.92	0.68	0.99	53.19	3.44	80.57	12.27	4.35	1.81	4.94	3.38	9.48	0.46	25.35	5.19	42.71	0.38	128.79	38.4	96.01	163.28	119.26	94.01	59.97	96.68	444.72	114.36	81.71	77.79	305.55	54.72	82.29	115.16
SAMD3	525.39	60.39	87.03	19.25	5.28	43.94	12.36	19.25	15.11	23.76	13.62	6.52	2.81	6.26	7.46	423.61	5.11	8.19	3.99	3.92	15.34	12.27	13.03	34.02	7.69	15.91	11.13	77.25	140.04	112.77	285.03	77.25	146.03	39.79	127.0	301.33	71.0	35.76	251.48	46.84	81.14	90.77	142.01
SAMD9	642.59	52.45	86.43	3.69	27.25	27.44	48.87	22.43	13.72	31.0	16.27	19.68	7.82	16.03	21.01	483.38	18.03	41.81	9.85	12.83	6.26	41.81	11.73	95.34	22.1	53.19	42.11	123.5	136.19	376.41	543.96	208.38	246.28	185.11	150.17	540.19	100.83	63.89	387.02	32.59	435.55	110.43	275.28
SAMD9L	934.76	170.25	164.42	14.14	26.86	60.39	100.83	47.84	26.1	30.12	27.05	17.13	7.88	18.16	14.03	698.41	17.38	24.28	27.64	16.03	14.89	87.03	14.24	39.22	21.01	35.25	20.71	318.57	264.03	954.43	1639.59	384.34	860.08	429.54	265.87	1001.93	167.9	246.28	1143.1	112.77	1225.22	320.8	616.37
SATB1	620.67	211.31	165.57	100.13	122.64	93.35	62.56	104.42	81.71	90.77	47.5	68.55	264.03	59.55	176.29	309.83	23.25	191.67	33.78	29.27	178.77	102.97	147.06	139.07	144.01	182.55	234.57	356.05	241.19	116.78	463.65	154.42	289.02	202.66	384.34	1111.82	738.29	246.28	379.04	587.13	256.78	279.14	525.39
SEPT9	6652.97	3349.13	3589.58	3039.3	1350.18	3325.99	3018.3	2664.15	2319.15	2645.74	2384.37	3665.02	3103.19	2609.3	2591.27	5594.3	1498.22	1457.23	3146.52	2351.53	1359.57	2367.9	1268.46	1794.29	1651.0	2303.12	1583.71	2682.69	2701.35	4181.07	4210.15	3212.66	4152.18	2468.49	3443.31	5219.6	3901.01	3928.15	3515.68	3280.18	3768.09	2417.67	5219.6
SH2D1B	34.51	20.11	15.0	8.45	2.48	4.98	4.62	3.38	2.86	14.78	2.51	4.74	1.99	1.75	1.75	51.35	12.18	6.84	0.72	5.45	8.51	10.39	10.24	10.31	9.48	10.55	7.22	25.91	30.12	29.91	36.27	29.48	41.52	21.63	18.43	85.82	178.77	9.7	127.0	34.02	24.99	46.84	57.49
SH2D2A	384.34	85.82	108.9	136.19	15.45	90.77	16.51	69.52	26.47	25.35	50.27	0.0	3.96	16.03	10.88	332.14	17.13	14.78	38.95	77.25	24.63	9.48	72.52	32.59	12.55	12.74	11.47	115.16	138.1	151.22	307.69	154.42	135.24	112.77	269.6	915.51	532.74	105.15	325.29	167.9	115.97	241.19	193.01
SIRPG	1313.23	58.71	136.19	63.45	13.12	45.53	13.03	76.71	21.16	28.04	40.36	0.0	4.06	14.24	13.32	599.49	10.71	4.21	11.55	5.11	3.69	25.72	25.91	26.86	17.13	18.03	11.64	53.57	91.41	69.03	336.79	64.8	100.13	29.7	62.12	376.41	34.26	67.59	96.01	39.79	39.79	59.55	332.14
SLA2	414.87	43.63	89.51	35.0	9.78	22.26	7.22	29.7	17.64	11.21	26.86	1.93	2.68	11.21	12.27	244.57	6.84	4.86	8.0	9.34	22.26	14.78	31.22	12.93	7.94	20.71	6.67	55.1	115.16	65.26	164.42	58.3	90.77	45.85	190.34	409.15	420.68	31.45	172.65	163.28	43.94	119.26	181.28
SLFN12L	229.72	21.01	16.75	0.75	3.86	18.7	7.4	4.39	3.38	7.88	6.01	0.85	0.75	5.32	1.73	190.34	2.86	0.77	2.14	5.73	3.89	6.26	0.05	23.08	2.81	3.99	5.19	45.21	6.67	72.52	119.26	38.4	70.51	15.11	60.39	571.05	60.39	15.11	54.72	56.28	29.48	58.3	150.17
SMARCA5	607.87	387.02	373.81	46.84	281.09	205.5	423.61	212.78	116.78	131.51	228.13	547.75	164.42	113.56	159.9	603.67	281.09	195.72	191.67	171.45	142.01	297.17	102.25	135.24	236.21	176.29	186.4	825.0	563.18	780.44	583.07	647.07	503.95	555.41	703.28	642.59	406.31	764.36	493.56	392.44	728.11	607.87	764.36
SP140	1447.15	135.24	239.52	83.45	58.71	79.45	135.24	71.5	12.74	27.44	68.07	18.16	14.35	27.64	74.58	775.05	14.14	35.5	32.13	27.05	46.18	18.97	62.12	45.53	24.63	15.56	5.77	139.07	202.66	183.82	921.88	346.29	316.37	131.51	624.99	2061.24	323.03	211.31	291.04	753.83	242.88	190.34	915.51
SPCS3	1250.98	708.18	1259.69	409.15	579.04	854.13	941.27	748.61	616.37	348.71	785.88	1417.35	351.14	146.03	463.65	1159.07	688.78	525.39	1051.79	563.18	902.89	543.96	525.39	753.83	780.44	616.37	1015.93	1175.27	1674.06	1685.71	1447.15	842.36	660.68	830.75	1709.26	1059.11	1127.35	679.29	679.29	1135.2	1051.79	1583.71	1674.06
STIM2	921.88	262.2	211.31	73.54	285.03	208.38	463.65	182.55	334.46	189.02	108.9	285.03	329.84	135.24	295.11	688.78	165.57	187.71	142.01	198.47	206.94	220.32	258.57	193.01	271.48	177.53	115.16	500.46	358.54	351.14	909.17	476.71	981.29	457.25	417.77	708.18	314.17	575.03	346.29	262.2	529.06	447.82	703.28
TBC1D10C	3190.46	301.33	518.15	218.79	39.22	177.53	58.71	142.01	81.71	117.6	156.59	10.79	74.58	34.75	51.35	1963.57	49.21	24.11	49.56	45.21	55.49	87.65	87.03	162.14	46.84	77.79	59.55	409.15	269.6	363.56	3901.01	679.29	3190.46	1651.0	497.0	7485.11	417.77	273.37	2367.9	346.29	1143.1	473.41	1561.89
TESPA1	1151.06	66.18	90.77	59.13	4.62	35.25	9.7	33.78	6.89	14.35	21.16	0.59	2.66	8.45	4.03	450.94	7.63	4.54	5.5	3.35	18.03	6.62	11.91	34.51	2.16	11.3	2.58	87.65	71.0	98.04	603.67	115.97	318.57	43.32	166.73	1167.14	116.78	52.82	241.19	237.86	147.06	88.26	420.68
TIGIT	1819.35	35.25	84.04	52.45	12.55	38.67	12.83	50.98	6.73	14.35	15.68	2.14	1.77	10.08	3.69	532.74	11.38	11.73	11.73	12.83	34.51	16.51	27.05	72.52	3.38	63.0	5.92	84.63	85.22	50.63	470.14	120.94	72.52	24.81	54.72	483.38	113.56	36.27	161.02	118.43	33.06	99.43	325.29
TMC8	2758.13	323.03	483.38	214.27	40.64	173.85	44.25	81.71	49.56	82.29	92.05	12.0	17.38	25.72	26.28	1268.46	38.4	30.12	28.04	37.32	128.79	91.41	84.63	164.42	79.45	108.14	100.83	620.67	255.0	392.44	2319.15	457.25	1331.57	320.8	514.56	5041.77	403.5	303.44	830.75	346.29	587.13	414.87	1806.78
TMEM229B	295.11	51.35	107.38	145.02	19.11	35.76	108.14	33.3	10.47	9.27	17.77	3.44	10.96	7.75	17.51	155.5	21.32	7.34	19.11	10.0	6.06	21.63	8.78	13.03	20.86	50.98	43.63	70.51	52.82	145.02	183.82	87.03	283.05	150.17	76.71	136.19	28.45	60.82	127.89	19.82	141.02	88.88	144.01
TRAF3	417.77	191.67	334.46	146.03	69.52	221.86	101.54	152.28	148.09	123.5	159.9	72.52	339.14	58.71	190.34	283.05	121.79	87.65	115.16	104.42	108.9	84.63	43.32	124.37	78.34	76.71	102.97	239.52	275.28	409.15	265.87	202.66	231.32	137.14	239.52	429.54	176.29	185.11	139.07	275.28	258.57	231.32	500.46
TRIM69	928.3	563.18	674.59	373.81	204.07	295.11	341.51	209.84	150.17	172.65	198.47	144.01	102.25	125.24	164.42	842.36	173.85	175.07	148.09	187.71	299.25	366.09	366.09	447.82	195.72	412.0	447.82	356.05	733.19	1119.56	1313.23	521.76	813.63	435.55	796.86	748.61	486.75	305.55	1216.75	303.44	1378.57	836.53	738.29
TVP23A	74.06	14.14	22.43	10.79	3.38	17.38	50.98	17.38	6.94	2.89	9.78	1.04	5.02	3.47	8.71	76.17	2.16	4.7	3.56	5.87	7.28	4.54	3.23	4.21	2.58	7.63	1.95	49.21	18.29	48.52	139.07	82.29	67.12	34.51	42.11	143.01	55.49	22.92	47.17	13.83	47.17	39.22	73.03
UVRAG	684.02	193.01	281.09	136.19	193.01	146.03	149.12	153.34	111.99	206.94	105.15	98.04	127.89	178.77	181.28	339.14	159.9	125.24	114.36	161.02	102.97	132.44	120.94	108.14	169.07	136.19	148.09	241.19	256.78	392.44	872.1	361.04	241.19	287.01	256.78	854.13	316.37	193.01	208.38	718.08	242.88	285.03	507.46
