	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.145MH.0626.SM.5NQAK	GTEX.13NZ9.0926.SM.5KM12	GTEX.12WSD.0826.SM.5GCNE	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.X4XX.1026.SM.4QARO	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.U3ZH.0526.SM.3DB75	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.12ZZW.0926.SM.5LZUD	GTEX.ZE7O.0826.SM.57WCP	GTEX.RTLS.0926.SM.2TF5X	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZYVF.1726.SM.5E443	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.11WQK.2926.SM.5EQKT
TAS1R1	0.03	0.16	3.26	1.38	0.19	1.87	0.65	1.97	0.62	0.59	0.0	0.09	13.32	33.3	17.9	15.0	6.73	16.15	2.66	74.58	17.0	12.0	38.95	24.81	8.71	3.86	25.91	42.71	37.32	32.59	10.08	0.37	2.48	1.55	0.0	2.36	0.28	2.81	0.0	0.0
TBC1D8B	23.59	23.42	50.98	44.89	29.27	28.45	31.0	23.59	21.78	28.86	0.0	0.03	132.44	90.14	109.66	69.03	118.43	69.52	100.13	56.68	88.26	86.43	105.89	142.01	56.68	43.32	66.65	113.56	105.89	71.5	103.69	35.5	115.16	15.22	31.9	38.95	16.75	29.7	16.51	44.57
TCEA2	157.68	583.07	555.41	638.15	518.15	409.15	1175.27	567.1	146.03	248.0	0.0	0.58	1066.48	2434.5	1896.65	1015.93	1268.46	2520.38	1059.11	2351.53	1529.73	1359.57	2468.49	1447.15	1844.76	723.08	1447.15	2384.37	1369.04	2047.0	651.58	108.9	423.61	183.82	363.56	303.44	178.77	138.1	217.27	206.94
TDRD3	189.02	187.71	198.47	221.86	189.02	146.03	137.14	262.2	128.79	209.84	0.0	0.18	384.34	412.0	373.81	293.07	299.25	279.14	295.11	563.18	483.38	497.0	500.46	753.83	309.83	223.41	392.44	684.02	511.0	363.56	381.68	490.14	283.05	363.56	253.23	316.37	312.0	285.03	334.46	74.06
THUMPD1	341.51	329.84	267.73	387.02	279.14	204.07	273.37	241.19	177.53	242.88	371.22	98.73	764.36	579.04	540.19	567.1	733.19	507.46	463.65	665.29	748.61	780.44	759.08	928.3	684.02	420.68	651.58	665.29	638.15	575.03	457.25	265.87	521.76	193.01	228.13	339.14	228.13	264.03	220.32	209.84
TMEM178A	3.17	11.73	21.47	4.13	12.55	7.0	19.11	12.83	3.26	10.24	0.0	0.29	463.65	1295.13	277.2	305.55	205.5	463.65	69.03	738.29	1143.1	1242.34	1044.52	915.51	500.46	154.42	142.01	1208.34	1081.39	698.41	123.5	8.0	142.01	2.1	0.0	11.73	6.46	16.63	3.59	38.95
TMEM219	3491.39	1991.0	2119.22	1662.49	1806.78	1883.54	1844.76	2417.67	1844.76	1794.29	4095.0	934.76	6983.79	7966.99	7331.05	4095.0	6164.49	7331.05	4066.71	7485.11	4575.41	6337.83	5292.48	5594.3	4543.8	2701.35	7911.95	8022.41	4512.4	5872.48	4181.07	2591.27	3168.41	1685.71	1340.84	2163.77	2351.53	2468.49	1963.57	1697.45
TMEM240	3.59	73.03	110.43	84.63	30.12	16.63	10.31	162.14	8.38	1.69	0.0	0.32	229.72	111.99	82.87	62.12	77.79	80.01	59.97	57.49	57.49	76.17	78.34	148.09	98.73	55.1	107.38	204.07	76.71	141.02	40.36	11.3	10.88	4.54	19.11	3.69	3.2	0.96	1.23	14.67
TNFSF12	52.45	921.88	651.58	339.14	255.0	336.79	194.36	334.46	144.01	117.6	0.0	0.67	3325.99	4543.8	4010.71	1605.83	2367.9	3540.14	1977.24	6652.97	3443.31	3039.3	3928.15	2739.08	2835.7	813.63	6294.04	3847.29	2485.67	4836.35	1844.76	612.11	341.51	146.03	152.28	234.57	102.97	111.21	94.67	27.25
TTPA	0.84	1.16	1.48	0.92	0.29	3.0	1.6	0.66	0.0	0.48	0.0	0.0	8.58	18.43	40.64	8.85	8.32	22.1	6.06	39.22	71.0	49.91	66.18	73.54	12.0	3.72	46.5	58.71	16.15	52.08	12.74	0.27	1.33	0.14	0.04	8.51	0.13	1.01	0.0	0.37
WBP1	1001.93	1088.92	1225.22	723.08	1051.79	902.89	1781.89	928.3	688.78	733.19	0.0	0.42	4123.49	5403.7	2148.82	1909.85	3540.14	3955.48	1991.0	2645.74	2351.53	2240.11	2502.97	4152.18	3564.78	2075.59	3395.89	6079.61	2720.15	3303.0	2997.45	457.25	1540.37	480.04	693.58	813.63	854.13	525.39	511.0	555.41
WNT2	0.0	4.54	8.71	4.74	3.41	7.0	1.1	1.0	25.54	2.94	0.0	0.47	87.03	295.11	587.13	579.04	896.64	190.34	323.03	2935.74	1119.56	656.11	728.11	1322.37	603.67	102.97	279.14	753.83	193.01	743.43	486.75	81.71	10.16	3.38	1.43	0.0	1.87	2.86	0.0	19.11
ZFP2	2.14	12.64	19.68	20.56	12.18	6.78	2.53	19.53	2.56	3.38	0.0	0.12	25.91	114.36	129.69	39.22	65.72	38.4	65.72	92.7	100.83	75.11	144.01	92.7	40.07	13.22	63.45	166.73	77.79	91.41	43.94	6.52	13.62	3.82	6.62	11.91	5.63	3.99	6.06	2.07
ZMAT1	6.26	34.26	63.45	96.01	30.78	18.03	43.32	60.82	9.13	7.06	0.0	0.65	40.64	638.15	175.07	387.02	463.65	414.87	63.45	540.19	785.88	921.88	791.35	1781.89	633.73	53.19	189.02	713.11	514.56	571.05	191.67	0.0	35.25	3.66	5.59	13.52	2.39	5.32	0.68	0.0
ZNF177	2.18	6.36	6.46	4.86	6.11	8.13	13.12	15.8	0.0	11.21	0.0	0.09	100.13	53.57	57.08	39.79	40.07	45.85	31.9	42.11	68.07	37.59	123.5	53.95	19.11	27.25	88.26	54.33	90.77	135.24	38.95	14.14	19.25	2.71	0.57	15.56	0.0	4.78	0.0	9.7
ZNF280D	166.73	269.6	279.14	466.88	236.21	244.57	312.0	220.32	110.43	146.03	0.0	0.27	466.88	620.67	633.73	466.88	656.11	490.14	486.75	748.61	567.1	842.36	633.73	961.07	647.07	395.18	620.67	679.29	579.04	738.29	571.05	155.5	289.02	141.02	143.01	217.27	128.79	167.9	120.1	123.5
ZNF404	16.39	16.88	44.57	14.78	31.45	18.29	37.05	31.9	14.03	12.27	0.0	0.21	105.89	107.38	117.6	79.45	84.63	44.57	61.68	46.84	169.07	125.24	264.03	301.33	45.85	28.04	68.55	316.37	119.26	150.17	60.39	9.93	34.51	8.65	7.34	20.56	5.63	8.65	6.52	9.56
ZNF471	7.22	40.93	12.27	42.11	48.52	17.25	9.63	75.64	1.33	9.63	0.0	0.49	139.07	130.6	221.86	80.57	120.1	57.49	45.85	224.97	144.01	150.17	299.25	466.88	224.97	55.49	185.11	217.27	305.55	228.13	72.52	5.54	20.26	4.28	9.34	32.36	5.63	4.74	1.43	8.45
ZNF569	1.28	21.32	11.64	25.72	20.11	10.31	33.78	33.06	2.92	15.34	0.0	0.31	82.87	86.43	84.63	37.05	117.6	54.33	85.22	115.16	82.29	127.0	165.57	141.02	40.93	31.67	110.43	159.9	61.25	127.89	55.89	47.17	46.18	15.22	43.32	33.06	15.8	9.48	50.98	16.88
ZNF597	2.46	24.28	23.25	20.11	17.25	15.68	26.67	24.11	27.44	21.01	0.0	0.2	86.43	63.0	66.18	45.21	139.07	37.32	50.63	51.35	134.3	169.07	197.09	105.15	98.73	60.39	110.43	126.12	139.07	57.89	74.58	24.99	17.64	10.31	32.13	31.0	19.68	12.55	14.78	70.01
ZNF630	18.97	33.3	48.18	35.5	29.27	28.04	24.46	48.87	25.91	11.64	0.0	0.25	69.52	58.3	104.42	43.02	80.57	36.79	104.42	77.79	101.54	37.85	114.36	82.87	35.5	24.99	58.3	108.9	68.07	76.71	75.11	17.9	43.63	15.8	10.71	29.48	9.78	27.44	11.38	3.92
ZNF678	28.24	29.91	45.85	28.24	17.9	22.26	20.26	19.25	6.46	15.34	78.34	43.32	93.35	63.45	90.14	60.82	128.79	40.93	50.63	153.34	100.13	114.36	145.02	102.97	100.83	79.45	64.8	97.36	115.97	126.12	103.69	32.82	40.64	15.0	18.56	15.45	18.84	6.57	18.7	15.68
ZNF704	15.91	77.25	92.05	86.43	24.63	35.0	31.45	45.21	0.78	36.01	0.0	0.23	334.46	406.31	423.61	157.68	387.02	332.14	112.77	854.13	470.14	612.11	674.59	473.41	395.18	193.01	595.34	480.04	460.44	909.17	198.47	10.08	208.38	15.34	8.92	34.75	13.32	16.63	2.16	10.79
ZNF808	40.93	69.52	61.68	47.17	70.51	62.56	35.0	89.51	4.21	48.87	0.0	0.39	226.54	255.0	166.73	149.12	209.84	95.34	132.44	387.02	211.31	248.0	346.29	236.21	264.03	185.11	120.1	165.57	217.27	134.3	102.25	19.82	42.71	47.84	22.59	57.08	19.97	35.0	14.14	51.35
ZSCAN30	108.14	137.14	157.68	141.02	153.34	120.1	92.05	121.79	77.79	52.82	0.0	0.59	260.38	327.56	279.14	215.77	323.03	178.77	149.12	316.37	285.03	305.55	543.96	500.46	285.03	135.24	169.07	387.02	281.09	341.51	178.77	36.79	73.54	41.52	43.63	90.77	46.18	55.89	25.91	37.85
