	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
LGALS9	1757.34	86.43	1350.18	2075.59	1639.59	2573.36	1769.57	2004.85	1008.9	1030.12	271.48	1857.6	1242.34	961.07	148.09	1870.53	486.75	1208.34	197.09	457.25	248.0	96.68	125.24	420.68	379.04	599.49	486.75	1388.16	454.09	483.38	954.43	780.44	753.83	896.64	417.77	536.45	679.29	309.83	647.07	206.94	595.34	497.0	202.66	493.56	713.11	211.31	309.83	125.24	808.0	169.07	450.94	183.82	366.09	281.09
LIMD2	819.3	40.64	1037.29	1806.78	1111.82	2434.5	866.07	2417.67	1030.12	1008.9	68.07	1350.18	1417.35	679.29	52.82	1806.78	379.04	3955.48	149.12	169.07	165.57	47.5	66.65	116.78	142.01	83.45	195.72	409.15	82.29	490.14	4298.64	226.54	325.29	500.46	199.85	181.28	132.44	124.37	567.1	106.63	215.77	173.85	66.18	221.86	277.2	20.41	100.83	72.01	297.17	57.49	94.01	236.21	403.5	141.02
MX2	194.36	32.59	197.09	214.27	209.84	336.79	224.97	486.75	242.88	212.78	83.45	239.52	249.73	299.25	35.76	217.27	239.52	275.28	68.07	86.43	135.24	16.75	53.19	98.04	72.52	84.63	108.14	181.28	115.97	151.22	392.44	532.74	334.46	109.66	125.24	101.54	27.64	90.14	149.12	48.18	54.72	59.55	71.5	80.57	187.71	41.22	59.97	45.53	129.69	45.53	81.14	88.88	102.97	69.03
MYO1F	379.04	21.63	429.54	486.75	334.46	497.0	438.59	836.53	343.89	248.0	37.85	406.31	332.14	297.17	36.79	429.54	87.65	679.29	85.82	120.94	149.12	37.05	51.71	43.63	90.14	102.25	72.52	113.56	50.27	195.72	450.94	129.69	271.48	169.07	144.01	144.01	31.45	75.11	198.47	22.26	125.24	121.79	54.33	105.15	136.19	28.86	19.11	56.28	214.27	34.26	130.6	176.29	165.57	56.28
NCKAP1L	239.52	8.85	291.04	384.34	265.87	651.58	258.57	638.15	318.57	229.72	19.82	444.72	277.2	256.78	11.47	351.14	80.57	503.95	36.01	125.24	29.7	18.97	13.03	37.32	59.97	111.99	52.45	89.51	66.65	59.13	463.65	43.32	83.45	118.43	27.25	146.03	27.84	39.79	67.12	12.93	54.72	67.12	18.03	55.49	186.4	5.63	5.73	11.38	206.94	19.11	84.63	62.12	41.81	27.25
NCR3	72.01	0.82	30.12	61.68	42.41	163.28	34.26	125.24	38.67	52.08	1.83	85.82	56.68	24.28	0.0	102.25	55.1	69.52	4.62	17.25	34.26	15.56	13.22	0.0	7.11	0.0	0.0	42.41	0.0	16.75	87.65	28.45	29.7	44.25	0.0	6.84	6.73	9.56	25.17	0.0	4.66	8.71	4.28	17.38	15.91	3.66	10.39	4.39	17.64	14.67	2.81	3.89	23.08	4.06
NMI	417.77	176.29	454.09	460.44	438.59	551.56	373.81	447.82	463.65	358.54	299.25	376.41	476.71	363.56	212.78	412.0	381.68	432.53	218.79	256.78	316.37	120.1	256.78	204.07	258.57	221.86	253.23	361.04	244.57	346.29	346.29	273.37	295.11	379.04	218.79	262.2	267.73	241.19	529.06	295.11	299.25	299.25	212.78	201.25	334.46	312.0	314.17	265.87	403.5	248.0	267.73	239.52	314.17	185.11
OAS1	397.93	64.8	395.18	420.68	361.04	454.09	447.82	536.45	271.48	279.14	88.88	329.84	397.93	264.03	88.88	441.64	256.78	379.04	208.38	248.0	271.48	41.81	31.9	98.04	145.02	122.64	134.3	325.29	151.22	309.83	384.34	493.56	497.0	305.55	172.65	121.79	111.99	106.63	316.37	105.89	237.86	74.58	50.63	128.79	275.28	104.42	195.72	84.63	212.78	146.03	124.37	68.07	208.38	159.9
OAS2	301.33	40.36	341.51	368.65	264.03	490.14	312.0	483.38	267.73	260.38	85.22	348.71	289.02	202.66	49.91	329.84	152.28	248.0	144.01	120.94	206.94	13.52	42.11	55.1	108.14	49.91	90.14	256.78	72.01	128.79	253.23	221.86	341.51	228.13	89.51	76.17	114.36	74.06	232.94	75.64	116.78	45.21	34.26	155.5	142.01	53.57	89.51	41.81	159.9	79.45	85.22	56.28	146.03	78.34
OAS3	220.32	30.56	186.4	128.79	120.1	191.67	279.14	237.86	162.14	129.69	74.06	153.34	244.57	155.5	57.08	166.73	120.94	236.21	84.04	111.99	136.19	23.59	34.26	55.1	81.14	60.82	73.03	253.23	70.51	123.5	232.94	279.14	281.09	159.9	131.51	71.5	81.71	76.17	154.42	53.19	68.07	54.33	51.35	105.15	142.01	37.05	87.03	51.71	96.01	67.12	80.57	55.89	153.34	90.77
OASL	79.45	5.54	111.21	97.36	72.01	120.1	75.11	90.14	105.15	63.89	13.32	57.08	58.71	52.45	14.03	119.26	42.11	68.55	18.56	28.24	48.18	17.0	17.38	11.47	35.25	17.64	51.35	47.17	46.5	39.79	69.03	202.66	105.89	59.13	22.1	20.86	24.63	26.86	62.12	13.32	44.57	10.47	31.45	31.0	40.07	9.7	33.78	11.38	31.0	28.65	19.82	14.45	30.56	14.24
PARP15	72.01	1.39	136.19	126.12	80.01	176.29	109.66	420.68	90.14	69.03	6.46	157.68	209.84	108.9	3.08	98.04	67.59	896.64	18.7	23.59	32.59	7.4	5.41	10.0	28.86	14.14	11.55	37.85	29.48	54.72	447.82	9.56	59.55	37.85	31.22	12.36	8.19	17.38	61.68	5.02	22.26	13.52	7.69	37.32	47.5	3.53	4.21	3.86	31.9	10.08	11.47	29.48	45.53	14.14
PARVG	454.09	16.63	591.22	808.0	521.76	974.5	575.03	1477.58	518.15	339.14	34.75	708.18	703.28	363.56	21.32	775.05	136.19	1540.37	67.12	190.34	72.01	29.7	22.26	32.59	139.07	100.83	69.03	116.78	38.95	314.17	1225.22	108.14	248.0	178.77	100.13	119.26	48.87	73.03	289.02	31.45	129.69	109.66	41.52	92.7	191.67	21.94	9.13	34.26	237.86	35.0	97.36	102.97	161.02	38.4
PLAC8	231.32	44.25	199.85	293.07	198.47	633.73	173.85	813.63	226.54	236.21	18.7	373.81	332.14	173.85	11.55	457.25	105.15	339.14	14.67	2.89	45.53	105.89	21.94	14.45	29.27	14.67	21.32	123.5	15.56	50.98	400.71	49.91	89.51	55.1	113.56	29.7	26.28	74.58	175.07	4.9	24.81	54.72	31.45	44.89	82.87	28.04	5.36	7.88	135.24	56.28	13.42	36.27	72.52	53.95
PLCB2	376.41	25.72	521.76	603.67	432.53	575.03	559.28	1350.18	373.81	262.2	27.84	497.0	563.18	318.57	28.86	575.03	161.02	1073.91	85.22	106.63	134.3	13.03	15.8	24.63	108.14	128.79	64.34	187.71	67.12	241.19	967.76	84.04	275.28	186.4	141.02	100.83	78.34	47.84	305.55	29.7	186.4	82.29	32.36	123.5	155.5	32.36	30.34	82.29	234.57	34.51	77.25	118.43	220.32	63.89
PLEK	426.57	19.25	476.71	555.41	397.93	1001.93	540.19	830.75	426.57	373.81	23.25	511.0	536.45	334.46	8.58	607.87	87.65	435.55	50.98	132.44	120.1	19.39	17.25	17.0	66.18	111.21	26.47	141.02	146.03	96.01	395.18	167.9	305.55	167.9	46.84	281.09	84.04	62.56	246.28	40.36	126.12	73.54	35.0	47.5	195.72	8.19	23.76	20.71	232.94	23.59	152.28	78.34	37.05	17.38
PSMB9	2682.69	198.47	3018.3	2855.44	3018.3	3794.3	2537.92	3280.18	2682.69	1936.53	438.59	2520.38	2591.27	1369.04	351.14	3419.52	1457.23	2645.74	532.74	480.04	902.89	73.03	236.21	493.56	629.35	371.22	624.99	2485.67	348.71	1628.26	3124.78	1498.22	1081.39	1331.57	587.13	775.05	961.07	403.5	1991.0	656.11	928.3	603.67	351.14	547.75	928.3	180.02	583.07	264.03	967.76	518.15	536.45	379.04	1066.48	490.14
PSTPIP1	242.88	11.21	423.61	371.22	246.28	525.39	260.38	743.43	301.33	239.52	20.56	329.84	239.52	195.72	33.06	444.72	114.36	1378.57	41.81	59.55	94.01	7.94	23.25	30.56	93.35	98.04	43.32	126.12	36.01	140.04	486.75	41.81	176.29	97.36	82.29	101.54	83.45	47.17	198.47	25.54	120.1	60.39	21.16	44.25	53.19	12.27	33.54	17.25	135.24	21.32	63.89	117.6	187.71	27.64
PTPN7	215.77	4.54	279.14	346.29	239.52	583.07	201.25	543.96	283.05	215.77	12.0	358.54	295.11	194.36	10.63	356.05	105.89	848.22	20.26	40.36	29.48	13.42	14.78	2.41	40.93	57.08	31.67	85.82	9.2	124.37	1104.13	27.84	84.63	162.14	43.94	22.43	13.03	15.68	241.19	11.47	78.89	42.11	19.68	72.52	102.97	4.28	10.0	5.28	68.55	22.92	16.39	67.12	72.01	10.96
PTPRCAP	674.59	68.55	1044.52	1819.35	947.83	2209.26	808.0	1832.01	1259.69	1066.48	92.05	1757.34	1331.57	718.08	118.43	2271.4	356.05	1909.85	195.72	234.57	206.94	36.27	112.77	249.73	518.15	103.69	166.73	224.97	87.65	848.22	1477.58	361.04	480.04	417.77	244.57	110.43	379.04	137.14	435.55	132.44	265.87	463.65	195.72	305.55	262.2	127.0	353.59	206.94	303.44	264.03	94.67	140.04	928.3	135.24
RAC2	1111.82	17.25	1437.15	1991.0	1457.23	2627.46	848.22	2591.27	1259.69	1216.75	88.26	1639.59	1199.98	808.0	34.51	1963.57	503.95	3325.99	81.71	221.86	165.57	26.1	52.45	27.84	197.09	154.42	104.42	387.02	68.07	490.14	4010.71	211.31	551.56	995.0	172.65	271.48	113.56	208.38	743.43	74.06	297.17	258.57	53.57	204.07	796.86	17.64	45.21	35.76	718.08	84.63	285.03	432.53	262.2	74.06
RASAL3	320.8	10.24	397.93	563.18	293.07	693.58	376.41	1119.56	332.14	267.73	43.94	387.02	447.82	262.2	27.44	547.75	158.79	1081.39	59.55	60.82	92.7	58.3	54.33	61.25	72.52	110.43	77.25	112.77	55.1	248.0	723.08	79.45	201.25	198.47	72.01	79.45	70.51	35.5	142.01	25.17	60.39	65.26	33.54	79.45	76.17	22.92	40.36	36.01	96.68	48.52	69.03	169.07	139.07	36.79
RCSD1	242.88	27.84	301.33	395.18	320.8	638.15	289.02	759.08	457.25	287.01	79.45	780.44	420.68	279.14	54.72	441.64	281.09	281.09	134.3	125.24	163.28	27.25	107.38	199.85	193.01	153.34	151.22	218.79	217.27	185.11	318.57	55.1	153.34	244.57	130.6	171.45	101.54	155.5	126.12	40.64	96.01	237.86	54.33	141.02	206.94	43.02	96.01	62.56	234.57	102.25	97.36	74.58	156.59	156.59
SASH3	318.57	10.79	438.59	624.99	406.31	928.3	353.59	1073.91	525.39	480.04	33.06	660.68	470.14	327.56	14.03	679.29	88.88	967.76	60.39	67.12	41.22	29.7	15.11	12.64	76.71	72.01	58.71	118.43	58.3	127.89	1313.23	42.41	78.34	279.14	62.56	153.34	42.41	55.49	334.46	15.68	90.14	94.67	32.59	50.27	198.47	11.3	29.91	17.0	343.89	48.52	106.63	105.15	100.83	25.91
SECTM1	167.9	43.94	244.57	283.05	218.79	379.04	246.28	361.04	242.88	163.28	21.16	237.86	165.57	175.07	56.68	339.14	111.99	77.25	77.79	44.25	154.42	19.11	16.15	16.75	34.51	73.03	28.04	22.43	24.28	264.03	119.26	180.02	358.54	202.66	51.35	80.57	17.51	44.57	166.73	16.27	31.22	81.14	13.12	110.43	109.66	19.97	19.39	15.45	133.36	15.22	43.63	44.57	86.43	18.16
SH2D1A	74.58	4.17	104.42	128.79	69.52	209.84	43.02	172.65	121.79	94.67	4.06	143.01	94.67	77.79	1.95	140.04	54.72	215.77	5.5	13.72	15.45	6.46	9.56	11.38	19.82	9.34	15.11	37.05	4.74	30.12	198.47	18.7	52.82	33.54	20.41	14.03	2.32	5.59	79.45	2.1	11.13	15.8	3.11	27.64	34.75	3.0	4.7	1.71	21.16	1.64	6.31	31.9	16.39	4.39
SLAMF1	50.98	1.07	87.65	101.54	79.45	165.57	62.12	195.72	107.38	71.5	4.66	130.6	87.03	55.89	2.53	133.36	32.36	166.73	5.77	13.52	11.38	0.54	7.28	17.25	9.41	8.92	5.68	19.25	1.01	22.1	117.6	16.88	19.11	28.45	9.85	16.03	9.06	3.44	33.06	3.06	18.97	8.25	10.71	16.75	81.71	4.94	4.24	4.5	40.07	9.06	15.45	7.69	20.56	2.92
SLC2A6	96.68	8.13	101.54	182.55	99.43	173.85	102.97	180.02	66.18	74.58	12.36	107.38	99.43	61.68	12.0	118.43	39.22	130.6	20.86	43.02	27.25	13.22	14.14	54.33	17.77	46.5	35.76	40.07	19.25	23.93	85.22	20.86	44.57	37.05	15.68	42.41	64.8	21.94	38.95	18.03	28.45	17.51	18.16	26.86	24.99	10.47	25.17	16.51	39.22	27.64	42.71	11.64	33.54	21.94
SOWAHD	7.63	0.0	22.43	44.25	20.26	23.76	20.11	36.53	18.97	17.64	1.97	21.16	12.74	10.08	1.3	16.39	4.9	9.2	3.86	3.44	1.91	2.25	3.44	2.48	1.97	2.92	3.35	3.35	0.0	3.92	9.13	0.0	2.86	8.13	1.97	7.69	5.41	2.46	3.23	1.51	3.89	4.5	1.07	4.98	9.56	2.43	1.85	2.58	6.41	0.0	2.53	4.54	12.18	1.03
SP110	470.14	84.63	493.56	607.87	525.39	688.78	503.95	967.76	563.18	476.71	253.23	647.07	624.99	435.55	214.27	599.49	281.09	521.76	239.52	265.87	249.73	77.25	312.0	142.01	211.31	228.13	231.32	262.2	271.48	376.41	688.78	400.71	373.81	291.04	251.48	194.36	181.28	237.86	299.25	87.03	209.84	206.94	265.87	323.03	460.44	187.71	141.02	185.11	371.22	194.36	187.71	199.85	193.01	239.52
SPN	161.02	4.94	145.02	175.07	152.28	281.09	134.3	312.0	206.94	123.5	16.15	218.79	156.59	109.66	6.78	194.36	70.01	193.01	20.56	35.76	27.25	11.73	18.03	6.67	30.34	28.86	23.93	73.54	7.88	40.07	409.15	21.32	53.57	103.69	18.84	29.06	13.12	15.56	83.45	7.57	27.64	38.4	12.0	57.89	101.54	2.18	8.25	2.78	111.99	18.7	16.15	25.17	74.06	14.45
ST8SIA4	112.77	20.86	134.3	176.29	100.83	151.22	66.18	162.14	102.97	90.77	36.53	113.56	88.88	76.17	14.35	99.43	141.02	167.9	25.54	31.0	60.82	5.73	9.13	18.97	39.22	16.39	14.89	90.14	23.08	32.13	86.43	38.12	77.25	66.65	55.1	34.75	41.81	16.88	87.65	13.22	48.52	16.63	12.27	42.11	50.63	16.03	18.16	22.75	57.08	21.47	39.22	19.82	48.87	50.98
STAT1	2915.45	525.39	3039.3	2400.97	2133.97	3874.05	2645.74	2335.28	2537.92	1417.35	575.03	2537.92	1950.0	1909.85	571.05	2682.69	860.08	1561.89	698.41	1498.22	764.36	341.51	450.94	379.04	521.76	500.46	633.73	896.64	698.41	656.11	1540.37	1508.65	1015.93	1008.9	718.08	665.29	463.65	633.73	1639.59	432.53	669.92	669.92	813.63	423.61	2417.67	684.02	808.0	476.71	656.11	616.37	995.0	651.58	473.41	518.15
STK10	387.02	95.34	371.22	536.45	432.53	595.34	395.18	802.41	460.44	336.79	120.1	490.14	432.53	325.29	99.43	555.41	189.02	518.15	183.82	214.27	197.09	108.14	103.69	187.71	171.45	148.09	183.82	221.86	159.9	173.85	420.68	159.9	327.56	206.94	162.14	149.12	181.28	164.42	129.69	132.44	187.71	140.04	93.35	162.14	244.57	66.18	78.34	100.13	194.36	96.68	176.29	154.42	154.42	94.67
TAGAP	117.6	2.78	127.0	187.71	131.51	244.57	123.5	444.72	146.03	102.25	10.96	295.11	279.14	138.1	7.4	275.28	137.14	332.14	15.45	55.49	89.51	9.48	5.19	5.23	30.56	15.56	28.24	111.21	14.67	105.15	194.36	48.52	140.04	61.68	49.56	21.16	6.73	19.39	97.36	11.55	37.32	40.64	16.63	37.59	94.01	3.26	6.52	12.74	50.63	13.72	12.93	64.34	36.79	14.14
TAP2	698.41	145.02	1088.92	1119.56	587.13	1350.18	1037.29	915.51	967.76	368.65	283.05	890.44	660.68	638.15	191.67	1225.22	224.97	896.64	521.76	373.81	341.51	144.01	154.42	239.52	189.02	435.55	571.05	583.07	260.38	262.2	808.0	599.49	387.02	507.46	228.13	412.0	529.06	307.69	351.14	248.0	587.13	392.44	283.05	438.59	423.61	193.01	262.2	121.79	336.79	239.52	334.46	320.8	305.55	208.38
TG	687022.54	524287.0	565825.41	546551.29	614902.29	711250.37	663619.99	370726.6	636586.81	857631.47	1131651.83	645473.24	794671.01	772940.66	828417.36	731246.37	2068278.89	828417.36	2247670.86	2126426.15	2375828.71	2111737.85	1308968.45	1493223.86	1739208.14	1838374.44	1997825.68	1535204.12	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1943195.01	1727194.55	1589343.01	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	2263304.65	2672946.37	1864037.21	1634025.56
TMC8	371.22	17.0	633.73	718.08	423.61	830.75	426.57	1551.09	379.04	260.38	70.01	591.22	665.29	309.83	18.43	595.34	197.09	2645.74	30.34	57.89	72.01	24.63	19.25	18.97	92.05	52.45	69.52	197.09	29.48	269.6	2520.38	46.18	212.78	158.79	86.43	77.25	24.81	55.49	241.19	13.72	86.43	53.57	30.12	93.35	153.34	23.42	16.39	19.25	101.54	37.05	35.5	131.51	108.9	43.02
TRPV2	392.44	54.72	417.77	684.02	507.46	532.74	417.77	642.59	287.01	273.37	53.19	403.5	318.57	275.28	44.57	497.0	194.36	406.31	166.73	93.35	115.16	73.03	41.52	144.01	155.5	97.36	94.67	281.09	82.29	212.78	249.73	74.58	287.01	226.54	198.47	147.06	228.13	84.04	212.78	75.64	81.71	85.22	66.18	142.01	140.04	36.53	90.77	48.87	289.02	84.63	108.14	111.21	214.27	75.11
UBE2L6	1991.0	674.59	1923.14	1991.0	2287.2	2777.33	2004.85	2271.4	2271.4	1794.29	836.53	2287.2	1709.26	1359.57	860.08	2682.69	1583.71	1651.0	1081.39	836.53	1304.15	454.09	629.35	555.41	791.35	836.53	1159.07	1991.0	896.64	1551.09	1572.76	2090.03	1909.85	1651.0	1066.48	1191.69	743.43	866.07	1709.26	934.76	995.0	974.5	728.11	884.29	1199.98	555.41	1183.45	698.41	1359.57	718.08	1008.9	791.35	1359.57	1191.69
VAV1	152.28	8.45	211.31	307.69	221.86	387.02	166.73	470.14	201.25	167.9	18.7	265.87	212.78	149.12	8.19	291.04	38.12	363.56	38.4	47.5	26.1	9.27	2.56	11.47	32.82	52.08	31.9	58.3	31.67	64.8	403.5	44.57	96.01	100.83	24.63	100.13	19.53	17.13	87.65	12.27	85.22	58.71	20.41	27.44	91.41	3.44	19.11	8.25	138.1	12.64	53.57	35.5	43.94	10.47
WAS	329.84	21.94	381.68	583.07	429.54	854.13	295.11	928.3	409.15	348.71	28.65	547.75	395.18	289.02	18.7	629.35	80.01	764.36	54.33	81.14	50.27	33.3	16.88	29.7	116.78	95.34	88.88	90.77	80.01	198.47	854.13	90.77	127.89	209.84	56.68	181.28	58.3	75.64	171.45	24.81	109.66	117.6	45.85	77.25	215.77	16.88	22.1	21.16	264.03	31.22	137.14	65.26	135.24	22.75
XAF1	796.86	78.89	860.08	684.02	463.65	1008.9	1572.76	1709.26	693.58	400.71	135.24	660.68	1407.55	775.05	150.17	633.73	444.72	1651.0	353.59	295.11	693.58	112.77	176.29	154.42	403.5	194.36	172.65	743.43	191.67	571.05	1073.91	1037.29	1191.69	414.87	466.88	98.73	244.57	163.28	647.07	107.38	251.48	180.02	127.0	389.72	241.19	143.01	88.88	231.32	273.37	258.57	224.97	358.54	647.07	441.64
