	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.NFK9.0726.SM.2HMJW	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.11P7K.0226.SM.5986Z	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.X5EB.0726.SM.46MVR	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.14A6H.2426.SM.5Q5BO	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
PREP	0.39	417.77	358.54	490.14	361.04	343.89	199.85	318.57	325.29	426.57	327.56	371.22	323.03	336.79	194.36	255.0	283.05	301.33	314.17	454.09	320.8	457.25	384.34	532.74	444.72	476.71	275.28	316.37	239.52	412.0	444.72	358.54	341.51	463.65	262.2	376.41	332.14	435.55	307.69	327.56	353.59	454.09	384.34	466.88	307.69	423.61	423.61	397.93	348.71	518.15	303.44	486.75	277.2	463.65	285.03	395.18	400.71	309.83	283.05	325.29	249.73	438.59	343.89
PSMB6	0.78	5183.54	2287.2	4010.71	3901.01	3190.46	2627.46	3665.02	2835.7	3901.01	3303.0	3955.48	2555.58	3303.0	2555.58	2018.8	3690.52	2485.67	3325.99	3395.89	3039.3	4066.71	3901.01	5366.37	3540.14	3716.2	2627.46	3257.52	3257.52	3768.09	5292.48	3467.27	3190.46	4802.93	2701.35	3372.43	2835.7	5041.77	3235.01	3235.01	3639.7	4736.79	5041.77	4639.29	3349.13	3419.52	5255.91	5112.16	3443.31	5183.54	2018.8	4419.52	2451.44	4639.29	3039.3	3146.52	3742.05	3768.09	3190.46	3235.01	2520.38	4095.0	3103.19
RPN2	0.55	8718.32	3419.52	6983.79	6792.79	5913.33	3901.01	5791.62	4512.4	6516.03	5076.84	6294.04	4010.71	5872.48	4388.98	3235.01	5672.41	3614.55	5076.84	3847.29	3039.3	8078.22	5147.73	8022.41	5292.48	6516.03	4152.18	5441.3	3955.48	5831.91	6426.31	5479.15	4543.8	6887.62	3564.78	4388.98	3280.18	6037.61	5329.3	4123.49	4543.8	6840.04	7130.55	8479.89	4010.71	5219.6	7081.29	6652.97	6037.61	7642.41	2645.74	5913.33	3443.31	7081.29	3564.78	4481.23	5995.9	5366.37	4607.24	6207.38	3103.19	6935.54	4066.71
RUVBL1	0.47	733.19	497.0	764.36	775.05	567.1	346.29	638.15	651.58	660.68	679.29	708.18	567.1	612.11	353.59	356.05	669.92	426.57	525.39	651.58	532.74	665.29	647.07	928.3	674.59	738.29	490.14	567.1	417.77	679.29	753.83	612.11	563.18	780.44	463.65	579.04	521.76	651.58	529.06	624.99	555.41	872.1	612.11	759.08	529.06	563.18	802.41	579.04	551.56	819.3	470.14	708.18	356.05	981.29	514.56	575.03	708.18	486.75	521.76	624.99	450.94	733.19	595.34
SCFD2	0.0	277.2	101.54	244.57	185.11	148.09	100.13	137.14	157.68	173.85	147.06	186.4	175.07	141.02	92.05	81.14	176.29	113.56	153.34	149.12	120.94	193.01	126.12	343.89	167.9	178.77	111.99	127.0	105.15	185.11	237.86	159.9	131.51	208.38	100.13	128.79	149.12	170.25	171.45	112.77	120.94	291.04	145.02	223.41	145.02	154.42	223.41	137.14	136.19	293.07	108.14	165.57	77.25	241.19	100.13	125.24	178.77	149.12	108.9	153.34	102.25	208.38	146.03
SDF2L1	0.14	7589.61	1572.76	8840.04	4268.94	2209.26	791.35	2303.12	1963.57	6079.61	2664.15	3235.01	1757.34	2417.67	1883.54	518.15	3716.2	791.35	2485.67	3039.3	808.0	12502.12	3190.46	6699.25	4181.07	6983.79	1757.34	2367.9	1340.84	6935.54	5633.22	2224.63	1233.75	6164.49	1233.75	1225.22	414.87	6471.02	1923.14	698.41	825.0	11504.21	8718.32	11909.94	2855.44	2417.67	9740.98	10512.82	4095.0	11909.94	607.87	7280.4	825.0	7382.04	612.11	1104.13	4038.61	3103.19	1757.34	3257.52	607.87	7966.99	4450.27
SEC13	0.85	4095.0	1832.01	3168.41	2417.67	2384.37	2047.0	2520.38	2178.83	2417.67	2240.11	2502.97	1896.65	2224.63	2537.92	1594.73	2701.35	1923.14	2240.11	2400.97	2163.77	3103.19	2976.74	4210.15	2335.28	3212.66	1819.35	2193.99	1870.53	2739.08	4388.98	2193.99	1991.0	3060.45	2193.99	2104.58	1857.6	2758.13	2224.63	2178.83	2004.85	3639.7	3018.3	3540.14	2287.2	2591.27	3901.01	3395.89	2573.36	3982.99	1769.57	2976.74	1745.2	2816.11	2004.85	2287.2	3018.3	2468.49	1977.24	2645.74	1651.0	3081.75	2255.7
SEC61B	0.67	9606.86	4038.61	6840.04	9540.5	6652.97	4671.57	5517.27	4268.94	5292.48	5403.7	7433.4	4836.35	7032.37	4450.27	3928.15	9151.82	3768.09	6516.03	4736.79	3419.52	11189.6	5751.61	8598.28	6516.03	6381.92	4802.93	5255.91	5594.3	6935.54	7803.01	6426.31	4639.29	7749.1	6516.03	4010.71	3103.19	8191.0	7589.61	4123.49	4736.79	9151.82	8901.53	9474.59	5006.93	5913.33	10659.59	9215.48	5751.61	10440.2	2855.44	8538.88	4388.98	8134.41	4038.61	4639.29	5594.3	9740.98	4802.93	7911.95	4152.18	7642.41	7749.1
SELK	0.73	4388.98	1857.6	3589.58	3018.3	3081.75	2520.38	2573.36	2384.37	3614.55	3168.41	3060.45	2645.74	3928.15	2209.26	2417.67	3564.78	2335.28	2573.36	2935.74	1605.83	6037.61	3467.27	4123.49	2537.92	3372.43	2104.58	2224.63	2485.67	3564.78	3955.48	3039.3	2335.28	3190.46	2895.31	1909.85	1685.71	3768.09	3349.13	1909.85	1896.65	5183.54	5517.27	6792.79	2875.3	3257.52	5041.77	5831.91	3349.13	5255.91	1407.55	4481.23	2434.5	4010.71	2271.4	2875.3	2777.33	4152.18	1977.24	3146.52	1923.14	5594.3	2895.31
SLC35B1	599.49	3280.18	1225.22	2915.45	1991.0	1832.01	1167.14	1709.26	1540.37	2468.49	1721.16	1662.49	1709.26	1407.55	1407.55	1225.22	2367.9	1199.98	1407.55	1674.06	1397.83	3212.66	1819.35	3419.52	1628.26	2271.4	1322.37	1417.35	1059.11	2502.97	2664.15	1540.37	1159.07	1991.0	1051.79	1417.35	1051.79	2163.77	1529.73	1388.16	1250.98	3794.3	2777.33	4181.07	1936.53	1794.29	3515.68	2739.08	2018.8	3540.14	884.29	2351.53	1304.15	2178.83	1268.46	1477.58	2018.8	1844.76	1628.26	1909.85	981.29	3103.19	1794.29
SPCS2	0.73	8598.28	5041.77	9409.14	6840.04	7803.01	3955.48	5479.15	4802.93	7589.61	5672.41	7433.4	4869.99	7589.61	5441.3	3491.39	5954.47	5183.54	5112.16	5403.7	3716.2	10084.54	6471.02	8901.53	7857.29	7537.18	5006.93	5147.73	5791.62	8305.36	8658.09	7433.4	5219.6	8778.97	4836.35	5147.73	4298.64	6164.49	5872.48	4512.4	3928.15	10084.54	9540.5	10296.45	6121.9	7485.11	9279.58	8658.09	6699.25	8022.41	3039.3	8538.88	3639.7	8718.32	4328.55	4769.75	6294.04	7695.57	5292.48	7589.61	3768.09	8247.98	7485.11
TG	0.64	834179.46	938500.81	1364554.84	1393227.06	2068278.89	1012856.65	2247670.86	894051.48	2126426.15	1212874.47	1751305.3	1273174.62	2375828.71	2111737.85	668235.84	1611529.43	1308968.45	1622738.51	1739208.14	581732.96	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	2025714.3	1318073.06	2425749.94	1318073.06	1929772.37	1327240.99	1212874.47	1034138.94	1943195.01	1622738.51	762299.34	958220.73	1355129.16	2636147.11	2263304.65	1775752.63	2111737.85	811368.76	3178687.03	3886391.01	1116072.03	428815.23	1645391.11	811368.76	805764.22	1123834.93	1131651.83	2263304.65	2672946.37	1864037.21	1634025.56	711250.37	1402917.72	1482909.4
TMED9	0.6	5594.3	2855.44	7032.37	5147.73	4607.24	3491.39	4736.79	4010.71	4903.87	3768.09	5366.37	3372.43	4010.71	4152.18	2224.63	4512.4	2956.17	3124.78	4038.61	2796.65	6121.9	4769.75	7081.29	4836.35	5006.93	3820.7	3564.78	3303.0	5255.91	5479.15	4869.99	3982.99	5594.3	3372.43	3639.7	2935.74	5006.93	4298.64	3325.99	2956.17	7749.1	5292.48	6561.36	3955.48	4869.99	5555.65	5441.3	4639.29	6652.97	2555.58	5672.41	2573.36	6079.61	3665.02	3349.13	4972.34	5366.37	3540.14	4836.35	2701.35	5183.54	3589.58
TOMM40L	0.54	307.69	171.45	285.03	209.84	180.02	142.01	258.57	183.82	287.01	129.69	198.47	173.85	133.36	164.42	135.24	131.51	156.59	186.4	173.85	182.55	253.23	224.97	358.54	258.57	241.19	191.67	167.9	112.77	202.66	211.31	157.68	181.28	341.51	140.04	142.01	178.77	343.89	182.55	156.59	141.02	295.11	229.72	277.2	141.02	204.07	206.94	260.38	205.5	327.56	103.69	204.07	112.77	299.25	94.67	185.11	320.8	208.38	182.55	175.07	135.24	223.41	208.38
TUBA1B	825.0	13776.25	2956.17	9945.68	6381.92	6471.02	8901.53	10585.95	7382.04	10084.54	6037.61	7382.04	5995.9	5006.93	6699.25	4298.64	9673.69	5995.9	5329.3	3955.48	5112.16	12160.22	8718.32	17558.94	9540.5	8305.36	4268.94	4972.34	5076.84	8363.13	10585.95	6935.54	6935.54	12244.81	5594.3	5366.37	5831.91	15392.14	5255.91	8134.41	6294.04	15715.58	9606.86	13872.08	6079.61	8963.45	10659.59	10733.74	8840.04	15392.14	5219.6	8901.53	5633.22	18052.61	4802.93	7230.1	10440.2	7130.55	5633.22	6079.61	3614.55	10154.69	5219.6
TUBB	759.08	6935.54	3665.02	8247.98	4671.57	4704.07	5403.7	7589.61	4802.93	6250.56	4095.0	4769.75	3665.02	3768.09	4095.0	2855.44	5594.3	4095.0	3540.14	2935.74	3081.75	8305.36	7537.18	12676.65	6561.36	5366.37	4038.61	3614.55	3639.7	5954.47	8247.98	4575.41	4328.55	7180.15	4512.4	3257.52	4607.24	10225.32	3820.7	5183.54	4512.4	10084.54	7537.18	11112.3	5076.84	5711.87	8247.98	7589.61	5913.33	10084.54	3491.39	5672.41	3124.78	11827.67	3540.14	3901.01	7280.4	4836.35	4419.52	5292.48	3280.18	7382.04	3639.7
UGGT1	177.53	314.17	258.57	518.15	242.88	267.73	214.27	260.38	201.25	358.54	273.37	320.8	256.78	289.02	309.83	146.03	273.37	318.57	152.28	215.77	195.72	536.45	389.72	514.56	339.14	351.14	228.13	198.47	183.82	397.93	318.57	260.38	249.73	366.09	125.24	232.94	156.59	432.53	173.85	249.73	224.97	521.76	403.5	638.15	244.57	295.11	312.0	466.88	423.61	412.0	167.9	318.57	167.9	420.68	231.32	260.38	500.46	234.57	172.65	249.73	163.28	389.72	218.79
UGP2	1023.0	2627.46	1457.23	2573.36	1936.53	1819.35	1051.79	1639.59	1359.57	2075.59	1250.98	1844.76	1066.48	1721.16	1757.34	1233.75	1561.89	1322.37	1388.16	1572.76	1286.18	2664.15	1685.71	2163.77	1832.01	2119.22	1268.46	1111.82	1225.22	2061.24	1806.78	1781.89	1551.09	1870.53	1457.23	1119.56	1617.0	1909.85	1427.22	1437.15	1359.57	2240.11	2047.0	2720.15	1397.83	1685.71	2148.82	2075.59	1806.78	2287.2	1388.16	2178.83	1191.69	2193.99	1350.18	1397.83	1832.01	1832.01	1167.14	1529.73	1111.82	2384.37	1870.53
