	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A233.01A.11R.A14Y.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.DJ.A3UX.01A.11R.A22L.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.J8.A3YD.01A.11R.A22U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.EM.A2OZ.01A.11R.A206.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2PN.01A.21R.A19O.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.EL.A3T8.01A.21R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
EPS8	2400.97	2119.22	2796.65	3540.14	3257.52	2758.13	1909.85	1896.65	2271.4	2609.3	3419.52	2032.85	2468.49	2682.69	2018.8	1857.6	1359.57	3372.43	2739.08	3190.46	3325.99	2627.46	1950.0	2816.11	2664.15	358.54	395.18	543.96	866.07	638.15	583.07	325.29	314.17	660.68	591.22	656.11	460.44	447.82	713.11	183.82	406.31	579.04	264.03	603.67	638.15	212.78	555.41	226.54	486.75	743.43	679.29	486.75	251.48	381.68	693.58	409.15	688.78	612.11	358.54	155.5	258.57	579.04	262.2
ERBB3	947.83	1295.13	1037.29	1167.14	819.3	1119.56	836.53	791.35	1277.29	1233.75	1313.23	1111.82	1073.91	1417.35	1023.0	353.59	674.59	884.29	1378.57	1051.79	1417.35	1023.0	884.29	878.17	974.5	111.99	241.19	356.05	54.33	148.09	81.71	158.79	130.6	158.79	91.41	126.12	140.04	139.07	154.42	217.27	332.14	170.25	307.69	193.01	129.69	176.29	144.01	135.24	109.66	563.18	136.19	346.29	228.13	101.54	191.67	358.54	104.42	152.28	529.06	273.37	152.28	139.07	115.97
ESPN	60.39	206.94	152.28	41.52	693.58	139.07	43.32	70.51	152.28	251.48	265.87	88.26	34.75	480.04	212.78	25.54	131.51	143.01	177.53	90.77	287.01	162.14	83.45	202.66	81.14	0.19	11.21	0.59	1.0	2.12	70.51	3.11	15.0	4.28	3.56	3.89	1.22	7.94	11.91	22.1	3.63	0.59	7.63	0.0	36.79	18.97	0.0	4.31	0.34	0.0	0.21	0.0	0.06	13.22	1.81	0.0	0.0	11.64	4.74	7.51	0.3	8.06	6.84
ETNK2	674.59	915.51	884.29	460.44	1268.46	902.89	603.67	802.41	698.41	896.64	842.36	713.11	473.41	1359.57	743.43	490.14	688.78	1498.22	890.44	1119.56	860.08	791.35	473.41	866.07	819.3	327.56	629.35	426.57	309.83	239.52	476.71	295.11	293.07	373.81	208.38	447.82	178.77	620.67	281.09	647.07	493.56	232.94	738.29	193.01	161.02	713.11	358.54	392.44	181.28	334.46	420.68	246.28	231.32	336.79	616.37	441.64	297.17	178.77	796.86	325.29	414.87	164.42	409.15
FAM110C	228.13	312.0	353.59	232.94	258.57	314.17	285.03	236.21	312.0	218.79	373.81	301.33	358.54	277.2	244.57	314.17	271.48	295.11	287.01	323.03	400.71	351.14	246.28	387.02	368.65	112.77	180.02	154.42	178.77	204.07	125.24	195.72	265.87	154.42	172.65	147.06	103.69	273.37	102.97	123.5	154.42	142.01	212.78	128.79	100.13	137.14	185.11	167.9	197.09	112.77	218.79	215.77	191.67	194.36	81.71	125.24	194.36	244.57	151.22	228.13	147.06	96.68	140.04
FAM43A	1259.69	921.88	1111.82	802.41	896.64	656.11	825.0	450.94	529.06	1250.98	1059.11	503.95	872.1	1143.1	1051.79	221.86	403.5	1030.12	1378.57	1277.29	616.37	764.36	647.07	651.58	825.0	175.07	35.76	115.16	143.01	181.28	55.49	50.27	166.73	206.94	98.04	157.68	141.02	115.97	226.54	209.84	91.41	177.53	41.22	384.34	128.79	56.28	96.01	117.6	293.07	124.37	260.38	37.05	164.42	64.34	212.78	97.36	195.72	47.5	96.01	111.21	42.41	171.45	85.22
FAM47E	133.36	156.59	149.12	135.24	120.94	120.1	102.97	71.5	128.79	161.02	176.29	143.01	99.43	169.07	107.38	76.71	98.04	112.77	137.14	105.89	167.9	180.02	96.68	114.36	127.89	35.5	76.17	69.52	62.56	75.64	57.08	36.79	22.59	50.63	47.5	52.82	62.56	63.0	65.72	75.64	42.41	37.32	33.3	63.0	38.4	27.44	61.25	56.68	56.68	82.87	109.66	70.01	55.49	78.89	32.13	63.89	63.45	69.03	44.25	46.84	63.0	76.71	26.67
FIBCD1	336.79	78.34	115.97	76.17	69.52	198.47	114.36	73.54	55.89	62.12	201.25	74.58	96.68	148.09	146.03	24.46	25.54	100.13	305.55	130.6	195.72	57.49	38.95	141.02	22.92	2.39	0.79	0.0	5.06	0.0	0.77	0.75	41.22	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.73	0.22	0.79	0.84	0.27	1.36	1.48	13.22	1.48	2.34	2.43	0.21	0.72	0.0	0.0	0.0	34.26	3.79	0.0	0.0	0.0	0.83	0.0
FOXQ1	381.68	813.63	967.76	450.94	262.2	444.72	381.68	366.09	579.04	603.67	371.22	438.59	303.44	426.57	363.56	99.43	166.73	397.93	441.64	291.04	368.65	435.55	403.5	954.43	878.17	27.25	271.48	59.13	206.94	30.34	94.01	80.57	1467.37	46.18	57.49	4.39	111.21	110.43	52.45	194.36	112.77	232.94	55.89	34.51	126.12	226.54	176.29	18.56	90.14	409.15	41.22	28.24	120.94	45.53	72.01	21.32	17.38	71.5	52.45	17.25	193.01	108.14	41.52
FRMD5	112.77	166.73	132.44	88.88	36.79	114.36	132.44	29.91	89.51	195.72	53.95	201.25	127.89	128.79	171.45	11.3	87.65	5.28	117.6	72.01	139.07	113.56	38.12	94.67	30.56	5.36	2.94	0.0	2.01	1.68	2.34	2.34	4.06	1.64	0.56	0.89	4.86	19.53	1.79	3.47	9.48	2.14	34.02	2.18	0.78	2.66	0.58	0.59	0.91	4.13	7.51	2.43	0.0	1.41	0.0	3.0	1.75	27.05	1.75	3.14	8.45	0.97	0.82
GAB2	334.46	239.52	293.07	376.41	228.13	253.23	204.07	265.87	255.0	267.73	309.83	312.0	341.51	366.09	376.41	175.07	150.17	297.17	397.93	529.06	307.69	291.04	149.12	381.68	218.79	48.87	87.65	77.79	108.9	101.54	77.79	97.36	102.25	105.89	52.45	90.14	111.21	89.51	79.45	126.12	85.82	115.97	77.25	90.77	64.34	82.87	121.79	23.25	80.01	204.07	128.79	66.18	38.67	107.38	127.89	48.87	111.99	66.65	105.15	64.8	82.29	64.8	77.25
GABRB2	463.65	612.11	947.83	830.75	909.17	981.29	703.28	423.61	679.29	660.68	1051.79	616.37	656.11	688.78	698.41	32.13	363.56	988.12	679.29	397.93	1096.5	890.44	450.94	902.89	723.08	15.56	1.5	4.1	2.58	1.53	27.44	0.95	9.27	2.03	0.56	7.11	0.54	1.57	0.22	0.0	1.36	4.1	6.26	0.0	5.54	0.48	2.05	0.58	2.03	1.58	4.35	8.0	0.0	1.68	9.13	2.68	4.98	4.28	2.29	2.43	0.53	5.77	3.06
GALNT7	1030.12	1167.14	1350.18	1111.82	1233.75	967.76	928.3	713.11	1175.27	1295.13	1081.39	988.12	967.76	1427.22	1088.92	583.07	638.15	1104.13	1066.48	1073.91	1199.98	1066.48	629.35	1467.37	785.88	105.15	248.0	164.42	79.45	183.82	136.19	234.57	228.13	107.38	392.44	198.47	176.29	255.0	226.54	112.77	129.69	173.85	98.04	183.82	77.25	85.82	277.2	149.12	234.57	371.22	356.05	679.29	124.37	297.17	66.65	173.85	244.57	140.04	102.25	181.28	217.27	220.32	127.0
GAP43	132.44	72.01	211.31	71.0	36.01	154.42	113.56	47.17	73.54	309.83	251.48	53.57	105.15	87.65	94.67	5.73	6.41	15.91	52.45	19.11	66.18	156.59	31.9	164.42	124.37	56.28	2.32	3.92	0.16	0.0	967.76	0.0	12.45	0.0	13.42	34.51	3.14	5.68	0.22	13.93	2.51	0.82	2.29	0.52	0.0	0.66	2.34	0.0	2.76	0.0	10.55	13.42	0.0	9.63	4.31	1.93	0.0	16.75	0.0	3.96	3.56	2.01	0.0
GARS	5791.62	1870.53	1923.14	4095.0	1628.26	2148.82	2451.44	2178.83	2573.36	2720.15	1819.35	3419.52	4010.71	2537.92	3443.31	1651.0	1651.0	1697.45	1896.65	3742.05	1519.15	3419.52	2555.58	1628.26	1794.29	1015.93	733.19	1051.79	2451.44	1359.57	775.05	629.35	802.41	1709.26	1277.29	1073.91	1286.18	1066.48	988.12	819.3	813.63	872.1	796.86	1508.65	1437.15	587.13	1508.65	1378.57	1477.58	1781.89	1447.15	1199.98	1709.26	1259.69	947.83	1594.73	1331.57	813.63	1111.82	785.88	723.08	1208.34	718.08
GATAD2A	1001.93	896.64	1111.82	1135.2	988.12	1051.79	791.35	688.78	921.88	1044.52	974.5	995.0	974.5	988.12	1008.9	603.67	693.58	796.86	1191.69	1059.11	1127.35	1030.12	830.75	1081.39	813.63	587.13	603.67	529.06	764.36	733.19	693.58	563.18	438.59	612.11	511.0	713.11	713.11	551.56	400.71	420.68	476.71	629.35	441.64	647.07	555.41	435.55	688.78	417.77	633.73	688.78	603.67	435.55	409.15	525.39	532.74	595.34	679.29	563.18	571.05	497.0	679.29	540.19	417.77
GJB3	490.14	371.22	373.81	265.87	470.14	318.57	295.11	226.54	368.65	312.0	366.09	299.25	190.34	529.06	412.0	155.5	237.86	679.29	327.56	603.67	183.82	152.28	232.94	305.55	348.71	7.88	4.31	8.32	5.96	2.36	0.37	10.47	0.0	3.79	4.24	16.03	13.03	26.1	20.26	0.0	10.16	19.68	0.0	2.46	17.9	7.34	8.13	28.86	23.93	26.47	3.08	1.85	63.0	3.59	3.79	1.11	2.94	5.02	21.32	6.84	1.01	17.9	11.04
GJB4	60.82	24.63	38.67	2.34	39.5	15.22	18.56	9.34	37.32	18.03	34.26	8.38	5.32	30.78	10.71	3.72	4.17	57.49	27.64	24.99	11.64	9.48	6.89	32.36	31.9	2.39	1.35	0.0	2.18	0.0	0.01	0.01	1.23	7.17	0.6	0.0	0.59	0.0	0.04	0.0	2.05	1.41	0.0	1.43	1.6	1.23	1.36	1.36	1.35	0.66	0.05	0.02	0.54	0.05	0.0	0.0	0.0	0.0	0.0	0.56	0.58	3.41	2.1
GNPTAB	373.81	674.59	633.73	441.64	988.12	656.11	500.46	511.0	679.29	532.74	723.08	633.73	470.14	693.58	587.13	536.45	620.67	764.36	587.13	713.11	723.08	547.75	466.88	884.29	587.13	289.02	426.57	379.04	329.84	395.18	343.89	457.25	283.05	381.68	339.14	283.05	289.02	329.84	346.29	339.14	198.47	320.8	320.8	343.89	303.44	215.77	318.57	346.29	289.02	256.78	384.34	316.37	195.72	384.34	305.55	297.17	325.29	361.04	299.25	336.79	316.37	348.71	323.03
GRHL1	159.9	223.41	141.02	169.07	111.21	206.94	127.0	119.26	215.77	111.99	217.27	167.9	119.26	152.28	137.14	71.0	120.94	156.59	171.45	117.6	320.8	148.09	206.94	189.02	140.04	81.14	56.28	59.55	43.32	26.28	47.17	52.82	74.58	61.68	35.76	41.81	54.33	80.01	48.18	25.17	64.8	23.25	41.22	46.5	49.56	28.04	65.26	45.21	60.39	69.52	60.82	55.49	57.49	50.98	70.01	69.52	84.63	55.89	68.07	39.5	57.89	50.63	50.98
HCN4	6.84	47.17	57.08	19.39	22.26	30.12	22.59	9.78	31.9	30.12	17.25	32.82	25.72	23.93	21.01	10.71	13.52	11.3	42.11	22.75	48.18	21.94	37.05	35.76	24.46	0.0	0.49	0.0	0.49	0.0	5.45	0.0	0.0	0.0	0.0	0.49	1.38	1.48	2.76	2.63	0.0	0.0	0.49	0.0	0.58	0.0	2.61	0.0	1.41	1.48	0.55	0.49	0.0	0.55	0.0	0.0	0.0	0.0	0.44	0.46	0.0	0.53	0.46
HPCAL4	87.03	20.11	123.5	40.07	148.09	248.0	150.17	153.34	30.56	144.01	214.27	147.06	63.89	165.57	47.84	78.34	56.28	414.87	63.0	58.3	129.69	71.5	8.51	148.09	102.25	100.83	13.52	3.08	2.1	3.03	8.25	0.24	5.5	1.43	3.82	8.58	4.74	14.03	2.32	1.46	2.68	10.63	2.92	0.33	0.43	1.25	0.29	1.45	1.41	0.87	8.13	3.82	0.0	1.6	13.52	3.03	3.17	6.62	1.83	5.54	2.01	4.13	2.73
HTT	480.04	571.05	753.83	753.83	713.11	629.35	511.0	466.88	591.22	624.99	684.02	532.74	551.56	563.18	503.95	400.71	438.59	698.41	656.11	629.35	878.17	612.11	688.78	748.61	521.76	363.56	234.57	417.77	273.37	463.65	351.14	279.14	291.04	395.18	329.84	669.92	412.0	547.75	450.94	287.01	320.8	348.71	412.0	314.17	395.18	271.48	417.77	295.11	346.29	403.5	392.44	575.03	348.71	426.57	236.21	507.46	329.84	361.04	387.02	289.02	320.8	412.0	368.65
IGF2BP2	825.0	753.83	713.11	748.61	642.59	819.3	525.39	579.04	642.59	796.86	860.08	718.08	607.87	780.44	718.08	551.56	532.74	674.59	791.35	698.41	836.53	616.37	603.67	842.36	947.83	189.02	44.89	237.86	215.77	688.78	52.08	47.17	105.15	265.87	161.02	214.27	275.28	145.02	137.14	44.89	97.36	81.71	40.93	231.32	314.17	43.02	414.87	156.59	185.11	688.78	152.28	656.11	48.52	149.12	40.93	269.6	178.77	197.09	138.1	211.31	28.86	143.01	70.51
IL1RAP	412.0	356.05	503.95	603.67	273.37	420.68	260.38	267.73	275.28	403.5	612.11	392.44	361.04	397.93	368.65	85.22	163.28	246.28	371.22	444.72	447.82	543.96	384.34	392.44	348.71	18.97	50.98	26.67	54.33	42.41	47.17	69.52	21.47	14.67	94.67	27.84	23.25	38.95	33.78	19.82	97.36	30.12	41.22	45.21	21.47	27.44	36.27	19.68	55.1	61.68	108.14	39.79	19.25	24.28	28.86	18.97	30.78	22.26	41.22	22.43	23.76	52.45	23.93
ISOC1	392.44	457.25	571.05	426.57	583.07	454.09	463.65	420.68	457.25	583.07	660.68	503.95	457.25	435.55	490.14	373.81	381.68	438.59	438.59	500.46	543.96	536.45	532.74	532.74	511.0	368.65	507.46	414.87	262.2	312.0	441.64	420.68	316.37	242.88	376.41	371.22	295.11	381.68	366.09	299.25	237.86	368.65	358.54	343.89	267.73	379.04	299.25	417.77	400.71	400.71	366.09	454.09	351.14	373.81	329.84	387.02	275.28	303.44	353.59	387.02	435.55	327.56	381.68
KCNK1	387.02	406.31	417.77	277.2	400.71	351.14	291.04	241.19	320.8	429.54	511.0	285.03	341.51	435.55	371.22	291.04	262.2	232.94	358.54	447.82	426.57	291.04	175.07	341.51	318.57	229.72	191.67	126.12	208.38	228.13	154.42	267.73	123.5	194.36	242.88	182.55	295.11	198.47	195.72	140.04	115.97	248.0	201.25	158.79	133.36	172.65	175.07	299.25	336.79	256.78	226.54	239.52	269.6	236.21	289.02	169.07	190.34	209.84	327.56	118.43	255.0	229.72	181.28
KCNK15	567.1	194.36	343.89	242.88	295.11	457.25	248.0	80.01	295.11	295.11	358.54	277.2	121.79	271.48	293.07	183.82	94.01	320.8	511.0	260.38	221.86	264.03	153.34	341.51	69.03	36.01	56.28	42.71	49.91	23.42	138.1	48.87	21.63	106.63	82.87	36.79	114.36	139.07	41.22	67.59	80.01	49.91	53.57	79.45	49.21	141.02	62.12	71.5	84.63	77.79	105.89	34.75	40.07	15.34	65.26	65.72	46.5	48.87	30.56	40.36	88.88	37.32	29.06
KCNQ3	136.19	312.0	316.37	217.27	108.14	281.09	152.28	76.71	232.94	244.57	262.2	151.22	173.85	170.25	129.69	44.57	58.3	121.79	218.79	149.12	295.11	201.25	299.25	224.97	211.31	3.53	4.7	2.34	11.64	18.7	6.16	3.41	4.39	3.56	11.64	1.85	6.21	11.21	2.41	5.96	0.66	2.78	4.21	3.72	13.72	1.33	3.35	2.92	33.54	9.93	15.11	2.23	3.63	7.69	4.7	1.11	1.77	4.58	3.79	0.49	0.36	4.9	1.38
KL	81.14	62.12	58.3	140.04	121.79	115.97	68.55	65.72	63.45	70.51	102.25	93.35	92.05	142.01	68.55	46.84	49.21	85.82	105.15	131.51	152.28	102.25	100.83	71.0	118.43	21.16	22.59	16.15	18.43	7.28	10.39	23.59	23.93	21.63	40.64	25.17	3.53	24.11	13.93	26.67	6.73	36.01	20.71	9.63	18.84	21.47	25.17	13.93	31.45	17.51	38.12	19.39	7.51	15.34	29.27	28.24	15.56	19.82	8.85	26.1	34.02	24.63	21.16
KLF8	175.07	211.31	195.72	205.5	215.77	251.48	231.32	183.82	197.09	214.27	301.33	139.07	150.17	242.88	201.25	122.64	145.02	197.09	186.4	182.55	287.01	167.9	183.82	215.77	239.52	68.55	91.41	85.22	68.07	154.42	108.14	116.78	127.0	106.63	134.3	172.65	125.24	107.38	123.5	152.28	96.01	98.04	79.45	64.8	149.12	74.06	72.52	80.57	204.07	128.79	100.13	94.67	51.35	137.14	96.01	94.01	132.44	154.42	85.82	118.43	64.8	102.97	80.57
KLHDC7B	171.45	90.77	50.27	208.38	16.03	32.13	35.0	128.79	88.88	120.1	33.78	180.02	46.18	42.41	217.27	5.87	5.54	65.72	57.89	563.18	29.27	153.34	124.37	45.85	76.17	1.85	10.88	1.81	5.15	6.01	4.31	1.73	4.24	4.46	8.25	3.72	10.63	3.86	2.51	14.67	3.56	17.9	35.5	11.38	4.17	2.27	10.08	12.83	3.76	1.22	35.76	3.72	3.5	1.25	5.96	0.0	8.71	26.1	1.1	2.29	0.61	1.83	0.0
KLHL2	616.37	813.63	848.22	684.02	743.43	633.73	651.58	547.75	591.22	819.3	808.0	684.02	603.67	723.08	698.41	423.61	521.76	674.59	688.78	688.78	733.19	728.11	620.67	791.35	555.41	320.8	389.72	287.01	314.17	361.04	336.79	497.0	325.29	316.37	507.46	318.57	262.2	314.17	336.79	199.85	329.84	379.04	273.37	423.61	376.41	314.17	356.05	299.25	320.8	343.89	500.46	295.11	205.5	450.94	329.84	271.48	403.5	285.03	353.59	256.78	334.46	297.17	366.09
KLK10	3039.3	2777.33	1628.26	1745.2	825.0	3349.13	1498.22	1104.13	1350.18	4066.71	2485.67	1662.49	2502.97	3060.45	2502.97	187.71	1250.98	1159.07	3847.29	371.22	2835.7	1295.13	603.67	1268.46	1697.45	9.27	151.22	3.2	4.28	0.0	23.08	44.25	26.86	34.75	31.0	6.84	17.38	23.42	1.1	51.71	201.25	46.18	50.27	4.66	30.12	53.57	24.46	6.94	0.0	217.27	0.0	0.19	29.91	3.86	6.36	0.0	5.15	52.82	9.13	12.93	9.41	17.25	2.46
KLK7	941.27	1037.29	503.95	1467.37	327.56	293.07	1388.16	176.29	163.28	1467.37	995.0	693.58	1044.52	234.57	1781.89	80.01	684.02	665.29	1322.37	571.05	1487.87	961.07	447.82	769.69	616.37	1.36	2.29	2.39	0.0	1.77	2.14	8.25	13.42	3.56	140.04	22.1	1.64	0.42	16.03	11.3	30.34	3.72	591.22	47.84	10.71	7.0	7.82	3.63	17.51	42.41	0.11	1.69	33.3	13.62	0.0	3.66	0.44	16.03	3.03	5.41	0.33	35.76	3.96
LONP1	2104.58	1417.35	1216.75	2193.99	1322.37	1397.83	1457.23	1277.29	1427.22	1561.89	1233.75	1806.78	2193.99	1662.49	2032.85	1104.13	1259.69	1096.5	1487.87	2351.53	1096.5	1487.87	1651.0	1250.98	1151.06	1037.29	759.08	665.29	934.76	974.5	909.17	486.75	674.59	1388.16	791.35	1359.57	934.76	981.29	988.12	1088.92	500.46	1233.75	764.36	796.86	703.28	1111.82	1081.39	902.89	1051.79	764.36	728.11	728.11	1030.12	974.5	819.3	890.44	1066.48	791.35	1066.48	1119.56	780.44	1044.52	988.12
LONRF2	1159.07	473.41	567.1	514.56	571.05	1037.29	591.22	384.34	529.06	733.19	1066.48	361.04	336.79	1059.11	490.14	327.56	387.02	1044.52	669.92	579.04	669.92	438.59	246.28	796.86	595.34	66.18	78.34	82.87	429.54	133.36	56.68	95.34	70.51	152.28	80.01	90.77	104.42	88.88	167.9	92.05	167.9	145.02	76.71	77.79	186.4	56.68	90.77	28.65	136.19	135.24	194.36	119.26	36.27	146.03	59.13	57.49	89.51	105.89	162.14	111.21	57.49	144.01	101.54
LPAR5	848.22	860.08	1008.9	941.27	723.08	890.44	743.43	454.09	493.56	769.69	836.53	884.29	785.88	921.88	866.07	387.02	371.22	738.29	1081.39	791.35	791.35	878.17	624.99	656.11	612.11	98.04	51.35	16.03	309.83	60.39	141.02	2.68	11.38	111.99	470.14	54.72	67.59	139.07	253.23	23.42	45.21	61.68	87.03	55.1	204.07	22.43	194.36	57.49	28.45	417.77	244.57	51.35	23.42	187.71	49.56	30.56	121.79	31.22	16.15	102.25	12.55	78.89	36.01
LURAP1L	698.41	214.27	400.71	1096.5	161.02	363.56	476.71	476.71	463.65	341.51	429.54	775.05	1135.2	379.04	743.43	70.01	157.68	58.3	376.41	974.5	197.09	988.12	379.04	376.41	94.67	16.03	135.24	41.52	61.25	74.06	68.07	65.26	67.12	75.11	65.26	65.26	78.89	72.52	50.63	98.73	16.15	36.79	51.35	68.55	108.14	75.64	44.57	43.94	79.45	65.26	144.01	79.45	181.28	28.04	75.64	45.53	98.04	92.7	10.24	46.84	25.91	68.55	100.13
LYN	543.96	1183.45	1268.46	684.02	620.67	836.53	928.3	599.49	1044.52	988.12	1044.52	1127.35	836.53	842.36	915.51	441.64	575.03	785.88	848.22	878.17	1159.07	1030.12	872.1	1340.84	796.86	366.09	616.37	329.84	403.5	486.75	309.83	529.06	423.61	264.03	307.69	312.0	334.46	432.53	269.6	384.34	412.0	587.13	435.55	403.5	339.14	341.51	368.65	176.29	417.77	503.95	620.67	305.55	285.03	361.04	480.04	291.04	392.44	256.78	397.93	353.59	253.23	351.14	316.37
MAP2	1111.82	884.29	1233.75	2004.85	854.13	1001.93	1015.93	511.0	1023.0	1059.11	1697.45	1059.11	1044.52	1191.69	1066.48	420.68	665.29	1447.15	1030.12	1250.98	1378.57	1594.73	785.88	1191.69	1081.39	183.82	275.28	353.59	1167.14	612.11	314.17	283.05	351.14	141.02	890.44	521.76	511.0	575.03	285.03	173.85	432.53	307.69	373.81	507.46	507.46	197.09	665.29	665.29	698.41	1721.16	941.27	1457.23	738.29	785.88	183.82	688.78	267.73	283.05	753.83	205.5	195.72	493.56	169.07
MAP3K1	848.22	1286.18	1268.46	733.19	974.5	896.64	759.08	759.08	896.64	1073.91	1268.46	836.53	642.59	1023.0	769.69	642.59	551.56	1233.75	902.89	769.69	1135.2	753.83	1037.29	1216.75	1277.29	361.04	409.15	341.51	447.82	490.14	262.2	334.46	320.8	450.94	616.37	327.56	323.03	409.15	429.54	205.5	237.86	339.14	277.2	395.18	420.68	187.71	463.65	518.15	417.77	500.46	540.19	460.44	379.04	521.76	255.0	336.79	373.81	400.71	320.8	493.56	237.86	536.45	395.18
MAP4K4	738.29	785.88	866.07	1175.27	693.58	872.1	642.59	521.76	848.22	934.76	808.0	698.41	571.05	878.17	624.99	595.34	409.15	813.63	909.17	723.08	947.83	1008.9	825.0	890.44	1199.98	392.44	397.93	275.28	287.01	400.71	260.38	334.46	346.29	406.31	384.34	403.5	547.75	438.59	361.04	273.37	223.41	423.61	392.44	384.34	295.11	244.57	373.81	128.79	460.44	356.05	543.96	287.01	307.69	291.04	387.02	269.6	525.39	287.01	236.21	255.0	318.57	358.54	277.2
MARCH11	24.63	25.17	16.88	25.91	2.66	21.01	33.78	4.54	19.25	18.56	8.0	59.55	55.49	17.13	19.82	0.0	7.4	0.0	12.18	35.76	9.78	36.79	17.9	5.41	7.17	0.85	15.0	15.45	0.0	0.0	0.0	0.0	13.83	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	8.32	0.0	0.0	7.17
MCTP2	395.18	486.75	633.73	423.61	473.41	563.18	435.55	363.56	384.34	525.39	796.86	318.57	316.37	559.28	414.87	231.32	303.44	409.15	571.05	476.71	759.08	521.76	473.41	616.37	507.46	147.06	130.6	138.1	176.29	226.54	109.66	134.3	111.99	151.22	149.12	157.68	145.02	144.01	181.28	111.99	172.65	148.09	94.01	128.79	211.31	99.43	156.59	118.43	239.52	205.5	255.0	271.48	97.36	136.19	78.34	106.63	158.79	165.57	113.56	94.67	99.43	228.13	128.79
MEAF6	2400.97	2255.7	2303.12	2047.0	2855.44	2434.5	2367.9	2119.22	2645.74	2682.69	2520.38	2287.2	1991.0	2777.33	2400.97	2367.9	2240.11	3212.66	2555.58	2209.26	2682.69	2240.11	2032.85	2555.58	2855.44	1151.06	2609.3	1216.75	1127.35	1295.13	2075.59	2956.17	1617.0	1030.12	1437.15	1417.35	1081.39	1781.89	1216.75	1529.73	1617.0	1359.57	1991.0	1304.15	1073.91	1991.0	1487.87	1427.22	1242.34	1662.49	1378.57	1407.55	1015.93	1605.83	1721.16	1407.55	1119.56	1457.23	1857.6	1561.89	2178.83	1583.71	2047.0
MEGF9	934.76	1268.46	1388.16	1923.14	1304.15	1685.71	1561.89	909.17	1540.37	1487.87	1529.73	1651.0	1769.57	1023.0	1225.22	642.59	915.51	860.08	1605.83	1674.06	1709.26	2193.99	1923.14	2777.33	759.08	480.04	275.28	759.08	1119.56	802.41	289.02	483.38	226.54	279.14	785.88	733.19	395.18	551.56	587.13	189.02	466.88	567.1	351.14	878.17	595.34	271.48	872.1	866.07	791.35	1208.34	1096.5	1295.13	1151.06	1059.11	420.68	1183.45	791.35	185.11	647.07	218.79	353.59	616.37	215.77
