	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.KC.A4BV.01A.31R.A26U.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
SERPINB9	107.38	17.9	9.7	15.11	75.11	79.45	75.64	63.89	88.88	49.56	54.72	52.82	38.67	63.45	88.88	21.47	47.84	75.11	77.25	19.97	36.27	25.54	111.99	164.42	51.35	19.82	88.26	26.67	55.89	81.71	165.57	48.52	43.02	63.0	7.75	30.12	287.01	111.21	18.29	34.02	24.28	82.29	13.03	44.89	46.5	33.78	89.51	48.18	173.85	31.67	53.57	10.08	29.48	41.22	110.43	27.64	41.52	34.51	10.31	88.88	138.1	96.01	20.26	35.5	22.75	27.05	12.09	51.35	15.11	60.82	17.0	17.77	30.34	55.89	12.64	35.25	27.84	43.02	81.14	52.82	34.51	67.12	13.12	34.26	17.64	102.97	103.69	163.28	108.9	84.04	115.97
SIRPA	217.27	131.51	140.04	70.51	224.97	341.51	260.38	206.94	215.77	301.33	220.32	134.3	197.09	201.25	191.67	183.82	74.06	165.57	285.03	74.58	75.11	88.26	406.31	381.68	264.03	217.27	253.23	77.25	162.14	444.72	273.37	84.63	98.04	193.01	108.14	143.01	426.57	521.76	181.28	218.79	120.94	395.18	43.63	258.57	242.88	147.06	137.14	248.0	432.53	148.09	135.24	81.71	221.86	156.59	220.32	81.71	105.15	182.55	87.65	417.77	303.44	368.65	95.34	194.36	119.26	130.6	98.73	164.42	73.03	260.38	90.77	68.07	161.02	285.03	58.3	94.67	156.59	228.13	341.51	189.02	122.64	159.9	71.0	122.64	97.36	332.14	476.71	267.73	251.48	209.84	320.8
SLFN11	218.79	29.48	9.2	28.24	118.43	74.06	115.97	69.03	228.13	115.97	64.34	85.22	120.1	129.69	82.29	69.52	69.52	234.57	155.5	27.05	57.08	29.7	336.79	194.36	114.36	33.06	197.09	37.05	70.51	191.67	161.02	45.21	74.58	129.69	13.62	28.65	426.57	178.77	130.6	80.01	49.56	202.66	158.79	78.34	123.5	48.52	112.77	126.12	211.31	53.57	129.69	30.56	53.57	62.12	87.65	28.45	68.55	44.25	29.48	204.07	256.78	314.17	80.01	44.25	23.93	28.45	24.99	94.67	17.13	64.8	47.5	39.79	96.68	92.7	17.51	71.5	46.5	78.89	185.11	81.71	45.85	94.67	26.67	37.85	22.43	237.86	152.28	256.78	197.09	87.03	258.57
SNX20	35.25	11.73	2.46	4.58	20.41	49.91	40.07	74.06	43.32	46.18	19.68	22.92	28.45	40.93	16.88	12.18	24.46	31.0	62.12	15.8	8.06	13.72	76.17	123.5	56.68	10.55	34.26	6.62	23.08	42.71	92.05	25.54	21.63	41.22	1.79	30.78	275.28	78.34	10.08	16.15	6.06	45.53	5.59	12.27	28.24	20.71	39.5	15.22	165.57	10.55	12.83	2.12	16.88	24.46	19.53	12.27	17.13	25.91	4.35	84.04	79.45	37.32	15.68	11.3	13.62	11.82	7.69	26.47	7.88	39.79	11.82	11.82	9.78	23.42	7.22	15.68	22.59	38.4	53.95	18.03	8.0	36.01	3.63	13.62	14.24	32.36	43.32	81.71	43.02	18.84	51.71
SPN	57.89	17.51	7.63	6.67	36.01	73.03	63.45	96.68	77.25	65.72	40.07	36.01	43.32	69.03	33.06	39.5	37.32	42.11	90.77	15.68	18.29	31.67	120.94	155.5	59.97	17.77	57.89	12.36	43.02	111.99	75.11	35.5	29.27	69.03	4.58	30.34	323.03	133.36	22.59	34.26	13.72	85.82	19.68	23.76	60.82	42.41	55.49	41.22	228.13	21.16	41.22	3.35	38.67	55.49	53.57	27.25	34.75	36.53	12.93	133.36	115.16	78.89	17.13	23.08	28.45	15.11	14.35	44.57	11.55	58.3	15.22	20.71	23.93	50.98	10.63	27.44	31.0	41.22	74.58	27.84	13.62	62.56	19.97	27.25	19.11	59.13	76.71	80.01	79.45	31.9	68.55
ST8SIA4	44.57	9.2	2.23	6.57	8.65	46.84	18.56	17.77	48.52	20.71	18.03	14.03	23.08	19.53	18.84	11.82	12.83	18.16	31.0	9.34	8.78	7.22	31.9	47.5	16.51	9.34	34.51	5.41	18.29	20.71	35.0	13.52	12.83	22.59	6.84	8.58	90.77	45.21	5.96	14.78	7.88	27.05	4.17	37.59	27.84	5.92	27.05	20.56	62.12	10.63	22.59	5.06	9.2	12.64	29.7	9.93	11.21	19.97	6.78	49.21	52.45	42.71	15.91	4.98	6.52	9.93	4.86	31.0	5.68	17.77	5.68	12.0	14.89	14.56	4.1	13.03	14.78	20.41	50.27	8.92	6.36	32.36	4.7	6.06	5.32	43.94	34.02	109.66	58.71	20.71	47.84
SYNE3	23.08	1.48	1.77	2.84	9.41	13.72	18.56	12.55	27.25	13.52	5.77	10.88	16.27	11.13	11.3	3.59	8.19	12.55	21.16	5.23	8.06	4.03	23.59	14.78	19.25	5.41	19.11	2.32	8.71	19.25	32.13	6.01	8.38	10.39	5.92	3.96	32.13	24.11	5.15	5.96	3.86	24.11	3.53	12.27	15.34	3.66	10.08	13.03	23.25	6.46	18.43	5.54	6.21	6.31	15.56	3.76	7.46	5.82	2.58	17.13	34.02	24.99	4.62	8.58	1.91	4.66	2.92	10.08	2.51	5.02	5.19	5.68	5.5	10.55	4.46	10.96	5.02	9.85	15.91	9.78	8.38	15.8	5.77	2.68	2.41	28.65	26.47	23.42	26.28	12.18	27.44
TAGAP	48.52	11.04	3.82	4.82	13.52	41.52	48.87	59.97	90.14	25.72	34.02	22.1	25.17	42.41	23.25	13.93	34.75	41.81	69.52	11.21	12.09	12.55	78.34	100.83	43.32	12.18	89.51	7.94	24.11	60.39	127.89	16.39	15.22	34.51	0.91	7.63	264.03	71.5	13.32	13.52	11.64	50.27	8.92	9.2	9.7	15.11	58.3	33.78	129.69	11.64	29.27	2.46	23.93	31.45	36.27	11.3	29.06	24.46	4.66	144.01	92.7	57.49	13.42	15.8	6.84	8.25	6.73	41.81	3.92	22.92	8.0	7.63	17.9	31.22	2.81	15.91	12.74	19.53	74.06	21.01	8.85	49.56	7.69	21.01	9.27	58.3	120.1	85.22	98.04	29.27	63.0
TLR6	11.64	3.06	4.39	4.17	6.52	14.78	12.0	9.56	19.82	16.39	3.96	4.46	11.55	9.34	6.01	5.5	6.62	9.48	27.84	4.21	2.76	2.48	19.68	29.48	9.34	3.23	18.43	3.69	4.43	12.93	11.04	2.41	6.06	18.84	0.88	3.17	45.53	17.9	3.79	6.46	2.18	12.64	2.76	6.01	4.43	4.7	8.19	6.73	40.64	6.21	6.67	2.27	5.15	8.38	16.03	11.3	6.36	10.0	2.07	33.06	21.63	13.42	4.62	5.82	2.84	4.66	5.02	6.46	2.73	8.99	6.67	5.41	2.36	8.71	2.84	5.45	7.63	6.94	17.9	4.21	1.35	8.13	2.53	2.14	2.23	11.13	11.04	13.22	13.62	6.41	16.51
TMEM71	23.08	8.19	3.96	3.03	19.39	27.64	25.17	28.65	21.16	22.1	8.25	12.55	21.01	21.16	15.91	13.22	12.27	47.5	29.48	3.76	5.19	5.02	28.65	39.79	24.63	6.06	47.5	8.85	14.56	24.81	46.5	19.39	21.94	9.34	1.19	13.83	81.71	37.59	10.31	11.91	10.16	32.82	14.56	17.0	10.24	12.55	29.91	16.75	70.01	10.08	16.75	2.23	8.38	13.83	13.12	11.47	9.78	14.14	7.82	47.5	53.19	32.13	10.96	4.98	8.99	11.04	30.78	28.86	8.25	23.59	4.43	8.51	5.45	43.32	3.76	13.03	18.16	39.79	19.97	26.47	19.82	23.08	3.47	9.93	4.54	50.63	66.65	96.68	47.5	29.91	56.68
TNFRSF1B	297.17	138.1	26.28	74.58	212.78	356.05	223.41	232.94	258.57	236.21	181.28	180.02	187.71	220.32	154.42	148.09	125.24	348.71	323.03	81.14	132.44	111.21	480.04	441.64	267.73	105.15	299.25	84.63	211.31	320.8	563.18	177.53	170.25	246.28	44.25	241.19	878.17	532.74	81.71	156.59	67.12	346.29	60.39	139.07	199.85	123.5	211.31	224.97	665.29	88.26	180.02	55.49	125.24	187.71	242.88	100.13	139.07	148.09	65.72	591.22	435.55	275.28	129.69	99.43	78.34	70.01	63.0	244.57	52.82	202.66	84.04	86.43	108.9	172.65	57.49	171.45	140.04	171.45	348.71	140.04	82.29	327.56	52.08	110.43	77.25	246.28	325.29	339.14	264.03	177.53	423.61
TNFSF14	14.35	2.97	1.07	2.25	10.24	21.63	18.7	14.67	18.29	19.82	7.82	4.06	10.55	21.16	8.51	7.06	6.94	6.11	11.82	4.62	3.11	14.03	29.7	47.84	14.45	5.63	18.56	2.39	4.9	18.84	16.51	4.31	3.08	12.36	1.04	4.74	115.16	45.85	4.98	10.16	0.4	21.94	1.11	3.66	6.62	7.34	14.24	5.23	83.45	4.78	9.7	0.84	4.86	8.51	19.25	4.5	7.63	5.68	1.53	12.36	61.68	15.56	7.63	5.63	4.82	1.91	1.91	5.54	5.36	8.32	1.87	6.41	4.17	9.85	2.76	10.24	6.46	10.39	11.73	5.11	2.39	6.94	2.07	2.81	5.15	10.16	27.64	18.84	15.34	6.26	9.93
TTYH2	63.45	25.91	21.78	31.45	54.72	84.63	73.03	50.63	58.3	81.14	30.12	70.01	54.72	90.14	71.0	35.25	24.99	55.49	63.0	33.54	39.5	28.04	119.26	61.25	79.45	21.63	57.49	26.67	45.85	76.71	71.0	25.54	61.25	56.68	22.1	38.95	100.83	82.87	22.75	25.17	42.71	72.52	19.11	59.97	60.39	41.81	46.84	73.54	97.36	43.94	66.65	24.46	50.63	75.11	22.92	52.08	34.02	34.02	31.22	108.9	100.13	84.63	35.25	61.68	17.51	31.67	24.46	66.65	32.36	46.84	33.54	29.7	19.68	46.5	17.77	48.18	43.32	51.71	61.25	76.17	36.27	86.43	27.05	35.5	42.71	61.68	103.69	70.51	91.41	55.49	99.43
VAV1	74.06	22.43	6.78	11.91	53.19	95.34	123.5	103.69	80.01	79.45	44.89	43.63	63.0	72.52	31.45	34.26	40.36	70.01	132.44	21.78	19.39	20.71	133.36	148.09	70.51	16.63	81.71	26.47	46.5	94.01	84.63	40.64	39.5	81.14	11.3	77.79	297.17	145.02	27.64	35.5	12.27	80.01	14.78	35.25	78.34	44.57	62.56	55.49	204.07	23.08	36.01	10.16	40.36	47.5	53.19	23.42	27.84	50.27	11.21	185.11	124.37	81.14	34.26	37.32	26.1	17.13	13.72	54.33	15.34	57.89	17.64	19.39	72.01	81.14	18.84	29.48	25.35	108.14	108.14	46.84	28.86	67.12	16.03	26.1	21.01	109.66	128.79	127.89	157.68	65.72	78.89
WAS	136.19	68.55	21.47	39.22	92.7	153.34	109.66	189.02	114.36	123.5	90.14	90.14	102.97	156.59	60.82	80.57	108.14	154.42	264.03	33.3	53.19	47.5	221.86	297.17	141.02	67.59	158.79	49.21	92.05	170.25	206.94	86.43	103.69	145.02	35.0	133.36	684.02	265.87	52.08	115.16	47.84	156.59	52.45	82.29	96.68	81.14	164.42	104.42	429.54	48.87	69.03	23.42	82.29	102.97	117.6	62.56	94.01	90.14	28.86	314.17	234.57	117.6	70.51	64.8	70.01	54.72	32.82	117.6	54.33	151.22	75.64	57.49	51.71	98.04	44.89	88.88	79.45	88.88	193.01	96.01	56.28	162.14	44.89	67.12	69.03	95.34	167.9	140.04	149.12	75.11	209.84
WIPF1	447.82	57.89	32.59	56.68	175.07	346.29	285.03	318.57	361.04	258.57	218.79	224.97	218.79	277.2	183.82	121.79	158.79	287.01	392.44	81.14	123.5	108.9	384.34	703.28	267.73	96.68	423.61	87.65	137.14	318.57	414.87	187.71	198.47	289.02	20.11	148.09	1135.2	447.82	88.26	149.12	151.22	305.55	61.68	242.88	224.97	149.12	348.71	269.6	775.05	123.5	211.31	56.28	99.43	156.59	251.48	130.6	169.07	133.36	72.01	587.13	543.96	346.29	155.5	147.06	82.87	120.1	56.28	229.72	77.25	208.38	98.04	92.7	100.13	186.4	94.01	170.25	115.16	191.67	373.81	228.13	145.02	332.14	74.58	103.69	98.73	358.54	397.93	473.41	366.09	244.57	616.37
