	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3TB.11A.11R.A22L.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.ET.A3DP.11A.22R.A21D.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.YJ89.0726.SM.5P9F7	GTEX.113JC.0126.SM.5EGJW	GTEX.ZV6S.0226.SM.59HJT	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.11EQ9.0626.SM.5A5K1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13FH7.0126.SM.5KLZ1	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.11I78.0526.SM.5986A	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.P4QT.2626.SM.2I3FM	GTEX.11NSD.0126.SM.5987F	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.SE5C.0726.SM.4BRWY	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.144GM.0226.SM.5Q5CB	GTEX.11P7K.0226.SM.5986Z	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.139TS.0126.SM.5K7XJ	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.13OW5.0626.SM.5J2N2	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.U8T8.2326.SM.3DB96	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.13112.0326.SM.5P9IW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.12696.0326.SM.5EGL4	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX	GTEX.13FTW.0626.SM.5IFEX
RNF38	444.72	466.88	163.28	423.61	476.71	293.07	249.73	409.15	406.31	384.34	376.41	361.04	291.04	435.55	339.14	218.79	381.68	334.46	249.73	450.94	265.87	237.86	343.89	420.68	234.57	323.03	361.04	348.71	389.72	563.18	438.59	361.04	490.14	679.29	285.03	476.71	575.03	237.86	463.65	521.76	318.57	202.66	371.22	595.34	607.87	476.71	486.75	591.22	651.58	476.71	571.05	521.76	373.81	389.72	713.11	507.46	450.94	624.99	759.08	854.13	698.41	417.77	796.86	612.11	389.72	493.56	358.54	540.19	656.11	738.29	486.75	490.14	612.11	470.14	483.38	412.0	595.34	733.19	599.49	497.0	403.5	476.71	444.72	583.07	366.09	529.06	348.71	511.0	444.72	896.64	674.59	454.09	703.28	460.44	435.55	656.11	503.95	417.77	429.54	265.87	511.0	497.0	624.99	426.57	486.75	406.31	457.25	454.09	656.11	473.41	616.37	406.31	397.93	511.0	624.99	392.44	476.71	660.68	483.38	591.22	441.64	483.38	607.87	532.74	878.17	438.59	624.99	497.0	521.76	343.89	665.29	295.11	579.04	518.15	460.44	575.03	567.1	325.29	563.18	769.69	420.68	567.1	684.02	346.29	583.07	575.03	571.05	476.71	373.81	483.38	441.64	559.28	555.41	273.37	397.93	457.25	587.13	255.0	373.81	389.72	780.44	540.19	583.07	551.56	753.83	438.59	624.99	603.67	429.54	432.53	624.99	633.73	603.67	460.44	503.95	409.15	480.04	507.46	381.68
RYK	947.83	1369.04	587.13	1135.2	1104.13	928.3	1001.93	974.5	1135.2	836.53	961.07	890.44	884.29	934.76	813.63	713.11	1104.13	813.63	529.06	1407.55	595.34	703.28	1127.35	915.51	890.44	813.63	934.76	486.75	1015.93	1008.9	890.44	988.12	1008.9	1322.37	713.11	1015.93	802.41	718.08	1030.12	1250.98	808.0	327.56	1037.29	1030.12	1277.29	981.29	819.3	1059.11	1199.98	1216.75	941.27	1015.93	836.53	1044.52	1088.92	878.17	1015.93	1127.35	1081.39	1457.23	1030.12	1023.0	1883.54	1015.93	764.36	928.3	718.08	1081.39	1350.18	1104.13	1030.12	813.63	1183.45	1295.13	819.3	1104.13	915.51	1127.35	1295.13	1088.92	1008.9	915.51	902.89	1081.39	954.43	954.43	1135.2	769.69	860.08	1104.13	1096.5	974.5	1191.69	872.1	866.07	1359.57	1008.9	915.51	921.88	595.34	934.76	921.88	1008.9	1250.98	872.1	1030.12	775.05	808.0	981.29	1388.16	1322.37	1208.34	1111.82	1081.39	1015.93	780.44	854.13	1111.82	1242.34	1250.98	974.5	1051.79	1233.75	1111.82	1697.45	842.36	947.83	718.08	1023.0	1167.14	1313.23	830.75	1073.91	1001.93	1088.92	1295.13	1023.0	759.08	981.29	1023.0	902.89	909.17	1119.56	995.0	1096.5	915.51	830.75	1044.52	866.07	1175.27	1037.29	1059.11	1304.15	1088.92	738.29	890.44	813.63	748.61	728.11	866.07	1259.69	1111.82	1051.79	1104.13	808.0	1216.75	1088.92	1088.92	825.0	854.13	1001.93	785.88	1259.69	802.41	1143.1	1008.9	1151.06	1119.56	884.29
S100PBP	269.6	329.84	190.34	392.44	356.05	223.41	248.0	303.44	412.0	195.72	395.18	299.25	226.54	358.54	187.71	299.25	392.44	253.23	132.44	392.44	127.0	186.4	366.09	318.57	301.33	325.29	346.29	217.27	297.17	279.14	361.04	323.03	353.59	480.04	177.53	314.17	332.14	318.57	236.21	371.22	295.11	169.07	379.04	356.05	426.57	255.0	256.78	447.82	447.82	346.29	303.44	371.22	246.28	253.23	438.59	320.8	191.67	346.29	384.34	444.72	406.31	236.21	555.41	511.0	368.65	273.37	246.28	351.14	281.09	412.0	336.79	260.38	432.53	295.11	312.0	301.33	236.21	376.41	346.29	371.22	486.75	379.04	289.02	293.07	363.56	325.29	432.53	232.94	325.29	343.89	392.44	309.83	332.14	305.55	356.05	511.0	253.23	256.78	255.0	248.0	293.07	239.52	323.03	301.33	336.79	275.28	258.57	351.14	420.68	476.71	420.68	470.14	325.29	353.59	332.14	234.57	303.44	348.71	343.89	414.87	205.5	400.71	356.05	435.55	480.04	435.55	341.51	307.69	336.79	334.46	480.04	206.94	343.89	232.94	305.55	368.65	373.81	320.8	348.71	363.56	305.55	403.5	363.56	241.19	444.72	291.04	295.11	389.72	223.41	334.46	329.84	332.14	314.17	356.05	172.65	318.57	521.76	215.77	211.31	248.0	543.96	265.87	423.61	444.72	318.57	204.07	373.81	397.93	301.33	305.55	381.68	384.34	406.31	287.01	241.19	301.33	351.14	429.54	237.86
SEMA6D	124.37	104.42	18.7	105.15	36.79	58.3	60.39	45.85	137.14	36.53	55.89	81.14	24.46	24.63	65.72	26.28	81.71	181.28	81.71	72.52	48.52	141.02	33.78	334.46	58.3	115.16	105.15	46.5	144.01	181.28	84.63	96.01	86.43	37.32	73.54	51.71	138.1	46.5	74.58	80.57	138.1	22.26	38.67	346.29	164.42	70.01	112.77	312.0	221.86	470.14	173.85	173.85	74.06	376.41	208.38	182.55	115.16	177.53	102.25	180.02	170.25	126.12	629.35	212.78	130.6	153.34	24.46	128.79	211.31	161.02	262.2	92.7	195.72	466.88	406.31	78.34	312.0	231.32	212.78	253.23	684.02	139.07	299.25	84.63	65.26	112.77	48.52	112.77	114.36	204.07	167.9	153.34	100.13	209.84	151.22	154.42	139.07	120.94	187.71	87.03	80.57	80.57	159.9	204.07	183.82	84.63	76.71	111.99	169.07	395.18	507.46	124.37	87.03	251.48	221.86	323.03	105.89	182.55	264.03	130.6	104.42	281.09	176.29	395.18	111.21	37.85	120.94	154.42	147.06	249.73	271.48	183.82	112.77	138.1	89.51	103.69	204.07	69.52	173.85	206.94	69.52	54.33	279.14	186.4	224.97	141.02	55.1	107.38	127.89	325.29	346.29	40.07	209.84	152.28	55.49	139.07	128.79	193.01	248.0	76.17	93.35	214.27	57.08	242.88	195.72	154.42	217.27	153.34	47.5	176.29	33.3	39.22	146.03	232.94	144.01	112.77	231.32	130.6	94.67
SEPSECS	152.28	90.14	34.02	111.21	167.9	86.43	57.89	81.14	114.36	92.7	107.38	119.26	34.75	131.51	140.04	64.34	118.43	74.58	77.79	145.02	71.5	108.14	102.25	106.63	54.33	50.27	113.56	47.5	81.71	118.43	96.01	90.14	127.0	175.07	98.73	107.38	117.6	77.79	122.64	115.97	76.71	47.5	82.87	140.04	159.9	94.67	111.21	131.51	204.07	132.44	107.38	126.12	105.15	127.89	183.82	129.69	107.38	153.34	215.77	249.73	205.5	96.68	269.6	118.43	103.69	119.26	69.03	151.22	157.68	142.01	88.88	95.34	163.28	125.24	90.77	96.68	110.43	116.78	193.01	136.19	134.3	69.52	152.28	155.5	107.38	120.94	93.35	149.12	102.25	256.78	109.66	107.38	182.55	177.53	149.12	143.01	127.89	115.16	135.24	133.36	115.16	123.5	151.22	100.83	88.88	138.1	108.9	127.0	144.01	153.34	166.73	198.47	118.43	129.69	105.89	108.14	110.43	137.14	148.09	131.51	102.97	148.09	175.07	152.28	161.02	115.16	121.79	96.68	140.04	96.01	181.28	103.69	84.04	118.43	91.41	134.3	116.78	82.87	189.02	138.1	92.05	92.05	150.17	100.83	156.59	131.51	128.79	144.01	78.34	128.79	102.25	101.54	139.07	88.88	95.34	130.6	140.04	142.01	77.25	105.89	187.71	171.45	125.24	154.42	199.85	120.94	198.47	133.36	90.77	143.01	106.63	88.26	127.0	121.79	136.19	141.02	108.14	151.22	100.13
SLC30A4	67.59	58.71	22.59	50.27	52.82	54.72	31.22	28.24	58.3	66.18	51.71	89.51	32.59	40.93	101.54	35.76	78.34	62.12	54.72	70.01	48.87	99.43	55.89	94.01	38.67	45.21	51.35	40.93	45.53	58.71	58.3	50.98	78.89	95.34	108.14	55.89	82.29	42.41	68.55	66.65	56.68	52.45	38.95	150.17	130.6	101.54	115.16	110.43	80.01	98.73	94.01	103.69	81.71	80.01	124.37	113.56	94.67	135.24	112.77	154.42	104.42	131.51	204.07	103.69	177.53	107.38	74.06	129.69	100.13	66.18	92.05	137.14	108.14	130.6	88.88	85.82	159.9	94.01	101.54	139.07	123.5	105.15	113.56	96.01	43.63	84.04	63.0	113.56	106.63	149.12	85.22	132.44	170.25	127.0	75.64	162.14	118.43	93.35	83.45	140.04	87.03	149.12	144.01	177.53	102.25	85.22	65.72	105.15	125.24	120.1	130.6	180.02	64.8	134.3	141.02	121.79	52.82	85.82	111.21	109.66	71.5	94.67	118.43	95.34	124.37	43.32	96.68	39.22	96.01	123.5	87.03	124.37	82.87	144.01	95.34	68.55	125.24	105.15	135.24	105.15	117.6	94.01	169.07	135.24	92.05	140.04	91.41	59.55	144.01	96.01	109.66	132.44	144.01	96.01	95.34	144.01	74.06	125.24	95.34	74.06	105.15	79.45	72.01	118.43	101.54	129.69	148.09	81.14	90.14	70.51	68.55	67.12	90.77	111.21	134.3	118.43	84.04	105.89	95.34
SLC3A1	5.59	5.87	1.14	5.92	6.26	2.94	2.51	3.63	4.21	0.0	4.58	5.5	3.44	5.11	2.94	4.54	3.5	4.58	3.44	5.45	5.15	2.48	6.89	4.46	5.96	2.56	5.02	4.74	3.59	3.08	7.11	9.41	7.0	4.62	2.68	8.78	2.23	3.63	2.48	20.56	5.92	1.13	3.99	4.74	2.78	2.16	2.23	3.17	7.34	4.1	47.84	5.28	3.11	20.41	6.41	6.36	1.69	5.28	7.51	20.11	7.46	4.31	27.44	6.78	9.2	8.38	3.44	7.4	2.97	1.13	2.23	4.03	15.22	7.4	5.68	5.96	3.56	9.27	8.85	5.28	5.06	1.14	8.58	5.23	3.69	13.03	12.09	9.2	5.02	13.03	4.21	3.03	6.94	6.57	7.11	5.36	3.63	3.23	1.33	6.06	7.11	3.47	5.45	2.78	1.64	6.73	2.14	5.02	7.46	5.63	7.75	8.51	5.63	13.83	3.59	1.1	6.84	4.82	9.34	8.78	2.81	5.23	5.23	9.34	7.51	5.54	9.48	3.72	10.55	7.4	5.82	1.36	6.31	5.36	3.11	9.85	3.66	3.66	8.45	6.94	2.51	3.29	10.88	3.47	13.22	8.85	4.9	8.06	4.21	9.06	7.11	2.68	9.93	7.17	4.54	6.41	5.54	4.24	4.54	1.77	12.74	6.31	9.85	7.34	7.28	3.63	1.99	11.64	1.53	8.51	3.89	1.39	3.29	3.0	3.53	6.41	0.58	4.98	3.26
SLX4IP	33.54	24.46	9.48	32.36	44.25	13.32	13.03	8.78	29.91	19.97	18.03	27.64	8.58	11.3	24.81	5.77	26.1	23.93	16.51	28.86	7.88	15.11	10.88	30.34	5.63	5.28	22.75	13.42	21.16	28.45	13.93	10.79	30.56	30.12	26.86	22.92	34.51	14.45	41.81	33.3	14.03	4.78	12.83	41.22	32.82	32.82	30.56	31.22	49.91	28.45	43.32	36.53	21.32	24.28	60.39	33.3	37.05	54.72	43.32	57.89	58.71	42.71	100.83	40.93	21.32	27.44	8.32	64.34	44.89	37.59	22.75	32.82	53.19	39.5	43.02	22.43	45.21	42.41	58.3	42.11	48.18	21.47	38.12	26.28	18.03	32.13	32.36	23.42	44.89	41.22	25.91	36.79	47.84	34.75	40.64	39.79	35.0	26.86	51.35	21.32	20.71	24.11	129.69	20.41	36.01	24.81	22.92	24.28	40.64	35.0	28.86	34.75	20.86	49.56	68.55	18.56	25.35	14.67	33.06	27.25	23.42	45.53	40.64	57.49	57.08	19.25	17.9	10.31	57.89	33.3	38.12	21.16	21.32	20.11	17.64	32.13	33.3	32.59	59.55	26.67	15.0	27.05	52.82	37.05	46.5	35.76	19.11	23.76	14.56	46.5	44.57	24.11	27.25	20.86	16.39	35.25	34.51	40.64	24.28	32.59	61.25	24.11	38.4	52.82	42.41	33.06	42.11	48.87	13.32	23.08	12.36	26.47	23.42	31.22	54.72	26.67	24.28	49.56	31.22
SMAD5	389.72	384.34	120.94	318.57	303.44	182.55	158.79	142.01	281.09	232.94	287.01	339.14	153.34	236.21	206.94	123.5	283.05	193.01	176.29	363.56	206.94	194.36	289.02	297.17	158.79	211.31	217.27	194.36	256.78	327.56	232.94	251.48	312.0	454.09	214.27	327.56	417.77	158.79	327.56	395.18	237.86	143.01	194.36	420.68	444.72	320.8	277.2	444.72	409.15	327.56	325.29	339.14	217.27	291.04	381.68	299.25	327.56	366.09	379.04	521.76	454.09	305.55	521.76	400.71	403.5	305.55	157.68	293.07	305.55	400.71	295.11	249.73	351.14	275.28	277.2	251.48	329.84	299.25	329.84	299.25	279.14	312.0	275.28	320.8	217.27	293.07	316.37	283.05	351.14	356.05	336.79	332.14	287.01	275.28	351.14	417.77	295.11	218.79	271.48	224.97	356.05	262.2	299.25	246.28	295.11	285.03	351.14	329.84	348.71	295.11	438.59	273.37	224.97	348.71	348.71	255.0	262.2	291.04	262.2	454.09	246.28	323.03	348.71	368.65	536.45	226.54	444.72	248.0	244.57	325.29	368.65	187.71	412.0	262.2	248.0	312.0	289.02	241.19	316.37	392.44	226.54	283.05	356.05	211.31	384.34	307.69	229.72	325.29	246.28	251.48	323.03	336.79	325.29	256.78	170.25	248.0	371.22	208.38	232.94	246.28	540.19	244.57	309.83	356.05	314.17	267.73	271.48	320.8	318.57	234.57	332.14	255.0	246.28	273.37	327.56	277.2	279.14	397.93	204.07
SP1	441.64	417.77	309.83	353.59	470.14	323.03	291.04	295.11	363.56	295.11	299.25	384.34	248.0	444.72	376.41	264.03	412.0	392.44	221.86	438.59	253.23	281.09	325.29	514.56	318.57	285.03	318.57	246.28	291.04	532.74	417.77	423.61	389.72	547.75	346.29	397.93	447.82	373.81	351.14	493.56	305.55	244.57	384.34	532.74	543.96	414.87	466.88	567.1	595.34	463.65	587.13	500.46	358.54	447.82	656.11	432.53	358.54	521.76	547.75	651.58	629.35	441.64	842.36	403.5	258.57	493.56	273.37	543.96	457.25	718.08	473.41	432.53	555.41	470.14	403.5	429.54	483.38	423.61	612.11	486.75	447.82	381.68	273.37	571.05	348.71	339.14	426.57	532.74	420.68	591.22	463.65	450.94	414.87	414.87	511.0	555.41	473.41	395.18	450.94	339.14	571.05	457.25	525.39	470.14	447.82	543.96	511.0	514.56	616.37	518.15	665.29	511.0	361.04	444.72	599.49	409.15	470.14	567.1	454.09	511.0	384.34	529.06	571.05	525.39	507.46	346.29	409.15	381.68	466.88	454.09	647.07	325.29	575.03	470.14	395.18	444.72	507.46	400.71	624.99	466.88	287.01	438.59	521.76	454.09	529.06	529.06	563.18	403.5	406.31	518.15	457.25	551.56	414.87	363.56	209.84	473.41	376.41	336.79	423.61	480.04	934.76	503.95	518.15	551.56	547.75	460.44	473.41	480.04	312.0	400.71	521.76	463.65	417.77	414.87	450.94	476.71	373.81	480.04	373.81
SP3	718.08	842.36	309.83	642.59	764.36	591.22	447.82	493.56	688.78	629.35	591.22	808.0	409.15	595.34	669.92	387.02	775.05	507.46	426.57	878.17	507.46	607.87	595.34	785.88	473.41	493.56	620.67	447.82	607.87	854.13	698.41	633.73	728.11	1051.79	733.19	808.0	860.08	417.77	688.78	703.28	567.1	384.34	612.11	1008.9	1167.14	934.76	981.29	1081.39	1066.48	967.76	988.12	743.43	684.02	860.08	1183.45	890.44	785.88	1199.98	1208.34	1605.83	995.0	878.17	1519.15	954.43	638.15	1135.2	633.73	848.22	1073.91	941.27	928.3	819.3	954.43	934.76	890.44	764.36	1119.56	1037.29	1167.14	988.12	753.83	854.13	723.08	860.08	493.56	791.35	587.13	819.3	842.36	1051.79	1044.52	884.29	896.64	830.75	934.76	1151.06	947.83	854.13	791.35	607.87	915.51	866.07	1008.9	866.07	791.35	915.51	819.3	733.19	1175.27	1008.9	1340.84	988.12	698.41	738.29	954.43	890.44	780.44	1143.1	915.51	1111.82	967.76	1030.12	947.83	1073.91	1721.16	718.08	981.29	775.05	848.22	769.69	995.0	718.08	1081.39	954.43	988.12	825.0	813.63	743.43	995.0	1437.15	802.41	934.76	1059.11	928.3	1001.93	813.63	1023.0	896.64	878.17	896.64	607.87	981.29	1023.0	836.53	753.83	830.75	1066.48	748.61	764.36	802.41	1059.11	1225.22	860.08	915.51	941.27	995.0	961.07	878.17	633.73	825.0	915.51	599.49	909.17	947.83	890.44	1001.93	1104.13	1191.69	872.1
SPATA7	281.09	379.04	165.57	356.05	366.09	264.03	206.94	228.13	341.51	275.28	323.03	194.36	154.42	269.6	264.03	218.79	318.57	204.07	287.01	303.44	297.17	206.94	376.41	249.73	260.38	246.28	361.04	249.73	400.71	307.69	341.51	346.29	336.79	384.34	373.81	403.5	480.04	214.27	356.05	264.03	305.55	226.54	248.0	414.87	447.82	412.0	361.04	381.68	454.09	397.93	389.72	392.44	291.04	348.71	426.57	435.55	299.25	447.82	514.56	583.07	490.14	339.14	591.22	316.37	173.85	316.37	295.11	384.34	435.55	379.04	343.89	265.87	366.09	309.83	334.46	279.14	316.37	679.29	384.34	392.44	414.87	395.18	373.81	332.14	267.73	429.54	201.25	264.03	309.83	638.15	397.93	327.56	429.54	423.61	312.0	417.77	466.88	353.59	299.25	358.54	199.85	343.89	432.53	285.03	371.22	351.14	267.73	248.0	412.0	339.14	518.15	341.51	392.44	379.04	361.04	291.04	379.04	314.17	361.04	432.53	234.57	406.31	327.56	457.25	571.05	348.71	279.14	215.77	403.5	397.93	447.82	332.14	309.83	348.71	305.55	356.05	291.04	262.2	438.59	599.49	432.53	264.03	521.76	334.46	486.75	285.03	293.07	320.8	361.04	476.71	285.03	295.11	497.0	279.14	351.14	441.64	599.49	432.53	297.17	312.0	447.82	361.04	295.11	470.14	303.44	323.03	620.67	406.31	363.56	423.61	371.22	320.8	343.89	361.04	381.68	325.29	295.11	412.0	258.57
SPIN3	94.01	91.41	35.0	108.14	99.43	73.54	64.34	58.71	100.83	44.89	90.14	75.11	31.45	74.58	85.82	48.52	81.71	62.56	43.02	120.1	31.9	61.68	97.36	98.04	67.59	51.35	95.34	42.71	96.68	96.68	75.11	96.68	78.89	125.24	58.71	60.82	61.68	58.3	92.7	104.42	81.71	37.59	71.0	120.1	139.07	98.04	80.01	122.64	186.4	117.6	93.35	104.42	86.43	100.13	141.02	98.04	80.01	124.37	109.66	117.6	114.36	63.45	244.57	138.1	39.22	107.38	66.18	122.64	99.43	130.6	96.68	78.89	143.01	100.83	122.64	104.42	98.04	63.89	101.54	162.14	100.83	65.72	52.82	98.73	84.04	132.44	65.26	74.06	121.79	105.89	125.24	98.04	93.35	95.34	123.5	103.69	90.14	66.65	131.51	80.01	129.69	86.43	105.89	87.03	109.66	122.64	71.0	79.45	136.19	178.77	132.44	175.07	90.77	88.26	105.15	113.56	98.73	111.99	94.01	156.59	83.45	165.57	97.36	140.04	127.89	122.64	103.69	67.12	127.0	106.63	166.73	52.82	106.63	108.9	112.77	118.43	90.77	62.12	109.66	106.63	90.14	108.14	136.19	113.56	155.5	139.07	96.01	113.56	78.34	89.51	87.65	66.18	109.66	134.3	57.49	93.35	127.0	88.26	68.07	79.45	171.45	121.79	112.77	127.89	95.34	107.38	86.43	127.89	95.34	115.16	77.25	96.01	105.89	102.25	94.67	138.1	116.78	181.28	53.95
