	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.97.8172.01A.11R.2287.07	TCGA.55.7573.01A.11R.2039.07	GTEX.12WSE.0826.SM.5S2VL	TCGA.BR.8592.01A.11R.2402.13	TCGA.BK.A6W4.01A.12R.A34R.07
EED	473.41	426.57	432.53	493.56	312.0	190.34	106.63	175.07	305.55	363.56	173.85	356.05	318.57	175.07	493.56	283.05	224.97	191.67	228.13	307.69	279.14	403.5	348.71	358.54	136.19	163.28	226.54	273.37	327.56	185.11	156.59	309.83	171.45	642.59	215.77	239.52	285.03	366.09	529.06	303.44	158.79	289.02	175.07	316.37	591.22	275.28	193.01	356.05	256.78	312.0	249.73	95.34	104.42	130.6	158.79	127.0	158.79	101.54	145.02	244.57	49.21	120.1	450.94	450.94	403.5	420.68	476.71
EIF4ENIF1	603.67	559.28	665.29	490.14	214.27	167.9	181.28	146.03	125.24	293.07	197.09	256.78	260.38	246.28	444.72	265.87	181.28	186.4	267.73	246.28	215.77	432.53	96.68	118.43	242.88	134.3	169.07	224.97	165.57	146.03	289.02	198.47	158.79	397.93	208.38	163.28	148.09	299.25	264.03	191.67	182.55	231.32	132.44	265.87	486.75	307.69	146.03	273.37	198.47	414.87	231.32	106.63	149.12	144.01	232.94	68.07	147.06	98.73	110.43	84.63	39.22	132.44	497.0	351.14	395.18	660.68	470.14
ELMO2	723.08	651.58	647.07	753.83	204.07	170.25	214.27	180.02	265.87	316.37	356.05	255.0	381.68	500.46	647.07	376.41	297.17	201.25	409.15	336.79	343.89	825.0	202.66	236.21	161.02	312.0	414.87	555.41	376.41	239.52	283.05	351.14	251.48	400.71	307.69	334.46	341.51	351.14	438.59	332.14	162.14	242.88	226.54	256.78	543.96	555.41	251.48	373.81	309.83	435.55	171.45	199.85	176.29	165.57	307.69	96.68	228.13	242.88	256.78	314.17	187.71	195.72	540.19	884.29	591.22	708.18	540.19
EP300	738.29	764.36	723.08	555.41	267.73	269.6	146.03	163.28	102.97	295.11	187.71	201.25	339.14	381.68	409.15	242.88	187.71	151.22	312.0	251.48	256.78	595.34	80.01	97.36	277.2	94.67	136.19	258.57	151.22	96.01	169.07	242.88	115.97	371.22	251.48	100.13	182.55	279.14	275.28	140.04	133.36	323.03	119.26	271.48	366.09	438.59	169.07	361.04	211.31	409.15	334.46	108.9	132.44	307.69	105.15	106.63	65.72	217.27	267.73	98.73	60.39	258.57	551.56	514.56	679.29	759.08	511.0
EP400	312.0	379.04	329.84	301.33	115.16	98.04	77.25	133.36	97.36	81.71	90.14	105.89	144.01	128.79	239.52	119.26	49.21	82.87	74.58	119.26	89.51	248.0	70.01	91.41	80.01	57.08	69.52	147.06	150.17	68.07	43.02	109.66	62.56	239.52	112.77	63.89	127.0	127.0	262.2	91.41	62.12	191.67	63.0	111.21	199.85	231.32	89.51	130.6	140.04	156.59	93.35	36.53	67.12	59.55	57.08	42.41	41.52	65.26	49.91	28.04	12.55	65.26	283.05	258.57	309.83	366.09	277.2
EPC1	884.29	808.0	902.89	575.03	262.2	248.0	182.55	169.07	224.97	299.25	170.25	249.73	447.82	373.81	438.59	181.28	220.32	271.48	318.57	236.21	176.29	571.05	197.09	237.86	348.71	124.37	151.22	277.2	273.37	139.07	157.68	295.11	145.02	543.96	229.72	181.28	287.01	409.15	376.41	232.94	220.32	486.75	175.07	258.57	435.55	339.14	181.28	255.0	327.56	480.04	228.13	84.63	178.77	256.78	171.45	156.59	129.69	329.84	141.02	199.85	106.63	129.69	638.15	483.38	1073.91	642.59	571.05
EPG5	314.17	336.79	301.33	251.48	105.15	144.01	82.29	72.01	136.19	111.21	143.01	142.01	115.16	164.42	239.52	88.88	70.51	102.97	85.22	94.67	127.0	211.31	68.07	76.17	152.28	56.68	95.34	131.51	81.14	58.3	78.89	159.9	88.88	183.82	94.01	63.45	148.09	86.43	158.79	63.45	78.34	150.17	69.03	132.44	242.88	170.25	73.03	141.02	134.3	117.6	106.63	75.64	71.5	103.69	67.59	92.7	59.97	80.01	87.65	88.26	74.58	68.07	295.11	191.67	376.41	314.17	244.57
EPHX1	4268.94	4066.71	4010.71	3982.99	116501.39	103551.29	128373.58	77396.54	116501.39	54727.32	107948.72	100023.92	46662.28	107948.72	30999.42	114103.8	109455.64	109455.64	190574.09	96616.71	100023.92	29736.59	117311.73	116501.39	159145.95	95286.54	135693.24	43236.64	144427.91	87075.75	159145.95	104271.56	118127.7	20593.91	103551.29	88291.3	127486.83	53973.86	12415.75	121448.75	145432.49	69271.73	89523.81	108699.57	11827.67	18304.63	167058.21	98646.85	125731.67	71219.26	110983.6	50011.46	63302.6	165904.25	258533.99	169390.27	236256.4	119776.72	208544.12	147462.67	21320.18	506427.83	11189.6	9540.5	45386.27	2367.9	5913.33
ESCO1	291.04	228.13	281.09	206.94	180.02	104.42	72.01	86.43	99.43	198.47	92.05	145.02	181.28	155.5	285.03	147.06	87.03	131.51	96.68	163.28	134.3	336.79	139.07	102.25	215.77	85.22	121.79	189.02	119.26	100.83	68.55	176.29	67.59	281.09	109.66	108.14	116.78	242.88	246.28	68.07	67.59	182.55	67.59	94.67	293.07	229.72	66.18	199.85	106.63	307.69	195.72	17.64	60.82	158.79	98.04	53.57	94.67	92.05	55.49	112.77	39.79	64.34	229.72	171.45	279.14	201.25	241.19
ETV3	551.56	532.74	563.18	518.15	212.78	114.36	88.88	62.56	92.05	163.28	102.97	107.38	156.59	150.17	214.27	156.59	73.54	134.3	148.09	193.01	291.04	376.41	118.43	100.13	221.86	65.72	141.02	234.57	197.09	99.43	64.34	172.65	100.83	258.57	114.36	90.14	182.55	206.94	260.38	264.03	50.63	183.82	81.71	143.01	244.57	153.34	87.03	173.85	237.86	221.86	130.6	39.22	60.82	90.14	121.79	44.89	55.89	267.73	62.56	75.11	47.5	55.89	336.79	334.46	529.06	262.2	215.77
FAM178A	373.81	384.34	373.81	379.04	144.01	150.17	161.02	85.82	189.02	248.0	191.67	314.17	253.23	253.23	241.19	87.03	97.36	102.97	99.43	185.11	110.43	368.65	100.83	60.82	136.19	150.17	152.28	218.79	325.29	84.63	113.56	187.71	161.02	435.55	120.1	108.9	170.25	356.05	473.41	112.77	172.65	262.2	107.38	251.48	229.72	366.09	91.41	229.72	253.23	463.65	255.0	36.27	69.03	110.43	103.69	68.07	82.29	66.18	44.25	55.49	12.55	60.39	363.56	265.87	301.33	366.09	397.93
FAM208B	733.19	679.29	684.02	587.13	205.5	181.28	137.14	136.19	172.65	208.38	176.29	156.59	325.29	285.03	400.71	212.78	163.28	175.07	182.55	305.55	211.31	387.02	183.82	138.1	251.48	158.79	127.89	387.02	381.68	89.51	126.12	332.14	124.37	529.06	170.25	104.42	368.65	303.44	447.82	116.78	120.94	366.09	147.06	223.41	406.31	339.14	148.09	299.25	343.89	599.49	215.77	37.05	67.59	316.37	389.72	100.83	119.26	122.64	70.51	111.99	102.25	121.79	435.55	450.94	316.37	813.63	525.39
FBXO11	1073.91	995.0	1081.39	921.88	507.46	353.59	265.87	237.86	316.37	438.59	312.0	397.93	457.25	429.54	802.41	366.09	366.09	384.34	260.38	343.89	348.71	775.05	429.54	327.56	514.56	187.71	267.73	450.94	547.75	237.86	187.71	490.14	249.73	624.99	301.33	297.17	571.05	603.67	518.15	297.17	253.23	490.14	239.52	341.51	656.11	555.41	253.23	532.74	476.71	603.67	647.07	119.26	293.07	486.75	255.0	209.84	221.86	318.57	336.79	228.13	153.34	323.03	723.08	967.76	703.28	785.88	819.3
FNBP4	2047.0	1721.16	2090.03	1397.83	587.13	351.14	271.48	251.48	379.04	647.07	289.02	656.11	954.43	532.74	2224.63	279.14	444.72	312.0	414.87	547.75	267.73	872.1	409.15	351.14	612.11	241.19	295.11	780.44	764.36	193.01	175.07	679.29	214.27	1066.48	332.14	312.0	438.59	848.22	848.22	346.29	232.94	1066.48	221.86	423.61	1135.2	1697.45	303.44	785.88	579.04	753.83	591.22	65.72	303.44	432.53	320.8	185.11	143.01	429.54	105.89	157.68	63.45	180.02	2047.0	1250.98	1066.48	1572.76	1359.57
GATAD2B	353.59	320.8	343.89	332.14	126.12	142.01	166.73	80.01	135.24	177.53	156.59	202.66	180.02	176.29	267.73	135.24	137.14	100.83	237.86	171.45	234.57	255.0	167.9	153.34	329.84	105.15	131.51	273.37	220.32	100.13	108.14	181.28	131.51	339.14	170.25	115.16	186.4	220.32	201.25	177.53	72.52	214.27	101.54	191.67	271.48	152.28	102.97	181.28	253.23	305.55	156.59	59.97	86.43	102.25	126.12	69.52	46.5	77.79	63.45	83.45	53.57	34.02	361.04	414.87	229.72	361.04	232.94
GBA2	1350.18	1250.98	1304.15	1119.56	802.41	1167.14	902.89	647.07	934.76	954.43	1008.9	1073.91	1259.69	1111.82	2520.38	1104.13	571.05	988.12	780.44	638.15	934.76	1225.22	1191.69	555.41	1208.34	830.75	620.67	890.44	967.76	733.19	674.59	1697.45	836.53	1662.49	1059.11	796.86	1487.87	1104.13	2061.24	872.1	748.61	1540.37	642.59	848.22	1909.85	1685.71	796.86	708.18	1457.23	638.15	1757.34	363.56	497.0	406.31	665.29	432.53	470.14	579.04	444.72	454.09	273.37	441.64	1447.15	1225.22	2384.37	1923.14	1233.75
GIT2	708.18	647.07	669.92	728.11	267.73	169.07	163.28	218.79	212.78	327.56	136.19	287.01	447.82	291.04	532.74	256.78	228.13	253.23	167.9	277.2	223.41	490.14	218.79	182.55	189.02	128.79	212.78	463.65	299.25	215.77	90.14	323.03	114.36	543.96	215.77	217.27	295.11	381.68	713.11	228.13	101.54	476.71	186.4	237.86	514.56	540.19	303.44	395.18	366.09	463.65	341.51	113.56	117.6	155.5	215.77	111.99	123.5	121.79	126.12	214.27	71.0	127.0	693.58	624.99	775.05	909.17	409.15
GLTSCR1	262.2	343.89	291.04	221.86	147.06	211.31	153.34	137.14	155.5	163.28	127.89	169.07	205.5	224.97	314.17	111.21	93.35	84.63	139.07	182.55	180.02	258.57	88.88	156.59	202.66	85.22	137.14	183.82	171.45	103.69	70.01	361.04	93.35	231.32	124.37	98.04	264.03	199.85	156.59	182.55	64.8	223.41	105.89	214.27	447.82	248.0	100.83	116.78	195.72	206.94	183.82	64.8	73.54	42.71	84.63	50.63	69.03	124.37	52.08	61.68	57.49	47.17	373.81	253.23	341.51	303.44	320.8
GPATCH8	656.11	620.67	647.07	429.54	181.28	139.07	73.54	57.49	105.15	195.72	150.17	154.42	267.73	194.36	303.44	151.22	111.21	140.04	204.07	171.45	111.21	366.09	96.68	88.26	226.54	45.85	82.87	173.85	175.07	81.14	102.97	134.3	81.71	293.07	156.59	72.01	244.57	183.82	239.52	88.88	84.63	185.11	78.34	228.13	320.8	236.21	105.15	246.28	291.04	346.29	177.53	51.71	74.06	131.51	45.53	48.18	54.33	67.12	70.01	36.27	37.85	69.03	420.68	403.5	563.18	629.35	432.53
HERC4	713.11	595.34	607.87	514.56	412.0	226.54	191.67	202.66	318.57	379.04	567.1	358.54	351.14	518.15	426.57	400.71	214.27	218.79	536.45	423.61	205.5	486.75	220.32	269.6	435.55	323.03	325.29	447.82	460.44	214.27	234.57	571.05	246.28	387.02	379.04	217.27	303.44	438.59	563.18	384.34	231.32	497.0	166.73	264.03	397.93	450.94	426.57	403.5	305.55	470.14	518.15	159.9	139.07	239.52	159.9	201.25	232.94	187.71	217.27	312.0	152.28	366.09	493.56	507.46	366.09	511.0	454.09
HINFP	500.46	423.61	483.38	376.41	162.14	206.94	126.12	175.07	299.25	395.18	242.88	236.21	320.8	172.65	785.88	239.52	301.33	229.72	194.36	234.57	232.94	420.68	153.34	173.85	217.27	155.5	226.54	305.55	400.71	244.57	193.01	267.73	175.07	540.19	180.02	191.67	217.27	414.87	466.88	265.87	173.85	228.13	176.29	403.5	780.44	256.78	244.57	336.79	346.29	351.14	178.77	102.25	165.57	91.41	147.06	143.01	186.4	142.01	112.77	136.19	66.65	144.01	629.35	476.71	497.0	511.0	525.39
HKR1	909.17	988.12	1096.5	842.36	514.56	293.07	341.51	27.25	229.72	579.04	392.44	387.02	435.55	334.46	1088.92	148.09	269.6	348.71	231.32	129.69	198.47	693.58	273.37	119.26	607.87	262.2	255.0	265.87	423.61	220.32	201.25	185.11	258.57	791.35	314.17	273.37	281.09	559.28	397.93	346.29	187.71	450.94	120.94	412.0	796.86	366.09	234.57	211.31	251.48	684.02	497.0	105.15	193.01	88.88	281.09	244.57	169.07	92.7	177.53	264.03	132.44	76.17	848.22	575.03	941.27	738.29	813.63
HMGXB4	423.61	435.55	420.68	316.37	148.09	125.24	82.87	90.14	73.03	194.36	145.02	145.02	182.55	232.94	262.2	167.9	87.03	123.5	172.65	155.5	132.44	379.04	90.14	58.3	193.01	85.22	110.43	195.72	96.68	75.11	115.16	164.42	57.89	269.6	141.02	99.43	103.69	183.82	232.94	126.12	63.0	224.97	57.49	121.79	204.07	241.19	90.14	231.32	161.02	197.09	176.29	40.93	96.68	138.1	49.56	83.45	70.01	92.7	60.82	60.82	72.52	71.5	248.0	226.54	260.38	353.59	336.79
KAT5	1088.92	1216.75	1350.18	1008.9	674.59	698.41	748.61	555.41	624.99	896.64	603.67	909.17	1015.93	473.41	830.75	684.02	813.63	633.73	941.27	703.28	607.87	974.5	599.49	836.53	412.0	341.51	529.06	684.02	660.68	866.07	595.34	733.19	629.35	890.44	693.58	624.99	511.0	1119.56	759.08	791.35	447.82	698.41	620.67	624.99	780.44	571.05	665.29	764.36	395.18	860.08	563.18	486.75	599.49	426.57	629.35	417.77	325.29	612.11	420.68	543.96	293.07	316.37	1199.98	921.88	1427.22	1175.27	1286.18
KIAA1468	426.57	486.75	480.04	400.71	140.04	142.01	68.07	71.0	115.97	159.9	108.14	123.5	224.97	142.01	323.03	136.19	113.56	117.6	138.1	151.22	119.26	173.85	151.22	84.63	237.86	71.0	120.1	175.07	220.32	80.01	115.16	217.27	74.06	211.31	166.73	127.0	144.01	105.15	175.07	69.52	72.52	209.84	72.01	141.02	289.02	262.2	80.57	231.32	175.07	265.87	150.17	84.63	77.79	239.52	98.73	114.36	59.55	80.57	93.35	87.65	45.21	81.14	444.72	218.79	229.72	271.48	389.72
KIAA1731	258.57	215.77	279.14	197.09	98.73	94.67	38.95	59.97	100.83	164.42	75.64	151.22	229.72	90.14	275.28	98.73	114.36	104.42	102.97	104.42	110.43	193.01	145.02	80.57	96.01	67.12	85.82	152.28	154.42	68.55	64.8	128.79	70.51	351.14	82.87	107.38	85.22	146.03	269.6	85.22	60.39	171.45	84.63	61.68	218.79	100.83	81.14	170.25	149.12	153.34	117.6	5.02	30.12	25.72	32.13	26.67	36.01	48.52	31.22	44.57	16.63	33.54	182.55	159.9	170.25	253.23	221.86
KIF5B	1794.29	1477.58	1519.15	1745.2	620.67	327.56	348.71	244.57	490.14	563.18	279.14	249.73	713.11	620.67	854.13	363.56	381.68	366.09	395.18	567.1	432.53	1151.06	536.45	420.68	733.19	258.57	329.84	733.19	764.36	277.2	285.03	579.04	285.03	928.3	423.61	255.0	854.13	769.69	647.07	441.64	258.57	921.88	303.44	435.55	518.15	684.02	242.88	988.12	547.75	785.88	423.61	98.04	151.22	748.61	384.34	186.4	248.0	153.34	281.09	273.37	218.79	353.59	1073.91	1208.34	1709.26	1909.85	1066.48
KMT2D	759.08	884.29	718.08	733.19	353.59	389.72	242.88	237.86	256.78	435.55	249.73	339.14	414.87	341.51	718.08	253.23	223.41	234.57	205.5	318.57	262.2	514.56	135.24	267.73	242.88	155.5	264.03	426.57	368.65	154.42	115.97	339.14	214.27	551.56	301.33	215.77	532.74	381.68	529.06	251.48	183.82	480.04	169.07	403.5	500.46	842.36	285.03	384.34	483.38	376.41	343.89	120.94	169.07	135.24	84.63	108.14	131.51	150.17	156.59	108.14	55.49	149.12	1104.13	825.0	507.46	1037.29	674.59
KMT2E	1331.57	1143.1	1216.75	890.44	232.94	211.31	91.41	133.36	144.01	242.88	176.29	199.85	403.5	297.17	336.79	182.55	140.04	198.47	361.04	234.57	169.07	457.25	134.3	126.12	409.15	105.89	150.17	281.09	271.48	70.51	81.14	295.11	77.25	616.37	269.6	121.79	351.14	279.14	267.73	120.1	94.01	323.03	118.43	262.2	332.14	258.57	124.37	339.14	327.56	624.99	265.87	46.18	92.7	193.01	106.63	96.01	89.51	214.27	130.6	198.47	44.25	118.43	830.75	775.05	896.64	1199.98	688.78
LCOR	289.02	251.48	249.73	231.32	106.63	87.03	33.06	40.36	49.91	120.94	42.41	101.54	165.57	127.89	211.31	57.89	41.22	39.5	59.13	104.42	93.35	226.54	54.72	57.89	69.52	81.71	71.0	103.69	133.36	39.5	38.12	55.49	32.59	167.9	58.71	43.94	149.12	176.29	186.4	70.51	46.18	229.72	32.36	84.63	92.7	217.27	32.82	129.69	130.6	244.57	108.9	17.77	37.32	121.79	100.13	42.41	63.0	85.82	52.45	76.17	58.3	88.26	232.94	208.38	224.97	441.64	155.5
LDB1	1313.23	1529.73	1662.49	1167.14	273.37	287.01	289.02	239.52	476.71	518.15	341.51	323.03	665.29	476.71	684.02	214.27	351.14	221.86	444.72	379.04	320.8	780.44	262.2	336.79	220.32	241.19	312.0	476.71	400.71	264.03	246.28	271.48	334.46	890.44	255.0	195.72	514.56	563.18	802.41	366.09	314.17	540.19	180.02	409.15	836.53	460.44	176.29	575.03	435.55	616.37	486.75	279.14	473.41	164.42	198.47	178.77	205.5	392.44	260.38	217.27	137.14	181.28	2240.11	1498.22	1733.13	1594.73	1832.01
LGALSL	417.77	480.04	368.65	351.14	94.01	102.97	140.04	46.5	57.49	228.13	130.6	198.47	201.25	143.01	511.0	99.43	183.82	149.12	44.89	241.19	149.12	277.2	80.57	231.32	435.55	148.09	134.3	187.71	204.07	142.01	116.78	316.37	100.83	361.04	153.34	172.65	114.36	305.55	361.04	260.38	60.39	201.25	78.34	85.82	450.94	248.0	172.65	435.55	221.86	454.09	234.57	102.25	102.97	248.0	92.7	82.87	111.21	341.51	178.77	78.34	100.83	164.42	397.93	312.0	555.41	217.27	339.14
LIX1L	514.56	384.34	444.72	473.41	177.53	155.5	201.25	144.01	301.33	256.78	178.77	312.0	426.57	323.03	780.44	190.34	182.55	323.03	417.77	246.28	260.38	595.34	138.1	164.42	444.72	237.86	307.69	392.44	151.22	229.72	133.36	490.14	229.72	1583.71	201.25	346.29	387.02	423.61	251.48	376.41	115.16	138.1	236.21	208.38	684.02	351.14	110.43	264.03	305.55	1051.79	156.59	120.94	150.17	187.71	89.51	142.01	186.4	156.59	194.36	301.33	157.68	241.19	412.0	473.41	909.17	902.89	463.65
LRFN1	25.35	26.67	19.97	39.79	31.9	1.91	8.25	4.21	17.64	55.49	4.24	14.45	25.72	35.5	69.03	2.94	29.06	10.31	2.76	19.97	48.87	51.35	4.9	20.26	27.84	10.71	13.83	12.64	7.46	15.0	1.58	18.29	15.8	68.07	5.28	9.7	5.23	24.99	33.78	45.85	1.25	7.0	7.22	16.63	107.38	25.35	1.83	19.53	32.59	63.89	25.17	12.83	27.44	4.17	10.55	0.78	6.46	36.79	25.72	25.17	12.27	30.12	15.56	31.67	25.17	46.5	26.67
LSM14A	2133.97	2090.03	1991.0	2104.58	1030.12	1135.2	775.05	954.43	909.17	1242.34	902.89	1191.69	1225.22	1508.65	2004.85	836.53	651.58	872.1	785.88	1044.52	669.92	1870.53	785.88	802.41	1447.15	518.15	1127.35	1295.13	1183.45	660.68	438.59	1208.34	616.37	1709.26	836.53	909.17	1119.56	1023.0	1059.11	802.41	647.07	1369.04	723.08	1551.09	2956.17	1427.22	848.22	928.3	1340.84	1529.73	1051.79	473.41	454.09	1191.69	665.29	830.75	603.67	660.68	703.28	651.58	796.86	1096.5	2004.85	1508.65	1378.57	2018.8	1977.24
LTN1	414.87	387.02	371.22	299.25	155.5	109.66	28.45	54.33	39.22	56.68	79.45	91.41	141.02	155.5	221.86	89.51	41.52	55.49	81.14	132.44	68.07	205.5	80.57	39.5	90.77	38.67	58.3	99.43	166.73	29.7	56.28	98.73	64.34	177.53	108.9	38.4	129.69	107.38	140.04	55.49	44.89	186.4	48.87	118.43	100.83	189.02	63.89	147.06	190.34	178.77	161.02	33.54	57.49	283.05	63.45	74.58	40.36	52.45	69.03	51.71	29.91	129.69	181.28	195.72	183.82	249.73	199.85
MADD	718.08	738.29	603.67	612.11	376.41	228.13	303.44	161.02	334.46	305.55	279.14	299.25	457.25	241.19	612.11	289.02	242.88	277.2	441.64	256.78	256.78	466.88	205.5	242.88	361.04	182.55	204.07	376.41	368.65	195.72	218.79	376.41	260.38	616.37	334.46	258.57	223.41	426.57	559.28	204.07	221.86	279.14	211.31	312.0	591.22	563.18	171.45	361.04	208.38	518.15	476.71	193.01	248.0	118.43	181.28	169.07	185.11	283.05	226.54	190.34	123.5	169.07	1119.56	551.56	733.19	665.29	500.46
MAMLD1	88.26	104.42	88.26	100.83	88.26	53.95	70.51	14.89	20.71	195.72	14.24	226.54	123.5	27.84	503.95	287.01	13.62	92.7	21.16	49.56	208.38	387.02	59.55	32.13	96.68	11.82	26.67	80.57	47.84	38.95	3.66	95.34	57.08	583.07	54.33	50.63	8.65	279.14	194.36	81.14	42.71	60.39	25.91	30.12	102.25	267.73	25.91	60.82	9.78	295.11	127.89	54.33	99.43	29.91	31.45	55.49	21.32	150.17	47.84	45.21	121.79	34.75	182.55	157.68	69.03	175.07	147.06
MAPK7	341.51	307.69	353.59	241.19	96.01	105.89	108.9	57.89	135.24	182.55	64.8	134.3	262.2	187.71	339.14	78.34	82.29	108.14	61.68	143.01	138.1	275.28	141.02	77.79	105.89	105.15	126.12	145.02	175.07	150.17	44.57	125.24	111.99	193.01	110.43	99.43	177.53	147.06	194.36	138.1	40.07	153.34	109.66	77.25	148.09	208.38	65.26	186.4	129.69	197.09	89.51	72.52	144.01	66.65	40.07	34.02	57.49	103.69	85.22	84.63	24.28	78.89	403.5	587.13	289.02	463.65	312.0
MARK2	902.89	780.44	872.1	642.59	248.0	155.5	143.01	199.85	193.01	503.95	177.53	204.07	329.84	198.47	400.71	291.04	190.34	214.27	256.78	269.6	249.73	587.13	155.5	221.86	187.71	139.07	191.67	314.17	217.27	155.5	147.06	241.19	123.5	543.96	231.32	158.79	185.11	368.65	373.81	234.57	99.43	417.77	118.43	231.32	412.0	208.38	173.85	301.33	180.02	476.71	217.27	125.24	116.78	106.63	228.13	73.54	153.34	119.26	158.79	135.24	49.21	105.89	688.78	723.08	518.15	579.04	500.46
MAU2	878.17	967.76	872.1	708.18	316.37	309.83	232.94	197.09	307.69	483.38	339.14	334.46	583.07	400.71	796.86	275.28	314.17	248.0	285.03	341.51	297.17	872.1	236.21	236.21	432.53	171.45	314.17	473.41	363.56	241.19	145.02	432.53	220.32	718.08	279.14	234.57	329.84	450.94	497.0	392.44	191.67	450.94	197.09	400.71	842.36	728.11	239.52	420.68	575.03	438.59	559.28	170.25	262.2	133.36	185.11	248.0	182.55	283.05	152.28	217.27	114.36	110.43	854.13	733.19	928.3	954.43	785.88
MBD6	896.64	1073.91	1081.39	748.61	642.59	587.13	647.07	518.15	624.99	1199.98	669.92	921.88	1088.92	791.35	1963.57	500.46	460.44	353.59	463.65	679.29	688.78	1051.79	503.95	703.28	738.29	808.0	723.08	819.3	743.43	660.68	397.93	713.11	836.53	1447.15	1096.5	660.68	896.64	890.44	2287.2	651.58	555.41	1023.0	941.27	775.05	1340.84	1111.82	420.68	915.51	780.44	1183.45	679.29	339.14	698.41	397.93	303.44	532.74	647.07	708.18	343.89	497.0	351.14	265.87	1447.15	1051.79	1081.39	1427.22	1457.23
ME2	454.09	358.54	429.54	540.19	166.73	131.51	124.37	185.11	211.31	329.84	144.01	297.17	277.2	217.27	1030.12	414.87	215.77	423.61	187.71	329.84	450.94	466.88	1037.29	199.85	525.39	173.85	674.59	441.64	346.29	191.67	146.03	1015.93	194.36	525.39	197.09	267.73	164.42	356.05	497.0	435.55	136.19	389.72	173.85	239.52	291.04	540.19	205.5	460.44	198.47	1081.39	387.02	145.02	248.0	429.54	220.32	131.51	249.73	75.11	305.55	275.28	181.28	327.56	454.09	483.38	454.09	941.27	836.53
MED23	591.22	559.28	563.18	525.39	171.45	208.38	105.89	70.01	95.34	159.9	170.25	167.9	241.19	171.45	503.95	103.69	115.16	92.05	103.69	97.36	164.42	368.65	147.06	65.72	175.07	46.84	190.34	232.94	232.94	68.55	65.72	198.47	88.26	414.87	152.28	90.77	291.04	341.51	175.07	62.12	74.06	232.94	94.01	234.57	435.55	348.71	90.14	279.14	379.04	229.72	232.94	74.06	86.43	145.02	89.51	114.36	85.22	78.34	83.45	108.14	32.13	101.54	463.65	381.68	384.34	503.95	389.72
