	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.P78B.1126.SM.3P615	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	TCGA.38.4625.01A.01R.1206.07	GTEX.14C5O.2826.SM.5RQI6	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.P4QT.1526.SM.3NMCT	GTEX.WH7G.1526.SM.4LVMX
CES4A	11.55	14.35	7.51	11.55	6.73	51.71	62.12	52.08	37.59	75.64	136.19	166.73	62.56	147.06	153.34	108.9	229.72	49.56	130.6	153.34	253.23	316.37	41.52	229.72	138.1	195.72	215.77	101.54	172.65	29.7	273.37	97.36	214.27	143.01	241.19	218.79	108.14	182.55	220.32	50.63	138.1	103.69	275.28	0.0	44.89	21.01	15.8	0.89	45.85	56.28	46.18	76.17	39.5	38.95	9.34	17.13
CHKB	392.44	429.54	466.88	327.56	392.44	848.22	698.41	872.1	713.11	1127.35	1208.34	1359.57	603.67	1540.37	2627.46	2935.74	3303.0	1135.2	1769.57	3146.52	3928.15	3901.01	3325.99	2664.15	2875.3	2271.4	3018.3	3212.66	2895.31	890.44	3564.78	1378.57	2367.9	2875.3	3372.43	2520.38	1639.59	2193.99	3081.75	2335.28	3257.52	2061.24	2682.69	0.0	540.19	384.34	708.18	343.89	785.88	796.86	934.76	1151.06	819.3	1023.0	376.41	395.18
CLK3	854.13	947.83	1143.1	842.36	1001.93	1175.27	1331.57	1268.46	1359.57	974.5	1073.91	1216.75	1135.2	1437.15	1806.78	1721.16	2163.77	1111.82	1594.73	1794.29	2209.26	2451.44	1769.57	1561.89	1923.14	1617.0	1781.89	2090.03	1639.59	1250.98	1819.35	1397.83	1806.78	1806.78	1819.35	1685.71	1540.37	1721.16	1977.24	1674.06	1651.0	1417.35	1794.29	0.0	1135.2	902.89	1059.11	995.0	1119.56	1233.75	1304.15	1059.11	1369.04	1457.23	866.07	1044.52
COG7	244.57	264.03	269.6	231.32	271.48	361.04	480.04	403.5	368.65	444.72	414.87	406.31	291.04	480.04	1066.48	928.3	947.83	511.0	753.83	1127.35	1340.84	1313.23	647.07	713.11	1059.11	656.11	1143.1	733.19	808.0	395.18	995.0	518.15	1127.35	733.19	1023.0	819.3	842.36	909.17	860.08	802.41	693.58	514.56	915.51	348.71	470.14	414.87	420.68	327.56	384.34	463.65	403.5	674.59	444.72	371.22	251.48	211.31
COL16A1	1583.71	1225.22	1540.37	1388.16	1769.57	3955.48	1208.34	921.88	2133.97	5995.9	1457.23	2682.69	1447.15	1909.85	3716.2	2915.45	4903.87	1832.01	3325.99	4937.99	4481.23	5594.3	2178.83	4769.75	3212.66	1991.0	4388.98	4450.27	3589.58	1259.69	3515.68	1857.6	3257.52	3235.01	3614.55	2287.2	2609.3	2956.17	4388.98	1572.76	3349.13	2997.45	3820.7	0.0	3235.01	1769.57	2997.45	2061.24	1233.75	1437.15	2104.58	1233.75	1208.34	995.0	1008.9	1096.5
COL5A3	186.4	108.9	78.89	158.79	68.07	511.0	201.25	139.07	285.03	1745.2	1037.29	753.83	540.19	251.48	629.35	540.19	1936.53	559.28	1628.26	718.08	1175.27	1697.45	387.02	842.36	660.68	551.56	954.43	1331.57	674.59	447.82	813.63	429.54	1111.82	1277.29	995.0	384.34	239.52	1322.37	842.36	366.09	514.56	567.1	1225.22	0.0	14.03	13.83	43.63	14.03	220.32	183.82	438.59	122.64	146.03	232.94	163.28	154.42
COPS7B	599.49	669.92	733.19	356.05	819.3	860.08	748.61	698.41	813.63	1268.46	713.11	775.05	848.22	764.36	961.07	1167.14	1551.09	928.3	1359.57	1268.46	1369.04	1417.35	974.5	872.1	1340.84	934.76	1551.09	1378.57	1191.69	884.29	1008.9	967.76	921.88	1096.5	1313.23	1111.82	1059.11	1304.15	1467.37	1023.0	1104.13	961.07	1540.37	0.0	525.39	595.34	638.15	567.1	802.41	693.58	915.51	896.64	860.08	915.51	336.79	490.14
CROCC	217.27	208.38	182.55	185.11	297.17	409.15	346.29	332.14	329.84	447.82	547.75	379.04	403.5	595.34	825.0	718.08	1008.9	490.14	583.07	909.17	1015.93	1159.07	587.13	708.18	848.22	497.0	842.36	802.41	579.04	224.97	723.08	450.94	718.08	651.58	764.36	703.28	511.0	575.03	1073.91	466.88	665.29	555.41	974.5	0.0	102.25	130.6	221.86	70.01	265.87	301.33	267.73	273.37	325.29	366.09	149.12	105.15
CSAD	199.85	132.44	183.82	147.06	176.29	371.22	368.65	371.22	708.18	1437.15	723.08	1709.26	638.15	1745.2	1844.76	3419.52	2895.31	961.07	2104.58	2193.99	2664.15	2627.46	1594.73	2163.77	2627.46	2240.11	3303.0	2591.27	2520.38	511.0	2739.08	1519.15	1519.15	2032.85	2758.13	2796.65	2119.22	2434.5	2895.31	934.76	2133.97	1709.26	2664.15	0.0	255.0	152.28	246.28	120.94	514.56	339.14	454.09	1250.98	514.56	796.86	137.14	198.47
CUL9	366.09	420.68	559.28	339.14	447.82	511.0	540.19	423.61	483.38	1159.07	665.29	780.44	591.22	872.1	1427.22	1151.06	1437.15	607.87	1183.45	1388.16	1733.13	1794.29	1119.56	1183.45	1331.57	872.1	2061.24	1369.04	1051.79	525.39	1199.98	825.0	1369.04	1175.27	1369.04	1015.93	1151.06	1350.18	1477.58	1059.11	1104.13	836.53	1437.15	0.0	400.71	366.09	409.15	297.17	503.95	547.75	486.75	660.68	457.25	532.74	220.32	194.36
CXXC1	785.88	748.61	759.08	460.44	791.35	1037.29	1268.46	1388.16	1096.5	1059.11	961.07	1417.35	1135.2	1397.83	1832.01	1963.57	3212.66	1259.69	2240.11	1950.0	3146.52	3515.68	2133.97	1721.16	2417.67	1313.23	2935.74	2935.74	2061.24	974.5	2417.67	1662.49	1909.85	2319.15	2502.97	2240.11	1561.89	2032.85	3039.3	1617.0	2255.7	1832.01	2303.12	0.0	493.56	708.18	947.83	642.59	1037.29	1208.34	988.12	848.22	825.0	967.76	483.38	532.74
DFNB59	84.63	40.07	44.25	33.3	76.71	11.47	53.57	67.59	83.45	92.05	73.03	103.69	75.64	73.03	162.14	96.68	176.29	54.33	165.57	175.07	307.69	208.38	75.11	103.69	181.28	79.45	169.07	84.04	114.36	115.97	134.3	112.77	157.68	120.94	117.6	161.02	115.16	125.24	158.79	92.05	176.29	119.26	161.02	0.0	35.5	61.25	35.0	15.56	69.52	60.82	64.8	89.51	45.21	44.25	6.16	24.63
DNHD1	234.57	70.51	63.0	81.71	111.99	105.89	113.56	164.42	327.56	215.77	156.59	318.57	164.42	297.17	368.65	234.57	450.94	323.03	511.0	417.77	748.61	463.65	236.21	295.11	480.04	253.23	466.88	403.5	376.41	81.71	450.94	177.53	363.56	325.29	532.74	633.73	358.54	373.81	420.68	236.21	320.8	305.55	547.75	0.0	100.83	32.82	77.25	20.71	109.66	141.02	150.17	316.37	169.07	163.28	117.6	59.55
DPH7	199.85	228.13	299.25	172.65	371.22	559.28	559.28	470.14	532.74	915.51	486.75	629.35	397.93	688.78	1183.45	1225.22	1594.73	669.92	1225.22	1407.55	1685.71	1844.76	1119.56	1044.52	1477.58	884.29	1519.15	1697.45	1388.16	432.53	1286.18	830.75	1183.45	1225.22	1551.09	1359.57	1104.13	1208.34	1551.09	928.3	1088.92	1127.35	1369.04	0.0	258.57	239.52	327.56	267.73	529.06	480.04	373.81	547.75	473.41	412.0	206.94	224.97
ECHDC2	785.88	1037.29	1295.13	1175.27	1286.18	1437.15	2555.58	2319.15	2777.33	2209.26	1674.06	4268.94	2591.27	5255.91	7803.01	6935.54	11345.82	4736.79	7695.57	8479.89	12502.12	13399.51	3955.48	7537.18	9088.59	5147.73	11035.54	10014.87	9409.14	2061.24	9215.48	4181.07	6745.86	11112.3	7485.11	8963.45	7280.4	8191.0	10084.54	3443.31	7857.29	5831.91	9279.58	0.0	2240.11	1844.76	2075.59	1111.82	2627.46	2104.58	2133.97	3665.02	3589.58	2367.9	974.5	967.76
EGFL8	132.44	224.97	224.97	305.55	158.79	490.14	414.87	444.72	738.29	376.41	497.0	674.59	532.74	612.11	1674.06	1369.04	1950.0	748.61	1427.22	1388.16	2104.58	2255.7	1051.79	1191.69	1427.22	743.43	1529.73	1794.29	1259.69	309.83	1304.15	743.43	1498.22	1487.87	1806.78	1066.48	764.36	1304.15	1561.89	1096.5	1216.75	785.88	1651.0	0.0	128.79	123.5	334.46	79.45	591.22	356.05	854.13	559.28	493.56	356.05	173.85	121.79
ELMOD3	224.97	229.72	376.41	193.01	361.04	241.19	358.54	323.03	339.14	518.15	351.14	406.31	332.14	376.41	591.22	591.22	780.44	432.53	629.35	688.78	718.08	836.53	555.41	713.11	679.29	616.37	775.05	785.88	780.44	373.81	575.03	540.19	551.56	624.99	703.28	629.35	532.74	703.28	688.78	470.14	764.36	591.22	785.88	0.0	309.83	309.83	279.14	277.2	376.41	295.11	318.57	334.46	441.64	514.56	224.97	256.78
ENKD1	486.75	493.56	607.87	368.65	624.99	629.35	656.11	514.56	1127.35	579.04	624.99	769.69	1008.9	780.44	1037.29	974.5	1467.37	733.19	896.64	1331.57	1369.04	1769.57	1081.39	1104.13	1081.39	988.12	1023.0	1369.04	1183.45	620.67	1216.75	759.08	884.29	1096.5	954.43	1023.0	928.3	947.83	1051.79	1015.93	1225.22	934.76	995.0	0.0	638.15	651.58	679.29	483.38	629.35	571.05	620.67	540.19	1023.0	612.11	473.41	463.65
ERAS	0.0	2.63	0.87	0.0	0.0	6.36	8.45	5.82	2.53	1.93	0.0	7.28	0.0	5.63	6.36	13.52	24.63	7.34	9.27	8.06	42.41	35.5	14.35	4.9	11.55	9.2	18.7	11.91	9.34	0.52	18.7	3.53	5.11	13.52	12.09	13.83	4.5	6.94	8.19	11.55	7.88	3.08	11.21	0.0	0.0	0.2	0.83	0.97	0.0	1.27	0.72	2.53	2.97	0.0	2.39	2.48
EXD3	97.36	101.54	120.1	116.78	120.1	356.05	575.03	384.34	228.13	295.11	307.69	392.44	226.54	460.44	1030.12	909.17	1359.57	476.71	902.89	1662.49	1167.14	1896.65	988.12	1199.98	848.22	624.99	1242.34	1397.83	1023.0	260.38	1508.65	679.29	1111.82	890.44	1561.89	1407.55	981.29	1225.22	1250.98	733.19	974.5	854.13	1051.79	0.0	438.59	264.03	454.09	161.02	262.2	305.55	318.57	271.48	231.32	244.57	285.03	129.69
FAM156B	248.0	291.04	260.38	199.85	320.8	403.5	334.46	336.79	447.82	497.0	387.02	409.15	265.87	368.65	599.49	595.34	769.69	454.09	698.41	842.36	684.02	1059.11	412.0	563.18	642.59	463.65	884.29	1104.13	599.49	379.04	802.41	624.99	796.86	909.17	221.86	830.75	371.22	647.07	748.61	785.88	796.86	503.95	1088.92	0.0	271.48	156.59	221.86	234.57	314.17	400.71	262.2	260.38	248.0	262.2	164.42	133.36
FAM166B	33.78	30.56	20.26	15.68	10.96	15.8	9.41	25.54	69.03	33.06	77.25	59.97	55.89	35.25	98.04	105.89	232.94	58.3	84.04	142.01	21.94	212.78	87.65	32.13	58.71	108.14	81.71	164.42	169.07	28.65	96.68	45.85	109.66	108.9	83.45	156.59	119.26	92.05	195.72	87.03	149.12	60.82	146.03	0.0	23.76	21.47	12.27	105.89	45.85	14.14	39.5	48.18	119.26	107.38	37.05	9.06
FAM186A	0.45	1.33	3.44	1.31	2.2	2.81	2.97	3.38	4.28	9.2	0.52	2.01	2.66	4.35	10.31	12.64	19.11	3.99	12.64	22.75	18.7	19.39	8.25	8.92	13.52	2.51	24.63	16.75	7.06	2.76	9.2	8.25	21.63	11.47	18.97	12.09	10.0	11.55	15.0	19.25	27.05	4.62	23.59	0.0	1.51	0.78	2.94	0.73	2.94	1.19	2.14	4.58	0.85	1.93	0.0	1.2
FAM229A	28.65	17.0	25.35	20.86	34.02	63.89	62.56	36.79	81.71	289.02	108.9	152.28	73.54	187.71	397.93	301.33	665.29	151.22	283.05	532.74	368.65	703.28	249.73	346.29	318.57	289.02	373.81	432.53	361.04	64.8	507.46	183.82	397.93	412.0	341.51	460.44	239.52	343.89	483.38	212.78	262.2	231.32	353.59	0.0	72.52	24.28	44.57	22.75	55.89	60.39	140.04	166.73	76.17	105.15	24.81	26.1
FAM73B	325.29	366.09	379.04	291.04	376.41	325.29	532.74	638.15	638.15	536.45	463.65	624.99	669.92	651.58	842.36	947.83	1183.45	624.99	1066.48	1008.9	1008.9	1151.06	769.69	723.08	878.17	947.83	1143.1	1135.2	995.0	463.65	1073.91	647.07	884.29	860.08	954.43	1088.92	872.1	1111.82	921.88	607.87	743.43	713.11	1242.34	0.0	409.15	406.31	295.11	353.59	450.94	532.74	392.44	490.14	500.46	476.71	242.88	281.09
FLNA	226632.25	193234.41	253213.41	145432.49	301123.38	358098.26	368165.8	260332.24	1634025.56	419990.32	513497.31	811368.76	1393227.06	649962.87	233003.78	336441.4	263966.36	233003.78	275175.93	248002.34	215898.44	322736.12	311742.51	288856.81	280957.98	226632.25	313910.86	239554.43	241220.67	256748.15	275175.93	214407.12	251464.33	244588.0	299043.36	249727.34	334117.42	290865.98	223512.12	296977.71	275175.93	258533.99	241220.67	11424.74	284880.02	187950.38	288856.81	154794.07	258533.99	249727.34	282912.21	267651.2	358098.26	296977.71	128373.58	149521.18
GGT7	144.01	162.14	159.9	157.68	152.28	190.34	397.93	316.37	297.17	191.67	183.82	289.02	214.27	343.89	540.19	514.56	688.78	429.54	728.11	669.92	848.22	679.29	447.82	493.56	791.35	547.75	866.07	743.43	599.49	249.73	679.29	441.64	579.04	543.96	748.61	638.15	490.14	669.92	791.35	361.04	525.39	441.64	665.29	0.0	356.05	264.03	303.44	193.01	351.14	441.64	248.0	336.79	346.29	334.46	98.73	79.45
GLI4	228.13	189.02	177.53	163.28	194.36	299.25	295.11	409.15	392.44	536.45	400.71	432.53	397.93	518.15	1066.48	802.41	1073.91	567.1	703.28	1369.04	1407.55	1407.55	842.36	1096.5	860.08	612.11	1030.12	1037.29	896.64	447.82	1015.93	567.1	981.29	947.83	836.53	802.41	693.58	878.17	1066.48	872.1	842.36	909.17	802.41	0.0	232.94	206.94	281.09	204.07	285.03	329.84	547.75	525.39	567.1	529.06	173.85	215.77
GNB3	61.68	29.27	17.0	38.95	79.45	48.87	38.67	44.89	42.41	49.56	46.5	141.02	71.0	106.63	176.29	215.77	343.89	136.19	480.04	115.97	547.75	361.04	253.23	131.51	279.14	124.37	314.17	194.36	307.69	66.65	281.09	195.72	251.48	320.8	316.37	223.41	165.57	426.57	432.53	211.31	228.13	110.43	518.15	0.0	22.92	66.65	74.06	55.1	66.18	37.59	79.45	94.67	45.53	20.86	33.3	40.64
GPR173	12.83	14.24	11.82	12.36	12.83	54.72	53.57	59.13	87.03	98.04	75.11	138.1	83.45	96.68	102.97	106.63	119.26	82.87	96.01	124.37	176.29	101.54	57.89	87.03	122.64	87.65	154.42	118.43	91.41	47.5	136.19	77.25	85.22	123.5	125.24	108.9	76.17	81.14	164.42	41.52	82.87	73.03	111.21	0.0	35.5	11.47	26.86	18.43	67.59	57.08	45.85	54.33	40.64	44.25	17.13	24.63
GPSM1	159.9	177.53	129.69	178.77	153.34	371.22	239.52	162.14	316.37	454.09	232.94	327.56	291.04	353.59	796.86	813.63	759.08	473.41	791.35	836.53	1199.98	954.43	529.06	651.58	723.08	426.57	825.0	693.58	638.15	348.71	660.68	466.88	738.29	728.11	995.0	493.56	460.44	884.29	878.17	476.71	651.58	743.43	660.68	0.0	218.79	211.31	239.52	120.94	223.41	209.84	309.83	323.03	320.8	366.09	251.48	94.01
GSTM2	1295.13	785.88	1066.48	1477.58	1233.75	1143.1	1781.89	1697.45	4298.64	902.89	1991.0	3018.3	3081.75	3982.99	18052.61	13033.07	23169.48	6164.49	9606.86	23330.64	24832.5	31432.17	13215.02	20451.65	19754.96	6381.92	26067.14	20030.74	12853.63	2555.58	16045.82	5711.87	16269.83	11035.54	13968.57	18052.61	19482.97	12853.63	27174.14	4736.79	14867.79	12244.81	18431.96	0.0	5183.54	1417.35	3325.99	1832.01	2758.13	2609.3	2178.83	3081.75	4450.27	3081.75	575.03	540.19
HCG27	19.68	2.71	16.51	3.99	6.21	26.67	29.91	30.56	45.21	115.16	42.71	65.26	32.59	64.8	126.12	193.01	163.28	68.07	76.71	220.32	187.71	171.45	101.54	111.21	194.36	115.16	232.94	148.09	156.59	16.15	128.79	43.94	166.73	195.72	143.01	162.14	211.31	74.58	265.87	103.69	170.25	111.99	135.24	0.0	28.24	10.16	31.67	2.01	43.02	57.89	17.77	22.43	13.32	41.81	7.28	12.64
HDAC3	819.3	743.43	769.69	612.11	785.88	1104.13	954.43	1127.35	1044.52	1073.91	915.51	1066.48	1001.93	1167.14	1216.75	1277.29	1540.37	1008.9	1369.04	1304.15	1487.87	1407.55	1259.69	1175.27	1685.71	1023.0	1628.26	1369.04	1388.16	995.0	1135.2	1073.91	1467.37	1487.87	1268.46	1437.15	1008.9	1331.57	1508.65	1407.55	1259.69	1151.06	1378.57	0.0	698.41	866.07	848.22	780.44	1096.5	890.44	813.63	860.08	878.17	825.0	688.78	708.18
HECTD4	466.88	518.15	521.76	497.0	384.34	595.34	579.04	409.15	679.29	647.07	607.87	780.44	842.36	1037.29	1225.22	1225.22	1551.09	688.78	1059.11	1605.83	1487.87	1378.57	1199.98	1551.09	1286.18	995.0	1781.89	1369.04	1151.06	728.11	1259.69	961.07	1427.22	1151.06	1662.49	1304.15	1487.87	1498.22	1277.29	954.43	1477.58	1159.07	1369.04	0.0	547.75	417.77	529.06	353.59	674.59	612.11	819.3	1073.91	518.15	612.11	343.89	262.2
HKR1	356.05	397.93	412.0	248.0	466.88	400.71	493.56	420.68	591.22	684.02	503.95	669.92	518.15	616.37	1111.82	902.89	1529.73	679.29	1104.13	1175.27	1167.14	1662.49	866.07	785.88	1286.18	860.08	1369.04	1540.37	1225.22	511.0	1199.98	733.19	921.88	1225.22	1175.27	1340.84	928.3	1175.27	1313.23	718.08	1151.06	954.43	1233.75	0.0	575.03	536.45	595.34	514.56	500.46	493.56	511.0	836.53	603.67	607.87	214.27	199.85
IFFO1	356.05	403.5	363.56	249.73	389.72	503.95	361.04	414.87	764.36	620.67	813.63	1745.2	884.29	587.13	703.28	896.64	1331.57	718.08	1167.14	947.83	1081.39	1407.55	808.0	961.07	1104.13	679.29	1208.34	1059.11	1119.56	507.46	872.1	629.35	866.07	1167.14	1073.91	995.0	624.99	1008.9	1313.23	842.36	890.44	921.88	1023.0	0.0	195.72	176.29	420.68	320.8	493.56	351.14	473.41	339.14	366.09	587.13	251.48	325.29
INPP5E	146.03	131.51	134.3	112.77	86.43	156.59	165.57	141.02	172.65	336.79	260.38	312.0	260.38	239.52	438.59	387.02	529.06	269.6	392.44	403.5	567.1	612.11	361.04	277.2	532.74	289.02	480.04	555.41	483.38	224.97	444.72	325.29	368.65	432.53	612.11	363.56	267.73	417.77	493.56	295.11	426.57	348.71	473.41	0.0	127.0	132.44	191.67	112.77	163.28	152.28	208.38	194.36	165.57	255.0	161.02	165.57
INTS3	536.45	708.18	738.29	532.74	759.08	866.07	967.76	684.02	1167.14	1857.6	1487.87	1467.37	1498.22	1407.55	2537.92	2209.26	2701.35	1651.0	1950.0	2335.28	2537.92	2935.74	2018.8	1467.37	2434.5	1819.35	2915.45	3146.52	2591.27	1001.93	2537.92	1662.49	2271.4	1883.54	2485.67	2701.35	2451.44	2104.58	2701.35	1662.49	2224.63	1639.59	3060.45	532.74	780.44	660.68	743.43	486.75	884.29	1143.1	981.29	1259.69	1233.75	872.1	571.05	723.08
IPO13	490.14	441.64	547.75	303.44	543.96	529.06	571.05	450.94	753.83	698.41	473.41	607.87	629.35	563.18	651.58	791.35	1111.82	698.41	1051.79	954.43	1066.48	1322.37	872.1	836.53	974.5	698.41	1199.98	1081.39	1037.29	665.29	743.43	872.1	583.07	753.83	909.17	624.99	579.04	1216.75	825.0	703.28	1059.11	866.07	1059.11	0.0	373.81	674.59	426.57	429.54	460.44	432.53	559.28	974.5	507.46	583.07	397.93	409.15
IZUMO4	19.53	24.46	15.8	17.25	8.06	67.12	57.49	71.0	64.8	64.8	89.51	70.51	73.03	121.79	314.17	170.25	373.81	109.66	189.02	490.14	387.02	547.75	171.45	241.19	198.47	189.02	277.2	376.41	217.27	116.78	279.14	153.34	289.02	269.6	348.71	463.65	463.65	218.79	293.07	80.01	287.01	171.45	228.13	0.0	122.64	46.84	59.13	40.36	52.08	67.12	75.11	57.08	126.12	68.07	39.22	51.35
KCNIP2	7.57	79.45	115.97	35.0	68.55	28.45	42.71	59.13	51.71	41.22	34.26	80.57	70.01	66.65	144.01	175.07	217.27	119.26	150.17	229.72	316.37	253.23	109.66	371.22	157.68	88.88	387.02	262.2	262.2	48.52	127.0	98.04	177.53	108.14	173.85	139.07	236.21	251.48	194.36	98.04	177.53	115.16	198.47	0.0	11.21	17.64	19.68	11.3	187.71	137.14	59.55	44.89	19.82	142.01	28.45	39.22
KCTD7	277.2	287.01	299.25	208.38	291.04	186.4	316.37	224.97	429.54	299.25	256.78	417.77	368.65	323.03	579.04	384.34	591.22	591.22	466.88	583.07	529.06	591.22	343.89	500.46	638.15	426.57	669.92	551.56	536.45	312.0	525.39	480.04	547.75	583.07	420.68	688.78	595.34	563.18	638.15	269.6	579.04	420.68	567.1	0.0	221.86	181.28	299.25	217.27	303.44	281.09	371.22	409.15	457.25	303.44	209.84	397.93
KIAA0195	733.19	708.18	723.08	493.56	708.18	1104.13	1073.91	1159.07	1037.29	1143.1	1023.0	995.0	988.12	1295.13	1437.15	1745.2	2075.59	1407.55	1733.13	2075.59	2255.7	2104.58	1551.09	1685.71	2032.85	1259.69	2287.2	1870.53	1697.45	1250.98	1674.06	1427.22	1745.2	1508.65	2047.0	1561.89	1467.37	1923.14	2224.63	1359.57	1639.59	1268.46	2224.63	0.0	642.59	587.13	669.92	575.03	988.12	1023.0	896.64	1015.93	775.05	995.0	480.04	669.92
KIAA1683	29.91	14.24	21.78	7.11	37.05	14.03	57.49	35.76	49.56	59.97	11.47	40.36	25.54	60.39	132.44	88.26	234.57	186.4	57.08	135.24	251.48	249.73	86.43	45.85	163.28	38.12	134.3	149.12	59.13	29.27	107.38	82.29	70.01	267.73	105.15	110.43	43.63	41.81	323.03	80.57	169.07	51.71	162.14	0.0	4.17	16.51	28.86	9.85	40.07	87.03	50.63	98.73	71.0	42.71	36.01	25.35
KRBOX4	234.57	212.78	260.38	209.84	256.78	236.21	248.0	291.04	406.31	248.0	281.09	368.65	283.05	301.33	379.04	432.53	503.95	279.14	327.56	361.04	480.04	575.03	281.09	366.09	346.29	295.11	483.38	547.75	384.34	228.13	366.09	389.72	397.93	447.82	463.65	447.82	295.11	389.72	346.29	356.05	363.56	271.48	551.56	318.57	108.14	149.12	244.57	181.28	409.15	228.13	271.48	414.87	283.05	279.14	159.9	190.34
LAT	56.68	112.77	115.97	65.26	159.9	220.32	206.94	279.14	139.07	480.04	320.8	406.31	195.72	253.23	775.05	802.41	1388.16	693.58	1369.04	1088.92	1216.75	1794.29	1051.79	2075.59	961.07	518.15	1313.23	1350.18	1208.34	153.34	819.3	470.14	890.44	896.64	866.07	902.89	928.3	1286.18	1331.57	525.39	842.36	909.17	1104.13	0.0	176.29	204.07	397.93	141.02	191.67	232.94	281.09	237.86	59.97	126.12	120.1	224.97
LCAT	242.88	339.14	353.59	231.32	229.72	503.95	406.31	493.56	872.1	1529.73	764.36	1477.58	1023.0	1519.15	1977.24	2178.83	2555.58	1073.91	1896.65	2271.4	2319.15	2976.74	1561.89	1233.75	2351.53	1304.15	3146.52	2061.24	1991.0	629.35	2209.26	1208.34	1757.34	2434.5	2591.27	1427.22	1977.24	2224.63	2240.11	1617.0	1909.85	1781.89	2255.7	0.0	224.97	241.19	356.05	211.31	511.0	423.61	493.56	679.29	457.25	447.82	318.57	291.04
LRRC14	307.69	343.89	273.37	289.02	336.79	571.05	480.04	361.04	500.46	825.0	595.34	612.11	567.1	595.34	693.58	848.22	1268.46	612.11	848.22	1143.1	909.17	1397.83	743.43	753.83	878.17	909.17	947.83	1159.07	1044.52	450.94	915.51	642.59	743.43	796.86	1175.27	854.13	713.11	928.3	1030.12	629.35	713.11	775.05	836.53	0.0	473.41	444.72	450.94	332.14	384.34	470.14	486.75	555.41	476.71	497.0	275.28	226.54
LRRC37B	98.73	84.63	133.36	47.5	114.36	195.72	183.82	137.14	202.66	381.68	241.19	256.78	176.29	231.32	403.5	318.57	432.53	253.23	287.01	389.72	392.44	575.03	285.03	305.55	466.88	329.84	361.04	483.38	389.72	150.17	490.14	314.17	423.61	336.79	414.87	591.22	420.68	293.07	351.14	358.54	303.44	167.9	607.87	0.0	246.28	105.15	175.07	111.21	237.86	156.59	181.28	251.48	126.12	209.84	103.69	140.04
LYSMD4	108.14	112.77	143.01	96.68	114.36	164.42	171.45	166.73	217.27	223.41	195.72	220.32	199.85	178.77	211.31	146.03	316.37	255.0	358.54	279.14	172.65	412.0	191.67	267.73	363.56	218.79	256.78	267.73	279.14	267.73	199.85	218.79	264.03	334.46	320.8	373.81	320.8	251.48	253.23	241.19	231.32	217.27	185.11	0.0	172.65	157.68	112.77	119.26	120.94	130.6	167.9	143.01	154.42	224.97	90.77	209.84
