	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.S3.AA14.01A.11R.A41B.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.D8.A1XD.01A.11R.A14D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.KB.A93G.01A.11R.A39E.31	GTEX.12WSB.0726.SM.5N9GD
SRGAP1	187.71	90.77	27.64	293.07	67.12	175.07	318.57	143.01	104.42	112.77	198.47	70.01	134.3	72.01	218.79	110.43	151.22	59.13	185.11	497.0	139.07	223.41	50.98	128.79	61.68	61.25	83.45	47.5	120.94	53.95	50.63	96.68	55.89	55.89	82.29	15.22	10.55	7.17	9.41	4.86	28.04	86.43	426.57	191.67	239.52	148.09
THAP1	118.43	153.34	109.66	234.57	181.28	239.52	320.8	218.79	159.9	178.77	183.82	157.68	169.07	157.68	325.29	173.85	255.0	164.42	191.67	1015.93	271.48	144.01	158.79	249.73	98.04	127.89	74.06	96.68	204.07	110.43	85.22	155.5	129.69	117.6	147.06	67.12	90.14	68.55	52.45	66.65	127.89	177.53	149.12	236.21	152.28	191.67
TTC19	429.54	267.73	323.03	723.08	769.69	748.61	1023.0	392.44	791.35	358.54	759.08	825.0	555.41	624.99	1051.79	389.72	1066.48	521.76	599.49	974.5	1447.15	1127.35	536.45	647.07	301.33	309.83	476.71	497.0	438.59	397.93	307.69	460.44	327.56	253.23	463.65	358.54	358.54	395.18	128.79	155.5	307.69	616.37	450.94	583.07	718.08	718.08
UBN2	21.01	60.39	60.82	186.4	128.79	118.43	142.01	74.06	118.43	82.87	117.6	53.19	100.83	78.34	145.02	62.12	127.0	59.55	90.14	205.5	195.72	87.65	77.79	119.26	35.25	27.84	80.57	37.32	36.01	38.4	20.56	45.85	54.33	48.52	71.0	15.11	17.25	18.29	22.26	19.39	33.54	83.45	78.89	99.43	155.5	115.16
ULK2	148.09	199.85	86.43	255.0	406.31	361.04	329.84	205.5	454.09	94.01	384.34	267.73	289.02	228.13	353.59	189.02	395.18	148.09	226.54	575.03	651.58	454.09	441.64	236.21	149.12	134.3	82.87	348.71	113.56	186.4	65.26	181.28	208.38	125.24	172.65	53.19	40.93	59.97	41.22	7.34	92.05	195.72	237.86	258.57	241.19	299.25
USP12	381.68	215.77	156.59	438.59	309.83	343.89	457.25	312.0	232.94	195.72	289.02	234.57	336.79	277.2	406.31	239.52	353.59	260.38	348.71	1674.06	381.68	275.28	163.28	417.77	249.73	187.71	130.6	181.28	165.57	145.02	145.02	187.71	301.33	195.72	217.27	161.02	157.68	119.26	153.34	49.56	208.38	336.79	316.37	318.57	529.06	332.14
USPL1	177.53	150.17	124.37	303.44	211.31	287.01	214.27	244.57	145.02	129.69	234.57	183.82	175.07	249.73	283.05	234.57	318.57	180.02	251.48	1088.92	295.11	242.88	208.38	277.2	122.64	63.89	161.02	116.78	107.38	82.29	61.25	141.02	113.56	121.79	136.19	78.34	72.52	70.51	48.18	28.86	127.89	214.27	205.5	303.44	423.61	234.57
WDR35	51.35	81.14	87.03	237.86	223.41	215.77	198.47	101.54	150.17	104.42	124.37	153.34	124.37	153.34	214.27	113.56	275.28	85.82	120.1	244.57	334.46	228.13	163.28	79.45	36.79	75.11	49.21	52.08	52.82	53.57	24.99	64.8	66.65	50.98	50.98	16.75	13.62	14.89	22.75	16.39	45.85	102.25	98.04	155.5	115.97	123.5
XPO4	53.57	76.17	80.01	231.32	175.07	194.36	209.84	118.43	220.32	110.43	116.78	109.66	145.02	135.24	163.28	114.36	201.25	86.43	181.28	325.29	249.73	155.5	87.65	176.29	105.89	64.8	63.45	73.03	61.68	37.05	71.0	98.04	79.45	113.56	103.69	36.53	34.51	35.0	23.08	50.27	60.39	144.01	135.24	175.07	209.84	114.36
ZFP30	27.64	57.08	60.82	373.81	177.53	150.17	255.0	95.34	108.9	127.0	112.77	42.71	112.77	117.6	248.0	87.65	241.19	67.59	129.69	242.88	217.27	140.04	17.25	90.14	30.34	25.72	44.25	71.0	69.52	27.44	13.42	70.01	27.44	21.01	51.71	8.06	11.13	15.22	11.82	10.16	35.25	78.34	97.36	117.6	52.45	98.04
ZFX	129.69	171.45	112.77	432.53	454.09	514.56	441.64	226.54	348.71	366.09	264.03	299.25	363.56	199.85	616.37	234.57	432.53	183.82	420.68	490.14	748.61	287.01	271.48	314.17	112.77	81.71	147.06	102.97	164.42	111.99	45.21	172.65	107.38	136.19	157.68	58.71	61.68	75.11	35.0	67.12	129.69	199.85	323.03	447.82	343.89	334.46
ZIK1	11.73	62.12	63.0	74.58	158.79	99.43	45.21	37.32	33.78	18.7	61.25	46.84	45.53	34.02	92.05	94.67	24.99	57.89	57.89	1167.14	285.03	255.0	135.24	54.33	36.53	12.45	16.63	16.88	9.93	14.56	6.78	36.53	33.3	24.46	24.46	5.45	4.06	5.54	4.62	1.95	20.11	66.65	48.52	57.08	22.1	87.03
ZMYM2	490.14	607.87	620.67	1769.57	1037.29	796.86	1397.83	665.29	738.29	500.46	651.58	633.73	612.11	1051.79	981.29	656.11	1208.34	896.64	753.83	5366.37	1088.92	1369.04	447.82	728.11	536.45	307.69	429.54	718.08	287.01	283.05	400.71	532.74	463.65	363.56	529.06	165.57	201.25	215.77	116.78	204.07	248.0	842.36	759.08	718.08	1037.29	872.1
ZMYM5	118.43	151.22	142.01	264.03	271.48	255.0	197.09	229.72	202.66	137.14	206.94	140.04	190.34	312.0	248.0	180.02	244.57	152.28	197.09	1397.83	348.71	249.73	231.32	183.82	143.01	75.64	86.43	141.02	90.77	127.0	134.3	122.64	143.01	116.78	95.34	80.57	84.04	56.28	45.85	76.17	82.29	190.34	199.85	187.71	198.47	232.94
ZNF132	14.78	57.08	24.11	116.78	85.22	71.5	80.57	50.27	81.14	38.67	64.8	64.34	63.45	35.76	106.63	67.59	55.1	40.07	59.55	463.65	193.01	68.07	81.14	39.79	26.47	14.45	42.41	28.24	40.64	16.03	11.64	35.0	23.59	20.56	40.93	6.26	8.19	4.94	5.68	4.21	18.97	30.78	55.49	89.51	29.27	113.56
ZNF134	92.7	175.07	150.17	403.5	339.14	329.84	320.8	218.79	182.55	293.07	177.53	205.5	209.84	178.77	384.34	224.97	244.57	166.73	177.53	2502.97	521.76	318.57	154.42	117.6	77.79	64.34	95.34	285.03	189.02	95.34	77.79	260.38	99.43	154.42	137.14	8.06	33.78	37.05	30.78	44.57	87.65	171.45	224.97	173.85	115.97	241.19
ZNF17	51.35	73.03	73.54	199.85	152.28	158.79	113.56	124.37	85.82	98.73	95.34	90.14	82.87	100.13	148.09	98.04	106.63	102.25	126.12	1001.93	217.27	100.83	83.45	78.34	82.87	48.18	67.59	75.11	56.68	55.49	39.79	102.97	54.72	90.77	67.12	22.26	17.77	17.77	27.25	17.77	38.67	92.05	110.43	132.44	125.24	139.07
ZNF217	161.02	366.09	353.59	1498.22	708.18	748.61	1023.0	486.75	450.94	981.29	603.67	521.76	460.44	1073.91	981.29	403.5	791.35	603.67	1277.29	5041.77	1397.83	346.29	237.86	293.07	237.86	341.51	277.2	239.52	297.17	246.28	109.66	363.56	343.89	379.04	426.57	147.06	144.01	130.6	136.19	92.05	224.97	473.41	579.04	493.56	718.08	373.81
ZNF24	204.07	361.04	197.09	1519.15	1066.48	1923.14	1487.87	518.15	872.1	595.34	579.04	473.41	748.61	532.74	974.5	441.64	1277.29	603.67	665.29	1183.45	1467.37	490.14	309.83	454.09	277.2	181.28	214.27	264.03	381.68	209.84	95.34	323.03	226.54	237.86	323.03	178.77	197.09	156.59	178.77	140.04	195.72	387.02	409.15	426.57	420.68	603.67
ZNF260	54.33	102.97	119.26	514.56	325.29	241.19	351.14	173.85	248.0	197.09	132.44	125.24	201.25	118.43	341.51	147.06	334.46	157.68	267.73	309.83	343.89	265.87	114.36	92.05	74.58	60.39	98.73	67.12	142.01	61.68	60.39	165.57	74.06	125.24	142.01	24.81	38.95	39.5	31.45	40.36	82.29	138.1	170.25	201.25	145.02	187.71
ZNF264	49.56	79.45	81.14	242.88	181.28	201.25	158.79	97.36	170.25	151.22	111.99	107.38	120.94	105.15	161.02	72.01	208.38	45.21	175.07	1143.1	121.79	325.29	177.53	100.13	88.26	98.04	120.94	78.34	98.04	35.25	72.01	93.35	76.17	66.65	130.6	12.09	28.24	20.26	69.52	55.89	39.5	88.26	161.02	273.37	139.07	127.89
ZNF304	39.22	77.79	87.03	327.56	181.28	234.57	234.57	163.28	137.14	197.09	123.5	115.16	154.42	123.5	248.0	119.26	236.21	105.15	175.07	1745.2	409.15	127.89	61.25	76.17	105.89	85.82	102.25	119.26	127.89	49.91	37.32	104.42	43.94	85.22	106.63	5.77	12.27	14.89	25.35	17.0	55.49	109.66	117.6	115.16	110.43	126.12
ZNF324	108.14	80.01	73.03	237.86	147.06	150.17	133.36	91.41	130.6	136.19	157.68	166.73	113.56	102.25	159.9	83.45	137.14	86.43	178.77	1233.75	172.65	131.51	116.78	99.43	136.19	63.0	123.5	87.65	155.5	41.22	80.57	105.89	84.63	61.25	137.14	70.51	50.98	68.07	40.93	41.52	67.59	83.45	96.68	126.12	105.15	101.54
ZNF324B	44.89	71.0	85.82	164.42	114.36	98.73	106.63	40.36	127.0	98.04	87.65	135.24	106.63	84.04	110.43	85.22	111.21	26.86	131.51	819.3	131.51	57.49	128.79	86.43	88.26	36.79	75.64	54.72	70.51	38.95	42.71	61.68	38.67	38.67	89.51	34.02	21.01	39.79	35.25	19.53	40.36	53.57	89.51	118.43	98.73	51.71
ZNF417	43.94	83.45	76.71	269.6	236.21	172.65	281.09	100.13	181.28	132.44	150.17	102.97	135.24	108.9	165.57	94.67	206.94	76.17	151.22	909.17	392.44	171.45	99.43	109.66	43.02	22.1	34.75	108.9	123.5	67.59	36.27	131.51	55.1	53.95	83.45	23.93	12.64	25.72	31.45	22.1	42.71	106.63	127.89	193.01	236.21	156.59
ZNF445	38.12	104.42	68.55	153.34	161.02	144.01	139.07	102.97	138.1	128.79	136.19	84.63	140.04	102.25	165.57	90.14	182.55	94.01	143.01	208.38	232.94	129.69	110.43	145.02	64.8	38.67	53.19	76.71	48.52	45.53	15.56	100.83	58.3	59.55	78.89	29.27	14.03	38.67	23.59	37.85	58.3	109.66	134.3	161.02	145.02	113.56
ZNF507	55.1	110.43	88.88	289.02	185.11	253.23	178.77	149.12	137.14	165.57	138.1	151.22	133.36	118.43	191.67	130.6	159.9	112.77	236.21	178.77	267.73	182.55	113.56	193.01	94.01	80.01	71.0	98.04	98.73	80.01	41.81	107.38	128.79	89.51	125.24	37.32	42.41	37.32	26.47	37.85	61.68	157.68	163.28	194.36	273.37	148.09
ZNF543	20.86	35.0	49.56	104.42	86.43	114.36	85.22	58.71	74.06	76.17	50.98	85.82	54.33	49.91	100.13	41.81	75.11	37.32	77.79	791.35	186.4	47.5	37.59	34.02	37.59	22.75	31.22	46.18	41.22	28.45	17.64	62.12	26.86	32.82	57.89	1.66	7.69	9.41	10.55	11.21	25.17	37.32	62.56	87.65	74.58	61.25
ZNF548	72.52	120.1	95.34	297.17	336.79	426.57	395.18	224.97	206.94	271.48	269.6	231.32	209.84	199.85	303.44	205.5	269.6	158.79	320.8	1936.53	387.02	199.85	133.36	176.29	171.45	96.01	244.57	186.4	189.02	86.43	66.65	183.82	105.15	111.99	141.02	17.38	22.59	24.46	50.63	23.25	95.34	175.07	264.03	244.57	387.02	303.44
ZNF549	30.78	48.18	58.71	167.9	139.07	123.5	173.85	92.7	85.82	25.17	73.54	57.08	49.21	63.89	170.25	93.35	100.13	78.34	66.65	753.83	267.73	105.15	47.17	48.18	35.25	20.26	60.39	37.05	41.22	30.12	29.91	48.18	28.24	36.27	53.19	5.06	5.59	6.46	3.41	1.89	29.06	68.07	74.06	71.0	57.49	95.34
ZNF550	32.82	78.89	100.13	145.02	172.65	172.65	139.07	108.9	110.43	106.63	125.24	101.54	64.8	101.54	183.82	170.25	187.71	74.58	116.78	896.64	265.87	48.52	87.65	70.01	53.19	47.5	57.49	63.0	92.05	92.05	33.06	103.69	53.19	53.57	41.52	7.17	21.16	26.1	21.47	19.97	57.49	102.97	171.45	84.63	87.65	166.73
ZNF551	20.26	42.41	63.0	133.36	105.89	100.83	120.94	60.39	69.52	73.54	56.28	56.28	59.13	45.85	125.24	64.34	90.14	31.9	66.65	1277.29	158.79	91.41	53.95	60.82	26.28	43.32	38.12	54.33	87.03	12.55	30.34	102.97	31.22	29.91	57.08	3.11	7.06	4.94	7.06	8.0	30.56	59.55	62.56	84.04	102.25	130.6
ZNF586	93.35	108.9	175.07	244.57	187.71	183.82	189.02	106.63	223.41	156.59	130.6	206.94	100.83	96.68	166.73	121.79	146.03	126.12	148.09	941.27	305.55	127.0	176.29	151.22	94.67	43.02	80.57	120.1	88.26	83.45	102.25	110.43	111.21	104.42	94.67	12.27	33.3	37.59	35.25	40.07	75.11	114.36	131.51	140.04	438.59	149.12
ZNF587	87.03	163.28	177.53	1977.24	961.07	379.04	909.17	201.25	532.74	255.0	318.57	334.46	226.54	251.48	624.99	164.42	426.57	156.59	379.04	4123.49	647.07	376.41	64.8	285.03	56.28	36.01	102.97	155.5	195.72	82.29	80.01	248.0	93.35	58.71	127.0	36.01	36.53	60.82	47.17	71.5	115.16	187.71	277.2	376.41	1015.93	226.54
ZNF587B	73.54	61.25	87.65	507.46	447.82	172.65	291.04	121.79	147.06	126.12	149.12	150.17	121.79	75.64	175.07	88.26	205.5	117.6	166.73	1191.69	212.78	343.89	39.5	181.28	26.86	23.42	95.34	67.59	158.79	40.64	44.25	114.36	63.89	35.0	85.22	81.14	73.03	50.63	42.71	41.81	129.69	116.78	117.6	155.5	395.18	73.54
ZNF614	44.57	60.39	70.01	197.09	120.94	130.6	134.3	171.45	92.7	89.51	78.89	77.25	85.22	83.45	139.07	94.67	144.01	79.45	108.9	518.15	145.02	38.67	54.72	75.11	57.49	29.91	48.52	77.25	85.22	40.36	38.67	73.03	43.94	31.67	79.45	3.23	15.45	21.16	14.14	1.5	38.12	85.22	86.43	124.37	78.89	131.51
ZNF619	13.22	35.0	32.36	115.16	131.51	76.71	132.44	44.89	103.69	84.04	63.89	50.27	117.6	36.01	123.5	46.84	131.51	44.57	81.71	98.04	143.01	53.57	44.89	54.33	24.11	17.51	23.76	26.47	23.93	14.24	8.25	27.84	17.38	25.17	35.5	8.19	10.08	13.62	14.03	9.06	26.28	55.89	57.89	100.13	52.82	73.54
ZNF621	23.76	93.35	66.65	224.97	226.54	198.47	237.86	105.15	156.59	141.02	176.29	116.78	151.22	144.01	236.21	85.82	264.03	108.9	178.77	264.03	329.84	155.5	46.5	157.68	52.45	21.78	54.33	70.51	55.1	30.34	15.45	68.07	71.0	50.27	91.41	15.34	14.56	25.54	37.59	20.71	49.91	126.12	139.07	211.31	211.31	220.32
ZNF701	34.51	59.55	58.71	269.6	183.82	150.17	195.72	97.36	114.36	138.1	98.73	71.0	74.58	111.21	183.82	88.26	149.12	95.34	142.01	291.04	400.71	93.35	44.57	52.08	21.01	10.88	21.01	13.52	27.25	29.7	12.36	66.65	31.0	28.65	39.5	3.32	10.88	3.82	14.24	2.63	33.78	79.45	66.18	106.63	91.41	129.69
ZNF708	30.34	57.49	50.63	157.68	157.68	180.02	136.19	98.04	154.42	142.01	98.04	70.51	85.82	93.35	147.06	95.34	137.14	88.88	147.06	221.86	264.03	99.43	71.0	77.79	21.94	17.51	56.68	36.01	44.57	23.25	14.03	55.89	41.22	28.86	39.22	9.78	5.36	6.26	10.79	11.64	35.5	53.95	77.25	181.28	206.94	143.01
ZNF709	7.82	19.25	24.99	152.28	49.56	62.12	50.98	39.5	37.85	36.79	32.82	24.11	40.93	21.94	82.87	25.35	57.08	31.0	34.75	100.83	105.89	46.84	47.5	26.86	12.0	7.63	16.39	18.97	16.88	14.35	4.31	13.72	6.67	9.93	12.18	3.82	2.56	4.78	3.86	2.66	8.92	20.26	17.38	37.59	38.67	65.26
ZNF765	38.67	58.71	77.25	251.48	121.79	157.68	185.11	118.43	152.28	151.22	106.63	77.25	110.43	159.9	194.36	88.88	197.09	78.89	134.3	579.04	173.85	90.14	44.89	122.64	55.89	39.5	53.95	66.65	88.26	52.82	21.01	117.6	55.49	39.5	84.04	25.54	18.56	28.45	24.63	19.53	40.93	98.73	111.21	161.02	287.01	112.77
ZNF772	10.55	49.56	38.67	153.34	256.78	142.01	198.47	43.94	55.1	118.43	76.17	69.03	64.34	53.57	212.78	52.45	146.03	58.3	53.57	995.0	277.2	53.19	34.02	37.32	24.63	40.64	40.07	97.36	61.25	22.1	15.34	87.65	29.7	43.02	41.81	4.24	8.85	6.11	12.93	9.48	29.91	49.91	74.06	74.06	58.71	116.78
ZNF773	46.5	71.0	84.04	182.55	170.25	186.4	189.02	119.26	171.45	88.88	119.26	92.05	77.79	115.97	224.97	108.9	181.28	124.37	89.51	1183.45	255.0	141.02	20.11	75.64	78.34	65.26	82.87	70.51	190.34	57.08	55.89	76.17	51.35	53.19	76.71	5.63	24.46	15.34	35.25	4.46	47.84	94.67	98.73	81.14	61.68	163.28
ZNF776	36.01	154.42	154.42	595.34	368.65	358.54	389.72	193.01	239.52	205.5	153.34	194.36	172.65	161.02	454.09	129.69	271.48	134.3	187.71	4419.52	536.45	204.07	36.01	135.24	111.21	76.17	107.38	125.24	182.55	68.55	45.53	169.07	85.82	102.97	87.03	34.75	38.67	42.41	43.94	25.35	60.82	129.69	141.02	161.02	223.41	289.02
ZNF8	20.56	43.63	36.01	124.37	44.25	74.58	92.05	34.51	128.79	65.26	57.08	50.98	53.19	89.51	80.01	52.08	100.83	13.52	81.14	723.08	98.04	65.26	28.04	63.45	38.12	17.77	35.76	45.21	43.02	18.97	18.84	59.97	24.63	26.47	40.07	10.96	12.36	20.71	14.35	0.0	26.28	66.18	70.51	119.26	144.01	69.52
ZNF805	15.11	26.86	34.26	109.66	69.52	100.83	71.5	68.55	61.25	74.58	45.85	48.87	69.03	44.57	74.58	29.7	81.71	33.54	94.01	563.18	111.99	40.36	31.45	72.01	50.27	30.34	20.56	36.27	102.97	17.51	11.13	60.39	31.0	53.57	62.12	11.21	6.67	12.09	8.71	9.2	16.39	41.22	71.5	86.43	98.73	50.63
ZSCAN22	31.22	35.76	28.24	83.45	47.5	53.95	44.57	47.17	50.98	42.71	42.11	44.25	34.51	35.76	70.51	40.36	75.11	38.4	42.71	353.59	78.89	32.13	44.25	55.89	36.53	15.34	27.64	21.94	42.71	21.01	19.82	45.53	21.47	26.1	44.57	17.25	20.11	34.51	16.03	19.25	40.07	36.79	57.08	52.08	58.71	42.71
ZZEF1	87.65	180.02	120.1	279.14	392.44	395.18	305.55	182.55	486.75	199.85	387.02	242.88	229.72	244.57	387.02	204.07	376.41	92.05	334.46	432.53	497.0	242.88	141.02	400.71	191.67	127.89	173.85	281.09	289.02	158.79	123.5	232.94	244.57	148.09	320.8	115.16	87.03	63.0	33.3	35.25	175.07	256.78	346.29	305.55	713.11	312.0
