	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	TCGA.EL.A3N3.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	TCGA.BK.A26L.01A.11R.A277.07
GIGYF2	974.5	921.88	1037.29	1277.29	1073.91	1104.13	376.41	376.41	363.56	518.15	323.03	381.68	432.53	447.82	361.04	412.0	417.77	314.17	429.54	473.41	417.77	395.18	447.82	426.57	397.93	327.56	277.2	379.04	403.5	381.68	323.03	395.18	432.53	733.19	583.07	1066.48	607.87	620.67	500.46	583.07	384.34	738.29	555.41	759.08	438.59	723.08	463.65	775.05	503.95	633.73	595.34	423.61	563.18	759.08	532.74	813.63	559.28	603.67	603.67	651.58	551.56	656.11	743.43	470.14	529.06	450.94	713.11	547.75	470.14	395.18	669.92	587.13	571.05	500.46	429.54	470.14	420.68	738.29	441.64	733.19	703.28	547.75	480.04	559.28	656.11	688.78	679.29	796.86	438.59	660.68	660.68	785.88	698.41	642.59	368.65	595.34	441.64	466.88	406.31	629.35	1487.87
HDAC2	1806.78	1794.29	2417.67	2645.74	1628.26	2090.03	836.53	941.27	1199.98	860.08	934.76	981.29	836.53	854.13	1008.9	941.27	1044.52	921.88	1015.93	1059.11	764.36	1044.52	915.51	961.07	884.29	1225.22	466.88	967.76	1051.79	1037.29	1096.5	981.29	1037.29	1322.37	785.88	1331.57	1417.35	1447.15	1175.27	1388.16	1081.39	1104.13	1143.1	1259.69	1487.87	1295.13	1259.69	1183.45	1322.37	1295.13	1143.1	928.3	1037.29	1030.12	1119.56	1073.91	1350.18	1127.35	1183.45	1286.18	1250.98	1359.57	1457.23	1199.98	854.13	890.44	1313.23	1388.16	1111.82	1088.92	1183.45	1167.14	1407.55	1143.1	954.43	961.07	1008.9	1143.1	1295.13	1487.87	1208.34	1359.57	1015.93	1286.18	1119.56	1216.75	1388.16	1167.14	1088.92	995.0	954.43	1437.15	1183.45	1167.14	1081.39	1286.18	1030.12	1111.82	1417.35	1023.0	4328.55
IARS2	1457.23	1407.55	2104.58	1819.35	1295.13	1540.37	612.11	540.19	500.46	579.04	616.37	454.09	718.08	599.49	616.37	571.05	612.11	612.11	759.08	688.78	555.41	587.13	511.0	733.19	525.39	612.11	483.38	579.04	587.13	693.58	642.59	521.76	587.13	890.44	780.44	988.12	896.64	909.17	1104.13	1073.91	651.58	974.5	753.83	967.76	660.68	941.27	1127.35	547.75	674.59	872.1	934.76	769.69	915.51	785.88	941.27	974.5	1066.48	915.51	915.51	848.22	988.12	1030.12	1066.48	825.0	825.0	536.45	830.75	813.63	679.29	896.64	633.73	1030.12	981.29	629.35	813.63	708.18	872.1	836.53	1030.12	819.3	866.07	872.1	780.44	1008.9	728.11	921.88	1015.93	974.5	780.44	896.64	866.07	813.63	902.89	819.3	796.86	748.61	693.58	775.05	974.5	872.1	1407.55
IPO8	633.73	616.37	718.08	769.69	579.04	713.11	323.03	295.11	253.23	348.71	234.57	234.57	289.02	295.11	248.0	297.17	287.01	223.41	264.03	371.22	275.28	295.11	307.69	366.09	287.01	232.94	244.57	277.2	291.04	339.14	249.73	262.2	381.68	595.34	389.72	743.43	555.41	738.29	412.0	543.96	299.25	540.19	473.41	507.46	400.71	660.68	441.64	429.54	389.72	503.95	551.56	409.15	529.06	438.59	483.38	540.19	470.14	466.88	540.19	514.56	616.37	575.03	563.18	441.64	426.57	384.34	497.0	490.14	473.41	551.56	518.15	612.11	529.06	435.55	353.59	426.57	412.0	583.07	361.04	555.41	555.41	450.94	392.44	466.88	547.75	529.06	713.11	583.07	356.05	551.56	567.1	587.13	603.67	466.88	403.5	432.53	339.14	457.25	529.06	486.75	759.08
KDM6A	764.36	713.11	872.1	1023.0	802.41	775.05	281.09	214.27	191.67	264.03	249.73	397.93	273.37	185.11	255.0	251.48	236.21	211.31	334.46	551.56	358.54	332.14	356.05	397.93	217.27	275.28	212.78	226.54	248.0	423.61	173.85	320.8	271.48	665.29	291.04	543.96	339.14	764.36	275.28	444.72	159.9	414.87	466.88	624.99	532.74	406.31	348.71	423.61	366.09	764.36	412.0	656.11	514.56	379.04	346.29	358.54	361.04	339.14	366.09	420.68	607.87	688.78	384.34	273.37	339.14	503.95	647.07	575.03	341.51	277.2	733.19	389.72	642.59	466.88	236.21	358.54	327.56	423.61	638.15	674.59	698.41	336.79	341.51	291.04	368.65	429.54	441.64	660.68	291.04	629.35	791.35	490.14	381.68	514.56	423.61	511.0	255.0	412.0	353.59	323.03	543.96
KIAA0232	559.28	463.65	842.36	511.0	444.72	497.0	223.41	198.47	181.28	208.38	128.79	186.4	154.42	194.36	159.9	172.65	169.07	142.01	183.82	231.32	150.17	173.85	197.09	236.21	177.53	152.28	108.9	148.09	156.59	195.72	144.01	153.34	190.34	358.54	232.94	363.56	329.84	285.03	226.54	336.79	150.17	363.56	381.68	299.25	327.56	334.46	253.23	226.54	237.86	417.77	295.11	197.09	303.44	312.0	323.03	312.0	260.38	201.25	293.07	426.57	305.55	277.2	423.61	275.28	204.07	166.73	323.03	368.65	273.37	223.41	417.77	309.83	361.04	194.36	234.57	161.02	234.57	379.04	221.86	366.09	403.5	299.25	249.73	256.78	438.59	387.02	463.65	414.87	183.82	287.01	373.81	444.72	320.8	277.2	256.78	299.25	195.72	269.6	312.0	260.38	555.41
KLHL9	785.88	723.08	759.08	1023.0	713.11	825.0	241.19	162.14	187.71	293.07	172.65	169.07	189.02	204.07	220.32	205.5	199.85	126.12	206.94	285.03	159.9	157.68	248.0	226.54	202.66	170.25	135.24	205.5	217.27	212.78	156.59	199.85	253.23	363.56	358.54	490.14	457.25	555.41	299.25	470.14	246.28	384.34	379.04	376.41	316.37	392.44	273.37	232.94	285.03	325.29	483.38	289.02	293.07	329.84	447.82	323.03	260.38	334.46	392.44	334.46	381.68	353.59	406.31	314.17	271.48	291.04	571.05	466.88	341.51	293.07	332.14	463.65	351.14	218.79	234.57	293.07	312.0	299.25	426.57	551.56	334.46	417.77	320.8	381.68	329.84	358.54	476.71	403.5	231.32	376.41	395.18	476.71	339.14	341.51	255.0	307.69	275.28	368.65	301.33	332.14	674.59
KMT2A	679.29	571.05	514.56	743.43	688.78	738.29	193.01	177.53	205.5	267.73	169.07	187.71	186.4	175.07	166.73	214.27	221.86	135.24	162.14	255.0	231.32	157.68	201.25	185.11	201.25	152.28	156.59	208.38	191.67	140.04	152.28	165.57	228.13	490.14	450.94	400.71	289.02	563.18	267.73	417.77	177.53	356.05	249.73	291.04	486.75	412.0	297.17	718.08	271.48	339.14	297.17	325.29	291.04	366.09	248.0	473.41	172.65	329.84	361.04	339.14	368.65	287.01	293.07	323.03	426.57	275.28	373.81	221.86	371.22	291.04	312.0	353.59	218.79	279.14	177.53	417.77	291.04	334.46	356.05	353.59	323.03	231.32	141.02	256.78	414.87	373.81	384.34	312.0	143.01	279.14	348.71	454.09	363.56	316.37	231.32	289.02	228.13	332.14	387.02	403.5	819.3
MED1	633.73	551.56	830.75	775.05	674.59	679.29	165.57	183.82	180.02	221.86	119.26	157.68	214.27	189.02	169.07	205.5	185.11	175.07	164.42	231.32	214.27	193.01	183.82	191.67	181.28	147.06	157.68	198.47	194.36	183.82	172.65	181.28	193.01	381.68	220.32	395.18	395.18	371.22	301.33	406.31	145.02	299.25	255.0	246.28	249.73	291.04	269.6	151.22	234.57	249.73	341.51	229.72	205.5	277.2	273.37	242.88	253.23	329.84	307.69	309.83	279.14	267.73	366.09	275.28	283.05	224.97	387.02	346.29	249.73	253.23	307.69	334.46	316.37	211.31	199.85	232.94	303.44	260.38	295.11	397.93	312.0	293.07	220.32	258.57	307.69	293.07	376.41	279.14	191.67	241.19	299.25	387.02	336.79	260.38	237.86	271.48	220.32	244.57	303.44	267.73	733.19
METTL14	555.41	457.25	599.49	620.67	460.44	543.96	162.14	146.03	139.07	215.77	126.12	146.03	138.1	169.07	155.5	182.55	166.73	131.51	173.85	251.48	163.28	141.02	194.36	201.25	136.19	118.43	175.07	176.29	169.07	228.13	133.36	162.14	223.41	336.79	242.88	429.54	353.59	318.57	248.0	406.31	170.25	323.03	291.04	285.03	262.2	348.71	275.28	264.03	236.21	309.83	318.57	229.72	215.77	287.01	275.28	258.57	224.97	234.57	316.37	318.57	341.51	297.17	397.93	285.03	291.04	273.37	318.57	256.78	256.78	299.25	323.03	400.71	341.51	267.73	197.09	244.57	258.57	327.56	256.78	358.54	361.04	271.48	244.57	305.55	327.56	320.8	435.55	279.14	205.5	334.46	318.57	334.46	314.17	323.03	197.09	220.32	239.52	234.57	262.2	291.04	397.93
MGA	339.14	267.73	358.54	444.72	318.57	368.65	82.29	67.59	86.43	97.36	57.49	67.59	82.87	85.82	68.55	89.51	87.65	52.08	56.28	147.06	82.29	67.59	87.03	94.01	86.43	64.8	91.41	100.13	78.89	78.34	61.68	89.51	118.43	206.94	127.89	236.21	206.94	301.33	143.01	180.02	53.57	176.29	153.34	152.28	135.24	199.85	145.02	81.71	107.38	156.59	195.72	158.79	128.79	173.85	178.77	223.41	118.43	141.02	193.01	150.17	149.12	150.17	169.07	151.22	136.19	106.63	232.94	189.02	143.01	103.69	170.25	183.82	131.51	90.77	112.77	117.6	152.28	195.72	136.19	279.14	223.41	187.71	82.87	180.02	198.47	150.17	229.72	205.5	92.7	163.28	190.34	226.54	150.17	144.01	78.34	118.43	112.77	133.36	157.68	182.55	1369.04
MIOS	591.22	540.19	780.44	733.19	543.96	540.19	147.06	110.43	159.9	171.45	119.26	144.01	143.01	142.01	111.99	129.69	118.43	120.94	161.02	205.5	115.97	121.79	175.07	148.09	136.19	148.09	121.79	117.6	146.03	163.28	143.01	134.3	220.32	332.14	180.02	368.65	267.73	348.71	234.57	249.73	150.17	305.55	267.73	262.2	229.72	303.44	237.86	102.97	205.5	260.38	318.57	190.34	236.21	229.72	258.57	323.03	234.57	221.86	237.86	336.79	255.0	242.88	309.83	220.32	221.86	183.82	295.11	275.28	197.09	195.72	277.2	265.87	312.0	191.67	246.28	239.52	208.38	295.11	325.29	389.72	231.32	265.87	236.21	283.05	269.6	256.78	334.46	258.57	208.38	273.37	246.28	363.56	346.29	209.84	158.79	221.86	173.85	237.86	229.72	239.52	1008.9
MOB1A	1697.45	1378.57	1651.0	1806.78	1250.98	1498.22	703.28	571.05	753.83	791.35	587.13	547.75	656.11	660.68	693.58	591.22	698.41	514.56	674.59	934.76	463.65	583.07	688.78	656.11	571.05	684.02	507.46	708.18	718.08	603.67	660.68	559.28	563.18	1259.69	603.67	1073.91	934.76	934.76	743.43	1111.82	540.19	759.08	728.11	791.35	693.58	866.07	1119.56	563.18	728.11	769.69	785.88	638.15	624.99	567.1	954.43	571.05	698.41	802.41	769.69	738.29	769.69	802.41	896.64	684.02	490.14	642.59	988.12	674.59	819.3	728.11	713.11	738.29	748.61	559.28	583.07	620.67	603.67	753.83	808.0	854.13	802.41	674.59	780.44	988.12	599.49	743.43	1191.69	688.78	728.11	769.69	713.11	981.29	848.22	656.11	718.08	941.27	860.08	629.35	825.0	595.34	3847.29
MTRR	624.99	728.11	785.88	764.36	708.18	656.11	246.28	371.22	221.86	293.07	293.07	358.54	236.21	223.41	229.72	447.82	387.02	206.94	275.28	376.41	295.11	206.94	275.28	285.03	269.6	189.02	186.4	264.03	287.01	218.79	215.77	246.28	373.81	532.74	312.0	483.38	466.88	647.07	371.22	379.04	283.05	441.64	329.84	417.77	361.04	571.05	547.75	287.01	400.71	397.93	412.0	387.02	379.04	460.44	392.44	583.07	409.15	403.5	334.46	454.09	346.29	500.46	599.49	323.03	417.77	476.71	450.94	412.0	379.04	323.03	483.38	389.72	555.41	447.82	232.94	392.44	351.14	351.14	616.37	497.0	406.31	438.59	239.52	371.22	490.14	423.61	514.56	400.71	271.48	293.07	363.56	743.43	384.34	307.69	265.87	511.0	426.57	297.17	373.81	417.77	698.41
NIPAL1	108.9	71.5	81.14	141.02	50.27	101.54	22.92	15.8	48.52	33.78	17.77	16.88	17.38	31.67	35.0	15.11	25.72	14.56	26.1	58.3	13.52	26.1	30.56	27.64	28.24	23.25	35.0	18.43	19.25	50.63	15.8	27.44	48.52	109.66	55.1	82.29	58.71	115.97	21.01	70.51	101.54	94.01	95.34	71.5	121.79	84.04	37.05	108.14	56.28	93.35	67.12	22.75	46.84	43.02	38.12	120.1	71.0	12.45	31.0	134.3	81.71	66.65	75.64	24.28	43.02	40.93	43.63	136.19	49.91	55.1	104.42	61.25	59.55	23.76	75.11	37.85	53.95	82.87	17.9	44.25	67.12	72.01	32.59	39.79	87.65	45.85	112.77	137.14	48.52	50.98	85.22	88.88	60.82	27.05	18.56	67.59	41.52	63.0	51.71	25.72	76.71
NT5C1B	12.55	12.83	12.27	11.82	10.79	7.22	3.72	1.75	3.26	5.77	2.25	1.06	1.93	11.13	2.51	4.13	1.45	1.93	4.39	10.55	5.19	0.8	3.41	3.38	3.32	0.87	0.77	2.2	3.11	1.07	3.41	5.92	6.21	10.24	6.84	14.14	5.23	13.62	8.85	4.39	3.72	11.73	9.27	9.41	12.93	6.01	5.45	4.28	3.59	8.85	12.83	9.78	8.58	15.56	3.14	4.35	4.62	6.16	10.16	3.14	10.88	4.9	10.08	5.06	5.36	7.11	10.16	11.13	6.62	14.24	10.31	5.63	8.06	6.21	5.87	13.03	3.86	15.68	4.43	8.32	9.7	8.38	6.89	7.17	6.67	1.69	13.22	9.56	2.94	12.45	6.62	6.78	15.22	4.17	8.65	6.11	11.73	4.21	4.58	5.11	14.14
NUP153	679.29	567.1	791.35	1088.92	599.49	679.29	143.01	128.79	181.28	226.54	128.79	145.02	158.79	175.07	186.4	190.34	173.85	100.13	148.09	253.23	161.02	128.79	204.07	162.14	163.28	139.07	169.07	163.28	170.25	169.07	135.24	163.28	226.54	551.56	220.32	529.06	339.14	450.94	285.03	346.29	232.94	323.03	518.15	371.22	435.55	392.44	297.17	336.79	314.17	579.04	323.03	244.57	309.83	299.25	318.57	376.41	392.44	297.17	323.03	547.75	339.14	339.14	525.39	239.52	239.52	269.6	297.17	353.59	285.03	231.32	435.55	320.8	371.22	281.09	279.14	199.85	279.14	379.04	318.57	473.41	389.72	309.83	281.09	329.84	392.44	400.71	547.75	376.41	287.01	358.54	389.72	463.65	420.68	285.03	255.0	373.81	236.21	211.31	269.6	256.78	1143.1
P2RX5-TAX1BP3	8.0	8.58	8.06	8.71	6.52	13.42	3.82	3.86	3.79	3.86	1.48	5.59	3.92	4.98	2.56	4.78	3.63	4.28	2.36	4.54	3.66	3.82	5.28	4.62	3.89	1.93	5.11	3.5	4.1	4.9	2.12	4.9	5.45	11.21	8.92	7.82	9.93	10.55	6.16	7.28	2.94	8.99	10.31	11.3	7.57	11.73	7.46	3.72	5.02	7.17	9.63	6.21	4.9	6.84	11.04	8.78	7.51	6.36	1.91	11.13	6.06	7.11	11.3	6.94	7.34	5.02	12.18	12.74	5.5	3.99	8.85	6.94	12.64	3.59	9.2	6.57	6.57	10.39	8.0	9.13	10.31	10.0	8.51	6.84	8.99	9.85	15.34	8.0	5.36	7.17	5.28	9.93	8.32	3.44	7.57	4.39	8.0	7.75	5.92	11.13	11.82
PAFAH1B2	1119.56	1001.93	1073.91	1313.23	1143.1	1183.45	703.28	679.29	733.19	633.73	536.45	738.29	616.37	780.44	718.08	607.87	693.58	575.03	638.15	825.0	529.06	708.18	775.05	688.78	620.67	679.29	748.61	629.35	708.18	878.17	567.1	642.59	718.08	921.88	688.78	1250.98	1143.1	813.63	808.0	1044.52	620.67	934.76	890.44	884.29	848.22	785.88	890.44	674.59	808.0	878.17	988.12	629.35	718.08	775.05	1030.12	848.22	819.3	813.63	988.12	934.76	808.0	759.08	934.76	813.63	547.75	525.39	1119.56	1015.93	693.58	759.08	921.88	902.89	896.64	723.08	775.05	559.28	728.11	884.29	878.17	1199.98	872.1	1015.93	947.83	819.3	743.43	896.64	1233.75	947.83	896.64	909.17	802.41	1295.13	825.0	728.11	825.0	813.63	607.87	698.41	819.3	764.36	2384.37
PBRM1	708.18	633.73	753.83	884.29	785.88	802.41	236.21	187.71	215.77	291.04	157.68	183.82	214.27	236.21	224.97	239.52	217.27	142.01	172.65	307.69	223.41	183.82	242.88	239.52	215.77	173.85	231.32	215.77	208.38	191.67	171.45	209.84	267.73	563.18	271.48	563.18	559.28	409.15	400.71	490.14	186.4	395.18	353.59	532.74	423.61	463.65	409.15	293.07	463.65	441.64	395.18	307.69	341.51	314.17	497.0	500.46	307.69	356.05	500.46	511.0	356.05	395.18	525.39	258.57	264.03	277.2	438.59	486.75	450.94	351.14	555.41	420.68	483.38	248.0	397.93	320.8	368.65	454.09	351.14	595.34	444.72	414.87	253.23	435.55	486.75	400.71	624.99	674.59	271.48	384.34	529.06	684.02	490.14	395.18	253.23	346.29	224.97	368.65	518.15	379.04	1991.0
POM121C	738.29	674.59	896.64	1073.91	872.1	842.36	438.59	316.37	412.0	514.56	291.04	384.34	438.59	389.72	334.46	376.41	336.79	351.14	397.93	486.75	376.41	363.56	463.65	346.29	348.71	285.03	414.87	420.68	351.14	417.77	289.02	379.04	406.31	684.02	406.31	540.19	567.1	769.69	447.82	426.57	387.02	463.65	629.35	579.04	575.03	514.56	429.54	738.29	503.95	540.19	423.61	532.74	493.56	612.11	412.0	679.29	551.56	376.41	525.39	624.99	497.0	624.99	514.56	447.82	454.09	409.15	629.35	559.28	529.06	395.18	669.92	511.0	473.41	426.57	395.18	429.54	389.72	698.41	518.15	703.28	563.18	543.96	406.31	503.95	591.22	579.04	607.87	429.54	366.09	480.04	525.39	878.17	603.67	532.74	356.05	454.09	414.87	470.14	435.55	480.04	1023.0
POP1	120.94	90.77	115.16	88.88	75.64	70.51	27.64	31.22	29.91	39.22	9.78	32.59	24.46	33.3	24.46	26.86	18.43	20.86	31.9	69.52	19.39	32.36	32.82	31.0	20.71	22.1	17.25	29.06	33.06	24.63	30.56	44.25	34.75	85.82	33.54	59.55	57.08	43.94	33.78	35.0	31.67	35.0	70.01	76.71	35.25	57.49	36.27	26.86	31.9	58.3	42.11	29.48	50.98	59.13	53.19	50.27	87.03	35.0	47.84	55.89	59.13	55.89	79.45	24.46	37.85	33.78	51.35	100.83	28.04	33.78	63.0	46.84	57.08	28.86	66.65	30.12	28.24	57.08	46.5	84.63	47.17	78.89	63.45	75.11	54.72	39.79	78.34	73.03	49.21	62.12	55.49	60.39	63.0	59.97	44.25	36.01	39.5	38.12	31.22	39.22	218.79
PRDM4	518.15	454.09	466.88	543.96	480.04	441.64	221.86	201.25	224.97	279.14	154.42	231.32	232.94	237.86	165.57	256.78	217.27	194.36	246.28	271.48	237.86	198.47	198.47	229.72	193.01	208.38	173.85	223.41	231.32	208.38	197.09	177.53	299.25	316.37	358.54	403.5	242.88	384.34	346.29	361.04	229.72	353.59	351.14	348.71	215.77	389.72	301.33	193.01	195.72	361.04	351.14	363.56	285.03	320.8	277.2	409.15	260.38	366.09	323.03	343.89	323.03	323.03	343.89	327.56	420.68	341.51	361.04	348.71	293.07	269.6	327.56	514.56	348.71	287.01	253.23	329.84	368.65	381.68	392.44	332.14	400.71	279.14	214.27	262.2	403.5	361.04	371.22	353.59	269.6	295.11	353.59	343.89	366.09	269.6	251.48	289.02	336.79	312.0	329.84	341.51	571.05
PRKD3	525.39	476.71	536.45	780.44	483.38	575.03	211.31	189.02	209.84	173.85	190.34	189.02	198.47	161.02	156.59	209.84	226.54	152.28	194.36	234.57	151.22	159.9	202.66	180.02	170.25	163.28	134.3	187.71	197.09	140.04	175.07	139.07	237.86	497.0	379.04	490.14	281.09	607.87	236.21	384.34	170.25	356.05	206.94	218.79	226.54	373.81	426.57	239.52	248.0	279.14	373.81	262.2	256.78	246.28	265.87	239.52	198.47	353.59	212.78	353.59	358.54	273.37	271.48	327.56	223.41	166.73	301.33	241.19	309.83	363.56	297.17	409.15	277.2	221.86	139.07	154.42	258.57	312.0	297.17	379.04	285.03	171.45	190.34	193.01	339.14	297.17	343.89	325.29	158.79	267.73	285.03	348.71	265.87	223.41	175.07	387.02	232.94	264.03	273.37	267.73	1088.92
PRRC2C	1721.16	1594.73	2555.58	2485.67	1733.13	2133.97	607.87	909.17	836.53	866.07	555.41	651.58	819.3	708.18	921.88	866.07	915.51	583.07	567.1	909.17	791.35	583.07	665.29	723.08	769.69	633.73	435.55	1030.12	693.58	454.09	728.11	723.08	819.3	1437.15	1023.0	1529.73	934.76	1268.46	733.19	941.27	665.29	941.27	902.89	896.64	915.51	1059.11	679.29	1183.45	674.59	1023.0	909.17	954.43	785.88	1127.35	629.35	1051.79	791.35	813.63	1498.22	1001.93	974.5	819.3	1073.91	728.11	1151.06	995.0	1216.75	909.17	974.5	1268.46	1199.98	934.76	819.3	1216.75	638.15	688.78	718.08	974.5	836.53	1259.69	1225.22	842.36	587.13	785.88	947.83	915.51	1111.82	819.3	624.99	764.36	872.1	1259.69	884.29	981.29	860.08	1127.35	723.08	825.0	708.18	819.3	3690.52
PTPN1	679.29	728.11	860.08	651.58	674.59	665.29	351.14	269.6	373.81	269.6	363.56	289.02	381.68	327.56	387.02	336.79	301.33	289.02	325.29	346.29	295.11	285.03	403.5	312.0	299.25	309.83	295.11	307.69	339.14	450.94	356.05	307.69	368.65	698.41	366.09	753.83	497.0	624.99	305.55	403.5	376.41	551.56	470.14	540.19	470.14	587.13	309.83	872.1	275.28	521.76	466.88	353.59	587.13	551.56	500.46	575.03	511.0	312.0	473.41	551.56	483.38	624.99	559.28	409.15	348.71	518.15	486.75	476.71	312.0	361.04	532.74	457.25	532.74	301.33	444.72	314.17	314.17	503.95	397.93	457.25	514.56	493.56	441.64	392.44	521.76	599.49	780.44	497.0	454.09	532.74	490.14	575.03	555.41	480.04	403.5	587.13	406.31	348.71	275.28	389.72	511.0
QKI	1617.0	1259.69	1369.04	1977.24	1651.0	1697.45	389.72	299.25	293.07	409.15	173.85	217.27	336.79	414.87	236.21	389.72	334.46	155.5	303.44	460.44	275.28	293.07	336.79	339.14	363.56	206.94	180.02	316.37	312.0	295.11	236.21	271.48	406.31	769.69	587.13	728.11	547.75	1037.29	500.46	890.44	334.46	743.43	387.02	432.53	583.07	785.88	842.36	301.33	583.07	748.61	587.13	559.28	395.18	353.59	567.1	633.73	314.17	791.35	426.57	651.58	775.05	409.15	679.29	493.56	417.77	473.41	665.29	497.0	476.71	368.65	457.25	571.05	698.41	366.09	334.46	309.83	476.71	503.95	587.13	748.61	728.11	493.56	334.46	339.14	612.11	473.41	665.29	403.5	265.87	341.51	497.0	571.05	698.41	583.07	291.04	599.49	327.56	473.41	669.92	397.93	2400.97
RALGPS2	432.53	320.8	674.59	358.54	371.22	363.56	37.59	27.84	54.72	58.3	43.32	29.7	36.27	56.68	29.06	40.64	58.3	24.81	39.79	56.68	30.56	30.56	55.1	43.02	49.91	52.45	45.21	33.78	40.93	44.57	36.79	34.51	70.51	454.09	92.05	205.5	83.45	265.87	155.5	295.11	30.56	144.01	66.65	94.67	111.21	81.14	94.67	275.28	80.57	73.54	89.51	70.51	124.37	72.52	91.41	132.44	103.69	141.02	92.7	181.28	135.24	132.44	69.03	118.43	94.67	71.5	141.02	86.43	147.06	128.79	122.64	113.56	85.82	44.57	57.89	69.03	97.36	186.4	229.72	146.03	118.43	104.42	48.18	80.01	115.97	151.22	228.13	146.03	60.39	138.1	154.42	116.78	152.28	92.05	80.57	119.26	63.45	106.63	134.3	75.64	318.57
