	TCGA.A7.A26G.01A.21R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.5552.11A.01R.1672.07	TCGA.49.6744.11A.01R.1858.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
FASTK	389.72	669.92	587.13	536.45	426.57	339.14	392.44	769.69	1159.07	1447.15	1857.6	3060.45	1781.89	2004.85	1111.82	1936.53	1721.16	934.76	2255.7	1359.57	3665.02	1977.24	2104.58	2148.82	1023.0	1832.01	1286.18	1794.29	2193.99	1883.54	1769.57	1417.35	1977.24	2645.74	1073.91	2367.9	2739.08	2627.46	3589.58	2178.83	1870.53	2367.9	2664.15	1923.14	2178.83	2271.4	1066.48	1819.35	1191.69	2664.15	1540.37	1583.71	1806.78	3303.0	2287.2	2417.67	1923.14	1617.0	2119.22	1909.85	1832.01	1066.48	1183.45	2915.45	2701.35	2047.0	2739.08	1487.87	1991.0	2451.44	1135.2	3124.78	2400.97	2075.59	2434.5	1923.14	2664.15	2047.0	2303.12	2875.3	1870.53	1617.0	3372.43	1388.16	1277.29	1286.18	1551.09	1397.83	2133.97	2018.8	1378.57	1963.57	2451.44	2271.4	2417.67	1674.06	967.76	1127.35	1322.37	2287.2	2400.97	1551.09	3212.66	2335.28	1135.2	2384.37	954.43	1745.2	1477.58	4481.23	1519.15	2816.11	4239.45	2417.67	1304.15	2502.97	1781.89	2133.97	1950.0	3124.78	2997.45	2796.65	2956.17	2319.15	1605.83	1322.37	1498.22	2271.4	1909.85	1896.65	1733.13	1359.57	1417.35	1369.04	2193.99	1662.49	1250.98	1397.83	1104.13
FBXL15	26.67	30.34	39.22	57.49	32.59	5.02	39.79	123.5	212.78	91.41	173.85	612.11	244.57	287.01	110.43	281.09	420.68	94.01	379.04	172.65	389.72	205.5	323.03	269.6	88.26	397.93	202.66	299.25	299.25	363.56	327.56	285.03	256.78	521.76	149.12	251.48	241.19	358.54	379.04	141.02	217.27	490.14	417.77	262.2	376.41	432.53	101.54	299.25	145.02	441.64	191.67	177.53	318.57	543.96	490.14	518.15	198.47	214.27	358.54	253.23	189.02	124.37	177.53	679.29	305.55	599.49	693.58	242.88	423.61	301.33	172.65	514.56	316.37	426.57	289.02	285.03	466.88	343.89	503.95	447.82	417.77	363.56	397.93	211.31	220.32	164.42	145.02	253.23	376.41	432.53	169.07	305.55	480.04	450.94	450.94	209.84	47.84	95.34	186.4	607.87	267.73	260.38	563.18	271.48	180.02	269.6	152.28	356.05	241.19	414.87	241.19	417.77	441.64	473.41	101.54	320.8	153.34	316.37	521.76	500.46	432.53	332.14	483.38	373.81	307.69	173.85	165.57	289.02	318.57	258.57	122.64	249.73	248.0	237.86	137.14	205.5	176.29	162.14	120.1
GFER	376.41	389.72	348.71	466.88	253.23	198.47	275.28	507.46	555.41	629.35	536.45	1037.29	703.28	603.67	529.06	713.11	599.49	575.03	728.11	511.0	1225.22	878.17	651.58	723.08	476.71	679.29	500.46	884.29	928.3	551.56	769.69	466.88	703.28	693.58	567.1	961.07	624.99	878.17	1096.5	981.29	651.58	890.44	896.64	718.08	674.59	860.08	371.22	591.22	638.15	825.0	728.11	603.67	647.07	796.86	947.83	825.0	612.11	728.11	718.08	713.11	575.03	595.34	688.78	728.11	1096.5	1088.92	1250.98	447.82	665.29	1044.52	559.28	961.07	842.36	872.1	723.08	684.02	656.11	988.12	995.0	974.5	665.29	703.28	961.07	693.58	616.37	669.92	616.37	698.41	848.22	748.61	571.05	674.59	1127.35	738.29	808.0	718.08	503.95	497.0	525.39	1030.12	947.83	514.56	1135.2	674.59	507.46	854.13	575.03	547.75	753.83	1208.34	743.43	1167.14	1001.93	947.83	642.59	866.07	836.53	698.41	693.58	934.76	836.53	1081.39	947.83	941.27	507.46	559.28	660.68	647.07	693.58	825.0	660.68	463.65	698.41	540.19	819.3	890.44	591.22	532.74	470.14
GLTPD1	241.19	198.47	157.68	237.86	127.89	57.08	165.57	301.33	426.57	409.15	571.05	775.05	571.05	540.19	336.79	703.28	559.28	307.69	642.59	397.93	769.69	599.49	708.18	684.02	277.2	624.99	490.14	575.03	854.13	438.59	665.29	483.38	417.77	785.88	314.17	638.15	444.72	764.36	890.44	808.0	503.95	587.13	884.29	791.35	620.67	830.75	258.57	603.67	269.6	728.11	571.05	368.65	595.34	698.41	633.73	595.34	466.88	525.39	660.68	490.14	450.94	318.57	392.44	559.28	536.45	743.43	915.51	466.88	620.67	633.73	332.14	860.08	647.07	866.07	583.07	540.19	796.86	591.22	647.07	1030.12	669.92	642.59	723.08	583.07	497.0	400.71	435.55	674.59	684.02	830.75	381.68	579.04	660.68	785.88	603.67	476.71	329.84	262.2	384.34	688.78	688.78	567.1	1008.9	559.28	432.53	791.35	426.57	511.0	473.41	872.1	563.18	796.86	791.35	698.41	323.03	748.61	532.74	651.58	616.37	860.08	656.11	738.29	909.17	703.28	473.41	420.68	417.77	540.19	373.81	693.58	450.94	441.64	476.71	441.64	400.71	603.67	343.89	450.94	460.44
HES4	19.53	60.39	32.82	41.81	36.79	32.59	32.13	50.63	376.41	381.68	450.94	1051.79	293.07	497.0	154.42	358.54	890.44	177.53	733.19	138.1	1662.49	339.14	825.0	607.87	158.79	353.59	507.46	387.02	902.89	497.0	624.99	543.96	214.27	1286.18	181.28	1096.5	595.34	555.41	2075.59	368.65	253.23	432.53	1304.15	231.32	629.35	1225.22	125.24	616.37	389.72	1008.9	206.94	309.83	503.95	435.55	441.64	392.44	260.38	127.89	1313.23	457.25	293.07	129.69	246.28	813.63	1923.14	1977.24	1127.35	158.79	866.07	271.48	356.05	941.27	480.04	543.96	500.46	361.04	356.05	884.29	409.15	555.41	629.35	426.57	1697.45	507.46	753.83	202.66	51.35	267.73	738.29	1397.83	334.46	476.71	1498.22	348.71	1191.69	242.88	121.79	72.52	273.37	796.86	785.88	271.48	1388.16	486.75	244.57	299.25	156.59	231.32	122.64	1044.52	198.47	1457.23	303.44	1519.15	131.51	1001.93	480.04	295.11	651.58	684.02	571.05	361.04	1806.78	703.28	406.31	100.13	224.97	409.15	318.57	253.23	96.01	229.72	246.28	320.8	147.06	232.94	170.25	123.5	59.97
HIST2H2AC	24.46	14.89	12.93	0.0	5.68	2.48	11.47	32.82	62.56	48.52	71.5	145.02	98.73	22.43	47.84	106.63	75.11	29.27	115.97	67.59	136.19	53.19	67.12	45.85	44.89	90.77	34.02	89.51	125.24	58.3	68.55	40.64	79.45	182.55	46.5	111.21	77.25	122.64	83.45	84.63	59.55	66.18	102.97	90.77	82.87	49.56	32.13	158.79	55.1	140.04	36.79	44.89	79.45	96.01	63.89	152.28	73.03	60.39	62.56	52.82	113.56	37.32	35.0	98.73	51.35	124.37	87.65	42.41	95.34	76.17	53.95	212.78	113.56	121.79	111.21	65.26	150.17	106.63	39.79	130.6	84.63	109.66	88.26	68.55	59.55	44.89	40.93	61.25	82.29	84.04	58.71	62.12	141.02	150.17	101.54	81.71	6.52	38.4	18.56	143.01	94.01	48.52	214.27	68.07	29.27	50.63	26.67	82.29	32.36	217.27	64.8	98.04	145.02	146.03	40.07	90.77	111.21	86.43	83.45	159.9	100.13	123.5	107.38	85.22	67.12	55.1	49.91	65.26	62.56	73.03	47.5	84.63	27.64	46.18	67.12	74.06	37.59	50.27	24.81
HSD17B1	80.01	42.41	44.57	108.14	35.76	22.43	18.97	42.71	81.14	71.5	119.26	223.41	92.7	48.18	37.05	102.25	142.01	59.55	115.16	87.03	249.73	132.44	104.42	123.5	42.41	121.79	80.57	96.01	151.22	98.04	76.71	89.51	88.26	127.89	55.49	149.12	111.99	165.57	157.68	103.69	96.01	113.56	116.78	111.99	120.1	150.17	88.26	113.56	52.82	119.26	85.82	66.65	112.77	139.07	95.34	111.99	84.04	81.14	115.16	100.13	66.65	57.08	105.15	130.6	140.04	189.02	84.04	54.72	132.44	116.78	67.12	221.86	121.79	130.6	100.13	88.26	66.18	152.28	141.02	118.43	88.88	76.71	161.02	82.87	116.78	74.06	70.51	111.99	125.24	102.97	72.52	96.68	53.19	173.85	103.69	102.25	49.91	70.51	76.17	135.24	163.28	67.12	201.25	85.82	53.95	57.08	43.63	94.67	52.45	131.51	70.51	191.67	118.43	176.29	53.57	100.13	117.6	131.51	132.44	171.45	108.14	85.82	143.01	120.1	82.29	126.12	111.21	139.07	126.12	80.01	80.01	89.51	77.79	60.82	89.51	85.82	85.22	81.14	63.89
HSPBP1	285.03	291.04	194.36	229.72	205.5	166.73	387.02	429.54	595.34	665.29	836.53	1225.22	743.43	612.11	480.04	921.88	836.53	429.54	872.1	612.11	1250.98	890.44	791.35	961.07	336.79	825.0	647.07	693.58	1030.12	928.3	808.0	665.29	854.13	1208.34	575.03	1159.07	748.61	785.88	1159.07	878.17	819.3	928.3	1066.48	1001.93	902.89	633.73	432.53	961.07	532.74	967.76	890.44	551.56	830.75	825.0	961.07	890.44	775.05	813.63	791.35	842.36	525.39	493.56	642.59	1001.93	1191.69	1151.06	1388.16	540.19	718.08	941.27	476.71	1208.34	947.83	1051.79	808.0	842.36	941.27	884.29	1015.93	1268.46	780.44	967.76	1044.52	703.28	674.59	660.68	607.87	759.08	961.07	896.64	587.13	902.89	769.69	825.0	961.07	713.11	412.0	441.64	567.1	1191.69	890.44	708.18	1340.84	764.36	540.19	988.12	540.19	728.11	629.35	1199.98	928.3	961.07	1388.16	1030.12	536.45	1191.69	723.08	928.3	921.88	1259.69	1250.98	1001.93	825.0	974.5	642.59	616.37	665.29	842.36	743.43	1001.93	764.36	693.58	718.08	753.83	620.67	860.08	684.02	624.99	490.14
IDUA	72.01	148.09	115.16	141.02	94.67	44.57	139.07	173.85	224.97	327.56	595.34	587.13	366.09	518.15	215.77	417.77	555.41	291.04	878.17	351.14	567.1	642.59	476.71	447.82	186.4	371.22	327.56	466.88	450.94	463.65	607.87	536.45	473.41	579.04	279.14	633.73	540.19	579.04	1268.46	444.72	441.64	708.18	684.02	265.87	559.28	1159.07	220.32	579.04	260.38	490.14	351.14	426.57	447.82	599.49	547.75	836.53	339.14	363.56	836.53	575.03	403.5	353.59	218.79	813.63	1369.04	1457.23	1286.18	318.57	486.75	414.87	460.44	518.15	379.04	346.29	769.69	420.68	1096.5	599.49	441.64	1001.93	470.14	518.15	1277.29	327.56	277.2	253.23	211.31	389.72	603.67	934.76	232.94	785.88	395.18	620.67	733.19	303.44	221.86	180.02	253.23	656.11	884.29	414.87	647.07	575.03	656.11	633.73	149.12	343.89	486.75	941.27	248.0	733.19	476.71	651.58	555.41	825.0	301.33	248.0	514.56	830.75	748.61	733.19	1378.57	909.17	341.51	226.54	255.0	281.09	248.0	420.68	161.02	242.88	289.02	273.37	224.97	202.66	255.0	147.06	108.14
ITPA	647.07	647.07	497.0	470.14	395.18	507.46	713.11	703.28	738.29	1104.13	1191.69	1745.2	1044.52	1242.34	540.19	1183.45	1407.55	629.35	1225.22	961.07	1561.89	1242.34	1427.22	1832.01	703.28	1427.22	974.5	1151.06	1662.49	1259.69	1378.57	1059.11	1059.11	1407.55	780.44	1407.55	1111.82	1369.04	1662.49	1127.35	1199.98	1685.71	1685.71	890.44	1111.82	1378.57	813.63	1378.57	620.67	1936.53	1313.23	1259.69	693.58	1628.26	1388.16	1628.26	1268.46	1427.22	1331.57	1159.07	1023.0	656.11	1059.11	1127.35	2061.24	1781.89	1407.55	1059.11	981.29	1870.53	688.78	988.12	1457.23	1447.15	1540.37	954.43	1397.83	1250.98	1242.34	2133.97	1286.18	1508.65	1721.16	1127.35	974.5	830.75	718.08	1030.12	1662.49	1023.0	928.3	1685.71	981.29	1639.59	1583.71	1594.73	866.07	389.72	791.35	1617.0	1388.16	1175.27	1745.2	1369.04	743.43	1628.26	769.69	1073.91	808.0	2133.97	616.37	1331.57	1388.16	1745.2	1066.48	669.92	1111.82	1427.22	1135.2	1397.83	1697.45	1883.54	1781.89	1427.22	1127.35	713.11	988.12	1313.23	1151.06	1350.18	995.0	921.88	775.05	780.44	1250.98	1457.23	988.12	872.1	796.86
KLK3	3.08	4.13	1.16	3.96	21.78	8.38	0.0	0.0	772940.66	539026.74	881742.8	1345768.59	1005860.33	751804.53	573724.06	632189.57	1116072.03	350728.68	610654.84	593956.43	535303.41	1212874.47	800198.39	845824.19	459592.86	887875.81	585779.24	677564.08	1163466.92	1116072.03	751804.53	691801.16	794671.01	834179.46	440870.9	751804.53	751804.53	985160.01	881742.8	875652.15	1063212.58	731246.37	800198.39	1055868.42	767601.56	906531.99	489177.0	711250.37	691801.16	1255646.43	1187913.85	706337.4	1093103.58	506427.83	1139523.1	919186.72	746611.43	805764.22	1100706.72	881742.8	906531.99	1327240.99	731246.37	716197.51	887875.81	301123.38	1147449.11	585779.24	925580.18	978355.0	394590.4	1412675.8	726195.27	822695.06	672883.8	654483.73	906531.99	1238359.56	1327240.99	731246.37	800198.39	1196176.45	602247.76	731246.37	851707.37	542775.98	985160.01	839981.65	869603.57	845824.19	805764.22	741454.2	919186.72	851707.37	762299.34	789181.81	381149.17	767601.56	589853.66	627822.72	1063212.58	716197.51	1212874.47	1238359.56	654483.73	985160.01	273275.14	751804.53	845824.19	672883.8	1048575.0	1345768.59	938500.81	721179.07	711250.37	767601.56	1472666.19	1229805.58	731246.37	524287.0	623486.02	751804.53	1019901.63	938500.81	805764.22	894051.48	654483.73	1019901.63	751804.53	925580.18	834179.46	794671.01	324980.94	546551.29	985160.01	1063212.58	554180.87	573724.06	472513.8
LSM7	718.08	974.5	536.45	743.43	638.15	563.18	825.0	1242.34	1594.73	1757.34	2956.17	3928.15	2591.27	2816.11	1605.83	2682.69	2485.67	1397.83	3168.41	1617.0	4419.52	3146.52	3395.89	3349.13	1277.29	2915.45	2047.0	2367.9	3168.41	2915.45	3103.19	2434.5	3018.3	4268.94	1757.34	3982.99	2935.74	2895.31	4736.79	2997.45	2367.9	3325.99	3928.15	2520.38	2895.31	2895.31	1388.16	2682.69	2032.85	3820.7	2351.53	2555.58	3039.3	3039.3	3639.7	3564.78	2664.15	2701.35	3018.3	3212.66	1721.16	1477.58	1685.71	4095.0	4607.24	3467.27	4607.24	1639.59	2384.37	4937.99	1572.76	3039.3	3325.99	3280.18	3124.78	2400.97	2758.13	3081.75	3235.01	4836.35	2664.15	3419.52	4972.34	2163.77	1561.89	2004.85	1963.57	2434.5	3639.7	3124.78	1857.6	3847.29	3372.43	2915.45	3665.02	3018.3	1167.14	1104.13	1583.71	4210.15	3349.13	2240.11	4769.75	3564.78	1594.73	3395.89	1519.15	2303.12	2104.58	4388.98	2133.97	3690.52	4388.98	4210.15	1662.49	3874.05	2319.15	2895.31	3039.3	4639.29	4268.94	4010.71	3491.39	3874.05	2739.08	2032.85	2468.49	2664.15	3467.27	2997.45	1794.29	1806.78	2133.97	1819.35	2367.9	3039.3	1923.14	1936.53	1008.9
MAP3K10	91.41	51.71	49.91	126.12	42.41	69.52	102.97	161.02	271.48	255.0	244.57	316.37	275.28	249.73	253.23	237.86	299.25	181.28	255.0	264.03	514.56	295.11	332.14	224.97	135.24	291.04	258.57	226.54	361.04	327.56	226.54	295.11	246.28	412.0	176.29	299.25	327.56	447.82	571.05	389.72	309.83	312.0	387.02	218.79	293.07	269.6	199.85	258.57	323.03	348.71	277.2	256.78	414.87	444.72	341.51	215.77	206.94	232.94	204.07	267.73	205.5	154.42	215.77	387.02	346.29	579.04	368.65	206.94	314.17	215.77	172.65	255.0	336.79	283.05	376.41	226.54	307.69	435.55	423.61	303.44	316.37	309.83	406.31	260.38	387.02	202.66	253.23	178.77	299.25	329.84	220.32	406.31	353.59	287.01	346.29	140.04	113.56	130.6	199.85	264.03	470.14	228.13	412.0	301.33	139.07	217.27	126.12	275.28	244.57	412.0	336.79	376.41	206.94	525.39	217.27	483.38	301.33	255.0	271.48	371.22	299.25	316.37	612.11	395.18	155.5	149.12	182.55	291.04	161.02	312.0	236.21	198.47	194.36	232.94	220.32	171.45	161.02	157.68	165.57
MARCH9	189.02	181.28	124.37	151.22	133.36	123.5	154.42	318.57	346.29	368.65	348.71	543.96	339.14	395.18	314.17	334.46	432.53	273.37	397.93	314.17	698.41	397.93	395.18	423.61	209.84	358.54	275.28	476.71	665.29	381.68	444.72	384.34	460.44	507.46	273.37	476.71	318.57	450.94	490.14	400.71	476.71	476.71	551.56	432.53	325.29	384.34	262.2	435.55	318.57	412.0	438.59	387.02	435.55	525.39	392.44	409.15	339.14	563.18	346.29	473.41	346.29	287.01	341.51	753.83	785.88	723.08	547.75	318.57	320.8	447.82	295.11	571.05	432.53	348.71	463.65	368.65	660.68	476.71	563.18	426.57	403.5	457.25	591.22	381.68	332.14	248.0	314.17	339.14	483.38	480.04	356.05	395.18	514.56	507.46	447.82	316.37	231.32	256.78	214.27	387.02	532.74	348.71	511.0	412.0	248.0	470.14	199.85	420.68	301.33	591.22	435.55	665.29	587.13	642.59	295.11	525.39	432.53	620.67	348.71	571.05	575.03	507.46	698.41	409.15	241.19	281.09	244.57	356.05	289.02	334.46	299.25	256.78	312.0	258.57	312.0	336.79	237.86	264.03	301.33
MORC2	571.05	447.82	373.81	466.88	429.54	612.11	281.09	318.57	540.19	551.56	460.44	684.02	497.0	381.68	414.87	511.0	607.87	532.74	599.49	514.56	902.89	633.73	536.45	633.73	381.68	543.96	555.41	591.22	785.88	595.34	723.08	559.28	486.75	674.59	497.0	669.92	629.35	518.15	698.41	587.13	612.11	651.58	651.58	698.41	486.75	529.06	603.67	587.13	698.41	638.15	656.11	529.06	507.46	708.18	629.35	713.11	540.19	529.06	490.14	583.07	514.56	514.56	529.06	884.29	660.68	665.29	802.41	476.71	500.46	660.68	503.95	529.06	532.74	599.49	571.05	669.92	718.08	633.73	529.06	595.34	647.07	620.67	708.18	587.13	540.19	511.0	555.41	525.39	583.07	808.0	457.25	532.74	748.61	660.68	775.05	612.11	540.19	417.77	438.59	693.58	854.13	612.11	928.3	536.45	420.68	713.11	460.44	579.04	591.22	813.63	647.07	802.41	764.36	620.67	642.59	651.58	463.65	688.78	559.28	651.58	813.63	743.43	961.07	612.11	368.65	379.04	483.38	536.45	307.69	743.43	571.05	400.71	571.05	470.14	486.75	559.28	447.82	423.61	444.72
MRPL41	162.14	220.32	503.95	480.04	190.34	82.29	244.57	339.14	1909.85	1233.75	1844.76	7081.29	2303.12	2855.44	896.64	2367.9	3820.7	819.3	3443.31	1159.07	4358.66	1733.13	3515.68	2417.67	981.29	2075.59	1233.75	2335.28	3847.29	2047.0	3847.29	2004.85	2468.49	4802.93	1096.5	3589.58	2319.15	2701.35	5831.91	1844.76	2835.7	3690.52	3665.02	2777.33	2664.15	2061.24	674.59	3103.19	1388.16	5913.33	2520.38	1340.84	2758.13	4575.41	5112.16	4388.98	2018.8	1561.89	2777.33	2573.36	2075.59	1001.93	1583.71	5517.27	4358.66	4575.41	5441.3	1359.57	4639.29	3491.39	1111.82	3564.78	3235.01	4769.75	3146.52	2303.12	4869.99	3081.75	2335.28	4066.71	3146.52	3794.3	5594.3	2209.26	1313.23	1551.09	1870.53	2485.67	3928.15	2573.36	1159.07	2075.59	4937.99	5076.84	5366.37	1662.49	571.05	872.1	1304.15	5329.3	4512.4	1561.89	6337.83	1950.0	1519.15	2956.17	825.0	2997.45	1208.34	5872.48	2720.15	5041.77	3589.58	4358.66	1378.57	4066.71	2664.15	2701.35	3820.7	6337.83	5995.9	4937.99	5872.48	2816.11	1832.01	1304.15	1369.04	2875.3	1757.34	2075.59	2335.28	1508.65	1457.23	1268.46	1819.35	1769.57	1295.13	1508.65	934.76
MYPOP	114.36	79.45	77.25	82.29	48.52	48.87	47.17	80.01	100.83	135.24	60.39	181.28	138.1	102.97	112.77	98.73	130.6	116.78	137.14	111.21	170.25	144.01	145.02	82.29	88.26	145.02	108.14	135.24	206.94	123.5	158.79	112.77	137.14	204.07	108.9	134.3	100.83	149.12	147.06	142.01	138.1	165.57	189.02	163.28	128.79	117.6	82.87	120.94	111.21	138.1	118.43	127.0	112.77	194.36	142.01	166.73	123.5	115.16	127.89	130.6	105.15	87.03	118.43	156.59	154.42	209.84	209.84	80.01	131.51	128.79	105.89	150.17	157.68	161.02	137.14	113.56	194.36	164.42	170.25	115.97	175.07	134.3	178.77	109.66	151.22	89.51	77.79	102.97	136.19	140.04	123.5	139.07	148.09	167.9	151.22	81.14	78.89	69.03	82.29	183.82	172.65	117.6	182.55	124.37	88.88	176.29	88.26	128.79	113.56	217.27	136.19	214.27	107.38	173.85	102.97	157.68	156.59	194.36	158.79	255.0	193.01	161.02	242.88	147.06	97.36	106.63	87.03	126.12	102.97	190.34	114.36	118.43	115.97	144.01	107.38	136.19	117.6	105.15	101.54
