	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111CU.0326.SM.5GZXO
FMO3	2627.46	9025.81	10154.69	8479.89	7642.41	3212.66	1096.5	3325.99	90.14	1794.29	5219.6	3639.7	5479.15	12329.98	9808.75	2935.74	599.49	1697.45	8718.32	1605.83	1794.29	11424.74	7032.37	4419.52	14663.09	14971.21	30151.71	36357.37	26800.01	19214.73	31215.04	37901.36	16611.71	31650.8	18819.27	57448.23	49322.93	42054.3	34396.12	48982.22	30572.63	18950.18	13215.02	31432.17	41475.31	21172.91	60304.42	50011.46	51062.33	115696.65	14561.8	34876.28	29736.59	66912.05	99333.0	17437.64	60304.42	51775.15	0.0	195.72	0.43	249.73
FUOM	2193.99	8305.36	8963.45	7230.1	6792.79	4095.0	1477.58	3847.29	941.27	4639.29	3060.45	6745.86	13586.57	9215.48	3212.66	6079.61	3146.52	2701.35	5255.91	1051.79	1605.83	9945.68	6207.38	6164.49	9740.98	6887.62	13968.57	10659.59	21768.19	16045.82	11504.21	13872.08	13776.25	14867.79	11267.44	14361.31	20030.74	15285.81	23492.92	23169.48	19348.38	17927.91	9279.58	26067.14	15824.9	39237.98	16157.44	17558.94	18560.17	16611.71	7749.1	25179.16	16496.96	12764.83	10014.87	11504.21	13492.72	18819.27	0.0	1277.29	0.45	1233.75
GATM	5441.3	23009.42	26800.01	34876.28	9344.14	11664.82	3039.3	14867.79	256.78	14971.21	9279.58	11189.6	14867.79	25005.23	7642.41	9540.5	7537.18	5292.48	5872.48	12943.04	7032.37	21172.91	19348.38	11189.6	31432.17	25530.66	38164.99	45386.27	61146.25	30572.63	45386.27	45386.27	66449.85	58655.36	32540.65	34158.52	68318.04	58655.36	85876.94	55877.28	54349.29	65082.31	28132.47	65535.0	27745.15	26067.14	50011.46	66449.85	26986.43	62431.08	37901.36	53601.03	35609.13	119776.72	58655.36	25179.16	48307.85	106462.55	0.0	191.67	0.45	31.0
GBP7	181.28	796.86	723.08	186.4	426.57	417.77	89.51	101.54	2.2	49.91	346.29	356.05	144.01	61.25	0.75	1295.13	59.55	31.0	432.53	651.58	49.56	785.88	660.68	540.19	647.07	1008.9	660.68	2537.92	6792.79	1781.89	4388.98	2485.67	2468.49	4450.27	1127.35	4972.34	2287.2	3168.41	3540.14	3467.27	1896.65	1572.76	3515.68	2720.15	5219.6	3467.27	3564.78	4869.99	2835.7	3280.18	256.78	3168.41	728.11	8479.89	5711.87	748.61	4181.07	5913.33	0.0	0.0	0.0	0.0
GLYAT	1073.91	8840.04	6607.01	4639.29	2367.9	928.3	31.22	381.68	13.32	26.47	228.13	2061.24	2104.58	5954.47	409.15	3190.46	6.41	3.23	6079.61	551.56	450.94	6381.92	4543.8	3901.01	9215.48	7180.15	10440.2	25354.3	27745.15	17078.76	17927.91	27745.15	9808.75	27174.14	10440.2	54727.32	51775.15	30785.28	27174.14	31870.96	31215.04	24660.96	33455.53	34876.28	54727.32	18304.63	35118.87	46662.28	33922.56	35118.87	9215.48	22535.88	15180.22	23492.92	44452.21	18304.63	48643.87	39510.91	0.0	2.18	0.0	0.65
GLYATL1	941.27	7280.4	6164.49	4388.98	4010.71	1639.59	785.88	579.04	191.67	819.3	332.14	389.72	289.02	3955.48	1477.58	3614.55	483.38	144.01	1923.14	764.36	571.05	6426.31	5329.3	6250.56	11584.24	9673.69	7803.01	16843.62	10440.2	7911.95	8718.32	12589.08	8840.04	18304.63	6079.61	13492.72	24321.43	8305.36	18950.18	12329.98	21468.49	8538.88	10368.08	10883.59	13306.94	11909.94	15285.81	20310.37	13776.25	11827.67	9474.59	12076.21	6935.54	27363.16	9344.14	3018.3	16383.0	16496.96	0.0	6.16	0.16	0.0
GLYCTK	1540.37	9540.5	7382.04	5791.62	3212.66	3982.99	4481.23	5041.77	2520.38	5711.87	4512.4	10296.45	4972.34	6294.04	5147.73	15180.22	5672.41	3018.3	6935.54	1697.45	1806.78	6652.97	5872.48	6607.01	7857.29	6652.97	6607.01	16843.62	13123.73	15499.21	15715.58	19892.37	6471.02	10585.95	5555.65	21919.61	26431.04	19214.73	7280.4	32315.87	15824.9	9673.69	12853.63	23656.34	19082.0	11909.94	21172.91	18689.27	21026.65	26248.46	5995.9	13681.08	5183.54	9151.82	16157.44	6652.97	16383.0	13215.02	0.0	260.38	0.55	208.38
GNE	303.44	1936.53	1216.75	733.19	665.29	351.14	540.19	265.87	305.55	358.54	214.27	343.89	454.09	607.87	376.41	575.03	289.02	307.69	339.14	291.04	441.64	1259.69	915.51	665.29	1304.15	1191.69	1498.22	1051.79	1639.59	941.27	2895.31	1233.75	1447.15	2915.45	974.5	1617.0	1857.6	2224.63	1127.35	2271.4	1662.49	1369.04	1216.75	1977.24	1662.49	1745.2	2351.53	1674.06	1457.23	1417.35	842.36	796.86	575.03	1896.65	1594.73	764.36	1844.76	2209.26	115.16	113.56	72.52	152.28
GNMT	575.03	12589.08	4210.15	884.29	2855.44	583.07	1199.98	2271.4	2303.12	825.0	1191.69	1104.13	15.68	6079.61	13.93	8134.41	92.05	187.71	2090.03	35.76	514.56	5112.16	2133.97	6699.25	9540.5	3443.31	20170.07	30785.28	890.44	17927.91	13306.94	19214.73	848.22	7966.99	10368.08	24321.43	136637.07	23330.64	10368.08	18950.18	4903.87	21768.19	4388.98	8718.32	30572.63	18431.96	21617.82	27363.16	51775.15	10959.3	2434.5	17927.91	2351.53	2468.49	46662.28	7966.99	5711.87	23009.42	0.0	46.18	0.16	11.13
GOT2	2573.36	7081.29	4769.75	4181.07	3928.15	1745.2	3665.02	1066.48	7382.04	2384.37	3540.14	1651.0	934.76	2664.15	3589.58	5831.91	1457.23	693.58	2468.49	2193.99	1757.34	5672.41	4802.93	3103.19	5954.47	4298.64	5555.65	8022.41	11267.44	8363.13	5672.41	6699.25	7857.29	12076.21	4607.24	6652.97	8305.36	7081.29	7911.95	5594.3	12329.98	25005.23	8022.41	10014.87	12329.98	20451.65	8305.36	5751.61	7180.15	9279.58	4328.55	8598.28	8247.98	7433.4	6516.03	9606.86	7180.15	11345.82	0.0	796.86	0.77	1081.39
GPD1	780.44	1709.26	1936.53	191.67	1909.85	189.02	173.85	231.32	159.9	149.12	551.56	842.36	334.46	540.19	633.73	928.3	309.83	497.0	981.29	525.39	356.05	2627.46	995.0	836.53	2720.15	2701.35	1651.0	5751.61	5555.65	19348.38	4388.98	10084.54	6516.03	7911.95	1977.24	6121.9	4239.45	3280.18	6840.04	3874.05	4388.98	12329.98	4903.87	6516.03	7966.99	6079.61	12076.21	9279.58	6121.9	9025.81	470.14	5751.61	3349.13	6207.38	4972.34	2645.74	5555.65	13399.51	0.0	59.97	0.0	329.84
GRHPR	5255.91	20310.37	17197.56	17804.06	11189.6	4639.29	5872.48	4671.57	5255.91	4239.45	4450.27	11909.94	6983.79	23656.34	12502.12	5555.65	3768.09	2367.9	20030.74	6516.03	3614.55	18304.63	13306.94	12076.21	20451.65	16045.82	23986.58	30572.63	16611.71	27553.49	25887.07	24490.61	23169.48	21026.65	19754.96	26800.01	46662.28	19348.38	21320.18	37901.36	30151.71	35118.87	16611.71	29327.18	36610.26	43840.21	40341.14	27363.16	33224.42	28328.16	10225.32	30572.63	23169.48	22692.63	32994.92	21919.61	28132.47	27363.16	1769.57	1551.09	98.73	1437.15
GSTA1	7433.4	32767.0	31870.96	3419.52	17681.08	30361.44	25005.23	16727.26	693.58	525.39	26800.01	13306.94	8538.88	8305.36	25530.66	34396.12	698.41	169.07	34635.37	14065.74	4328.55	22225.61	15824.9	18431.96	37639.55	28723.62	67846.12	334117.42	175363.84	112532.89	175363.84	131982.68	107203.06	265802.39	162489.97	179048.63	336441.4	141455.6	189257.69	207103.59	365622.68	146444.06	97965.44	180294.02	171754.88	348306.01	164758.26	176583.6	186652.11	214407.12	9673.69	140478.49	111755.56	296977.71	197294.7	229795.93	204252.32	348306.01	0.0	4.98	0.0	53.95
GSTZ1	791.35	3395.89	5183.54	1322.37	4095.0	329.84	483.38	381.68	656.11	113.56	665.29	1143.1	785.88	1487.87	791.35	1286.18	483.38	98.73	1844.76	1277.29	358.54	3690.52	2255.7	3901.01	6983.79	3768.09	6471.02	14163.58	6887.62	8479.89	6381.92	10659.59	5366.37	13586.57	5831.91	11827.67	20881.4	10368.08	9088.59	10368.08	14971.21	10084.54	8247.98	15499.21	12764.83	15824.9	13968.57	12415.75	14561.8	9740.98	2555.58	12415.75	6607.01	9025.81	10440.2	9740.98	7589.61	6079.61	0.0	624.99	0.0	339.14
GYS2	202.66	2209.26	1233.75	432.53	825.0	151.22	316.37	38.12	4.7	19.39	65.72	150.17	73.54	309.83	35.5	638.15	9.13	7.22	356.05	166.73	127.89	1781.89	1151.06	967.76	1857.6	1540.37	3395.89	4450.27	3018.3	5366.37	4769.75	12943.04	1467.37	7032.37	3039.3	6207.38	5913.33	3124.78	5954.47	7642.41	5872.48	9606.86	2384.37	5831.91	20451.65	2287.2	7230.1	5633.22	10296.45	4450.27	1051.79	6516.03	4836.35	6561.36	9215.48	3372.43	5831.91	13215.02	0.0	0.61	0.19	0.0
HAAO	1963.57	14867.79	10733.74	4010.71	5594.3	4419.52	3639.7	1216.75	1259.69	2816.11	1896.65	1651.0	5751.61	3716.2	2400.97	7081.29	1159.07	249.73	3146.52	1378.57	1313.23	10225.32	6887.62	14867.79	9606.86	5255.91	16045.82	10368.08	14163.58	29943.43	17804.06	25354.3	9025.81	14361.31	7537.18	23009.42	33455.53	21919.61	14065.74	33922.56	15392.14	21320.18	12160.22	27363.16	28328.16	24490.61	26248.46	19482.97	27553.49	35363.15	8479.89	19618.49	15075.35	13215.02	21468.49	16960.78	21026.65	21617.82	0.0	341.51	0.35	80.57
HINT2	2193.99	5913.33	4903.87	4736.79	4328.55	3372.43	1857.6	2758.13	2976.74	1685.71	1991.0	2777.33	4298.64	5672.41	4181.07	1923.14	1757.34	1583.71	5517.27	4095.0	1519.15	5183.54	4358.66	5255.91	5403.7	4512.4	9025.81	9025.81	8134.41	4388.98	3665.02	4671.57	3847.29	5954.47	6164.49	7130.55	10296.45	4512.4	6471.02	6164.49	10014.87	7130.55	8778.97	6792.79	7032.37	12244.81	6652.97	6745.86	6250.56	5791.62	7081.29	8191.0	6426.31	6294.04	7695.57	4769.75	6250.56	5831.91	0.0	1378.57	0.29	802.41
HOGA1	567.1	1096.5	854.13	884.29	426.57	139.07	171.45	267.73	141.02	258.57	48.87	660.68	909.17	412.0	63.45	361.04	327.56	187.71	599.49	94.01	297.17	743.43	665.29	988.12	1388.16	791.35	2240.11	1977.24	1447.15	3103.19	1870.53	2178.83	854.13	1208.34	961.07	3716.2	5292.48	1991.0	1794.29	3515.68	2645.74	1096.5	2875.3	3564.78	2682.69	2434.5	4239.45	3018.3	3589.58	2591.27	775.05	1909.85	1331.57	974.5	3039.3	1208.34	2032.85	2627.46	0.0	6.31	0.31	3.82
HSD17B13	1037.29	8598.28	4298.64	2.78	2956.17	133.36	4.03	6.73	8.99	10.88	27.84	170.25	371.22	7.94	759.08	1733.13	2.34	19.53	3.06	144.01	295.11	5711.87	4937.99	5041.77	4836.35	3540.14	12415.75	17681.08	73730.83	63302.6	55491.3	44452.21	40621.74	93325.55	35363.15	35609.13	29736.59	13123.73	67377.47	24321.43	148488.36	218912.29	41763.8	55877.28	58250.19	141455.6	100719.65	44145.15	49322.93	44761.41	1015.93	33688.23	33688.23	46339.95	55107.99	6699.25	35118.87	145432.49	0.0	6.26	0.01	3.86
IL27	44.57	872.1	507.46	432.53	91.41	161.02	21.94	84.04	123.5	48.87	43.63	100.83	92.7	314.17	31.9	218.79	42.71	40.64	373.81	44.89	16.75	450.94	441.64	209.84	136.19	480.04	178.77	1977.24	318.57	543.96	514.56	361.04	607.87	379.04	890.44	2796.65	1963.57	2451.44	1059.11	521.76	470.14	1008.9	1477.58	2119.22	3103.19	392.44	1870.53	2417.67	2796.65	1135.2	334.46	1628.26	406.31	669.92	915.51	291.04	543.96	1991.0	0.0	15.34	0.0	30.34
IVD	1143.1	3060.45	3665.02	3060.45	1781.89	902.89	1081.39	866.07	1617.0	1628.26	934.76	1605.83	988.12	1199.98	1551.09	2520.38	723.08	743.43	1909.85	967.76	1001.93	2796.65	2591.27	2573.36	3124.78	3443.31	4512.4	4268.94	3257.52	3928.15	5594.3	4736.79	4769.75	4639.29	3847.29	3540.14	7642.41	3564.78	2816.11	5441.3	7966.99	5219.6	2935.74	5076.84	5831.91	4210.15	6164.49	5791.62	6121.9	6471.02	2367.9	4388.98	3103.19	4639.29	5594.3	3874.05	3982.99	4328.55	825.0	1037.29	463.65	842.36
KHK	2835.7	13872.08	11267.44	9673.69	7130.55	2664.15	3081.75	15499.21	1477.58	9151.82	3491.39	9540.5	3874.05	12076.21	10883.59	8778.97	4419.52	2400.97	11189.6	2777.33	1477.58	15075.35	8963.45	11745.96	12589.08	10154.69	20737.16	25179.16	9151.82	60304.42	29943.43	22535.88	7537.18	18431.96	16960.78	14065.74	36106.23	30572.63	35363.15	60304.42	25530.66	33455.53	22850.48	30999.42	32994.92	59887.86	56265.94	41763.8	38697.77	36106.23	9215.48	35856.82	25179.16	23492.92	15392.14	12502.12	20030.74	51062.33	0.0	84.63	0.15	78.34
KLKB1	543.96	4123.49	2796.65	713.11	1844.76	423.61	713.11	1127.35	170.25	473.41	483.38	728.11	669.92	2240.11	836.53	1313.23	429.54	647.07	1519.15	688.78	320.8	3103.19	2075.59	2777.33	2835.7	2796.65	3039.3	8963.45	5791.62	4512.4	5517.27	3928.15	2119.22	6164.49	3564.78	8718.32	6699.25	6516.03	5329.3	6561.36	8247.98	4802.93	3039.3	6652.97	11345.82	11664.82	6426.31	7032.37	13033.07	6935.54	2835.7	6983.79	4123.49	10296.45	5954.47	1191.69	7180.15	9344.14	0.0	47.84	0.28	2.29
LDHD	575.03	3280.18	3349.13	1697.45	2047.0	1286.18	460.44	406.31	1594.73	348.71	921.88	902.89	1819.35	2555.58	819.3	2004.85	301.33	199.85	2133.97	241.19	559.28	2835.7	1794.29	2061.24	2855.44	3124.78	5995.9	5441.3	5831.91	4268.94	4972.34	4836.35	2434.5	3955.48	3614.55	5147.73	17558.94	4869.99	4358.66	13492.72	9740.98	7230.1	5594.3	10659.59	7433.4	14765.09	7280.4	6079.61	8901.53	7749.1	3168.41	9215.48	6652.97	4358.66	5594.3	4607.24	5555.65	4210.15	0.0	158.79	0.32	82.87
LHPP	432.53	860.08	1417.35	1923.14	1427.22	1127.35	974.5	819.3	1073.91	547.75	66.18	961.07	1923.14	1467.37	1407.55	1030.12	759.08	429.54	486.75	273.37	329.84	1088.92	854.13	674.59	1259.69	1191.69	1151.06	961.07	2777.33	2148.82	1923.14	1832.01	1216.75	2193.99	2384.37	1617.0	2664.15	2104.58	3018.3	1950.0	2997.45	2502.97	2319.15	3168.41	1685.71	1991.0	1977.24	2224.63	2434.5	2193.99	1127.35	2816.11	1617.0	2335.28	1639.59	1745.2	1857.6	1857.6	0.0	420.68	0.41	312.0
LYRM5	591.22	1313.23	981.29	1073.91	961.07	389.72	921.88	1268.46	1051.79	1225.22	543.96	583.07	954.43	1617.0	1135.2	813.63	688.78	476.71	679.29	450.94	242.88	1498.22	1191.69	1151.06	1781.89	1111.82	1977.24	2434.5	1639.59	1417.35	1073.91	1183.45	1378.57	2240.11	1605.83	1721.16	1923.14	1781.89	2451.44	1794.29	1896.65	1519.15	2664.15	2193.99	1697.45	1883.54	1697.45	2335.28	1662.49	1721.16	1977.24	1233.75	1111.82	2609.3	1662.49	769.69	1674.06	2720.15	309.83	500.46	309.83	327.56
MACROD1	928.3	1733.13	1883.54	1369.04	1477.58	351.14	258.57	201.25	90.14	551.56	90.77	438.59	2796.65	1378.57	1015.93	921.88	269.6	84.04	1008.9	275.28	718.08	1216.75	1111.82	1216.75	1286.18	1151.06	2956.17	379.04	3039.3	4066.71	1991.0	2319.15	1806.78	1583.71	1467.37	2701.35	2720.15	2468.49	2609.3	2271.4	2502.97	3847.29	2075.59	4210.15	2956.17	3639.7	2664.15	2193.99	1806.78	2835.7	1015.93	2485.67	2163.77	1437.15	2240.11	2935.74	1950.0	2468.49	0.0	303.44	0.62	181.28
MOGAT2	223.41	1369.04	1096.5	466.88	366.09	143.01	102.25	147.06	5.36	29.06	144.01	204.07	341.51	336.79	24.63	264.03	5.15	3.82	346.29	11.38	113.56	2075.59	713.11	575.03	1529.73	1030.12	2520.38	5329.3	4388.98	12329.98	5183.54	11112.3	2255.7	5711.87	473.41	11424.74	2796.65	7331.05	4869.99	3349.13	1651.0	4388.98	2032.85	2682.69	4038.61	2255.7	10154.69	6250.56	5147.73	8598.28	796.86	2816.11	483.38	1685.71	6250.56	486.75	7081.29	8191.0	0.0	0.4	0.05	0.56
NDRG2	3768.09	7966.99	10296.45	6652.97	4836.35	1331.57	2895.31	1639.59	2004.85	2555.58	2163.77	2956.17	1769.57	5633.22	1359.57	4543.8	3768.09	1208.34	6337.83	2816.11	3190.46	8840.04	6426.31	4575.41	7803.01	9279.58	15180.22	15285.81	8718.32	14163.58	13681.08	16045.82	19482.97	12329.98	7032.37	18689.27	32540.65	12853.63	12415.75	28723.62	10440.2	10959.3	10225.32	21768.19	16611.71	13968.57	14065.74	19754.96	15607.02	15075.35	7280.4	16960.78	13776.25	15607.02	11189.6	12589.08	20451.65	14971.21	0.0	1745.2	0.66	607.87
NR1I2	162.14	1369.04	961.07	825.0	460.44	156.59	256.78	392.44	11.13	209.84	251.48	277.2	647.07	583.07	463.65	836.53	36.53	23.42	334.46	293.07	77.79	1111.82	848.22	329.84	1477.58	1208.34	2133.97	2271.4	2335.28	2351.53	3589.58	6516.03	1119.56	1617.0	693.58	8598.28	3146.52	4704.07	1350.18	7589.61	2271.4	2739.08	954.43	3168.41	5479.15	1397.83	5479.15	4298.64	1685.71	8421.31	743.43	1757.34	2682.69	1508.65	6792.79	1135.2	2720.15	3982.99	0.0	1.64	0.13	0.0
OGDHL	981.29	2400.97	2287.2	366.09	1159.07	780.44	928.3	13.12	514.56	397.93	536.45	1111.82	20.11	1583.71	33.3	1331.57	307.69	76.17	1936.53	156.59	307.69	1950.0	1721.16	1427.22	1896.65	2319.15	7032.37	2485.67	5441.3	3768.09	6699.25	5183.54	2193.99	4639.29	2664.15	9279.58	8363.13	7081.29	3303.0	8421.31	6207.38	4639.29	2645.74	9606.86	8247.98	10733.74	6207.38	5479.15	7382.04	13492.72	2178.83	6516.03	4736.79	9945.68	4298.64	2520.38	5954.47	4388.98	0.0	7.4	0.24	1.08
ORMDL3	3303.0	7130.55	7180.15	7749.1	5255.91	4010.71	4481.23	5441.3	3349.13	5831.91	3716.2	4802.93	3018.3	6745.86	5913.33	3081.75	9025.81	4639.29	6516.03	4704.07	6207.38	7966.99	6164.49	6250.56	4769.75	6607.01	17437.64	11035.54	14361.31	12160.22	10084.54	9279.58	12415.75	12076.21	3955.48	11584.24	14663.09	13033.07	7695.57	11664.82	8022.41	7485.11	11345.82	18052.61	8598.28	9474.59	16157.44	9808.75	17078.76	10733.74	7081.29	10084.54	7966.99	9808.75	9540.5	4836.35	9876.98	7485.11	1369.04	1745.2	197.09	775.05
PANK1	353.59	2451.44	1044.52	551.56	397.93	232.94	361.04	351.14	780.44	575.03	220.32	808.0	551.56	878.17	1001.93	769.69	518.15	307.69	769.69	146.03	178.77	1059.11	808.0	507.46	2271.4	1096.5	1498.22	1572.76	1844.76	1832.01	1628.26	1896.65	1350.18	4010.71	656.11	3081.75	1963.57	1844.76	1605.83	1037.29	2075.59	1794.29	2209.26	2682.69	1819.35	1015.93	1073.91	2018.8	2163.77	3235.01	1697.45	1769.57	1769.57	2351.53	1088.92	928.3	2417.67	2468.49	0.0	47.84	0.0	23.08
PBLD	785.88	4066.71	3540.14	1733.13	1551.09	283.05	616.37	1551.09	607.87	1286.18	1059.11	2148.82	624.99	2400.97	2739.08	1457.23	836.53	698.41	2104.58	708.18	273.37	3901.01	2163.77	2032.85	4769.75	3419.52	5292.48	3847.29	4239.45	5954.47	6983.79	7966.99	3690.52	8479.89	8078.22	6426.31	10296.45	7382.04	7081.29	7695.57	5831.91	5517.27	4181.07	7280.4	8901.53	5219.6	7081.29	8134.41	10084.54	6381.92	2739.08	4937.99	3955.48	9409.14	4671.57	3716.2	7695.57	10014.87	0.0	83.45	0.32	29.48
PCK2	1870.53	10154.69	10154.69	10225.32	7130.55	2816.11	2193.99	3081.75	1286.18	1950.0	2720.15	10368.08	7803.01	13776.25	2367.9	8134.41	4210.15	769.69	13968.57	1819.35	1540.37	10959.3	6745.86	8479.89	12076.21	10659.59	29327.18	35118.87	13492.72	20451.65	12076.21	16727.26	15934.98	20451.65	16727.26	38164.99	81809.59	15824.9	20310.37	38430.46	37121.34	27553.49	16960.78	28525.2	25887.07	48307.85	43840.21	35118.87	35609.13	32315.87	6037.61	29736.59	18560.17	17681.08	34158.52	25887.07	30999.42	23820.89	0.0	1096.5	0.0	583.07
PEBP1	13681.08	44452.21	33922.56	37639.55	24153.43	13123.73	17558.94	31650.8	35363.15	26800.01	13123.73	28923.41	29531.18	47974.16	33922.56	23330.64	20881.4	13399.51	32092.64	16157.44	15075.35	37379.55	30999.42	28328.16	37379.55	38430.46	49322.93	60723.88	55491.3	57847.82	56265.94	41763.8	54349.29	66912.05	40904.3	55107.99	86474.27	45386.27	54727.32	55491.3	58250.19	48307.85	55107.99	68318.04	58250.19	60304.42	53973.86	53601.03	59887.86	41475.31	47974.16	61999.83	39785.74	53973.86	48643.87	46986.85	57448.23	61571.56	4328.55	4575.41	16383.0	3716.2
PHYHD1	379.04	1685.71	1605.83	1467.37	1037.29	124.37	698.41	24.63	43.02	28.86	647.07	563.18	2796.65	2209.26	1295.13	599.49	61.25	79.45	1167.14	688.78	142.01	2255.7	1781.89	1023.0	1242.34	1477.58	1286.18	3235.01	1259.69	3794.3	878.17	5517.27	1628.26	1111.82	2133.97	5479.15	2627.46	4769.75	1529.73	5366.37	1674.06	2645.74	4210.15	5366.37	2018.8	1733.13	8840.04	7695.57	3372.43	3443.31	1477.58	1277.29	2468.49	1359.57	7331.05	954.43	2255.7	3982.99	0.0	988.12	0.56	397.93
PIPOX	1268.46	7382.04	5366.37	3874.05	3820.7	2739.08	1709.26	2335.28	872.1	1857.6	2502.97	3982.99	2682.69	4671.57	2319.15	5633.22	612.11	1183.45	12415.75	2739.08	764.36	7642.41	5112.16	5006.93	7966.99	7749.1	10659.59	18431.96	8078.22	12943.04	11664.82	8247.98	8963.45	11112.3	6652.97	12943.04	19348.38	10296.45	15392.14	17317.18	16727.26	10154.69	7130.55	13872.08	16611.71	14163.58	23820.89	13215.02	19214.73	15285.81	3768.09	14561.8	8658.09	18431.96	12502.12	6037.61	15180.22	14765.09	0.0	47.17	0.17	5.5
PLCXD2	281.09	1119.56	1030.12	403.5	842.36	738.29	567.1	961.07	351.14	860.08	493.56	463.65	540.19	497.0	493.56	1407.55	624.99	1313.23	381.68	343.89	518.15	1151.06	629.35	967.76	1594.73	974.5	2351.53	3039.3	1096.5	1059.11	1008.9	1015.93	1561.89	1674.06	1651.0	2367.9	1757.34	1467.37	2758.13	1417.35	3060.45	1991.0	1340.84	2004.85	2119.22	3467.27	3982.99	1936.53	1096.5	1159.07	1540.37	1628.26	1781.89	2915.45	3716.2	842.36	1467.37	2997.45	0.0	137.14	0.27	108.14
PON1	4066.71	12076.21	23169.48	17437.64	12244.81	4704.07	6426.31	7032.37	96.68	500.46	9474.59	4268.94	10440.2	25708.25	4869.99	8479.89	743.43	2502.97	7280.4	8658.09	1225.22	22072.07	22225.61	15934.98	26248.46	21026.65	26986.43	76861.91	36610.26	49322.93	54727.32	15075.35	20881.4	19618.49	32540.65	62431.08	405683.88	19214.73	16383.0	54727.32	144427.91	100719.65	74243.68	73730.83	54349.29	101420.22	74760.09	73730.83	153724.82	46019.85	23492.92	69271.73	124000.67	62865.33	101420.22	14561.8	84109.6	133825.1	0.0	48.18	0.2	6.89
PTMS	15392.14	34635.37	36864.92	21320.18	26248.46	12329.98	23820.89	23820.89	9740.98	13776.25	10296.45	18178.19	13776.25	29327.18	24153.43	26067.14	19754.96	7230.1	19348.38	29943.43	17317.18	46662.28	23986.58	29531.18	33224.42	29124.6	33224.42	72213.45	25005.23	82378.63	67846.12	45386.27	28328.16	41188.81	28723.62	42054.3	91404.92	59887.86	60304.42	71219.26	42937.97	35363.15	35118.87	49666.0	45386.27	47313.67	73730.83	53973.86	72715.74	42346.82	29327.18	63742.91	46019.85	42346.82	47313.67	41763.8	57448.23	42346.82	9474.59	8538.88	18560.17	6207.38
