	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11O72.1926.SM.5PNW1	GTEX.11GSP.0626.SM.5986T	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.131YS.1626.SM.5HL6C	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13VXU.0926.SM.5IFFH	GTEX.111VG.0726.SM.5GIDC	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
NCL	3928.15	3794.3	4066.71	2739.08	2485.67	2303.12	2148.82	2915.45	2997.45	2956.17	3768.09	7749.1	7803.01	6471.02	7537.18	5517.27	5672.41	5292.48	7695.57	7032.37	5292.48	8901.53	5791.62	6079.61	5555.65	6250.56	8191.0	8078.22	4802.93	5292.48	6983.79	5791.62	7180.15	8901.53	7230.1	7642.41	6745.86	10296.45	5711.87	6121.9	5112.16	5831.91	4181.07	7589.61	8479.89	4836.35	5954.47	7081.29	8963.45	4903.87	5711.87	6607.01	4836.35	5292.48	6699.25	7433.4	9344.14	6079.61	4704.07	5479.15	7911.95	5366.37	7485.11	7537.18	6337.83	8778.97	10014.87	6745.86	5147.73	6516.03	4575.41	5633.22	6250.56	7966.99	6561.36	5594.3	6426.31	5255.91	5954.47	5711.87	7749.1	5954.47	5872.48
PA2G4	967.76	1001.93	1447.15	830.75	878.17	808.0	665.29	896.64	928.3	808.0	1457.23	1870.53	1781.89	1662.49	2240.11	1417.35	1936.53	1467.37	2032.85	1844.76	1397.83	2287.2	1769.57	1674.06	1832.01	1721.16	2178.83	2047.0	1487.87	1733.13	1733.13	1674.06	1733.13	2417.67	1721.16	2163.77	2004.85	2796.65	1639.59	1594.73	1757.34	1583.71	1721.16	1883.54	2163.77	1651.0	1662.49	2061.24	2384.37	1498.22	1697.45	1757.34	1769.57	1540.37	1936.53	1662.49	2224.63	1769.57	1551.09	1605.83	2133.97	1540.37	2090.03	2119.22	1662.49	2075.59	2209.26	1733.13	1628.26	1883.54	1304.15	1977.24	1769.57	2047.0	1605.83	1639.59	1769.57	1769.57	1709.26	1757.34	2018.8	1832.01	1529.73
PHF23	336.79	376.41	409.15	400.71	466.88	351.14	466.88	198.47	361.04	343.89	361.04	848.22	808.0	728.11	842.36	497.0	743.43	571.05	785.88	703.28	559.28	941.27	753.83	679.29	688.78	688.78	753.83	728.11	567.1	764.36	878.17	612.11	660.68	934.76	748.61	947.83	748.61	995.0	769.69	551.56	466.88	470.14	595.34	775.05	928.3	536.45	579.04	769.69	967.76	507.46	647.07	748.61	642.59	785.88	791.35	708.18	1119.56	733.19	928.3	514.56	743.43	480.04	842.36	995.0	995.0	825.0	1051.79	791.35	753.83	813.63	555.41	947.83	684.02	753.83	633.73	780.44	961.07	764.36	599.49	718.08	616.37	713.11	647.07
PPM1G	780.44	830.75	872.1	688.78	638.15	543.96	575.03	679.29	759.08	656.11	848.22	1733.13	1295.13	1369.04	1639.59	1096.5	1477.58	1104.13	1628.26	1427.22	1233.75	1498.22	1388.16	1268.46	1250.98	1277.29	1369.04	1407.55	1044.52	1313.23	1397.83	1467.37	1685.71	1950.0	1477.58	1498.22	1651.0	1950.0	1250.98	1225.22	947.83	1175.27	1143.1	1508.65	1733.13	1111.82	1331.57	1519.15	1594.73	1225.22	1216.75	1331.57	1594.73	1073.91	1639.59	1216.75	1950.0	1437.15	1350.18	1081.39	1733.13	1059.11	1487.87	1417.35	1378.57	1639.59	1605.83	1467.37	1697.45	1540.37	988.12	1685.71	1378.57	1685.71	1407.55	1340.84	1259.69	1175.27	1378.57	1427.22	1674.06	1427.22	1151.06
PPP1R8	318.57	220.32	262.2	234.57	281.09	217.27	264.03	246.28	236.21	312.0	239.52	713.11	785.88	791.35	753.83	559.28	629.35	514.56	802.41	679.29	514.56	738.29	669.92	708.18	435.55	536.45	775.05	703.28	647.07	603.67	647.07	679.29	738.29	669.92	660.68	866.07	748.61	878.17	665.29	688.78	555.41	624.99	409.15	802.41	785.88	603.67	620.67	708.18	780.44	503.95	503.95	679.29	575.03	493.56	775.05	723.08	791.35	665.29	599.49	536.45	595.34	497.0	723.08	791.35	470.14	660.68	796.86	769.69	603.67	674.59	444.72	669.92	708.18	775.05	620.67	543.96	633.73	587.13	688.78	669.92	718.08	669.92	698.41
PRKCD	299.25	320.8	366.09	164.42	112.77	161.02	176.29	86.43	56.28	71.0	647.07	1340.84	1175.27	1268.46	1819.35	1369.04	1781.89	1059.11	1359.57	1407.55	1407.55	2468.49	1286.18	1183.45	2047.0	961.07	1709.26	1259.69	1199.98	1794.29	2384.37	1437.15	1685.71	1870.53	1540.37	2061.24	1529.73	1447.15	1119.56	1081.39	1030.12	1313.23	1844.76	1378.57	1477.58	1073.91	1096.5	1359.57	1963.57	1313.23	896.64	2018.8	1605.83	1001.93	1794.29	1467.37	1551.09	1407.55	1378.57	1322.37	1378.57	1519.15	1870.53	2047.0	1340.84	1697.45	1437.15	1498.22	1561.89	1963.57	961.07	1857.6	1359.57	1350.18	1225.22	1896.65	1529.73	981.29	1498.22	1135.2	1769.57	1651.0	1322.37
PSMC1	1304.15	1199.98	1216.75	1331.57	1322.37	1073.91	1340.84	1397.83	1208.34	1369.04	1104.13	2271.4	1909.85	2047.0	2502.97	1697.45	2384.37	1757.34	2351.53	2004.85	1628.26	2335.28	2303.12	1769.57	1832.01	1991.0	2573.36	2133.97	1721.16	2209.26	2004.85	2271.4	2209.26	2835.7	2061.24	2468.49	2255.7	2777.33	1745.2	1594.73	1721.16	1745.2	1674.06	2075.59	2555.58	1844.76	1923.14	2451.44	2520.38	1709.26	1769.57	1909.85	2255.7	1781.89	2255.7	1781.89	2351.53	1909.85	2271.4	1674.06	2537.92	1605.83	2240.11	2417.67	1757.34	2335.28	2591.27	2319.15	2520.38	2090.03	1529.73	2335.28	2255.7	2434.5	1991.0	1794.29	1896.65	1561.89	1806.78	1857.6	2335.28	2303.12	1721.16
PSMD2	1242.34	1757.34	1857.6	988.12	941.27	866.07	1104.13	1104.13	1233.75	1081.39	1721.16	3395.89	2417.67	2537.92	3372.43	2434.5	3325.99	2133.97	3419.52	2816.11	2240.11	2777.33	2835.7	2367.9	2319.15	2664.15	2997.45	2609.3	2032.85	2875.3	2701.35	2682.69	3690.52	4152.18	2664.15	3257.52	3419.52	3874.05	2209.26	2209.26	1870.53	2502.97	2384.37	2956.17	3794.3	2485.67	2351.53	3168.41	3395.89	2255.7	2004.85	2997.45	2976.74	2163.77	3212.66	2351.53	3955.48	2502.97	2645.74	2417.67	3280.18	2119.22	2915.45	2915.45	2664.15	3491.39	3325.99	3349.13	2555.58	2777.33	2255.7	3039.3	2895.31	3540.14	2335.28	2664.15	2417.67	2004.85	2351.53	2682.69	3395.89	2997.45	2271.4
PSME3	583.07	693.58	769.69	423.61	406.31	316.37	273.37	466.88	532.74	444.72	674.59	1583.71	1295.13	1295.13	1572.76	1030.12	1447.15	866.07	1605.83	1268.46	872.1	1340.84	1304.15	1175.27	866.07	1111.82	1498.22	1331.57	974.5	1119.56	1225.22	1437.15	1407.55	1662.49	1143.1	1594.73	1508.65	2061.24	1015.93	848.22	995.0	1127.35	961.07	1388.16	1639.59	1096.5	967.76	1477.58	1639.59	1088.92	902.89	1104.13	1340.84	928.3	1388.16	981.29	1685.71	1175.27	1208.34	890.44	1551.09	819.3	1313.23	1378.57	1135.2	1427.22	1685.71	1397.83	1216.75	1268.46	915.51	1561.89	1277.29	1487.87	1051.79	860.08	1073.91	981.29	981.29	1313.23	1583.71	1286.18	1175.27
RAVER1	275.28	299.25	281.09	90.14	123.5	84.04	112.77	178.77	133.36	152.28	208.38	579.04	457.25	525.39	500.46	395.18	595.34	403.5	500.46	665.29	348.71	525.39	327.56	454.09	406.31	406.31	409.15	514.56	432.53	466.88	616.37	500.46	567.1	579.04	470.14	551.56	567.1	607.87	450.94	406.31	312.0	429.54	361.04	511.0	743.43	521.76	356.05	555.41	647.07	435.55	373.81	470.14	429.54	353.59	587.13	480.04	575.03	438.59	483.38	356.05	503.95	379.04	532.74	460.44	432.53	616.37	483.38	463.65	387.02	518.15	327.56	660.68	603.67	607.87	417.77	381.68	343.89	379.04	521.76	540.19	547.75	567.1	525.39
RBM15B	206.94	241.19	239.52	80.57	140.04	122.64	78.34	148.09	125.24	140.04	234.57	460.44	423.61	441.64	409.15	283.05	392.44	323.03	450.94	348.71	273.37	444.72	307.69	323.03	376.41	291.04	460.44	373.81	318.57	336.79	392.44	358.54	457.25	403.5	389.72	412.0	384.34	441.64	412.0	400.71	351.14	305.55	285.03	450.94	473.41	339.14	351.14	438.59	463.65	271.48	379.04	397.93	312.0	289.02	483.38	406.31	493.56	323.03	400.71	249.73	346.29	323.03	420.68	476.71	323.03	450.94	514.56	423.61	435.55	395.18	277.2	414.87	387.02	444.72	291.04	361.04	295.11	320.8	397.93	327.56	417.77	373.81	384.34
RBM4	1896.65	2004.85	2163.77	1001.93	1508.65	1096.5	1250.98	1135.2	1769.57	1104.13	2255.7	3820.7	2682.69	2875.3	3515.68	2047.0	3325.99	2367.9	3018.3	2664.15	2520.38	4066.71	2682.69	2400.97	2133.97	2193.99	3168.41	3349.13	2287.2	2895.31	3081.75	3395.89	2976.74	3395.89	3190.46	3212.66	3540.14	3794.3	2875.3	2319.15	2133.97	2193.99	2537.92	3768.09	3589.58	2209.26	2367.9	3349.13	3540.14	2485.67	2351.53	2956.17	2875.3	2451.44	3018.3	2104.58	4010.71	3081.75	3325.99	3039.3	3372.43	2555.58	3303.0	3372.43	2935.74	3257.52	3716.2	2555.58	3168.41	3146.52	2061.24	3742.05	2997.45	3443.31	2451.44	2682.69	2502.97	2895.31	2976.74	2209.26	3540.14	3039.3	2739.08
RRAGA	1242.34	1183.45	1313.23	915.51	974.5	743.43	769.69	884.29	1104.13	1044.52	1119.56	2434.5	1977.24	1950.0	2555.58	1572.76	2178.83	1529.73	2178.83	1757.34	1757.34	2224.63	1963.57	1529.73	1407.55	1350.18	2367.9	1950.0	1457.23	1781.89	2178.83	2240.11	2090.03	2485.67	2224.63	2319.15	2351.53	2537.92	1651.0	1427.22	1551.09	1437.15	1397.83	2148.82	2434.5	1519.15	1605.83	2133.97	2627.46	1628.26	1369.04	2148.82	1991.0	1519.15	2224.63	1733.13	2335.28	1628.26	2537.92	1781.89	2133.97	1498.22	2004.85	2384.37	1685.71	2287.2	2451.44	2075.59	2384.37	2255.7	1674.06	2627.46	2133.97	2271.4	1794.29	1551.09	1529.73	1427.22	1709.26	1617.0	2502.97	2090.03	1487.87
RTCB	698.41	642.59	660.68	743.43	748.61	791.35	791.35	802.41	769.69	872.1	587.13	1674.06	1233.75	1498.22	1467.37	1066.48	1540.37	981.29	1583.71	1143.1	1183.45	1583.71	1417.35	954.43	1594.73	988.12	1498.22	1295.13	981.29	1277.29	1397.83	1397.83	1757.34	1781.89	1477.58	1651.0	1781.89	1781.89	1023.0	988.12	928.3	915.51	1073.91	1427.22	1896.65	1044.52	1111.82	1551.09	1745.2	1051.79	1008.9	1417.35	1268.46	1096.5	1674.06	947.83	1781.89	1295.13	1508.65	1159.07	1388.16	1008.9	1519.15	1447.15	1242.34	1605.83	1685.71	1331.57	1594.73	1529.73	988.12	1583.71	1529.73	1628.26	1304.15	1059.11	1119.56	791.35	1277.29	1199.98	1685.71	1477.58	981.29
SCAMP2	1175.27	909.17	1088.92	830.75	728.11	638.15	708.18	802.41	909.17	642.59	954.43	2148.82	1477.58	1794.29	2178.83	1407.55	2104.58	1096.5	2133.97	1551.09	1467.37	1896.65	1628.26	1225.22	1697.45	1208.34	2018.8	1806.78	1350.18	1832.01	1794.29	1963.57	2133.97	2417.67	1909.85	1896.65	2075.59	2351.53	1477.58	1225.22	1059.11	1322.37	1617.0	1963.57	1977.24	1208.34	1268.46	2018.8	2163.77	1594.73	1233.75	1769.57	1870.53	1183.45	2061.24	1286.18	2224.63	1781.89	1963.57	1457.23	2271.4	1322.37	1977.24	2104.58	1467.37	1991.0	2209.26	1950.0	2047.0	2004.85	1427.22	2351.53	2047.0	1977.24	1529.73	1286.18	1437.15	1487.87	1417.35	1457.23	2061.24	1857.6	1175.27
SCAMP3	1023.0	728.11	796.86	878.17	854.13	1199.98	1059.11	612.11	629.35	848.22	698.41	1651.0	1447.15	1487.87	1477.58	1286.18	1427.22	1322.37	1617.0	1721.16	1191.69	1551.09	1477.58	1259.69	890.44	1617.0	1397.83	1540.37	1529.73	1427.22	1806.78	1674.06	1508.65	1936.53	1417.35	1369.04	1781.89	1769.57	1407.55	1639.59	1167.14	1417.35	1081.39	1477.58	1963.57	1427.22	1769.57	1477.58	1605.83	1572.76	1096.5	1662.49	1628.26	1388.16	1378.57	1583.71	1781.89	1295.13	1923.14	1388.16	1651.0	1295.13	1674.06	1378.57	1388.16	1794.29	1467.37	1350.18	2224.63	1427.22	1295.13	1936.53	1477.58	1487.87	1369.04	1437.15	1295.13	1487.87	1561.89	1628.26	1594.73	1540.37	1437.15
SF3B4	591.22	764.36	540.19	384.34	466.88	211.31	285.03	334.46	420.68	339.14	607.87	1447.15	1119.56	1208.34	1295.13	872.1	1167.14	915.51	1388.16	1073.91	1030.12	1350.18	967.76	909.17	890.44	915.51	1286.18	1359.57	808.0	1081.39	1191.69	1191.69	1208.34	1437.15	1359.57	1331.57	1340.84	1508.65	921.88	947.83	890.44	872.1	884.29	1369.04	1733.13	1037.29	1030.12	1427.22	1583.71	1073.91	866.07	1208.34	1259.69	1008.9	1295.13	974.5	1427.22	1159.07	1551.09	921.88	1313.23	947.83	1427.22	1322.37	1015.93	1467.37	1498.22	1143.1	1437.15	1350.18	896.64	1594.73	1340.84	1340.84	1081.39	890.44	759.08	866.07	1175.27	1088.92	1369.04	1199.98	967.76
SLC30A2	0.36	0.85	4.94	0.0	2.92	0.0	0.44	0.0	0.0	13.62	3.79	420.68	118.43	258.57	463.65	42.71	878.17	66.18	466.88	529.06	87.65	665.29	2351.53	127.0	591.22	57.08	287.01	246.28	87.03	1277.29	825.0	842.36	356.05	1037.29	125.24	466.88	909.17	1583.71	147.06	214.27	197.09	74.58	285.03	132.44	353.59	94.01	223.41	780.44	463.65	244.57	117.6	1001.93	571.05	30.78	713.11	55.49	587.13	1015.93	808.0	126.12	209.84	49.21	241.19	371.22	199.85	366.09	603.67	988.12	988.12	2537.92	65.26	426.57	551.56	660.68	211.31	684.02	486.75	473.41	83.45	146.03	454.09	688.78	138.1
SMG8	90.77	25.17	56.68	46.5	83.45	60.39	52.08	93.35	65.72	74.58	50.27	193.01	177.53	150.17	181.28	105.15	151.22	92.7	186.4	92.7	90.14	232.94	146.03	111.21	103.69	100.83	171.45	172.65	132.44	138.1	164.42	181.28	156.59	181.28	195.72	172.65	205.5	223.41	102.97	175.07	123.5	94.67	96.01	214.27	237.86	117.6	125.24	157.68	206.94	106.63	127.0	182.55	125.24	90.14	172.65	193.01	177.53	143.01	150.17	120.94	170.25	90.77	182.55	193.01	83.45	201.25	205.5	193.01	161.02	189.02	83.45	206.94	193.01	186.4	100.83	123.5	92.05	129.69	162.14	99.43	195.72	171.45	162.14
SMU1	551.56	595.34	579.04	480.04	403.5	260.38	356.05	429.54	460.44	483.38	514.56	1208.34	974.5	981.29	1073.91	728.11	1044.52	785.88	967.76	915.51	848.22	1167.14	1059.11	854.13	688.78	669.92	1135.2	1167.14	603.67	819.3	1037.29	1073.91	1066.48	1143.1	1104.13	1066.48	1051.79	1242.34	791.35	633.73	603.67	759.08	738.29	1044.52	1030.12	684.02	748.61	1088.92	1119.56	748.61	679.29	909.17	872.1	743.43	1088.92	743.43	1167.14	1037.29	915.51	884.29	1030.12	703.28	1001.93	1081.39	842.36	1143.1	1359.57	909.17	796.86	1015.93	738.29	1167.14	1044.52	1104.13	954.43	708.18	848.22	656.11	698.41	866.07	1104.13	1044.52	708.18
SZRD1	1051.79	1268.46	1143.1	397.93	656.11	688.78	612.11	698.41	728.11	902.89	1806.78	2271.4	1733.13	1870.53	2240.11	1519.15	2148.82	1286.18	2209.26	1781.89	1331.57	1923.14	1769.57	1806.78	1721.16	1457.23	2271.4	1991.0	1427.22	1819.35	1781.89	2119.22	2163.77	2287.2	1936.53	2148.82	1857.6	2319.15	1923.14	1662.49	1651.0	1697.45	1844.76	2075.59	2240.11	1498.22	1883.54	1923.14	2119.22	1378.57	1508.65	1896.65	2032.85	1407.55	2090.03	1819.35	2384.37	1628.26	1950.0	1417.35	2178.83	1457.23	1844.76	2075.59	1508.65	2018.8	2224.63	2047.0	1896.65	2178.83	1051.79	2133.97	1685.71	2271.4	1457.23	1991.0	1529.73	2018.8	1498.22	1745.2	1883.54	1832.01	1794.29
TG	21.78	75.64	6.06	46.5	5.06	59.55	31.0	26.86	26.1	17.51	12.83	1364554.84	2068278.89	1452391.55	2247670.86	894051.48	2126426.15	762299.34	1327240.99	1751305.3	1273174.62	1273174.62	1503610.06	2375828.71	2111737.85	1611529.43	1611529.43	1299926.74	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1336472.68	1997825.68	1290947.48	1139523.1	1984025.69	2986448.72	1567462.05	1472666.19	2025714.3	1318073.06	1196176.45	2425749.94	1402917.72	1929772.37	1299926.74	1327240.99	1212874.47	1943195.01	1048575.0	1727194.55	1589343.01	1355129.16	1336472.68	2636147.11	1063212.58	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1238359.56	1668359.93	1800541.22	3178687.03	3886391.01	558035.51	1645391.11	1622738.51	2263304.65	1535204.12	2672946.37	1514068.5	1567462.05	1864037.21	1634025.56	1402917.72	1063212.58	1482909.4
TMEM127	629.35	633.73	688.78	229.72	305.55	389.72	327.56	366.09	511.0	438.59	389.72	890.44	819.3	733.19	909.17	651.58	764.36	579.04	954.43	872.1	503.95	791.35	848.22	684.02	607.87	579.04	791.35	884.29	587.13	674.59	860.08	796.86	866.07	878.17	813.63	733.19	718.08	995.0	909.17	723.08	490.14	723.08	612.11	842.36	759.08	651.58	748.61	703.28	808.0	591.22	511.0	759.08	708.18	595.34	785.88	723.08	866.07	819.3	607.87	642.59	796.86	620.67	764.36	780.44	674.59	915.51	947.83	915.51	638.15	890.44	507.46	995.0	665.29	854.13	698.41	684.02	629.35	728.11	616.37	791.35	830.75	791.35	708.18
TOE1	171.45	74.58	94.67	77.79	101.54	123.5	67.59	88.88	146.03	105.15	114.36	373.81	258.57	320.8	381.68	176.29	305.55	198.47	305.55	293.07	193.01	348.71	299.25	214.27	249.73	187.71	327.56	343.89	285.03	287.01	356.05	303.44	387.02	329.84	381.68	361.04	314.17	426.57	232.94	361.04	221.86	242.88	148.09	329.84	381.68	226.54	241.19	400.71	363.56	229.72	256.78	341.51	295.11	206.94	387.02	305.55	389.72	289.02	351.14	262.2	320.8	204.07	353.59	346.29	264.03	353.59	395.18	295.11	329.84	327.56	167.9	351.14	346.29	381.68	244.57	215.77	198.47	248.0	312.0	226.54	361.04	363.56	291.04
TP53RK	101.54	100.83	117.6	105.15	59.97	77.79	39.79	63.45	116.78	81.14	102.25	241.19	194.36	171.45	226.54	107.38	178.77	121.79	223.41	150.17	116.78	228.13	165.57	165.57	145.02	178.77	208.38	201.25	131.51	177.53	177.53	208.38	163.28	214.27	202.66	244.57	223.41	279.14	183.82	148.09	140.04	148.09	141.02	214.27	312.0	155.5	136.19	193.01	277.2	151.22	149.12	202.66	191.67	131.51	224.97	164.42	249.73	146.03	226.54	175.07	231.32	126.12	217.27	221.86	175.07	223.41	271.48	189.02	232.94	180.02	134.3	197.09	173.85	255.0	136.19	182.55	183.82	165.57	142.01	150.17	214.27	202.66	197.09
TRAPPC4	1159.07	819.3	1051.79	733.19	848.22	579.04	802.41	559.28	1008.9	543.96	669.92	1896.65	1529.73	1417.35	2351.53	1350.18	1583.71	1417.35	1769.57	1551.09	1498.22	1628.26	1639.59	1340.84	1216.75	1477.58	1870.53	1709.26	1781.89	1617.0	1909.85	2047.0	1639.59	2018.8	2018.8	1909.85	2682.69	2104.58	1397.83	1340.84	1208.34	1199.98	1359.57	1923.14	2720.15	1457.23	1427.22	1594.73	1769.57	1304.15	1437.15	1963.57	1794.29	1313.23	1950.0	1388.16	2468.49	1769.57	1639.59	1794.29	2047.0	1561.89	2148.82	1745.2	1757.34	2367.9	1883.54	1378.57	1628.26	1794.29	1304.15	2133.97	1529.73	1745.2	1498.22	1427.22	1709.26	1208.34	1572.76	1447.15	2133.97	2119.22	1477.58
VPS18	206.94	173.85	142.01	176.29	135.24	140.04	134.3	130.6	149.12	161.02	167.9	460.44	248.0	318.57	432.53	262.2	400.71	242.88	423.61	269.6	258.57	363.56	325.29	237.86	403.5	267.73	420.68	318.57	248.0	323.03	348.71	356.05	460.44	450.94	400.71	381.68	412.0	420.68	285.03	334.46	246.28	244.57	277.2	387.02	429.54	253.23	323.03	346.29	414.87	256.78	236.21	397.93	356.05	293.07	409.15	273.37	463.65	307.69	361.04	258.57	389.72	264.03	371.22	356.05	295.11	457.25	400.71	371.22	466.88	389.72	201.25	409.15	373.81	426.57	305.55	307.69	234.57	239.52	295.11	273.37	395.18	368.65	301.33
XRN2	414.87	500.46	500.46	221.86	341.51	334.46	307.69	358.54	381.68	329.84	642.59	1023.0	860.08	974.5	896.64	669.92	909.17	728.11	1008.9	842.36	616.37	1008.9	884.29	848.22	684.02	674.59	1001.93	1015.93	616.37	775.05	896.64	909.17	1015.93	1081.39	921.88	1059.11	1081.39	1359.57	656.11	679.29	802.41	743.43	647.07	902.89	1127.35	769.69	785.88	1015.93	1088.92	656.11	796.86	842.36	703.28	656.11	988.12	753.83	1044.52	785.88	830.75	571.05	921.88	674.59	988.12	1023.0	728.11	1088.92	1277.29	1001.93	708.18	915.51	633.73	954.43	995.0	1023.0	738.29	679.29	902.89	743.43	616.37	785.88	1066.48	884.29	825.0
YKT6	708.18	723.08	684.02	217.27	265.87	193.01	178.77	258.57	279.14	373.81	599.49	1359.57	1015.93	1066.48	1447.15	961.07	1304.15	836.53	1277.29	1127.35	785.88	1111.82	1175.27	928.3	947.83	1096.5	1199.98	1073.91	921.88	1143.1	1135.2	1295.13	1051.79	1519.15	1159.07	1268.46	1378.57	1508.65	1059.11	928.3	791.35	967.76	890.44	1183.45	1628.26	981.29	1030.12	1378.57	1225.22	1081.39	808.0	1088.92	1295.13	954.43	1159.07	1037.29	1551.09	1037.29	1167.14	902.89	1572.76	995.0	1331.57	1151.06	988.12	1397.83	1519.15	1175.27	1151.06	1250.98	854.13	1250.98	1037.29	1457.23	896.64	1066.48	878.17	878.17	934.76	1059.11	1322.37	1096.5	1023.0
ZDHHC5	587.13	559.28	575.03	283.05	470.14	441.64	480.04	409.15	579.04	579.04	435.55	1199.98	915.51	1008.9	1175.27	769.69	1096.5	612.11	995.0	988.12	669.92	1175.27	995.0	872.1	884.29	679.29	1127.35	1008.9	738.29	866.07	1008.9	921.88	1191.69	1081.39	974.5	1037.29	902.89	1208.34	928.3	909.17	708.18	860.08	791.35	1044.52	1059.11	860.08	878.17	974.5	1059.11	796.86	830.75	890.44	981.29	647.07	1073.91	909.17	1250.98	1001.93	848.22	728.11	1111.82	764.36	974.5	1119.56	738.29	1143.1	1208.34	1051.79	1037.29	1059.11	698.41	1059.11	896.64	1096.5	796.86	872.1	934.76	995.0	753.83	884.29	1059.11	967.76	878.17
ZNF48	82.29	69.52	111.99	26.47	63.45	95.34	87.65	41.52	47.5	63.89	53.19	140.04	112.77	114.36	123.5	94.67	102.97	85.82	139.07	108.9	81.71	126.12	108.14	85.82	83.45	96.68	88.26	117.6	97.36	113.56	123.5	111.21	162.14	129.69	135.24	112.77	115.16	123.5	124.37	117.6	68.55	92.05	88.88	149.12	122.64	101.54	118.43	113.56	149.12	100.83	115.16	126.12	114.36	83.45	112.77	130.6	158.79	106.63	126.12	85.82	118.43	96.68	141.02	135.24	75.11	144.01	127.0	126.12	119.26	115.97	88.88	153.34	115.97	139.07	96.68	140.04	112.77	106.63	130.6	92.05	129.69	115.97	133.36
ZNF622	255.0	173.85	185.11	400.71	293.07	269.6	312.0	441.64	358.54	397.93	172.65	679.29	587.13	583.07	629.35	368.65	579.04	409.15	616.37	679.29	397.93	753.83	511.0	470.14	551.56	412.0	669.92	607.87	435.55	587.13	688.78	642.59	718.08	679.29	616.37	688.78	708.18	769.69	457.25	723.08	450.94	486.75	414.87	693.58	759.08	525.39	571.05	616.37	780.44	387.02	629.35	591.22	511.0	397.93	656.11	457.25	825.0	497.0	525.39	486.75	620.67	417.77	684.02	753.83	438.59	748.61	780.44	521.76	642.59	638.15	309.83	713.11	529.06	651.58	518.15	525.39	493.56	624.99	532.74	486.75	656.11	583.07	529.06
