	GTEX.QLQW.1626.SM.4R1K1	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.A5Y1.01A.11R.A28H.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07
GCNT2	358.54	341.51	165.57	358.54	253.23	228.13	348.71	309.83	229.72	297.17	152.28	389.72	170.25	110.43	185.11	140.04	197.09	115.16	156.59	166.73	151.22	224.97	111.99	149.12	182.55	450.94	120.94	126.12	209.84	429.54	447.82	89.51	189.02	169.07	94.01	780.44	140.04	253.23	120.94	199.85	232.94
GFPT1	595.34	780.44	283.05	403.5	693.58	532.74	503.95	1331.57	476.71	698.41	341.51	273.37	208.38	228.13	236.21	327.56	361.04	242.88	275.28	224.97	299.25	293.07	146.03	314.17	154.42	309.83	161.02	325.29	185.11	813.63	463.65	187.71	493.56	334.46	182.55	738.29	884.29	241.19	629.35	199.85	412.0
GPRASP2	269.6	348.71	92.05	232.94	299.25	295.11	346.29	346.29	246.28	366.09	180.02	163.28	102.25	121.79	65.72	75.64	116.78	104.42	187.71	169.07	158.79	215.77	31.9	143.01	108.9	346.29	105.89	158.79	65.26	486.75	101.54	39.79	152.28	327.56	52.08	429.54	228.13	76.17	155.5	142.01	376.41
HUWE1	1487.87	1407.55	909.17	1417.35	1617.0	1697.45	1467.37	1447.15	1651.0	1529.73	1225.22	1313.23	842.36	1051.79	909.17	961.07	967.76	1051.79	1081.39	1037.29	1143.1	854.13	848.22	1015.93	1359.57	1662.49	769.69	1183.45	1066.48	2417.67	1143.1	995.0	1208.34	1977.24	934.76	1519.15	1268.46	988.12	1594.73	728.11	1498.22
IGF2R	1733.13	1331.57	633.73	1540.37	1745.2	1242.34	1044.52	854.13	1183.45	1313.23	684.02	476.71	376.41	432.53	536.45	708.18	921.88	571.05	780.44	842.36	896.64	1143.1	303.44	791.35	909.17	1081.39	493.56	813.63	414.87	2701.35	1709.26	426.57	947.83	591.22	187.71	2163.77	1277.29	269.6	902.89	693.58	1159.07
INCENP	371.22	224.97	100.13	153.34	212.78	221.86	161.02	267.73	208.38	165.57	122.64	115.16	44.25	90.14	93.35	145.02	111.21	101.54	76.17	112.77	111.21	102.97	88.88	131.51	159.9	232.94	88.88	133.36	75.11	273.37	212.78	177.53	141.02	135.24	49.91	211.31	144.01	62.12	204.07	29.91	185.11
INTS6	236.21	358.54	157.68	392.44	341.51	339.14	392.44	473.41	314.17	463.65	273.37	171.45	119.26	190.34	149.12	242.88	123.5	164.42	234.57	176.29	185.11	129.69	157.68	218.79	212.78	231.32	110.43	229.72	113.56	529.06	314.17	153.34	202.66	389.72	113.56	363.56	277.2	114.36	312.0	106.63	307.69
KIAA1024	3.86	6.11	0.34	3.47	4.54	5.41	5.41	7.06	3.17	6.11	4.62	2.01	0.29	2.94	1.31	0.99	1.3	0.96	2.76	2.53	4.24	0.85	4.46	3.53	1.36	6.52	0.59	1.91	2.51	12.27	1.38	3.59	2.05	7.11	0.66	8.58	3.41	0.0	7.51	1.13	3.32
MAN2B2	536.45	426.57	299.25	429.54	551.56	409.15	591.22	291.04	473.41	507.46	253.23	267.73	176.29	127.0	183.82	343.89	493.56	199.85	358.54	470.14	314.17	334.46	198.47	381.68	214.27	497.0	124.37	231.32	271.48	941.27	591.22	329.84	454.09	480.04	124.37	1073.91	1191.69	332.14	503.95	346.29	423.61
MARCH7	836.53	1127.35	400.71	928.3	1119.56	1066.48	1015.93	2451.44	995.0	1183.45	629.35	693.58	281.09	414.87	329.84	559.28	361.04	486.75	575.03	547.75	684.02	447.82	248.0	591.22	775.05	486.75	426.57	607.87	343.89	967.76	703.28	373.81	669.92	1119.56	291.04	1119.56	890.44	275.28	813.63	236.21	967.76
MYOZ3	16.27	5.82	9.06	3.92	13.42	28.86	12.74	12.09	10.96	19.53	3.35	0.36	1.75	1.35	1.35	3.63	4.35	4.46	0.42	1.83	5.54	0.88	3.86	12.18	0.71	0.68	1.2	1.93	0.97	19.68	4.17	0.68	4.86	9.63	1.0	28.86	4.74	0.33	17.13	0.0	14.03
NAP1L2	878.17	95.34	76.71	61.68	189.02	139.07	231.32	279.14	187.71	161.02	39.5	121.79	14.45	45.53	2.94	49.91	44.57	72.01	43.02	36.53	65.72	40.07	7.0	58.71	108.9	98.04	30.78	39.79	43.94	232.94	66.65	0.35	316.37	98.73	20.11	101.54	283.05	46.5	52.08	31.9	171.45
NOP14	579.04	409.15	255.0	329.84	392.44	435.55	368.65	316.37	432.53	438.59	265.87	379.04	244.57	277.2	232.94	244.57	190.34	215.77	301.33	293.07	329.84	223.41	332.14	265.87	271.48	336.79	281.09	305.55	255.0	341.51	381.68	241.19	305.55	371.22	387.02	435.55	361.04	305.55	287.01	265.87	346.29
NUP153	555.41	423.61	191.67	356.05	438.59	460.44	438.59	599.49	397.93	567.1	248.0	249.73	101.54	149.12	117.6	208.38	189.02	172.65	271.48	187.71	258.57	177.53	136.19	234.57	273.37	447.82	166.73	217.27	119.26	463.65	279.14	156.59	182.55	343.89	76.17	414.87	212.78	114.36	312.0	86.43	387.02
NUP62	915.51	902.89	547.75	638.15	769.69	813.63	587.13	599.49	791.35	633.73	848.22	802.41	432.53	555.41	450.94	543.96	651.58	579.04	733.19	603.67	679.29	490.14	406.31	603.67	819.3	836.53	567.1	607.87	490.14	698.41	884.29	708.18	500.46	1037.29	454.09	796.86	559.28	463.65	1001.93	441.64	825.0
NUP98	1051.79	718.08	518.15	647.07	713.11	830.75	819.3	878.17	796.86	934.76	638.15	616.37	353.59	426.57	366.09	438.59	575.03	420.68	743.43	536.45	599.49	476.71	457.25	514.56	665.29	860.08	463.65	450.94	277.2	954.43	633.73	514.56	612.11	808.0	366.09	743.43	688.78	368.65	872.1	400.71	738.29
PAK3	13.52	10.79	7.34	0.44	16.75	22.26	14.35	18.29	13.32	20.86	19.39	12.27	0.3	1.66	0.34	10.08	0.44	5.73	7.51	0.38	5.82	0.44	1.3	2.58	20.41	8.19	1.19	4.78	0.33	47.17	1.73	0.0	2.76	46.5	0.34	41.81	0.44	1.85	22.1	1.13	22.75
