	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.131YS.0626.SM.5EGKL	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7247.01A.11R.2016.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN
SLC7A9	0.0	4.58	9.78	1.08	27.25	12.93	7.4	1.87	10.63	18.16	13.42	9.93	2.03	1.04	3.29	0.0	0.0	0.36	1.93	0.65
SOWAHA	1.25	17.64	264.03	1.99	175.07	77.79	6.89	49.56	182.55	3.99	438.59	33.54	78.34	0.66	2.18	0.95	0.0	0.06	0.68	0.32
SPIN2B	125.24	133.36	305.55	187.71	224.97	251.48	167.9	169.07	275.28	277.2	361.04	269.6	260.38	77.79	46.5	52.45	0.0	0.41	253.23	182.55
SUOX	26.67	563.18	633.73	281.09	791.35	872.1	327.56	497.0	579.04	713.11	575.03	759.08	642.59	62.12	178.77	142.01	0.0	0.16	115.97	289.02
SYTL3	84.04	118.43	224.97	197.09	232.94	176.29	181.28	47.17	146.03	251.48	224.97	239.52	187.71	64.8	55.49	139.07	0.0	0.39	90.14	82.87
TESK2	59.97	105.15	389.72	96.68	420.68	269.6	110.43	52.08	163.28	403.5	255.0	414.87	244.57	152.28	104.42	65.72	0.0	0.48	49.91	58.71
TIGD6	42.11	155.5	139.07	68.07	256.78	166.73	173.85	197.09	182.55	208.38	285.03	269.6	130.6	53.95	70.01	61.68	0.0	0.07	35.0	65.72
UBA7	58.3	312.0	2367.9	616.37	1457.23	2193.99	802.41	866.07	764.36	1519.15	2627.46	2384.37	764.36	142.01	130.6	25.54	0.0	0.92	212.78	170.25
UBXN10	0.96	18.7	187.71	9.7	392.44	361.04	32.82	20.26	114.36	140.04	67.59	295.11	175.07	2.03	17.38	2.34	0.0	0.0	6.31	6.67
YY1AP1	497.0	860.08	1529.73	1208.34	2502.97	1950.0	1208.34	1304.15	2271.4	1977.24	2104.58	1991.0	1104.13	543.96	947.83	733.19	0.0	0.53	264.03	1651.0
ZNF687	181.28	403.5	460.44	241.19	1135.2	647.07	420.68	301.33	665.29	412.0	379.04	329.84	318.57	164.42	295.11	190.34	0.0	0.57	113.56	120.94
ZRSR2	118.43	279.14	559.28	260.38	563.18	423.61	269.6	429.54	356.05	543.96	660.68	791.35	356.05	92.05	183.82	86.43	0.0	0.56	99.43	264.03
