	TCGA.A6.5665.11A.01R.1653.07	TCGA.AA.3531.11A.01R.A32Z.07	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.W5WG.2426.SM.4LMI6	GTEX.14DAR.1526.SM.5RQIX	TCGA.KN.8433.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.7851.11A.01R.2203.13	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
LRRC66	205.5	154.42	555.41	660.68	191.67	237.86	197.09	127.89	93.35	181.28	275.28	221.86	2.43	0.45	20.41	0.92	19.53	129.69	12.74	204.07	532.74	229.72	11.91	2.07	2.94	1.08	2.73	3.96	0.0	1.08	1.25
MALL	4575.41	5711.87	10154.69	16843.62	3235.01	8901.53	5147.73	2178.83	1277.29	5292.48	7966.99	7280.4	82.29	80.57	74.06	33.06	183.82	1001.93	438.59	543.96	4671.57	543.96	423.61	145.02	299.25	67.59	2047.0	890.44	81.14	212.78	208.38
MARVELD3	2720.15	1896.65	2895.31	3491.39	1359.57	2485.67	1896.65	1561.89	854.13	2104.58	1909.85	2319.15	381.68	17.64	432.53	248.0	579.04	334.46	327.56	275.28	1605.83	133.36	112.77	497.0	224.97	161.02	215.77	82.29	387.02	226.54	384.34
MAST3	265.87	283.05	329.84	384.34	323.03	341.51	318.57	299.25	258.57	248.0	351.14	275.28	110.43	52.08	111.21	74.58	68.07	273.37	80.01	201.25	429.54	217.27	123.5	82.29	83.45	110.43	113.56	105.89	68.07	127.0	81.14
MEP1A	2178.83	2935.74	17197.56	24660.96	3874.05	16045.82	8658.09	2816.11	1044.52	10296.45	12160.22	14561.8	1.89	0.4	0.0	0.43	0.97	110.43	41.52	126.12	1397.83	9.78	94.01	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.57
MEP1B	848.22	94.67	1104.13	708.18	69.03	412.0	43.63	33.3	107.38	186.4	178.77	146.03	0.0	0.0	0.0	0.0	0.0	7.69	3.03	32.82	1540.37	8.13	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0
MGAT2	733.19	603.67	1001.93	1233.75	507.46	780.44	674.59	460.44	348.71	679.29	884.29	616.37	358.54	215.77	256.78	339.14	343.89	559.28	447.82	400.71	848.22	327.56	376.41	271.48	201.25	358.54	223.41	148.09	218.79	429.54	231.32
MISP	8718.32	19348.38	16727.26	25179.16	9088.59	18178.19	12764.83	6745.86	6471.02	10440.2	16045.82	13399.51	0.97	2.46	74.58	1.75	417.77	3639.7	860.08	4268.94	13776.25	358.54	109.66	4.21	0.96	0.93	2.78	101.54	1.85	1.93	6.67
MLX	1950.0	2075.59	2417.67	2520.38	2148.82	2351.53	2351.53	1883.54	1923.14	2047.0	2163.77	2193.99	503.95	1487.87	1359.57	961.07	1151.06	1259.69	915.51	1594.73	2193.99	1617.0	1487.87	1896.65	1477.58	1216.75	1216.75	780.44	1769.57	1340.84	1127.35
MMP28	825.0	1304.15	1331.57	4869.99	2303.12	2240.11	2451.44	1561.89	1104.13	3235.01	2119.22	4038.61	22.59	24.11	108.14	140.04	81.71	603.67	52.08	341.51	555.41	466.88	660.68	67.59	205.5	76.71	255.0	271.48	185.11	99.43	80.01
MOB3B	339.14	429.54	723.08	656.11	381.68	669.92	466.88	318.57	255.0	373.81	493.56	521.76	95.34	303.44	183.82	232.94	171.45	224.97	75.64	185.11	567.1	255.0	201.25	61.68	65.72	65.26	46.5	92.7	51.35	159.9	47.84
MOGAT2	518.15	567.1	5076.84	7081.29	5147.73	3847.29	5006.93	3443.31	1551.09	4543.8	5006.93	4607.24	0.0	0.0	8.99	0.0	1.43	178.77	1.3	185.11	2193.99	36.01	27.44	0.43	0.0	0.48	0.0	0.0	1.36	0.0	0.0
MOGAT3	389.72	316.37	1674.06	2351.53	1467.37	1268.46	1477.58	1277.29	1331.57	1378.57	1487.87	1175.27	0.0	0.0	185.11	5.63	35.25	59.55	4.62	24.11	255.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0
MT-CO1	1890058.21	1514068.5	1813064.98	1943195.01	2247670.86	1703415.74	1916442.45	2845004.48	2279047.19	2247670.86	1656835.72	1800541.22	4282434.24	3551506.25	5420519.65	3113270.58	4342214.81	2786455.11	3651352.71	2493947.08	1800541.22	2924988.47	3995652.37	3832885.91	7202167.89	4885245.74	3676749.88	6956835.58	5308966.95	3676749.88	9307742.35
MTMR11	2855.44	2609.3	4802.93	3901.01	4903.87	6294.04	5255.91	4038.61	3190.46	6037.61	4671.57	6250.56	40.64	180.02	651.58	579.04	312.0	708.18	848.22	551.56	1467.37	629.35	149.12	80.57	101.54	34.51	241.19	551.56	70.51	57.49	52.45
MUC13	9474.59	43840.21	25530.66	39510.91	12853.63	37639.55	24490.61	8598.28	3955.48	20451.65	26431.04	23820.89	0.0	0.0	45.85	2.14	356.05	5751.61	2075.59	8538.88	20310.37	1183.45	88.26	0.0	0.0	0.0	0.77	2.71	0.0	0.0	9.2
MYH14	6887.62	6207.38	8191.0	10368.08	5329.3	9279.58	7695.57	4095.0	3768.09	7280.4	7081.29	7032.37	808.0	17.38	543.96	16.39	384.34	2384.37	1857.6	1594.73	6294.04	1551.09	896.64	1096.5	1167.14	1457.23	1832.01	2018.8	2018.8	1427.22	988.12
MYO15B	21172.91	23009.42	18819.27	40621.74	7749.1	40341.14	15180.22	7911.95	15607.02	14561.8	23986.58	22692.63	1127.35	1322.37	5219.6	1008.9	5594.3	6699.25	9151.82	3982.99	23656.34	3419.52	1295.13	1685.71	1143.1	1030.12	5672.41	1529.73	1936.53	1427.22	1477.58
MYO1A	1417.35	2090.03	7382.04	9215.48	7081.29	7911.95	7180.15	6607.01	4903.87	6652.97	7130.55	7642.41	1.91	2.03	1.51	1.3	13.93	753.83	58.71	974.5	7911.95	902.89	69.03	3.92	0.66	0.0	2.66	5.36	1.6	3.29	0.75
MYO7B	2163.77	3257.52	4095.0	6250.56	4066.71	5517.27	5633.22	3847.29	3564.78	5112.16	4937.99	5219.6	11.64	7.88	1561.89	529.06	651.58	1457.23	239.52	723.08	3874.05	84.63	13.93	32.82	23.76	12.27	40.64	51.71	8.71	26.47	36.79
NAT1	540.19	373.81	1427.22	1119.56	579.04	974.5	669.92	536.45	511.0	684.02	813.63	708.18	44.89	62.12	75.64	58.71	76.17	412.0	117.6	473.41	525.39	156.59	242.88	40.93	12.45	39.5	17.13	80.57	55.89	18.03	25.54
NAT2	220.32	145.02	1477.58	1745.2	688.78	1111.82	728.11	555.41	293.07	842.36	1066.48	1030.12	0.0	1.55	5.82	4.94	106.63	177.53	0.66	87.65	356.05	7.51	48.87	0.44	1.13	0.0	0.0	0.0	1.01	0.0	0.65
NGEF	463.65	423.61	819.3	1088.92	941.27	1066.48	1073.91	842.36	665.29	1001.93	915.51	1250.98	11.91	25.54	111.99	64.8	77.25	112.77	19.97	187.71	753.83	318.57	113.56	10.39	9.56	6.78	27.44	651.58	14.45	15.68	17.25
NHSL1	500.46	486.75	728.11	723.08	518.15	497.0	490.14	463.65	432.53	595.34	599.49	660.68	74.06	38.4	162.14	47.5	138.1	205.5	256.78	320.8	1313.23	371.22	211.31	64.8	52.82	26.28	32.59	98.04	22.43	58.71	33.78
NR1I2	575.03	836.53	2287.2	2875.3	1359.57	2537.92	2468.49	1175.27	878.17	1651.0	2104.58	2004.85	0.97	4.86	5.06	1.31	1.48	193.01	6.46	256.78	693.58	193.01	8.92	2.66	0.0	2.48	6.52	2.41	3.82	0.45	6.52
NR5A2	221.86	232.94	791.35	728.11	438.59	555.41	616.37	363.56	232.94	525.39	642.59	738.29	6.52	5.15	3.96	3.79	13.72	84.63	44.25	55.49	351.14	30.12	23.08	30.78	44.57	12.27	55.49	42.41	13.83	22.43	22.1
OMP	46.84	37.59	72.01	82.29	52.82	65.26	72.52	47.17	47.5	78.89	75.64	59.55	9.85	4.43	0.0	0.0	0.0	13.12	16.39	18.84	67.59	13.42	6.94	0.0	0.0	5.77	2.92	0.0	0.0	1.77	0.0
PDCD6IP	5791.62	4704.07	6037.61	5479.15	3039.3	6426.31	3847.29	2485.67	2627.46	3325.99	4095.0	3847.29	743.43	2240.11	1397.83	1001.93	1331.57	3589.58	1477.58	3212.66	4268.94	2682.69	1685.71	1540.37	1572.76	1322.37	1407.55	1437.15	1540.37	1427.22	1407.55
PDXP	1175.27	796.86	974.5	2224.63	587.13	1268.46	733.19	629.35	616.37	536.45	896.64	728.11	244.57	195.72	718.08	389.72	429.54	301.33	223.41	229.72	872.1	218.79	497.0	217.27	312.0	187.71	231.32	155.5	180.02	351.14	163.28
PHYKPL	1870.53	1923.14	2178.83	2434.5	2537.92	3146.52	3039.3	2240.11	2255.7	2148.82	2319.15	2573.36	295.11	514.56	769.69	612.11	738.29	1104.13	1651.0	1242.34	1639.59	1001.93	563.18	1066.48	1175.27	1015.93	1628.26	575.03	1844.76	941.27	1369.04
PLAC8	8658.09	11504.21	26800.01	76861.91	11035.54	42346.82	22380.2	6207.38	10154.69	13681.08	31650.8	14971.21	12.74	15.34	37.05	20.56	156.59	5292.48	74.06	7433.4	6079.61	4152.18	890.44	40.64	26.86	12.0	15.45	723.08	37.05	53.19	59.97
PLCE1	587.13	460.44	954.43	688.78	738.29	688.78	819.3	511.0	435.55	836.53	679.29	896.64	180.02	60.39	48.87	28.86	48.87	190.34	89.51	139.07	297.17	249.73	98.04	209.84	269.6	271.48	409.15	141.02	142.01	49.56	49.91
PLD1	511.0	480.04	921.88	733.19	514.56	575.03	629.35	503.95	316.37	642.59	624.99	651.58	103.69	251.48	185.11	112.77	204.07	567.1	176.29	151.22	1081.39	563.18	149.12	104.42	54.72	62.12	117.6	180.02	48.87	48.87	186.4
PLEKHG6	2335.28	3018.3	3847.29	5041.77	2627.46	4358.66	3639.7	2976.74	2335.28	5913.33	3515.68	3419.52	1.46	1.25	8.13	3.5	77.25	642.59	327.56	583.07	1457.23	656.11	151.22	43.94	38.95	60.82	110.43	73.54	49.91	39.5	35.0
PLS1	4607.24	4903.87	12764.83	14663.09	2935.74	8901.53	4937.99	2163.77	1350.18	5441.3	7695.57	7280.4	26.28	470.14	603.67	607.87	1250.98	1359.57	500.46	1397.83	11827.67	642.59	387.02	84.04	115.16	70.51	92.05	75.11	82.29	74.58	34.02
PPAPDC2	291.04	289.02	441.64	403.5	334.46	426.57	325.29	325.29	211.31	412.0	392.44	423.61	84.63	122.64	98.73	105.89	124.37	189.02	1417.35	177.53	242.88	218.79	176.29	149.12	150.17	111.21	146.03	127.0	85.22	186.4	81.14
PPP1R14D	1151.06	3018.3	11504.21	16383.0	7911.95	10959.3	7331.05	6840.04	4358.66	7280.4	10440.2	7749.1	43.63	0.84	409.15	8.65	111.99	336.79	47.17	163.28	1519.15	75.11	25.17	11.3	2.78	3.11	6.46	11.73	32.59	11.64	14.35
PRSS3	3614.55	4328.55	10368.08	16383.0	6699.25	12415.75	9740.98	4607.24	4419.52	9151.82	10296.45	10225.32	6.06	2.01	3.0	2.14	0.0	2075.59	4298.64	1233.75	2468.49	1268.46	267.73	7.75	6.67	0.0	11.64	22.26	616.37	1.71	131.51
PRSS8	4239.45	12943.04	16960.78	27553.49	15499.21	22692.63	19892.37	13033.07	6337.83	21617.82	20451.65	20593.91	4836.35	1183.45	1268.46	1088.92	5517.27	4903.87	1605.83	4671.57	13872.08	5403.7	5041.77	1199.98	2178.83	1159.07	2645.74	1427.22	1923.14	2758.13	1662.49
PTK6	2178.83	1709.26	3235.01	3716.2	2816.11	2997.45	2976.74	2485.67	1617.0	3467.27	2682.69	2816.11	16.27	1.22	31.67	3.0	26.67	579.04	616.37	947.83	1781.89	688.78	193.01	2.81	0.0	0.88	6.16	10.24	3.5	0.0	3.14
PTPRF	5041.77	4419.52	5517.27	5711.87	4575.41	6471.02	6037.61	3901.01	2816.11	6121.9	5479.15	5913.33	1447.15	444.72	753.83	1417.35	1508.65	2178.83	2047.0	1794.29	4152.18	2303.12	1540.37	371.22	854.13	563.18	603.67	1268.46	363.56	392.44	595.34
PTPRH	1369.04	1923.14	3235.01	3794.3	1427.22	2720.15	2287.2	1277.29	1259.69	2018.8	2573.36	2163.77	8.92	0.41	3.53	16.88	5.77	1487.87	1135.2	1259.69	2777.33	480.04	277.2	0.71	1.38	0.0	0.0	4.13	3.79	1.31	17.51
RAPGEFL1	3325.99	1883.54	4671.57	4210.15	4512.4	4802.93	5292.48	4181.07	4388.98	4704.07	4181.07	4937.99	23.76	43.63	55.1	40.36	27.64	954.43	155.5	1242.34	1378.57	1605.83	116.78	42.41	55.1	53.95	165.57	96.01	34.51	58.3	49.56
RAVER2	802.41	764.36	1781.89	1111.82	733.19	854.13	775.05	723.08	595.34	967.76	860.08	1096.5	206.94	325.29	123.5	293.07	177.53	206.94	297.17	201.25	595.34	339.14	156.59	181.28	234.57	120.94	124.37	105.89	151.22	128.79	152.28
RETSAT	6207.38	5872.48	7966.99	7966.99	4239.45	6887.62	5292.48	3794.3	2627.46	6037.61	5831.91	6079.61	1250.98	808.0	2047.0	1008.9	1135.2	1143.1	409.15	2664.15	3982.99	2502.97	1059.11	1572.76	1378.57	688.78	934.76	896.64	1963.57	819.3	2075.59
RP1-4G17.5	37.59	69.03	42.11	42.41	67.12	62.12	48.52	47.84	33.3	53.95	39.79	25.54	0.0	0.0	0.0	0.0	33.06	0.0	2.34	6.94	11.38	0.0	0.0	0.0	0.0	4.94	0.0	0.0	9.56	0.0	0.0
RPS6KA1	1313.23	2224.63	3614.55	4181.07	3103.19	4181.07	3443.31	2591.27	2075.59	3395.89	3847.29	3540.14	1806.78	748.61	1350.18	532.74	1313.23	1977.24	583.07	1685.71	4010.71	954.43	753.83	718.08	1119.56	1111.82	1369.04	612.11	1119.56	884.29	1104.13
RXFP4	18.16	26.67	128.79	116.78	220.32	163.28	110.43	151.22	66.18	133.36	156.59	221.86	0.0	0.39	0.0	0.0	0.0	11.13	7.0	7.82	19.68	0.0	0.0	0.0	3.66	0.0	1.22	1.55	0.0	0.0	0.51
SCAP	1397.83	1437.15	1519.15	2119.22	1519.15	2133.97	1909.85	1529.73	1551.09	1359.57	1709.26	1806.78	728.11	967.76	796.86	921.88	848.22	941.27	921.88	884.29	1359.57	1508.65	1037.29	688.78	860.08	723.08	854.13	633.73	743.43	1127.35	587.13
SECTM1	3768.09	4152.18	8363.13	17804.06	332.14	12589.08	1991.0	348.71	579.04	813.63	7180.15	2468.49	153.34	90.77	56.28	76.17	759.08	183.82	301.33	612.11	3589.58	1104.13	285.03	23.93	36.01	16.51	20.41	155.5	31.45	71.0	74.58
SERINC2	8363.13	8840.04	12415.75	19482.97	9215.48	15075.35	12415.75	8538.88	5479.15	13492.72	12853.63	14163.58	1350.18	2163.77	5255.91	2609.3	5076.84	7857.29	3349.13	9876.98	15499.21	3794.3	3060.45	2303.12	3540.14	1745.2	3491.39	2255.7	3515.68	1832.01	4268.94
SIRT7	1487.87	1304.15	1331.57	1857.6	1119.56	1651.0	1295.13	1388.16	1350.18	1359.57	1322.37	1295.13	253.23	358.54	441.64	297.17	551.56	995.0	1151.06	854.13	995.0	1073.91	532.74	406.31	211.31	536.45	389.72	226.54	426.57	381.68	376.41
SLC17A8	33.78	18.97	27.25	271.48	12.55	78.89	10.96	5.63	7.28	14.45	39.5	20.26	0.0	5.06	0.0	1.66	0.0	0.0	7.11	0.57	28.24	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0
SLC26A6	1378.57	1769.57	1498.22	2701.35	2468.49	2682.69	2915.45	1977.24	1950.0	2537.92	2351.53	2875.3	131.51	198.47	164.42	90.14	159.9	718.08	1350.18	1023.0	1104.13	819.3	563.18	130.6	138.1	195.72	351.14	198.47	127.89	182.55	148.09
SLC35D1	974.5	842.36	1467.37	1477.58	728.11	896.64	693.58	483.38	395.18	674.59	1001.93	961.07	73.54	77.79	130.6	123.5	183.82	356.05	129.69	239.52	417.77	366.09	183.82	111.21	90.14	57.08	76.17	101.54	199.85	94.01	111.21
SLC35D2	1963.57	1883.54	2701.35	3847.29	2351.53	2468.49	2573.36	2163.77	1437.15	2520.38	2609.3	2739.08	361.04	353.59	902.89	571.05	563.18	1104.13	1561.89	819.3	1662.49	1119.56	684.02	603.67	438.59	723.08	708.18	493.56	307.69	642.59	511.0
SLC51B	1832.01	2367.9	11664.82	16269.83	3589.58	7280.4	5872.48	2004.85	1369.04	4388.98	7280.4	6207.38	44.89	19.39	775.05	69.52	289.02	38.95	5.19	21.01	718.08	88.88	72.52	0.0	13.03	0.0	1.31	6.21	3.03	4.46	49.56
SNAP23	1572.76	1923.14	1923.14	1697.45	1844.76	2271.4	1697.45	1437.15	1769.57	1561.89	1617.0	1467.37	878.17	1242.34	629.35	1159.07	934.76	1551.09	775.05	1769.57	1923.14	1096.5	1286.18	947.83	733.19	723.08	1286.18	1378.57	909.17	995.0	684.02
SPINT1	7537.18	8963.45	9945.68	14867.79	8479.89	14065.74	10154.69	7485.11	4903.87	10368.08	9876.98	11664.82	7749.1	866.07	2573.36	708.18	4210.15	5292.48	2400.97	3794.3	10808.41	3589.58	2287.2	2573.36	4512.4	1242.34	2591.27	3146.52	3614.55	1350.18	2520.38
SPPL2A	2104.58	2018.8	3614.55	4298.64	1857.6	3395.89	2537.92	1909.85	1697.45	2451.44	2701.35	2287.2	514.56	1388.16	480.04	429.54	435.55	1781.89	460.44	974.5	3018.3	1059.11	620.67	808.0	665.29	409.15	571.05	555.41	738.29	642.59	518.15
STAP2	3955.48	2935.74	9409.14	12160.22	7803.01	8598.28	8363.13	8363.13	6164.49	9808.75	10225.32	8963.45	2573.36	242.88	3467.27	1551.09	1340.84	1963.57	921.88	1437.15	3614.55	1304.15	825.0	1096.5	595.34	819.3	1304.15	909.17	1561.89	371.22	988.12
STK38	1417.35	1191.69	1583.71	2287.2	1359.57	1467.37	1733.13	1369.04	1417.35	1359.57	1617.0	1617.0	159.9	172.65	368.65	356.05	567.1	775.05	624.99	688.78	802.41	571.05	444.72	339.14	211.31	158.79	187.71	447.82	165.57	209.84	242.88
STX19	332.14	356.05	607.87	1427.22	414.87	656.11	555.41	299.25	291.04	503.95	713.11	728.11	3.23	6.67	0.0	0.83	2.34	205.5	39.5	212.78	265.87	193.01	198.47	3.86	0.89	7.46	2.1	3.17	0.0	3.47	1.62
SULT1A2	967.76	1104.13	2271.4	4010.71	775.05	1605.83	1313.23	647.07	1359.57	1417.35	1832.01	842.36	142.01	166.73	521.76	25.17	118.43	161.02	9.56	64.34	1407.55	76.71	21.63	126.12	164.42	137.14	373.81	31.0	199.85	228.13	127.89
SULT1A4	808.0	1183.45	2777.33	3081.75	2335.28	3168.41	2287.2	2976.74	961.07	3349.13	3081.75	2739.08	85.22	131.51	100.83	6.06	224.97	1159.07	48.87	1378.57	2701.35	190.34	346.29	229.72	141.02	325.29	189.02	318.57	157.68	128.79	420.68
TDP2	4095.0	4481.23	5183.54	13872.08	3768.09	6792.79	5555.65	2855.44	2682.69	3716.2	6426.31	9151.82	258.57	583.07	665.29	529.06	769.69	583.07	651.58	748.61	2468.49	703.28	928.3	796.86	450.94	503.95	638.15	748.61	642.59	454.09	708.18
TEP1	995.0	961.07	1250.98	1407.55	967.76	1183.45	1001.93	780.44	624.99	1037.29	1135.2	954.43	299.25	113.56	353.59	287.01	339.14	638.15	836.53	518.15	1806.78	638.15	217.27	195.72	183.82	166.73	314.17	376.41	218.79	269.6	224.97
TMEM144	336.79	414.87	703.28	543.96	346.29	361.04	353.59	341.51	106.63	299.25	423.61	397.93	65.72	23.08	120.1	119.26	122.64	215.77	143.01	183.82	403.5	281.09	76.71	201.25	166.73	151.22	232.94	175.07	145.02	279.14	205.5
TMEM150B	371.22	791.35	638.15	2061.24	327.56	1037.29	825.0	334.46	277.2	339.14	775.05	633.73	58.3	18.43	176.29	35.0	79.45	595.34	40.64	341.51	1685.71	55.89	35.0	9.13	3.66	7.34	17.25	40.93	12.0	8.78	42.41
TMEM184A	1015.93	866.07	1519.15	1457.23	1331.57	1806.78	1322.37	1081.39	921.88	1208.34	1233.75	1191.69	297.17	25.35	37.32	16.63	71.5	353.59	599.49	1015.93	1437.15	503.95	183.82	7.22	9.13	17.13	41.52	147.06	49.21	13.83	45.21
TMEM236	159.9	262.2	728.11	373.81	320.8	759.08	532.74	336.79	150.17	536.45	723.08	1143.1	0.0	0.0	0.0	2.56	0.0	0.93	5.92	2.25	376.41	5.96	7.06	1.23	0.0	0.0	0.77	0.0	1.3	0.79	2.36
TMEM253	583.07	684.02	2451.44	3018.3	1583.71	2193.99	1721.16	1242.34	1259.69	1605.83	1806.78	1685.71	61.25	18.56	35.25	57.49	122.64	182.55	17.77	105.89	1477.58	120.1	100.83	20.26	37.05	131.51	76.71	24.99	98.04	153.34	19.82
TMEM45B	3257.52	4736.79	14361.31	18304.63	5995.9	13492.72	8778.97	4937.99	2720.15	8538.88	11189.6	10440.2	497.0	246.28	47.17	3.79	51.35	2224.63	1806.78	769.69	6792.79	1369.04	688.78	332.14	679.29	180.02	195.72	181.28	1909.85	32.13	373.81
TMEM54	12244.81	22225.61	24660.96	42937.97	19214.73	30361.44	19754.96	14561.8	11267.44	18950.18	26986.43	22380.2	723.08	607.87	2400.97	1709.26	3768.09	6935.54	4543.8	3190.46	7382.04	7695.57	2163.77	753.83	1023.0	902.89	2417.67	1977.24	813.63	684.02	358.54
TPRN	2119.22	3081.75	2855.44	3190.46	2133.97	2875.3	2609.3	1806.78	1896.65	1721.16	2468.49	2417.67	629.35	423.61	633.73	497.0	1417.35	429.54	656.11	743.43	1977.24	660.68	802.41	236.21	599.49	153.34	140.04	118.43	241.19	217.27	356.05
TRANK1	1519.15	995.0	728.11	775.05	262.2	1304.15	376.41	285.03	693.58	195.72	507.46	348.71	28.65	38.4	46.18	30.12	102.97	420.68	181.28	291.04	1397.83	232.94	148.09	186.4	55.1	103.69	226.54	209.84	77.79	124.37	93.35
TRIM14	547.75	688.78	1073.91	1008.9	813.63	1044.52	860.08	728.11	493.56	688.78	947.83	896.64	148.09	27.64	273.37	65.72	368.65	563.18	336.79	279.14	988.12	371.22	167.9	21.32	75.64	14.14	96.68	229.72	37.59	51.35	50.63
TRIM15	890.44	1733.13	1883.54	2018.8	1081.39	1991.0	1437.15	802.41	860.08	1233.75	2240.11	1268.46	0.0	0.0	336.79	72.01	175.07	161.02	293.07	162.14	420.68	25.91	0.0	0.0	0.0	0.0	0.0	11.47	0.0	0.0	0.0
TRIM3	928.3	748.61	1498.22	638.15	842.36	941.27	728.11	583.07	813.63	753.83	612.11	878.17	214.27	251.48	206.94	94.67	147.06	316.37	163.28	480.04	753.83	463.65	228.13	209.84	175.07	231.32	316.37	212.78	258.57	214.27	205.5
TRIM40	70.01	202.66	454.09	343.89	171.45	547.75	117.6	102.25	30.12	61.68	547.75	185.11	0.0	0.0	0.0	0.0	0.0	83.45	4.58	33.06	295.11	28.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRPM4	4210.15	2240.11	6337.83	6337.83	7230.1	7382.04	5555.65	7032.37	7642.41	7537.18	6745.86	6840.04	1583.71	1119.56	540.19	363.56	738.29	1639.59	872.1	1977.24	2018.8	1561.89	802.41	915.51	1015.93	591.22	624.99	607.87	1662.49	884.29	1781.89
TST	9876.98	11035.54	19482.97	21919.61	16157.44	18560.17	13033.07	13033.07	8598.28	16045.82	17681.08	15180.22	2047.0	1662.49	3847.29	1407.55	2997.45	4152.18	1651.0	4769.75	4769.75	3257.52	2400.97	497.0	397.93	395.18	1268.46	665.29	518.15	819.3	470.14
TUBAL3	708.18	928.3	2555.58	3467.27	890.44	1819.35	1467.37	441.64	460.44	1199.98	1733.13	1628.26	0.0	0.0	159.9	0.0	105.15	10.96	4.9	14.56	262.2	7.75	2.1	0.0	0.0	0.0	0.0	4.54	0.0	0.45	0.0
UGT1A8	253.23	63.0	941.27	624.99	0.0	76.17	297.17	55.1	0.0	30.78	660.68	27.05	0.0	0.0	0.0	0.0	0.0	140.04	0.0	41.81	819.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
URAD	267.73	373.81	3124.78	3589.58	3103.19	2434.5	2417.67	3039.3	1639.59	4607.24	2090.03	3794.3	9.06	0.0	0.0	0.0	0.0	0.0	0.0	0.95	77.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VIL1	5255.91	4972.34	12502.12	14361.31	10084.54	11745.96	7485.11	6079.61	4010.71	8598.28	11345.82	10659.59	14.14	5.63	31.0	33.06	92.05	490.14	1073.91	466.88	4512.4	157.68	115.97	12.93	37.85	23.59	43.32	34.51	11.55	13.03	22.59
VILL	1745.2	2319.15	3540.14	6935.54	3540.14	5292.48	3690.52	2777.33	2255.7	3982.99	4239.45	3716.2	38.12	42.41	24.46	13.03	63.89	2555.58	363.56	1605.83	4038.61	2287.2	759.08	62.56	30.78	31.0	198.47	88.88	75.11	48.87	77.25
VIPR1	1175.27	2271.4	4671.57	3928.15	4268.94	5006.93	4095.0	3540.14	2555.58	4038.61	3742.05	4181.07	76.71	9.34	3.08	12.09	13.12	490.14	102.97	438.59	1225.22	733.19	332.14	175.07	215.77	90.14	612.11	42.11	130.6	988.12	476.71
VSIG10	842.36	1030.12	1662.49	1551.09	954.43	1111.82	1286.18	1119.56	860.08	1417.35	1066.48	1427.22	260.38	346.29	142.01	191.67	279.14	318.57	587.13	269.6	1015.93	514.56	312.0	327.56	384.34	543.96	361.04	507.46	307.69	435.55	271.48
XDH	134.3	403.5	1369.04	1304.15	450.94	808.0	808.0	329.84	320.8	825.0	1051.79	733.19	0.0	0.0	0.53	0.0	78.34	59.97	11.73	37.32	660.68	63.45	16.15	0.0	0.0	0.0	1.46	26.67	0.0	2.01	0.0
ZC3H12D	172.65	228.13	249.73	273.37	175.07	366.09	176.29	191.67	173.85	177.53	215.77	169.07	12.36	4.46	3.56	3.47	13.12	197.09	47.84	59.13	277.2	35.0	33.78	8.25	5.63	3.56	26.28	48.87	4.66	11.3	11.91
ZFAND2B	2061.24	2255.7	2119.22	2739.08	2303.12	2777.33	2303.12	2224.63	2335.28	2303.12	2163.77	2434.5	872.1	896.64	1498.22	1447.15	1233.75	872.1	1378.57	921.88	1529.73	1437.15	1119.56	1685.71	1529.73	1674.06	2434.5	1233.75	1242.34	1540.37	1551.09
ZZEF1	1407.55	995.0	1322.37	1397.83	967.76	2032.85	1551.09	728.11	796.86	1127.35	1143.1	1397.83	157.68	265.87	76.17	161.02	159.9	660.68	265.87	518.15	1135.2	583.07	182.55	571.05	309.83	406.31	237.86	173.85	454.09	493.56	189.02
