	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
MPG	3820.7	2739.08	3124.78	2777.33	2178.83	3124.78	3716.2	2537.92	2875.3	2335.28	2400.97	2609.3	3589.58	2434.5	480.04	909.17	934.76	1388.16	1540.37	1651.0	928.3	1127.35	1350.18	1066.48	1806.78	1467.37	1551.09	1806.78	2061.24	1447.15	2133.97	988.12	1781.89	1167.14	2104.58	981.29	1417.35	2468.49	1794.29	1388.16	1277.29	1119.56	1417.35	2609.3	1605.83	2591.27	1340.84	1008.9	1487.87	2271.4	1628.26
MPND	813.63	503.95	543.96	981.29	651.58	624.99	708.18	525.39	575.03	529.06	1030.12	525.39	563.18	563.18	226.54	314.17	366.09	353.59	616.37	521.76	241.19	406.31	414.87	307.69	497.0	348.71	500.46	624.99	629.35	629.35	591.22	417.77	409.15	327.56	616.37	429.54	403.5	511.0	414.87	417.77	373.81	289.02	379.04	679.29	521.76	450.94	454.09	417.77	368.65	579.04	660.68
MVB12A	2627.46	2061.24	2104.58	2976.74	2555.58	1991.0	2537.92	1991.0	2090.03	1794.29	5076.84	2417.67	2591.27	1794.29	848.22	1268.46	1923.14	1233.75	1936.53	1417.35	759.08	1242.34	1721.16	1594.73	2148.82	1709.26	1794.29	2758.13	2319.15	1733.13	2271.4	1417.35	1733.13	1233.75	2148.82	1519.15	1806.78	2287.2	1674.06	1977.24	1551.09	1242.34	1407.55	2835.7	1883.54	2485.67	1896.65	1583.71	1359.57	2047.0	2075.59
NOSIP	2209.26	1477.58	1594.73	2537.92	1896.65	1832.01	2367.9	2720.15	2061.24	1617.0	1950.0	1709.26	1936.53	1617.0	764.36	830.75	1104.13	1250.98	1304.15	1250.98	830.75	967.76	1127.35	1073.91	1685.71	1447.15	1447.15	1685.71	1498.22	1467.37	1540.37	1066.48	1583.71	890.44	1697.45	909.17	1369.04	1697.45	1417.35	1378.57	1151.06	1119.56	1073.91	1963.57	1268.46	1844.76	1259.69	909.17	1388.16	1498.22	1685.71
NUBP2	1870.53	1313.23	1350.18	1923.14	1583.71	1605.83	1697.45	1794.29	1605.83	1286.18	2075.59	1936.53	1605.83	1331.57	366.09	718.08	848.22	909.17	1081.39	1073.91	529.06	848.22	764.36	813.63	974.5	961.07	1277.29	1340.84	1159.07	1167.14	1407.55	764.36	1225.22	629.35	1191.69	842.36	921.88	1427.22	1167.14	1096.5	884.29	728.11	947.83	1832.01	1008.9	1529.73	1199.98	921.88	981.29	1427.22	1331.57
OTUB1	2434.5	2451.44	2468.49	2609.3	2855.44	2935.74	3081.75	2915.45	2384.37	2777.33	3257.52	2591.27	2573.36	2303.12	1651.0	1617.0	1662.49	2209.26	1794.29	2090.03	1540.37	1745.2	1832.01	1605.83	2148.82	1709.26	1819.35	2240.11	2520.38	2090.03	2485.67	1447.15	1977.24	1819.35	2303.12	1662.49	1909.85	2417.67	2032.85	2075.59	1857.6	1697.45	1769.57	2485.67	1806.78	2400.97	2119.22	1769.57	1794.29	2255.7	2400.97
PDLIM7	2796.65	1639.59	1697.45	1605.83	1023.0	1437.15	1991.0	2915.45	1322.37	1540.37	1437.15	743.43	1477.58	1259.69	277.2	441.64	1023.0	579.04	624.99	665.29	305.55	223.41	915.51	493.56	830.75	854.13	571.05	1044.52	995.0	497.0	738.29	441.64	642.59	368.65	743.43	406.31	486.75	540.19	518.15	540.19	460.44	329.84	417.77	450.94	444.72	629.35	400.71	432.53	435.55	1044.52	915.51
PGLS	3325.99	2400.97	3018.3	3820.7	2609.3	2816.11	2682.69	2895.31	2417.67	2209.26	3716.2	2502.97	2682.69	2193.99	842.36	1051.79	1250.98	1639.59	1936.53	1674.06	825.0	1529.73	1721.16	1447.15	2133.97	1551.09	1583.71	2351.53	2777.33	1322.37	2104.58	1104.13	1923.14	1030.12	2209.26	1151.06	1457.23	2895.31	2004.85	1605.83	1447.15	1388.16	1259.69	3190.46	1857.6	2645.74	1651.0	1233.75	1498.22	2018.8	1950.0
PIP5K1C	728.11	703.28	647.07	759.08	587.13	571.05	563.18	825.0	551.56	733.19	665.29	447.82	629.35	583.07	221.86	426.57	316.37	441.64	503.95	444.72	239.52	343.89	432.53	373.81	480.04	447.82	480.04	540.19	543.96	507.46	406.31	417.77	563.18	320.8	518.15	441.64	486.75	432.53	447.82	420.68	417.77	400.71	463.65	438.59	466.88	583.07	403.5	384.34	525.39	555.41	500.46
PLXND1	4836.35	3639.7	4358.66	5913.33	4512.4	3212.66	3901.01	4972.34	3257.52	3820.7	2701.35	2875.3	2319.15	2816.11	603.67	785.88	1832.01	1340.84	1617.0	1111.82	1023.0	698.41	1498.22	638.15	1322.37	1651.0	1651.0	1757.34	723.08	2090.03	1745.2	1709.26	1001.93	629.35	1950.0	1498.22	915.51	872.1	1397.83	915.51	607.87	1096.5	854.13	674.59	928.3	1487.87	928.3	728.11	1233.75	1175.27	1709.26
POLD4	2915.45	2645.74	2255.7	2997.45	2520.38	2997.45	3443.31	2915.45	2209.26	2384.37	3146.52	2976.74	2319.15	2224.63	713.11	1208.34	1529.73	2384.37	1794.29	1794.29	1023.0	1733.13	2163.77	1519.15	1832.01	1427.22	1769.57	2271.4	1733.13	1721.16	1977.24	2075.59	1651.0	836.53	1977.24	1477.58	1617.0	2209.26	1977.24	1819.35	1572.76	1388.16	1551.09	1857.6	1733.13	2777.33	1487.87	1457.23	1407.55	2335.28	2004.85
POLR2E	4298.64	3614.55	3303.0	4123.49	3639.7	3794.3	4358.66	4123.49	3491.39	3564.78	3639.7	3395.89	3081.75	3280.18	1662.49	2351.53	2061.24	2537.92	3018.3	2895.31	1769.57	2664.15	2915.45	2148.82	2915.45	3018.3	2956.17	3349.13	2915.45	3325.99	3146.52	2255.7	3395.89	2335.28	3303.0	2537.92	2502.97	3235.01	2701.35	2835.7	2417.67	2537.92	2645.74	3235.01	2701.35	3665.02	2591.27	2701.35	2816.11	4123.49	3039.3
PRKCSH	5791.62	7081.29	6207.38	7857.29	5594.3	7032.37	6121.9	8134.41	4972.34	7130.55	9279.58	7966.99	6607.01	5831.91	4903.87	3820.7	4836.35	4512.4	4328.55	5995.9	3716.2	3768.09	4181.07	5403.7	5041.77	4607.24	4639.29	7589.61	7032.37	5831.91	6207.38	4038.61	4639.29	4481.23	4769.75	4010.71	4639.29	4512.4	5255.91	5517.27	4512.4	4095.0	4869.99	5751.61	5041.77	5366.37	5292.48	4298.64	4239.45	5995.9	6471.02
PTDSS2	819.3	669.92	651.58	961.07	713.11	825.0	723.08	860.08	656.11	718.08	1104.13	796.86	638.15	647.07	435.55	392.44	511.0	490.14	532.74	457.25	273.37	480.04	441.64	616.37	638.15	480.04	493.56	764.36	769.69	591.22	743.43	460.44	507.46	376.41	587.13	376.41	476.71	567.1	551.56	536.45	571.05	348.71	567.1	674.59	543.96	536.45	476.71	447.82	507.46	759.08	620.67
RASL12	271.48	190.34	242.88	348.71	236.21	194.36	237.86	429.54	332.14	204.07	175.07	142.01	109.66	173.85	42.11	49.21	90.77	50.98	127.0	94.01	66.65	39.5	95.34	30.56	221.86	133.36	87.65	111.99	65.26	142.01	75.11	86.43	46.5	52.45	80.57	70.51	40.64	67.59	84.63	32.13	113.56	57.08	31.0	29.91	37.59	127.89	43.94	38.95	43.32	47.5	118.43
RHOC	10883.59	5995.9	7280.4	11584.24	8479.89	7130.55	10014.87	8901.53	7803.01	7911.95	7589.61	8305.36	6121.9	7331.05	4181.07	3768.09	5183.54	5255.91	4481.23	5872.48	2976.74	4298.64	5672.41	3540.14	6079.61	4010.71	4358.66	6426.31	6983.79	4671.57	6840.04	4419.52	4903.87	3614.55	7537.18	4512.4	4268.94	4543.8	4736.79	4671.57	4575.41	5366.37	4328.55	5403.7	4328.55	6121.9	3589.58	3443.31	4239.45	6337.83	5479.15
RIN1	242.88	100.13	95.34	120.94	84.63	87.03	102.97	177.53	137.14	64.34	92.05	44.25	78.89	76.71	14.35	7.17	75.11	46.84	45.85	43.02	20.86	5.23	45.85	12.18	28.86	19.25	33.3	72.52	35.5	42.71	19.39	14.56	25.17	16.63	37.59	14.56	15.34	9.48	42.11	23.59	11.55	13.32	16.15	25.35	18.03	29.91	24.46	12.0	25.91	35.0	47.5
RNASEK	9088.59	8538.88	10585.95	13776.25	10959.3	9876.98	12589.08	10154.69	8658.09	8421.31	10368.08	10440.2	9808.75	9673.69	4972.34	4358.66	4671.57	6699.25	5831.91	9606.86	4239.45	5006.93	5633.22	5076.84	6840.04	6294.04	6250.56	7537.18	9945.68	6426.31	8901.53	4543.8	6840.04	4607.24	7857.29	4181.07	6079.61	8134.41	6426.31	6381.92	5913.33	5791.62	5555.65	10084.54	6037.61	9876.98	5872.48	4769.75	5555.65	7537.18	7180.15
SEMA3F	3372.43	1135.2	1313.23	1977.24	1529.73	1183.45	1015.93	2645.74	1286.18	1304.15	915.51	785.88	1088.92	1044.52	299.25	403.5	447.82	447.82	476.71	518.15	305.55	334.46	353.59	212.78	791.35	420.68	500.46	426.57	267.73	928.3	316.37	361.04	529.06	318.57	909.17	624.99	612.11	417.77	961.07	336.79	323.03	551.56	575.03	392.44	376.41	698.41	303.44	551.56	703.28	438.59	470.14
SH3GL1	2335.28	1388.16	1359.57	1340.84	947.83	1397.83	1340.84	1883.54	1359.57	1208.34	1467.37	1242.34	1191.69	1143.1	454.09	638.15	511.0	848.22	915.51	764.36	414.87	507.46	1135.2	547.75	836.53	642.59	878.17	775.05	791.35	753.83	819.3	599.49	890.44	429.54	915.51	684.02	753.83	967.76	825.0	836.53	759.08	785.88	723.08	1044.52	718.08	890.44	607.87	595.34	872.1	1104.13	728.11
SHARPIN	1844.76	2032.85	2720.15	2555.58	2240.11	2351.53	2090.03	1806.78	2133.97	1662.49	3257.52	1806.78	1909.85	1651.0	575.03	1066.48	988.12	1250.98	1397.83	1233.75	713.11	1037.29	1044.52	1081.39	1417.35	1183.45	1242.34	1896.65	1628.26	1561.89	1757.34	1143.1	1331.57	854.13	1870.53	967.76	1183.45	1519.15	1242.34	1199.98	1216.75	941.27	1015.93	1551.09	1359.57	1769.57	1359.57	1059.11	1111.82	1733.13	1819.35
SHKBP1	1794.29	1594.73	1477.58	2004.85	1369.04	1233.75	1651.0	1467.37	1277.29	1388.16	1721.16	1350.18	1457.23	1340.84	629.35	872.1	1051.79	1066.48	1104.13	961.07	579.04	808.0	915.51	954.43	1359.57	842.36	890.44	1183.45	1277.29	1397.83	1388.16	1059.11	1030.12	854.13	1572.76	872.1	921.88	1477.58	1001.93	988.12	796.86	854.13	791.35	1268.46	866.07	1183.45	1175.27	884.29	1059.11	1143.1	1295.13
SLC39A3	1023.0	679.29	921.88	1151.06	988.12	808.0	1088.92	1008.9	669.92	802.41	1250.98	1037.29	775.05	738.29	466.88	743.43	497.0	688.78	555.41	607.87	432.53	703.28	575.03	392.44	796.86	603.67	660.68	638.15	476.71	775.05	796.86	698.41	890.44	764.36	679.29	432.53	624.99	769.69	684.02	679.29	540.19	607.87	665.29	928.3	633.73	872.1	575.03	579.04	665.29	698.41	543.96
SMOX	728.11	275.28	341.51	414.87	273.37	217.27	279.14	813.63	403.5	226.54	256.78	105.15	236.21	221.86	80.57	105.15	90.77	122.64	110.43	607.87	65.26	58.71	125.24	104.42	80.57	86.43	122.64	169.07	255.0	180.02	206.94	59.55	74.58	120.1	157.68	68.07	87.03	99.43	156.59	124.37	87.03	126.12	68.07	60.82	59.55	121.79	69.52	181.28	92.7	119.26	178.77
SNAPC2	854.13	389.72	376.41	638.15	444.72	493.56	591.22	684.02	409.15	392.44	536.45	511.0	346.29	483.38	142.01	195.72	244.57	297.17	316.37	283.05	142.01	251.48	289.02	177.53	339.14	265.87	255.0	429.54	312.0	348.71	409.15	249.73	295.11	156.59	323.03	301.33	221.86	376.41	289.02	231.32	242.88	262.2	221.86	373.81	303.44	543.96	242.88	180.02	273.37	368.65	305.55
SPINT2	39785.74	18304.63	22225.61	25005.23	20593.91	26614.89	20593.91	29943.43	21617.82	21320.18	29327.18	23820.89	19892.37	19082.0	14461.21	15285.81	11112.3	18431.96	15075.35	30785.28	12502.12	15392.14	14461.21	13492.72	21919.61	16496.96	18689.27	20030.74	21172.91	17317.18	27553.49	12329.98	19082.0	16960.78	17558.94	14361.31	19754.96	29124.6	20170.07	15934.98	16727.26	17804.06	21172.91	25530.66	19618.49	18950.18	22072.07	17927.91	19618.49	22535.88	19214.73
STUB1	4937.99	3794.3	4152.18	4328.55	3982.99	3540.14	5872.48	5555.65	3467.27	3955.48	5403.7	4388.98	4358.66	3847.29	1697.45	1883.54	2178.83	3257.52	2591.27	3395.89	1977.24	2075.59	2400.97	2520.38	3419.52	2520.38	3325.99	4066.71	3665.02	3639.7	3564.78	1844.76	3540.14	2271.4	3742.05	2319.15	3081.75	3589.58	2664.15	3665.02	2875.3	2777.33	2739.08	3768.09	2796.65	3614.55	2855.44	2367.9	3190.46	4239.45	4038.61
TBL3	1073.91	878.17	866.07	1159.07	1008.9	796.86	995.0	1081.39	981.29	947.83	1135.2	915.51	967.76	890.44	420.68	603.67	543.96	633.73	854.13	642.59	620.67	612.11	651.58	540.19	780.44	728.11	842.36	915.51	796.86	780.44	941.27	521.76	884.29	518.15	1096.5	559.28	684.02	860.08	674.59	733.19	629.35	629.35	575.03	1066.48	660.68	909.17	769.69	647.07	674.59	896.64	753.83
TCF15	5.23	29.06	17.9	36.27	25.17	11.64	17.9	12.64	21.78	21.78	16.39	31.67	20.86	10.24	3.11	2.48	4.21	10.24	1.13	17.64	2.05	0.05	3.79	7.94	5.92	8.38	14.45	8.32	3.35	6.52	0.74	0.84	5.15	2.07	14.24	5.15	8.65	13.22	10.96	2.86	6.78	5.68	1.1	4.58	2.97	8.45	6.01	4.06	2.32	2.71	19.25
TECR	4388.98	4328.55	4066.71	7966.99	9740.98	4419.52	5517.27	4268.94	4543.8	4481.23	10154.69	4639.29	5594.3	4543.8	2209.26	2835.7	3395.89	3303.0	3515.68	5219.6	2502.97	4038.61	3325.99	2895.31	4239.45	4543.8	4210.15	5517.27	4607.24	4937.99	5479.15	2835.7	4802.93	3589.58	5006.93	2997.45	3847.29	5711.87	4512.4	3395.89	2720.15	2720.15	3303.0	5366.37	3742.05	4937.99	3820.7	2855.44	3614.55	5292.48	5633.22
TG	402881.61	900270.11	857631.47	610654.84	794671.01	887875.81	794671.01	623486.02	932018.1	1085552.95	778316.89	828417.36	906531.99	606436.73	682276.92	1019901.63	1264380.15	2247670.86	2126426.15	2375828.71	524287.0	1204496.53	1611529.43	1308968.45	1984025.69	1273174.62	1997825.68	1984025.69	2986448.72	2025714.3	2425749.94	845824.19	1929772.37	992012.34	1943195.01	875652.15	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	1085552.95	2263304.65	2672946.37	1864037.21
TGFB1I1	1662.49	967.76	1242.34	1233.75	1088.92	1183.45	884.29	1844.76	974.5	1001.93	896.64	1008.9	738.29	854.13	271.48	351.14	470.14	343.89	454.09	435.55	251.48	346.29	543.96	277.2	571.05	470.14	432.53	563.18	514.56	444.72	480.04	420.68	368.65	343.89	406.31	438.59	320.8	293.07	285.03	339.14	397.93	346.29	281.09	327.56	236.21	567.1	334.46	305.55	277.2	656.11	529.06
THAP3	629.35	713.11	733.19	1806.78	791.35	860.08	836.53	848.22	1037.29	698.41	1059.11	679.29	612.11	723.08	397.93	429.54	435.55	373.81	438.59	457.25	353.59	514.56	316.37	521.76	518.15	460.44	521.76	579.04	555.41	559.28	497.0	500.46	457.25	297.17	486.75	363.56	518.15	591.22	438.59	403.5	371.22	314.17	493.56	660.68	403.5	521.76	507.46	412.0	447.82	412.0	591.22
TMEM115	1350.18	1378.57	1277.29	1617.0	1250.98	1268.46	1477.58	1896.65	1225.22	1397.83	1896.65	1769.57	1340.84	1286.18	733.19	1175.27	802.41	1277.29	1081.39	1030.12	941.27	1304.15	1127.35	1208.34	1407.55	1044.52	1199.98	1216.75	1037.29	1340.84	1340.84	1044.52	1417.35	1088.92	988.12	928.3	1388.16	1519.15	1119.56	1143.1	1259.69	1104.13	1183.45	1519.15	1159.07	1745.2	1159.07	1143.1	1250.98	1519.15	1225.22
TMEM134	2451.44	2004.85	2502.97	4010.71	3820.7	2816.11	2875.3	1685.71	2104.58	2104.58	3349.13	2319.15	2384.37	2047.0	629.35	1059.11	1819.35	1639.59	1745.2	1250.98	703.28	638.15	1127.35	1286.18	1745.2	1104.13	1583.71	1639.59	1963.57	1540.37	1662.49	961.07	1498.22	830.75	2193.99	1151.06	1397.83	1685.71	1519.15	1250.98	1388.16	1250.98	1295.13	1745.2	1437.15	1832.01	1378.57	1457.23	1159.07	1896.65	2032.85
TMEM219	7589.61	4671.57	5711.87	6207.38	5076.84	4575.41	6607.01	5329.3	5751.61	4802.93	7331.05	4543.8	5366.37	4869.99	2434.5	2701.35	3146.52	3146.52	3235.01	3901.01	2434.5	4038.61	3039.3	2915.45	4736.79	2835.7	3564.78	4869.99	4419.52	3639.7	5517.27	2796.65	3124.78	3395.89	3955.48	2956.17	3081.75	4481.23	1896.65	3168.41	3103.19	3235.01	3190.46	4358.66	3124.78	4836.35	3589.58	3103.19	2956.17	5517.27	4388.98
TMUB1	1819.35	1561.89	1819.35	2451.44	2075.59	1909.85	2090.03	2209.26	1697.45	1561.89	3103.19	3039.3	1896.65	1529.73	703.28	1135.2	934.76	1437.15	1447.15	1250.98	830.75	1259.69	1286.18	1208.34	1540.37	1167.14	1313.23	1857.6	1561.89	1259.69	1674.06	921.88	1388.16	866.07	1781.89	1304.15	1304.15	2271.4	1340.84	1417.35	1508.65	1167.14	1709.26	2701.35	1457.23	1896.65	1359.57	1008.9	1268.46	2537.92	1437.15
UBTD1	1044.52	660.68	813.63	909.17	629.35	1059.11	1073.91	896.64	802.41	660.68	1127.35	547.75	872.1	656.11	106.63	183.82	197.09	194.36	275.28	346.29	142.01	285.03	217.27	214.27	295.11	202.66	316.37	376.41	260.38	309.83	414.87	167.9	271.48	220.32	262.2	223.41	267.73	358.54	223.41	297.17	231.32	212.78	239.52	470.14	228.13	460.44	212.78	206.94	232.94	638.15	299.25
UBXN6	6207.38	5292.48	4769.75	8421.31	6652.97	4639.29	5479.15	6079.61	4903.87	5441.3	8658.09	7180.15	5219.6	5041.77	1883.54	3103.19	3515.68	4512.4	5041.77	4419.52	2855.44	3419.52	3768.09	3928.15	4769.75	3564.78	4298.64	6037.61	7857.29	4869.99	6121.9	3280.18	4038.61	3690.52	4903.87	2835.7	4836.35	6381.92	4181.07	4095.0	4543.8	3540.14	4038.61	6652.97	4639.29	5672.41	4736.79	4298.64	4328.55	6745.86	5555.65
VASP	2090.03	1127.35	1417.35	1529.73	1551.09	1044.52	1551.09	1388.16	1250.98	1143.1	1259.69	896.64	1151.06	1030.12	483.38	579.04	679.29	753.83	928.3	884.29	303.44	363.56	703.28	463.65	1159.07	813.63	860.08	587.13	713.11	848.22	547.75	603.67	921.88	389.72	1143.1	808.0	591.22	775.05	896.64	536.45	693.58	1073.91	638.15	780.44	669.92	1066.48	624.99	490.14	796.86	884.29	579.04
VPS51	3467.27	3349.13	2537.92	4512.4	3103.19	3564.78	3665.02	4298.64	3018.3	3103.19	4419.52	3540.14	3103.19	2520.38	1781.89	2119.22	2032.85	2351.53	2777.33	3018.3	2018.8	1977.24	2627.46	3168.41	2956.17	2061.24	2591.27	4450.27	4607.24	2997.45	3742.05	1709.26	2520.38	1685.71	2537.92	1832.01	3146.52	2645.74	1909.85	2758.13	2573.36	2502.97	2720.15	3419.52	2417.67	3419.52	2796.65	2739.08	1963.57	4152.18	3395.89
WDR45	2664.15	2609.3	2047.0	2855.44	2956.17	2485.67	2720.15	2104.58	2384.37	2335.28	2739.08	2400.97	2209.26	2400.97	1745.2	1685.71	1651.0	2335.28	2075.59	1519.15	2047.0	1477.58	2209.26	2047.0	1819.35	1757.34	1651.0	2104.58	2193.99	1685.71	1923.14	1936.53	1819.35	1508.65	2148.82	1745.2	2319.15	1844.76	2047.0	2163.77	1991.0	2119.22	1757.34	1857.6	2193.99	2255.7	1870.53	1950.0	1857.6	2384.37	1950.0
YIPF2	2335.28	1950.0	1991.0	2303.12	2163.77	1963.57	2004.85	1844.76	2178.83	2090.03	3212.66	2434.5	1936.53	1950.0	693.58	1540.37	1151.06	1923.14	1819.35	1583.71	1059.11	1605.83	1832.01	1331.57	1950.0	1417.35	1950.0	1721.16	1427.22	1662.49	2032.85	1111.82	2032.85	1159.07	1781.89	1487.87	1769.57	2384.37	2163.77	1857.6	1794.29	1721.16	1950.0	2240.11	1769.57	2417.67	1977.24	1883.54	1909.85	1883.54	1617.0
YIPF3	4095.0	3349.13	3124.78	3928.15	3901.01	3235.01	3212.66	4181.07	2935.74	3540.14	4869.99	4298.64	3103.19	3124.78	2645.74	2796.65	2119.22	3190.46	3018.3	3212.66	2485.67	3212.66	3039.3	2502.97	2997.45	2777.33	3103.19	3614.55	2895.31	3081.75	3235.01	2645.74	3325.99	2591.27	2855.44	2627.46	2956.17	3395.89	3190.46	2956.17	2956.17	2935.74	3124.78	3491.39	3146.52	3768.09	2915.45	2915.45	2796.65	3124.78	3081.75
ZFPL1	1225.22	1268.46	1044.52	1583.71	1519.15	1674.06	1350.18	1233.75	1350.18	1159.07	2090.03	1819.35	1407.55	1183.45	698.41	791.35	1008.9	988.12	1111.82	796.86	860.08	1216.75	947.83	947.83	1044.52	1051.79	1151.06	1059.11	1001.93	1111.82	947.83	878.17	1037.29	954.43	1175.27	1037.29	1044.52	1322.37	1143.1	1268.46	1073.91	921.88	1037.29	1397.83	915.51	1277.29	1159.07	1175.27	1096.5	830.75	1127.35
ZNF524	1175.27	890.44	748.61	1216.75	665.29	1037.29	967.76	1073.91	890.44	638.15	1143.1	791.35	961.07	743.43	131.51	316.37	426.57	412.0	543.96	536.45	305.55	420.68	412.0	457.25	599.49	463.65	507.46	842.36	603.67	583.07	591.22	450.94	555.41	305.55	638.15	406.31	444.72	688.78	423.61	532.74	460.44	336.79	450.94	775.05	532.74	791.35	486.75	295.11	373.81	703.28	679.29
