	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
CAPN3	197.09	145.02	309.83	25.91	97.36	155.5	24.28	65.72	239.52	57.49	171.45	43.94	15.11	37.05	248.0	384.34	33.3	27.25	44.25	30.56	23.76	85.22	29.06	218.79	88.88	27.84	80.01	148.09	41.81	193.01	92.7	120.1	82.87	71.0	21.63	37.85	77.79	117.6	212.78	74.06	318.57	101.54	208.38	155.5	251.48	138.1	47.84	215.77	381.68	50.27	327.56	38.67	15.45	30.56	92.7	74.58	234.57	22.43	110.43	50.63	78.89	173.85	104.42	36.79	87.65	1286.18	72.52	486.75	262.2	480.04	420.68	974.5	239.52	139.07	457.25	195.72	157.68	104.42	100.83	172.65	169.07	460.44	145.02
CCDC130	536.45	647.07	525.39	277.2	825.0	941.27	470.14	555.41	1331.57	392.44	1104.13	607.87	688.78	493.56	1081.39	1313.23	368.65	420.68	616.37	279.14	426.57	339.14	206.94	1286.18	521.76	320.8	603.67	620.67	438.59	1066.48	941.27	616.37	480.04	476.71	146.03	287.01	543.96	674.59	620.67	909.17	1806.78	808.0	995.0	1096.5	1359.57	830.75	507.46	1037.29	1498.22	255.0	780.44	323.03	208.38	320.8	339.14	260.38	543.96	454.09	629.35	384.34	332.14	599.49	503.95	289.02	325.29	1540.37	432.53	1119.56	1008.9	1594.73	1268.46	1225.22	583.07	633.73	1143.1	555.41	785.88	624.99	878.17	1073.91	836.53	1001.93	819.3
CCDC84	307.69	246.28	343.89	172.65	244.57	603.67	150.17	193.01	392.44	206.94	532.74	214.27	182.55	223.41	698.41	511.0	139.07	165.57	183.82	95.34	195.72	143.01	70.51	902.89	142.01	115.16	429.54	316.37	212.78	463.65	201.25	220.32	204.07	162.14	91.41	202.66	327.56	514.56	277.2	305.55	698.41	381.68	860.08	693.58	775.05	412.0	339.14	366.09	748.61	130.6	127.0	126.12	115.97	58.3	97.36	64.8	400.71	55.89	208.38	100.13	121.79	211.31	249.73	124.37	94.01	1529.73	473.41	1561.89	629.35	1896.65	1662.49	1127.35	287.01	420.68	902.89	279.14	567.1	363.56	457.25	753.83	384.34	507.46	426.57
CCNL2	1963.57	1936.53	3081.75	473.41	2319.15	3018.3	1073.91	1191.69	3901.01	836.53	3103.19	1639.59	669.92	1081.39	5479.15	3820.7	444.72	819.3	884.29	567.1	435.55	624.99	376.41	3564.78	1015.93	629.35	2032.85	1674.06	909.17	3690.52	2485.67	1870.53	1277.29	1096.5	435.55	679.29	1104.13	2796.65	1487.87	2061.24	6164.49	2224.63	3820.7	4704.07	6561.36	2075.59	1331.57	2591.27	8022.41	521.76	571.05	473.41	389.72	395.18	500.46	647.07	5076.84	974.5	1277.29	620.67	638.15	796.86	1143.1	368.65	612.11	6699.25	1605.83	4066.71	2720.15	4937.99	9474.59	5872.48	1397.83	3847.29	3515.68	3168.41	2287.2	1467.37	2335.28	3190.46	2319.15	5147.73	6699.25
CDK10	802.41	1216.75	1685.71	575.03	854.13	1199.98	414.87	647.07	1378.57	353.59	1322.37	567.1	693.58	384.34	1447.15	1519.15	277.2	941.27	599.49	376.41	358.54	559.28	387.02	1250.98	878.17	429.54	638.15	791.35	441.64	1551.09	896.64	684.02	571.05	688.78	607.87	327.56	518.15	825.0	1037.29	1378.57	3874.05	825.0	1896.65	1651.0	2319.15	808.0	567.1	1844.76	2976.74	231.32	392.44	356.05	802.41	255.0	497.0	363.56	1096.5	307.69	669.92	429.54	389.72	723.08	679.29	409.15	389.72	5441.3	728.11	1639.59	1277.29	2739.08	3190.46	1844.76	785.88	1096.5	1662.49	928.3	1457.23	1059.11	981.29	1242.34	1467.37	2468.49	830.75
CDK3	187.71	320.8	567.1	42.41	127.89	178.77	77.25	82.29	194.36	45.53	228.13	85.82	32.13	77.79	149.12	256.78	34.51	145.02	64.8	41.81	36.01	40.93	13.52	244.57	83.45	66.65	125.24	129.69	69.52	171.45	135.24	85.22	73.03	84.63	35.5	51.35	87.03	199.85	197.09	81.71	314.17	43.63	189.02	96.68	214.27	67.12	50.98	154.42	279.14	28.86	38.4	15.68	17.0	16.51	26.28	25.91	226.54	30.78	158.79	42.41	39.79	127.0	125.24	29.7	40.07	525.39	113.56	575.03	194.36	435.55	454.09	351.14	167.9	183.82	267.73	155.5	60.39	75.11	142.01	129.69	175.07	414.87	400.71
CENPT	954.43	703.28	780.44	540.19	460.44	679.29	327.56	353.59	674.59	271.48	733.19	571.05	414.87	327.56	684.02	974.5	193.01	447.82	373.81	260.38	223.41	316.37	291.04	830.75	540.19	244.57	381.68	567.1	258.57	796.86	536.45	373.81	376.41	403.5	348.71	208.38	358.54	698.41	819.3	854.13	1857.6	780.44	947.83	988.12	1322.37	698.41	470.14	1081.39	1923.14	295.11	379.04	334.46	384.34	559.28	232.94	334.46	1457.23	256.78	947.83	463.65	575.03	400.71	429.54	420.68	291.04	1617.0	547.75	954.43	842.36	1295.13	2682.69	1819.35	466.88	796.86	981.29	733.19	1059.11	651.58	591.22	647.07	507.46	1331.57	902.89
CHKB	1286.18	941.27	1322.37	392.44	921.88	1674.06	738.29	540.19	1127.35	808.0	1745.2	967.76	400.71	759.08	2032.85	1551.09	339.14	612.11	620.67	435.55	490.14	579.04	348.71	1674.06	753.83	336.79	607.87	890.44	728.11	1594.73	1340.84	703.28	555.41	785.88	555.41	525.39	1023.0	941.27	909.17	1023.0	2075.59	988.12	1529.73	1216.75	1572.76	1286.18	718.08	1233.75	2816.11	397.93	638.15	954.43	356.05	429.54	460.44	417.77	1191.69	221.86	934.76	397.93	633.73	1030.12	642.59	409.15	660.68	3665.02	775.05	2018.8	2133.97	3303.0	2075.59	2573.36	1066.48	2240.11	2133.97	785.88	1191.69	981.29	941.27	1111.82	2075.59	2502.97	1216.75
CLASRP	1313.23	928.3	1304.15	497.0	1044.52	1551.09	514.56	753.83	2240.11	511.0	1806.78	808.0	728.11	759.08	3280.18	1605.83	267.73	703.28	642.59	414.87	356.05	525.39	435.55	1857.6	708.18	728.11	890.44	915.51	603.67	2047.0	1096.5	967.76	954.43	866.07	269.6	583.07	1081.39	764.36	825.0	1277.29	2303.12	981.29	1844.76	1350.18	2287.2	1359.57	902.89	2090.03	3103.19	480.04	341.51	273.37	339.14	232.94	403.5	303.44	1183.45	255.0	988.12	361.04	242.88	684.02	579.04	244.57	409.15	2875.3	660.68	2335.28	1583.71	4152.18	2193.99	2240.11	802.41	1572.76	1697.45	808.0	1268.46	743.43	1519.15	1594.73	1044.52	1697.45	1208.34
COL1A1	244588.0	405683.88	170568.48	89523.81	119776.72	82951.62	176583.6	138544.47	85283.74	231394.29	140478.49	138544.47	88291.3	168220.2	90773.53	204252.32	191899.64	149521.18	195931.88	284880.02	115696.65	126606.21	82951.62	100719.65	159145.95	77934.88	104996.83	189257.69	141455.6	98646.85	102125.66	172949.54	254974.66	156954.93	161367.56	90146.51	124863.17	249727.34	485798.0	138544.47	53973.86	223512.12	107948.72	67846.12	67377.47	139508.13	131982.68	84109.6	28132.47	123144.13	282912.21	102125.66	95286.54	88291.3	198667.0	146444.06	161367.56	286861.53	598087.73	324980.94	84694.64	168220.2	143430.26	184082.4	172949.54	17681.08	187950.38	66449.85	145432.49	38697.77	34396.12	87681.42	208544.12	163620.18	66912.05	138544.47	155870.75	345900.08	150561.19	223512.12	133825.1	254974.66	129266.49
CPSF4	599.49	414.87	521.76	334.46	559.28	718.08	285.03	521.76	612.11	314.17	669.92	480.04	420.68	460.44	748.61	698.41	395.18	395.18	476.71	368.65	358.54	389.72	297.17	713.11	381.68	373.81	567.1	559.28	283.05	665.29	718.08	312.0	483.38	507.46	466.88	301.33	435.55	1313.23	379.04	603.67	651.58	521.76	872.1	688.78	791.35	583.07	629.35	860.08	718.08	414.87	483.38	379.04	688.78	265.87	366.09	633.73	332.14	318.57	403.5	595.34	403.5	373.81	426.57	293.07	473.41	555.41	587.13	1023.0	490.14	995.0	785.88	633.73	454.09	620.67	775.05	603.67	567.1	483.38	579.04	583.07	444.72	503.95	688.78
CSNK2B-LY6G5B-1181	87.65	40.36	47.17	13.32	5.36	42.41	16.39	26.86	88.26	47.5	111.99	15.56	22.92	16.15	78.89	105.15	0.0	9.93	33.06	7.4	4.39	15.11	24.63	93.35	16.03	9.06	34.02	53.95	9.48	49.21	56.68	15.91	3.79	19.11	16.63	25.72	26.28	81.71	91.41	37.85	120.1	21.16	82.29	52.08	223.41	96.01	6.62	97.36	133.36	36.79	18.16	24.63	32.82	15.22	18.84	42.41	75.11	29.48	21.94	33.54	26.67	18.43	14.03	7.94	37.32	112.77	34.75	231.32	63.0	206.94	289.02	193.01	38.12	56.68	96.68	65.72	48.87	48.52	32.13	105.15	30.56	36.27	97.36
CTC-479C5.12	43.63	29.48	111.99	5.77	11.3	45.21	11.3	38.95	34.75	16.75	64.8	35.5	43.02	26.28	46.18	49.91	20.41	30.12	27.05	7.63	6.67	7.06	14.14	96.68	34.51	20.11	48.52	54.72	35.25	37.05	40.36	21.32	10.31	28.24	29.91	9.63	48.52	23.76	31.67	73.54	105.89	23.42	42.71	64.8	88.88	100.83	10.31	62.56	108.14	23.76	19.39	38.4	75.64	98.04	32.13	26.28	97.36	23.76	27.25	29.91	98.73	104.42	54.33	45.21	23.25	201.25	63.0	101.54	48.87	150.17	116.78	116.78	31.45	44.89	100.13	77.25	72.52	35.0	40.64	33.78	38.12	76.71	55.49
CTRL	21.94	5.63	28.24	1.36	7.94	21.01	6.01	5.06	7.22	3.92	16.75	8.25	8.0	2.07	29.91	18.29	0.0	16.63	3.17	1.95	1.91	2.63	5.45	45.53	21.01	2.46	6.57	9.41	3.92	17.38	16.51	12.45	6.41	19.53	5.41	1.36	9.78	14.89	25.72	15.45	21.63	15.22	15.11	28.86	60.39	24.28	7.88	13.12	43.94	5.96	13.52	7.82	12.18	18.03	18.56	5.68	20.41	3.32	8.71	6.26	10.47	17.77	16.63	10.0	5.15	105.89	15.22	81.14	13.83	63.89	41.81	47.17	18.43	12.64	46.84	57.08	10.47	6.21	15.34	33.3	6.21	18.7	28.65
CUL9	591.22	591.22	543.96	366.09	723.08	759.08	476.71	529.06	830.75	318.57	836.53	591.22	387.02	392.44	872.1	753.83	189.02	540.19	420.68	356.05	384.34	480.04	161.02	1417.35	417.77	438.59	529.06	595.34	316.37	878.17	665.29	251.48	497.0	521.76	368.65	264.03	500.46	571.05	555.41	693.58	1127.35	547.75	830.75	775.05	1015.93	624.99	332.14	703.28	921.88	199.85	543.96	180.02	197.09	120.1	389.72	244.57	743.43	323.03	325.29	224.97	309.83	551.56	351.14	309.83	384.34	1286.18	441.64	909.17	836.53	1191.69	1806.78	733.19	536.45	866.07	961.07	470.14	444.72	395.18	688.78	713.11	665.29	890.44	878.17
D2HGDH	450.94	483.38	759.08	156.59	563.18	753.83	197.09	336.79	1561.89	89.51	759.08	412.0	460.44	246.28	1242.34	878.17	287.01	295.11	379.04	150.17	163.28	429.54	142.01	775.05	384.34	269.6	441.64	241.19	153.34	1277.29	299.25	279.14	616.37	329.84	500.46	420.68	376.41	387.02	420.68	417.77	921.88	242.88	591.22	441.64	866.07	473.41	201.25	660.68	1397.83	149.12	334.46	242.88	161.02	114.36	214.27	164.42	423.61	262.2	279.14	169.07	205.5	366.09	202.66	232.94	234.57	1794.29	332.14	808.0	409.15	1051.79	995.0	728.11	336.79	521.76	796.86	563.18	277.2	616.37	638.15	583.07	480.04	813.63	988.12
DDX51	320.8	205.5	193.01	156.59	194.36	371.22	150.17	215.77	251.48	112.77	389.72	384.34	293.07	194.36	366.09	363.56	181.28	236.21	251.48	178.77	217.27	253.23	232.94	392.44	269.6	218.79	363.56	208.38	144.01	332.14	283.05	303.44	194.36	305.55	336.79	215.77	291.04	221.86	303.44	426.57	429.54	303.44	599.49	353.59	473.41	353.59	217.27	547.75	447.82	145.02	149.12	183.82	334.46	82.29	175.07	256.78	343.89	155.5	181.28	212.78	191.67	241.19	177.53	137.14	169.07	591.22	289.02	748.61	366.09	555.41	387.02	429.54	301.33	258.57	379.04	303.44	420.68	242.88	336.79	327.56	323.03	429.54	316.37
DENND4B	423.61	361.04	429.54	275.28	473.41	497.0	291.04	320.8	665.29	224.97	607.87	441.64	108.14	356.05	651.58	872.1	185.11	277.2	325.29	239.52	241.19	277.2	202.66	1051.79	339.14	262.2	262.2	521.76	208.38	674.59	587.13	260.38	397.93	265.87	185.11	275.28	379.04	295.11	343.89	559.28	909.17	791.35	802.41	854.13	1199.98	796.86	406.31	866.07	1498.22	251.48	287.01	231.32	132.44	162.14	400.71	215.77	392.44	201.25	348.71	251.48	201.25	334.46	361.04	155.5	346.29	1519.15	620.67	1159.07	708.18	1233.75	1397.83	1143.1	460.44	1096.5	1023.0	603.67	525.39	525.39	1135.2	1059.11	438.59	947.83	836.53
DHX16	406.31	514.56	547.75	438.59	503.95	665.29	500.46	555.41	813.63	575.03	579.04	457.25	529.06	575.03	785.88	708.18	381.68	591.22	529.06	397.93	358.54	447.82	463.65	1304.15	665.29	536.45	525.39	612.11	381.68	808.0	713.11	412.0	555.41	599.49	500.46	591.22	514.56	514.56	476.71	819.3	1001.93	358.54	629.35	764.36	878.17	941.27	454.09	921.88	825.0	708.18	397.93	656.11	476.71	343.89	543.96	629.35	866.07	466.88	483.38	583.07	500.46	612.11	500.46	409.15	575.03	1066.48	599.49	698.41	703.28	896.64	1183.45	693.58	624.99	723.08	866.07	753.83	902.89	473.41	713.11	629.35	674.59	836.53	802.41
DMTF1	346.29	587.13	493.56	271.48	775.05	753.83	426.57	417.77	1023.0	438.59	769.69	708.18	295.11	583.07	1628.26	1286.18	206.94	748.61	392.44	379.04	262.2	332.14	215.77	1242.34	563.18	620.67	432.53	728.11	463.65	1037.29	547.75	603.67	718.08	463.65	220.32	454.09	633.73	909.17	665.29	525.39	1651.0	961.07	1250.98	1295.13	1277.29	733.19	684.02	1088.92	1950.0	291.04	206.94	177.53	119.26	205.5	295.11	264.03	503.95	295.11	483.38	728.11	198.47	381.68	470.14	373.81	387.02	2645.74	547.75	1378.57	665.29	1233.75	1167.14	1417.35	633.73	830.75	1008.9	674.59	693.58	896.64	1359.57	1304.15	764.36	1769.57	995.0
DNAH1	75.64	46.5	55.49	14.14	69.52	90.77	31.9	37.05	130.6	26.1	108.9	66.18	20.26	33.3	156.59	177.53	5.02	40.07	34.75	25.35	24.28	20.26	11.13	185.11	46.18	19.25	61.25	68.07	20.71	101.54	68.07	40.36	71.5	32.13	12.55	17.13	50.63	82.29	92.7	92.7	214.27	105.89	97.36	84.04	283.05	82.87	22.26	148.09	127.89	6.41	18.16	5.73	4.9	5.77	29.7	7.0	37.05	15.8	36.27	21.01	8.78	31.45	43.63	13.03	17.13	293.07	39.5	204.07	159.9	223.41	140.04	158.79	43.32	45.85	403.5	59.97	92.7	111.21	87.65	187.71	51.71	173.85	96.01
DNAJB7	0.0	0.87	1.83	0.89	3.41	2.86	0.45	2.18	0.73	1.41	2.56	1.16	0.43	0.78	5.92	2.81	0.0	0.0	1.69	1.33	1.04	0.84	1.6	2.56	1.62	0.78	1.97	1.68	0.45	3.69	0.41	0.46	2.63	0.0	0.0	0.43	0.87	2.48	2.63	0.0	1.43	1.23	4.24	1.08	6.52	1.19	2.07	2.03	5.73	1.36	0.0	1.83	0.92	0.61	0.58	0.0	1.35	3.14	1.08	1.07	0.61	2.23	0.57	0.0	1.11	8.58	1.48	6.11	0.0	3.66	1.57	4.43	2.36	1.43	1.33	1.73	2.1	4.82	4.54	4.58	1.57	2.25	3.26
DPH7	403.5	361.04	595.34	199.85	603.67	718.08	202.66	373.81	688.78	287.01	723.08	536.45	336.79	339.14	802.41	698.41	379.04	249.73	262.2	214.27	251.48	223.41	262.2	703.28	351.14	323.03	500.46	450.94	373.81	660.68	599.49	429.54	329.84	420.68	218.79	165.57	316.37	441.64	503.95	638.15	2240.11	536.45	825.0	830.75	1119.56	543.96	483.38	896.64	1639.59	178.77	226.54	154.42	169.07	169.07	223.41	248.0	854.13	624.99	336.79	295.11	215.77	356.05	409.15	132.44	291.04	954.43	307.69	995.0	483.38	1088.92	848.22	825.0	426.57	412.0	764.36	389.72	500.46	423.61	642.59	518.15	518.15	878.17	599.49
DXO	320.8	289.02	376.41	211.31	457.25	490.14	237.86	264.03	718.08	323.03	607.87	221.86	320.8	232.94	660.68	463.65	307.69	246.28	299.25	145.02	262.2	267.73	153.34	819.3	356.05	185.11	351.14	348.71	208.38	591.22	559.28	228.13	226.54	303.44	165.57	191.67	295.11	389.72	356.05	400.71	713.11	450.94	493.56	409.15	693.58	395.18	232.94	447.82	595.34	190.34	170.25	229.72	182.55	117.6	127.89	206.94	316.37	289.02	463.65	260.38	124.37	289.02	166.73	74.58	180.02	708.18	346.29	454.09	397.93	466.88	836.53	607.87	258.57	351.14	486.75	363.56	497.0	348.71	325.29	412.0	483.38	536.45	679.29
EML3	1331.57	995.0	1044.52	460.44	866.07	1104.13	723.08	961.07	1208.34	616.37	1467.37	759.08	384.34	595.34	1233.75	1199.98	358.54	624.99	902.89	521.76	309.83	703.28	547.75	1313.23	497.0	679.29	748.61	848.22	507.46	1088.92	967.76	540.19	866.07	559.28	334.46	698.41	842.36	1127.35	902.89	995.0	1605.83	1111.82	1199.98	1457.23	1883.54	995.0	988.12	780.44	1359.57	476.71	529.06	961.07	555.41	432.53	612.11	457.25	703.28	503.95	624.99	612.11	555.41	718.08	674.59	351.14	733.19	1896.65	974.5	1572.76	1594.73	1674.06	1208.34	1662.49	872.1	947.83	1572.76	1037.29	1001.93	1233.75	967.76	1304.15	1191.69	1331.57	896.64
ENGASE	303.44	358.54	791.35	109.66	384.34	463.65	136.19	236.21	486.75	59.55	325.29	256.78	175.07	161.02	497.0	723.08	172.65	87.03	234.57	166.73	62.56	94.67	67.12	808.0	229.72	94.67	191.67	289.02	76.71	251.48	363.56	178.77	224.97	226.54	138.1	224.97	166.73	194.36	246.28	323.03	2287.2	341.51	1073.91	633.73	791.35	500.46	297.17	1487.87	1088.92	106.63	142.01	145.02	101.54	76.71	133.36	105.89	403.5	125.24	275.28	136.19	138.1	251.48	264.03	130.6	115.16	941.27	186.4	1331.57	486.75	698.41	718.08	974.5	289.02	420.68	743.43	540.19	1407.55	246.28	842.36	890.44	312.0	954.43	575.03
ENTHD2	269.6	521.76	400.71	104.42	366.09	567.1	248.0	206.94	493.56	129.69	457.25	339.14	181.28	199.85	466.88	708.18	81.14	195.72	267.73	150.17	177.53	143.01	85.82	684.02	204.07	208.38	212.78	334.46	153.34	480.04	358.54	199.85	242.88	226.54	105.89	116.78	183.82	397.93	348.71	563.18	928.3	426.57	603.67	497.0	759.08	480.04	497.0	733.19	1183.45	150.17	232.94	132.44	180.02	183.82	209.84	131.51	791.35	134.3	239.52	182.55	229.72	316.37	267.73	171.45	221.86	819.3	314.17	961.07	603.67	1199.98	775.05	764.36	450.94	587.13	769.69	460.44	521.76	493.56	775.05	896.64	511.0	684.02	559.28
EXD3	206.94	180.02	466.88	97.36	343.89	343.89	145.02	212.78	607.87	105.89	426.57	199.85	202.66	185.11	457.25	483.38	236.21	118.43	264.03	170.25	220.32	193.01	204.07	450.94	237.86	147.06	277.2	190.34	112.77	511.0	334.46	221.86	182.55	208.38	78.34	102.97	131.51	144.01	275.28	351.14	718.08	320.8	346.29	476.71	599.49	177.53	316.37	435.55	674.59	100.13	229.72	64.34	128.79	118.43	117.6	119.26	273.37	114.36	172.65	191.67	142.01	212.78	182.55	148.09	161.02	571.05	135.24	327.56	265.87	438.59	305.55	473.41	185.11	169.07	348.71	285.03	271.48	218.79	281.09	336.79	363.56	713.11	371.22
FAM156B	500.46	447.82	703.28	248.0	432.53	507.46	267.73	361.04	493.56	221.86	500.46	269.6	189.02	199.85	624.99	551.56	145.02	190.34	366.09	249.73	151.22	182.55	165.57	693.58	438.59	166.73	323.03	432.53	148.09	423.61	417.77	253.23	289.02	273.37	162.14	190.34	269.6	563.18	555.41	555.41	1259.69	718.08	591.22	642.59	753.83	426.57	486.75	708.18	780.44	135.24	260.38	90.77	92.05	150.17	144.01	165.57	356.05	397.93	1175.27	301.33	117.6	265.87	264.03	134.3	134.3	759.08	287.01	595.34	480.04	723.08	595.34	507.46	323.03	397.93	583.07	384.34	414.87	307.69	426.57	480.04	466.88	909.17	1096.5
FAM160A2	703.28	486.75	454.09	327.56	848.22	665.29	748.61	397.93	1225.22	480.04	974.5	412.0	490.14	547.75	1286.18	1277.29	334.46	429.54	665.29	376.41	473.41	463.65	251.48	813.63	490.14	285.03	547.75	460.44	353.59	854.13	500.46	423.61	543.96	460.44	236.21	327.56	559.28	684.02	1096.5	785.88	4736.79	486.75	1151.06	854.13	1199.98	466.88	521.76	1277.29	1015.93	305.55	441.64	318.57	191.67	275.28	334.46	264.03	525.39	329.84	457.25	316.37	314.17	460.44	397.93	346.29	327.56	1030.12	420.68	1073.91	759.08	1066.48	780.44	934.76	483.38	579.04	866.07	470.14	796.86	656.11	743.43	769.69	796.86	1059.11	693.58
FAM160B2	620.67	1037.29	947.83	660.68	974.5	981.29	518.15	579.04	1870.53	379.04	1909.85	674.59	341.51	753.83	1709.26	1388.16	1322.37	521.76	759.08	713.11	620.67	521.76	323.03	1498.22	656.11	830.75	532.74	902.89	438.59	1407.55	718.08	583.07	1104.13	490.14	312.0	463.65	624.99	878.17	785.88	1295.13	1167.14	1369.04	1191.69	1096.5	1721.16	1286.18	1175.27	967.76	1991.0	684.02	748.61	356.05	341.51	277.2	518.15	309.83	825.0	1059.11	1191.69	769.69	503.95	1008.9	684.02	334.46	703.28	1697.45	890.44	1628.26	1467.37	1936.53	1457.23	1457.23	947.83	1066.48	1417.35	830.75	651.58	1242.34	1322.37	1806.78	1427.22	1883.54	1051.79
FAM193B	698.41	591.22	665.29	356.05	1111.82	941.27	764.36	941.27	1977.24	555.41	1519.15	669.92	583.07	341.51	1477.58	1617.0	339.14	503.95	748.61	353.59	466.88	358.54	316.37	1437.15	693.58	518.15	878.17	796.86	518.15	1369.04	1572.76	490.14	559.28	769.69	301.33	493.56	536.45	684.02	1015.93	1096.5	2047.0	974.5	1551.09	1540.37	2178.83	1001.93	693.58	1199.98	2915.45	215.77	571.05	187.71	146.03	185.11	389.72	327.56	624.99	435.55	409.15	341.51	551.56	426.57	529.06	249.73	476.71	4481.23	629.35	3190.46	1594.73	2537.92	2178.83	1936.53	769.69	1277.29	1594.73	813.63	647.07	785.88	1397.83	1437.15	796.86	1896.65	1427.22
FAM209A	9.63	3.44	2.2	1.77	1.97	6.78	6.52	3.92	5.54	6.84	4.78	6.41	3.86	3.76	9.78	8.38	0.0	2.39	4.58	1.81	1.08	1.27	1.27	24.81	9.85	1.19	0.0	6.16	0.0	5.59	5.54	9.06	2.25	2.43	2.63	5.45	3.76	2.97	5.06	10.16	6.89	13.22	5.63	12.55	16.63	5.5	7.75	8.19	5.32	0.0	0.0	1.51	1.39	2.1	1.99	2.34	4.7	1.1	1.17	0.0	2.12	0.0	3.26	1.64	6.62	21.01	0.0	11.47	12.55	34.51	10.47	27.05	7.28	11.04	14.24	0.0	6.57	3.56	12.36	16.75	4.5	7.63	2.18
FAM229A	37.85	45.21	127.89	28.65	80.57	115.97	34.26	31.67	152.28	6.16	118.43	40.64	8.85	45.85	108.14	127.89	6.94	32.13	54.33	19.39	24.81	10.0	15.0	111.21	11.73	43.02	42.11	21.16	10.63	105.15	39.5	32.13	23.25	18.97	12.36	6.52	16.39	177.53	75.11	95.34	80.57	100.83	63.89	82.87	157.68	59.55	38.95	77.79	215.77	18.97	27.05	16.63	18.97	7.57	9.63	12.18	66.65	30.34	61.25	19.68	9.85	13.72	22.1	9.27	14.78	181.28	75.64	149.12	87.65	236.21	249.73	170.25	25.91	81.71	130.6	77.79	37.85	92.7	81.71	176.29	109.66	156.59	155.5
