	TCGA.BA.5557.01A.01R.1514.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.HE.A5NJ.01A.11R.A26U.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.BQ.5894.01A.11R.1592.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZTPG.1426.SM.51MT3	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5428.01A.01R.1628.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.3411.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07.1
TSPAN18	110.43	72.52	62.56	218.79	29.7	633.73	620.67	1096.5	33.06	426.57	571.05	579.04	1242.34	934.76	239.52	995.0	890.44	190.34	1313.23	1519.15	480.04	660.68	1529.73	237.86	1277.29	127.89	151.22	1369.04	514.56	414.87	728.11	389.72	518.15	842.36	1331.57	660.68	825.0	813.63	928.3	450.94	444.72	1331.57	466.88	212.78	406.31	63.0	166.73	63.89	115.97	194.36	18.84	48.18	10.08	17.64	55.1	17.64
TTC18	1.36	56.68	20.56	13.12	15.56	61.25	215.77	151.22	11.13	175.07	76.17	74.58	183.82	536.45	21.63	435.55	255.0	53.19	79.45	209.84	58.3	48.52	205.5	27.25	149.12	16.75	194.36	111.99	96.01	48.52	162.14	60.82	149.12	52.82	195.72	353.59	94.01	503.95	123.5	120.1	61.25	83.45	49.56	17.64	43.02	6.26	4.31	8.71	17.38	0.0	21.63	25.35	5.11	13.93	10.71	13.93
TTC21A	18.56	35.0	15.8	29.91	40.93	92.05	159.9	197.09	5.68	185.11	82.87	65.72	163.28	299.25	47.17	620.67	195.72	123.5	171.45	198.47	129.69	111.21	185.11	40.07	106.63	36.27	171.45	122.64	82.29	100.83	129.69	50.98	161.02	66.65	204.07	258.57	91.41	392.44	346.29	212.78	76.71	80.57	134.3	52.82	55.89	24.63	5.41	7.22	60.82	0.0	39.5	24.46	15.56	22.59	4.46	22.59
TTLL3	48.52	273.37	186.4	248.0	121.79	336.79	1073.91	1191.69	54.72	559.28	201.25	486.75	813.63	1819.35	103.69	4575.41	1059.11	642.59	429.54	995.0	575.03	239.52	890.44	167.9	543.96	199.85	934.76	414.87	329.84	301.33	656.11	264.03	651.58	500.46	1104.13	1467.37	420.68	1340.84	1794.29	988.12	273.37	314.17	285.03	287.01	384.34	61.68	43.63	26.86	153.34	0.0	224.97	77.79	41.22	173.85	94.67	173.85
TUBG2	95.34	497.0	195.72	229.72	215.77	529.06	603.67	351.14	112.77	460.44	403.5	293.07	476.71	733.19	358.54	848.22	616.37	457.25	318.57	532.74	387.02	376.41	571.05	368.65	612.11	334.46	587.13	248.0	759.08	483.38	647.07	603.67	497.0	988.12	624.99	738.29	493.56	612.11	825.0	429.54	293.07	808.0	480.04	525.39	698.41	108.9	83.45	89.51	176.29	0.0	142.01	224.97	69.03	279.14	241.19	279.14
USP25	314.17	480.04	457.25	256.78	301.33	277.2	447.82	426.57	123.5	403.5	406.31	423.61	684.02	651.58	476.71	656.11	409.15	395.18	514.56	583.07	249.73	444.72	728.11	312.0	392.44	395.18	500.46	500.46	514.56	483.38	217.27	244.57	555.41	175.07	563.18	616.37	441.64	507.46	432.53	518.15	289.02	356.05	417.77	181.28	366.09	157.68	226.54	153.34	307.69	0.0	417.77	265.87	49.91	305.55	287.01	305.55
WDR19	52.45	157.68	132.44	76.17	112.77	514.56	660.68	665.29	10.79	813.63	579.04	420.68	981.29	1167.14	177.53	860.08	791.35	450.94	693.58	896.64	493.56	612.11	934.76	281.09	738.29	470.14	679.29	688.78	500.46	579.04	470.14	480.04	738.29	412.0	1051.79	1096.5	429.54	1001.93	995.0	802.41	332.14	332.14	529.06	493.56	387.02	201.25	120.1	193.01	348.71	0.0	166.73	125.24	56.68	130.6	105.15	130.6
WDR27	40.64	231.32	94.01	46.84	61.25	122.64	384.34	466.88	8.99	246.28	190.34	218.79	490.14	902.89	144.01	1059.11	463.65	226.54	376.41	603.67	148.09	234.57	802.41	220.32	353.59	140.04	343.89	265.87	260.38	301.33	503.95	163.28	368.65	217.27	723.08	995.0	223.41	684.02	890.44	384.34	84.63	164.42	198.47	221.86	115.16	79.45	33.54	29.48	121.79	0.0	171.45	96.68	58.3	148.09	142.01	148.09
WDR35	28.04	100.13	79.45	35.0	34.02	142.01	169.07	206.94	9.27	205.5	151.22	119.26	314.17	285.03	220.32	264.03	156.59	139.07	167.9	164.42	167.9	116.78	236.21	215.77	218.79	175.07	152.28	218.79	239.52	120.94	176.29	58.3	176.29	135.24	204.07	186.4	134.3	202.66	325.29	166.73	106.63	218.79	181.28	87.65	170.25	9.56	9.13	20.86	36.01	0.0	81.71	48.87	30.78	53.19	33.54	53.19
WDR96	0.62	20.11	4.54	5.59	6.41	53.19	81.14	189.02	6.62	159.9	17.13	46.84	106.63	228.13	30.34	180.02	88.26	44.89	137.14	130.6	56.28	29.27	134.3	29.48	110.43	51.35	201.25	98.04	72.01	42.11	154.42	24.63	169.07	28.45	129.69	221.86	43.32	234.57	159.9	87.65	80.57	70.51	75.64	27.05	17.0	3.63	0.52	1.1	3.69	0.0	13.22	13.42	0.66	1.73	2.01	1.73
WIPF3	9.2	23.93	141.02	29.27	241.19	108.9	148.09	145.02	3.53	111.21	124.37	1.71	532.74	201.25	12.36	185.11	258.57	21.16	25.54	348.71	165.57	57.89	295.11	11.82	234.57	9.7	236.21	60.39	150.17	75.64	120.94	104.42	162.14	291.04	343.89	325.29	57.89	753.83	154.42	103.69	221.86	55.49	66.18	173.85	18.16	3.44	23.42	7.28	42.71	1.46	1.6	9.63	10.16	31.22	2.46	31.22
ZNF300	8.0	53.95	4.17	4.54	12.55	87.65	80.01	127.89	3.2	72.52	94.67	14.56	161.02	186.4	43.02	403.5	102.97	72.01	84.63	114.36	57.89	47.17	128.79	60.82	99.43	36.01	193.01	154.42	57.89	92.7	94.67	59.97	99.43	55.49	161.02	204.07	55.1	154.42	253.23	169.07	88.88	46.5	73.54	44.25	50.27	2.51	2.39	1.5	7.06	0.0	15.22	50.63	3.82	59.97	26.1	59.97
ZNF862	45.85	173.85	136.19	149.12	102.25	205.5	470.14	297.17	37.85	267.73	138.1	82.29	698.41	890.44	100.13	607.87	361.04	198.47	253.23	358.54	204.07	152.28	483.38	96.68	406.31	90.77	470.14	339.14	166.73	220.32	186.4	78.34	511.0	155.5	529.06	536.45	217.27	718.08	486.75	223.41	143.01	191.67	199.85	50.98	189.02	62.12	7.88	16.39	43.63	0.0	211.31	133.36	16.51	81.14	68.55	81.14
