	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.E2.A1L6.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PTPRT	1498.22	41.52	3.86	25.91	974.5	23.08	785.88	0.52	14.56	57.89	43.94	4.13	16.75	84.63	102.97	529.06	3.41	0.0	244.57	155.5	1369.04	555.41	5.19	738.29	246.28	36.01	31.67	36.53	78.34	1.87	5.63	624.99	29.06	59.13	5.32	37.05	201.25	40.36	94.67	127.0	4.78	1.66	0.0	1.91	0.0	0.51	0.79	0.0	0.8	0.0	0.45	0.0	0.87	5.45	0.0	5.73	0.56	3.14	2.07	0.64	0.0	0.0	0.0
REEP3	733.19	406.31	281.09	265.87	497.0	212.78	733.19	202.66	334.46	511.0	346.29	417.77	293.07	583.07	392.44	403.5	651.58	212.78	563.18	346.29	503.95	656.11	341.51	620.67	587.13	525.39	343.89	583.07	583.07	733.19	303.44	244.57	287.01	708.18	312.0	529.06	441.64	551.56	132.44	281.09	218.79	412.0	226.54	285.03	189.02	182.55	145.02	208.38	173.85	218.79	214.27	136.19	156.59	198.47	148.09	314.17	141.02	244.57	281.09	218.79	229.72	353.59	457.25
RFX7	191.67	143.01	97.36	62.56	232.94	80.57	151.22	43.94	92.7	244.57	163.28	124.37	119.26	228.13	85.82	187.71	121.79	105.15	159.9	116.78	135.24	234.57	117.6	236.21	228.13	151.22	126.12	120.1	153.34	208.38	88.26	135.24	100.13	89.51	125.24	108.9	169.07	139.07	144.01	180.02	115.97	65.72	45.21	51.35	28.86	20.11	29.7	18.29	22.92	19.97	25.72	19.97	30.12	26.1	18.03	50.27	17.51	33.3	32.59	35.5	6.94	0.0	0.39
SELT	5479.15	2520.38	1870.53	3103.19	2956.17	1870.53	6164.49	2434.5	2855.44	3564.78	4512.4	2485.67	4358.66	4010.71	3928.15	3742.05	3928.15	2240.11	2915.45	4268.94	4481.23	3540.14	2520.38	3639.7	3540.14	3349.13	3690.52	2895.31	3257.52	4639.29	3716.2	2209.26	2255.7	4607.24	2645.74	3515.68	5711.87	3639.7	2537.92	2468.49	3190.46	2004.85	1963.57	1605.83	1313.23	1896.65	1151.06	825.0	1407.55	1709.26	2104.58	1477.58	1268.46	1896.65	1508.65	1896.65	1143.1	1477.58	1628.26	1844.76	1015.93	3540.14	860.08
SIAH2	7032.37	2682.69	674.59	454.09	1477.58	2004.85	4419.52	1417.35	3146.52	2075.59	5517.27	738.29	6121.9	3146.52	1322.37	3982.99	1806.78	974.5	2591.27	6164.49	1519.15	1605.83	463.65	3901.01	6294.04	2609.3	1304.15	890.44	921.88	2018.8	1745.2	2133.97	1674.06	5479.15	412.0	1870.53	6887.62	4038.61	1268.46	1397.83	6079.61	3235.01	921.88	1023.0	595.34	974.5	1651.0	698.41	791.35	1295.13	651.58	1313.23	860.08	941.27	414.87	1037.29	1313.23	555.41	759.08	493.56	275.28	0.0	0.88
SPATA6	241.19	307.69	84.63	63.45	111.21	91.41	223.41	42.71	258.57	133.36	74.58	57.08	221.86	85.22	106.63	159.9	195.72	116.78	191.67	161.02	223.41	277.2	55.1	312.0	291.04	122.64	151.22	73.03	155.5	109.66	47.17	72.01	62.56	373.81	147.06	72.01	133.36	77.79	65.72	122.64	199.85	52.08	15.45	36.53	7.11	22.59	4.66	12.45	5.15	3.69	8.85	15.91	11.82	10.88	9.34	28.04	25.72	23.93	30.56	30.12	5.96	0.0	0.37
SPPL3	764.36	890.44	547.75	769.69	1250.98	624.99	1259.69	733.19	759.08	836.53	934.76	638.15	733.19	1322.37	656.11	769.69	780.44	819.3	738.29	1059.11	1081.39	708.18	1088.92	854.13	769.69	813.63	764.36	796.86	878.17	1088.92	1340.84	733.19	954.43	466.88	1081.39	947.83	921.88	830.75	1096.5	954.43	624.99	743.43	423.61	417.77	366.09	223.41	379.04	303.44	417.77	339.14	277.2	384.34	414.87	387.02	473.41	389.72	376.41	397.93	366.09	371.22	314.17	571.05	109.66
SSBP2	1199.98	988.12	194.36	791.35	808.0	224.97	3614.55	72.52	974.5	638.15	356.05	444.72	1594.73	1119.56	607.87	486.75	371.22	571.05	312.0	1350.18	1896.65	642.59	616.37	1044.52	1572.76	591.22	612.11	967.76	759.08	1709.26	486.75	796.86	620.67	1159.07	547.75	995.0	1268.46	1447.15	1023.0	1467.37	1540.37	595.34	49.91	133.36	26.67	68.07	53.57	43.94	68.07	12.09	15.56	58.71	48.52	23.25	14.35	165.57	25.54	63.0	130.6	56.68	4.21	0.0	0.68
TBC1D19	194.36	154.42	64.8	65.72	162.14	74.06	153.34	54.72	157.68	110.43	158.79	50.98	108.14	125.24	147.06	189.02	87.03	90.14	103.69	96.01	120.94	150.17	125.24	133.36	129.69	54.72	111.21	90.77	127.89	275.28	61.25	69.52	72.01	95.34	98.73	242.88	103.69	65.72	87.03	180.02	68.07	57.89	24.99	38.4	9.2	14.03	30.34	21.16	22.43	23.93	15.22	23.08	30.34	43.94	10.08	32.82	31.45	22.43	31.9	22.26	6.89	0.0	0.13
TMED8	175.07	103.69	170.25	176.29	201.25	92.05	490.14	80.57	218.79	202.66	353.59	164.42	325.29	346.29	125.24	293.07	198.47	195.72	108.14	185.11	229.72	224.97	316.37	277.2	361.04	182.55	135.24	236.21	205.5	176.29	94.01	137.14	114.36	297.17	164.42	171.45	159.9	223.41	136.19	316.37	264.03	172.65	50.63	53.19	25.72	29.48	27.44	20.56	23.42	35.5	19.97	22.59	32.13	28.24	20.11	40.93	23.93	37.32	46.18	38.67	13.72	0.0	0.4
TMF1	934.76	532.74	435.55	320.8	460.44	117.6	669.92	312.0	346.29	463.65	642.59	525.39	406.31	497.0	237.86	476.71	381.68	432.53	470.14	334.46	503.95	551.56	432.53	483.38	571.05	295.11	221.86	395.18	665.29	743.43	155.5	201.25	201.25	575.03	460.44	211.31	603.67	470.14	444.72	796.86	392.44	373.81	112.77	201.25	80.57	89.51	68.55	58.3	92.05	82.29	81.71	52.08	66.65	169.07	66.18	105.89	35.76	111.21	198.47	89.51	108.14	0.0	0.48
TUBA3D	4066.71	194.36	8.92	6.52	127.89	108.14	2351.53	2.23	5.06	514.56	4.13	17.64	18.03	142.01	228.13	177.53	3.76	3.06	90.14	67.12	8.25	3419.52	2.56	536.45	366.09	19.68	20.26	71.5	60.39	50.63	21.78	27.64	2.12	52.08	9.85	57.89	88.26	1127.35	12.18	84.04	6.11	10.79	0.0	15.22	5.96	0.71	5.63	0.0	3.06	3.99	0.65	1.08	9.13	7.17	0.0	0.0	8.13	10.39	9.06	16.63	7.11	0.0	0.0
TUBA3E	890.44	126.12	4.06	41.52	69.03	25.17	140.04	1.1	8.19	34.02	21.32	7.88	4.5	20.11	37.85	39.22	5.32	6.36	59.13	94.67	0.64	373.81	1.77	117.6	29.91	5.63	6.73	4.17	39.22	61.68	5.92	43.02	0.0	16.27	18.97	15.22	2.73	167.9	7.51	22.59	18.56	12.09	1.99	2.12	0.0	0.0	4.58	0.0	0.0	0.0	0.0	2.58	1.41	0.0	0.0	0.0	4.9	1.2	3.69	3.96	0.0	0.0	0.0
UBA3	1697.45	1167.14	738.29	947.83	1127.35	447.82	1088.92	796.86	808.0	866.07	1044.52	830.75	1313.23	961.07	830.75	1467.37	1250.98	674.59	1008.9	995.0	1015.93	1167.14	718.08	1059.11	1001.93	587.13	616.37	718.08	1037.29	1457.23	571.05	1191.69	579.04	674.59	954.43	583.07	1304.15	902.89	764.36	981.29	753.83	884.29	389.72	395.18	301.33	327.56	339.14	318.57	289.02	353.59	356.05	267.73	305.55	351.14	343.89	500.46	212.78	339.14	412.0	327.56	289.02	0.0	0.73
WFDC3	339.14	26.47	16.51	33.78	7.0	80.57	241.19	35.76	41.81	10.79	186.4	17.64	34.26	16.39	75.64	13.03	49.21	12.93	199.85	121.79	52.45	24.99	10.79	40.64	43.94	10.39	39.5	83.45	5.82	58.71	100.83	35.76	54.33	43.94	30.12	12.93	118.43	22.59	36.53	132.44	107.38	14.67	9.2	15.11	5.41	12.0	7.22	11.04	16.51	18.56	2.73	3.89	20.86	3.47	3.5	15.11	18.7	17.0	12.45	10.79	5.77	0.0	0.25
ZBTB14	325.29	175.07	156.59	157.68	299.25	171.45	387.02	118.43	228.13	318.57	291.04	146.03	234.57	189.02	143.01	209.84	228.13	244.57	133.36	283.05	153.34	249.73	186.4	277.2	251.48	190.34	146.03	141.02	195.72	202.66	158.79	198.47	141.02	217.27	239.52	139.07	307.69	260.38	209.84	221.86	307.69	187.71	96.01	121.79	65.72	82.29	82.87	47.17	64.34	124.37	44.57	63.89	85.22	88.26	52.08	118.43	63.45	104.42	98.04	115.97	38.95	0.0	0.0
ZNF143	733.19	395.18	343.89	312.0	316.37	332.14	473.41	281.09	336.79	483.38	409.15	341.51	518.15	387.02	241.19	379.04	371.22	301.33	327.56	473.41	323.03	389.72	297.17	346.29	253.23	289.02	299.25	246.28	336.79	339.14	341.51	346.29	231.32	262.2	346.29	356.05	454.09	603.67	273.37	647.07	426.57	271.48	241.19	162.14	194.36	95.34	339.14	164.42	166.73	159.9	162.14	199.85	226.54	208.38	305.55	212.78	62.56	143.01	167.9	125.24	130.6	0.0	0.01
ZNF25	397.93	141.02	214.27	75.64	123.5	87.65	279.14	57.49	155.5	176.29	155.5	55.1	178.77	93.35	81.71	140.04	136.19	96.68	59.97	163.28	150.17	182.55	74.06	262.2	193.01	122.64	111.99	115.16	130.6	285.03	69.52	96.01	124.37	93.35	78.34	115.16	221.86	108.14	128.79	106.63	260.38	116.78	53.57	53.19	17.25	34.02	23.08	18.16	38.67	24.81	35.76	32.13	31.9	45.53	14.03	62.56	7.17	34.02	35.25	27.44	10.08	0.0	0.39
ZNF343	417.77	132.44	217.27	175.07	228.13	153.34	191.67	111.99	208.38	178.77	318.57	120.94	165.57	226.54	124.37	185.11	127.89	215.77	151.22	231.32	265.87	172.65	232.94	143.01	182.55	193.01	226.54	273.37	150.17	172.65	88.88	185.11	191.67	199.85	140.04	136.19	249.73	223.41	159.9	316.37	182.55	176.29	142.01	66.18	59.97	93.35	122.64	97.36	118.43	148.09	84.63	135.24	80.01	104.42	76.17	125.24	50.98	68.07	84.63	64.8	97.36	0.0	0.71
ZNF491	21.16	22.92	14.35	23.42	26.28	34.51	63.45	42.71	63.45	26.86	34.02	11.64	31.67	38.12	15.11	42.41	28.04	31.22	27.44	21.01	62.12	52.82	12.64	39.5	45.53	28.45	49.21	19.11	11.55	44.25	13.42	12.0	25.17	31.0	27.05	40.64	33.54	49.56	15.11	49.91	35.5	24.63	4.74	6.84	13.72	5.36	8.45	4.17	7.22	7.22	1.28	16.63	16.39	9.93	11.55	20.11	13.62	2.25	9.56	6.36	0.37	0.0	0.15
ZNF546	105.15	29.7	38.67	33.78	43.32	23.42	87.65	29.27	45.85	71.5	75.11	28.45	51.71	54.33	21.16	27.25	38.4	31.67	32.36	42.11	56.68	51.35	49.91	57.49	56.68	83.45	40.36	23.08	33.06	33.78	22.59	25.72	35.76	40.93	60.82	57.49	59.13	23.08	90.77	101.54	39.79	37.05	16.15	23.93	8.45	18.56	11.13	13.22	16.51	21.63	18.29	16.75	10.79	21.94	8.32	21.94	14.89	24.81	23.76	14.89	8.13	0.0	0.17
