	GTEX.14AS3.1626.SM.5S2OY	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.TSE9.2826.SM.4DXTF	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.64.1678.01A.01R.0946.07	TCGA.05.5428.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.37.4135.01A.01R.1100.07	TCGA.18.3421.01A.01R.0980.07	TCGA.34.5234.01A.01R.1635.07	TCGA.37.4130.01A.01R.1100.07	TCGA.AG.3591.01A.01R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13D11.1226.SM.5IFGA	GTEX.ZYVF.0526.SM.5E43E	GTEX.1399U.1326.SM.5IJET	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.ZAK1.2526.SM.5S2N7	GTEX.14BIM.2226.SM.5SI8Y	GTEX.TSE9.2626.SM.4DXV2	GTEX.RU72.2626.SM.4TT75	GTEX.W5WG.1326.SM.4LMI9	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT
PRPH2	9.27	14.24	68.07	1.5	14.24	0.96	16.03	2.32	2.29	3.63	3.76	1.22	10.31	13.03	2.86	4.82	11.55	11.91	42.11	14.14	41.52	47.17	29.27	16.51	47.84	190.34	30.78	12.0	20.26	6.31
PRR14	813.63	743.43	1015.93	575.03	414.87	371.22	287.01	221.86	808.0	514.56	825.0	909.17	669.92	679.29	961.07	866.07	426.57	1467.37	1111.82	1447.15	1437.15	1572.76	967.76	2061.24	1359.57	2591.27	2004.85	1457.23	1551.09	1427.22
PRR24	244.57	180.02	2468.49	185.11	182.55	90.14	105.89	197.09	234.57	182.55	214.27	241.19	169.07	293.07	135.24	134.3	100.83	511.0	1540.37	486.75	1628.26	1857.6	693.58	2796.65	854.13	1794.29	1127.35	1030.12	1529.73	1674.06
PRSS50	33.78	90.14	171.45	1.69	10.0	0.0	7.0	2.1	71.5	85.22	105.89	551.56	9.41	4.43	30.12	4.9	0.0	2.14	67.59	16.75	127.89	248.0	2.41	381.68	68.55	463.65	27.44	78.89	39.22	397.93
PTPN23	249.73	239.52	612.11	102.25	52.82	224.97	180.02	70.51	102.97	167.9	94.01	98.73	157.68	107.38	120.94	420.68	244.57	341.51	473.41	320.8	642.59	599.49	156.59	669.92	323.03	872.1	612.11	529.06	490.14	651.58
RBM6	759.08	693.58	2609.3	703.28	346.29	307.69	269.6	147.06	928.3	525.39	616.37	1313.23	575.03	470.14	1059.11	1806.78	167.9	1819.35	2537.92	1487.87	2163.77	1857.6	785.88	2591.27	2148.82	3124.78	2875.3	1167.14	2148.82	3168.41
RCCD1	156.59	64.8	420.68	169.07	175.07	78.34	135.24	101.54	307.69	152.28	135.24	397.93	211.31	181.28	212.78	175.07	104.42	229.72	358.54	137.14	651.58	567.1	143.01	361.04	486.75	503.95	507.46	253.23	363.56	348.71
RGMA	866.07	198.47	1135.2	211.31	55.49	511.0	11.21	2.76	32.82	55.1	43.32	138.1	346.29	220.32	21.16	16.75	813.63	1721.16	466.88	457.25	521.76	1268.46	579.04	6699.25	974.5	1111.82	7130.55	1208.34	1883.54	2502.97
RHOXF1	35.76	20.41	19.53	0.0	2.01	1.66	15.11	2.81	0.0	50.63	24.46	0.0	0.0	7.0	4.28	0.0	0.0	3.47	63.45	1.25	54.72	58.3	2.2	131.51	43.94	34.75	73.54	0.0	80.01	87.03
RNASET2	3982.99	1757.34	6652.97	258.57	1051.79	532.74	753.83	525.39	947.83	1806.78	2537.92	2701.35	1183.45	1286.18	2502.97	4268.94	753.83	1963.57	3665.02	1651.0	8191.0	13968.57	2303.12	12244.81	4639.29	2997.45	6607.01	4066.71	8191.0	9151.82
RNF220	1277.29	2061.24	1572.76	813.63	713.11	753.83	728.11	624.99	674.59	1268.46	785.88	1073.91	896.64	1037.29	921.88	1991.0	1015.93	2240.11	1104.13	2224.63	1662.49	2004.85	1857.6	1832.01	1832.01	1721.16	2090.03	1781.89	1572.76	1745.2
RP11-295P9.3	76.17	77.79	134.3	118.43	33.54	26.67	26.1	11.3	98.73	26.67	90.14	39.22	36.27	37.85	133.36	141.02	3.79	148.09	127.0	170.25	674.59	150.17	52.82	429.54	253.23	158.79	301.33	255.0	346.29	587.13
RPS3A	360589.03	290865.98	324980.94	211455.3	303217.87	169390.27	668235.84	307450.64	425853.18	254974.66	318292.9	414208.18	294926.33	405683.88	721179.07	320506.81	299043.36	254974.66	260332.24	370726.6	163620.18	207103.59	561916.97	133825.1	279017.26	153724.82	184082.4	197294.7	217400.14	79022.82
RRNAD1	1477.58	1159.07	1199.98	429.54	371.22	426.57	518.15	1183.45	808.0	802.41	718.08	995.0	575.03	547.75	579.04	1044.52	267.73	713.11	974.5	1044.52	2287.2	1199.98	559.28	1617.0	1059.11	1322.37	1685.71	928.3	1313.23	1359.57
RSPH9	42.41	14.03	19.39	3.89	7.75	7.17	25.72	6.62	51.35	19.39	100.83	38.67	11.73	132.44	18.43	11.82	7.46	42.11	92.05	57.49	55.89	62.56	46.84	92.7	87.65	127.89	91.41	86.43	84.04	186.4
SAMD11	138.1	57.08	283.05	20.71	24.99	33.54	4.58	0.0	38.4	14.03	93.35	59.55	16.15	99.43	19.25	38.95	79.45	231.32	518.15	20.11	703.28	167.9	438.59	17.77	258.57	1721.16	7589.61	307.69	363.56	228.13
SEMA4C	514.56	403.5	412.0	182.55	137.14	87.65	71.5	29.06	420.68	339.14	329.84	297.17	281.09	262.2	206.94	400.71	77.79	1594.73	1143.1	1233.75	1936.53	1662.49	854.13	1870.53	1674.06	1268.46	1447.15	1529.73	1806.78	1498.22
SEMA6C	212.78	169.07	327.56	13.12	19.97	31.45	34.02	18.16	76.17	61.68	67.12	185.11	21.78	40.64	334.46	107.38	52.45	379.04	417.77	267.73	1572.76	819.3	295.11	3372.43	476.71	1769.57	1199.98	620.67	813.63	1857.6
SIRT2	1832.01	836.53	1844.76	669.92	954.43	1008.9	1594.73	1073.91	460.44	518.15	1001.93	595.34	1259.69	884.29	518.15	688.78	1583.71	974.5	1963.57	656.11	2224.63	3540.14	500.46	2434.5	1167.14	1909.85	2224.63	1304.15	2351.53	2240.11
SIX5	323.03	157.68	656.11	81.71	64.8	64.34	50.98	19.68	55.89	84.63	102.97	92.05	129.69	88.26	68.07	186.4	66.18	679.29	463.65	633.73	1277.29	1832.01	463.65	1883.54	1044.52	1199.98	2032.85	1313.23	1127.35	796.86
SLC24A3	309.83	281.09	125.24	94.01	53.95	246.28	0.78	0.82	111.21	10.31	33.06	21.63	18.29	55.49	6.16	202.66	947.83	3467.27	551.56	341.51	688.78	529.06	265.87	242.88	674.59	921.88	575.03	500.46	244.57	417.77
SMG6	409.15	420.68	1127.35	234.57	161.02	175.07	185.11	49.91	147.06	129.69	181.28	82.87	136.19	232.94	236.21	214.27	476.71	1340.84	1096.5	866.07	1594.73	2209.26	1073.91	2555.58	1001.93	1923.14	2758.13	1151.06	1923.14	2434.5
SNAP47	830.75	860.08	647.07	450.94	629.35	327.56	403.5	435.55	432.53	638.15	587.13	866.07	591.22	575.03	470.14	733.19	295.11	1225.22	909.17	1447.15	1304.15	1457.23	1044.52	1794.29	981.29	1674.06	1909.85	928.3	1191.69	1225.22
SNED1	58.3	34.26	447.82	8.38	8.32	16.39	16.15	9.85	53.19	66.65	84.63	18.43	21.78	70.51	14.14	40.36	92.05	435.55	466.88	341.51	647.07	947.83	127.89	1757.34	412.0	1397.83	1388.16	265.87	559.28	796.86
SUGP2	301.33	536.45	947.83	679.29	273.37	137.14	178.77	185.11	825.0	242.88	603.67	532.74	490.14	253.23	423.61	796.86	106.63	796.86	1487.87	775.05	1605.83	954.43	346.29	1617.0	909.17	1832.01	1250.98	941.27	1127.35	1896.65
SZT2	88.88	202.66	212.78	145.02	60.82	94.67	21.63	10.0	92.7	76.71	104.42	111.21	84.63	83.45	107.38	176.29	63.0	289.02	255.0	358.54	373.81	312.0	138.1	429.54	217.27	412.0	412.0	314.17	260.38	336.79
TAF1C	214.27	389.72	748.61	229.72	208.38	211.31	93.35	40.93	307.69	248.0	175.07	400.71	318.57	248.0	273.37	612.11	96.68	860.08	1477.58	1313.23	1044.52	1135.2	503.95	1088.92	743.43	1819.35	836.53	791.35	860.08	1250.98
TATDN2	309.83	529.06	896.64	171.45	119.26	239.52	127.89	80.01	94.01	269.6	164.42	96.68	209.84	246.28	187.71	400.71	320.8	490.14	674.59	460.44	848.22	825.0	441.64	967.76	860.08	1119.56	791.35	660.68	669.92	748.61
TBC1D13	579.04	878.17	429.54	229.72	138.1	197.09	269.6	197.09	140.04	176.29	87.65	82.87	73.54	154.42	153.34	253.23	164.42	583.07	312.0	476.71	718.08	642.59	265.87	1175.27	291.04	563.18	753.83	476.71	500.46	679.29
TBC1D17	1096.5	1030.12	1781.89	258.57	226.54	441.64	497.0	299.25	327.56	450.94	486.75	264.03	511.0	371.22	299.25	529.06	417.77	1407.55	1991.0	1832.01	2209.26	2335.28	1277.29	3124.78	1388.16	1794.29	2520.38	1104.13	2178.83	2701.35
TBCD	633.73	624.99	2335.28	476.71	723.08	1143.1	723.08	387.02	1008.9	830.75	1242.34	1096.5	660.68	872.1	1208.34	1023.0	529.06	1378.57	3665.02	1572.76	3146.52	3018.3	825.0	3901.01	2520.38	3395.89	2287.2	1857.6	3614.55	4512.4
THPO	9.13	9.63	32.36	0.0	4.54	0.0	0.0	0.0	53.57	4.46	2.43	1.45	3.63	3.96	218.79	3.82	4.24	59.55	22.75	45.53	100.83	43.94	31.67	87.65	31.22	178.77	223.41	76.17	18.97	126.12
TJAP1	371.22	368.65	633.73	218.79	244.57	147.06	199.85	46.84	244.57	175.07	223.41	327.56	255.0	209.84	329.84	503.95	108.9	743.43	748.61	902.89	1183.45	1277.29	414.87	1151.06	769.69	830.75	1437.15	808.0	961.07	1216.75
TMCC2	43.32	14.24	59.55	21.32	8.65	3.92	22.26	35.25	45.85	6.94	18.29	54.72	39.22	72.01	11.3	26.86	24.81	143.01	205.5	77.79	246.28	275.28	140.04	353.59	583.07	258.57	339.14	76.71	507.46	283.05
TMEM240	53.57	12.64	525.39	17.9	8.38	1.69	11.91	1.58	13.32	8.38	50.27	8.85	9.13	45.85	6.84	16.03	11.3	620.67	583.07	193.01	543.96	698.41	55.89	1331.57	201.25	1081.39	1551.09	241.19	555.41	884.29
TRAPPC12	1143.1	1350.18	2796.65	915.51	571.05	785.88	738.29	490.14	921.88	1088.92	1030.12	444.72	808.0	872.1	616.37	1183.45	769.69	1447.15	2075.59	1757.34	3419.52	3303.0	1340.84	3794.3	1709.26	2997.45	2682.69	2303.12	2193.99	3419.52
TRMT1	595.34	620.67	825.0	785.88	457.25	256.78	503.95	343.89	620.67	486.75	493.56	1685.71	748.61	343.89	728.11	1447.15	279.14	753.83	819.3	878.17	1286.18	1242.34	688.78	1437.15	1286.18	1844.76	1359.57	842.36	1143.1	1135.2
TRMT61A	214.27	205.5	387.02	149.12	126.12	74.58	110.43	137.14	142.01	150.17	109.66	162.14	397.93	158.79	149.12	289.02	136.19	403.5	269.6	371.22	483.38	460.44	366.09	571.05	281.09	759.08	447.82	490.14	366.09	438.59
UBQLNL	7.17	2.48	38.67	0.0	0.83	1.99	0.4	0.42	2.92	1.83	2.71	3.26	1.06	1.16	0.0	4.03	0.42	19.25	21.16	12.36	37.59	31.67	4.03	27.44	49.21	47.17	59.55	38.12	36.27	51.35
UCN	7.17	4.13	107.38	5.54	12.09	1.69	1.97	0.0	19.25	35.76	31.9	22.26	15.0	10.24	9.93	40.64	2.23	20.56	54.33	12.64	98.04	64.8	9.63	139.07	31.0	90.77	61.25	20.86	73.03	63.45
URGCP	314.17	348.71	713.11	329.84	316.37	220.32	339.14	163.28	151.22	277.2	177.53	182.55	271.48	264.03	177.53	358.54	191.67	486.75	332.14	532.74	620.67	616.37	327.56	836.53	470.14	921.88	915.51	587.13	616.37	616.37
USF2	2935.74	3235.01	2796.65	1561.89	1277.29	1540.37	2090.03	3928.15	1594.73	1498.22	2119.22	1519.15	2451.44	2104.58	2271.4	2434.5	2075.59	3146.52	4736.79	3491.39	4328.55	5183.54	2400.97	5441.3	5329.3	6699.25	4268.94	3419.52	4181.07	5183.54
USP20	358.54	332.14	1023.0	189.02	82.87	114.36	183.82	148.09	206.94	119.26	195.72	154.42	137.14	224.97	271.48	450.94	117.6	466.88	819.3	629.35	1008.9	1119.56	389.72	1628.26	674.59	1313.23	1322.37	633.73	995.0	1023.0
VWA5B2	2.81	3.79	59.55	2.84	0.0	1.53	0.39	0.0	0.71	1.04	0.67	0.0	6.67	1.99	1.19	4.58	0.0	10.31	27.05	3.35	48.52	60.82	31.45	62.56	39.5	53.19	117.6	52.82	70.51	17.13
WASH4P	105.89	169.07	579.04	114.36	45.53	103.69	148.09	142.01	289.02	198.47	99.43	332.14	175.07	187.71	409.15	384.34	30.12	262.2	638.15	323.03	836.53	669.92	105.15	638.15	490.14	633.73	500.46	341.51	397.93	954.43
ZBTB17	406.31	435.55	775.05	497.0	251.48	223.41	154.42	101.54	483.38	246.28	356.05	463.65	368.65	463.65	397.93	426.57	190.34	460.44	1135.2	708.18	813.63	954.43	567.1	974.5	753.83	1340.84	1044.52	669.92	860.08	941.27
ZBTB46	73.03	80.01	24.99	12.27	13.42	10.24	28.45	29.27	5.63	26.67	34.26	7.46	18.97	43.63	58.3	16.75	4.82	214.27	123.5	285.03	376.41	351.14	167.9	334.46	211.31	432.53	406.31	392.44	262.2	260.38
ZC3H7A	723.08	595.34	866.07	281.09	325.29	178.77	260.38	124.37	684.02	420.68	435.55	500.46	351.14	356.05	620.67	567.1	197.09	842.36	1225.22	748.61	842.36	890.44	718.08	1151.06	1457.23	842.36	785.88	674.59	928.3	1259.69
ZCCHC12	18.84	1.71	320.8	0.69	7.4	1.22	0.0	0.0	12.74	0.88	0.26	4.21	0.56	4.9	3.35	3.11	0.0	6294.04	878.17	896.64	579.04	775.05	392.44	529.06	1883.54	2935.74	1313.23	988.12	748.61	928.3
ZDHHC8	353.59	381.68	536.45	514.56	426.57	146.03	119.26	92.05	299.25	473.41	291.04	232.94	289.02	265.87	258.57	559.28	161.02	775.05	748.61	688.78	1135.2	1313.23	363.56	1417.35	1119.56	2537.92	1167.14	1051.79	669.92	642.59
ZNF133	412.0	307.69	547.75	432.53	111.21	258.57	212.78	56.68	476.71	253.23	507.46	262.2	255.0	417.77	279.14	493.56	90.77	525.39	500.46	417.77	791.35	775.05	368.65	571.05	738.29	376.41	753.83	629.35	780.44	733.19
ZNF444	417.77	376.41	1233.75	131.51	95.34	115.97	228.13	127.89	563.18	159.9	376.41	189.02	293.07	246.28	366.09	476.71	94.67	813.63	808.0	698.41	1487.87	2104.58	688.78	1936.53	703.28	1508.65	1159.07	743.43	1467.37	1242.34
ZNF446	122.64	323.03	258.57	87.03	56.68	82.29	123.5	55.1	70.51	67.59	91.41	96.01	85.82	94.67	80.01	129.69	72.01	316.37	332.14	718.08	543.96	775.05	320.8	902.89	327.56	529.06	748.61	629.35	555.41	486.75
ZNF496	164.42	198.47	679.29	99.43	63.89	61.25	93.35	38.4	116.78	199.85	133.36	231.32	189.02	151.22	97.36	226.54	88.88	612.11	718.08	543.96	753.83	825.0	320.8	808.0	567.1	884.29	1159.07	346.29	591.22	693.58
ZNF516	42.71	96.68	1191.69	70.51	31.67	50.63	29.48	34.02	236.21	38.95	71.0	88.26	57.08	72.01	265.87	41.22	50.63	902.89	1733.13	536.45	1304.15	708.18	131.51	2777.33	660.68	2796.65	3540.14	791.35	759.08	1066.48
ZNF517	100.83	224.97	260.38	84.04	30.34	40.36	87.65	64.34	55.1	98.73	112.77	85.82	80.57	80.57	102.25	199.85	31.9	287.01	145.02	255.0	463.65	633.73	87.65	769.69	251.48	417.77	607.87	343.89	387.02	447.82
