	GTEX.S7SE.0926.SM.2XCD6	GTEX.SIU8.0926.SM.5SI87	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.11EQ8.0826.SM.5N9FG	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI
MYO1F	1216.75	2209.26	497.0	836.53	406.31	332.14	87.65	120.94	37.05	43.63	72.52	50.27	195.72	450.94	674.59	129.69	271.48	169.07	144.01	198.47	22.26	125.24	54.33	105.15	28.86	19.11	56.28	130.6
NCF1	1583.71	1191.69	759.08	607.87	444.72	409.15	126.12	125.24	42.41	7.46	7.11	49.91	193.01	961.07	928.3	57.89	241.19	241.19	75.64	116.78	39.5	115.16	16.88	68.07	1.08	27.25	18.56	64.8
NCF4	1331.57	2417.67	629.35	718.08	435.55	318.57	142.01	146.03	29.06	36.53	51.35	49.91	262.2	305.55	318.57	84.63	246.28	172.65	79.45	177.53	55.89	126.12	32.59	82.87	16.39	46.18	24.81	137.14
NKG2-E	31.9	46.84	36.53	43.32	42.11	13.12	5.32	23.93	0.0	0.0	8.25	5.15	18.29	15.56	10.0	8.38	25.54	16.88	0.0	8.99	0.0	0.0	0.0	0.0	0.0	6.41	0.85	0.0
PARVG	2555.58	5913.33	974.5	1477.58	708.18	703.28	136.19	190.34	29.7	32.59	69.03	38.95	314.17	1225.22	1427.22	108.14	248.0	178.77	100.13	289.02	31.45	129.69	41.52	92.7	21.94	9.13	34.26	97.36
PATL2	780.44	105.15	194.36	178.77	138.1	118.43	54.72	70.51	13.72	27.25	15.11	23.93	82.87	269.6	104.42	54.72	43.63	28.45	35.76	108.9	16.75	11.91	14.89	33.54	13.22	10.88	14.14	23.76
PIK3CD	928.3	529.06	571.05	713.11	307.69	406.31	92.7	111.99	82.29	80.01	108.9	90.77	120.1	532.74	551.56	124.37	108.14	173.85	120.1	176.29	57.89	89.51	155.5	395.18	78.34	43.63	50.27	87.65
PLCB2	3103.19	3325.99	575.03	1350.18	497.0	563.18	161.02	106.63	13.03	24.63	64.34	67.12	241.19	967.76	395.18	84.04	275.28	186.4	141.02	305.55	29.7	186.4	32.36	123.5	32.36	30.34	82.29	77.25
PLXNC1	441.64	297.17	195.72	231.32	154.42	125.24	101.54	50.27	33.06	15.68	17.64	36.79	155.5	255.0	232.94	41.52	208.38	103.69	60.82	264.03	16.15	41.22	20.86	52.08	24.11	7.63	19.25	31.9
POU2AF1	954.43	114.36	866.07	674.59	571.05	417.77	325.29	183.82	11.38	29.06	23.25	19.82	253.23	902.89	285.03	46.84	35.5	271.48	30.56	127.0	12.55	75.11	46.5	18.7	17.51	5.36	5.45	11.64
PSMB9	13399.51	3349.13	3794.3	3280.18	2520.38	2591.27	1457.23	480.04	73.03	493.56	624.99	348.71	1628.26	3124.78	3018.3	1498.22	1081.39	1331.57	587.13	1991.0	656.11	928.3	351.14	547.75	180.02	583.07	264.03	536.45
PSTPIP1	995.0	291.04	525.39	743.43	329.84	239.52	114.36	59.55	7.94	30.56	43.32	36.01	140.04	486.75	435.55	41.81	176.29	97.36	82.29	198.47	25.54	120.1	21.16	44.25	12.27	33.54	17.25	63.89
PTPN22	518.15	1151.06	138.1	176.29	92.7	85.22	30.12	16.27	9.56	7.88	9.48	8.45	34.26	91.41	134.3	14.35	38.12	29.06	10.0	40.93	3.92	11.82	6.94	55.1	2.2	5.23	10.79	8.0
PTPN7	1909.85	470.14	583.07	543.96	358.54	295.11	105.89	40.36	13.42	2.41	31.67	9.2	124.37	1104.13	353.59	27.84	84.63	162.14	43.94	241.19	11.47	78.89	19.68	72.52	4.28	10.0	5.28	16.39
PTPRC	2701.35	7331.05	1819.35	2104.58	1167.14	915.51	368.65	195.72	59.97	53.19	74.06	42.71	199.85	1350.18	928.3	173.85	587.13	289.02	162.14	249.73	11.64	134.3	94.01	299.25	23.42	12.27	37.59	134.3
PYHIN1	441.64	214.27	253.23	248.0	166.73	113.56	58.3	17.64	3.96	20.86	13.22	7.94	66.65	236.21	366.09	18.16	55.1	22.43	19.97	80.01	5.5	22.43	8.45	30.56	0.77	3.86	7.22	1.77
RAC2	6037.61	4869.99	2627.46	2591.27	1639.59	1199.98	503.95	221.86	26.1	27.84	104.42	68.07	490.14	4010.71	1313.23	211.31	551.56	995.0	172.65	743.43	74.06	297.17	53.57	204.07	17.64	45.21	35.76	285.03
RGS18	20.71	53.19	41.81	88.88	73.03	47.17	10.47	17.0	3.29	13.42	8.51	6.84	15.68	23.76	30.34	17.77	12.45	13.93	5.68	10.24	12.83	10.0	12.18	9.78	9.93	4.13	5.15	18.43
RUNX3	808.0	1081.39	307.69	403.5	229.72	209.84	46.18	36.01	82.87	27.44	35.25	15.11	67.59	309.83	258.57	68.07	155.5	98.04	44.25	46.5	14.89	25.17	28.45	91.41	11.21	9.63	19.39	22.26
SAMD3	285.03	178.77	193.01	195.72	97.36	70.51	97.36	5.68	4.78	3.96	19.11	6.94	96.68	144.01	155.5	15.56	78.89	25.72	40.07	47.5	7.46	7.4	7.22	18.7	1.89	4.24	7.06	8.38
SAMD9L	1639.59	273.37	376.41	395.18	269.6	285.03	113.56	132.44	37.05	84.04	77.25	79.45	187.71	325.29	255.0	173.85	231.32	139.07	151.22	277.2	81.71	98.73	56.68	143.01	87.65	62.12	91.41	87.65
SASH3	2209.26	2664.15	928.3	1073.91	660.68	470.14	88.88	67.12	29.7	12.64	58.71	58.3	127.89	1313.23	356.05	42.41	78.34	279.14	62.56	334.46	15.68	90.14	32.59	50.27	11.3	29.91	17.0	106.63
SCML4	303.44	76.17	107.38	165.57	141.02	59.13	26.47	32.36	0.0	9.78	14.78	4.17	34.02	94.67	59.55	11.38	29.27	25.17	18.16	52.08	4.28	12.09	4.66	11.38	2.86	13.03	6.31	9.63
SIRPB2	271.48	361.04	87.65	187.71	78.34	63.45	4.17	39.22	8.78	18.29	21.94	22.43	12.27	43.63	59.13	12.55	12.36	19.68	10.24	19.39	5.68	14.03	9.48	11.91	7.69	2.1	11.04	45.21
SIT1	1073.91	96.68	312.0	368.65	220.32	137.14	48.52	38.4	3.32	12.64	20.56	6.67	44.25	444.72	134.3	9.27	10.79	74.58	11.04	87.03	13.03	50.27	1.85	19.39	5.73	15.0	1.91	6.62
SLA2	164.42	176.29	101.54	132.44	73.03	57.89	26.1	6.78	16.75	4.66	4.82	3.11	62.56	127.0	42.11	48.52	97.36	26.1	42.11	29.06	9.63	9.06	13.22	40.36	2.18	11.64	4.03	8.0
SLAMF8	954.43	450.94	493.56	490.14	536.45	239.52	42.41	42.11	57.49	42.71	19.25	48.52	105.89	236.21	356.05	90.14	89.51	195.72	69.03	115.16	5.32	51.35	28.65	102.97	63.89	9.27	25.35	75.11
SLFN12L	119.26	65.72	63.45	112.77	47.84	67.12	21.16	12.27	2.03	6.26	9.78	7.17	36.53	127.0	92.05	9.93	25.72	16.27	12.36	43.02	2.58	24.99	10.63	20.26	0.83	7.06	3.2	10.71
SNX20	674.59	293.07	262.2	262.2	155.5	131.51	24.99	38.12	4.35	13.72	13.52	14.14	47.5	571.05	152.28	11.47	32.59	75.64	7.63	121.79	4.58	27.64	15.68	16.63	4.9	12.18	4.9	31.22
SPN	2148.82	7032.37	281.09	312.0	218.79	156.59	70.01	35.76	11.73	6.67	23.93	7.88	40.07	409.15	293.07	21.32	53.57	103.69	18.84	83.45	7.57	27.64	12.0	57.89	2.18	8.25	2.78	16.15
ST8SIA1	460.44	441.64	214.27	273.37	134.3	134.3	71.5	8.13	73.03	8.78	24.99	23.76	148.09	356.05	277.2	36.53	103.69	32.59	120.94	253.23	24.81	35.25	37.32	53.19	159.9	15.91	11.82	31.9
TAGAP	444.72	293.07	244.57	444.72	295.11	279.14	137.14	55.49	9.48	5.23	28.24	14.67	105.15	194.36	177.53	48.52	140.04	61.68	49.56	97.36	11.55	37.32	16.63	37.59	3.26	6.52	12.74	12.93
TG	49.21	5.15	711250.37	370726.6	645473.24	794671.01	2068278.89	2126426.15	2111737.85	1493223.86	1997825.68	1997825.68	1984025.69	1355129.16	593956.43	2986448.72	1567462.05	2025714.3	2425749.94	1589343.01	2636147.11	2263304.65	2111737.85	1691649.38	1800541.22	3178687.03	3886391.01	2263304.65
THEMIS	713.11	50.63	50.98	72.01	42.11	23.93	19.39	6.67	0.16	1.39	3.99	3.76	17.13	58.3	40.36	8.78	17.77	21.16	9.78	24.11	0.97	6.06	3.23	8.32	1.35	3.35	1.46	4.74
TIGIT	470.14	94.01	293.07	246.28	193.01	130.6	82.29	22.26	5.23	11.91	54.33	4.9	62.56	624.99	102.97	10.31	38.95	83.45	32.59	92.7	4.17	36.27	30.34	19.25	4.1	8.25	4.39	3.17
TMC8	2319.15	1151.06	830.75	1551.09	591.22	665.29	197.09	57.89	24.63	18.97	69.52	29.48	269.6	2520.38	281.09	46.18	212.78	158.79	86.43	241.19	13.72	86.43	30.12	93.35	23.42	16.39	19.25	35.5
TMEM150B	169.07	669.92	81.14	70.51	31.45	14.14	7.75	10.24	3.47	3.89	8.51	4.9	11.21	22.59	32.82	7.4	3.14	11.91	2.61	7.28	2.01	7.69	0.0	3.89	1.69	4.43	5.28	14.24
TNFRSF9	22.43	46.5	56.28	31.9	29.27	20.41	17.51	10.55	6.06	6.84	2.39	10.88	1.53	71.0	31.0	0.0	5.45	19.53	0.0	26.67	1.53	0.0	0.0	2.46	0.0	0.0	0.0	2.48
TNFSF13B	1044.52	1127.35	323.03	420.68	201.25	223.41	108.14	50.98	22.59	36.01	34.02	22.92	127.89	165.57	346.29	117.6	165.57	119.26	119.26	191.67	45.53	74.58	19.25	30.56	14.89	18.7	15.68	67.12
TNIP3	71.0	59.13	18.84	17.77	9.85	5.23	5.41	2.58	1.93	0.0	1.16	2.66	1.19	19.97	19.68	0.0	3.44	2.14	2.1	11.13	2.1	3.5	2.63	2.61	2.07	0.0	0.74	3.59
TRAF3IP3	2255.7	426.57	860.08	1628.26	638.15	665.29	447.82	116.78	42.11	46.18	86.43	81.71	320.8	2555.58	713.11	55.1	145.02	314.17	123.5	444.72	46.84	166.73	43.32	113.56	39.5	58.3	56.68	66.18
TREML1	61.25	68.07	100.83	61.25	36.53	33.3	10.16	36.01	1.66	0.92	7.34	5.54	5.36	48.18	25.91	2.36	11.91	4.35	4.21	19.39	0.6	1.85	6.57	4.31	0.0	18.03	8.38	11.38
UBASH3A	400.71	100.13	108.14	167.9	67.59	50.98	42.11	5.96	4.86	6.01	16.63	1.71	45.21	281.09	45.53	5.92	16.63	39.22	26.47	45.21	3.08	20.71	9.78	13.62	3.79	1.79	5.41	3.2
UBD	7331.05	2193.99	2090.03	1104.13	1498.22	748.61	896.64	69.52	12.36	27.84	16.51	10.08	295.11	4671.57	1540.37	153.34	63.0	543.96	16.75	1896.65	28.65	74.58	88.26	45.85	4.21	29.7	42.41	3.53
VAV1	808.0	802.41	387.02	470.14	265.87	212.78	38.12	47.5	9.27	11.47	31.9	31.67	64.8	403.5	348.71	44.57	96.01	100.83	24.63	87.65	12.27	85.22	20.41	27.44	3.44	19.11	8.25	53.57
VENTX	13.03	99.43	9.27	45.53	13.42	31.22	4.9	17.9	5.23	7.4	7.11	8.51	10.88	23.76	20.11	2.56	10.0	9.85	9.2	12.74	3.29	12.0	5.96	7.0	4.46	3.17	4.78	12.27
WAS	738.29	1417.35	854.13	928.3	547.75	395.18	80.01	81.14	33.3	29.7	88.88	80.01	198.47	854.13	295.11	90.77	127.89	209.84	56.68	171.45	24.81	109.66	45.85	77.25	16.88	22.1	21.16	137.14
WDFY4	1572.76	1674.06	384.34	429.54	228.13	260.38	35.76	17.64	4.03	4.62	15.0	16.15	32.82	435.55	68.07	11.73	23.08	108.14	16.27	96.68	9.78	15.34	8.13	46.18	10.47	8.13	3.17	26.28
ZAP70	1199.98	500.46	660.68	1277.29	420.68	511.0	165.57	57.08	29.48	27.05	58.3	28.04	299.25	1191.69	417.77	106.63	241.19	147.06	137.14	275.28	19.39	100.13	23.93	95.34	6.67	24.63	12.74	29.06
ZC3H12D	392.44	116.78	215.77	162.14	113.56	127.0	32.59	26.1	21.16	15.45	19.97	20.41	38.95	269.6	61.25	9.56	45.53	59.97	31.9	57.08	15.22	27.64	9.63	14.14	9.63	12.45	14.24	18.84
