	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A15P.01A.11R.A115.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07
WDFY3	147.06	426.57	503.95	173.85	454.09	540.19	409.15	264.03	463.65	289.02	204.07	314.17	486.75	435.55	379.04	417.77	334.46	323.03	457.25	529.06	255.0	323.03	343.89	316.37	258.57	624.99	483.38	334.46	56.28	37.85	38.12	48.52	60.39	64.34	34.02	46.5	28.86	82.29	53.57	77.79
WHSC1	426.57	633.73	928.3	728.11	567.1	780.44	791.35	563.18	819.3	366.09	229.72	341.51	698.41	785.88	656.11	1350.18	476.71	293.07	1322.37	791.35	454.09	967.76	476.71	921.88	854.13	1015.93	450.94	346.29	166.73	113.56	120.94	283.05	102.25	307.69	115.97	90.14	98.04	143.01	106.63	194.36
WRN	62.12	178.77	234.57	85.82	236.21	191.67	132.44	68.55	84.04	59.55	131.51	42.71	198.47	108.14	158.79	202.66	172.65	98.73	201.25	190.34	49.91	85.82	81.71	246.28	133.36	133.36	37.05	55.89	45.53	28.86	41.22	46.5	21.78	35.76	19.97	10.55	11.55	16.39	23.93	92.05
XPO7	444.72	915.51	728.11	612.11	961.07	718.08	780.44	323.03	551.56	441.64	633.73	217.27	860.08	723.08	698.41	698.41	429.54	466.88	738.29	854.13	307.69	525.39	511.0	1066.48	825.0	587.13	262.2	327.56	187.71	132.44	175.07	244.57	172.65	285.03	143.01	77.79	103.69	127.0	123.5	167.9
ZFP3	41.22	48.52	90.14	104.42	90.14	105.15	107.38	46.18	57.89	43.63	72.01	50.98	171.45	55.89	82.87	81.14	71.0	51.35	92.05	148.09	56.68	57.89	102.25	75.11	45.53	101.54	94.01	56.68	4.06	2.71	4.82	15.68	24.63	10.39	4.28	4.21	16.88	1.35	1.75	14.89
ZFP30	34.26	137.14	226.54	108.14	180.02	166.73	172.65	169.07	126.12	72.52	102.97	134.3	246.28	258.57	189.02	246.28	136.19	133.36	169.07	206.94	146.03	197.09	112.77	381.68	114.36	267.73	151.22	115.97	18.03	3.5	7.11	39.79	20.11	31.0	15.22	11.82	20.41	10.16	7.63	1.6
ZNF248	108.14	133.36	239.52	137.14	197.09	186.4	129.69	215.77	95.34	130.6	123.5	221.86	229.72	111.99	138.1	136.19	149.12	126.12	237.86	178.77	113.56	197.09	127.89	159.9	162.14	104.42	346.29	111.21	43.94	63.45	42.41	115.97	49.21	81.14	32.59	46.18	31.67	36.53	49.56	64.8
ZNF286A	202.66	166.73	214.27	170.25	239.52	265.87	232.94	183.82	120.1	190.34	178.77	74.06	307.69	228.13	255.0	176.29	161.02	220.32	258.57	224.97	14.56	175.07	206.94	165.57	175.07	346.29	223.41	99.43	45.21	31.67	45.21	108.14	24.99	49.56	77.25	28.65	48.87	44.25	25.17	25.91
ZNF324	37.05	111.21	220.32	111.21	102.25	87.65	158.79	100.83	92.05	101.54	98.04	111.21	164.42	161.02	124.37	195.72	77.25	81.14	53.19	170.25	113.56	166.73	96.68	426.57	102.97	145.02	76.17	118.43	62.56	62.12	49.21	46.5	38.12	63.45	68.07	40.93	51.35	41.52	50.27	67.12
ZNF445	45.53	139.07	161.02	97.36	112.77	136.19	99.43	87.65	161.02	77.79	65.72	80.57	185.11	106.63	140.04	157.68	85.22	81.14	172.65	156.59	60.39	139.07	67.12	95.34	111.21	215.77	63.0	78.89	40.07	51.35	28.24	63.45	26.86	60.82	38.67	23.59	35.5	37.85	36.01	50.63
ZNF510	90.77	134.3	154.42	96.68	217.27	154.42	153.34	92.7	150.17	72.01	85.22	77.25	209.84	139.07	181.28	105.15	126.12	131.51	180.02	234.57	97.36	177.53	105.15	163.28	52.45	212.78	94.01	58.71	40.07	16.27	29.91	43.32	47.5	42.11	27.64	29.06	37.05	16.39	11.64	40.07
ZNF564	87.65	111.21	191.67	135.24	182.55	185.11	163.28	205.5	158.79	117.6	167.9	127.0	198.47	100.13	209.84	183.82	143.01	101.54	127.0	115.97	77.25	132.44	173.85	122.64	172.65	128.79	101.54	132.44	63.0	72.01	91.41	56.28	56.68	88.88	77.79	61.25	100.13	56.28	63.89	96.01
ZNF567	91.41	104.42	154.42	107.38	209.84	111.21	87.03	62.12	58.71	89.51	74.58	136.19	167.9	114.36	135.24	136.19	126.12	56.28	104.42	155.5	102.97	129.69	73.54	177.53	103.69	121.79	68.07	84.04	49.21	16.63	43.32	56.28	72.52	31.45	32.82	41.52	35.0	37.85	21.78	22.59
ZNF570	32.82	70.01	100.83	44.57	118.43	73.03	42.11	36.27	59.97	55.89	37.32	41.81	100.83	111.99	77.25	61.68	49.56	59.55	67.59	83.45	71.5	69.52	24.28	167.9	46.18	126.12	29.48	30.56	16.88	3.14	8.19	34.26	20.26	4.03	12.64	19.82	17.0	13.22	12.64	14.56
ZNF594	22.75	69.03	89.51	92.7	67.59	146.03	108.14	74.06	89.51	33.54	63.0	41.52	177.53	98.73	88.88	77.25	65.26	69.03	137.14	120.94	31.9	105.15	58.71	92.7	38.12	178.77	108.14	57.89	6.46	9.78	9.06	18.97	7.0	10.71	6.26	2.39	15.45	4.82	0.92	14.35
ZNF607	41.52	58.3	115.97	90.77	94.01	96.68	127.0	126.12	106.63	69.52	85.22	105.15	163.28	120.94	88.88	164.42	106.63	75.64	62.12	135.24	84.63	122.64	95.34	329.84	66.18	120.94	65.26	96.01	20.71	4.58	17.25	44.89	37.32	22.75	34.26	19.68	24.81	23.76	16.75	2.81
ZNF615	67.59	110.43	111.99	66.18	156.59	162.14	158.79	49.21	129.69	92.7	102.25	144.01	209.84	183.82	226.54	91.41	69.03	106.63	65.26	185.11	108.9	224.97	173.85	128.79	124.37	123.5	84.04	64.34	21.16	11.04	25.54	43.02	29.7	8.51	23.08	24.28	34.02	16.03	12.64	32.59
ZNF624	15.22	42.11	39.5	46.18	72.52	94.67	74.06	46.84	26.47	45.85	57.89	40.93	99.43	50.63	77.79	49.56	41.52	49.21	72.01	64.34	19.53	49.56	85.82	64.34	36.27	117.6	39.79	22.43	13.32	4.54	9.27	9.2	13.72	7.4	14.67	2.73	2.41	5.32	3.72	10.63
ZNF627	126.12	323.03	373.81	361.04	384.34	432.53	251.48	346.29	291.04	417.77	279.14	309.83	417.77	208.38	395.18	303.44	277.2	309.83	392.44	279.14	195.72	239.52	323.03	336.79	356.05	348.71	312.0	193.01	88.26	110.43	90.77	115.97	98.73	84.04	73.54	77.25	98.73	76.71	109.66	100.83
ZNF708	48.87	96.01	141.02	59.55	173.85	143.01	59.55	70.01	76.71	34.02	54.72	75.64	166.73	80.01	149.12	74.06	45.53	47.84	193.01	122.64	87.65	132.44	54.33	43.02	96.01	115.97	71.0	63.0	12.83	10.47	10.63	17.0	19.68	16.75	6.26	10.79	10.24	11.64	11.13	11.13
ZZEF1	45.21	241.19	231.32	167.9	301.33	341.51	490.14	249.73	206.94	102.97	121.79	92.05	379.04	242.88	346.29	241.19	206.94	157.68	417.77	518.15	143.01	281.09	150.17	373.81	117.6	447.82	98.73	153.34	62.56	85.82	96.01	77.79	56.28	59.13	63.0	33.3	53.57	35.25	41.52	93.35
