	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.F7.A50I.01A.11R.A28V.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CN.4738.01A.02R.1514.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	TCGA.22.5491.01A.01R.1635.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.22.5479.01A.31R.1949.07	TCGA.22.4605.01A.21R.2125.07	TCGA.34.2608.01A.02R.0851.07	TCGA.96.8169.01A.11R.2296.07	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.85.8049.01A.11R.2247.07	TCGA.56.8624.01A.11R.2403.07
LRRC46	19.39	3614.55	17927.91	31.45	12.18	8.99	26.67	7.11	1.31	9.63	3.35	11.04	1.3	10.0	13.93	42.11	8.92	182.55	1.73	5.63	8.25	3.47	54.72	6.11	28.45	8.0	7.34	8.38	40.93	4.78	5.23	5.45	3.0	13.22	7.57	10.31	13.62	9.41	6.89	14.35	5.5	20.86	4.03	10.08	13.62	599.49	3.59	1583.71	493.56	2520.38	1832.01	1030.12	1936.53	1685.71	151.22	60.82	403.5	616.37	249.73	262.2	273.37	341.51	130.6
LRRC48	65.26	896.64	6745.86	96.01	13.32	10.79	37.05	21.32	6.11	11.3	17.77	22.59	15.0	24.63	22.26	50.63	47.17	139.07	24.28	11.64	21.78	9.78	64.8	24.46	35.76	15.45	18.03	16.51	57.49	10.16	18.56	24.99	7.51	23.25	12.18	30.78	36.27	16.63	13.42	32.82	9.48	21.78	20.71	19.53	23.76	438.59	12.74	902.89	429.54	2255.7	1709.26	665.29	1697.45	1572.76	81.14	145.02	236.21	327.56	226.54	208.38	249.73	271.48	125.24
MMP24	6.26	105.15	38.67	13.22	1.08	3.03	5.11	2.63	2.23	1.36	1.11	2.32	0.0	1.31	0.84	0.89	4.62	5.77	1.41	6.36	1.6	0.54	8.25	2.61	5.02	0.95	1.43	0.47	2.48	1.04	0.99	0.96	1.28	0.51	1.73	1.46	1.68	0.91	0.99	2.34	0.0	2.86	1.17	1.68	0.97	11.55	1.04	181.28	279.14	420.68	50.27	366.09	26.86	490.14	10.08	18.56	2.56	20.26	30.34	15.34	6.52	15.56	17.9
MORN5	0.0	647.07	2835.7	31.22	12.18	2.76	20.41	0.0	0.0	0.0	0.0	0.0	0.0	2.89	0.0	57.08	0.0	135.24	0.0	0.0	0.0	0.0	10.31	0.0	10.79	0.0	7.06	0.0	43.32	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	4.5	0.0	0.0	0.0	529.06	0.0	2209.26	583.07	2609.3	2997.45	1572.76	3901.01	2287.2	193.01	75.11	376.41	503.95	239.52	163.28	215.77	241.19	53.57
NEK10	8.92	379.04	1167.14	6.57	6.06	1.57	4.5	3.44	4.35	1.83	2.18	2.71	11.38	0.72	0.95	8.71	1.46	71.0	5.5	3.11	2.16	5.82	4.21	7.69	15.68	4.24	1.91	2.73	15.34	7.06	2.23	1.1	0.69	0.66	1.07	3.47	2.73	2.71	2.63	2.92	4.62	2.07	3.2	0.36	7.28	214.27	4.9	307.69	158.79	497.0	466.88	169.07	718.08	373.81	40.07	21.78	70.01	132.44	38.67	61.68	48.52	103.69	30.78
NME9	2.2	1923.14	3039.3	16.51	4.74	0.0	9.93	2.76	0.62	0.0	0.0	1.99	1.06	2.61	1.64	13.22	1.46	48.52	2.78	3.41	5.11	1.41	1.68	2.23	8.13	3.5	3.26	0.91	19.82	4.78	1.5	1.04	1.38	0.57	2.23	2.01	0.0	1.77	1.95	8.99	0.0	5.73	1.27	0.99	2.34	141.02	2.61	503.95	145.02	638.15	521.76	264.03	981.29	595.34	54.33	35.5	77.79	154.42	62.12	60.39	81.14	87.65	32.59
OMG	84.04	2032.85	7433.4	16.15	6.78	0.26	12.64	1.31	4.46	0.78	1.36	3.14	0.41	9.93	2.84	78.89	4.74	202.66	0.0	38.4	2.2	1.1	4.28	3.96	70.01	0.77	4.21	0.96	62.12	0.44	4.5	2.94	1.39	0.0	0.75	1.22	6.11	0.39	1.19	6.46	5.06	1.1	0.0	7.69	5.19	1594.73	0.51	4298.64	1175.27	15715.58	4704.07	3614.55	8840.04	6699.25	438.59	125.24	507.46	808.0	417.77	297.17	368.65	563.18	120.1
P4HTM	242.88	2351.53	2739.08	476.71	127.0	94.67	194.36	107.38	55.89	62.56	55.49	74.06	21.32	62.12	48.52	193.01	199.85	305.55	75.11	78.89	53.19	91.41	1407.55	124.37	121.79	71.5	102.97	22.43	218.79	77.79	57.08	56.28	80.57	82.29	46.84	42.71	89.51	38.67	75.11	221.86	72.52	72.52	83.45	74.58	50.27	379.04	47.5	1331.57	866.07	5076.84	2209.26	1991.0	2555.58	2061.24	363.56	441.64	297.17	525.39	447.82	403.5	409.15	463.65	591.22
PPP1R32	14.24	603.67	878.17	35.25	29.91	43.94	42.71	3.53	30.78	30.34	4.78	12.18	13.62	23.42	11.91	24.11	17.13	106.63	14.35	31.0	24.99	13.42	53.57	15.11	29.48	26.67	18.29	23.42	27.05	14.78	24.46	7.69	19.25	21.32	13.52	9.2	25.17	43.94	24.81	41.81	8.32	57.08	9.7	10.31	20.86	279.14	10.47	698.41	329.84	1268.46	647.07	599.49	954.43	921.88	75.64	113.56	253.23	229.72	143.01	129.69	224.97	137.14	121.79
RABL2A	86.43	656.11	1159.07	486.75	173.85	62.56	147.06	281.09	42.11	68.55	34.26	67.12	24.81	47.5	92.7	195.72	92.05	239.52	42.41	130.6	29.48	63.89	121.79	67.59	226.54	65.72	90.14	52.82	155.5	26.47	66.65	51.35	70.01	82.29	39.5	77.25	65.72	69.03	55.1	153.34	59.13	67.12	41.52	82.29	104.42	249.73	45.21	571.05	575.03	2303.12	909.17	616.37	1685.71	1721.16	262.2	460.44	454.09	450.94	307.69	307.69	417.77	325.29	295.11
RGS22	2.89	47.17	351.14	3.72	3.72	0.0	3.92	0.0	4.03	0.0	0.0	0.39	0.74	0.71	0.0	12.74	3.63	42.11	0.0	0.0	1.3	0.36	1.71	30.34	7.22	0.37	0.0	0.0	8.85	0.0	0.39	0.38	0.0	0.33	0.0	0.0	1.04	0.0	0.0	3.56	1.57	0.36	0.47	1.03	0.0	87.03	5.68	463.65	127.0	947.83	543.96	283.05	785.88	723.08	26.47	84.04	48.18	104.42	56.28	38.12	49.21	36.01	24.11
RIBC1	19.82	329.84	2047.0	82.87	22.59	8.99	18.84	13.32	2.89	13.42	12.0	15.0	7.11	18.29	3.76	14.67	31.45	61.25	7.63	4.58	4.74	15.11	23.42	9.34	19.11	12.83	8.58	5.63	44.57	6.06	8.78	12.93	5.15	8.65	13.03	19.11	12.64	5.54	9.27	23.25	12.0	10.71	8.85	9.41	17.9	231.32	14.24	529.06	176.29	1088.92	532.74	457.25	748.61	854.13	55.89	51.35	105.89	223.41	86.43	84.63	125.24	70.51	45.85
RSPH10B	3.17	176.29	802.41	3.59	1.57	0.99	12.93	2.34	0.0	0.82	0.96	2.46	1.58	1.51	0.38	5.19	3.44	30.56	1.23	0.0	1.39	0.0	1.83	0.52	10.55	0.0	0.85	1.64	6.11	2.14	4.28	0.43	0.0	1.07	0.42	0.87	1.48	1.48	0.84	6.06	1.68	1.14	0.54	1.11	1.99	78.34	0.48	138.1	61.68	204.07	293.07	146.03	190.34	204.07	8.0	38.12	50.63	41.52	26.28	39.5	34.51	26.1	11.91
RSPH10B2	1.87	49.56	327.56	1.85	1.99	0.0	10.08	0.0	0.0	0.0	0.0	1.6	1.14	0.73	0.34	6.78	4.1	25.72	2.32	0.0	0.46	0.74	0.45	0.0	2.41	0.39	0.0	0.0	9.13	0.0	0.0	0.0	0.71	0.0	0.39	0.0	0.0	0.0	0.0	1.01	1.62	0.0	0.0	0.0	0.0	137.14	0.0	136.19	45.53	583.07	177.53	113.56	329.84	303.44	14.78	12.93	17.25	68.55	32.36	36.53	17.51	70.01	33.3
RSPH4A	1.81	1111.82	11345.82	12.0	2.34	0.65	3.96	1.11	0.0	1.27	1.95	1.75	1.28	1.6	0.0	17.38	2.43	105.15	1.3	1.22	1.48	1.6	1.93	1.5	19.11	1.25	2.53	2.68	23.59	0.96	0.49	1.64	1.19	0.44	0.47	0.52	3.38	3.0	0.91	1.14	2.18	1.22	0.59	2.63	2.86	379.04	0.56	1304.15	176.29	1088.92	693.58	674.59	2271.4	1605.83	56.68	38.12	96.68	281.09	98.04	87.03	81.14	120.1	43.32
RSPH9	10.24	56.68	214.27	13.03	6.52	2.71	12.64	10.71	5.77	7.17	3.69	4.1	3.89	7.57	3.63	24.99	8.99	46.84	6.26	6.16	6.31	2.63	14.78	8.13	12.64	6.36	8.99	6.01	16.15	5.02	6.94	5.28	4.94	4.43	6.62	6.89	7.11	7.75	5.15	13.62	4.5	7.22	4.82	7.69	3.17	120.94	6.78	339.14	129.69	389.72	381.68	202.66	579.04	392.44	51.71	30.78	102.25	136.19	64.8	48.18	94.01	75.11	31.0
SEC14L3	3.08	18.97	4.39	0.27	0.53	0.0	2.78	0.28	0.0	0.0	0.0	0.0	0.33	0.31	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	5.54	0.0	0.69	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.3	0.69	49.56	0.38	68.55	303.44	656.11	463.65	158.79	197.09	587.13	2.56	2.51	49.56	18.43	20.26	3.17	1.46	4.82	8.65
SLC16A4	15.45	607.87	647.07	60.39	5.41	6.16	61.25	3.41	22.26	7.88	7.0	12.55	7.94	4.13	10.79	35.25	23.42	22.43	3.17	4.9	6.01	4.54	41.22	82.87	18.16	8.19	8.65	4.66	31.9	5.59	3.14	13.32	7.69	0.92	7.69	5.02	13.72	6.31	13.12	146.03	13.12	11.3	7.34	5.54	7.28	58.71	10.63	253.23	1551.09	275.28	136.19	214.27	642.59	1378.57	16.63	61.25	28.65	67.59	177.53	121.79	47.84	62.56	48.18
SPAG8	0.38	518.15	3235.01	13.93	10.63	16.15	33.3	4.28	2.81	10.24	1.23	2.94	0.65	3.47	1.31	19.82	7.34	89.51	5.45	6.26	0.0	0.0	9.56	9.78	12.45	2.32	7.22	5.87	22.92	1.64	3.69	3.59	6.84	4.35	3.11	2.51	5.77	5.77	3.76	14.67	2.97	6.26	3.44	4.17	9.63	148.09	6.41	447.82	248.0	1397.83	599.49	466.88	1151.06	884.29	53.95	64.8	214.27	167.9	119.26	80.57	102.97	108.14	85.22
STK33	0.0	211.31	1096.5	53.57	12.18	2.89	5.87	10.71	1.04	2.68	0.0	1.53	0.0	1.0	0.0	43.63	9.48	82.87	2.34	12.09	4.1	2.2	5.02	4.17	22.59	1.83	12.74	0.89	24.99	0.0	2.32	2.66	4.03	0.57	1.41	1.99	2.16	0.97	4.46	11.3	3.72	9.85	1.25	0.58	1.48	231.32	2.16	1529.73	698.41	3257.52	2335.28	1277.29	3235.01	4095.0	114.36	149.12	122.64	193.01	134.3	85.22	92.7	128.79	91.41
TCTEX1D4	84.04	35.5	275.28	16.75	2.71	0.45	14.56	2.78	2.36	4.46	0.69	6.52	2.34	3.06	2.36	12.27	10.0	28.86	1.07	7.57	9.27	0.0	1.69	2.76	3.32	5.63	5.11	5.87	10.71	4.43	12.36	4.43	3.35	1.33	2.25	0.64	5.02	3.79	2.41	10.08	5.23	1.81	0.0	5.36	3.26	39.79	0.66	217.27	62.12	395.18	500.46	189.02	463.65	353.59	19.53	32.82	58.3	31.22	34.75	22.92	48.52	27.05	23.59
TEKT1	10.79	8963.45	44145.15	12.27	6.84	0.0	4.46	2.29	0.0	0.0	1.17	0.0	0.0	2.56	0.0	28.04	43.02	135.24	0.0	0.0	0.0	0.0	6.57	0.37	16.15	0.0	2.78	5.5	31.0	0.0	1.0	0.0	0.0	0.56	0.0	0.0	3.76	3.72	0.0	4.13	0.32	0.28	0.0	0.0	0.3	384.34	0.0	2018.8	819.3	2609.3	1963.57	1662.49	4123.49	2417.67	135.24	52.45	220.32	351.14	217.27	138.1	193.01	193.01	65.72
TMEM190	100.83	35118.87	165904.25	24.63	8.38	0.0	1.11	1.81	0.0	1.73	0.0	0.0	0.0	9.56	0.0	161.02	9.56	417.77	2.14	1.66	0.0	1.68	14.78	5.41	50.27	0.0	2.89	4.03	77.79	0.0	3.2	0.0	2.58	0.0	0.0	0.0	1.64	0.0	1.08	9.78	0.0	6.57	1.31	0.0	12.18	346.29	0.0	5633.22	1388.16	6652.97	5006.93	4836.35	11745.96	5403.7	381.68	229.72	1015.93	2335.28	239.52	514.56	759.08	490.14	218.79
TMEM231	9.85	934.76	6887.62	53.57	25.17	8.51	81.14	56.28	31.67	10.08	14.35	33.54	10.24	10.47	15.91	65.26	42.41	249.73	28.04	22.1	14.67	9.78	123.5	56.28	48.18	23.08	24.81	4.58	78.89	9.78	17.77	16.15	21.78	49.21	6.78	21.47	100.83	18.16	13.72	51.35	29.91	30.34	16.03	44.89	7.17	518.15	14.03	1388.16	438.59	2104.58	1427.22	1135.2	2645.74	1806.78	256.78	165.57	236.21	400.71	384.34	241.19	232.94	267.73	140.04
TSNAXIP1	6.16	239.52	842.36	41.81	13.72	7.22	38.67	4.17	3.17	9.63	2.71	8.51	2.73	4.98	1.64	16.15	7.63	50.98	5.32	10.79	35.5	4.62	15.45	5.19	10.71	6.31	6.26	6.78	17.25	1.58	6.16	1.03	7.46	4.28	11.73	3.79	6.06	2.56	2.39	15.11	6.84	18.03	2.32	7.51	3.63	111.99	1.14	248.0	78.34	547.75	327.56	178.77	381.68	307.69	35.25	50.63	85.22	75.11	63.45	52.82	98.04	67.59	55.89
TSPAN19	0.0	34.75	12.74	16.39	3.82	2.34	0.0	0.0	0.0	0.0	0.0	8.38	0.0	0.65	0.0	22.92	0.0	106.63	0.0	2.32	0.0	0.0	0.0	0.0	18.84	0.0	1.07	0.0	47.5	0.0	0.0	0.0	1.6	0.0	0.66	0.0	0.96	0.3	0.0	7.06	6.31	3.29	0.0	0.0	0.0	281.09	0.0	1015.93	454.09	3564.78	1936.53	629.35	2319.15	1001.93	167.9	99.43	295.11	441.64	267.73	165.57	231.32	131.51	55.89
TTC16	6.26	111.99	603.67	3.08	1.45	0.3	1.11	0.4	0.46	1.6	0.0	3.32	0.0	1.55	0.0	3.23	2.36	20.11	0.87	0.44	0.53	2.29	2.76	1.0	4.28	0.83	2.48	0.0	2.27	2.18	0.46	3.11	0.0	0.41	1.19	0.48	1.16	0.43	0.0	3.82	0.91	1.17	0.56	1.87	1.25	58.3	1.36	100.83	45.85	314.17	253.23	105.15	194.36	194.36	11.82	17.77	43.02	44.89	27.64	30.56	32.59	33.54	23.59
TTC23L	1.25	51.35	246.28	7.88	3.47	0.74	2.66	7.22	0.0	1.91	0.0	0.0	0.0	0.0	3.82	0.99	0.0	8.13	0.65	1.85	0.0	0.0	6.67	5.32	5.28	0.62	0.65	0.0	14.67	0.67	0.0	3.59	0.0	0.0	2.27	0.0	0.0	0.0	2.43	1.73	0.66	2.25	0.0	0.0	0.64	32.59	0.0	109.66	32.59	109.66	57.08	101.54	153.34	116.78	13.62	14.03	9.63	21.47	7.75	43.02	8.65	16.27	27.64
TTC34	1.38	36.27	88.88	2.43	2.58	0.54	2.76	0.96	0.64	1.07	0.0	0.66	0.0	0.0	0.0	2.2	0.0	10.16	0.65	0.61	1.75	0.61	5.87	1.25	2.23	0.0	1.11	0.56	3.14	0.67	0.0	0.62	1.41	0.0	1.04	0.0	0.6	1.01	0.0	0.97	0.66	1.45	1.3	1.01	1.99	10.55	0.68	24.99	27.05	125.24	12.93	29.91	77.25	92.7	3.44	14.45	5.36	18.03	9.13	10.71	11.73	10.96	11.82
TTLL6	0.41	22.75	35.5	1.73	0.56	3.72	7.06	0.39	6.26	0.44	0.0	0.0	0.0	0.43	0.0	1.14	0.0	4.43	0.0	0.0	0.0	0.0	0.0	1.99	6.01	0.44	0.0	0.0	1.97	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	2.32	0.0	10.71	0.0	0.0	0.0	0.42	0.0	29.7	0.0	36.27	35.0	218.79	145.02	125.24	117.6	209.84	2.63	6.67	9.27	16.75	6.67	12.83	13.03	9.41	8.38
WDR96	10.63	3103.19	32092.64	25.35	9.06	2.76	8.25	8.65	4.35	1.41	2.66	3.69	1.43	5.32	4.74	41.81	3.89	152.28	2.32	5.32	10.79	3.35	6.41	3.17	30.12	6.62	4.46	6.67	23.42	0.62	2.29	0.58	0.95	5.63	1.38	3.72	5.59	4.43	1.04	5.32	1.07	4.5	0.69	2.12	1.03	480.04	0.65	941.27	400.71	1909.85	1447.15	567.1	1819.35	1286.18	57.49	101.54	224.97	320.8	155.5	158.79	151.22	166.73	99.43
