	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.D8.A1XZ.01A.11R.A14M.07	TCGA.AR.A1AK.01A.21R.A12P.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0W3.01A.11R.A109.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.C8.A12M.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.C8.A273.01A.11R.A16F.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.FU.A3TX.01A.11R.A22U.07	TCGA.F4.6459.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.7197.01A.11R.2203.13
CMTR2	490.14	206.94	265.87	301.33	551.56	228.13	229.72	127.89	420.68	116.78	511.0	237.86	206.94	197.09	178.77	212.78	217.27	237.86	460.44	177.53	156.59	447.82	271.48	239.52	211.31	199.85	129.69	190.34	122.64	381.68	460.44	132.44	397.93	205.5	177.53	237.86	457.25	244.57	223.41	329.84	185.11	182.55	379.04	242.88	267.73	248.0	181.28	209.84	397.93	242.88	343.89	146.03	208.38	301.33	182.55	255.0	447.82	314.17	320.8	169.07	208.38	409.15	185.11	223.41	293.07	289.02	409.15	236.21	325.29	129.69	237.86	228.13	363.56	244.57	309.83	273.37	170.25	189.02	244.57	187.71	171.45	127.89	155.5	150.17	361.04	140.04	244.57	177.53	299.25	312.0	890.44	624.99	376.41	183.82	236.21	119.26	167.9	152.28	64.8	529.06	0.0	351.14
CNOT1	4937.99	1467.37	2720.15	2855.44	3419.52	2537.92	1844.76	1208.34	3124.78	884.29	2875.3	1216.75	1651.0	1340.84	1286.18	2061.24	2178.83	1977.24	2796.65	1583.71	2209.26	2915.45	2976.74	1457.23	1183.45	1457.23	1051.79	1359.57	1030.12	1369.04	2451.44	1183.45	1605.83	1832.01	2555.58	3257.52	4210.15	1721.16	1135.2	2739.08	1369.04	1733.13	3257.52	1617.0	3018.3	1340.84	1322.37	1561.89	2451.44	1757.34	2555.58	2739.08	1407.55	2193.99	2061.24	1709.26	1605.83	2240.11	2935.74	1487.87	1304.15	2816.11	1135.2	1721.16	2520.38	3212.66	3690.52	1991.0	2627.46	1175.27	1733.13	1551.09	1950.0	2351.53	1529.73	1417.35	1709.26	1233.75	1639.59	1322.37	988.12	1674.06	1397.83	2224.63	1498.22	1259.69	1963.57	1437.15	1540.37	1769.57	4210.15	3794.3	2895.31	1697.45	2255.7	1487.87	1104.13	1340.84	1225.22	4066.71	0.0	3874.05
COG4	2400.97	507.46	928.3	1051.79	1104.13	1030.12	486.75	656.11	1191.69	547.75	1662.49	368.65	381.68	493.56	563.18	896.64	988.12	1081.39	848.22	343.89	703.28	1259.69	866.07	503.95	529.06	497.0	532.74	514.56	412.0	616.37	974.5	454.09	836.53	543.96	764.36	647.07	890.44	480.04	466.88	1044.52	389.72	463.65	1331.57	529.06	738.29	412.0	463.65	536.45	1044.52	1044.52	1199.98	444.72	595.34	764.36	435.55	703.28	909.17	1304.15	1175.27	507.46	423.61	1313.23	583.07	387.02	928.3	967.76	1059.11	981.29	934.76	536.45	547.75	454.09	988.12	1073.91	688.78	493.56	551.56	454.09	1286.18	769.69	490.14	583.07	514.56	785.88	540.19	320.8	1322.37	559.28	470.14	813.63	2075.59	1322.37	1529.73	651.58	825.0	571.05	403.5	507.46	387.02	2032.85	0.0	1143.1
COG8	291.04	211.31	309.83	363.56	376.41	366.09	198.47	191.67	303.44	220.32	507.46	163.28	190.34	267.73	205.5	325.29	336.79	381.68	281.09	220.32	339.14	417.77	316.37	198.47	151.22	239.52	195.72	125.24	158.79	212.78	332.14	237.86	253.23	211.31	273.37	329.84	363.56	172.65	173.85	420.68	237.86	206.94	447.82	231.32	316.37	224.97	156.59	208.38	264.03	267.73	358.54	202.66	228.13	260.38	211.31	217.27	417.77	493.56	267.73	336.79	150.17	387.02	176.29	180.02	316.37	255.0	429.54	323.03	414.87	173.85	228.13	194.36	438.59	336.79	255.0	173.85	267.73	291.04	205.5	301.33	189.02	199.85	215.77	368.65	204.07	191.67	392.44	191.67	218.79	339.14	473.41	429.54	318.57	221.86	373.81	312.0	218.79	214.27	120.94	417.77	145.02	743.43
COQ9	2875.3	603.67	884.29	1135.2	961.07	1143.1	490.14	791.35	1369.04	575.03	1651.0	514.56	642.59	698.41	679.29	1519.15	1008.9	1167.14	934.76	521.76	1015.93	1199.98	1096.5	599.49	656.11	656.11	669.92	733.19	503.95	607.87	1119.56	651.58	785.88	603.67	890.44	961.07	1295.13	698.41	860.08	1457.23	679.29	563.18	1242.34	547.75	1111.82	595.34	693.58	595.34	961.07	688.78	1135.2	1313.23	470.14	684.02	638.15	660.68	703.28	1407.55	775.05	825.0	587.13	995.0	599.49	493.56	1066.48	1467.37	1477.58	1183.45	1183.45	612.11	769.69	941.27	1143.1	941.27	819.3	518.15	603.67	679.29	759.08	599.49	547.75	1191.69	684.02	1015.93	555.41	555.41	1191.69	647.07	540.19	1397.83	2075.59	1487.87	1216.75	656.11	1059.11	1088.92	603.67	902.89	334.46	1977.24	0.0	2287.2
COX6C	34396.12	168220.2	223512.12	152662.96	256748.15	331809.5	194578.47	209994.66	72213.45	170568.48	176583.6	185362.8	144427.91	111755.56	114897.47	159145.95	201440.3	40341.14	198667.0	221968.2	207103.59	68793.23	211455.3	112532.89	355624.68	265802.39	195931.88	190574.09	263966.36	242898.5	51775.15	150561.19	144427.91	148488.36	228208.61	202841.44	59063.35	109455.64	169390.27	186652.11	229795.93	95949.32	391864.76	118127.7	193234.41	147462.67	116501.39	145432.49	22072.07	425853.18	97965.44	217400.14	127486.83	125731.67	164758.26	107948.72	320506.81	170568.48	205673.01	177811.84	117311.73	81244.48	112532.89	269512.87	174152.51	191899.64	73221.53	189257.69	146444.06	208544.12	194578.47	253213.41	27553.49	180294.02	142439.51	114897.47	437825.58	527933.71	200048.85	197294.7	228208.61	138544.47	145432.49	52135.28	125731.67	286861.53	205673.01	180294.02	223512.12	37121.34	6561.36	53230.77	127486.83	126606.21	158046.64	492579.5	204252.32	164758.26	6471.02	9151.82	7331.05	6652.97
CSNK2A2	1477.58	447.82	872.1	981.29	1081.39	629.35	587.13	559.28	1104.13	376.41	836.53	353.59	518.15	356.05	409.15	532.74	802.41	669.92	836.53	420.68	836.53	791.35	629.35	587.13	303.44	438.59	450.94	420.68	438.59	497.0	791.35	595.34	647.07	607.87	642.59	616.37	842.36	525.39	470.14	1127.35	389.72	356.05	954.43	392.44	872.1	438.59	417.77	387.02	1183.45	476.71	825.0	743.43	323.03	603.67	579.04	483.38	723.08	915.51	808.0	603.67	470.14	808.0	332.14	529.06	769.69	808.0	1242.34	607.87	934.76	555.41	543.96	438.59	941.27	669.92	511.0	587.13	438.59	466.88	447.82	403.5	262.2	753.83	400.71	775.05	373.81	480.04	579.04	423.61	476.71	813.63	1313.23	1015.93	981.29	457.25	1051.79	624.99	289.02	432.53	204.07	2434.5	497.0	1806.78
CTCF	1088.92	599.49	830.75	1081.39	1023.0	995.0	559.28	571.05	1030.12	521.76	1081.39	575.03	791.35	540.19	607.87	638.15	723.08	775.05	995.0	738.29	909.17	1191.69	866.07	616.37	791.35	647.07	571.05	629.35	525.39	624.99	1119.56	563.18	813.63	708.18	764.36	813.63	988.12	612.11	547.75	1008.9	567.1	656.11	1066.48	669.92	866.07	514.56	521.76	633.73	947.83	642.59	860.08	493.56	647.07	624.99	660.68	599.49	1111.82	890.44	785.88	703.28	575.03	988.12	688.78	796.86	738.29	813.63	1233.75	688.78	902.89	599.49	555.41	563.18	954.43	1023.0	633.73	579.04	595.34	638.15	575.03	638.15	486.75	607.87	503.95	718.08	447.82	703.28	603.67	518.15	612.11	902.89	1143.1	1088.92	947.83	708.18	656.11	759.08	384.34	587.13	389.72	684.02	0.0	995.0
CTU2	551.56	151.22	229.72	232.94	450.94	320.8	131.51	242.88	234.57	173.85	438.59	112.77	95.34	136.19	205.5	327.56	239.52	389.72	146.03	127.0	228.13	234.57	251.48	120.1	117.6	155.5	166.73	148.09	148.09	180.02	291.04	144.01	323.03	172.65	176.29	303.44	309.83	198.47	201.25	309.83	130.6	193.01	332.14	137.14	267.73	119.26	156.59	136.19	195.72	162.14	305.55	186.4	154.42	167.9	162.14	209.84	253.23	343.89	108.14	171.45	194.36	234.57	171.45	52.82	197.09	301.33	251.48	293.07	197.09	166.73	275.28	221.86	167.9	189.02	208.38	134.3	98.73	143.01	171.45	248.0	226.54	158.79	119.26	305.55	156.59	172.65	334.46	163.28	126.12	251.48	327.56	379.04	356.05	164.42	159.9	201.25	205.5	180.02	92.05	698.41	0.0	612.11
CYB5B	4152.18	1427.22	2075.59	2555.58	2537.92	2468.49	1001.93	1242.34	2537.92	1088.92	3018.3	1037.29	1498.22	909.17	1208.34	3124.78	1561.89	1427.22	1757.34	1111.82	2178.83	2384.37	1991.0	1167.14	1250.98	1135.2	1397.83	1066.48	866.07	1066.48	1551.09	1135.2	1769.57	1259.69	1674.06	2434.5	2367.9	1359.57	1216.75	1617.0	1037.29	1081.39	2502.97	1135.2	2004.85	1151.06	1183.45	1225.22	1991.0	1757.34	2209.26	896.64	988.12	1378.57	1639.59	1135.2	2417.67	1417.35	1896.65	1651.0	1313.23	2384.37	785.88	1769.57	1662.49	1896.65	2555.58	2004.85	1991.0	1540.37	1111.82	1437.15	2255.7	1950.0	1216.75	1467.37	1709.26	1268.46	1208.34	1059.11	1066.48	1819.35	896.64	1745.2	1508.65	1313.23	1909.85	1233.75	1030.12	1832.01	2875.3	1883.54	2434.5	1277.29	1883.54	1529.73	860.08	1447.15	629.35	4481.23	0.0	12076.21
DDX19A	872.1	348.71	660.68	684.02	595.34	540.19	320.8	366.09	836.53	275.28	1008.9	260.38	366.09	351.14	417.77	551.56	567.1	587.13	567.1	309.83	420.68	723.08	579.04	414.87	314.17	409.15	293.07	412.0	295.11	260.38	656.11	361.04	656.11	395.18	529.06	426.57	1037.29	450.94	327.56	493.56	301.33	361.04	791.35	361.04	460.44	403.5	457.25	363.56	567.1	595.34	819.3	348.71	314.17	555.41	476.71	400.71	780.44	620.67	579.04	473.41	275.28	830.75	256.78	429.54	669.92	703.28	909.17	529.06	518.15	303.44	450.94	414.87	703.28	547.75	429.54	532.74	285.03	371.22	848.22	341.51	301.33	412.0	361.04	483.38	269.6	297.17	547.75	307.69	366.09	708.18	1340.84	854.13	780.44	387.02	435.55	323.03	305.55	423.61	262.2	1259.69	0.0	1233.75
DDX19B	2061.24	285.03	669.92	836.53	1104.13	718.08	376.41	563.18	848.22	351.14	1051.79	476.71	450.94	406.31	493.56	780.44	633.73	633.73	620.67	303.44	796.86	1081.39	947.83	463.65	473.41	371.22	480.04	460.44	423.61	403.5	981.29	343.89	825.0	490.14	599.49	775.05	1191.69	660.68	507.46	848.22	412.0	444.72	708.18	511.0	842.36	490.14	518.15	503.95	688.78	444.72	703.28	532.74	295.11	579.04	532.74	426.57	1159.07	536.45	785.88	503.95	473.41	669.92	358.54	368.65	679.29	571.05	688.78	438.59	796.86	518.15	441.64	381.68	748.61	743.43	486.75	603.67	438.59	351.14	1037.29	363.56	341.51	723.08	358.54	738.29	353.59	356.05	616.37	343.89	248.0	633.73	1199.98	878.17	507.46	379.04	775.05	624.99	341.51	599.49	279.14	921.88	0.0	995.0
DDX28	497.0	110.43	134.3	150.17	237.86	239.52	128.79	121.79	353.59	84.04	356.05	96.68	115.16	127.0	119.26	267.73	176.29	195.72	150.17	98.04	154.42	212.78	206.94	130.6	112.77	98.04	99.43	120.94	120.94	87.65	191.67	124.37	143.01	153.34	163.28	193.01	279.14	141.02	105.15	277.2	98.73	121.79	325.29	139.07	180.02	116.78	137.14	115.97	125.24	117.6	244.57	132.44	88.88	134.3	125.24	156.59	265.87	289.02	110.43	199.85	96.01	215.77	105.15	63.45	180.02	267.73	258.57	169.07	199.85	105.15	127.0	117.6	269.6	239.52	133.36	90.77	119.26	114.36	143.01	157.68	108.14	140.04	90.14	175.07	169.07	105.15	146.03	139.07	173.85	287.01	269.6	334.46	178.77	115.97	206.94	178.77	144.01	152.28	59.55	224.97	0.0	291.04
DEF8	1277.29	607.87	830.75	848.22	1044.52	890.44	403.5	412.0	753.83	571.05	872.1	239.52	379.04	406.31	529.06	947.83	854.13	1167.14	536.45	329.84	414.87	802.41	651.58	420.68	305.55	323.03	334.46	307.69	429.54	483.38	486.75	624.99	813.63	409.15	579.04	441.64	669.92	460.44	341.51	1199.98	387.02	403.5	1183.45	351.14	733.19	291.04	392.44	318.57	612.11	620.67	796.86	470.14	547.75	559.28	371.22	583.07	638.15	1685.71	559.28	483.38	555.41	603.67	241.19	170.25	785.88	995.0	848.22	638.15	559.28	460.44	718.08	454.09	802.41	612.11	555.41	463.65	397.93	265.87	348.71	490.14	457.25	536.45	429.54	967.76	563.18	466.88	1268.46	403.5	339.14	947.83	1159.07	775.05	1001.93	389.72	493.56	579.04	563.18	444.72	214.27	2645.74	0.0	1467.37
DHODH	144.01	144.01	224.97	199.85	373.81	232.94	81.14	156.59	281.09	89.51	426.57	114.36	99.43	136.19	148.09	343.89	142.01	232.94	167.9	137.14	163.28	215.77	217.27	119.26	104.42	102.25	110.43	121.79	108.9	339.14	149.12	111.21	185.11	116.78	223.41	159.9	426.57	159.9	85.82	176.29	99.43	148.09	320.8	147.06	190.34	126.12	112.77	142.01	141.02	177.53	193.01	150.17	127.89	127.89	134.3	157.68	193.01	178.77	186.4	145.02	126.12	202.66	127.0	92.7	177.53	199.85	323.03	260.38	132.44	93.35	185.11	129.69	275.28	144.01	167.9	89.51	88.88	77.25	395.18	108.9	110.43	143.01	131.51	199.85	110.43	93.35	166.73	131.51	138.1	215.77	253.23	279.14	258.57	115.16	163.28	90.14	111.99	166.73	88.88	343.89	0.0	480.04
DHX38	2209.26	403.5	679.29	603.67	884.29	624.99	381.68	587.13	665.29	361.04	1268.46	220.32	366.09	291.04	417.77	785.88	575.03	587.13	616.37	327.56	518.15	780.44	713.11	406.31	316.37	353.59	361.04	647.07	361.04	785.88	624.99	384.34	878.17	490.14	466.88	633.73	808.0	571.05	373.81	647.07	277.2	403.5	713.11	363.56	555.41	293.07	376.41	395.18	698.41	457.25	854.13	397.93	371.22	511.0	381.68	483.38	796.86	909.17	466.88	476.71	314.17	743.43	363.56	180.02	518.15	603.67	902.89	532.74	480.04	384.34	497.0	406.31	547.75	547.75	490.14	400.71	409.15	329.84	791.35	563.18	363.56	334.46	318.57	503.95	303.44	346.29	733.19	432.53	348.71	728.11	967.76	866.07	825.0	327.56	463.65	441.64	486.75	412.0	303.44	1617.0	0.0	1991.0
DUS2	1151.06	253.23	256.78	265.87	275.28	312.0	157.68	237.86	395.18	139.07	543.96	142.01	99.43	123.5	181.28	438.59	217.27	223.41	241.19	212.78	237.86	363.56	283.05	187.71	205.5	155.5	163.28	150.17	208.38	134.3	220.32	182.55	212.78	209.84	299.25	256.78	463.65	164.42	153.34	299.25	165.57	152.28	454.09	175.07	237.86	105.15	234.57	165.57	283.05	167.9	273.37	199.85	154.42	162.14	163.28	180.02	339.14	287.01	194.36	224.97	136.19	256.78	105.15	99.43	281.09	435.55	289.02	348.71	221.86	136.19	223.41	191.67	329.84	231.32	164.42	214.27	187.71	211.31	211.31	156.59	151.22	234.57	128.79	234.57	139.07	177.53	248.0	164.42	187.71	295.11	493.56	234.57	351.14	186.4	262.2	206.94	169.07	229.72	112.77	309.83	0.0	295.11
DYNC1LI2	2400.97	896.64	1923.14	1378.57	1950.0	890.44	909.17	532.74	1745.2	679.29	1896.65	447.82	878.17	595.34	642.59	583.07	1088.92	1697.45	1551.09	743.43	1066.48	1529.73	1277.29	928.3	470.14	753.83	559.28	759.08	620.67	665.29	1508.65	571.05	1794.29	995.0	1023.0	981.29	1950.0	909.17	629.35	1806.78	473.41	693.58	1477.58	796.86	1313.23	802.41	642.59	647.07	2032.85	860.08	1844.76	698.41	813.63	1277.29	842.36	967.76	1529.73	1709.26	1477.58	647.07	674.59	1561.89	543.96	896.64	1498.22	921.88	1639.59	1111.82	1378.57	616.37	738.29	633.73	1519.15	1001.93	813.63	928.3	854.13	830.75	842.36	902.89	420.68	780.44	698.41	1030.12	684.02	656.11	1286.18	490.14	934.76	1183.45	2645.74	2645.74	1950.0	665.29	1304.15	599.49	514.56	599.49	332.14	2133.97	483.38	2209.26
EDC4	2193.99	638.15	785.88	1030.12	1037.29	961.07	444.72	825.0	1023.0	759.08	1216.75	450.94	718.08	497.0	660.68	1697.45	796.86	1216.75	878.17	409.15	860.08	967.76	1073.91	536.45	575.03	559.28	559.28	563.18	447.82	463.65	915.51	567.1	967.76	532.74	866.07	1066.48	1295.13	738.29	511.0	1191.69	412.0	575.03	836.53	547.75	1151.06	351.14	633.73	486.75	713.11	603.67	1331.57	559.28	536.45	748.61	470.14	612.11	884.29	1242.34	753.83	651.58	444.72	1127.35	518.15	363.56	941.27	934.76	1896.65	791.35	1023.0	547.75	738.29	559.28	836.53	884.29	775.05	403.5	723.08	511.0	547.75	660.68	651.58	642.59	429.54	1015.93	348.71	500.46	1008.9	616.37	497.0	1135.2	1417.35	1388.16	1183.45	583.07	947.83	808.0	587.13	638.15	493.56	1583.71	563.18	1639.59
ELMO3	176.29	373.81	1250.98	995.0	1277.29	884.29	212.78	514.56	521.76	441.64	1286.18	215.77	348.71	343.89	260.38	988.12	1073.91	1008.9	325.29	417.77	915.51	825.0	669.92	164.42	267.73	198.47	309.83	305.55	291.04	325.29	616.37	248.0	353.59	343.89	571.05	909.17	780.44	218.79	262.2	366.09	420.68	426.57	1023.0	116.78	656.11	320.8	234.57	341.51	567.1	251.48	470.14	303.44	381.68	409.15	460.44	432.53	432.53	1498.22	616.37	429.54	241.19	665.29	182.55	118.43	928.3	890.44	642.59	497.0	507.46	248.0	587.13	490.14	785.88	660.68	299.25	180.02	563.18	244.57	507.46	463.65	486.75	193.01	521.76	775.05	248.0	332.14	1111.82	435.55	332.14	688.78	753.83	830.75	567.1	307.69	1199.98	460.44	397.93	293.07	48.18	1551.09	0.0	1191.69
EMC8	921.88	323.03	435.55	579.04	748.61	575.03	265.87	351.14	780.44	239.52	1175.27	363.56	368.65	281.09	336.79	642.59	507.46	466.88	301.33	228.13	480.04	532.74	387.02	309.83	305.55	305.55	289.02	341.51	251.48	363.56	457.25	287.01	447.82	314.17	366.09	444.72	693.58	323.03	392.44	791.35	303.44	285.03	642.59	248.0	529.06	229.72	309.83	273.37	323.03	325.29	896.64	339.14	339.14	381.68	316.37	412.0	616.37	540.19	507.46	264.03	277.2	493.56	239.52	334.46	387.02	651.58	470.14	511.0	587.13	316.37	525.39	329.84	651.58	460.44	339.14	312.0	366.09	353.59	289.02	420.68	341.51	463.65	221.86	525.39	251.48	376.41	575.03	312.0	285.03	656.11	825.0	540.19	660.68	305.55	406.31	392.44	320.8	341.51	239.52	1081.39	0.0	1259.69
ESRP2	5292.48	420.68	738.29	1369.04	981.29	1044.52	291.04	525.39	890.44	1340.84	1457.23	403.5	928.3	339.14	480.04	1467.37	555.41	688.78	934.76	1216.75	1242.34	1605.83	1923.14	497.0	426.57	607.87	579.04	490.14	255.0	480.04	1030.12	575.03	1216.75	733.19	1030.12	872.1	1662.49	497.0	493.56	896.64	507.46	674.59	988.12	486.75	802.41	587.13	759.08	575.03	674.59	616.37	1259.69	669.92	674.59	638.15	688.78	511.0	941.27	780.44	638.15	642.59	555.41	1359.57	842.36	356.05	974.5	1572.76	1457.23	954.43	848.22	497.0	848.22	607.87	1388.16	2255.7	728.11	363.56	995.0	579.04	612.11	607.87	988.12	246.28	346.29	1167.14	620.67	559.28	878.17	785.88	780.44	2335.28	1794.29	1844.76	890.44	463.65	633.73	563.18	629.35	743.43	154.42	6294.04	0.0	1733.13
EXOSC6	417.77	142.01	368.65	444.72	497.0	423.61	199.85	159.9	693.58	237.86	514.56	157.68	194.36	221.86	226.54	409.15	273.37	318.57	341.51	346.29	343.89	429.54	392.44	185.11	138.1	285.03	256.78	166.73	159.9	214.27	351.14	208.38	279.14	224.97	215.77	624.99	660.68	229.72	204.07	406.31	141.02	241.19	470.14	180.02	307.69	130.6	178.77	166.73	486.75	420.68	525.39	256.78	141.02	260.38	275.28	155.5	432.53	273.37	299.25	253.23	176.29	341.51	248.0	346.29	403.5	267.73	743.43	241.19	348.71	201.25	297.17	253.23	426.57	323.03	262.2	176.29	262.2	157.68	551.56	283.05	171.45	325.29	140.04	356.05	166.73	149.12	503.95	226.54	214.27	559.28	470.14	529.06	299.25	255.0	395.18	343.89	206.94	251.48	139.07	813.63	249.73	1051.79
FAM192A	5041.77	1757.34	1781.89	2875.3	2240.11	2451.44	1073.91	1359.57	3190.46	1059.11	3874.05	1037.29	1369.04	866.07	1369.04	1794.29	1832.01	1685.71	2104.58	947.83	1977.24	3395.89	2104.58	1322.37	1508.65	1697.45	1540.37	1806.78	1066.48	1457.23	1936.53	1143.1	1733.13	1199.98	1447.15	2451.44	2209.26	1369.04	1427.22	2573.36	1407.55	1159.07	2434.5	1081.39	2271.4	1208.34	1066.48	1304.15	2032.85	1159.07	2047.0	2148.82	1015.93	1467.37	1417.35	1378.57	1745.2	2133.97	1857.6	1199.98	1159.07	2520.38	1059.11	1127.35	1977.24	2335.28	3639.7	1583.71	2573.36	1437.15	1628.26	1487.87	2875.3	2758.13	1378.57	1583.71	1313.23	1331.57	1540.37	1540.37	1167.14	1857.6	753.83	1923.14	836.53	1250.98	2178.83	1277.29	1191.69	2335.28	3690.52	2682.69	2816.11	1407.55	1794.29	2240.11	1277.29	1651.0	743.43	2520.38	1733.13	2935.74
FBXO31	417.77	325.29	563.18	323.03	435.55	368.65	267.73	334.46	403.5	246.28	728.11	180.02	341.51	229.72	267.73	325.29	620.67	728.11	423.61	325.29	490.14	336.79	518.15	255.0	343.89	260.38	221.86	289.02	285.03	220.32	651.58	265.87	389.72	432.53	255.0	363.56	563.18	441.64	231.32	444.72	242.88	218.79	454.09	264.03	412.0	201.25	293.07	273.37	423.61	353.59	599.49	327.56	325.29	351.14	327.56	332.14	500.46	616.37	500.46	271.48	176.29	441.64	320.8	194.36	547.75	514.56	503.95	497.0	473.41	205.5	387.02	229.72	470.14	429.54	314.17	358.54	303.44	214.27	303.44	371.22	234.57	221.86	314.17	384.34	221.86	214.27	426.57	339.14	279.14	493.56	599.49	466.88	392.44	260.38	500.46	334.46	297.17	242.88	285.03	1175.27	0.0	941.27
FLJ00104	60.82	15.22	29.7	11.13	35.5	29.06	11.91	15.91	22.43	6.57	27.25	2.97	11.38	5.15	15.45	22.43	19.11	33.06	21.32	12.45	10.96	25.72	23.08	14.78	10.47	23.25	3.44	7.06	10.47	15.68	34.51	20.26	29.27	16.27	11.47	30.34	16.63	19.25	7.57	29.7	7.06	14.56	18.84	11.21	28.65	8.06	9.78	10.39	30.12	20.86	33.06	8.19	18.29	15.22	9.56	21.01	16.51	78.34	9.93	9.56	12.83	32.13	6.01	5.87	35.76	17.25	43.32	8.19	31.45	11.38	21.94	10.16	19.53	23.93	25.17	11.55	12.74	8.65	13.42	16.63	8.78	4.98	6.78	15.0	5.36	7.11	37.85	21.78	9.93	21.47	43.02	34.75	38.95	16.27	31.45	12.64	20.26	9.06	9.34	112.77	0.0	82.87
