	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.NFK9.1526.SM.3LK7B	GTEX.WFON.1126.SM.4LVMA	GTEX.145LT.1426.SM.5O9B3	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
NIPAL4	17.64	40.93	0.0	0.48	0.0	0.47	0.0	0.0	0.0	5.92	2.71	2.56	10.96	2.07	5.68	151.22	5.96	8.25	325.29	51.35	400.71	356.05	348.71	444.72	583.07	126.12	6.89	251.48	21.32	29.27	4.17	33.54	0.0	0.67	0.0	3.86	5.63	2.25	27.05	6.89	13.32
NMUR1	21.47	51.71	13.03	2.94	7.75	5.68	11.82	6.46	5.59	1.75	29.7	6.01	5.32	20.41	33.78	50.63	13.93	19.82	143.01	51.71	36.53	34.51	56.28	42.41	85.82	32.59	12.64	4.5	25.91	30.56	34.75	52.08	9.27	6.46	6.11	7.63	7.46	1.83	12.27	9.7	4.62
NNAT	172.65	186.4	4.58	19.53	6.41	9.13	7.46	30.34	3.63	0.0	2.78	4.39	12.74	14.56	44.25	208.38	23.93	110.43	2119.22	211.31	435.55	2664.15	1457.23	4836.35	5672.41	218.79	44.57	353.59	85.82	90.77	36.53	190.34	9.41	0.0	3.79	10.71	62.56	6.84	5.82	2.94	3.63
NPAS4	7.06	14.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	1.55	9.13	50.63	6.26	1.91	255.0	21.16	55.1	112.77	96.01	211.31	127.89	21.94	1.0	34.75	12.09	4.7	3.56	13.42	0.0	0.0	1.04	1.01	2.73	1.0	1.04	0.0	0.0
NRXN1	49.56	39.22	0.0	0.95	0.0	6.52	1.6	0.39	0.49	0.0	0.0	0.0	0.0	0.0	5.68	54.33	15.22	9.7	145.02	36.79	41.52	387.02	260.38	309.83	450.94	82.87	30.56	59.55	8.25	11.38	20.86	21.32	0.0	0.0	0.0	0.87	5.23	0.0	0.89	0.0	0.0
NXPH3	50.98	183.82	20.41	16.27	5.92	26.1	6.89	13.12	5.02	6.41	26.28	8.92	8.19	45.21	73.54	214.27	125.24	84.04	368.65	199.85	348.71	409.15	334.46	395.18	612.11	277.2	36.79	59.55	43.94	62.56	101.54	182.55	14.89	14.45	12.64	63.45	84.63	1.45	9.56	53.57	18.56
PALLD	2018.8	7331.05	426.57	583.07	295.11	890.44	743.43	1023.0	444.72	547.75	1378.57	371.22	1030.12	1023.0	2240.11	7749.1	1199.98	2485.67	16157.44	6935.54	23169.48	14765.09	18052.61	16496.96	19754.96	6471.02	961.07	3614.55	1857.6	1594.73	2758.13	4450.27	620.67	915.51	212.78	981.29	3443.31	934.76	830.75	836.53	414.87
PDE3A	151.22	460.44	20.41	6.78	173.85	17.25	336.79	5.63	9.56	9.41	47.17	22.92	17.64	255.0	74.06	258.57	120.94	271.48	323.03	518.15	629.35	723.08	941.27	559.28	723.08	341.51	22.92	102.25	30.78	33.06	118.43	199.85	43.32	19.11	23.76	68.55	147.06	14.35	52.45	46.5	52.45
PDLIM3	1216.75	3419.52	57.49	12.74	36.27	85.22	30.34	31.67	642.59	287.01	361.04	35.76	285.03	1096.5	1745.2	7382.04	1208.34	2240.11	16611.71	5791.62	14361.31	14971.21	13872.08	17804.06	18950.18	6250.56	454.09	5831.91	1322.37	1359.57	1583.71	3303.0	318.57	102.97	189.02	100.83	1167.14	647.07	587.13	228.13	1242.34
PDZD4	117.6	181.28	8.71	9.41	12.09	22.59	16.15	11.91	9.78	6.57	30.34	15.22	17.64	69.03	73.54	267.73	67.12	73.03	595.34	209.84	473.41	718.08	591.22	780.44	660.68	199.85	31.9	150.17	70.51	84.63	115.97	148.09	47.84	25.72	27.84	79.45	50.63	17.51	53.19	27.44	47.5
PGM5	1066.48	3349.13	107.38	23.93	119.26	68.07	88.88	688.78	21.47	65.26	69.52	138.1	63.0	58.71	409.15	2148.82	269.6	642.59	5711.87	1857.6	4736.79	5594.3	6207.38	7966.99	8363.13	3847.29	303.44	2417.67	591.22	638.15	703.28	1757.34	105.15	152.28	73.03	139.07	149.12	79.45	166.73	112.77	163.28
PITPNM3	224.97	426.57	21.47	2.94	7.82	19.82	6.94	18.84	1.55	18.03	2.76	52.82	22.1	2.29	187.71	239.52	27.05	29.27	480.04	373.81	444.72	575.03	698.41	543.96	638.15	297.17	72.52	361.04	98.73	191.67	41.52	153.34	26.28	32.13	75.11	52.45	32.59	36.01	24.81	37.85	8.32
PLEKHO1	1051.79	2875.3	361.04	279.14	480.04	500.46	307.69	147.06	320.8	356.05	988.12	201.25	525.39	1498.22	1111.82	6745.86	848.22	1498.22	9409.14	2976.74	8191.0	6381.92	6840.04	11745.96	10084.54	2609.3	395.18	1819.35	679.29	928.3	775.05	1331.57	412.0	457.25	224.97	361.04	902.89	248.0	476.71	536.45	688.78
PLIN4	251.48	575.03	139.07	13.42	48.87	81.71	13.42	44.57	111.99	4.46	98.73	256.78	28.65	201.25	64.8	733.19	145.02	199.85	2104.58	785.88	1208.34	2835.7	2224.63	3540.14	3372.43	753.83	58.3	896.64	187.71	107.38	69.03	312.0	87.03	12.27	3.26	21.01	447.82	8.51	15.34	7.57	19.97
PLN	679.29	2555.58	6.78	12.09	11.13	89.51	36.79	17.25	32.13	15.45	194.36	27.25	11.64	211.31	183.82	1781.89	599.49	1001.93	3901.01	2664.15	3928.15	6337.83	8134.41	8078.22	10733.74	3794.3	129.69	878.17	438.59	384.34	3928.15	2319.15	36.53	57.89	48.52	123.5	316.37	29.48	211.31	46.18	54.72
PLP1	412.0	223.41	0.92	0.0	0.0	13.22	3.29	1.22	10.08	4.74	0.0	0.0	0.0	0.0	32.13	251.48	10.24	16.03	483.38	120.1	125.24	1769.57	1096.5	1015.93	1769.57	447.82	91.41	358.54	37.05	109.66	106.63	97.36	0.0	0.0	0.0	27.84	43.94	0.0	11.13	0.0	7.0
PMP2	8.13	4.21	0.0	0.0	0.0	2.36	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.67	6.01	32.59	4.17	1.22	29.48	11.38	15.68	105.15	78.89	120.1	90.14	11.21	2.39	7.17	2.27	7.51	4.5	4.66	0.0	0.0	0.0	1.13	1.36	0.0	0.0	0.0	0.0
PNCK	277.2	423.61	260.38	94.01	29.91	157.68	49.91	32.13	16.27	46.5	14.24	43.02	61.25	11.73	106.63	1359.57	40.93	126.12	2739.08	540.19	2119.22	2835.7	2468.49	3103.19	3103.19	703.28	23.08	665.29	61.68	72.52	53.95	295.11	4.58	3.79	1.46	0.0	0.0	18.43	16.63	16.27	89.51
POPDC2	312.0	1073.91	101.54	79.45	81.14	87.03	79.45	52.08	20.86	11.3	43.63	28.45	15.68	169.07	88.26	1359.57	172.65	202.66	3847.29	941.27	2816.11	2485.67	3124.78	3419.52	2855.44	518.15	56.68	392.44	77.79	66.65	79.45	166.73	334.46	140.04	106.63	150.17	129.69	277.2	242.88	77.25	305.55
PPP1R12B	599.49	2935.74	332.14	246.28	47.5	164.42	70.51	58.71	29.7	43.63	88.26	122.64	43.32	305.55	1175.27	5255.91	543.96	1216.75	8901.53	4152.18	15824.9	8538.88	7130.55	8658.09	9876.98	3419.52	277.2	1304.15	532.74	698.41	387.02	1331.57	167.9	78.34	76.17	212.78	232.94	127.0	145.02	133.36	248.0
PPP1R14A	1561.89	3467.27	234.57	70.51	63.0	327.56	127.0	66.18	198.47	68.07	713.11	159.9	89.51	1745.2	878.17	5479.15	878.17	2090.03	7331.05	1519.15	13492.72	6207.38	7749.1	8247.98	8479.89	4181.07	454.09	2335.28	1008.9	791.35	2537.92	3060.45	285.03	189.02	62.56	417.77	409.15	115.97	376.41	228.13	379.04
PRIMA1	285.03	267.73	0.0	0.51	0.39	3.79	2.86	0.83	0.53	5.15	0.93	7.28	4.35	45.21	119.26	463.65	44.25	67.12	1295.13	186.4	1088.92	1832.01	1369.04	2335.28	2224.63	387.02	110.43	738.29	248.0	224.97	163.28	450.94	33.06	61.25	20.86	4.1	15.45	18.97	35.25	13.12	26.67
PRKAR2B	193.01	117.6	6.21	2.39	5.82	138.1	22.1	7.94	9.93	52.82	37.85	38.4	33.78	18.84	373.81	123.5	55.1	84.04	660.68	226.54	256.78	796.86	543.96	1242.34	642.59	195.72	190.34	166.73	189.02	190.34	297.17	271.48	25.35	16.63	82.29	29.7	146.03	19.39	37.85	25.35	72.01
PRKCB	142.01	217.27	4.86	2.86	6.57	6.06	16.88	11.55	36.27	237.86	43.32	11.82	22.43	49.91	197.09	1051.79	73.03	76.71	665.29	305.55	825.0	684.02	575.03	603.67	872.1	190.34	22.75	258.57	46.5	197.09	89.51	129.69	10.47	15.0	9.56	48.87	43.94	11.38	48.87	54.33	16.03
PSD	723.08	1286.18	97.36	46.5	85.22	76.71	56.28	98.73	53.95	156.59	48.18	49.91	51.35	52.45	48.18	2351.53	58.71	780.44	7857.29	2224.63	4358.66	8963.45	9215.48	14163.58	10808.41	1870.53	162.14	1519.15	198.47	231.32	156.59	642.59	79.45	30.34	46.84	126.12	130.6	49.56	85.82	72.52	36.01
PTGES3L	94.01	156.59	5.41	8.19	30.34	15.56	20.71	14.78	5.02	8.13	9.48	16.27	3.86	11.73	21.01	241.19	97.36	60.39	532.74	145.02	718.08	591.22	417.77	525.39	518.15	102.25	10.0	107.38	15.91	16.63	29.06	61.68	12.0	10.39	16.03	13.42	11.82	8.85	17.0	31.9	14.78
PTPN5	6.41	12.18	0.0	0.0	0.39	4.7	0.42	3.23	1.01	0.44	1.81	1.3	3.86	5.28	8.45	25.91	9.7	28.86	19.39	77.25	54.72	64.34	59.97	54.72	48.87	37.85	3.59	17.51	11.38	19.53	20.26	38.4	9.41	1.31	2.63	31.9	32.36	0.0	19.97	19.97	3.14
RASSF3	684.02	1674.06	169.07	99.43	84.63	153.34	255.0	206.94	104.42	135.24	277.2	470.14	373.81	281.09	633.73	1388.16	547.75	587.13	2351.53	1639.59	2895.31	1674.06	2451.44	2090.03	2739.08	1030.12	403.5	890.44	547.75	460.44	583.07	698.41	457.25	205.5	173.85	368.65	271.48	363.56	244.57	241.19	620.67
RBFOX3	177.53	314.17	0.46	0.0	0.0	0.96	0.0	0.0	0.52	0.44	0.0	0.44	1.95	3.96	12.27	93.35	9.93	124.37	1832.01	70.51	19.11	314.17	42.11	463.65	346.29	44.57	6.89	93.35	4.62	13.52	5.96	20.26	1.23	1.35	4.54	0.0	0.0	0.0	10.08	1.27	5.54
REEP1	132.44	473.41	37.85	92.05	2.97	78.34	7.75	3.23	6.57	25.54	10.39	2.16	26.86	26.28	101.54	406.31	76.71	128.79	728.11	314.17	450.94	1088.92	961.07	1096.5	1044.52	441.64	80.01	149.12	202.66	159.9	107.38	301.33	33.54	19.82	9.85	28.24	25.72	34.51	24.81	28.65	46.84
RGMA	251.48	733.19	12.64	1.01	85.22	26.47	44.57	5.32	13.72	37.32	30.34	54.33	3.92	95.34	1159.07	2997.45	532.74	1977.24	5711.87	1733.13	7032.37	5831.91	4937.99	6652.97	6164.49	2287.2	146.03	1605.83	688.78	728.11	718.08	2935.74	47.17	14.89	19.39	61.25	169.07	20.11	73.03	52.08	67.12
RP11-131H24.4	5.36	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	4.21	1.75	13.62	33.54	9.7	31.22	14.89	22.43	20.41	8.99	3.66	9.41	4.98	0.0	4.28	0.0	8.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCN7A	88.88	193.01	0.46	0.49	33.54	0.96	47.84	57.49	0.52	0.0	0.46	2.16	0.0	0.69	18.97	138.1	23.25	24.81	305.55	117.6	158.79	555.41	518.15	540.19	728.11	262.2	38.12	166.73	12.55	29.91	65.72	89.51	5.73	1.91	6.26	3.32	12.93	5.32	4.86	0.0	0.0
SGCA	325.29	579.04	19.39	10.79	4.17	46.5	10.71	20.71	24.28	9.13	162.14	21.94	4.94	148.09	220.32	802.41	341.51	591.22	591.22	848.22	1781.89	2240.11	2816.11	1295.13	2485.67	1216.75	132.44	693.58	169.07	346.29	575.03	514.56	41.22	12.93	11.64	102.25	143.01	5.82	36.79	11.55	28.04
SLMAP	988.12	2796.65	366.09	447.82	521.76	291.04	878.17	1096.5	242.88	353.59	392.44	587.13	587.13	454.09	1369.04	3614.55	748.61	1350.18	6207.38	3443.31	11267.44	8078.22	6121.9	8901.53	11745.96	2956.17	743.43	2224.63	902.89	878.17	974.5	1781.89	543.96	483.38	595.34	423.61	432.53	547.75	860.08	379.04	420.68
SMPX	37.85	170.25	0.89	0.48	0.0	6.06	0.0	2.39	0.0	0.0	31.22	0.0	0.0	4.35	10.24	603.67	29.06	48.52	3564.78	343.89	1950.0	2303.12	2335.28	2758.13	2682.69	249.73	0.0	145.02	10.63	0.0	13.93	35.0	0.0	0.0	0.0	0.0	2.27	0.0	0.0	0.0	0.0
SMTN	3742.05	7433.4	1594.73	84.04	1259.69	514.56	651.58	242.88	373.81	100.13	255.0	281.09	224.97	1417.35	2758.13	19348.38	3303.0	5672.41	60304.42	10733.74	46019.85	43537.38	34158.52	53973.86	53973.86	10659.59	1427.22	11345.82	2777.33	2434.5	2935.74	5913.33	1111.82	1015.93	748.61	708.18	669.92	733.19	884.29	1044.52	1350.18
SMYD1	17.9	58.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	514.56	13.83	15.45	3443.31	490.14	1313.23	2915.45	2777.33	2609.3	2351.53	202.66	2.48	253.23	3.14	6.36	9.48	70.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SORBS1	1059.11	3589.58	559.28	361.04	18.03	256.78	54.72	76.71	36.53	241.19	76.17	189.02	135.24	351.14	1662.49	6471.02	1340.84	2777.33	11345.82	4802.93	16157.44	15824.9	13681.08	14361.31	18819.27	6037.61	743.43	3443.31	1088.92	1259.69	1378.57	4010.71	102.97	73.54	40.07	159.9	387.02	81.14	204.07	71.5	133.36
SOX10	154.42	99.43	0.0	0.0	0.77	6.67	1.66	0.42	16.27	0.0	0.0	0.0	0.0	0.0	15.68	211.31	20.26	19.39	224.97	75.11	107.38	583.07	438.59	486.75	759.08	138.1	20.26	121.79	14.67	34.75	43.63	56.68	0.0	0.0	2.78	2.73	0.0	0.0	1.91	1.85	2.14
SPEG	633.73	1369.04	10.08	170.25	52.45	162.14	29.7	64.8	24.11	20.86	74.06	124.37	49.91	226.54	277.2	2240.11	490.14	848.22	4239.45	1216.75	4419.52	4671.57	4328.55	5366.37	6121.9	1662.49	119.26	1378.57	336.79	429.54	629.35	1388.16	111.99	48.52	62.56	251.48	287.01	25.54	63.89	78.89	22.75
STON1	155.5	392.44	36.53	18.84	61.25	73.03	49.21	27.25	61.25	15.0	43.63	58.3	32.59	66.18	183.82	500.46	112.77	376.41	1977.24	629.35	1295.13	1936.53	1508.65	2537.92	2645.74	967.76	94.01	503.95	153.34	157.68	167.9	353.59	37.05	36.53	26.67	61.25	107.38	24.28	67.59	52.45	49.56
SYNM	1313.23	4769.75	151.22	400.71	24.81	154.42	58.3	78.34	50.27	127.0	40.36	35.76	30.56	198.47	426.57	7642.41	848.22	1572.76	26614.89	9876.98	25005.23	20881.4	19082.0	26431.04	29327.18	8247.98	297.17	6381.92	764.36	595.34	819.3	3372.43	346.29	417.77	172.65	170.25	97.36	180.02	281.09	239.52	346.29
SYNPO2	1030.12	7280.4	30.34	27.44	11.47	67.12	46.5	68.07	26.47	17.9	187.71	43.63	19.68	323.03	1447.15	8078.22	733.19	1583.71	14867.79	7081.29	23009.42	16045.82	13033.07	14561.8	19348.38	13968.57	285.03	8479.89	866.07	1208.34	1127.35	4769.75	136.19	39.5	36.79	150.17	334.46	158.79	220.32	125.24	78.34
TACR2	454.09	1286.18	31.9	1.93	8.06	6.11	7.28	10.0	0.52	1.71	8.51	7.63	9.56	5.23	41.81	2915.45	54.33	1350.18	5441.3	1685.71	7081.29	3928.15	4388.98	5831.91	5255.91	2384.37	35.5	1487.87	40.07	59.97	54.33	1242.34	2.05	3.76	1.87	4.62	4.28	6.46	4.78	3.32	10.96
TEAD3	769.69	1096.5	69.03	68.07	139.07	144.01	116.78	92.7	176.29	155.5	246.28	183.82	109.66	318.57	603.67	1304.15	669.92	660.68	3257.52	1104.13	2758.13	2485.67	2915.45	3146.52	3257.52	1081.39	412.0	890.44	665.29	688.78	503.95	909.17	161.02	87.03	172.65	325.29	450.94	88.26	232.94	244.57	145.02
TGFB1I1	1397.83	2335.28	229.72	163.28	77.79	426.57	148.09	825.0	299.25	38.95	547.75	232.94	130.6	1135.2	1233.75	6337.83	1037.29	2935.74	11504.21	3540.14	10225.32	11664.82	13033.07	13033.07	12076.21	3190.46	728.11	1909.85	1191.69	1407.55	1674.06	2835.7	571.05	921.88	387.02	780.44	2351.53	193.01	802.41	785.88	567.1
TPM1	15180.22	37639.55	1923.14	1277.29	909.17	2119.22	1073.91	961.07	3690.52	7130.55	2835.7	1977.24	4123.49	4903.87	8191.0	42937.97	7695.57	13123.73	124000.67	31215.04	122293.5	108699.57	95949.32	122293.5	141455.6	32767.0	5751.61	24660.96	8191.0	9606.86	7966.99	20737.16	2997.45	4543.8	2434.5	2485.67	5791.62	3395.89	3325.99	2451.44	2400.97
TPM2	11267.44	25179.16	599.49	279.14	267.73	1350.18	366.09	264.03	698.41	466.88	2855.44	371.22	395.18	7537.18	6426.31	47313.67	7537.18	15824.9	133825.1	37379.55	160252.91	107203.06	80125.95	119776.72	127486.83	37121.34	4038.61	29531.18	8479.89	7589.61	10440.2	27938.14	2417.67	1233.75	769.69	2075.59	6699.25	500.46	1769.57	1030.12	1104.13
TSPAN2	267.73	764.36	12.83	3.86	10.55	20.41	8.06	10.31	5.5	8.92	78.34	84.63	60.82	56.68	181.28	780.44	130.6	764.36	1639.59	518.15	1242.34	1617.0	1832.01	2664.15	3303.0	1127.35	55.1	551.56	140.04	198.47	198.47	432.53	25.91	58.71	27.25	30.56	115.97	13.22	32.59	11.91	93.35
TWIST2	43.02	53.95	0.47	0.51	1.14	0.97	1.66	0.83	1.55	0.88	4.13	0.0	0.0	12.83	42.41	85.82	25.35	114.36	88.26	82.87	269.6	346.29	271.48	316.37	194.36	194.36	34.26	126.12	53.57	81.14	24.63	156.59	8.06	3.17	0.0	5.45	17.77	2.12	4.78	8.38	7.69
VIPR2	35.5	71.5	0.46	5.32	1.13	1.45	2.05	0.42	0.53	0.44	2.29	0.0	1.46	4.62	186.4	162.14	35.76	115.16	104.42	156.59	339.14	264.03	237.86	105.89	226.54	117.6	8.13	114.36	38.95	42.41	46.5	130.6	0.0	0.0	0.0	3.06	4.58	0.0	1.95	0.73	0.92
ZCCHC24	248.0	769.69	60.39	23.76	45.21	88.26	98.73	156.59	54.72	164.42	122.64	63.89	74.58	397.93	412.0	988.12	183.82	500.46	1268.46	1008.9	1870.53	1551.09	1674.06	1883.54	1963.57	728.11	100.83	473.41	197.09	206.94	309.83	679.29	138.1	131.51	158.79	234.57	603.67	72.01	211.31	171.45	108.14
