	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.V1.A9OL.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.YL.A8SL.01B.21R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.A4ZV.01A.11R.A26U.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.ZG.A9L5.01A.12R.A41O.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S8.01A.11R.A37L.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.A46G.01A.31R.A26U.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07
HMMR	24.81	15.91	8.13	13.12	90.77	17.77	12.74	120.1	9.78	260.38	36.79	108.9	18.84	31.9	165.57	21.94	93.35	37.85	92.05	22.26	24.63	4.62	25.35	59.13	11.47	21.01	14.03	32.36	22.92	12.64	120.94	27.84	15.68	81.71	17.25	96.68	37.59	17.77	27.44	128.79	244.57	134.3	31.9	31.0	130.6	10.0	17.9	58.3	116.78	39.22	25.35	12.45	62.56	50.27	29.48	12.64	6.26	11.3	8.71	8.45	5.5	8.25	8.45
IQGAP3	16.39	7.57	3.69	10.24	74.06	5.41	5.06	101.54	6.11	115.16	14.03	167.9	8.71	15.56	87.03	11.91	70.01	19.25	43.32	9.48	23.59	3.23	12.64	50.63	7.28	10.24	6.21	21.32	13.32	4.74	98.73	11.38	8.06	93.35	6.89	56.68	41.22	13.62	11.82	161.02	76.71	59.55	21.94	10.08	77.79	2.14	9.34	37.32	57.89	24.63	15.91	6.41	42.41	19.82	14.89	6.01	2.25	5.41	2.92	2.63	4.17	2.23	4.62
KIF11	21.78	32.59	19.53	25.91	98.04	28.24	21.47	56.28	16.88	59.13	38.12	177.53	26.86	28.65	108.9	41.81	74.58	46.18	39.22	31.45	35.0	17.51	25.35	105.15	27.84	26.47	26.28	18.29	28.65	36.53	81.14	19.11	21.63	183.82	30.12	79.45	53.95	28.45	24.99	154.42	147.06	80.57	34.75	38.67	82.29	8.38	37.05	35.0	59.97	61.25	22.75	23.76	49.91	47.17	32.59	33.3	18.16	19.97	14.56	22.43	18.56	19.97	16.39
KIF18B	7.94	6.26	2.61	9.2	36.01	3.06	3.99	67.12	1.83	71.0	8.38	111.99	6.62	9.78	52.08	6.62	36.79	21.94	23.25	5.15	15.45	2.43	6.21	63.45	4.06	7.82	2.23	4.46	7.51	1.6	63.0	10.08	7.4	75.11	5.45	46.84	21.16	10.47	8.19	109.66	46.18	65.72	12.45	14.89	102.25	1.08	4.54	19.97	36.79	15.68	8.0	1.93	34.75	6.84	12.83	5.06	1.17	3.92	1.31	1.19	1.58	3.72	2.76
KIF20A	19.25	19.53	6.78	15.34	134.3	13.32	13.62	187.71	10.24	267.73	27.05	281.09	29.7	23.93	175.07	25.17	73.54	50.63	86.43	14.14	48.18	8.78	20.86	149.12	15.68	16.15	10.71	30.34	17.9	15.22	90.14	23.59	13.62	129.69	28.24	106.63	77.79	21.94	17.13	183.82	260.38	138.1	33.06	21.63	145.02	6.73	20.86	48.18	127.89	29.7	31.9	12.74	66.18	36.01	25.35	15.22	5.73	15.22	3.29	5.77	10.31	18.7	9.27
KIF2C	23.42	29.91	13.42	24.99	88.26	23.76	14.56	156.59	18.84	108.9	28.45	221.86	19.53	16.88	127.89	36.53	71.5	47.17	85.22	18.56	41.22	14.24	17.25	127.0	16.88	25.91	10.63	27.64	17.0	17.64	120.1	29.48	19.97	135.24	26.67	77.79	61.25	28.65	16.03	162.14	109.66	69.52	32.59	24.63	89.51	10.88	29.48	42.71	71.5	45.21	26.28	18.43	52.82	31.22	20.41	25.35	18.56	17.0	21.16	18.7	18.03	15.11	14.14
KIF4A	12.0	11.82	4.78	10.39	58.71	9.78	8.65	110.43	7.69	116.78	17.0	119.26	10.0	13.62	75.11	16.63	63.0	24.11	69.52	15.45	20.86	4.54	10.88	66.18	10.0	17.38	5.96	19.97	13.03	7.46	92.05	22.26	8.19	53.19	10.79	78.89	54.72	26.28	11.38	130.6	99.43	72.01	25.54	17.38	73.54	3.06	19.53	36.53	60.82	18.84	15.8	8.78	38.4	32.59	15.56	8.99	2.46	6.67	2.73	3.38	5.92	4.5	4.13
KLK3	881742.8	1345768.59	1005860.33	731246.37	726195.27	1116072.03	1212874.47	425853.18	845824.19	197294.7	887875.81	186652.11	1163466.92	1116072.03	311742.51	925580.18	524287.0	881742.8	875652.15	1063212.58	800198.39	1055868.42	1255646.43	542775.98	1187913.85	1093103.58	1139523.1	1100706.72	906531.99	1327240.99	887875.81	1147449.11	925580.18	627822.72	1412675.8	509950.32	1238359.56	1327240.99	1196176.45	397335.0	606436.73	288856.81	1212874.47	1238359.56	265802.39	985160.01	1048575.0	1345768.59	336441.4	938500.81	1472666.19	1229805.58	1019901.63	696613.03	938500.81	894051.48	1019901.63	925580.18	834179.46	794671.01	985160.01	1063212.58	696613.03
MELK	18.29	16.03	7.63	15.45	112.77	7.88	13.62	127.0	15.68	100.13	21.78	159.9	18.16	20.41	129.69	19.25	61.68	31.67	64.8	18.43	27.05	3.82	22.59	76.71	17.9	17.9	7.57	30.12	22.92	8.13	141.02	31.45	11.73	52.82	13.12	87.03	37.59	18.84	15.34	164.42	156.59	82.87	35.76	23.08	171.45	7.22	20.86	38.95	96.01	29.48	16.63	6.57	46.84	76.17	25.35	14.67	2.18	8.78	4.21	4.7	5.73	4.62	5.54
MKI67	64.34	16.27	12.74	25.72	111.99	14.35	26.67	201.25	27.84	127.89	34.02	327.56	41.22	35.25	181.28	28.45	165.57	80.01	55.1	42.11	37.85	17.77	41.52	120.1	28.24	27.84	13.93	80.01	37.59	8.85	99.43	42.71	16.27	126.12	13.22	146.03	80.57	40.64	34.26	154.42	244.57	178.77	28.65	34.75	165.57	7.51	43.32	63.89	126.12	37.05	41.22	13.83	50.27	80.57	60.82	20.56	12.27	24.11	6.78	7.4	5.54	11.13	14.45
MLF1IP	102.97	108.9	49.56	56.68	483.38	100.83	40.07	363.56	44.57	193.01	96.01	293.07	93.35	74.58	540.19	91.41	108.9	102.25	368.65	77.79	111.99	30.78	126.12	176.29	30.56	69.52	82.87	138.1	119.26	32.59	500.46	77.25	57.08	318.57	70.01	285.03	175.07	110.43	71.0	780.44	629.35	417.77	112.77	92.7	314.17	32.59	148.09	301.33	211.31	115.16	136.19	102.25	183.82	180.02	87.03	86.43	47.84	27.05	20.56	59.13	41.81	73.54	57.89
MYBL2	39.5	17.51	15.0	34.02	77.79	18.56	13.72	450.94	22.92	148.09	45.85	339.14	21.01	35.0	423.61	28.45	74.06	34.26	157.68	13.32	54.72	13.52	49.21	147.06	24.28	32.36	27.64	70.01	24.46	15.68	94.01	78.89	28.86	214.27	24.99	107.38	35.25	16.75	27.25	165.57	124.37	348.71	57.08	52.82	353.59	12.36	39.5	40.36	69.52	127.0	20.86	34.02	59.13	77.25	52.45	7.75	3.23	8.78	7.22	5.54	9.2	13.93	10.39
NCAPG	11.55	14.35	6.52	12.45	94.67	9.56	8.92	59.55	9.27	85.82	21.78	148.09	10.96	15.8	79.45	16.39	51.35	20.56	47.5	13.93	23.76	6.78	16.03	52.82	12.93	10.39	8.38	23.76	13.93	10.08	202.66	17.13	9.78	53.57	11.91	63.45	45.53	13.52	13.83	120.1	112.77	57.08	22.75	17.51	71.5	6.21	14.24	37.85	34.75	24.63	15.45	9.06	34.51	27.64	18.84	10.88	1.95	7.46	6.52	5.19	5.63	7.0	5.73
NCAPH	17.51	16.51	16.51	21.16	55.1	28.86	13.93	129.69	18.03	109.66	36.79	183.82	36.27	15.11	92.7	18.7	35.5	289.02	90.77	26.28	40.36	3.92	50.27	72.52	17.38	14.67	11.91	22.75	26.28	23.76	96.68	26.47	24.46	57.08	15.68	80.57	52.45	22.75	23.76	143.01	41.22	72.52	49.21	24.28	95.34	5.59	13.62	38.67	70.51	43.02	20.71	14.67	40.07	39.22	19.11	20.86	3.23	9.06	5.06	11.64	11.13	7.63	10.39
NEIL3	0.33	4.54	0.36	1.71	10.16	0.33	0.99	22.26	1.3	17.51	3.69	40.36	1.33	3.29	41.22	5.06	12.27	2.81	10.24	2.61	2.61	0.74	2.56	16.88	1.33	4.35	1.0	1.66	3.82	0.73	11.38	3.47	3.89	24.11	1.0	24.81	9.06	2.32	1.99	28.86	41.52	15.11	5.11	4.43	18.97	0.34	2.01	5.96	10.08	5.54	3.69	0.71	4.74	4.54	4.9	1.81	0.64	1.64	0.0	0.64	1.28	0.62	0.66
NEK2	10.16	12.74	3.72	12.0	75.64	5.5	5.87	65.72	6.73	117.6	16.88	267.73	12.93	15.91	118.43	15.56	87.65	24.46	59.55	7.69	24.11	2.23	14.24	79.45	6.84	11.38	8.25	19.25	9.93	5.23	102.25	19.82	8.92	59.55	9.93	85.22	24.63	16.39	12.27	140.04	109.66	74.06	18.7	20.26	115.16	2.97	17.51	38.4	115.97	19.68	22.59	5.63	38.95	17.0	15.34	13.72	4.43	6.52	0.77	3.89	4.54	6.11	4.66
NUSAP1	55.1	57.08	19.97	51.71	232.94	57.49	43.32	371.22	41.22	532.74	78.34	723.08	51.71	87.65	384.34	44.57	262.2	111.21	217.27	47.5	114.36	51.71	37.32	277.2	45.53	60.82	29.06	92.7	65.72	30.34	417.77	77.25	45.85	169.07	45.21	358.54	171.45	56.28	59.55	660.68	480.04	287.01	82.29	64.34	329.84	21.94	49.91	149.12	221.86	109.66	79.45	32.13	176.29	105.15	70.51	52.08	20.56	29.06	17.0	29.06	24.46	31.9	29.91
OIP5	6.31	12.83	3.69	13.83	49.91	3.08	6.06	88.26	10.24	80.01	16.03	82.87	14.67	16.63	60.39	10.71	27.84	15.34	48.18	6.73	23.59	4.03	11.73	35.0	11.04	19.11	6.41	16.15	15.22	10.24	84.63	23.25	13.93	27.25	10.96	63.0	30.56	9.7	16.27	57.49	55.49	54.33	20.86	9.7	52.45	4.39	11.64	23.59	51.71	18.84	13.42	10.16	26.1	26.1	34.02	8.32	4.9	10.0	2.39	8.38	6.57	5.15	6.41
PBK	21.16	7.34	3.66	11.82	62.56	16.51	10.24	52.82	7.94	66.65	22.26	105.89	14.24	20.41	234.57	23.59	134.3	37.32	37.05	15.45	23.76	4.35	13.12	42.11	11.64	8.13	3.35	14.78	14.78	9.34	173.85	18.7	8.71	48.18	25.72	118.43	35.5	29.91	12.74	169.07	77.79	51.35	28.45	22.59	73.54	1.51	11.91	46.84	80.01	30.34	26.1	14.14	46.18	14.14	18.56	7.88	3.11	11.38	4.17	5.23	9.93	10.47	7.34
PLK1	30.34	48.52	13.62	30.78	166.73	24.63	36.27	258.57	29.7	182.55	57.49	258.57	34.75	43.63	287.01	60.39	158.79	136.19	151.22	31.9	71.5	12.93	34.26	162.14	20.56	46.5	27.84	66.65	44.25	17.13	208.38	67.59	30.34	176.29	38.4	149.12	102.25	48.52	37.59	232.94	170.25	198.47	63.0	36.27	199.85	20.86	36.01	102.25	237.86	77.25	51.35	25.91	106.63	71.0	48.87	19.39	25.72	23.08	7.46	23.76	20.11	26.47	57.89
POC1A	48.18	73.03	34.75	54.33	86.43	51.35	37.59	96.01	53.57	128.79	48.87	204.07	67.59	68.07	236.21	69.03	66.18	109.66	113.56	52.08	68.55	30.78	43.02	137.14	43.63	48.87	37.32	63.45	48.52	40.64	178.77	91.41	39.22	98.73	59.55	45.85	89.51	55.1	41.22	147.06	137.14	133.36	71.0	47.17	90.14	31.45	59.55	75.11	189.02	59.13	63.45	50.27	102.25	68.55	50.27	39.79	36.27	35.25	36.53	32.36	40.64	41.52	38.12
PTTG1	115.16	157.68	45.85	109.66	579.04	58.71	91.41	563.18	76.71	733.19	146.03	1059.11	176.29	108.14	633.73	119.26	395.18	221.86	339.14	77.25	172.65	84.04	111.99	633.73	85.82	82.29	52.45	138.1	107.38	63.45	819.3	273.37	87.65	660.68	129.69	381.68	285.03	112.77	118.43	748.61	902.89	612.11	241.19	115.16	813.63	47.17	90.77	285.03	511.0	173.85	134.3	98.73	348.71	127.89	129.69	63.45	45.85	105.15	55.49	33.3	74.06	140.04	141.02
RDM1	4.74	0.0	1.69	5.32	13.32	7.28	2.27	12.27	2.25	24.81	3.99	28.04	5.06	9.63	53.95	6.36	42.11	20.86	3.92	0.47	9.13	1.53	2.27	20.26	8.51	1.04	5.96	13.72	1.83	6.46	19.68	7.75	2.01	30.56	8.45	17.77	10.0	13.72	2.66	28.45	33.78	74.58	7.88	7.17	50.63	1.03	3.63	6.84	7.28	27.84	3.06	0.82	6.57	6.11	7.75	2.86	0.82	2.48	1.27	0.0	3.06	2.63	0.85
RNFT2	12.09	58.71	13.62	15.91	50.27	20.26	16.39	52.45	7.46	69.52	19.11	48.52	25.54	38.95	42.71	15.8	96.68	50.63	22.26	17.77	45.21	10.55	21.01	39.79	37.85	19.97	36.79	18.7	12.0	24.11	22.75	31.67	6.52	91.41	22.43	23.76	39.5	53.95	38.12	44.25	78.89	81.71	31.45	14.03	16.39	18.56	31.9	41.81	28.04	48.18	25.54	46.5	32.59	17.64	13.52	6.06	9.06	16.15	10.47	7.4	4.62	14.35	10.55
RRM2	53.57	41.52	26.86	34.51	202.66	35.5	17.77	463.65	32.82	532.74	103.69	642.59	44.89	69.52	348.71	91.41	121.79	54.33	246.28	47.84	81.71	25.35	73.54	329.84	41.81	66.65	24.63	136.19	84.04	24.46	373.81	92.7	32.13	181.28	40.36	262.2	171.45	71.0	48.18	651.58	476.71	255.0	130.6	96.68	387.02	15.22	27.05	130.6	90.77	60.39	52.45	32.13	85.22	104.42	68.55	31.67	7.46	18.43	6.06	15.91	8.25	40.93	32.36
SGOL1	8.58	6.26	3.76	5.92	27.44	10.55	3.69	54.33	3.69	52.08	9.85	89.51	5.63	6.41	72.01	6.67	26.67	8.92	28.65	7.88	6.94	3.76	3.14	34.02	6.94	6.11	3.72	9.93	9.2	2.66	27.44	9.93	4.74	47.17	8.45	24.81	13.62	6.73	9.34	60.39	40.36	26.47	11.64	10.96	30.34	5.68	8.45	15.34	43.63	10.96	6.57	3.89	18.84	10.96	8.06	9.85	3.47	3.96	2.1	3.82	4.86	4.06	3.96
SKA1	8.32	6.94	3.99	5.11	26.67	8.71	6.62	26.67	7.82	52.45	10.79	38.4	9.78	8.13	47.84	10.96	25.72	22.26	11.47	8.85	5.5	4.35	14.03	34.02	8.58	6.52	5.19	11.47	12.83	2.63	26.1	10.16	8.92	19.25	4.86	35.76	18.7	9.93	7.75	65.26	45.85	31.9	10.63	10.55	56.28	5.23	6.62	12.27	27.64	13.72	7.0	6.67	11.73	9.2	7.22	10.79	2.1	3.47	6.41	1.5	3.72	3.89	2.2
SKA3	7.63	24.11	6.36	8.85	151.22	11.55	9.56	55.49	8.65	63.0	16.88	100.13	16.15	14.03	69.52	12.55	51.71	25.35	51.35	17.13	22.75	5.92	17.25	33.78	12.55	11.82	15.91	14.24	17.25	11.47	87.03	15.91	7.28	55.49	9.93	44.57	27.84	17.51	13.32	171.45	99.43	43.02	20.86	17.9	68.07	10.71	20.26	32.13	32.82	22.75	19.53	8.45	29.27	19.25	24.28	13.42	5.82	6.41	1.64	6.16	3.38	8.19	4.78
SLC25A10	961.07	1286.18	896.64	1059.11	1388.16	1662.49	1295.13	2004.85	1407.55	1806.78	1030.12	2032.85	1407.55	1540.37	2520.38	1519.15	536.45	3716.2	1340.84	1286.18	1208.34	738.29	1467.37	753.83	2032.85	532.74	769.69	1639.59	1030.12	733.19	2796.65	2319.15	713.11	1143.1	1806.78	1111.82	1313.23	612.11	934.76	2739.08	1733.13	2319.15	2816.11	1268.46	3491.39	1936.53	1233.75	1059.11	3395.89	1437.15	1295.13	1088.92	1870.53	2796.65	1388.16	796.86	738.29	1044.52	802.41	647.07	540.19	1199.98	651.58
SPAG5	85.22	63.89	49.21	73.03	224.97	96.68	59.55	348.71	75.64	414.87	90.77	591.22	105.15	118.43	361.04	59.13	283.05	185.11	159.9	53.95	151.22	43.32	98.73	212.78	57.49	108.14	42.71	116.78	64.8	34.51	490.14	142.01	92.7	307.69	94.67	297.17	185.11	123.5	118.43	733.19	316.37	239.52	178.77	98.04	323.03	41.81	80.01	169.07	229.72	147.06	85.22	69.52	267.73	107.38	94.67	40.64	59.97	40.07	36.01	38.95	42.41	44.57	72.01
SPC24	50.98	62.12	16.03	20.86	126.12	30.56	21.01	158.79	23.76	155.5	54.33	208.38	33.54	29.48	154.42	33.78	127.89	100.13	54.72	45.21	55.1	19.25	38.4	98.04	11.13	21.16	28.45	49.56	20.11	9.27	260.38	49.56	27.05	144.01	40.64	101.54	73.54	47.5	65.72	253.23	141.02	148.09	97.36	32.82	147.06	12.55	25.17	71.0	91.41	69.52	33.3	23.59	89.51	21.47	46.5	13.72	5.73	18.43	12.09	9.2	13.12	21.32	19.82
SPC25	15.0	18.56	7.51	9.2	40.64	12.93	8.0	106.63	21.01	85.22	24.11	140.04	14.67	11.3	162.14	11.04	55.1	61.25	66.18	24.11	40.36	5.77	28.45	54.72	12.36	19.39	15.91	22.43	22.92	12.27	150.17	37.85	5.59	63.0	11.3	92.7	51.35	18.7	24.81	148.09	89.51	90.14	46.5	24.46	76.17	2.32	10.71	35.0	77.25	25.72	18.43	8.45	36.79	28.45	24.46	12.83	3.69	6.67	3.79	7.46	6.52	9.7	6.31
TACC3	80.57	125.24	52.82	88.88	444.72	55.49	72.01	454.09	61.68	435.55	153.34	642.59	110.43	136.19	444.72	75.11	283.05	201.25	208.38	105.15	212.78	47.84	108.9	234.57	57.08	98.04	64.8	170.25	73.54	54.72	1073.91	167.9	82.29	591.22	116.78	307.69	197.09	134.3	111.99	1259.69	376.41	327.56	173.85	85.82	575.03	38.12	59.13	208.38	265.87	152.28	101.54	68.07	220.32	111.99	134.3	44.25	37.59	58.71	47.17	38.67	59.13	37.85	105.89
TEX22	5.11	22.92	3.89	6.06	75.11	4.7	9.13	18.7	7.94	16.75	11.55	74.58	12.64	7.11	24.46	6.11	24.81	58.3	5.92	6.57	14.14	8.0	19.53	20.71	2.29	14.14	6.94	3.92	8.71	4.13	26.28	8.71	10.39	87.65	17.64	9.06	20.11	13.62	5.5	76.71	67.59	106.63	23.59	11.38	28.65	2.97	12.18	10.63	41.81	23.08	9.2	2.36	33.54	2.07	4.74	8.38	12.36	9.06	10.47	3.79	16.03	3.72	7.88
TONSL	52.45	61.25	38.4	57.89	88.88	55.49	40.36	93.35	50.98	128.79	73.54	139.07	60.39	62.56	120.94	83.45	58.3	92.7	124.37	59.55	69.52	46.18	54.72	155.5	44.25	64.34	52.82	72.01	19.82	29.91	293.07	62.56	60.39	175.07	71.5	80.57	77.25	35.76	54.33	204.07	157.68	159.9	75.11	65.72	211.31	44.57	75.64	55.49	186.4	104.42	53.57	39.5	108.9	115.97	77.25	43.02	57.89	49.91	33.54	48.18	39.79	32.82	50.63
TOP2A	70.01	66.18	29.27	77.79	348.71	56.68	41.22	536.45	64.34	769.69	111.21	836.53	86.43	82.87	559.28	73.54	521.76	120.94	251.48	54.33	182.55	48.18	104.42	249.73	57.49	74.58	32.13	107.38	105.15	61.68	651.58	161.02	52.45	389.72	98.73	563.18	191.67	115.16	50.98	764.36	780.44	371.22	121.79	85.82	571.05	41.81	44.89	269.6	318.57	178.77	108.9	63.89	353.59	138.1	85.82	44.89	19.82	54.33	8.45	23.42	43.02	35.5	30.12
TPX2	36.27	31.0	15.91	34.26	172.65	21.78	19.97	368.65	19.39	217.27	57.08	412.0	49.21	42.71	325.29	56.68	162.14	63.89	142.01	36.27	59.13	15.68	33.78	189.02	28.65	34.02	17.51	55.1	31.45	21.16	221.86	51.71	28.86	172.65	21.63	208.38	108.9	38.12	33.54	297.17	256.78	228.13	67.12	44.25	194.36	13.12	27.64	88.88	157.68	72.01	57.08	29.06	78.34	81.71	49.56	27.05	9.48	21.47	6.94	11.64	12.74	15.0	16.39
TROAP	43.32	27.25	9.63	23.42	155.5	23.59	20.71	343.89	32.13	387.02	77.79	429.54	31.67	35.76	283.05	26.67	94.01	91.41	85.82	21.01	71.5	10.16	25.54	166.73	11.73	18.7	13.52	31.45	22.26	9.93	255.0	44.57	21.47	185.11	39.22	138.1	94.01	26.47	31.45	183.82	185.11	228.13	64.34	52.45	167.9	8.51	46.18	73.54	275.28	69.52	27.44	23.25	155.5	49.21	37.32	10.71	7.94	20.71	10.88	10.88	20.56	7.82	14.24
UBE2C	82.87	76.17	28.86	64.34	483.38	41.22	73.54	1216.75	39.5	500.46	117.6	954.43	88.26	87.65	808.0	68.55	511.0	115.97	444.72	54.33	170.25	19.97	102.25	497.0	55.89	78.34	27.25	142.01	77.79	42.41	753.83	178.77	41.22	447.82	80.57	497.0	204.07	88.26	92.7	947.83	688.78	397.93	195.72	88.88	708.18	40.64	95.34	332.14	409.15	141.02	94.67	97.36	293.07	154.42	127.0	37.85	10.88	57.89	21.47	21.78	20.86	29.27	28.65
UBE2S	866.07	1477.58	743.43	708.18	1447.15	769.69	947.83	2018.8	748.61	1487.87	872.1	2090.03	1378.57	890.44	1427.22	813.63	1304.15	1331.57	1304.15	624.99	947.83	651.58	1322.37	1936.53	934.76	1119.56	775.05	1350.18	780.44	612.11	2520.38	1883.54	656.11	1259.69	1340.84	819.3	1529.73	1407.55	995.0	2319.15	1388.16	1119.56	1313.23	764.36	2367.9	679.29	1037.29	915.51	1008.9	1529.73	928.3	1175.27	1191.69	1183.45	961.07	460.44	629.35	848.22	674.59	490.14	607.87	591.22	693.58
UBE2T	73.03	110.43	73.03	60.39	169.07	87.03	62.56	429.54	40.93	406.31	71.5	620.67	94.01	63.89	258.57	127.89	334.46	131.51	201.25	91.41	127.0	48.18	84.63	162.14	92.05	73.03	81.14	125.24	98.73	101.54	555.41	119.26	49.21	251.48	153.34	236.21	169.07	90.77	91.41	384.34	289.02	209.84	149.12	155.5	181.28	108.14	72.52	209.84	91.41	140.04	115.97	104.42	101.54	120.94	116.78	47.84	65.72	55.49	44.25	52.45	66.18	95.34	68.07
XRCC2	5.19	4.31	10.71	8.13	31.9	8.99	9.2	23.42	6.06	38.95	11.13	57.49	12.27	13.52	18.03	8.92	12.93	11.91	22.1	9.41	8.38	6.41	6.57	26.1	7.82	6.62	6.78	7.22	1.43	8.0	19.97	4.46	11.04	33.06	6.46	18.03	16.39	8.25	7.22	63.0	75.64	44.57	9.06	8.92	44.89	4.66	12.27	15.22	24.63	17.0	7.75	6.73	23.93	11.13	10.88	16.39	5.87	7.11	5.45	8.45	7.28	10.55	7.11
YPEL1	68.55	127.0	59.55	88.88	176.29	73.54	44.57	92.7	70.51	171.45	53.57	194.36	111.99	127.0	180.02	85.82	138.1	186.4	72.52	74.58	81.14	28.45	144.01	117.6	92.7	55.89	100.83	130.6	92.7	93.35	94.67	103.69	30.56	171.45	95.34	154.42	85.82	38.95	67.12	299.25	239.52	178.77	105.15	109.66	301.33	77.25	161.02	20.71	104.42	119.26	100.83	42.11	136.19	127.89	81.71	38.12	30.34	20.11	30.12	53.19	45.53	55.49	12.93
ZNF285	77.25	67.12	48.18	57.49	111.21	76.17	54.33	94.01	68.07	104.42	78.89	146.03	62.12	61.25	105.89	74.06	82.87	96.68	75.64	84.04	43.32	55.89	47.5	74.58	82.29	79.45	97.36	44.89	72.52	81.71	69.52	50.98	53.95	115.97	81.14	102.97	59.97	48.18	56.68	156.59	178.77	108.14	87.03	87.03	92.05	72.52	86.43	63.45	105.15	56.68	65.72	56.28	104.42	77.25	55.1	90.77	78.34	47.17	31.9	80.01	64.34	60.39	47.84
ZNF695	4.5	6.36	5.77	6.36	31.45	10.71	10.47	45.53	8.19	39.79	9.7	46.18	4.46	9.56	21.01	9.2	13.32	55.1	12.18	6.11	6.41	4.54	9.06	15.11	10.96	8.13	6.06	10.79	4.82	7.22	23.59	7.88	2.86	23.08	5.06	27.84	7.57	11.82	5.19	40.93	23.93	38.12	26.1	6.62	31.45	2.1	5.28	10.79	28.65	21.78	11.04	11.04	13.72	6.84	13.93	7.51	0.28	9.56	3.59	5.23	5.63	7.69	1.31
