	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.LL.A440.01A.11R.A24H.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	TCGA.86.A4P8.01A.11R.A24X.07	GTEX.13NZ9.0926.SM.5KM12	GTEX.13N11.0326.SM.5LUA3	TCGA.34.8454.11A.01R.2326.07	GTEX.13NZ9.1126.SM.5MR37
SIX5	470.14	470.14	551.56	287.01	152.28	161.02	244.57	77.79	115.97	71.0	212.78	208.38	312.0	226.54	128.79	262.2	126.12	127.0	96.01	237.86	111.21	264.03	103.69	229.72	173.85	348.71	432.53	429.54	351.14	878.17
SLC35G5	3.2	3.2	2.76	1.11	0.0	0.65	0.0	0.0	0.0	0.0	0.85	0.07	0.84	0.78	0.0	1.22	0.0	0.0	0.0	1.71	0.0	1.0	0.51	1.03	0.6	11.82	4.7	4.58	2.53	5.02
STXBP2	1583.71	1583.71	2032.85	1733.13	497.0	1015.93	595.34	555.41	361.04	389.72	1066.48	1001.93	2303.12	1151.06	551.56	1104.13	819.3	555.41	813.63	2682.69	460.44	954.43	423.61	1015.93	1015.93	3467.27	4607.24	3081.75	2224.63	2451.44
SUGP2	743.43	743.43	1051.79	334.46	152.28	215.77	206.94	172.65	171.45	170.25	171.45	283.05	358.54	325.29	264.03	346.29	262.2	253.23	183.82	384.34	253.23	262.2	182.55	403.5	228.13	1322.37	785.88	967.76	769.69	2193.99
TBC1D10B	967.76	967.76	921.88	392.44	175.07	194.36	194.36	139.07	80.01	143.01	172.65	181.28	379.04	217.27	124.37	241.19	144.01	153.34	128.79	426.57	87.65	218.79	124.37	291.04	241.19	825.0	954.43	909.17	693.58	934.76
TBC1D3G	45.85	45.85	214.27	50.63	6.26	13.03	14.89	6.11	3.59	11.82	14.56	17.64	22.75	39.22	9.78	49.91	21.47	1.87	7.57	34.02	2.58	23.59	13.52	21.16	49.56	307.69	97.36	53.19	45.21	154.42
TBCB	2400.97	2400.97	2835.7	1991.0	1127.35	1594.73	1304.15	915.51	753.83	1369.04	1183.45	1427.22	2104.58	1721.16	842.36	1437.15	947.83	1378.57	1159.07	2004.85	1096.5	1417.35	638.15	1304.15	1594.73	2434.5	3955.48	3690.52	2682.69	2739.08
TCTN1	1199.98	1199.98	854.13	414.87	166.73	343.89	323.03	125.24	134.3	244.57	343.89	93.35	381.68	279.14	138.1	403.5	186.4	239.52	99.43	571.05	126.12	295.11	181.28	325.29	218.79	603.67	414.87	748.61	579.04	1037.29
TDRD10	15.91	15.91	138.1	55.49	3.17	18.16	11.73	11.82	3.47	3.03	31.67	5.54	73.03	45.85	14.67	51.71	12.0	38.95	3.11	73.54	10.16	92.05	5.5	15.45	33.78	255.0	941.27	3349.13	190.34	400.71
TFPT	842.36	842.36	769.69	507.46	133.36	249.73	182.55	158.79	181.28	209.84	285.03	236.21	397.93	346.29	212.78	258.57	152.28	273.37	169.07	400.71	157.68	246.28	149.12	242.88	318.57	559.28	486.75	688.78	476.71	547.75
THAP3	312.0	312.0	447.82	256.78	182.55	195.72	144.01	146.03	92.05	148.09	206.94	142.01	262.2	234.57	209.84	262.2	189.02	166.73	162.14	371.22	120.1	231.32	237.86	283.05	289.02	532.74	733.19	497.0	438.59	836.53
THOC1	536.45	536.45	693.58	356.05	157.68	201.25	191.67	154.42	161.02	204.07	195.72	215.77	295.11	267.73	236.21	264.03	167.9	159.9	131.51	389.72	171.45	275.28	100.13	314.17	178.77	921.88	656.11	728.11	384.34	872.1
TIAM2	183.82	183.82	115.16	82.29	22.75	42.11	24.28	11.47	23.76	33.54	44.25	20.71	29.7	50.63	13.42	44.89	17.13	30.78	13.42	108.14	22.59	23.42	10.24	63.45	39.79	147.06	253.23	95.34	145.02	387.02
TMEM91	339.14	339.14	669.92	273.37	35.5	193.01	77.79	49.91	18.29	36.53	85.22	20.71	169.07	95.34	31.67	138.1	66.65	120.94	55.49	202.66	82.87	105.15	127.89	229.72	87.03	616.37	921.88	1487.87	559.28	511.0
TRA2A	1457.23	1457.23	2351.53	941.27	460.44	480.04	454.09	412.0	435.55	420.68	460.44	612.11	1104.13	819.3	511.0	551.56	518.15	454.09	361.04	1417.35	500.46	753.83	507.46	785.88	466.88	2255.7	2739.08	3820.7	1721.16	2855.44
TRAF1	151.22	151.22	190.34	81.14	9.2	37.05	11.04	20.26	12.83	7.94	26.28	8.19	48.18	48.52	14.78	21.63	20.56	46.18	10.88	64.34	24.11	37.32	35.25	37.85	44.89	329.84	208.38	379.04	253.23	567.1
TRAFD1	866.07	866.07	698.41	486.75	187.71	275.28	285.03	397.93	141.02	351.14	371.22	237.86	518.15	329.84	133.36	275.28	197.09	255.0	163.28	540.19	114.36	232.94	73.03	353.59	348.71	728.11	819.3	674.59	759.08	791.35
TRMT10B	169.07	169.07	255.0	72.52	36.79	52.08	42.41	38.4	26.47	39.22	64.34	36.27	61.25	99.43	42.71	64.8	43.63	36.01	36.27	74.06	46.5	88.88	40.36	69.52	60.82	176.29	303.44	447.82	195.72	414.87
TSEN54	769.69	769.69	981.29	400.71	244.57	285.03	323.03	201.25	178.77	197.09	181.28	406.31	438.59	343.89	178.77	358.54	194.36	316.37	154.42	500.46	178.77	258.57	166.73	423.61	438.59	995.0	1233.75	884.29	616.37	1191.69
UBN2	52.45	52.45	117.6	46.84	18.29	19.25	30.56	11.73	23.42	31.0	31.9	23.25	26.28	38.12	21.01	26.28	25.54	31.9	15.56	68.07	25.35	45.53	14.45	34.26	28.24	114.36	74.58	111.21	62.56	120.94
UPF1	941.27	941.27	1066.48	616.37	521.76	579.04	444.72	473.41	368.65	470.14	551.56	470.14	708.18	708.18	543.96	642.59	435.55	525.39	426.57	902.89	507.46	587.13	567.1	743.43	656.11	1135.2	1605.83	1167.14	1044.52	1388.16
USP21	830.75	830.75	698.41	264.03	73.54	167.9	157.68	82.29	90.14	114.36	142.01	90.77	220.32	234.57	115.97	234.57	110.43	155.5	73.03	239.52	82.87	181.28	53.57	218.79	249.73	684.02	866.07	693.58	665.29	1073.91
VIPR2	19.82	19.82	57.49	9.41	0.08	2.25	2.78	1.35	0.27	2.61	6.06	1.0	1.23	2.23	0.23	9.27	0.0	0.33	0.91	13.52	2.73	2.46	2.56	7.11	3.59	11.55	19.25	3.32	19.97	8.32
WDR52	93.35	93.35	336.79	27.64	7.51	33.3	22.26	8.45	20.11	13.22	17.38	21.63	25.72	50.98	24.81	48.87	25.17	33.3	10.24	57.89	23.93	58.71	4.13	35.5	25.35	341.51	208.38	351.14	129.69	281.09
WDR6	1447.15	1447.15	2915.45	1447.15	363.56	656.11	743.43	612.11	540.19	665.29	748.61	967.76	1250.98	954.43	555.41	1286.18	656.11	447.82	493.56	974.5	493.56	836.53	271.48	1331.57	1111.82	3124.78	2777.33	3665.02	1674.06	4450.27
ZBTB1	514.56	514.56	532.74	332.14	102.25	172.65	153.34	133.36	185.11	198.47	180.02	82.87	273.37	215.77	118.43	194.36	181.28	172.65	91.41	246.28	158.79	169.07	147.06	253.23	305.55	616.37	759.08	842.36	563.18	769.69
ZC3H7A	525.39	525.39	669.92	429.54	275.28	363.56	285.03	273.37	341.51	414.87	281.09	384.34	511.0	376.41	267.73	301.33	193.01	299.25	224.97	633.73	211.31	450.94	205.5	395.18	381.68	1044.52	884.29	934.76	988.12	921.88
ZNF251	429.54	429.54	457.25	105.15	26.67	51.71	60.39	33.54	27.84	34.02	48.18	33.78	48.87	70.51	56.28	50.63	59.13	59.55	54.33	59.55	49.21	88.88	27.84	87.03	63.89	373.81	163.28	612.11	258.57	423.61
ZNF324	121.79	121.79	157.68	61.68	30.34	45.53	49.56	43.02	45.53	37.05	39.79	47.17	83.45	51.71	49.56	38.67	37.05	47.5	37.85	43.63	36.01	56.68	14.67	53.95	50.63	87.03	85.22	132.44	84.04	121.79
ZNF341	82.29	82.29	108.14	37.32	29.48	27.05	22.1	13.32	18.7	7.94	27.44	10.24	37.05	33.54	17.64	39.22	23.93	27.64	12.09	66.18	23.08	25.17	21.63	46.18	25.54	111.99	162.14	109.66	75.11	109.66
ZNF384	669.92	669.92	1127.35	460.44	204.07	351.14	264.03	181.28	260.38	178.77	343.89	307.69	587.13	583.07	303.44	417.77	289.02	318.57	231.32	503.95	253.23	351.14	57.49	363.56	297.17	723.08	1044.52	1037.29	780.44	1295.13
ZNF514	161.02	161.02	299.25	163.28	37.05	45.85	52.08	55.1	41.52	49.21	50.98	23.08	110.43	158.79	35.25	79.45	70.51	46.84	35.0	97.36	51.35	49.91	61.25	100.83	53.95	389.72	242.88	361.04	199.85	358.54
ZNF587	223.41	223.41	318.57	154.42	13.03	73.54	33.78	22.1	33.06	25.91	51.71	39.5	66.18	111.99	39.5	52.45	45.85	63.45	24.81	94.01	31.22	81.71	19.68	36.01	48.87	260.38	231.32	134.3	112.77	285.03
ZNF692	941.27	941.27	1191.69	239.52	120.94	148.09	149.12	111.21	93.35	76.71	143.01	185.11	363.56	307.69	152.28	289.02	178.77	169.07	51.35	457.25	111.21	287.01	110.43	267.73	301.33	1561.89	842.36	791.35	656.11	1378.57
ZNF84	289.02	289.02	325.29	152.28	63.89	90.14	69.52	63.0	60.82	69.52	72.52	69.52	113.56	127.89	90.14	107.38	76.71	63.0	63.89	128.79	50.27	94.67	65.72	115.97	71.5	327.56	291.04	500.46	267.73	460.44
ZNF862	111.99	111.99	373.81	123.5	16.39	61.68	38.12	28.24	21.94	10.31	75.11	19.97	84.63	85.82	33.54	72.52	51.71	40.07	24.99	59.13	41.81	67.59	18.7	75.64	52.45	285.03	373.81	476.71	253.23	583.07
ZNF879	48.18	48.18	50.27	33.78	5.23	7.06	39.5	8.58	16.51	5.41	38.67	2.86	14.45	23.25	23.25	18.56	3.96	19.11	1.5	40.64	5.32	9.56	1.23	22.1	12.74	67.59	91.41	74.58	42.11	113.56
