	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.X8HC.1326.SM.46MWB	GTEX.ZF2S.1226.SM.4WWAX	GTEX.147F3.0826.SM.5NQA7	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7097.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.AK.3454.01A.02R.1277.07	TCGA.38.4625.01A.01R.1206.07	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13	GTEX.13OVJ.2326.SM.5IJGA
RAB25	87681.42	27174.14	5147.73	5872.48	40062.48	140478.49	105.15	102.25	13681.08	12076.21	4419.52	77.25	1745.2	2976.74	860.08	0.72	0.0	7382.04	31650.8	6037.61	69271.73	26986.43	5479.15	915.51	38966.94	44145.15	42641.37	4419.52	80.01
RAB3D	1651.0	915.51	363.56	480.04	967.76	1159.07	94.67	244.57	967.76	1066.48	435.55	82.29	217.27	246.28	309.83	262.2	336.79	500.46	785.88	1037.29	1519.15	457.25	325.29	312.0	825.0	878.17	1242.34	674.59	80.57
RAET1G	17681.08	2240.11	525.39	1417.35	4607.24	3060.45	16.27	26.86	329.84	339.14	180.02	11.47	35.25	97.36	8.51	29.48	0.0	269.6	2240.11	420.68	3690.52	1437.15	688.78	248.0	2997.45	2915.45	3060.45	9.2	18.84
RAET1L	49322.93	13033.07	2609.3	5183.54	22535.88	71219.26	0.0	0.0	1037.29	967.76	178.77	0.0	38.4	460.44	5.11	4.1	0.0	299.25	3419.52	583.07	4769.75	3639.7	295.11	220.32	2997.45	3018.3	4836.35	0.0	0.0
RAPGEFL1	47974.16	12676.65	3794.3	6699.25	14163.58	23330.64	241.19	454.09	4802.93	4836.35	1639.59	15.91	63.89	896.64	27.05	48.52	0.0	2502.97	6935.54	1151.06	15824.9	7911.95	2384.37	466.88	12764.83	10014.87	12943.04	131.51	57.89
REEP4	7433.4	3168.41	1268.46	3303.0	3820.7	10014.87	205.5	373.81	1639.59	1819.35	1242.34	94.67	262.2	620.67	121.79	176.29	0.0	1378.57	2351.53	836.53	4607.24	2417.67	1540.37	947.83	3742.05	2758.13	3901.01	166.73	204.07
RNF169	155.5	199.85	136.19	251.48	432.53	320.8	96.01	101.54	346.29	154.42	67.12	87.65	65.26	158.79	86.43	134.3	0.0	93.35	273.37	134.3	363.56	218.79	126.12	104.42	275.28	435.55	397.93	47.84	98.04
RNH1	8598.28	8134.41	4268.94	5633.22	6381.92	9279.58	3491.39	4481.23	5219.6	4512.4	4937.99	3443.31	3742.05	5076.84	4010.71	2537.92	0.0	5517.27	10440.2	4607.24	15075.35	6652.97	5791.62	6607.01	6607.01	8421.31	9540.5	902.89	4607.24
RP1-130H16.18	237.86	248.0	63.45	127.0	153.34	236.21	16.63	15.8	91.41	139.07	37.32	13.12	6.62	25.54	6.16	20.41	0.0	42.11	86.43	33.3	153.34	88.88	31.45	43.63	96.01	124.37	96.68	4.43	35.5
RPS6KB2	1991.0	3103.19	1769.57	2502.97	3665.02	4419.52	1143.1	1242.34	1447.15	1769.57	1242.34	698.41	981.29	780.44	941.27	595.34	1359.57	2104.58	1508.65	2209.26	5751.61	1857.6	1268.46	915.51	2720.15	2915.45	5041.77	476.71	947.83
S100A10	102125.66	86474.27	74760.09	69271.73	107948.72	163620.18	10368.08	9945.68	48982.22	35363.15	23009.42	6516.03	13306.94	25354.3	6037.61	27363.16	0.0	17681.08	78476.96	22072.07	104996.83	61999.83	23986.58	26248.46	74243.68	56657.31	86474.27	7081.29	7130.55
SH3GL1	5913.33	7537.18	3235.01	4671.57	11745.96	11584.24	1388.16	1936.53	3564.78	2976.74	1199.98	633.73	1001.93	1991.0	638.15	1216.75	1870.53	2485.67	4639.29	2119.22	7081.29	4575.41	2434.5	2075.59	5711.87	5183.54	5831.91	525.39	2319.15
SLC16A13	571.05	193.01	92.7	114.36	256.78	708.18	6.36	10.31	119.26	119.26	71.5	19.97	73.54	59.55	39.79	127.89	0.0	41.52	159.9	50.98	126.12	293.07	131.51	54.33	224.97	414.87	156.59	111.99	25.17
SLC27A4	1427.22	2335.28	1909.85	1096.5	1923.14	3515.68	251.48	384.34	878.17	1059.11	688.78	226.54	303.44	575.03	236.21	177.53	0.0	878.17	2720.15	967.76	4836.35	2224.63	1437.15	981.29	2090.03	3190.46	3847.29	435.55	149.12
SLC35F6	947.83	1369.04	679.29	698.41	909.17	921.88	435.55	616.37	551.56	708.18	507.46	384.34	447.82	555.41	412.0	808.0	633.73	473.41	1044.52	497.0	1023.0	884.29	503.95	514.56	934.76	1088.92	884.29	476.71	371.22
SLC6A9	941.27	1781.89	540.19	866.07	1037.29	2119.22	435.55	312.0	361.04	595.34	195.72	43.02	96.68	147.06	48.18	64.8	543.96	96.68	860.08	287.01	2032.85	775.05	320.8	214.27	872.1	1457.23	1529.73	20.26	142.01
SLURP1	66912.05	391864.76	39785.74	363097.14	687022.54	794671.01	186.4	143.01	9409.14	9215.48	4903.87	10.0	15.8	6250.56	67.59	0.0	0.0	8191.0	414208.18	34876.28	958220.73	223512.12	84109.6	3103.19	116501.39	998912.34	440870.9	0.0	0.0
SMPD2	466.88	688.78	603.67	329.84	884.29	1001.93	146.03	178.77	511.0	607.87	409.15	78.34	258.57	256.78	139.07	169.07	0.0	264.03	723.08	612.11	1001.93	813.63	511.0	258.57	813.63	995.0	1044.52	155.5	201.25
SP6	928.3	246.28	82.29	139.07	363.56	1233.75	9.7	5.11	81.71	84.63	31.22	16.15	11.73	24.81	4.62	81.71	0.0	63.45	346.29	57.08	309.83	93.35	127.89	30.12	182.55	381.68	332.14	4.35	4.94
SPTBN2	2287.2	7081.29	1340.84	4937.99	8963.45	15180.22	127.0	108.14	1832.01	1757.34	507.46	34.75	316.37	629.35	191.67	7.4	0.0	1167.14	3257.52	1407.55	16496.96	4512.4	2502.97	205.5	6840.04	6792.79	8778.97	121.79	19.97
STAP2	12160.22	4066.71	10368.08	1135.2	4328.55	17317.18	115.97	162.14	2835.7	2400.97	1857.6	127.0	1111.82	872.1	493.56	1697.45	1340.84	1909.85	3018.3	1857.6	7280.4	3901.01	3589.58	642.59	5555.65	2004.85	4802.93	454.09	379.04
SULT2B1	103551.29	44761.41	6652.97	18052.61	83528.61	336441.4	35.0	25.17	3168.41	4298.64	1467.37	6.84	67.12	1781.89	59.97	1.38	0.0	4010.71	46662.28	4671.57	68318.04	42641.37	8718.32	884.29	68318.04	48643.87	90773.53	15.8	2.51
TCF20	878.17	607.87	420.68	529.06	503.95	493.56	149.12	116.78	511.0	497.0	301.33	114.36	153.34	255.0	138.1	256.78	351.14	258.57	435.55	295.11	928.3	529.06	507.46	256.78	769.69	460.44	559.28	190.34	232.94
TCTEX1D2	1457.23	497.0	507.46	616.37	559.28	389.72	102.97	138.1	409.15	493.56	320.8	57.49	258.57	154.42	128.79	121.79	0.0	384.34	802.41	334.46	1208.34	514.56	713.11	409.15	890.44	454.09	928.3	201.25	223.41
TINF2	2758.13	1487.87	1175.27	1651.0	1417.35	1733.13	1498.22	1111.82	1407.55	1508.65	1350.18	1023.0	1397.83	1143.1	842.36	1044.52	0.0	693.58	1709.26	941.27	2104.58	1225.22	1322.37	1001.93	2976.74	2133.97	1757.34	1059.11	813.63
TMEM134	3928.15	4704.07	1540.37	4671.57	4181.07	4836.35	703.28	1594.73	4481.23	3349.13	3146.52	2075.59	2400.97	2047.0	1857.6	1175.27	0.0	4328.55	4836.35	3614.55	7180.15	4210.15	3614.55	2209.26	7966.99	5672.41	7382.04	420.68	1991.0
TMEM79	17317.18	16157.44	1806.78	8191.0	27174.14	29531.18	53.19	83.45	2796.65	2645.74	1242.34	43.02	121.79	884.29	81.14	82.29	0.0	1508.65	9673.69	1617.0	22535.88	8538.88	1697.45	607.87	15392.14	12076.21	14867.79	53.95	14.45
TRAFD1	2271.4	1111.82	830.75	1286.18	1277.29	1167.14	1498.22	703.28	738.29	733.19	633.73	348.71	500.46	642.59	371.22	414.87	0.0	599.49	1030.12	521.76	2061.24	1208.34	934.76	587.13	2645.74	1175.27	1639.59	327.56	387.02
TRIM29	1212874.47	482442.34	27363.16	220434.95	524287.0	2375828.71	187.71	186.4	19618.49	23330.64	16960.78	162.14	4450.27	8479.89	1388.16	3.14	0.0	19618.49	75280.1	17078.76	147462.67	82951.62	30151.71	5183.54	107203.06	110983.6	129266.49	0.0	117.6
TTLL12	7537.18	5076.84	2163.77	3690.52	7081.29	7130.55	262.2	368.65	2976.74	2816.11	1250.98	258.57	309.83	848.22	307.69	406.31	1832.01	1572.76	4419.52	1191.69	6561.36	4152.18	1407.55	860.08	6652.97	4607.24	4802.93	303.44	483.38
TXNDC17	20451.65	11745.96	4972.34	8022.41	18052.61	21768.19	1127.35	1794.29	11267.44	9409.14	7280.4	1216.75	3515.68	2895.31	1529.73	2573.36	0.0	4769.75	19482.97	6037.61	21320.18	14461.21	5183.54	3103.19	29327.18	19482.97	24660.96	2609.3	947.83
TYRO3	389.72	684.02	283.05	287.01	813.63	1277.29	96.01	98.73	493.56	392.44	194.36	75.11	105.89	209.84	49.56	99.43	0.0	194.36	878.17	190.34	1628.26	796.86	327.56	607.87	660.68	928.3	1037.29	90.14	633.73
TYSND1	454.09	463.65	279.14	346.29	454.09	647.07	62.56	172.65	341.51	409.15	325.29	98.73	231.32	178.77	135.24	182.55	314.17	389.72	204.07	242.88	620.67	447.82	525.39	171.45	435.55	412.0	463.65	190.34	175.07
UBN1	2255.7	836.53	629.35	974.5	1594.73	1313.23	358.54	316.37	679.29	775.05	438.59	460.44	299.25	529.06	490.14	291.04	0.0	547.75	532.74	620.67	1331.57	679.29	733.19	457.25	1757.34	1529.73	1508.65	232.94	283.05
USP46	703.28	318.57	150.17	348.71	591.22	473.41	82.29	98.73	389.72	329.84	166.73	221.86	161.02	283.05	244.57	123.5	0.0	185.11	409.15	223.41	395.18	273.37	226.54	143.01	595.34	587.13	438.59	82.29	83.45
VDR	616.37	392.44	480.04	563.18	366.09	872.1	46.18	89.51	400.71	283.05	186.4	30.78	110.43	107.38	62.12	185.11	129.69	264.03	518.15	187.71	651.58	497.0	450.94	299.25	599.49	476.71	616.37	29.7	40.93
VPS25	2609.3	2520.38	2209.26	2119.22	2502.97	3540.14	764.36	1015.93	2104.58	2163.77	1883.54	884.29	1477.58	1225.22	902.89	1331.57	0.0	1447.15	3146.52	2104.58	3060.45	2520.38	1745.2	1529.73	2956.17	3491.39	2255.7	2224.63	679.29
VPS4B	4769.75	2485.67	1183.45	2720.15	4152.18	3190.46	379.04	381.68	2271.4	1936.53	503.95	353.59	444.72	1143.1	409.15	603.67	0.0	1059.11	3564.78	1175.27	4736.79	3060.45	1151.06	642.59	5183.54	3081.75	4298.64	348.71	234.57
WIBG	2090.03	2434.5	1304.15	1781.89	3212.66	3372.43	521.76	490.14	1508.65	1437.15	1175.27	543.96	866.07	866.07	591.22	587.13	825.0	1313.23	2417.67	1561.89	2664.15	1909.85	1183.45	1001.93	2645.74	2351.53	3060.45	583.07	647.07
ZBTB7B	4181.07	4066.71	2609.3	2148.82	3928.15	4152.18	507.46	688.78	2240.11	2384.37	1208.34	339.14	497.0	928.3	507.46	1111.82	0.0	1628.26	2032.85	1359.57	5255.91	2119.22	1457.23	753.83	4152.18	3955.48	4358.66	665.29	195.72
ZDHHC13	3847.29	1208.34	389.72	1159.07	3060.45	3564.78	129.69	229.72	1023.0	830.75	279.14	75.11	208.38	283.05	82.29	221.86	0.0	480.04	1572.76	497.0	2018.8	1081.39	941.27	299.25	2193.99	1594.73	2520.38	187.71	173.85
ZDHHC5	2335.28	2758.13	1159.07	2758.13	2895.31	3443.31	693.58	665.29	1991.0	1662.49	1208.34	764.36	708.18	1111.82	733.19	802.41	842.36	1378.57	2591.27	1397.83	3280.18	2451.44	1369.04	981.29	3257.52	2796.65	2720.15	713.11	395.18
ZNF750	341137.96	11827.67	1733.13	7280.4	12244.81	25179.16	4.13	11.3	2335.28	1733.13	1950.0	11.82	135.24	738.29	172.65	3.79	0.0	1674.06	9673.69	1883.54	25354.3	8078.22	2400.97	172.65	20451.65	10512.82	10512.82	0.34	3.89
