	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
CCDC36	38.95	55.89	2.73	4.13	13.62	42.41	61.25	9.56	45.53	32.13	27.84	35.25	47.5	29.27	14.14	48.52	16.03	31.67	18.03	28.86	20.71	11.47	2.71	0.78	1.75	6.01	3.41	0.42	3.32	7.63	3.82	2.89	3.82	0.4	0.0	1.23	5.73	1.23	0.0	5.15	0.41	1.64	1.45	1.93	0.93	4.82	0.0	1.97	12.36	0.0	3.79	3.56	7.0	1.41	0.0	0.84	0.0	1.03	1.19	4.21	0.0	0.93	0.0	0.0	1.62	0.93	0.39	1.46	0.0	2.73	10.96	50.63	35.76	48.87	31.9	8.78	11.13	7.17	31.9	20.41	11.47	4.13	89.51	5.87	3.47	3.86	5.32	9.41	4.46	9.27	11.47	8.0	14.45	4.9	29.27
CD300LG	3690.52	10959.3	8.25	41.52	22.26	165.57	98.73	121.79	49.56	65.26	31.67	28.86	28.86	51.35	9.06	43.02	33.06	96.01	61.68	24.46	111.99	57.89	329.84	10.47	3.86	56.28	44.89	7.22	38.95	0.0	30.12	70.01	6.11	23.08	6.89	4.78	4.86	21.63	3.53	21.32	4.31	5.59	14.56	44.89	59.97	69.52	6.11	9.63	2.97	87.03	12.74	14.35	74.58	149.12	0.39	4.06	0.0	3.5	9.93	23.59	1.28	7.63	42.11	0.0	5.54	3.59	3.99	0.96	1.16	9.78	2.86	423.61	281.09	18.84	8.45	0.0	7.46	2.71	26.1	18.84	10.08	0.0	30.12	96.01	12.27	24.11	17.13	30.12	34.75	0.47	59.13	71.5	309.83	76.71	13.12
CDK17	723.08	759.08	158.79	211.31	228.13	460.44	860.08	1369.04	514.56	603.67	540.19	647.07	381.68	713.11	1167.14	872.1	1001.93	802.41	738.29	567.1	708.18	642.59	186.4	139.07	149.12	241.19	130.6	127.89	105.89	162.14	171.45	237.86	201.25	170.25	164.42	289.02	142.01	275.28	137.14	249.73	154.42	117.6	138.1	157.68	323.03	132.44	616.37	181.28	543.96	39.79	125.24	234.57	301.33	312.0	121.79	143.01	109.66	95.34	113.56	169.07	114.36	131.51	132.44	92.7	92.7	161.02	93.35	164.42	218.79	169.07	295.11	866.07	423.61	595.34	607.87	246.28	384.34	303.44	872.1	457.25	532.74	249.73	563.18	169.07	105.89	215.77	490.14	395.18	198.47	253.23	209.84	341.51	297.17	239.52	371.22
CDKN1B	1628.26	2209.26	665.29	698.41	988.12	647.07	1073.91	866.07	1096.5	921.88	748.61	854.13	703.28	1030.12	353.59	1322.37	995.0	808.0	1304.15	1023.0	723.08	1388.16	503.95	503.95	529.06	470.14	260.38	417.77	176.29	387.02	543.96	454.09	400.71	371.22	366.09	291.04	329.84	1191.69	435.55	420.68	316.37	221.86	490.14	497.0	1216.75	909.17	607.87	279.14	713.11	215.77	318.57	423.61	860.08	961.07	348.71	371.22	486.75	185.11	246.28	490.14	318.57	297.17	148.09	312.0	423.61	497.0	417.77	447.82	775.05	688.78	620.67	2255.7	1096.5	878.17	954.43	665.29	860.08	759.08	981.29	941.27	1104.13	733.19	2271.4	813.63	432.53	543.96	759.08	1216.75	830.75	748.61	323.03	642.59	638.15	567.1	1397.83
CEP85L	118.43	96.68	22.75	40.07	36.27	75.11	111.21	150.17	107.38	124.37	104.42	132.44	87.65	135.24	96.68	122.64	126.12	125.24	110.43	165.57	73.54	86.43	11.64	7.22	9.93	14.78	9.63	6.89	18.84	10.0	14.35	21.16	16.51	10.79	14.78	10.08	7.82	12.18	15.45	11.38	18.29	15.34	14.24	18.7	36.79	25.72	33.06	19.39	85.22	3.89	5.06	23.76	39.79	30.34	14.67	8.19	6.26	7.57	8.13	26.86	21.32	9.06	13.42	4.43	12.83	17.64	9.56	17.25	20.86	14.24	41.22	102.97	126.12	164.42	142.01	35.0	46.84	33.78	96.01	95.34	108.14	39.5	78.89	101.54	63.45	71.5	139.07	116.78	61.68	65.26	23.08	42.11	26.47	30.12	109.66
CLDND1	1745.2	1519.15	890.44	967.76	1242.34	1023.0	2119.22	1963.57	1605.83	1378.57	1427.22	1794.29	1295.13	1709.26	1457.23	1583.71	1781.89	1551.09	1417.35	1594.73	1199.98	2163.77	791.35	1225.22	1407.55	1662.49	1008.9	1151.06	279.14	624.99	1340.84	1277.29	1331.57	1191.69	1073.91	511.0	954.43	1030.12	1175.27	902.89	1088.92	764.36	1551.09	1369.04	1208.34	813.63	1651.0	1259.69	1583.71	1991.0	2004.85	1651.0	1111.82	1104.13	559.28	450.94	842.36	616.37	432.53	555.41	414.87	363.56	356.05	551.56	379.04	620.67	368.65	642.59	764.36	825.0	967.76	8421.31	2255.7	1819.35	2104.58	728.11	1268.46	1066.48	1923.14	2591.27	2240.11	796.86	3039.3	1151.06	679.29	1159.07	1883.54	2178.83	1030.12	1183.45	684.02	1051.79	842.36	728.11	1437.15
CNRIP1	1143.1	1111.82	190.34	262.2	244.57	480.04	718.08	595.34	878.17	813.63	591.22	825.0	674.59	866.07	603.67	830.75	587.13	651.58	616.37	748.61	591.22	802.41	115.97	27.25	60.39	128.79	40.07	32.82	78.89	30.34	31.9	115.97	149.12	35.0	98.73	41.81	49.56	47.84	37.05	110.43	70.51	82.87	66.65	57.89	111.99	127.89	366.09	156.59	454.09	59.55	251.48	147.06	226.54	212.78	53.19	45.85	22.59	26.47	88.88	152.28	49.21	131.51	24.63	37.32	28.45	109.66	24.11	57.08	53.19	77.25	246.28	693.58	1757.34	358.54	633.73	127.89	287.01	283.05	457.25	693.58	441.64	171.45	1721.16	139.07	88.88	223.41	305.55	665.29	351.14	239.52	208.38	616.37	205.5	269.6	358.54
CPED1	1037.29	988.12	62.12	103.69	486.75	305.55	265.87	406.31	346.29	289.02	543.96	299.25	514.56	414.87	123.5	186.4	226.54	397.93	423.61	371.22	204.07	208.38	10.71	2.68	32.82	16.63	6.73	2.43	43.63	6.36	1.69	31.0	28.45	8.38	9.56	8.45	3.69	10.47	3.2	12.55	12.27	67.59	14.14	22.59	106.63	99.43	161.02	32.13	525.39	8.85	17.77	76.71	202.66	165.57	212.78	12.18	13.93	14.45	9.27	52.45	6.41	41.52	14.14	8.45	4.39	53.19	21.32	11.47	305.55	353.59	45.85	2090.03	463.65	195.72	791.35	78.89	205.5	303.44	1259.69	567.1	1628.26	77.25	1167.14	62.12	76.71	135.24	728.11	928.3	237.86	281.09	29.91	156.59	51.35	29.27	171.45
CREBBP	450.94	470.14	255.0	301.33	543.96	607.87	591.22	679.29	669.92	647.07	579.04	529.06	651.58	718.08	341.51	595.34	624.99	518.15	532.74	642.59	511.0	638.15	307.69	486.75	466.88	429.54	409.15	269.6	291.04	466.88	493.56	444.72	325.29	466.88	361.04	435.55	351.14	511.0	466.88	403.5	414.87	169.07	332.14	457.25	289.02	194.36	339.14	314.17	591.22	64.8	301.33	435.55	429.54	314.17	248.0	180.02	154.42	271.48	248.0	309.83	260.38	205.5	143.01	229.72	220.32	180.02	199.85	162.14	299.25	90.14	244.57	1769.57	733.19	1044.52	1059.11	395.18	483.38	723.08	1001.93	884.29	934.76	612.11	493.56	525.39	256.78	363.56	616.37	603.67	361.04	450.94	287.01	373.81	525.39	229.72	397.93
CTNNB1	3847.29	3491.39	2816.11	2895.31	2935.74	1896.65	3039.3	2224.63	2032.85	2075.59	1794.29	2319.15	1508.65	2104.58	1991.0	2287.2	2224.63	2240.11	2739.08	2319.15	1477.58	1733.13	1498.22	1685.71	2224.63	2104.58	1388.16	1437.15	909.17	1745.2	2119.22	2915.45	2209.26	2434.5	1697.45	1015.93	1769.57	2468.49	2148.82	2240.11	2193.99	1477.58	1883.54	3081.75	2240.11	1447.15	2855.44	2018.8	2835.7	921.88	2367.9	3146.52	2895.31	3982.99	1857.6	2796.65	796.86	915.51	2287.2	1437.15	1268.46	1844.76	1991.0	2796.65	1159.07	1733.13	995.0	2224.63	2090.03	1519.15	2104.58	6164.49	5329.3	3540.14	1832.01	2796.65	3540.14	2915.45	3257.52	3614.55	3955.48	2935.74	2417.67	1883.54	1127.35	2004.85	2777.33	2777.33	1781.89	1950.0	3665.02	4152.18	4298.64	2537.92	3018.3
CXCL2	1331.57	150.17	236.21	42.11	176.29	825.0	2061.24	1857.6	1044.52	3742.05	753.83	848.22	376.41	866.07	1225.22	1268.46	1175.27	1073.91	5831.91	884.29	2384.37	269.6	64.34	7.88	4.94	10.71	4.5	0.46	13.12	1.28	3.08	18.84	63.45	2.03	5.87	1.71	59.55	0.89	3.72	5.32	7.4	4.62	16.63	5.92	327.56	45.85	2739.08	36.27	444.72	2.84	35.0	23.93	136.19	37.32	15.91	27.64	109.66	9.34	18.97	228.13	23.25	87.03	11.64	114.36	37.85	57.08	193.01	183.82	1923.14	1697.45	2417.67	3901.01	4210.15	379.04	320.8	2061.24	366.09	256.78	371.22	629.35	23.59	665.29	152.28	82.29	138.1	195.72	165.57	575.03	346.29	2224.63	134.3	579.04	15.56	70.01	728.11
DAAM2	371.22	1457.23	236.21	395.18	579.04	2163.77	1208.34	1477.58	909.17	890.44	2148.82	1250.98	738.29	1199.98	1233.75	830.75	1268.46	2240.11	1127.35	1498.22	1388.16	1250.98	72.01	68.07	60.82	60.82	14.24	32.82	62.56	54.72	21.78	118.43	63.0	28.45	51.35	79.45	52.82	34.02	40.93	58.3	103.69	125.24	60.82	87.03	161.02	39.22	46.18	189.02	748.61	30.12	55.1	108.9	376.41	312.0	10.16	25.35	10.79	22.92	14.14	69.03	7.88	41.52	17.0	6.06	19.53	71.5	10.88	20.56	36.53	84.63	231.32	1286.18	189.02	275.28	642.59	115.16	211.31	387.02	583.07	616.37	764.36	87.03	633.73	221.86	224.97	287.01	346.29	728.11	237.86	198.47	150.17	226.54	500.46	167.9	221.86
DAPK1	186.4	423.61	84.04	133.36	432.53	967.76	688.78	825.0	1066.48	426.57	878.17	698.41	1104.13	620.67	633.73	414.87	808.0	660.68	587.13	866.07	595.34	830.75	14.56	87.03	21.01	53.95	12.83	6.67	85.22	2.1	48.52	42.41	57.89	14.14	15.11	123.5	59.13	173.85	12.55	40.93	18.16	22.92	72.52	34.75	389.72	279.14	409.15	37.32	854.13	5.19	320.8	136.19	599.49	525.39	376.41	178.77	194.36	141.02	297.17	269.6	429.54	258.57	265.87	129.69	358.54	155.5	260.38	379.04	178.77	71.5	279.14	3212.66	2434.5	575.03	432.53	1008.9	373.81	470.14	884.29	1551.09	463.65	616.37	77.79	612.11	368.65	371.22	878.17	275.28	89.51	447.82	30.56	104.42	64.8	82.29	361.04
DAPK3	1001.93	1561.89	802.41	1208.34	1963.57	2739.08	2855.44	3124.78	1733.13	2061.24	4095.0	1697.45	1745.2	2090.03	2367.9	2119.22	4358.66	2796.65	2645.74	1883.54	2816.11	2004.85	1167.14	915.51	825.0	1143.1	854.13	1051.79	1477.58	1378.57	1159.07	961.07	890.44	633.73	1104.13	1721.16	1066.48	1066.48	1073.91	1023.0	915.51	1216.75	947.83	842.36	473.41	493.56	575.03	813.63	1167.14	178.77	507.46	693.58	674.59	571.05	669.92	708.18	1175.27	825.0	674.59	995.0	928.3	1037.29	607.87	902.89	854.13	941.27	1111.82	647.07	748.61	571.05	1508.65	5041.77	813.63	866.07	2148.82	1397.83	713.11	1963.57	2537.92	2075.59	2997.45	1594.73	1167.14	848.22	1183.45	1127.35	2384.37	2090.03	915.51	1397.83	769.69	878.17	1225.22	1135.2	1295.13
DAZL	3.11	0.0	0.0	0.56	0.0	0.8	0.0	2.32	0.0	0.0	0.0	0.77	379.04	0.0	0.0	5.87	0.0	0.79	0.0	0.8	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.42	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	18.7	0.0	23.59	43.63	0.0	10.31	7.17	24.11	4.17	22.59	7.46	18.29	1.31	0.0	1.25	7.06	8.78	1.6	1.28	0.0	3.92	0.0	0.0	0.0
DDR2	1685.71	1733.13	186.4	273.37	555.41	1008.9	1594.73	1127.35	1674.06	1628.26	915.51	1651.0	941.27	1519.15	693.58	1183.45	1044.52	1233.75	1023.0	1437.15	796.86	1594.73	29.06	34.26	66.65	24.99	12.55	54.33	21.63	17.13	18.84	38.67	21.78	27.05	28.65	22.1	24.11	20.26	21.32	23.08	34.26	46.5	23.25	234.57	31.0	34.02	31.22	89.51	325.29	10.79	23.76	75.11	180.02	147.06	6.78	24.46	5.92	18.03	23.08	146.03	7.28	52.82	9.2	17.25	4.43	82.29	5.15	13.93	22.1	21.94	129.69	1015.93	748.61	660.68	616.37	108.9	454.09	536.45	1519.15	1697.45	1745.2	100.13	1794.29	99.43	52.08	236.21	511.0	934.76	285.03	224.97	158.79	450.94	242.88	111.99	312.0
DENND2A	470.14	802.41	133.36	182.55	309.83	941.27	902.89	1208.34	599.49	1023.0	954.43	723.08	463.65	791.35	1023.0	759.08	967.76	1350.18	1088.92	1417.35	995.0	1191.69	56.68	36.53	43.02	50.63	12.0	40.36	158.79	35.25	17.51	88.26	52.82	25.91	59.97	51.71	72.01	124.37	29.91	71.5	82.29	48.18	55.1	53.95	78.34	241.19	154.42	104.42	255.0	37.85	29.48	93.35	217.27	220.32	63.0	14.24	67.59	68.55	5.82	169.07	44.25	24.63	38.12	5.54	12.74	33.06	13.42	15.8	25.35	70.01	159.9	769.69	525.39	255.0	84.04	122.64	116.78	82.29	387.02	103.69	90.14	107.38	830.75	41.81	41.52	109.66	129.69	221.86	76.17	125.24	58.71	119.26	66.18	64.8	94.01
DGKE	69.03	251.48	52.45	59.55	80.57	134.3	134.3	118.43	149.12	124.37	90.77	126.12	209.84	153.34	95.34	142.01	112.77	141.02	145.02	138.1	88.88	84.04	69.03	28.04	73.03	49.56	42.71	48.87	49.21	22.43	24.81	55.89	44.89	43.63	62.56	57.89	38.67	44.89	30.56	30.56	49.56	49.21	41.22	50.63	153.34	61.25	135.24	38.4	68.07	30.12	25.91	62.56	58.3	58.71	13.12	12.74	4.35	6.57	6.26	18.97	8.19	22.59	2.56	1.89	18.84	36.53	6.26	27.84	38.4	16.15	52.08	172.65	211.31	147.06	130.6	74.06	62.56	120.1	205.5	182.55	150.17	75.11	102.97	52.82	38.67	63.45	94.01	122.64	66.18	55.1	92.05	50.98	73.03	76.71	167.9
DOCK1	583.07	808.0	684.02	656.11	802.41	441.64	514.56	371.22	607.87	466.88	420.68	500.46	460.44	497.0	275.28	417.77	466.88	540.19	500.46	575.03	409.15	341.51	256.78	190.34	156.59	176.29	297.17	118.43	256.78	71.0	117.6	283.05	157.68	146.03	265.87	161.02	108.9	267.73	126.12	172.65	125.24	149.12	166.73	119.26	629.35	591.22	656.11	171.45	480.04	87.03	121.79	255.0	571.05	665.29	483.38	265.87	214.27	309.83	253.23	480.04	450.94	220.32	381.68	281.09	285.03	309.83	341.51	314.17	346.29	140.04	283.05	1159.07	441.64	497.0	341.51	336.79	595.34	529.06	559.28	629.35	518.15	387.02	529.06	277.2	165.57	255.0	412.0	373.81	183.82	392.44	493.56	450.94	532.74	246.28	660.68
DPYSL3	6792.79	2796.65	275.28	497.0	1427.22	3794.3	3018.3	4181.07	2875.3	2520.38	3874.05	3874.05	2777.33	3540.14	7081.29	3190.46	4802.93	4937.99	4671.57	4639.29	3303.0	3349.13	267.73	45.53	163.28	195.72	17.51	42.71	81.14	33.78	56.28	150.17	64.34	27.84	124.37	90.77	178.77	229.72	28.04	248.0	39.22	199.85	136.19	59.55	212.78	229.72	303.44	130.6	1397.83	27.64	283.05	206.94	412.0	361.04	39.5	69.52	32.36	46.84	24.28	152.28	60.39	146.03	17.77	8.99	13.03	221.86	24.81	85.82	68.55	54.72	403.5	4239.45	2090.03	2032.85	4358.66	215.77	1477.58	1191.69	7081.29	4152.18	9606.86	265.87	4268.94	255.0	147.06	486.75	1733.13	1709.26	599.49	802.41	157.68	2796.65	169.07	180.02	928.3
EID3	55.49	64.34	16.39	30.56	46.84	65.26	88.88	59.55	116.78	55.89	66.18	65.72	74.06	77.25	63.0	68.07	54.33	109.66	90.14	41.52	44.89	50.63	56.68	39.5	81.14	40.93	21.32	13.83	10.39	27.64	24.46	21.32	38.67	50.98	66.65	40.93	45.21	73.54	35.76	15.8	75.64	109.66	50.63	11.91	64.8	27.25	180.02	37.32	53.95	23.93	49.91	18.16	36.53	40.93	14.35	10.71	44.89	25.72	49.56	46.5	11.64	12.27	3.82	18.43	8.45	43.63	53.95	21.63	9.56	7.17	34.02	281.09	105.89	52.08	67.12	15.68	27.64	37.59	79.45	59.97	42.41	31.45	38.12	17.51	25.72	16.39	44.89	94.67	17.51	39.79	41.52	43.02	14.67	20.26	81.14
ELN	1583.71	2240.11	1167.14	753.83	638.15	3491.39	6426.31	3928.15	6294.04	5791.62	3847.29	7803.01	2609.3	9215.48	1605.83	6745.86	5995.9	6935.54	4358.66	6079.61	3928.15	7537.18	152.28	56.28	599.49	228.13	87.03	98.04	381.68	35.25	64.34	246.28	212.78	97.36	124.37	87.03	131.51	69.52	83.45	253.23	351.14	1286.18	133.36	127.0	131.51	94.01	281.09	368.65	5403.7	20.41	108.14	620.67	251.48	131.51	47.5	194.36	63.89	71.0	33.54	190.34	62.12	381.68	29.48	16.03	42.71	1081.39	13.72	91.41	43.32	96.01	1015.93	12244.81	4239.45	2271.4	1651.0	954.43	6294.04	2537.92	1844.76	5006.93	2816.11	497.0	3955.48	251.48	607.87	1551.09	753.83	2777.33	1583.71	802.41	301.33	3146.52	536.45	376.41	785.88
EPB41L2	3303.0	3982.99	1008.9	1037.29	967.76	2451.44	3742.05	3146.52	3639.7	3395.89	2104.58	4388.98	2739.08	3419.52	2875.3	3235.01	2855.44	3060.45	2133.97	3419.52	1923.14	2303.12	217.27	60.82	187.71	163.28	77.79	64.34	175.07	56.68	46.84	228.13	271.48	91.41	105.15	150.17	78.34	187.71	88.26	199.85	121.79	195.72	85.82	167.9	547.75	379.04	395.18	180.02	1417.35	25.54	379.04	559.28	703.28	642.59	890.44	371.22	269.6	234.57	395.18	532.74	669.92	518.15	417.77	395.18	633.73	698.41	559.28	775.05	262.2	165.57	1191.69	3491.39	2777.33	2104.58	1331.57	651.58	1594.73	642.59	1467.37	1233.75	1950.0	743.43	6561.36	363.56	183.82	490.14	1044.52	1295.13	476.71	748.61	417.77	1388.16	486.75	507.46	1709.26
EPC1	669.92	647.07	314.17	368.65	454.09	507.46	579.04	454.09	669.92	651.58	432.53	679.29	738.29	684.02	543.96	457.25	423.61	591.22	540.19	698.41	327.56	507.46	123.5	138.1	117.6	181.28	155.5	91.41	146.03	120.1	87.65	141.02	127.89	140.04	185.11	139.07	85.22	348.71	121.79	144.01	133.36	111.21	95.34	105.89	343.89	384.34	234.57	151.22	638.15	40.36	113.56	205.5	450.94	316.37	256.78	92.7	149.12	122.64	108.14	228.13	181.28	116.78	162.14	142.01	152.28	186.4	136.19	120.1	379.04	155.5	361.04	583.07	866.07	583.07	647.07	358.54	414.87	438.59	571.05	587.13	444.72	297.17	830.75	327.56	228.13	229.72	400.71	438.59	297.17	341.51	358.54	371.22	384.34	220.32	764.36
EPC2	579.04	361.04	171.45	175.07	242.88	246.28	366.09	320.8	420.68	316.37	262.2	384.34	273.37	429.54	212.78	371.22	301.33	303.44	305.55	363.56	232.94	258.57	165.57	154.42	148.09	158.79	176.29	108.14	90.14	124.37	156.59	199.85	169.07	164.42	143.01	201.25	115.97	205.5	172.65	161.02	143.01	88.88	144.01	142.01	303.44	211.31	363.56	116.78	392.44	34.26	80.01	198.47	318.57	309.83	118.43	84.63	118.43	87.03	86.43	112.77	204.07	100.13	116.78	142.01	135.24	162.14	107.38	108.9	103.69	79.45	236.21	555.41	591.22	320.8	392.44	228.13	334.46	232.94	358.54	373.81	444.72	164.42	497.0	178.77	108.14	176.29	251.48	291.04	214.27	248.0	277.2	291.04	236.21	169.07	624.99
FBXL7	575.03	718.08	54.72	91.41	157.68	312.0	379.04	379.04	351.14	269.6	267.73	403.5	348.71	397.93	190.34	392.44	323.03	397.93	285.03	387.02	366.09	595.34	71.0	12.27	30.34	65.72	19.39	13.03	19.39	22.92	15.68	101.54	45.53	11.21	38.4	23.08	15.68	51.35	15.56	59.13	30.56	36.01	21.94	27.05	120.94	67.59	87.65	48.18	242.88	7.82	24.81	81.71	125.24	96.01	199.85	17.77	5.92	10.16	46.84	84.04	85.22	38.4	22.59	15.91	65.26	32.13	11.04	74.58	35.0	34.75	172.65	397.93	249.73	264.03	281.09	53.57	178.77	190.34	358.54	503.95	351.14	60.39	603.67	69.03	38.67	113.56	228.13	353.59	118.43	97.36	65.26	293.07	78.89	76.17	141.02
FGD5	791.35	1059.11	151.22	167.9	128.79	271.48	336.79	242.88	555.41	444.72	199.85	497.0	201.25	466.88	208.38	1135.2	454.09	521.76	567.1	432.53	392.44	476.71	185.11	54.72	58.71	183.82	56.28	45.53	120.94	65.72	50.98	305.55	170.25	68.07	166.73	87.65	78.89	87.65	67.59	166.73	136.19	98.04	113.56	90.14	981.29	150.17	206.94	178.77	403.5	47.5	152.28	191.67	379.04	432.53	303.44	583.07	15.11	37.05	134.3	165.57	40.07	125.24	444.72	150.17	28.45	134.3	249.73	72.52	51.35	94.01	332.14	1359.57	503.95	384.34	154.42	125.24	316.37	151.22	167.9	199.85	161.02	109.66	679.29	128.79	36.27	136.19	198.47	287.01	297.17	148.09	258.57	454.09	314.17	279.14	255.0
FGFBP2	1111.82	78.34	27.05	52.08	128.79	50.27	133.36	145.02	214.27	1437.15	68.55	277.2	209.84	75.64	173.85	81.71	169.07	87.03	189.02	248.0	232.94	206.94	13.32	10.55	20.86	35.0	3.35	1.62	14.45	1.99	8.32	7.69	7.06	20.86	25.72	14.35	16.51	1.22	1.99	25.91	2.39	3.99	10.39	8.71	108.14	17.64	17.0	3.86	20.56	43.63	3.32	11.38	14.78	24.11	24.28	3.66	4.66	1.51	16.39	30.34	10.55	5.87	4.17	4.74	2.39	29.27	3.29	30.34	24.11	12.55	39.22	921.88	38.67	24.11	37.59	15.8	19.25	2.48	15.11	29.48	5.87	4.5	253.23	36.01	10.31	12.09	32.13	46.18	45.85	7.22	12.18	16.27	20.56	29.27	19.82
FLRT2	429.54	429.54	56.68	33.3	26.1	260.38	343.89	400.71	1081.39	497.0	136.19	480.04	279.14	395.18	108.9	896.64	379.04	329.84	287.01	603.67	127.0	226.54	5.87	0.79	12.09	30.34	5.82	5.32	6.62	1.64	1.73	9.06	22.75	0.8	6.16	2.86	4.54	8.58	5.23	15.34	7.22	14.56	3.86	9.56	68.07	52.82	94.67	18.97	139.07	0.41	15.45	41.81	94.01	86.43	1.23	8.25	0.42	7.57	5.87	7.63	2.18	15.0	2.14	0.77	0.43	25.72	0.77	7.28	2.29	9.63	33.06	204.07	161.02	503.95	149.12	17.0	199.85	82.87	40.07	84.04	237.86	28.24	1417.35	38.67	6.67	20.11	77.79	75.11	75.11	111.21	54.72	180.02	72.52	27.25	684.02
