	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF
MAMDC4	5.06	6.16	6.73	33.06	97.36	76.71	139.07	26.86	111.21	59.13	307.69	152.28	30.78	220.32	59.55	71.5	114.36	173.85	351.14	154.42	96.68	209.84	33.54	301.33	33.54	71.0	143.01	223.41	82.87	47.17	97.36	19.53	23.59	85.82	198.47	88.26	134.3	110.43	121.79	146.03	441.64	102.25	246.28	30.12	28.65	93.35	244.57	38.4	66.65	24.28	87.03	198.47	110.43	143.01	44.57	39.22	108.9	199.85	163.28	44.89	358.54	94.01	332.14	48.52	175.07	140.04	47.5	41.22	20.86	30.78	1.79	5.19
MAN2C1	435.55	529.06	551.56	1378.57	2163.77	2400.97	2739.08	1111.82	1457.23	2018.8	3515.68	2591.27	1008.9	3349.13	1674.06	1583.71	2090.03	2255.7	2555.58	2400.97	2816.11	3168.41	1167.14	4836.35	819.3	1628.26	2367.9	3589.58	1757.34	1023.0	1628.26	775.05	679.29	1769.57	2956.17	1378.57	2303.12	2004.85	2682.69	2627.46	4181.07	1950.0	3564.78	1199.98	1313.23	1857.6	2468.49	1519.15	2004.85	1191.69	1350.18	3060.45	2193.99	2303.12	1313.23	1583.71	2367.9	2682.69	2895.31	1286.18	4328.55	1950.0	4358.66	1304.15	2434.5	2287.2	1286.18	1159.07	1037.29	1119.56	229.72	181.28
MAP2K7	195.72	323.03	177.53	417.77	457.25	429.54	435.55	414.87	346.29	493.56	599.49	521.76	339.14	612.11	486.75	490.14	476.71	493.56	486.75	525.39	476.71	551.56	483.38	490.14	429.54	432.53	486.75	599.49	406.31	438.59	454.09	318.57	435.55	450.94	490.14	417.77	336.79	470.14	435.55	423.61	563.18	412.0	595.34	403.5	473.41	490.14	624.99	414.87	497.0	281.09	525.39	476.71	540.19	470.14	387.02	417.77	483.38	583.07	426.57	409.15	629.35	480.04	665.29	551.56	454.09	503.95	480.04	476.71	432.53	450.94	157.68	289.02
MBD6	248.0	414.87	343.89	830.75	1167.14	819.3	934.76	1023.0	954.43	1066.48	1304.15	1313.23	733.19	1617.0	1015.93	896.64	1015.93	1304.15	1208.34	934.76	1199.98	1561.89	1208.34	1819.35	896.64	624.99	1015.93	2193.99	830.75	902.89	915.51	642.59	647.07	1183.45	1359.57	934.76	1051.79	1467.37	1001.93	1397.83	2119.22	995.0	1119.56	647.07	995.0	785.88	915.51	872.1	1304.15	490.14	775.05	1896.65	1111.82	1127.35	813.63	1183.45	1250.98	1250.98	1397.83	764.36	1936.53	638.15	1685.71	890.44	974.5	1397.83	813.63	842.36	599.49	819.3	170.25	323.03
MED15	480.04	819.3	579.04	860.08	961.07	728.11	884.29	902.89	909.17	674.59	1295.13	1088.92	642.59	1216.75	967.76	813.63	860.08	961.07	1023.0	1059.11	909.17	1191.69	1159.07	1008.9	753.83	854.13	988.12	1037.29	669.92	934.76	738.29	647.07	688.78	909.17	1135.2	830.75	1073.91	921.88	921.88	1096.5	1225.22	629.35	1051.79	785.88	896.64	1023.0	1088.92	884.29	915.51	547.75	1066.48	1088.92	896.64	860.08	718.08	780.44	988.12	1151.06	995.0	748.61	1143.1	902.89	1135.2	896.64	860.08	1073.91	902.89	1015.93	775.05	1051.79	466.88	769.69
MEF2BNB-MEF2B	169.07	161.02	16.15	175.07	49.91	92.05	206.94	199.85	150.17	193.01	221.86	60.39	96.68	289.02	215.77	107.38	154.42	195.72	178.77	87.03	172.65	239.52	103.69	241.19	75.64	228.13	211.31	241.19	73.54	159.9	135.24	64.8	92.05	285.03	320.8	67.59	189.02	244.57	166.73	111.99	255.0	141.02	224.97	108.9	115.16	183.82	215.77	100.13	229.72	55.1	135.24	258.57	189.02	202.66	115.16	131.51	256.78	115.16	209.84	108.9	299.25	122.64	285.03	164.42	208.38	141.02	164.42	202.66	90.14	165.57	83.45	75.64
METTL22	191.67	218.79	81.71	241.19	358.54	231.32	327.56	258.57	258.57	258.57	480.04	348.71	208.38	486.75	309.83	275.28	260.38	356.05	325.29	376.41	343.89	363.56	348.71	381.68	218.79	307.69	361.04	373.81	265.87	244.57	267.73	172.65	197.09	312.0	392.44	224.97	285.03	285.03	316.37	307.69	466.88	277.2	486.75	246.28	309.83	334.46	295.11	312.0	351.14	194.36	323.03	289.02	339.14	463.65	251.48	307.69	332.14	409.15	316.37	226.54	339.14	387.02	392.44	289.02	327.56	368.65	255.0	368.65	361.04	277.2	163.28	115.97
MIR3654	18.97	17.51	13.12	53.19	50.27	123.5	56.28	35.76	51.35	62.12	80.01	58.71	53.95	80.57	48.18	56.28	60.39	49.91	115.97	94.01	81.71	72.01	70.51	135.24	38.67	60.82	99.43	143.01	35.5	58.3	69.52	54.72	39.22	52.82	57.08	39.79	49.91	64.8	49.91	74.06	109.66	67.12	65.72	46.84	71.0	63.89	111.21	40.07	97.36	68.55	39.79	134.3	87.65	97.36	56.28	63.0	51.71	67.12	105.15	66.65	115.16	78.89	102.97	61.25	74.58	47.84	35.0	31.0	40.64	40.64	19.53	14.03
MYO9B	232.94	420.68	441.64	785.88	902.89	559.28	878.17	785.88	733.19	559.28	1417.35	1066.48	624.99	1159.07	928.3	866.07	759.08	934.76	1001.93	995.0	830.75	1259.69	934.76	1030.12	624.99	1135.2	1001.93	1001.93	642.59	738.29	723.08	595.34	633.73	928.3	1037.29	764.36	860.08	915.51	764.36	866.07	1427.22	780.44	1096.5	733.19	769.69	1015.93	1191.69	866.07	718.08	329.84	974.5	928.3	796.86	759.08	785.88	629.35	1023.0	890.44	902.89	665.29	1529.73	802.41	1304.15	825.0	1081.39	866.07	836.53	1037.29	595.34	848.22	426.57	373.81
MZF1	72.01	124.37	77.25	305.55	587.13	483.38	642.59	299.25	417.77	567.1	723.08	551.56	158.79	796.86	529.06	480.04	660.68	555.41	728.11	473.41	525.39	723.08	293.07	854.13	248.0	423.61	665.29	866.07	376.41	293.07	480.04	195.72	297.17	547.75	547.75	334.46	603.67	540.19	583.07	587.13	830.75	389.72	854.13	237.86	329.84	607.87	928.3	395.18	642.59	299.25	389.72	764.36	579.04	551.56	336.79	353.59	507.46	532.74	764.36	379.04	1015.93	493.56	896.64	514.56	638.15	463.65	329.84	291.04	202.66	217.27	34.02	99.43
NEIL1	87.65	47.5	90.77	329.84	902.89	791.35	1487.87	258.57	642.59	684.02	1388.16	928.3	244.57	1199.98	466.88	409.15	860.08	878.17	1304.15	860.08	775.05	1250.98	249.73	1183.45	258.57	454.09	1023.0	1628.26	525.39	265.87	748.61	155.5	376.41	660.68	1015.93	450.94	624.99	684.02	860.08	928.3	1583.71	547.75	1233.75	305.55	285.03	1030.12	1745.2	363.56	616.37	432.53	387.02	1286.18	785.88	909.17	397.93	460.44	896.64	896.64	1286.18	277.2	2739.08	802.41	1832.01	441.64	928.3	698.41	244.57	258.57	258.57	214.27	6.52	29.7
NPEPL1	327.56	412.0	217.27	325.29	521.76	438.59	651.58	348.71	460.44	356.05	981.29	500.46	307.69	775.05	379.04	486.75	802.41	599.49	860.08	629.35	1208.34	896.64	376.41	995.0	343.89	412.0	551.56	1015.93	397.93	392.44	466.88	265.87	353.59	703.28	775.05	356.05	563.18	890.44	866.07	660.68	1233.75	563.18	753.83	409.15	381.68	607.87	753.83	320.8	633.73	353.59	384.34	1199.98	466.88	563.18	318.57	426.57	547.75	486.75	842.36	493.56	1191.69	470.14	981.29	320.8	708.18	599.49	420.68	420.68	341.51	387.02	199.85	400.71
NPIPB8	0.0	0.0	0.0	0.0	5.32	0.0	8.58	7.75	0.0	12.45	21.94	10.16	10.79	5.28	7.46	10.08	11.04	15.45	29.27	25.35	8.13	4.58	0.0	45.53	0.0	0.0	3.08	21.16	13.52	7.51	0.0	0.0	4.7	7.11	4.58	0.0	15.8	0.0	10.47	3.0	48.87	0.0	24.63	0.0	4.21	20.11	26.28	1.89	19.68	4.54	3.06	32.59	19.97	0.0	12.55	7.4	0.0	10.71	34.75	5.28	38.4	8.71	50.27	3.66	8.99	0.0	0.0	0.0	0.0	0.0	0.0	0.59
PHF21B	0.64	0.0	4.03	94.01	134.3	136.19	260.38	67.12	127.0	224.97	206.94	183.82	34.26	264.03	98.04	80.57	187.71	275.28	279.14	182.55	98.04	139.07	39.22	460.44	67.59	167.9	206.94	307.69	72.01	85.82	180.02	54.33	97.36	80.57	150.17	167.9	52.45	180.02	124.37	101.54	579.04	46.84	361.04	76.71	66.18	161.02	329.84	58.3	265.87	55.49	74.58	356.05	150.17	191.67	74.58	112.77	124.37	143.01	151.22	76.71	514.56	60.39	647.07	82.87	137.14	100.83	27.84	72.01	38.95	47.84	0.0	0.39
PLAC8L1	0.0	5.68	0.0	4.94	5.73	27.44	21.47	4.24	13.12	14.89	22.59	14.45	4.94	8.71	6.78	3.41	16.88	17.64	6.78	24.46	14.03	31.22	2.03	18.03	1.91	5.92	13.62	19.39	9.41	3.44	6.06	5.02	3.86	17.13	14.35	2.89	0.0	14.14	10.79	31.22	54.33	2.84	11.64	3.35	4.43	12.09	49.91	4.74	13.32	6.57	3.89	21.01	5.59	12.74	6.89	4.06	11.91	11.47	10.08	1.97	40.07	7.4	22.59	5.02	9.06	9.56	8.45	4.86	4.1	0.0	0.0	3.89
PROCA1	6.84	6.01	22.26	17.25	12.0	18.29	81.71	26.28	6.21	9.13	55.1	34.75	9.93	77.25	27.64	31.22	54.33	36.79	46.5	34.75	10.47	78.34	21.01	76.71	27.05	17.51	24.63	44.25	14.45	27.25	16.27	28.86	18.16	36.79	63.89	37.05	34.26	25.17	40.07	26.47	79.45	44.89	54.72	14.56	43.63	43.63	49.56	20.56	22.92	8.99	23.76	40.64	40.07	31.9	14.78	16.88	51.35	51.71	44.89	10.24	103.69	35.25	145.02	24.63	47.5	62.12	19.97	35.5	30.78	34.02	5.82	13.72
PROZ	0.0	0.72	0.0	1.31	2.89	9.63	16.39	1.27	2.48	4.5	2.71	13.03	1.31	7.34	3.17	3.14	8.99	3.17	8.51	7.17	6.52	10.08	0.0	10.63	1.27	5.96	6.46	5.19	5.32	3.17	4.35	1.33	2.66	9.93	5.28	3.11	3.47	4.46	9.41	7.57	12.93	0.0	9.34	1.73	1.77	7.57	11.82	0.82	5.5	3.08	0.83	10.39	0.82	6.94	0.0	3.76	6.78	7.4	3.0	0.0	47.17	2.58	10.24	1.95	9.48	2.14	0.82	1.31	0.0	0.82	0.0	0.0
RABL2A	106.63	60.82	141.02	291.04	204.07	432.53	332.14	325.29	332.14	229.72	579.04	409.15	167.9	507.46	297.17	309.83	297.17	353.59	426.57	414.87	406.31	500.46	289.02	353.59	161.02	389.72	432.53	420.68	279.14	336.79	325.29	141.02	277.2	177.53	384.34	251.48	373.81	466.88	246.28	441.64	473.41	253.23	470.14	180.02	251.48	351.14	463.65	525.39	563.18	253.23	346.29	753.83	309.83	305.55	295.11	283.05	371.22	447.82	559.28	320.8	728.11	224.97	638.15	183.82	293.07	277.2	346.29	343.89	241.19	279.14	28.04	43.63
RBCK1	1051.79	1111.82	836.53	1651.0	1977.24	2224.63	2915.45	1583.71	1870.53	1806.78	2434.5	2468.49	995.0	2224.63	1909.85	1857.6	2303.12	1844.76	2468.49	2319.15	2047.0	2627.46	1857.6	2224.63	1662.49	1159.07	2502.97	2119.22	1936.53	2004.85	1909.85	1277.29	1561.89	2682.69	2224.63	1594.73	1498.22	2240.11	2224.63	2163.77	2609.3	1977.24	2148.82	902.89	1963.57	2384.37	2319.15	1467.37	1909.85	1628.26	1757.34	2468.49	2075.59	1709.26	1519.15	1819.35	1950.0	2047.0	2133.97	1769.57	2367.9	2209.26	2434.5	1781.89	2090.03	1794.29	1662.49	1498.22	1639.59	1674.06	665.29	769.69
RP4-583P15.15	15.45	11.91	5.54	28.24	38.4	59.13	100.83	17.38	42.41	33.3	83.45	63.0	11.21	96.01	43.32	25.35	84.04	75.64	84.04	69.03	69.52	96.01	25.91	64.34	15.0	55.49	90.14	93.35	40.36	26.1	53.57	6.21	13.83	56.28	69.52	40.36	42.71	60.39	41.81	78.34	171.45	22.75	102.97	29.06	16.63	60.39	114.36	14.56	50.27	10.24	31.67	62.56	53.95	58.3	24.63	22.75	82.29	59.13	71.5	21.78	164.42	65.72	137.14	28.45	57.08	66.18	23.76	27.44	22.92	17.9	2.76	5.15
RTEL1	64.34	87.65	83.45	177.53	182.55	199.85	228.13	127.0	125.24	137.14	232.94	170.25	85.22	223.41	132.44	152.28	194.36	212.78	189.02	182.55	239.52	190.34	159.9	223.41	115.16	133.36	249.73	208.38	116.78	105.89	156.59	84.04	77.79	281.09	197.09	153.34	193.01	234.57	154.42	154.42	178.77	150.17	189.02	162.14	116.78	177.53	172.65	139.07	161.02	76.71	177.53	180.02	189.02	169.07	124.37	163.28	166.73	194.36	189.02	98.04	171.45	170.25	249.73	126.12	211.31	234.57	126.12	153.34	134.3	125.24	33.06	44.25
RTEL1-TNFRSF6B	8.99	6.06	7.88	33.54	47.84	41.22	73.03	26.67	48.87	60.82	117.6	75.64	7.94	130.6	55.89	54.33	72.01	63.89	107.38	78.89	90.14	125.24	24.46	100.13	22.1	67.59	86.43	81.71	37.59	27.05	60.82	9.2	22.1	49.21	104.42	33.54	80.57	82.29	82.87	95.34	139.07	45.85	98.73	38.67	26.28	75.64	113.56	33.54	66.65	24.99	38.67	129.69	58.71	68.07	29.06	32.82	71.5	88.88	102.97	36.53	135.24	66.65	156.59	28.45	62.56	85.82	28.65	40.93	18.03	26.86	2.56	10.08
SAFB	412.0	1233.75	854.13	1417.35	1477.58	1447.15	1477.58	1331.57	1397.83	1304.15	1806.78	1572.76	988.12	1909.85	1457.23	1286.18	1540.37	1662.49	1883.54	1437.15	1757.34	1639.59	1437.15	1651.0	1277.29	1304.15	1561.89	2303.12	1437.15	1437.15	1233.75	1208.34	1369.04	1745.2	1639.59	1369.04	1304.15	1457.23	1674.06	1447.15	2119.22	1313.23	1794.29	1127.35	1322.37	1359.57	1909.85	1277.29	1781.89	1088.92	1397.83	1963.57	1498.22	1304.15	1277.29	1369.04	1583.71	1674.06	1923.14	934.76	1896.65	1066.48	1963.57	1388.16	1594.73	1397.83	1216.75	1313.23	1096.5	1250.98	432.53	947.83
SH2B1	248.0	358.54	273.37	723.08	1037.29	1104.13	1250.98	780.44	860.08	1008.9	1467.37	1051.79	503.95	1457.23	1096.5	890.44	1059.11	1135.2	1081.39	1135.2	1001.93	1519.15	961.07	1447.15	748.61	854.13	1350.18	1250.98	759.08	748.61	1015.93	571.05	633.73	1175.27	1199.98	819.3	1175.27	1073.91	1059.11	1350.18	1685.71	928.3	1369.04	780.44	802.41	1015.93	1151.06	848.22	1191.69	521.76	902.89	1519.15	1135.2	1304.15	679.29	1001.93	1167.14	1447.15	1175.27	748.61	1721.16	1096.5	1583.71	896.64	1233.75	1487.87	780.44	909.17	723.08	748.61	176.29	242.88
SIN3B	129.69	241.19	325.29	514.56	616.37	412.0	620.67	483.38	567.1	476.71	1001.93	698.41	423.61	890.44	555.41	603.67	579.04	738.29	703.28	620.67	647.07	688.78	555.41	764.36	368.65	575.03	607.87	836.53	476.71	444.72	511.0	356.05	423.61	426.57	825.0	559.28	450.94	669.92	525.39	551.56	921.88	353.59	775.05	450.94	476.71	540.19	825.0	575.03	525.39	258.57	647.07	599.49	620.67	595.34	457.25	336.79	698.41	660.68	551.56	463.65	791.35	403.5	934.76	429.54	579.04	698.41	540.19	748.61	356.05	595.34	104.42	163.28
STARD3	718.08	748.61	532.74	848.22	796.86	1096.5	995.0	753.83	1104.13	808.0	1015.93	902.89	674.59	902.89	921.88	830.75	1051.79	941.27	1059.11	921.88	1066.48	1183.45	884.29	1081.39	808.0	1096.5	848.22	1175.27	612.11	1127.35	928.3	693.58	728.11	860.08	878.17	775.05	1135.2	1151.06	1104.13	1096.5	1059.11	1167.14	915.51	884.29	785.88	1066.48	753.83	842.36	825.0	660.68	836.53	1030.12	660.68	878.17	651.58	743.43	902.89	1073.91	934.76	981.29	1250.98	1066.48	1175.27	819.3	872.1	1111.82	1143.1	921.88	830.75	872.1	343.89	420.68
STX16-NPEPL1	5.63	0.0	4.62	30.78	39.79	8.92	112.77	6.94	30.34	57.49	201.25	76.17	8.51	89.51	26.1	26.67	95.34	57.49	138.1	60.39	152.28	67.12	10.79	190.34	8.13	35.0	43.32	220.32	31.9	20.26	39.5	3.26	8.99	24.81	127.89	72.01	29.48	86.43	106.63	55.49	185.11	48.18	105.89	27.84	5.23	44.89	71.5	38.95	37.85	0.0	15.91	171.45	54.72	39.5	24.81	10.16	45.53	54.33	95.34	12.18	186.4	27.84	157.68	13.22	59.97	55.1	19.82	13.22	1.71	12.93	0.0	1.57
SULT1A3	13.83	85.82	59.55	50.98	208.38	185.11	285.03	101.54	140.04	239.52	555.41	307.69	50.98	277.2	107.38	118.43	339.14	75.64	301.33	353.59	143.01	236.21	137.14	285.03	120.94	148.09	241.19	236.21	90.14	55.1	264.03	52.08	95.34	423.61	155.5	106.63	224.97	163.28	199.85	224.97	684.02	208.38	211.31	104.42	104.42	228.13	403.5	62.56	215.77	69.52	164.42	356.05	236.21	172.65	46.84	144.01	170.25	242.88	447.82	129.69	743.43	189.02	483.38	120.1	253.23	172.65	108.9	169.07	116.78	77.79	13.93	173.85
SYCE2	6.57	2.25	6.52	11.13	4.06	15.91	28.86	5.19	9.27	24.81	29.27	7.11	15.8	18.29	28.65	10.08	24.11	20.71	45.85	18.16	21.94	14.67	3.26	21.94	6.84	14.24	45.85	34.02	6.46	13.22	19.82	12.18	17.51	20.41	14.35	25.35	7.63	38.4	21.47	24.63	59.13	20.71	26.47	4.78	4.5	23.76	29.7	18.03	34.26	11.04	16.03	74.58	7.63	6.36	21.16	4.94	16.39	26.86	35.0	12.27	95.34	26.47	38.95	6.46	22.92	29.91	3.47	6.73	11.47	15.8	0.69	0.03
TARBP1	217.27	334.46	239.52	409.15	665.29	791.35	1023.0	348.71	780.44	961.07	878.17	684.02	444.72	854.13	483.38	384.34	1151.06	759.08	1250.98	836.53	559.28	1151.06	279.14	1551.09	620.67	642.59	791.35	1304.15	551.56	567.1	796.86	381.68	543.96	1037.29	1127.35	567.1	547.75	665.29	1199.98	1023.0	1498.22	802.41	1044.52	392.44	289.02	780.44	1594.73	500.46	769.69	775.05	368.65	1605.83	703.28	693.58	450.94	575.03	819.3	674.59	981.29	316.37	1594.73	503.95	1674.06	543.96	1088.92	612.11	329.84	237.86	341.51	251.48	153.34	226.54
TBCD	1143.1	878.17	438.59	1617.0	2032.85	2777.33	2645.74	1806.78	1781.89	2148.82	2193.99	2400.97	1242.34	3395.89	2032.85	2004.85	3349.13	1519.15	1857.6	2835.7	1870.53	2573.36	1487.87	3690.52	1963.57	2075.59	2664.15	2104.58	1651.0	1674.06	2520.38	1331.57	1628.26	2485.67	2335.28	1651.0	2335.28	2417.67	2224.63	2209.26	2451.44	2075.59	3081.75	1322.37	1963.57	2796.65	1806.78	1378.57	2520.38	1340.84	1617.0	2875.3	2664.15	2915.45	1697.45	2090.03	2075.59	2104.58	2956.17	1950.0	2485.67	2400.97	2835.7	1721.16	2271.4	1697.45	2018.8	1199.98	1733.13	1322.37	529.06	825.0
TJAP1	147.06	141.02	220.32	441.64	587.13	387.02	638.15	438.59	563.18	555.41	902.89	684.02	414.87	703.28	587.13	476.71	633.73	688.78	525.39	457.25	503.95	656.11	466.88	599.49	406.31	529.06	651.58	733.19	426.57	476.71	466.88	373.81	447.82	480.04	669.92	409.15	460.44	567.1	563.18	503.95	674.59	457.25	651.58	447.82	460.44	642.59	743.43	500.46	559.28	283.05	591.22	591.22	480.04	525.39	473.41	423.61	698.41	647.07	473.41	473.41	629.35	599.49	808.0	500.46	480.04	674.59	518.15	543.96	325.29	587.13	108.9	76.17
TMCO6	129.69	140.04	88.88	169.07	204.07	204.07	327.56	166.73	145.02	223.41	348.71	220.32	125.24	279.14	231.32	144.01	201.25	224.97	166.73	256.78	134.3	253.23	208.38	161.02	163.28	100.83	267.73	226.54	199.85	161.02	181.28	116.78	157.68	189.02	239.52	169.07	208.38	191.67	206.94	244.57	258.57	202.66	403.5	159.9	204.07	229.72	187.71	146.03	221.86	124.37	177.53	256.78	307.69	232.94	199.85	119.26	269.6	295.11	176.29	141.02	325.29	295.11	325.29	202.66	279.14	215.77	194.36	181.28	197.09	150.17	114.36	90.14
TMPRSS5	2.07	5.36	0.77	2.81	4.58	10.55	10.55	0.91	8.58	6.89	15.11	17.77	3.26	18.43	5.92	3.66	11.38	8.99	9.2	11.3	9.78	15.22	1.93	12.74	2.68	4.74	14.78	9.34	7.88	3.69	10.24	4.24	1.85	8.06	6.16	3.63	6.06	7.11	4.06	10.0	17.9	7.0	12.09	3.59	4.62	7.46	10.24	3.14	7.11	2.78	3.69	14.14	5.68	8.51	3.76	0.88	8.45	6.52	13.42	3.69	29.27	8.99	11.73	3.59	7.57	11.38	7.06	5.5	5.54	3.17	0.35	0.27
TNFRSF14	395.18	189.02	563.18	1242.34	2573.36	2997.45	2555.58	1745.2	1437.15	2384.37	3124.78	2645.74	1572.76	3395.89	2133.97	2855.44	1697.45	2915.45	3303.0	3443.31	1936.53	2682.69	1857.6	3847.29	1662.49	1233.75	2178.83	2895.31	1397.83	2271.4	1639.59	1417.35	1388.16	3039.3	2739.08	1662.49	2956.17	1977.24	2061.24	2255.7	4095.0	2178.83	3190.46	1081.39	2520.38	2976.74	3280.18	1697.45	2004.85	988.12	2047.0	3901.01	2468.49	3081.75	1896.65	1745.2	2573.36	2997.45	2224.63	2090.03	3847.29	2193.99	3168.41	2018.8	2777.33	2739.08	2004.85	1369.04	1963.57	1662.49	126.12	256.78
TSC2	400.71	591.22	435.55	1030.12	1437.15	1175.27	1697.45	1167.14	1242.34	1167.14	1909.85	1322.37	884.29	1991.0	1119.56	1417.35	1191.69	1397.83	1437.15	1331.57	1250.98	1447.15	1104.13	1832.01	974.5	1096.5	1340.84	1685.71	915.51	1015.93	1015.93	808.0	954.43	1572.76	1447.15	1143.1	1250.98	1498.22	1151.06	1183.45	1498.22	1015.93	1857.6	1088.92	1331.57	1331.57	1794.29	1191.69	1617.0	733.19	1233.75	1583.71	1594.73	1277.29	1023.0	1540.37	1427.22	1551.09	1322.37	1001.93	1561.89	1259.69	1769.57	1216.75	1639.59	1457.23	1159.07	1250.98	872.1	1081.39	234.57	583.07
TSNARE1	111.99	189.02	155.5	309.83	368.65	329.84	450.94	297.17	256.78	316.37	511.0	297.17	217.27	579.04	490.14	353.59	493.56	363.56	281.09	329.84	379.04	356.05	248.0	316.37	253.23	283.05	438.59	409.15	231.32	323.03	334.46	265.87	295.11	318.57	521.76	351.14	366.09	334.46	265.87	343.89	483.38	346.29	490.14	420.68	303.44	363.56	591.22	320.8	395.18	173.85	363.56	373.81	521.76	432.53	447.82	305.55	323.03	327.56	264.03	348.71	563.18	351.14	500.46	432.53	497.0	409.15	267.73	334.46	224.97	314.17	49.56	131.51
UBAP1L	21.63	14.14	4.46	28.65	27.64	49.91	49.91	15.8	22.92	38.4	106.63	31.0	11.3	97.36	46.18	19.39	62.12	53.19	46.18	59.97	35.25	75.64	22.92	91.41	12.09	41.52	35.5	75.64	24.46	18.7	48.52	8.45	17.51	44.89	57.08	25.17	33.54	35.25	33.78	45.85	90.77	28.04	76.71	16.88	21.16	46.18	87.03	19.82	29.7	12.27	28.65	83.45	45.53	38.67	22.26	12.93	53.95	61.25	61.68	25.54	121.79	54.33	116.78	21.63	50.98	67.12	21.16	28.86	12.93	18.56	1.11	21.78
URGCP	220.32	334.46	346.29	547.75	547.75	529.06	854.13	466.88	329.84	536.45	785.88	629.35	438.59	775.05	651.58	612.11	819.3	633.73	660.68	587.13	728.11	603.67	656.11	536.45	547.75	669.92	1044.52	688.78	463.65	595.34	563.18	638.15	536.45	684.02	819.3	587.13	638.15	674.59	595.34	518.15	693.58	532.74	674.59	603.67	555.41	555.41	830.75	603.67	612.11	441.64	688.78	669.92	633.73	647.07	563.18	476.71	603.67	669.92	551.56	575.03	769.69	693.58	738.29	595.34	642.59	665.29	536.45	571.05	511.0	583.07	191.67	221.86
