	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.A565.01A.31R.A28H.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	TCGA.AA.3527.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.ZYVF.2826.SM.5GIDK	GTEX.146FH.2426.SM.5Q5EW	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.XAJ8.0726.SM.47JY5	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZG7Y.1826.SM.4WWD3	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.AF.3400.11A.01R.A32Z.07	TCGA.FP.A4BF.01A.12R.A36D.31
SREBF2	1923.14	1216.75	1277.29	2119.22	1757.34	1757.34	2004.85	2664.15	2485.67	2956.17	2855.44	2609.3	3081.75	1909.85	2875.3	2739.08	2609.3	2400.97	2271.4	2835.7	2739.08	884.29	2502.97	2701.35	3325.99	3257.52	1936.53	1088.92	1467.37	1662.49	1781.89	3124.78	2367.9	2682.69	3060.45	3716.2	1832.01	1857.6	2796.65	2935.74	2351.53	3212.66	2004.85	1023.0	2400.97	3168.41	1397.83	2682.69	2075.59	3303.0	2384.37	967.76	2384.37	2935.74	2956.17	2816.11	1015.93	3124.78	2701.35	2287.2	2555.58	3103.19	1594.73	2032.85	2855.44	2287.2	2739.08	2609.3	2855.44	3212.66	1216.75	1151.06	2997.45	1030.12	2609.3	3039.3	2335.28	1378.57	2739.08	3146.52	2777.33	2915.45	1806.78	2855.44	3060.45	3103.19	2758.13	1697.45	3690.52	2485.67	3018.3	2485.67	2739.08	2855.44	1427.22	3018.3	2468.49	2193.99	2537.92	2502.97	1295.13	2915.45	1529.73	1551.09	2758.13	2555.58	2090.03	1127.35	3060.45	2609.3	2004.85	1651.0	2609.3	2193.99	2351.53	1883.54	1685.71	2468.49	1030.12	1388.16	2148.82	2193.99	2104.58	738.29
STRADB	733.19	595.34	647.07	575.03	830.75	688.78	616.37	1066.48	830.75	1467.37	1350.18	1119.56	1594.73	780.44	1119.56	1143.1	1051.79	909.17	743.43	1151.06	1208.34	543.96	1594.73	1685.71	1104.13	1709.26	791.35	414.87	470.14	698.41	660.68	1745.2	941.27	2061.24	1757.34	830.75	813.63	708.18	1427.22	1397.83	540.19	1407.55	728.11	441.64	1143.1	1733.13	406.31	1331.57	1088.92	961.07	616.37	483.38	830.75	1081.39	1127.35	1250.98	417.77	1583.71	1605.83	708.18	1135.2	1059.11	921.88	1674.06	1407.55	1697.45	1183.45	1369.04	1662.49	1572.76	371.22	483.38	1268.46	669.92	1008.9	1159.07	769.69	429.54	1467.37	1378.57	1819.35	1015.93	854.13	1437.15	1359.57	1088.92	1322.37	591.22	1008.9	1001.93	1508.65	902.89	1369.04	1322.37	497.0	1216.75	1037.29	723.08	1733.13	1617.0	454.09	1104.13	738.29	854.13	1662.49	1143.1	1030.12	420.68	2032.85	981.29	693.58	525.39	1369.04	759.08	934.76	743.43	579.04	1008.9	358.54	463.65	1781.89	1135.2	607.87	187.71
STRBP	182.55	480.04	1199.98	397.93	463.65	371.22	480.04	567.1	536.45	743.43	713.11	624.99	669.92	536.45	583.07	575.03	483.38	642.59	432.53	583.07	642.59	273.37	679.29	738.29	791.35	629.35	669.92	400.71	412.0	507.46	447.82	802.41	457.25	878.17	866.07	559.28	595.34	532.74	633.73	753.83	543.96	780.44	414.87	178.77	708.18	825.0	384.34	748.61	629.35	660.68	432.53	400.71	616.37	791.35	665.29	543.96	381.68	642.59	733.19	521.76	708.18	624.99	547.75	674.59	599.49	624.99	733.19	665.29	620.67	633.73	228.13	358.54	708.18	348.71	733.19	830.75	435.55	329.84	733.19	728.11	769.69	718.08	450.94	718.08	660.68	651.58	603.67	470.14	748.61	698.41	620.67	612.11	616.37	595.34	351.14	728.11	583.07	693.58	656.11	647.07	368.65	674.59	529.06	521.76	679.29	674.59	607.87	435.55	759.08	647.07	454.09	447.82	497.0	547.75	607.87	529.06	379.04	587.13	476.71	400.71	769.69	703.28	470.14	400.71
SWSAP1	54.72	32.36	67.12	64.8	81.14	63.0	49.91	80.01	99.43	110.43	113.56	96.01	107.38	88.26	98.04	97.36	100.83	90.14	81.71	105.89	64.34	65.72	72.52	125.24	112.77	123.5	95.34	51.35	88.88	91.41	81.71	111.99	101.54	106.63	120.94	77.79	78.34	60.39	106.63	89.51	72.01	120.94	76.71	63.0	98.73	105.15	72.01	141.02	111.21	72.01	72.52	61.68	98.04	72.52	81.14	83.45	77.79	87.65	105.15	81.71	100.83	115.16	73.03	81.14	108.9	86.43	96.68	88.26	111.99	111.21	27.64	80.01	105.89	54.72	100.83	111.99	78.89	52.08	90.77	96.01	102.97	123.5	75.11	100.83	136.19	96.68	85.82	56.68	105.89	92.7	115.97	92.7	88.88	96.01	57.08	105.15	88.88	80.57	135.24	100.83	73.03	98.73	77.25	67.59	92.7	115.16	75.11	57.08	102.25	111.99	74.58	76.17	66.65	88.88	73.54	79.45	70.51	85.22	50.98	58.71	112.77	85.22	100.13	82.87
SYNE2	361.04	713.11	1594.73	1104.13	947.83	660.68	1096.5	1378.57	1508.65	2075.59	2178.83	1044.52	2004.85	1407.55	1331.57	1551.09	1277.29	1447.15	1340.84	1508.65	1447.15	1191.69	1369.04	1936.53	1651.0	1923.14	1037.29	368.65	808.0	1167.14	1143.1	1819.35	896.64	1066.48	1896.65	1378.57	1417.35	934.76	1529.73	2434.5	928.3	1519.15	1030.12	2061.24	1685.71	1857.6	665.29	1651.0	1313.23	1467.37	728.11	909.17	1167.14	1617.0	1437.15	1519.15	674.59	1909.85	1757.34	988.12	1561.89	1628.26	1551.09	1832.01	2271.4	1508.65	1769.57	1617.0	1769.57	2485.67	1104.13	995.0	2047.0	1073.91	1508.65	1883.54	1268.46	713.11	1896.65	2240.11	1883.54	1721.16	1151.06	2193.99	1769.57	1427.22	1378.57	878.17	1427.22	1498.22	1806.78	872.1	1674.06	1991.0	890.44	1936.53	1216.75	1477.58	1583.71	1923.14	780.44	1519.15	1286.18	1286.18	2224.63	1844.76	1286.18	688.78	1923.14	1561.89	1127.35	921.88	1498.22	988.12	1870.53	1037.29	1242.34	1540.37	438.59	728.11	1950.0	1286.18	1331.57	808.0
TCEA3	1119.56	1572.76	848.22	2240.11	3515.68	1806.78	3039.3	6561.36	5555.65	5872.48	7180.15	5555.65	6079.61	6337.83	5076.84	6121.9	3820.7	4869.99	5147.73	6037.61	6164.49	1936.53	7331.05	7230.1	5791.62	6294.04	5255.91	1529.73	2720.15	3280.18	2915.45	6561.36	3190.46	4123.49	6887.62	3901.01	2855.44	2178.83	6164.49	7130.55	2485.67	7589.61	2240.11	373.81	6294.04	7382.04	2119.22	7331.05	4903.87	4903.87	3190.46	1977.24	4038.61	3690.52	5479.15	4388.98	1963.57	5183.54	5292.48	3235.01	5555.65	5594.3	3955.48	4450.27	7081.29	5292.48	5872.48	8022.41	7081.29	8078.22	591.22	2485.67	6887.62	1909.85	4298.64	6840.04	3039.3	1216.75	5872.48	6471.02	5633.22	6337.83	3665.02	9215.48	7485.11	5183.54	5403.7	1963.57	4575.41	7230.1	8022.41	3982.99	5006.93	7130.55	1477.58	7032.37	5366.37	4671.57	8363.13	5006.93	819.3	7032.37	4450.27	3847.29	9344.14	7642.41	4066.71	1167.14	5441.3	7642.41	4481.23	2287.2	5403.7	3928.15	4836.35	4358.66	1977.24	4268.94	1508.65	1745.2	6935.54	6471.02	2739.08	291.04
THAP4	1313.23	1037.29	967.76	1950.0	2935.74	1561.89	1674.06	2384.37	1794.29	2255.7	2739.08	2451.44	1745.2	2193.99	1757.34	2209.26	1794.29	2133.97	2240.11	2555.58	2303.12	1268.46	1857.6	2537.92	2351.53	2335.28	1757.34	1250.98	1806.78	1883.54	1487.87	2119.22	1359.57	2032.85	2335.28	1745.2	1709.26	1685.71	2367.9	2319.15	1651.0	2591.27	1561.89	1151.06	2133.97	2609.3	1313.23	2287.2	2255.7	2148.82	1572.76	1225.22	1769.57	1685.71	1794.29	2047.0	1540.37	2400.97	1977.24	1437.15	2148.82	1745.2	1745.2	2163.77	2367.9	1963.57	2303.12	2520.38	2835.7	2627.46	1340.84	1794.29	2018.8	1119.56	1757.34	2255.7	1963.57	1199.98	2004.85	2417.67	2271.4	2271.4	1697.45	2591.27	2758.13	1781.89	2148.82	1709.26	2255.7	1896.65	2609.3	1572.76	2271.4	2367.9	1225.22	2434.5	1896.65	2032.85	2537.92	1806.78	1313.23	2835.7	1674.06	1540.37	2193.99	2319.15	1936.53	1427.22	2061.24	2664.15	1883.54	1259.69	2047.0	1923.14	1844.76	1870.53	1159.07	1674.06	2018.8	1540.37	2271.4	2255.7	1781.89	764.36
TMEM61	713.11	309.83	20.26	78.34	81.71	106.63	132.44	293.07	260.38	698.41	974.5	273.37	532.74	267.73	536.45	309.83	432.53	486.75	269.6	334.46	438.59	59.97	204.07	435.55	830.75	480.04	414.87	87.65	154.42	156.59	255.0	551.56	253.23	688.78	848.22	318.57	242.88	195.72	480.04	579.04	583.07	723.08	176.29	42.41	460.44	620.67	130.6	633.73	507.46	780.44	142.01	23.42	599.49	551.56	295.11	473.41	40.93	728.11	620.67	204.07	312.0	473.41	90.14	327.56	813.63	470.14	379.04	447.82	1143.1	769.69	0.0	66.65	432.53	41.22	490.14	334.46	334.46	64.8	612.11	543.96	583.07	341.51	173.85	708.18	341.51	379.04	473.41	142.01	567.1	314.17	718.08	158.79	842.36	403.5	182.55	791.35	236.21	470.14	555.41	460.44	112.77	718.08	172.65	108.9	483.38	638.15	228.13	66.65	395.18	525.39	177.53	98.73	543.96	271.48	271.48	209.84	113.56	265.87	28.04	75.64	769.69	299.25	98.73	9.41
TMEM98	1378.57	1225.22	1617.0	1674.06	2645.74	1697.45	1794.29	4298.64	3419.52	4239.45	4836.35	4903.87	4298.64	3768.09	3742.05	4298.64	2895.31	3716.2	3443.31	3716.2	3901.01	1883.54	4328.55	4869.99	3928.15	4328.55	3515.68	2104.58	2271.4	2758.13	1844.76	4210.15	2384.37	4239.45	4388.98	3303.0	2384.37	1857.6	3665.02	3874.05	2018.8	4388.98	2335.28	1427.22	4298.64	4181.07	1819.35	3395.89	2976.74	3060.45	3103.19	2555.58	2816.11	4512.4	4639.29	2796.65	1923.14	3955.48	4869.99	2855.44	4095.0	4210.15	2875.3	3419.52	4512.4	4575.41	4671.57	4836.35	4903.87	5219.6	947.83	2163.77	3901.01	1745.2	2855.44	3928.15	3060.45	1286.18	3955.48	4095.0	4639.29	4358.66	3168.41	4358.66	4038.61	3564.78	3768.09	2485.67	3794.3	3982.99	4066.71	2816.11	3018.3	4066.71	1819.35	3564.78	3395.89	3742.05	5791.62	3665.02	947.83	3589.58	2739.08	3124.78	5147.73	4038.61	3124.78	1417.35	4419.52	5831.91	3540.14	2018.8	4328.55	3280.18	3372.43	2816.11	2240.11	3081.75	1617.0	1498.22	4210.15	2915.45	2555.58	813.63
UGT2A3	27.05	182.55	152.28	195.72	341.51	149.12	231.32	3303.0	2018.8	4869.99	5112.16	2720.15	4802.93	3190.46	2976.74	3212.66	2319.15	4543.8	2303.12	5076.84	3665.02	223.41	4903.87	5006.93	4123.49	5366.37	2351.53	368.65	836.53	2178.83	1216.75	8598.28	1350.18	4802.93	7180.15	2835.7	2485.67	1407.55	5076.84	5672.41	1191.69	3303.0	1191.69	327.56	3419.52	5329.3	395.18	2502.97	2855.44	3794.3	3190.46	180.02	1208.34	2875.3	5112.16	3325.99	403.5	4268.94	4671.57	1508.65	3124.78	3395.89	2777.33	4450.27	6840.04	4607.24	4903.87	5995.9	4298.64	6516.03	45.85	351.14	4481.23	96.01	2855.44	3820.7	1844.76	234.57	5913.33	5831.91	5219.6	4937.99	2271.4	5711.87	4152.18	2816.11	5403.7	2240.11	4152.18	3419.52	4066.71	1628.26	3820.7	4575.41	967.76	5517.27	2520.38	2193.99	4038.61	4181.07	2090.03	4769.75	2287.2	3564.78	6935.54	5041.77	3491.39	279.14	4239.45	4210.15	2434.5	651.58	3124.78	2351.53	3928.15	2855.44	283.05	3060.45	314.17	684.02	4239.45	4268.94	303.44	11.47
VAV3	90.14	172.65	555.41	395.18	698.41	579.04	507.46	2796.65	1295.13	3168.41	3395.89	1551.09	2287.2	2090.03	2061.24	2682.69	1572.76	2209.26	1143.1	2287.2	2417.67	339.14	3280.18	2855.44	2319.15	3081.75	1340.84	224.97	567.1	1883.54	813.63	3325.99	981.29	2664.15	3257.52	1639.59	1340.84	1313.23	2645.74	3955.48	1008.9	1819.35	848.22	265.87	2271.4	3794.3	466.88	2816.11	1378.57	1883.54	1268.46	316.37	1135.2	2739.08	3419.52	1745.2	241.19	2193.99	2855.44	1088.92	3168.41	2645.74	1950.0	1896.65	3168.41	2591.27	3303.0	3325.99	3639.7	4298.64	119.26	583.07	2956.17	379.04	2018.8	2645.74	723.08	248.0	2895.31	3190.46	3589.58	3039.3	1259.69	3614.55	3039.3	1781.89	2400.97	1051.79	3039.3	2915.45	2758.13	1467.37	2400.97	3794.3	473.41	2855.44	1923.14	1561.89	3280.18	2335.28	154.42	1857.6	1561.89	1487.87	3768.09	2682.69	1697.45	193.01	3716.2	2335.28	1662.49	575.03	1378.57	915.51	2417.67	1427.22	514.56	2287.2	204.07	518.15	3589.58	2061.24	525.39	38.12
ZNF552	74.06	117.6	212.78	165.57	226.54	167.9	256.78	301.33	299.25	397.93	368.65	277.2	346.29	244.57	353.59	297.17	376.41	348.71	244.57	297.17	371.22	95.34	371.22	353.59	420.68	366.09	260.38	141.02	158.79	346.29	244.57	450.94	258.57	336.79	457.25	320.8	353.59	182.55	348.71	423.61	189.02	400.71	206.94	115.97	423.61	591.22	182.55	356.05	260.38	236.21	334.46	96.01	269.6	346.29	358.54	327.56	99.43	470.14	381.68	218.79	267.73	309.83	226.54	395.18	444.72	329.84	373.81	426.57	514.56	540.19	109.66	157.68	423.61	175.07	376.41	400.71	277.2	143.01	389.72	346.29	486.75	363.56	232.94	403.5	420.68	279.14	450.94	220.32	267.73	353.59	470.14	246.28	348.71	318.57	178.77	305.55	256.78	229.72	463.65	423.61	148.09	346.29	291.04	336.79	429.54	429.54	255.0	124.37	351.14	297.17	262.2	193.01	244.57	209.84	312.0	195.72	182.55	305.55	123.5	159.9	483.38	371.22	208.38	201.25
