	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.13YAN.0926.SM.5O9C3	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.14C38.0826.SM.5S2U8	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
CPNE8	35.5	24.11	94.01	20.11	22.26	9.7	53.95	20.41	11.38	35.0	25.35	5.15	120.94	65.26	17.13	67.12	73.03	17.9	36.79	267.73	212.78	246.28	194.36	231.32	205.5	165.57	140.04	316.37	356.05	143.01	273.37	336.79	236.21	305.55	241.19	260.38	320.8	312.0	229.72	312.0	277.2	253.23	356.05	287.01	307.69	244.57	255.0	368.65	297.17	303.44	253.23	253.23	289.02	265.87	281.09	323.03	285.03	232.94	220.32	204.07	224.97	197.09	198.47	194.36	195.72	215.77	199.85	199.85	198.47	189.02	197.09	104.42	0.0	154.42	289.02	135.24	329.84	177.53	237.86	193.01	163.28	117.6	115.97	145.02	283.05	194.36	165.57
DLAT	248.0	229.72	366.09	204.07	693.58	301.33	170.25	332.14	178.77	122.64	258.57	395.18	258.57	384.34	297.17	299.25	211.31	325.29	295.11	358.54	842.36	698.41	743.43	909.17	1685.71	540.19	1096.5	808.0	995.0	1191.69	1088.92	417.77	830.75	1001.93	1023.0	866.07	808.0	825.0	836.53	1073.91	967.76	836.53	1037.29	785.88	1051.79	967.76	995.0	1001.93	808.0	802.41	748.61	928.3	796.86	954.43	759.08	915.51	753.83	693.58	753.83	708.18	860.08	866.07	796.86	764.36	780.44	796.86	854.13	674.59	775.05	679.29	819.3	299.25	0.0	420.68	381.68	279.14	279.14	473.41	497.0	366.09	441.64	457.25	314.17	429.54	356.05	318.57	438.59
DMTN	381.68	241.19	64.34	493.56	297.17	220.32	173.85	95.34	532.74	76.17	169.07	28.65	674.59	392.44	285.03	921.88	46.18	8.32	85.82	1167.14	1662.49	1096.5	1628.26	1583.71	1167.14	2997.45	3515.68	3168.41	2384.37	2796.65	3168.41	473.41	1457.23	1487.87	1467.37	1572.76	1286.18	1369.04	1331.57	1721.16	1594.73	1639.59	1340.84	1119.56	1519.15	1832.01	1427.22	1769.57	1617.0	1199.98	1721.16	2018.8	884.29	1268.46	1127.35	1001.93	1407.55	1572.76	2018.8	1674.06	1183.45	1936.53	2032.85	2163.77	1923.14	1781.89	1963.57	1721.16	1617.0	1991.0	1991.0	2319.15	0.0	1304.15	1286.18	1540.37	1104.13	909.17	1259.69	1104.13	1617.0	1781.89	1963.57	1487.87	1081.39	961.07	1127.35
DNAJC6	3.44	0.68	2.81	0.99	2.41	2.97	5.45	1.17	1.85	5.36	1.89	38.67	5.41	5.96	15.45	3.56	4.5	1.28	32.82	46.18	204.07	204.07	155.5	169.07	503.95	66.18	187.71	435.55	199.85	231.32	232.94	224.97	236.21	336.79	149.12	190.34	258.57	172.65	303.44	318.57	242.88	180.02	234.57	172.65	301.33	264.03	182.55	283.05	169.07	152.28	258.57	264.03	163.28	141.02	148.09	173.85	167.9	127.89	208.38	212.78	209.84	198.47	228.13	116.78	265.87	283.05	303.44	136.19	205.5	197.09	208.38	7.57	0.0	30.12	24.81	7.63	24.63	37.85	33.3	27.84	23.25	25.91	12.83	28.65	50.63	14.56	17.51
ESRRG	5.77	4.86	11.04	10.71	4.78	1.13	34.51	0.4	0.62	1.28	0.0	5.32	13.72	19.97	7.57	42.71	2.41	0.33	0.36	16.15	543.96	387.02	420.68	444.72	2004.85	336.79	684.02	571.05	563.18	1242.34	1066.48	186.4	532.74	1073.91	954.43	785.88	748.61	620.67	559.28	1151.06	738.29	688.78	1023.0	603.67	866.07	954.43	866.07	995.0	808.0	616.37	629.35	995.0	473.41	698.41	429.54	559.28	575.03	376.41	559.28	438.59	536.45	629.35	656.11	620.67	529.06	599.49	674.59	483.38	420.68	521.76	521.76	11.04	0.0	61.68	29.06	14.35	84.04	76.71	24.63	149.12	82.29	70.01	67.12	56.68	34.02	88.26	31.67
EVC	37.85	18.56	36.27	68.07	57.89	20.71	21.94	103.69	10.16	8.32	33.06	3.66	7.22	73.03	3.59	25.35	8.0	9.48	44.25	129.69	1073.91	318.57	571.05	327.56	1001.93	241.19	1127.35	1167.14	1073.91	497.0	486.75	205.5	450.94	638.15	450.94	500.46	500.46	389.72	595.34	764.36	473.41	432.53	669.92	423.61	796.86	819.3	403.5	684.02	651.58	563.18	713.11	791.35	297.17	486.75	507.46	463.65	703.28	305.55	559.28	728.11	567.1	647.07	995.0	603.67	759.08	624.99	802.41	723.08	802.41	836.53	703.28	101.54	0.0	186.4	167.9	147.06	224.97	249.73	172.65	251.48	277.2	157.68	332.14	244.57	150.17	157.68	202.66
FAM134A	1233.75	1662.49	1143.1	1697.45	1991.0	1819.35	1151.06	1832.01	1088.92	1044.52	1721.16	1417.35	1388.16	2417.67	1378.57	2720.15	1617.0	769.69	1551.09	1044.52	2816.11	2434.5	2502.97	2367.9	1844.76	3168.41	3491.39	3491.39	3467.27	3614.55	4481.23	2400.97	2835.7	3146.52	2645.74	2451.44	2682.69	2240.11	3103.19	3060.45	2573.36	2739.08	2645.74	2502.97	2816.11	2915.45	2997.45	2664.15	2468.49	2720.15	2777.33	2956.17	2777.33	3280.18	2303.12	2935.74	2895.31	2434.5	2855.44	2627.46	2701.35	3018.3	3103.19	3280.18	2956.17	3168.41	3081.75	2956.17	2591.27	3257.52	3039.3	1651.0	0.0	2682.69	2163.77	2835.7	2664.15	3212.66	2591.27	2796.65	3146.52	2351.53	3124.78	2895.31	2417.67	2178.83	2855.44
FAM171A1	55.89	9.56	23.08	161.02	33.3	33.54	90.77	98.04	40.07	61.68	49.21	11.73	46.84	84.63	163.28	118.43	50.27	12.64	42.41	323.03	1001.93	444.72	728.11	579.04	218.79	802.41	854.13	813.63	2468.49	1277.29	1191.69	124.37	429.54	995.0	995.0	961.07	884.29	603.67	647.07	1259.69	748.61	947.83	1051.79	409.15	1051.79	1242.34	1277.29	954.43	854.13	733.19	698.41	1340.84	454.09	748.61	563.18	743.43	842.36	947.83	981.29	703.28	543.96	1096.5	1331.57	1208.34	642.59	624.99	921.88	866.07	693.58	981.29	866.07	215.77	0.0	291.04	92.05	90.77	98.04	173.85	137.14	171.45	185.11	142.01	182.55	212.78	327.56	126.12	120.94
FBXL4	78.89	108.9	111.99	84.63	158.79	67.12	53.19	87.65	85.22	146.03	82.87	175.07	90.77	139.07	100.83	120.1	88.26	33.3	144.01	92.05	307.69	264.03	189.02	241.19	379.04	183.82	231.32	295.11	447.82	417.77	214.27	241.19	242.88	297.17	260.38	283.05	329.84	303.44	281.09	392.44	303.44	271.48	366.09	248.0	387.02	295.11	329.84	361.04	325.29	297.17	325.29	312.0	285.03	283.05	214.27	279.14	307.69	244.57	267.73	231.32	226.54	299.25	323.03	242.88	244.57	253.23	303.44	246.28	279.14	221.86	299.25	98.04	0.0	193.01	190.34	153.34	248.0	231.32	237.86	226.54	269.6	166.73	201.25	201.25	155.5	193.01	220.32
FBXO3	291.04	323.03	275.28	234.57	312.0	275.28	277.2	212.78	392.44	387.02	229.72	346.29	291.04	486.75	299.25	293.07	339.14	165.57	320.8	595.34	954.43	1183.45	872.1	995.0	1250.98	860.08	1096.5	1015.93	1561.89	1350.18	738.29	1127.35	1096.5	1208.34	947.83	974.5	1081.39	1051.79	1250.98	1313.23	1225.22	1175.27	1151.06	1242.34	1268.46	1151.06	1216.75	1151.06	1104.13	1259.69	1457.23	1066.48	1233.75	961.07	928.3	1268.46	1104.13	1037.29	941.27	947.83	1135.2	954.43	1023.0	909.17	954.43	1066.48	1225.22	813.63	884.29	1001.93	1143.1	305.55	0.0	728.11	612.11	409.15	753.83	808.0	638.15	743.43	769.69	785.88	463.65	808.0	743.43	529.06	775.05
FECH	147.06	90.77	356.05	86.43	409.15	122.64	181.28	241.19	190.34	183.82	103.69	167.9	139.07	400.71	198.47	166.73	358.54	189.02	281.09	483.38	1477.58	1135.2	1008.9	1685.71	1832.01	902.89	1519.15	1437.15	1561.89	1498.22	1583.71	536.45	1225.22	1322.37	1340.84	1832.01	1066.48	915.51	1477.58	2047.0	1295.13	1225.22	1685.71	1242.34	1457.23	2119.22	1963.57	1745.2	669.92	1540.37	1477.58	2193.99	693.58	1167.14	796.86	759.08	1388.16	1407.55	1857.6	775.05	1059.11	1662.49	1909.85	1023.0	1639.59	896.64	2047.0	1066.48	1159.07	902.89	1397.83	303.44	260.38	363.56	334.46	303.44	236.21	356.05	325.29	358.54	412.0	629.35	264.03	438.59	329.84	299.25	551.56
FGD4	40.93	48.87	51.71	20.41	59.55	19.53	21.16	65.72	23.42	22.1	38.4	27.44	53.19	55.49	15.91	51.35	17.64	24.99	34.26	157.68	249.73	134.3	186.4	137.14	129.69	140.04	181.28	312.0	373.81	318.57	139.07	159.9	218.79	379.04	205.5	224.97	226.54	279.14	253.23	343.89	301.33	214.27	318.57	185.11	353.59	323.03	291.04	293.07	265.87	239.52	246.28	307.69	231.32	199.85	217.27	229.72	283.05	133.36	185.11	217.27	190.34	208.38	246.28	234.57	199.85	166.73	242.88	220.32	295.11	193.01	206.94	87.03	96.01	90.77	146.03	101.54	171.45	178.77	217.27	170.25	100.83	115.16	93.35	124.37	162.14	138.1	118.43
FGL2	74.06	3.96	6.94	15.91	55.49	111.99	127.89	111.21	8.32	47.5	29.27	22.1	24.11	155.5	2.12	61.68	107.38	84.63	34.26	728.11	1225.22	723.08	1208.34	728.11	521.76	896.64	395.18	476.71	2018.8	1340.84	1819.35	967.76	633.73	884.29	1304.15	1001.93	1340.84	1447.15	1233.75	1008.9	1081.39	1397.83	1066.48	1397.83	1127.35	1508.65	954.43	961.07	1030.12	967.76	995.0	1059.11	2915.45	1508.65	1909.85	2240.11	1529.73	1295.13	738.29	1540.37	884.29	1135.2	1066.48	1073.91	563.18	921.88	748.61	684.02	1175.27	688.78	1277.29	176.29	0.0	483.38	180.02	454.09	460.44	336.79	295.11	193.01	723.08	275.28	371.22	514.56	68.07	470.14	183.82
FHOD3	43.94	148.09	100.13	186.4	106.63	514.56	144.01	633.73	54.72	130.6	151.22	450.94	67.12	177.53	24.28	54.72	356.05	33.54	285.03	285.03	703.28	273.37	974.5	624.99	813.63	320.8	603.67	579.04	723.08	529.06	1561.89	620.67	651.58	860.08	684.02	551.56	656.11	1008.9	647.07	785.88	848.22	785.88	819.3	454.09	802.41	738.29	748.61	599.49	878.17	819.3	559.28	723.08	511.0	928.3	583.07	607.87	624.99	555.41	656.11	860.08	616.37	647.07	723.08	688.78	733.19	703.28	753.83	713.11	665.29	688.78	688.78	70.01	0.0	77.79	82.87	13.03	43.63	173.85	12.27	157.68	33.3	52.08	66.18	145.02	111.99	49.91	66.18
GLYR1	866.07	543.96	647.07	414.87	651.58	693.58	796.86	633.73	332.14	775.05	403.5	642.59	518.15	1023.0	819.3	848.22	860.08	486.75	808.0	1639.59	1909.85	1030.12	1551.09	1388.16	2047.0	1242.34	2178.83	1963.57	1963.57	1819.35	1936.53	1216.75	1388.16	1709.26	1427.22	1457.23	1313.23	1427.22	1447.15	1757.34	1662.49	1407.55	1721.16	1216.75	1794.29	1781.89	1605.83	1709.26	1551.09	1437.15	1277.29	1662.49	1151.06	1498.22	1378.57	1313.23	1551.09	1037.29	1540.37	1572.76	1508.65	1551.09	1757.34	1457.23	1685.71	1417.35	1651.0	1477.58	1651.0	1477.58	1605.83	444.72	802.41	1030.12	1477.58	890.44	1001.93	967.76	1331.57	974.5	1175.27	1397.83	842.36	1225.22	1066.48	1397.83	1437.15
GOT1	532.74	780.44	764.36	414.87	629.35	616.37	679.29	796.86	1407.55	624.99	521.76	1008.9	420.68	571.05	429.54	591.22	603.67	743.43	457.25	579.04	3874.05	6037.61	3419.52	5112.16	5112.16	3982.99	9673.69	7280.4	7966.99	9740.98	6471.02	2573.36	5219.6	4903.87	3982.99	3901.01	3639.7	3540.14	4268.94	4419.52	5112.16	3955.48	4298.64	4181.07	4481.23	4268.94	4736.79	4268.94	3955.48	4239.45	4066.71	4543.8	3168.41	5954.47	3168.41	3768.09	3768.09	4152.18	4639.29	3124.78	4704.07	5292.48	3928.15	4543.8	4358.66	4736.79	4481.23	4038.61	4388.98	3820.7	4298.64	8022.41	0.0	961.07	651.58	974.5	454.09	514.56	896.64	493.56	497.0	1340.84	525.39	633.73	567.1	500.46	1208.34
GPX3	135693.24	11035.54	483.38	198.47	19618.49	265.87	728.11	318.57	56265.94	836.53	540.19	241.19	2796.65	703.28	212.78	130165.62	848.22	201.25	1030.12	275175.93	353168.2	783730.52	391864.76	394590.4	417089.23	305326.92	299043.36	378516.38	182810.84	212926.09	355624.68	492579.5	736332.6	434801.29	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	400098.69	383800.28	389157.95	472513.8	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	320506.81	0.0	244588.0	197294.7	195931.88	546551.29	499455.67	204252.32	419990.32	405683.88	320506.81	334117.42	313910.86	428815.23	249727.34	513497.31
GUCY1A3	33.78	4.62	29.06	5.5	109.66	31.22	42.71	32.82	17.13	64.34	41.22	21.78	31.0	80.57	72.52	48.87	65.72	17.0	40.93	356.05	563.18	244.57	314.17	281.09	271.48	153.34	96.01	208.38	587.13	178.77	208.38	909.17	281.09	361.04	158.79	387.02	438.59	460.44	400.71	629.35	275.28	277.2	480.04	312.0	412.0	395.18	381.68	438.59	368.65	389.72	463.65	441.64	808.0	353.59	463.65	438.59	547.75	241.19	251.48	450.94	236.21	323.03	463.65	287.01	269.6	332.14	287.01	314.17	595.34	221.86	309.83	221.86	0.0	189.02	87.03	52.45	75.64	376.41	59.97	68.55	177.53	81.71	57.49	187.71	175.07	74.06	87.65
HIPK2	43.02	15.68	98.73	36.79	51.35	15.68	41.52	62.56	30.12	34.02	39.22	59.55	96.01	143.01	90.14	107.38	44.25	59.55	27.05	198.47	808.0	341.51	642.59	373.81	902.89	575.03	825.0	1127.35	743.43	909.17	1088.92	785.88	813.63	1313.23	947.83	988.12	1001.93	642.59	679.29	1250.98	860.08	633.73	1151.06	595.34	1225.22	1119.56	1001.93	1304.15	1199.98	753.83	708.18	1111.82	463.65	830.75	775.05	599.49	1066.48	295.11	813.63	684.02	718.08	981.29	896.64	1037.29	947.83	866.07	941.27	775.05	1059.11	941.27	808.0	131.51	57.89	220.32	309.83	432.53	412.0	258.57	366.09	376.41	214.27	176.29	473.41	223.41	255.0	180.02	312.0
HOXC10	6.21	0.0	334.46	0.0	172.65	1.16	0.78	3.5	0.35	1.95	341.51	215.77	19.97	3.06	229.72	17.38	1.77	9.48	4.1	1.46	1143.1	1369.04	1066.48	1340.84	4802.93	620.67	559.28	1001.93	1487.87	1369.04	1051.79	2240.11	1519.15	1529.73	974.5	1104.13	1135.2	866.07	1242.34	1259.69	1242.34	1225.22	1369.04	1286.18	1407.55	1378.57	1286.18	1250.98	1167.14	1059.11	1551.09	1225.22	967.76	1216.75	808.0	1081.39	1159.07	1295.13	1023.0	1066.48	1175.27	1135.2	1529.73	1250.98	1111.82	1467.37	1175.27	1175.27	995.0	1322.37	1322.37	0.64	0.0	0.0	0.0	0.0	0.0	10.0	1.81	0.78	0.0	0.0	2.61	0.09	1.99	4.17	0.09
ISPD	11.55	15.11	7.17	2.89	25.72	1.51	14.78	2.34	8.51	9.13	28.65	17.13	14.14	19.39	10.24	17.25	8.25	0.34	13.03	17.51	63.0	56.28	51.71	59.97	108.14	24.11	74.06	66.65	87.65	65.72	81.14	47.84	40.36	66.65	50.98	48.18	64.8	63.45	98.04	65.72	67.59	64.34	48.87	62.12	68.07	57.08	68.07	48.18	51.35	55.49	79.45	56.28	54.72	61.68	55.49	46.84	69.52	53.95	45.21	45.21	59.13	47.84	51.71	34.26	52.08	53.95	64.34	45.85	58.3	55.49	59.97	20.11	0.0	17.64	12.27	9.85	6.62	9.7	12.74	13.32	24.11	13.52	6.78	11.91	7.4	4.9	11.04
ITFG1	1001.93	368.65	1008.9	612.11	819.3	441.64	796.86	785.88	1594.73	693.58	660.68	748.61	599.49	954.43	607.87	988.12	842.36	514.56	1268.46	629.35	1883.54	1242.34	1662.49	1519.15	1561.89	1242.34	1685.71	2193.99	3190.46	2240.11	1662.49	2209.26	1417.35	1561.89	1487.87	1583.71	1794.29	1857.6	1857.6	1733.13	1781.89	1745.2	1832.01	1340.84	2004.85	1617.0	1733.13	1651.0	1540.37	1651.0	1397.83	1572.76	1769.57	1561.89	2032.85	2075.59	1781.89	1844.76	1417.35	1583.71	1769.57	1583.71	1605.83	1467.37	1617.0	1594.73	1757.34	1417.35	1651.0	1369.04	1733.13	1844.76	0.0	1369.04	1008.9	1127.35	1304.15	1259.69	1143.1	1397.83	1286.18	1277.29	1208.34	1407.55	1175.27	1037.29	1183.45
ITPR2	22.92	24.28	34.02	11.21	31.67	13.03	21.16	35.25	93.35	23.93	35.5	16.39	48.87	80.57	15.34	27.64	39.22	17.25	31.67	139.07	307.69	128.79	249.73	138.1	178.77	236.21	571.05	161.02	518.15	825.0	698.41	170.25	271.48	503.95	450.94	273.37	334.46	269.6	320.8	555.41	356.05	291.04	450.94	182.55	490.14	400.71	438.59	438.59	429.54	279.14	211.31	457.25	251.48	384.34	297.17	329.84	420.68	91.41	241.19	366.09	293.07	297.17	353.59	366.09	356.05	318.57	409.15	249.73	368.65	353.59	381.68	125.24	0.0	87.65	97.36	40.36	87.65	94.67	186.4	123.5	97.36	117.6	70.51	159.9	82.29	72.01	136.19
KAZN	166.73	148.09	258.57	171.45	110.43	165.57	312.0	262.2	46.84	305.55	185.11	412.0	145.02	201.25	126.12	325.29	49.21	9.85	303.44	173.85	660.68	348.71	483.38	395.18	753.83	293.07	301.33	854.13	679.29	293.07	470.14	167.9	441.64	454.09	529.06	543.96	563.18	444.72	483.38	529.06	476.71	460.44	490.14	334.46	551.56	629.35	447.82	551.56	591.22	409.15	414.87	583.07	265.87	325.29	420.68	414.87	470.14	521.76	543.96	518.15	281.09	454.09	642.59	551.56	361.04	603.67	447.82	514.56	575.03	514.56	525.39	47.17	0.0	309.83	287.01	185.11	171.45	260.38	246.28	403.5	202.66	236.21	155.5	215.77	688.78	473.41	293.07
KBTBD11	9.56	0.35	2.51	15.45	28.65	1.87	17.64	3.86	13.03	65.26	2.25	29.91	70.51	56.68	15.11	4.74	3.82	1.58	4.39	65.72	366.09	204.07	395.18	204.07	301.33	165.57	493.56	1250.98	884.29	802.41	166.73	283.05	387.02	620.67	295.11	339.14	316.37	323.03	441.64	551.56	420.68	403.5	521.76	373.81	392.44	490.14	500.46	473.41	409.15	287.01	332.14	403.5	271.48	329.84	309.83	366.09	332.14	271.48	305.55	293.07	417.77	400.71	414.87	323.03	395.18	414.87	392.44	293.07	305.55	253.23	327.56	323.03	0.0	72.01	69.03	75.11	43.63	63.89	148.09	21.78	64.34	80.01	73.54	149.12	45.21	62.56	53.95
KIF3B	299.25	144.01	571.05	209.84	591.22	253.23	220.32	178.77	267.73	285.03	381.68	248.0	441.64	457.25	381.68	202.66	320.8	260.38	291.04	373.81	1037.29	583.07	974.5	688.78	2075.59	896.64	1242.34	1096.5	1183.45	1159.07	1096.5	934.76	961.07	1397.83	1208.34	1233.75	1127.35	902.89	1023.0	1378.57	1088.92	909.17	1313.23	753.83	1295.13	1001.93	1250.98	1304.15	1369.04	1015.93	872.1	1313.23	708.18	1001.93	915.51	974.5	1225.22	642.59	915.51	909.17	1037.29	928.3	1119.56	1044.52	967.76	1059.11	1151.06	967.76	1001.93	988.12	1159.07	265.87	249.73	483.38	403.5	395.18	417.77	441.64	406.31	403.5	447.82	381.68	708.18	356.05	336.79	376.41	435.55
KLHL32	2.05	0.97	4.31	0.96	1.36	0.38	0.73	0.78	0.31	4.06	2.2	0.89	3.35	5.28	4.35	1.19	3.08	0.0	2.34	5.96	44.25	37.59	38.12	30.78	99.43	39.5	49.56	40.93	62.12	153.34	78.34	60.39	47.17	60.39	41.22	46.84	47.17	34.02	47.5	58.71	46.5	47.5	58.3	54.33	59.55	47.84	55.49	48.87	39.22	49.91	58.71	54.72	36.27	43.32	29.06	40.93	45.21	40.64	46.18	40.93	44.57	38.67	51.35	42.41	38.95	44.57	62.56	39.79	24.81	43.02	37.85	1.99	0.0	15.56	14.45	6.84	13.22	26.67	10.71	31.0	34.75	13.62	24.99	10.31	15.56	5.82	31.45
LEPROT	665.29	536.45	896.64	629.35	1151.06	486.75	684.02	819.3	629.35	532.74	660.68	981.29	974.5	1427.22	579.04	1015.93	723.08	353.59	1286.18	1216.75	2645.74	2417.67	2335.28	2956.17	2061.24	1001.93	1457.23	4268.94	3303.0	1745.2	2573.36	2796.65	2335.28	1794.29	1870.53	1832.01	2451.44	2627.46	3103.19	2627.46	2485.67	2255.7	2573.36	2451.44	2351.53	2537.92	2075.59	2224.63	2178.83	2303.12	3325.99	2148.82	3018.3	2104.58	2835.7	3081.75	2335.28	2018.8	2133.97	2335.28	1936.53	1745.2	2335.28	1662.49	2004.85	2178.83	2224.63	2018.8	2335.28	1794.29	1991.0	633.73	1359.57	1225.22	1529.73	1167.14	2209.26	1447.15	1467.37	1733.13	1437.15	1350.18	884.29	1369.04	1350.18	1498.22	1268.46
LMAN2L	447.82	231.32	301.33	305.55	532.74	353.59	177.53	414.87	463.65	293.07	246.28	389.72	435.55	366.09	529.06	358.54	293.07	275.28	232.94	283.05	603.67	463.65	476.71	559.28	414.87	915.51	967.76	718.08	836.53	896.64	684.02	825.0	473.41	500.46	483.38	447.82	540.19	603.67	660.68	543.96	555.41	693.58	629.35	511.0	591.22	525.39	669.92	507.46	616.37	607.87	624.99	633.73	575.03	567.1	575.03	620.67	607.87	540.19	540.19	518.15	599.49	575.03	769.69	571.05	579.04	559.28	624.99	514.56	575.03	638.15	665.29	234.57	0.0	769.69	483.38	381.68	454.09	813.63	536.45	647.07	785.88	397.93	647.07	543.96	406.31	490.14	638.15
MAP9	11.04	0.69	45.53	31.45	8.65	7.11	20.71	30.56	2.51	94.67	22.26	101.54	92.05	34.51	57.89	7.17	102.97	1.31	27.84	93.35	195.72	94.01	171.45	139.07	389.72	155.5	103.69	185.11	258.57	267.73	381.68	111.99	127.89	185.11	173.85	195.72	195.72	199.85	157.68	269.6	176.29	141.02	239.52	140.04	231.32	256.78	211.31	223.41	215.77	202.66	165.57	173.85	199.85	156.59	190.34	205.5	202.66	120.94	152.28	149.12	158.79	154.42	183.82	172.65	137.14	176.29	173.85	147.06	140.04	115.97	151.22	35.5	88.88	128.79	105.89	69.52	109.66	128.79	152.28	161.02	199.85	109.66	116.78	137.14	88.26	103.69	147.06
MIPEP	470.14	813.63	277.2	297.17	343.89	412.0	525.39	348.71	198.47	336.79	447.82	332.14	684.02	429.54	329.84	353.59	559.28	309.83	339.14	293.07	896.64	825.0	759.08	1008.9	1111.82	713.11	759.08	1135.2	1183.45	1286.18	785.88	559.28	842.36	860.08	753.83	928.3	890.44	878.17	1066.48	954.43	902.89	954.43	819.3	988.12	954.43	934.76	1008.9	981.29	802.41	866.07	884.29	928.3	1001.93	890.44	775.05	890.44	813.63	967.76	775.05	909.17	1037.29	902.89	819.3	713.11	860.08	1059.11	1037.29	708.18	878.17	791.35	954.43	525.39	0.0	400.71	251.48	267.73	206.94	397.93	277.2	384.34	381.68	438.59	242.88	409.15	353.59	236.21	293.07
