	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
CSDE1	6699.25	4704.07	3103.19	5292.48	7230.1	3794.3	4671.57	3928.15	4481.23	8363.13	3928.15	5403.7	6471.02	4607.24	5366.37	5751.61	6426.31	5006.93	4869.99	4095.0	4607.24	5517.27	4152.18	4010.71	5076.84	5479.15	4575.41	4210.15	4010.71	6164.49	6121.9	5441.3	4802.93	4639.29	6471.02	6381.92	2555.58	3257.52	4704.07	4450.27	7537.18	4607.24	5329.3	4298.64	5076.84	4639.29	4512.4	5954.47	5441.3	6121.9	4450.27	3874.05	5672.41	5633.22	3847.29	6561.36	6471.02	4268.94	4869.99	6792.79	3372.43	4736.79	6652.97	4903.87	5183.54	5219.6	4607.24	3982.99	3443.31	1963.57	4543.8	3540.14	3124.78	4481.23	3124.78	4869.99	4038.61	6037.61	5366.37	5872.48	7589.61	5219.6	6745.86	7230.1
CTNND1	2777.33	2485.67	1295.13	2417.67	3491.39	1909.85	1896.65	1950.0	2271.4	3212.66	1870.53	1950.0	2997.45	1769.57	1923.14	2875.3	2240.11	1977.24	1896.65	1594.73	2485.67	2018.8	2555.58	1467.37	1844.76	2701.35	2018.8	2163.77	1583.71	2451.44	2434.5	2451.44	2303.12	2148.82	2502.97	2417.67	1242.34	1073.91	2400.97	1286.18	3168.41	1295.13	2133.97	1883.54	2209.26	1498.22	2018.8	1991.0	2335.28	2367.9	1709.26	1806.78	3325.99	2075.59	1794.29	2434.5	2434.5	2178.83	1991.0	3168.41	1529.73	2485.67	2997.45	1963.57	2018.8	2209.26	2018.8	1757.34	2255.7	1745.2	1950.0	1806.78	2468.49	1417.35	1963.57	2090.03	1662.49	2520.38	2384.37	2287.2	2796.65	1844.76	2627.46	2468.49
CYB5R4	218.79	118.43	30.34	215.77	195.72	142.01	97.36	116.78	103.69	264.03	72.52	143.01	271.48	52.45	118.43	175.07	142.01	84.04	59.13	68.55	106.63	115.16	123.5	57.89	119.26	277.2	131.51	139.07	92.7	211.31	132.44	224.97	194.36	96.68	167.9	132.44	52.45	114.36	155.5	73.03	320.8	66.65	204.07	78.89	93.35	82.29	141.02	152.28	166.73	163.28	107.38	70.01	271.48	175.07	87.03	189.02	169.07	71.0	166.73	161.02	60.82	148.09	236.21	70.51	115.16	165.57	110.43	87.65	154.42	75.64	95.34	152.28	50.63	78.89	66.65	85.22	98.04	147.06	142.01	155.5	244.57	121.79	242.88	152.28
CYLD	480.04	262.2	198.47	283.05	363.56	214.27	202.66	182.55	332.14	543.96	283.05	312.0	409.15	279.14	289.02	339.14	279.14	287.01	173.85	166.73	297.17	236.21	271.48	214.27	189.02	480.04	287.01	208.38	195.72	264.03	341.51	348.71	251.48	287.01	447.82	368.65	143.01	146.03	281.09	217.27	447.82	172.65	279.14	217.27	185.11	229.72	303.44	232.94	323.03	253.23	220.32	229.72	447.82	289.02	223.41	460.44	429.54	260.38	249.73	341.51	186.4	209.84	395.18	164.42	262.2	334.46	220.32	232.94	249.73	249.73	258.57	212.78	206.94	165.57	195.72	181.28	193.01	320.8	295.11	318.57	521.76	244.57	389.72	426.57
DCP1A	273.37	186.4	96.01	153.34	320.8	119.26	117.6	187.71	204.07	236.21	152.28	127.89	283.05	145.02	201.25	226.54	191.67	134.3	161.02	138.1	143.01	165.57	126.12	137.14	161.02	221.86	178.77	124.37	113.56	202.66	164.42	206.94	186.4	165.57	189.02	217.27	80.57	96.01	159.9	73.03	271.48	114.36	165.57	194.36	163.28	155.5	146.03	177.53	195.72	195.72	127.0	187.71	325.29	170.25	127.0	211.31	231.32	158.79	187.71	256.78	82.87	159.9	229.72	120.1	140.04	255.0	153.34	98.73	237.86	134.3	172.65	85.82	143.01	152.28	92.7	166.73	130.6	231.32	221.86	180.02	289.02	128.79	226.54	255.0
DDX46	660.68	480.04	287.01	480.04	813.63	438.59	299.25	473.41	511.0	660.68	529.06	466.88	669.92	258.57	514.56	633.73	514.56	384.34	466.88	387.02	493.56	341.51	500.46	327.56	348.71	738.29	551.56	511.0	493.56	684.02	579.04	511.0	483.38	587.13	536.45	587.13	281.09	297.17	555.41	275.28	819.3	327.56	483.38	339.14	476.71	412.0	463.65	595.34	591.22	511.0	412.0	473.41	693.58	575.03	412.0	693.58	567.1	480.04	575.03	669.92	314.17	540.19	708.18	239.52	463.65	500.46	466.88	384.34	466.88	384.34	358.54	271.48	376.41	412.0	400.71	529.06	432.53	599.49	587.13	514.56	693.58	299.25	656.11	616.37
DDX6	1044.52	507.46	156.59	540.19	1127.35	432.53	348.71	476.71	460.44	1286.18	353.59	511.0	1167.14	320.8	555.41	764.36	769.69	409.15	536.45	371.22	559.28	507.46	511.0	309.83	444.72	629.35	603.67	460.44	246.28	693.58	540.19	836.53	603.67	595.34	802.41	796.86	167.9	157.68	497.0	201.25	1225.22	173.85	607.87	547.75	358.54	341.51	412.0	511.0	866.07	679.29	348.71	438.59	1183.45	571.05	348.71	1023.0	860.08	547.75	656.11	981.29	197.09	493.56	1167.14	363.56	417.77	575.03	389.72	323.03	555.41	392.44	543.96	289.02	291.04	371.22	314.17	525.39	312.0	872.1	563.18	759.08	1001.93	351.14	775.05	836.53
DENND4C	518.15	265.87	119.26	309.83	723.08	218.79	260.38	320.8	232.94	723.08	295.11	287.01	607.87	197.09	366.09	473.41	381.68	255.0	237.86	239.52	336.79	285.03	361.04	186.4	211.31	447.82	303.44	275.28	239.52	348.71	373.81	417.77	525.39	346.29	392.44	450.94	88.26	120.1	361.04	141.02	748.61	167.9	325.29	231.32	297.17	217.27	242.88	312.0	389.72	403.5	239.52	279.14	525.39	363.56	208.38	503.95	447.82	303.44	381.68	665.29	181.28	332.14	665.29	199.85	264.03	251.48	275.28	185.11	336.79	178.77	314.17	153.34	277.2	198.47	220.32	373.81	226.54	493.56	341.51	406.31	536.45	212.78	397.93	470.14
DENND6A	202.66	126.12	70.51	143.01	255.0	101.54	148.09	169.07	122.64	358.54	195.72	133.36	267.73	125.24	181.28	202.66	167.9	146.03	157.68	97.36	118.43	162.14	171.45	94.67	111.99	191.67	118.43	104.42	137.14	195.72	149.12	198.47	221.86	140.04	170.25	167.9	82.87	93.35	155.5	114.36	273.37	102.25	198.47	124.37	147.06	128.79	159.9	231.32	205.5	163.28	92.7	145.02	175.07	180.02	129.69	229.72	193.01	124.37	166.73	223.41	68.07	149.12	363.56	126.12	163.28	170.25	137.14	137.14	170.25	143.01	119.26	134.3	134.3	169.07	99.43	151.22	118.43	209.84	142.01	143.01	301.33	132.44	206.94	241.19
DHX40	616.37	483.38	301.33	493.56	764.36	346.29	414.87	397.93	435.55	775.05	591.22	450.94	629.35	329.84	483.38	591.22	486.75	435.55	483.38	379.04	480.04	486.75	325.29	371.22	435.55	738.29	435.55	483.38	381.68	540.19	555.41	620.67	387.02	532.74	532.74	703.28	260.38	267.73	450.94	366.09	733.19	454.09	587.13	532.74	547.75	483.38	432.53	748.61	497.0	599.49	397.93	412.0	693.58	567.1	366.09	660.68	555.41	417.77	447.82	674.59	285.03	529.06	688.78	457.25	420.68	603.67	414.87	423.61	503.95	412.0	463.65	348.71	403.5	392.44	351.14	429.54	351.14	591.22	525.39	529.06	638.15	454.09	703.28	669.92
DLG1	759.08	403.5	241.19	532.74	775.05	336.79	314.17	414.87	403.5	878.17	420.68	426.57	909.17	351.14	473.41	638.15	629.35	406.31	463.65	327.56	457.25	348.71	525.39	366.09	371.22	633.73	473.41	500.46	412.0	674.59	293.07	713.11	518.15	507.46	518.15	587.13	255.0	232.94	486.75	305.55	890.44	231.32	688.78	493.56	447.82	336.79	476.71	587.13	595.34	599.49	368.65	309.83	738.29	559.28	366.09	693.58	665.29	470.14	571.05	764.36	287.01	480.04	616.37	242.88	423.61	624.99	426.57	409.15	575.03	368.65	438.59	307.69	511.0	358.54	341.51	547.75	381.68	708.18	536.45	620.67	718.08	373.81	660.68	629.35
DPP8	327.56	189.02	85.82	218.79	325.29	156.59	144.01	140.04	185.11	363.56	166.73	185.11	339.14	142.01	199.85	237.86	176.29	173.85	175.07	132.44	176.29	167.9	218.79	138.1	117.6	297.17	221.86	186.4	142.01	262.2	211.31	273.37	199.85	186.4	220.32	234.57	71.5	94.67	223.41	102.97	351.14	115.97	201.25	165.57	180.02	172.65	195.72	147.06	258.57	209.84	146.03	148.09	307.69	218.79	136.19	283.05	297.17	206.94	224.97	277.2	110.43	190.34	334.46	132.44	193.01	255.0	173.85	163.28	180.02	159.9	156.59	106.63	147.06	140.04	159.9	178.77	127.89	314.17	224.97	265.87	395.18	150.17	262.2	353.59
DYRK1A	802.41	521.76	267.73	555.41	830.75	460.44	435.55	532.74	497.0	775.05	454.09	547.75	629.35	432.53	490.14	665.29	583.07	397.93	540.19	400.71	500.46	540.19	624.99	353.59	414.87	743.43	500.46	403.5	409.15	629.35	476.71	759.08	500.46	473.41	647.07	698.41	127.0	283.05	490.14	295.11	808.0	358.54	514.56	476.71	476.71	480.04	483.38	486.75	638.15	651.58	387.02	486.75	872.1	551.56	392.44	738.29	660.68	559.28	525.39	796.86	293.07	490.14	802.41	381.68	490.14	466.88	441.64	447.82	529.06	397.93	483.38	412.0	392.44	361.04	450.94	432.53	384.34	775.05	555.41	599.49	791.35	417.77	713.11	642.59
ELF1	915.51	748.61	133.36	575.03	1199.98	206.94	642.59	540.19	708.18	967.76	540.19	616.37	967.76	486.75	420.68	769.69	397.93	361.04	511.0	281.09	525.39	620.67	409.15	358.54	400.71	1008.9	723.08	285.03	389.72	435.55	866.07	836.53	547.75	423.61	780.44	748.61	115.16	209.84	748.61	237.86	988.12	277.2	441.64	361.04	351.14	409.15	679.29	660.68	612.11	703.28	343.89	567.1	1051.79	559.28	351.14	830.75	848.22	414.87	473.41	703.28	249.73	363.56	1037.29	289.02	507.46	684.02	525.39	373.81	470.14	218.79	366.09	287.01	500.46	339.14	503.95	567.1	287.01	928.3	688.78	669.92	1127.35	612.11	909.17	1023.0
ERCC6L2	511.0	329.84	102.97	269.6	629.35	232.94	181.28	297.17	269.6	525.39	244.57	224.97	532.74	157.68	325.29	318.57	264.03	232.94	218.79	177.53	223.41	260.38	297.17	159.9	166.73	329.84	260.38	191.67	191.67	314.17	255.0	320.8	253.23	277.2	305.55	353.59	104.42	94.01	262.2	135.24	529.06	105.15	332.14	299.25	234.57	239.52	258.57	258.57	368.65	336.79	191.67	211.31	435.55	353.59	155.5	426.57	447.82	231.32	279.14	426.57	103.69	237.86	438.59	119.26	242.88	384.34	199.85	145.02	231.32	154.42	249.73	139.07	163.28	191.67	183.82	195.72	159.9	444.72	325.29	353.59	633.73	165.57	460.44	463.65
ERLIN1	571.05	316.37	180.02	376.41	583.07	279.14	248.0	314.17	289.02	511.0	251.48	361.04	500.46	172.65	339.14	444.72	429.54	154.42	228.13	299.25	361.04	318.57	361.04	218.79	215.77	387.02	329.84	348.71	262.2	271.48	381.68	476.71	173.85	400.71	316.37	466.88	146.03	145.02	363.56	176.29	547.75	186.4	281.09	197.09	339.14	301.33	218.79	353.59	444.72	409.15	327.56	277.2	490.14	332.14	277.2	490.14	403.5	277.2	312.0	500.46	165.57	361.04	708.18	159.9	264.03	432.53	277.2	275.28	343.89	208.38	239.52	234.57	236.21	206.94	241.19	297.17	234.57	486.75	384.34	457.25	500.46	314.17	466.88	473.41
ESYT2	915.51	536.45	275.28	575.03	860.08	466.88	529.06	555.41	591.22	1127.35	389.72	463.65	995.0	457.25	591.22	660.68	684.02	493.56	896.64	759.08	551.56	521.76	748.61	341.51	483.38	567.1	525.39	435.55	454.09	703.28	684.02	693.58	612.11	490.14	607.87	591.22	283.05	273.37	450.94	392.44	848.22	320.8	555.41	480.04	603.67	507.46	497.0	575.03	693.58	647.07	470.14	476.71	693.58	633.73	457.25	688.78	890.44	490.14	521.76	902.89	297.17	473.41	733.19	356.05	507.46	890.44	476.71	463.65	511.0	376.41	507.46	417.77	400.71	417.77	435.55	529.06	373.81	698.41	633.73	583.07	902.89	463.65	808.0	934.76
ETV3	303.44	224.97	87.03	182.55	395.18	82.87	190.34	320.8	194.36	309.83	229.72	241.19	353.59	187.71	181.28	297.17	214.27	177.53	218.79	121.79	107.38	249.73	171.45	173.85	159.9	307.69	209.84	89.51	137.14	253.23	181.28	265.87	289.02	186.4	218.79	264.03	89.51	97.36	264.03	93.35	299.25	134.3	195.72	234.57	186.4	155.5	193.01	185.11	256.78	264.03	101.54	218.79	307.69	209.84	142.01	295.11	289.02	223.41	244.57	309.83	127.89	172.65	293.07	159.9	209.84	271.48	208.38	204.07	221.86	162.14	177.53	122.64	102.25	165.57	197.09	171.45	191.67	343.89	327.56	277.2	353.59	187.71	312.0	267.73
FAM114A2	435.55	277.2	223.41	368.65	426.57	318.57	262.2	260.38	234.57	450.94	299.25	291.04	409.15	212.78	271.48	325.29	366.09	265.87	309.83	206.94	332.14	248.0	244.57	202.66	277.2	420.68	299.25	279.14	320.8	323.03	351.14	334.46	287.01	297.17	361.04	387.02	217.27	187.71	275.28	275.28	423.61	248.0	334.46	256.78	273.37	264.03	232.94	305.55	384.34	366.09	305.55	228.13	417.77	384.34	275.28	387.02	381.68	264.03	289.02	346.29	241.19	327.56	395.18	271.48	269.6	476.71	267.73	241.19	264.03	329.84	376.41	246.28	178.77	301.33	256.78	249.73	277.2	265.87	329.84	295.11	389.72	253.23	381.68	366.09
FEM1B	470.14	283.05	166.73	275.28	507.46	211.31	287.01	271.48	291.04	607.87	255.0	262.2	450.94	255.0	273.37	400.71	265.87	242.88	273.37	191.67	221.86	373.81	223.41	169.07	253.23	348.71	215.77	214.27	241.19	258.57	295.11	392.44	264.03	258.57	460.44	426.57	135.24	164.42	299.25	239.52	532.74	186.4	336.79	258.57	265.87	229.72	248.0	301.33	371.22	323.03	220.32	221.86	397.93	291.04	211.31	567.1	429.54	239.52	281.09	381.68	183.82	224.97	497.0	293.07	307.69	356.05	262.2	228.13	281.09	215.77	277.2	197.09	218.79	236.21	201.25	251.48	204.07	518.15	373.81	403.5	612.11	353.59	414.87	563.18
FIGNL1	101.54	42.41	38.4	67.59	108.14	83.45	54.33	56.28	46.84	162.14	81.14	73.03	130.6	75.11	77.79	79.45	69.52	96.68	54.33	125.24	71.0	53.57	67.12	57.89	63.45	122.64	61.68	60.82	68.55	102.97	71.5	73.03	61.68	94.01	105.89	119.26	35.0	33.54	58.3	43.02	121.79	44.57	111.99	76.17	82.29	33.78	58.71	82.87	104.42	78.34	50.98	94.01	107.38	88.26	53.19	111.99	107.38	69.52	59.13	121.79	46.84	63.0	147.06	43.94	64.34	82.29	55.89	63.0	146.03	60.82	71.0	49.21	100.13	53.57	55.89	64.34	70.01	117.6	75.64	71.5	165.57	78.89	80.01	101.54
FNDC3B	620.67	285.03	110.43	318.57	543.96	145.02	336.79	212.78	400.71	656.11	194.36	221.86	620.67	191.67	356.05	341.51	356.05	202.66	256.78	178.77	215.77	246.28	400.71	195.72	277.2	368.65	287.01	187.71	199.85	616.37	435.55	575.03	285.03	271.48	351.14	281.09	108.9	115.97	228.13	157.68	457.25	194.36	376.41	201.25	320.8	221.86	265.87	264.03	384.34	389.72	183.82	134.3	540.19	303.44	185.11	358.54	555.41	249.73	249.73	547.75	166.73	232.94	947.83	212.78	228.13	532.74	191.67	223.41	241.19	197.09	348.71	163.28	208.38	182.55	202.66	529.06	232.94	555.41	373.81	366.09	612.11	211.31	384.34	536.45
FOXN2	157.68	79.45	45.21	92.7	206.94	68.55	85.82	76.71	63.89	260.38	51.71	71.0	189.02	75.64	91.41	109.66	147.06	57.49	102.97	57.08	90.77	72.52	102.25	61.68	90.14	124.37	70.51	71.5	60.82	158.79	106.63	128.79	76.71	100.83	140.04	156.59	41.52	41.22	72.01	59.97	211.31	33.54	108.9	177.53	75.64	93.35	87.03	100.13	137.14	75.11	63.0	52.82	132.44	95.34	59.97	147.06	116.78	125.24	95.34	158.79	35.0	70.01	191.67	100.83	78.34	175.07	63.0	67.12	109.66	35.76	98.04	60.39	92.7	71.5	52.45	112.77	55.49	116.78	69.03	75.64	155.5	73.03	92.05	155.5
FTO	743.43	389.72	208.38	595.34	733.19	343.89	368.65	212.78	323.03	825.0	346.29	457.25	647.07	314.17	384.34	599.49	540.19	429.54	289.02	197.09	406.31	629.35	575.03	189.02	486.75	511.0	309.83	348.71	198.47	591.22	351.14	603.67	454.09	486.75	575.03	665.29	108.9	125.24	500.46	215.77	718.08	187.71	493.56	297.17	346.29	246.28	389.72	281.09	620.67	616.37	332.14	332.14	698.41	507.46	334.46	660.68	764.36	271.48	417.77	642.59	199.85	389.72	780.44	432.53	441.64	638.15	414.87	275.28	339.14	429.54	441.64	236.21	176.29	231.32	255.0	403.5	320.8	674.59	476.71	620.67	934.76	406.31	679.29	954.43
FYTTD1	1216.75	780.44	343.89	884.29	1175.27	633.73	579.04	733.19	728.11	1286.18	638.15	769.69	1135.2	674.59	866.07	995.0	1023.0	607.87	890.44	529.06	688.78	674.59	674.59	486.75	733.19	967.76	848.22	583.07	490.14	928.3	728.11	1159.07	595.34	703.28	1081.39	915.51	371.22	412.0	743.43	507.46	1208.34	447.82	860.08	1008.9	703.28	703.28	728.11	995.0	934.76	748.61	460.44	532.74	967.76	909.17	536.45	1159.07	896.64	669.92	738.29	1015.93	463.65	713.11	836.53	356.05	679.29	802.41	642.59	708.18	660.68	796.86	642.59	543.96	555.41	559.28	514.56	808.0	575.03	934.76	656.11	830.75	1340.84	743.43	1044.52	1369.04
GAB1	234.57	61.68	18.56	76.17	228.13	59.97	69.52	67.12	71.5	264.03	69.52	77.79	220.32	52.08	130.6	156.59	102.25	75.64	77.79	42.71	52.45	120.1	107.38	48.87	53.95	136.19	53.95	79.45	73.03	118.43	95.34	132.44	108.14	64.34	123.5	136.19	6.89	29.48	78.89	53.57	190.34	53.95	127.89	71.0	93.35	64.34	85.82	107.38	121.79	130.6	80.57	77.79	138.1	106.63	61.68	157.68	212.78	86.43	97.36	229.72	44.57	82.87	167.9	60.82	88.26	234.57	147.06	48.87	85.22	44.57	99.43	46.84	82.29	63.0	57.89	79.45	54.33	162.14	127.0	137.14	236.21	93.35	147.06	204.07
GABPA	309.83	198.47	94.01	176.29	460.44	129.69	202.66	206.94	186.4	457.25	221.86	178.77	251.48	171.45	220.32	287.01	258.57	199.85	249.73	157.68	185.11	183.82	190.34	158.79	158.79	361.04	199.85	182.55	199.85	262.2	264.03	229.72	165.57	198.47	303.44	325.29	82.29	108.9	198.47	144.01	417.77	167.9	287.01	198.47	201.25	186.4	226.54	277.2	262.2	214.27	120.94	161.02	287.01	211.31	147.06	339.14	241.19	220.32	205.5	301.33	125.24	176.29	381.68	187.71	195.72	154.42	202.66	201.25	236.21	140.04	191.67	115.97	173.85	198.47	201.25	199.85	173.85	273.37	212.78	239.52	348.71	208.38	256.78	366.09
GAPVD1	406.31	171.45	112.77	195.72	423.61	182.55	172.65	204.07	199.85	291.04	173.85	190.34	361.04	186.4	232.94	318.57	231.32	194.36	248.0	143.01	218.79	185.11	195.72	151.22	164.42	264.03	237.86	181.28	180.02	267.73	232.94	204.07	170.25	255.0	232.94	256.78	98.04	105.15	258.57	137.14	341.51	127.0	232.94	214.27	215.77	182.55	201.25	246.28	279.14	232.94	166.73	201.25	373.81	180.02	190.34	299.25	297.17	212.78	229.72	271.48	117.6	190.34	281.09	115.16	208.38	303.44	237.86	176.29	246.28	164.42	204.07	130.6	201.25	164.42	164.42	204.07	143.01	299.25	221.86	241.19	392.44	161.02	277.2	334.46
GBE1	392.44	255.0	190.34	371.22	457.25	172.65	273.37	220.32	198.47	674.59	303.44	248.0	463.65	218.79	190.34	325.29	329.84	260.38	277.2	84.63	432.53	215.77	329.84	185.11	232.94	327.56	218.79	279.14	251.48	366.09	540.19	277.2	366.09	264.03	209.84	497.0	77.25	135.24	258.57	170.25	435.55	241.19	314.17	127.0	244.57	224.97	204.07	289.02	314.17	339.14	231.32	204.07	289.02	348.71	251.48	406.31	346.29	249.73	265.87	420.68	145.02	303.44	373.81	142.01	226.54	511.0	269.6	305.55	202.66	195.72	289.02	182.55	115.16	185.11	244.57	305.55	248.0	303.44	301.33	327.56	397.93	260.38	366.09	441.64
GEMIN5	183.82	159.9	98.73	137.14	205.5	111.21	156.59	130.6	158.79	228.13	129.69	150.17	197.09	130.6	158.79	157.68	157.68	151.22	117.6	131.51	204.07	171.45	90.14	72.52	146.03	165.57	159.9	128.79	115.97	127.89	133.36	189.02	150.17	156.59	186.4	190.34	105.15	111.99	124.37	130.6	191.67	119.26	138.1	138.1	161.02	131.51	115.16	157.68	167.9	169.07	136.19	161.02	199.85	130.6	127.89	190.34	201.25	135.24	142.01	185.11	121.79	150.17	189.02	110.43	145.02	214.27	144.01	115.97	152.28	137.14	143.01	108.14	108.9	143.01	107.38	147.06	128.79	175.07	167.9	177.53	223.41	139.07	197.09	204.07
GNA13	476.71	339.14	112.77	253.23	571.05	152.28	265.87	265.87	305.55	571.05	208.38	237.86	490.14	229.72	283.05	397.93	316.37	205.5	241.19	195.72	202.66	320.8	249.73	208.38	237.86	381.68	251.48	153.34	181.28	327.56	346.29	353.59	265.87	215.77	438.59	329.84	77.25	157.68	260.38	183.82	571.05	125.24	303.44	251.48	209.84	208.38	251.48	348.71	305.55	327.56	186.4	220.32	329.84	299.25	185.11	423.61	384.34	221.86	258.57	353.59	131.51	208.38	493.56	277.2	253.23	291.04	221.86	165.57	262.2	169.07	205.5	152.28	201.25	234.57	173.85	253.23	193.01	423.61	262.2	314.17	503.95	289.02	429.54	551.56
GOLIM4	463.65	237.86	122.64	305.55	493.56	191.67	234.57	221.86	187.71	486.75	339.14	303.44	476.71	314.17	379.04	376.41	361.04	223.41	303.44	193.01	299.25	318.57	318.57	139.07	295.11	351.14	264.03	318.57	241.19	381.68	460.44	395.18	325.29	265.87	356.05	473.41	65.72	118.43	226.54	202.66	476.71	187.71	366.09	197.09	265.87	229.72	332.14	295.11	343.89	356.05	172.65	205.5	283.05	251.48	205.5	320.8	441.64	265.87	332.14	616.37	186.4	267.73	718.08	348.71	275.28	417.77	205.5	287.01	309.83	155.5	232.94	156.59	118.43	181.28	204.07	249.73	255.0	429.54	400.71	289.02	624.99	236.21	432.53	441.64
GSK3B	450.94	265.87	177.53	312.0	476.71	218.79	307.69	323.03	291.04	454.09	251.48	248.0	587.13	211.31	279.14	363.56	379.04	234.57	244.57	242.88	281.09	249.73	361.04	140.04	275.28	336.79	275.28	242.88	202.66	607.87	341.51	389.72	327.56	291.04	255.0	432.53	172.65	162.14	248.0	273.37	529.06	159.9	234.57	269.6	251.48	214.27	239.52	281.09	356.05	327.56	249.73	232.94	414.87	332.14	209.84	387.02	384.34	253.23	307.69	567.1	155.5	323.03	511.0	305.55	242.88	271.48	232.94	251.48	323.03	289.02	371.22	220.32	237.86	231.32	248.0	353.59	231.32	336.79	281.09	320.8	376.41	209.84	281.09	318.57
GTF3C3	267.73	206.94	69.03	239.52	447.82	183.82	164.42	176.29	181.28	444.72	218.79	195.72	368.65	119.26	223.41	267.73	242.88	177.53	191.67	172.65	197.09	140.04	231.32	139.07	176.29	358.54	187.71	202.66	201.25	275.28	258.57	255.0	226.54	251.48	249.73	273.37	133.36	167.9	231.32	161.02	409.15	186.4	269.6	223.41	221.86	146.03	197.09	258.57	265.87	231.32	176.29	232.94	301.33	275.28	193.01	320.8	236.21	239.52	273.37	332.14	138.1	264.03	400.71	208.38	224.97	251.48	199.85	194.36	231.32	157.68	171.45	134.3	215.77	197.09	209.84	180.02	223.41	265.87	264.03	211.31	312.0	157.68	297.17	258.57
