	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3362.01A.02R.1325.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B0.5693.01A.11R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5585.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B0.5099.01A.01R.1420.07	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.BP.4332.01A.01R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.BP.4164.01A.02R.1325.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.BP.4784.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.B0.4816.01A.01R.1503.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B0.5106.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CJ.4878.01A.01R.1305.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.DV.A4W0.01A.11R.A266.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.4771.01A.01R.1289.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4824.01A.01R.1277.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.CZ.5982.01A.11R.1672.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07
IL10RA	67.12	3.92	463.65	269.6	1417.35	151.22	327.56	183.82	473.41	101.54	66.65	150.17	624.99	269.6	432.53	1896.65	967.76	312.0	738.29	1417.35	139.07	447.82	866.07	703.28	1551.09	98.04	137.14	187.71	231.32	2287.2	260.38	466.88	231.32	902.89	293.07	271.48	231.32	87.65	287.01	497.0	1662.49	540.19	212.78	2061.24	279.14	1030.12	258.57	232.94	59.13	1030.12	511.0	130.6	450.94	878.17	988.12	1059.11	242.88	1651.0	547.75	358.54	616.37	211.31	320.8	314.17	414.87	133.36	220.32	135.24	255.0	248.0	1104.13	1225.22	1175.27	221.86	587.13	314.17	223.41	185.11	2351.53	599.49	1008.9	353.59	141.02	2417.67	872.1	486.75	890.44	836.53	301.33	150.17	748.61	124.37	579.04	348.71	954.43	246.28	197.09	314.17	571.05
IL12RB1	29.48	0.68	48.18	80.57	242.88	34.26	66.18	25.17	106.63	21.32	12.55	51.35	98.73	38.4	95.34	309.83	248.0	66.18	80.57	301.33	45.53	96.68	170.25	143.01	256.78	14.78	36.27	46.5	49.91	547.75	55.89	74.58	65.72	162.14	26.86	44.57	100.83	31.9	83.45	92.7	283.05	165.57	42.41	463.65	59.13	109.66	56.28	83.45	11.91	141.02	68.07	45.53	143.01	122.64	185.11	329.84	46.5	438.59	87.65	94.67	147.06	32.82	64.34	62.56	111.99	33.78	43.32	35.0	88.26	58.3	237.86	208.38	241.19	35.0	133.36	51.35	68.55	26.86	490.14	97.36	295.11	133.36	60.82	536.45	153.34	88.26	152.28	208.38	75.11	31.45	189.02	35.76	172.65	30.12	198.47	69.03	27.44	45.53	115.16
JAK3	44.57	8.06	77.79	106.63	218.79	63.89	220.32	17.25	514.56	70.51	189.02	76.71	193.01	47.17	112.77	713.11	536.45	591.22	234.57	825.0	96.01	291.04	507.46	305.55	297.17	381.68	41.81	42.11	144.01	728.11	248.0	264.03	134.3	902.89	194.36	79.45	113.56	217.27	76.17	81.71	389.72	371.22	74.58	536.45	248.0	480.04	70.01	195.72	128.79	193.01	303.44	69.03	260.38	470.14	525.39	521.76	214.27	854.13	182.55	151.22	591.22	70.01	379.04	140.04	232.94	129.69	64.8	231.32	185.11	182.55	249.73	228.13	336.79	158.79	171.45	53.19	438.59	40.64	733.19	457.25	299.25	145.02	133.36	848.22	483.38	275.28	228.13	775.05	140.04	108.14	414.87	265.87	525.39	361.04	339.14	231.32	104.42	84.04	275.28
LAT2	29.48	16.27	206.94	217.27	529.06	120.94	447.82	135.24	423.61	49.91	53.57	127.89	387.02	146.03	412.0	796.86	314.17	323.03	688.78	941.27	157.68	669.92	733.19	392.44	698.41	117.6	187.71	157.68	236.21	1250.98	181.28	769.69	234.57	450.94	159.9	209.84	194.36	139.07	176.29	260.38	500.46	387.02	244.57	1151.06	279.14	595.34	336.79	124.37	54.33	1111.82	536.45	138.1	271.48	854.13	575.03	547.75	175.07	1167.14	490.14	231.32	563.18	180.02	314.17	275.28	426.57	226.54	161.02	92.05	262.2	204.07	624.99	728.11	563.18	253.23	412.0	194.36	244.57	124.37	866.07	432.53	679.29	483.38	228.13	890.44	525.39	384.34	454.09	521.76	234.57	115.97	480.04	97.36	356.05	201.25	490.14	89.51	181.28	190.34	414.87
LPXN	29.27	165.57	309.83	291.04	1015.93	206.94	379.04	165.57	647.07	195.72	236.21	281.09	447.82	269.6	470.14	1268.46	825.0	363.56	603.67	1059.11	228.13	674.59	796.86	674.59	890.44	214.27	224.97	255.0	239.52	1417.35	460.44	660.68	248.0	796.86	275.28	295.11	366.09	139.07	316.37	343.89	878.17	397.93	265.87	1331.57	406.31	718.08	279.14	323.03	154.42	669.92	551.56	297.17	314.17	583.07	733.19	947.83	256.78	1304.15	392.44	486.75	780.44	358.54	283.05	368.65	813.63	223.41	214.27	346.29	305.55	339.14	688.78	995.0	723.08	251.48	497.0	318.57	281.09	381.68	1487.87	392.44	1030.12	460.44	232.94	1331.57	909.17	567.1	842.36	854.13	348.71	241.19	708.18	320.8	536.45	275.28	624.99	217.27	232.94	277.2	665.29
LST1	173.85	123.5	713.11	854.13	2417.67	497.0	1794.29	647.07	1991.0	165.57	232.94	866.07	1135.2	297.17	1498.22	2573.36	2645.74	1159.07	1896.65	3467.27	397.93	2485.67	2609.3	2224.63	3039.3	603.67	1225.22	698.41	884.29	3540.14	629.35	3103.19	1397.83	2090.03	775.05	612.11	1769.57	470.14	642.59	1331.57	2816.11	1427.22	819.3	2777.33	890.44	2090.03	1857.6	480.04	195.72	3901.01	1519.15	808.0	1081.39	2434.5	2976.74	2664.15	525.39	3212.66	1909.85	1350.18	2090.03	348.71	1540.37	1143.1	2075.59	587.13	397.93	420.68	1757.34	1250.98	3103.19	2148.82	3060.45	1378.57	1359.57	808.0	981.29	536.45	2485.67	2537.92	3540.14	1104.13	1225.22	3419.52	2875.3	1233.75	2178.83	2163.77	575.03	346.29	2835.7	575.03	1561.89	1268.46	1844.76	587.13	429.54	698.41	1583.71
LYL1	32.82	63.45	158.79	201.25	173.85	181.28	206.94	144.01	84.63	66.65	110.43	191.67	177.53	49.91	199.85	289.02	232.94	98.73	273.37	301.33	108.14	129.69	283.05	356.05	226.54	77.25	198.47	108.14	98.04	341.51	155.5	275.28	177.53	366.09	332.14	57.08	242.88	295.11	273.37	190.34	231.32	127.89	185.11	336.79	113.56	320.8	62.12	110.43	98.73	518.15	170.25	176.29	137.14	327.56	412.0	264.03	118.43	312.0	228.13	223.41	228.13	51.71	232.94	171.45	149.12	104.42	126.12	104.42	273.37	140.04	249.73	293.07	255.0	161.02	169.07	125.24	70.01	69.03	267.73	279.14	341.51	185.11	143.01	381.68	371.22	115.97	249.73	269.6	190.34	102.25	299.25	116.78	241.19	117.6	275.28	65.26	91.41	150.17	202.66
MAP4K1	89.51	8.45	95.34	146.03	353.59	49.21	98.73	59.55	242.88	48.18	23.08	150.17	277.2	76.17	153.34	988.12	500.46	226.54	190.34	947.83	80.01	187.71	323.03	246.28	417.77	77.25	30.56	115.97	80.57	941.27	88.88	156.59	91.41	595.34	90.14	96.68	186.4	39.22	228.13	119.26	638.15	348.71	53.19	693.58	237.86	497.0	20.71	166.73	25.17	246.28	136.19	76.71	136.19	299.25	490.14	848.22	62.56	647.07	107.38	185.11	256.78	74.06	69.03	101.54	291.04	51.71	63.0	59.55	215.77	202.66	447.82	599.49	438.59	74.58	236.21	98.73	65.72	66.18	819.3	348.71	559.28	190.34	80.01	1030.12	426.57	147.06	305.55	500.46	171.45	35.25	551.56	99.43	438.59	163.28	336.79	155.5	55.1	114.36	363.56
MYO1F	36.79	8.58	273.37	236.21	567.1	154.42	348.71	163.28	400.71	94.01	149.12	186.4	463.65	152.28	363.56	1378.57	656.11	265.87	426.57	1159.07	154.42	368.65	540.19	387.02	540.19	97.36	138.1	180.02	172.65	1417.35	239.52	490.14	312.0	872.1	253.23	237.86	229.72	74.06	309.83	205.5	1015.93	607.87	119.26	1159.07	305.55	638.15	157.68	258.57	70.01	967.76	591.22	124.37	285.03	954.43	759.08	769.69	232.94	1457.23	470.14	271.48	612.11	156.59	228.13	205.5	271.48	320.8	215.77	98.04	395.18	483.38	813.63	693.58	1015.93	161.02	647.07	229.72	177.53	146.03	1127.35	698.41	571.05	226.54	189.02	1561.89	723.08	379.04	647.07	470.14	403.5	84.04	733.19	109.66	493.56	320.8	612.11	151.22	156.59	221.86	363.56
NCKAP1L	18.7	1.53	241.19	180.02	981.29	94.67	239.52	83.45	403.5	44.89	43.02	75.64	255.0	103.69	299.25	791.35	555.41	177.53	392.44	808.0	112.77	314.17	660.68	579.04	728.11	65.72	122.64	147.06	152.28	1628.26	176.29	435.55	171.45	423.61	111.99	148.09	182.55	75.64	173.85	279.14	698.41	316.37	126.12	1883.54	151.22	447.82	158.79	144.01	25.17	466.88	363.56	130.6	226.54	476.71	616.37	567.1	164.42	1359.57	258.57	267.73	447.82	189.02	178.77	197.09	195.72	85.82	167.9	88.26	133.36	167.9	595.34	698.41	507.46	153.34	429.54	241.19	327.56	123.5	1119.56	312.0	540.19	329.84	132.44	928.3	490.14	285.03	660.68	493.56	113.56	90.14	423.61	108.14	297.17	144.01	503.95	107.38	157.68	162.14	258.57
NDUFA4L2	327241.36	195.72	59474.18	73221.53	44452.21	51417.5	83528.61	55491.3	90773.53	37901.36	42937.97	71714.63	124000.67	60723.88	88905.42	30572.63	93325.55	96616.71	51775.15	31432.17	44761.41	85283.74	55107.99	57051.4	77396.54	120609.84	96616.71	79572.48	67377.47	41763.8	65535.0	88905.42	76330.98	69753.56	61571.56	63302.6	93325.55	66449.85	72213.45	81809.59	52497.92	72715.74	81809.59	38966.94	91404.92	94628.34	90146.51	70238.75	52135.28	65535.0	102836.01	77934.88	97288.74	42641.37	67846.12	70727.3	61571.56	52863.07	167058.21	102836.01	69753.56	42937.97	100023.92	79572.48	162489.97	54349.29	53973.86	93325.55	97288.74	93974.69	64632.75	51775.15	75280.1	95286.54	71714.63	68318.04	109455.64	52497.92	43840.21	96616.71	81809.59	95949.32	73221.53	42054.3	65535.0	87681.42	85283.74	71219.26	97288.74	92040.7	88905.42	118127.7	72715.74	124000.67	38164.99	94628.34	38164.99	71714.63	90773.53
PARVG	31.22	8.19	256.78	237.86	764.36	117.6	305.55	84.63	507.46	86.43	110.43	157.68	395.18	137.14	323.03	1519.15	915.51	366.09	514.56	1191.69	100.83	587.13	759.08	616.37	769.69	86.43	197.09	173.85	229.72	1806.78	303.44	571.05	507.46	981.29	384.34	231.32	320.8	116.78	379.04	307.69	1175.27	616.37	166.73	1175.27	438.59	723.08	289.02	152.28	43.32	1191.69	836.53	175.07	420.68	1037.29	954.43	1159.07	264.03	1561.89	616.37	417.77	748.61	132.44	299.25	229.72	540.19	277.2	118.43	92.7	303.44	684.02	1208.34	1037.29	1397.83	220.32	595.34	231.32	199.85	356.05	1437.15	791.35	909.17	281.09	221.86	1870.53	967.76	563.18	819.3	693.58	265.87	111.99	819.3	177.53	764.36	417.77	819.3	185.11	145.02	194.36	674.59
PSTPIP1	92.05	1.73	115.16	97.36	353.59	50.63	103.69	37.05	171.45	22.1	36.27	112.77	220.32	30.56	158.79	1044.52	500.46	139.07	116.78	624.99	28.04	158.79	343.89	165.57	271.48	34.75	54.33	80.01	64.8	830.75	67.59	120.94	115.97	486.75	111.21	59.13	138.1	39.22	172.65	120.94	647.07	334.46	47.84	514.56	223.41	376.41	72.01	178.77	20.56	301.33	173.85	55.1	105.15	255.0	368.65	860.08	47.84	493.56	111.99	177.53	241.19	29.7	134.3	72.01	248.0	50.98	55.89	38.67	194.36	133.36	373.81	555.41	441.64	68.07	246.28	78.34	62.56	48.52	808.0	297.17	389.72	102.97	80.57	1322.37	540.19	205.5	226.54	429.54	202.66	36.27	466.88	63.45	450.94	146.03	371.22	232.94	42.71	122.64	262.2
PTPN6	1529.73	500.46	830.75	909.17	1674.06	743.43	1487.87	674.59	1407.55	514.56	713.11	1208.34	1111.82	595.34	1407.55	2573.36	3018.3	1023.0	1350.18	2664.15	764.36	1757.34	2075.59	1447.15	2004.85	1037.29	791.35	684.02	961.07	2816.11	967.76	1651.0	1081.39	1733.13	872.1	785.88	941.27	780.44	1081.39	1037.29	2682.69	2451.44	967.76	2720.15	1250.98	2240.11	1008.9	947.83	759.08	2303.12	1508.65	947.83	1208.34	1639.59	1909.85	2956.17	629.35	1870.53	1519.15	1350.18	2434.5	518.15	1437.15	1044.52	1883.54	473.41	764.36	1143.1	1498.22	1111.82	1991.0	2520.38	2047.0	1104.13	1709.26	842.36	1104.13	723.08	2701.35	2609.3	3168.41	1135.2	1073.91	3081.75	1832.01	1208.34	1883.54	2875.3	1322.37	748.61	2335.28	684.02	1617.0	1709.26	1651.0	1030.12	503.95	759.08	1733.13
PTPN7	125.24	55.49	70.01	106.63	447.82	35.25	110.43	24.46	214.27	21.63	11.04	120.1	177.53	45.53	126.12	909.17	483.38	138.1	136.19	656.11	29.27	150.17	376.41	198.47	441.64	48.52	42.41	69.03	57.89	669.92	77.79	102.25	74.58	368.65	38.12	67.59	120.94	29.7	147.06	90.77	629.35	285.03	44.57	633.73	171.45	336.79	72.52	150.17	20.56	190.34	56.28	77.79	121.79	208.38	429.54	896.64	50.27	547.75	56.68	155.5	208.38	62.12	70.51	76.71	244.57	56.68	54.33	65.72	134.3	93.35	403.5	507.46	473.41	55.89	228.13	78.34	86.43	46.5	1023.0	173.85	587.13	140.04	72.52	1313.23	279.14	157.68	217.27	543.96	163.28	32.82	441.64	44.25	320.8	127.0	341.51	167.9	58.3	76.17	271.48
RGS19	325.29	74.58	229.72	318.57	540.19	228.13	387.02	164.42	231.32	176.29	82.29	262.2	293.07	199.85	323.03	607.87	738.29	320.8	688.78	698.41	206.94	409.15	591.22	769.69	651.58	312.0	320.8	221.86	293.07	836.53	358.54	819.3	316.37	718.08	329.84	199.85	373.81	301.33	307.69	348.71	612.11	409.15	267.73	1208.34	346.29	616.37	214.27	409.15	181.28	738.29	406.31	343.89	540.19	503.95	743.43	612.11	217.27	896.64	525.39	480.04	583.07	258.57	435.55	307.69	483.38	195.72	201.25	191.67	426.57	316.37	599.49	753.83	493.56	291.04	473.41	267.73	412.0	223.41	934.76	417.77	1081.39	432.53	273.37	808.0	507.46	551.56	603.67	587.13	371.22	151.22	660.68	264.03	642.59	260.38	420.68	279.14	204.07	241.19	420.68
RNF175	7.69	0.0	8.32	8.65	10.47	9.06	8.78	4.58	7.34	0.38	2.92	4.21	9.63	2.68	18.97	47.84	15.68	19.82	16.88	45.85	5.11	9.34	22.92	18.7	23.25	2.92	2.27	3.5	2.84	69.52	11.64	33.06	19.39	28.45	16.03	5.28	15.45	11.04	13.52	6.16	30.34	18.84	4.46	47.84	4.78	24.28	5.28	0.42	6.41	31.45	75.11	3.0	26.47	43.02	26.47	41.22	8.78	119.26	20.26	38.4	29.48	6.21	10.79	6.73	14.89	17.77	6.01	7.22	13.42	17.13	39.5	20.71	28.04	9.48	6.36	4.58	29.91	7.22	69.03	23.42	23.08	7.4	4.03	65.26	28.45	34.26	104.42	17.9	8.25	3.76	16.88	2.1	21.01	5.92	31.0	15.91	5.73	3.66	29.06
SASH3	75.64	7.28	209.84	267.73	974.5	83.45	289.02	108.14	483.38	64.34	55.89	165.57	351.14	130.6	351.14	1119.56	764.36	307.69	497.0	1111.82	102.97	486.75	603.67	587.13	961.07	85.22	159.9	171.45	205.5	1397.83	256.78	412.0	185.11	567.1	120.1	114.36	258.57	84.04	249.73	309.83	967.76	595.34	146.03	1322.37	295.11	665.29	242.88	314.17	43.63	848.22	356.05	185.11	236.21	450.94	759.08	915.51	148.09	1191.69	293.07	366.09	591.22	153.34	239.52	201.25	432.53	124.37	193.01	152.28	387.02	198.47	703.28	1037.29	759.08	152.28	559.28	256.78	173.85	114.36	1477.58	316.37	872.1	384.34	198.47	1551.09	620.67	387.02	718.08	890.44	295.11	125.24	708.18	128.79	500.46	208.38	595.34	157.68	148.09	170.25	435.55
SELPLG	133.36	10.79	329.84	316.37	698.41	187.71	400.71	208.38	460.44	82.29	96.68	239.52	591.22	241.19	624.99	854.13	743.43	299.25	647.07	1191.69	204.07	555.41	684.02	961.07	575.03	189.02	287.01	244.57	309.83	1175.27	271.48	775.05	320.8	961.07	185.11	147.06	429.54	163.28	297.17	486.75	1001.93	587.13	265.87	2032.85	363.56	1350.18	150.17	563.18	82.87	866.07	555.41	346.29	480.04	507.46	1001.93	679.29	211.31	819.3	500.46	518.15	748.61	231.32	447.82	460.44	507.46	150.17	223.41	153.34	397.93	273.37	866.07	1151.06	660.68	336.79	521.76	476.71	318.57	167.9	1143.1	470.14	1322.37	457.25	381.68	1208.34	934.76	389.72	941.27	679.29	376.41	139.07	813.63	265.87	842.36	320.8	476.71	277.2	195.72	376.41	583.07
SNX20	37.05	2.76	67.12	83.45	318.57	29.7	101.54	28.04	144.01	16.03	12.45	52.82	114.36	43.94	105.15	514.56	287.01	99.43	199.85	441.64	28.65	144.01	314.17	236.21	387.02	30.12	44.25	58.3	58.3	669.92	55.89	153.34	57.49	275.28	33.06	42.71	72.01	36.53	79.45	98.04	356.05	234.57	46.18	518.15	77.79	279.14	49.56	70.51	18.56	182.55	77.25	55.49	72.52	150.17	351.14	397.93	50.27	543.96	87.03	121.79	211.31	57.08	88.26	87.65	156.59	32.36	47.84	43.63	93.35	51.35	327.56	358.54	299.25	57.08	176.29	63.45	67.59	37.85	759.08	134.3	329.84	83.45	67.12	665.29	358.54	106.63	258.57	348.71	77.25	35.5	303.44	23.59	201.25	63.89	237.86	52.45	35.76	56.68	223.41
TMC8	100.83	7.57	122.64	103.69	332.14	51.71	108.9	49.91	170.25	48.87	49.91	85.22	275.28	62.12	164.42	825.0	412.0	185.11	153.34	775.05	57.08	133.36	267.73	214.27	305.55	34.02	61.68	80.01	72.52	1073.91	149.12	115.16	148.09	514.56	152.28	64.8	186.4	39.79	260.38	131.51	703.28	258.57	43.32	511.0	229.72	244.57	33.06	150.17	30.56	307.69	218.79	63.89	113.56	392.44	395.18	854.13	78.89	551.56	150.17	152.28	226.54	58.3	89.51	92.7	218.79	56.28	62.12	39.22	183.82	197.09	444.72	536.45	651.58	78.34	309.83	99.43	64.8	54.33	819.3	339.14	417.77	132.44	86.43	1225.22	320.8	128.79	260.38	409.15	289.02	40.93	497.0	64.34	409.15	138.1	444.72	189.02	53.57	118.43	217.27
TNFAIP8L2	19.68	14.35	138.1	147.06	387.02	78.89	271.48	88.88	149.12	27.64	33.78	143.01	204.07	75.11	231.32	432.53	412.0	239.52	432.53	679.29	81.71	417.77	514.56	409.15	454.09	75.11	120.1	118.43	110.43	521.76	132.44	599.49	120.94	320.8	127.89	82.87	191.67	72.52	115.97	264.03	497.0	279.14	164.42	698.41	169.07	371.22	175.07	78.34	25.54	620.67	271.48	138.1	336.79	371.22	599.49	490.14	54.33	669.92	281.09	234.57	387.02	99.43	361.04	189.02	299.25	106.63	80.01	78.34	224.97	111.99	518.15	493.56	525.39	185.11	262.2	134.3	117.6	50.63	738.29	327.56	603.67	246.28	177.53	551.56	457.25	194.36	346.29	463.65	140.04	86.43	486.75	95.34	480.04	159.9	400.71	79.45	66.18	97.36	325.29
VAV1	150.17	3.26	114.36	109.66	444.72	59.55	153.34	53.95	145.02	31.22	38.12	72.52	171.45	113.56	170.25	547.75	343.89	195.72	232.94	497.0	53.57	209.84	341.51	277.2	368.65	42.11	81.14	67.59	87.03	813.63	107.38	241.19	110.43	244.57	81.14	93.35	108.9	40.36	112.77	142.01	403.5	212.78	75.11	890.44	110.43	420.68	145.02	84.04	19.11	376.41	242.88	84.63	149.12	297.17	384.34	417.77	78.89	674.59	165.57	146.03	265.87	69.03	127.89	116.78	171.45	82.29	84.63	62.56	141.02	76.17	341.51	450.94	307.69	106.63	236.21	115.97	251.48	50.63	748.61	211.31	356.05	147.06	79.45	616.37	316.37	234.57	299.25	339.14	81.71	57.89	285.03	45.85	212.78	113.56	332.14	63.45	68.07	83.45	176.29
WAS	30.12	8.78	220.32	241.19	660.68	127.0	297.17	125.24	507.46	59.13	66.18	209.84	387.02	132.44	423.61	1059.11	878.17	301.33	503.95	1135.2	127.89	497.0	500.46	514.56	995.0	130.6	170.25	167.9	187.71	1551.09	175.07	532.74	277.2	830.75	211.31	191.67	303.44	77.25	325.29	332.14	988.12	629.35	172.65	1304.15	277.2	780.44	189.02	242.88	46.18	884.29	490.14	190.34	343.89	647.07	723.08	1066.48	197.09	1295.13	363.56	414.87	536.45	149.12	309.83	285.03	329.84	137.14	163.28	107.38	341.51	325.29	1001.93	1023.0	651.58	223.41	473.41	281.09	163.28	153.34	1159.07	607.87	1277.29	295.11	205.5	1322.37	703.28	532.74	551.56	791.35	267.73	115.16	743.43	133.36	514.56	231.32	616.37	147.06	159.9	206.94	493.56
