	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.ZF.A9RF.01A.11R.A38B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.S4Z8.0426.SM.3K2AH	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.P4QS.0526.SM.2I3ET	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.PWOO.0726.SM.2I3EB	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.FY.A3RA.01A.11R.A220.07
PHACTR3	0.67	0.0	0.0	0.0	0.61	1540.37	1096.5	11.04	363.56	92.05	223.41	99.43	665.29	819.3	83.45	137.14	2.34	193.01	169.07	1313.23	59.13	201.25	854.13	181.28	4123.49	153.34	51.71	674.59	224.97	197.09	32.13	1277.29	221.86	99.43	244.57	14.56	187.71	43.02	0.23	42.71	1295.13	31.67	236.21	221.86	1044.52	131.51	50.27	4.74	244.57	62.12	529.06	153.34	397.93	559.28	18.29	11.13	17.51	2.92	10.47	1.2	7.11	2.07	19.53	29.91	6.31	20.11	5.82	8.78	65.72	11.55
PIP5K1B	13.52	14.35	8.71	0.0	0.12	1583.71	2664.15	395.18	1388.16	1769.57	1216.75	813.63	1950.0	2956.17	1572.76	981.29	460.44	718.08	1437.15	2032.85	1832.01	728.11	1073.91	2682.69	2997.45	1936.53	1529.73	785.88	1662.49	941.27	860.08	934.76	1216.75	521.76	1191.69	295.11	1225.22	551.56	102.25	860.08	2777.33	1487.87	1044.52	1477.58	759.08	974.5	323.03	371.22	961.07	1639.59	1487.87	1806.78	1151.06	2287.2	34.26	5.68	33.06	4.35	28.65	7.63	102.97	58.71	55.49	19.97	37.85	19.53	42.11	14.03	13.22	23.25
PKHD1	0.0	0.0	0.0	0.0	0.0	3.79	3.82	0.71	0.67	19.53	4.94	0.72	5.63	0.61	3.5	0.64	0.71	4.78	0.59	3.47	1.95	0.0	2.1	10.39	3.53	1.95	1.83	1.87	3.63	0.69	3.35	0.82	17.38	0.62	2.05	0.0	1.85	0.73	0.78	5.87	1.83	0.0	1.97	1.87	7.75	0.0	0.0	0.0	0.65	11.47	0.66	5.63	9.78	0.67	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.66	0.0	0.0	0.0	0.36
PLLP	31.45	193.01	24.46	0.0	0.4	1950.0	6294.04	1304.15	5594.3	6935.54	3190.46	748.61	3768.09	7081.29	6607.01	3515.68	1233.75	2178.83	3124.78	5366.37	5255.91	1769.57	2591.27	4575.41	4937.99	3081.75	3515.68	2468.49	2591.27	1950.0	1909.85	2367.9	5112.16	1331.57	3039.3	928.3	3742.05	1529.73	733.19	2133.97	5112.16	1199.98	3257.52	4575.41	5954.47	2468.49	1073.91	1037.29	3589.58	5255.91	2417.67	4038.61	5479.15	3419.52	275.28	52.45	107.38	140.04	223.41	205.5	221.86	161.02	169.07	77.25	228.13	176.29	153.34	173.85	237.86	70.51
PMM1	567.1	511.0	967.76	0.0	0.0	2032.85	4123.49	1286.18	1844.76	4358.66	1498.22	1709.26	4903.87	2682.69	3564.78	1806.78	603.67	1583.71	1001.93	2701.35	2855.44	1159.07	3372.43	2777.33	2502.97	3103.19	4210.15	2451.44	2664.15	1208.34	1378.57	2417.67	3257.52	1437.15	2816.11	1051.79	3564.78	1359.57	1721.16	4575.41	3742.05	1191.69	3168.41	2351.53	7331.05	3515.68	743.43	1127.35	1313.23	4671.57	1674.06	5954.47	2997.45	1977.24	684.02	647.07	599.49	490.14	629.35	674.59	733.19	665.29	651.58	656.11	536.45	559.28	785.88	616.37	728.11	669.92
PTCHD1	0.0	0.0	0.0	0.0	0.0	7.34	3.35	8.92	0.93	5.92	17.9	3.69	9.2	0.08	28.86	7.51	4.86	25.91	2.58	1.46	28.45	7.22	22.26	4.17	17.13	7.0	7.28	3.0	10.79	6.67	13.12	15.45	5.45	4.35	19.97	1.45	4.74	14.67	3.96	4.5	23.25	0.09	11.55	43.94	11.91	13.32	0.87	1.77	3.35	9.48	62.12	10.79	1.85	12.93	2.18	0.0	1.07	0.0	1.69	0.0	0.0	0.0	1.04	1.04	1.58	0.0	1.66	3.44	1.01	0.0
RHOBTB2	102.97	67.12	131.51	0.0	0.3	3395.89	6121.9	1896.65	3589.58	8479.89	5076.84	4736.79	6426.31	4450.27	9409.14	4298.64	3325.99	3349.13	5479.15	4607.24	7280.4	5329.3	5831.91	3419.52	2935.74	3060.45	4481.23	2627.46	4903.87	4512.4	3303.0	5329.3	4937.99	3491.39	7485.11	2537.92	4769.75	4123.49	3665.02	3820.7	6337.83	5403.7	6471.02	5479.15	11424.74	3847.29	2701.35	4268.94	6164.49	5995.9	5872.48	4869.99	4704.07	6294.04	595.34	438.59	599.49	743.43	884.29	698.41	723.08	429.54	854.13	620.67	642.59	603.67	529.06	525.39	381.68	753.83
RTKN2	13.12	73.54	28.45	0.0	0.0	1127.35	2997.45	220.32	1059.11	1870.53	2701.35	293.07	2555.58	1369.04	2573.36	1388.16	239.52	738.29	909.17	2895.31	1467.37	417.77	1119.56	2090.03	2148.82	4181.07	1397.83	1175.27	753.83	684.02	1037.29	429.54	3372.43	688.78	2351.53	178.77	1936.53	764.36	343.89	1639.59	1662.49	599.49	579.04	2240.11	1519.15	941.27	503.95	234.57	507.46	2178.83	909.17	1340.84	3467.27	1651.0	26.86	4.28	8.32	6.57	10.16	6.62	8.38	4.13	5.02	5.06	3.44	5.19	10.31	4.1	27.84	9.13
SAMD5	4.17	0.64	3.38	6.89	56.28	55.1	381.68	23.59	87.65	163.28	197.09	33.3	87.03	289.02	143.01	113.56	111.21	83.45	73.54	88.26	70.01	98.04	100.13	162.14	59.13	92.7	72.01	93.35	206.94	68.55	105.89	18.29	49.21	18.43	118.43	26.1	121.79	37.05	28.04	36.01	412.0	64.8	26.47	50.98	79.45	29.91	84.04	27.44	37.85	64.34	10.63	37.05	271.48	45.21	2.89	2.58	6.36	11.91	2.81	8.25	2.61	0.75	2.34	2.97	3.76	3.72	11.3	9.85	7.94	3.72
SCN7A	0.0	0.0	0.57	0.0	0.42	1059.11	1277.29	126.12	476.71	2209.26	1322.37	327.56	1127.35	981.29	1088.92	1051.79	4.24	271.48	599.49	5329.3	1447.15	409.15	1127.35	3395.89	5555.65	1674.06	368.65	974.5	353.59	260.38	289.02	249.73	1030.12	607.87	567.1	76.17	2555.58	191.67	7.82	698.41	2537.92	171.45	353.59	796.86	414.87	420.68	54.33	22.1	334.46	3190.46	684.02	444.72	1697.45	854.13	2.2	1.64	2.89	1.6	2.32	1.62	1.64	1.6	2.81	2.25	29.91	4.39	6.78	1.66	9.7	0.0
SFTPB	5.41	11.04	3.35	22692.63	50709.61	3383299.76	3049200.37	1556634.79	2156109.97	3290783.22	1984025.69	2965819.8	2326934.84	1668359.93	2617937.91	2263304.65	1929772.37	1825675.85	1890058.21	1645391.11	2025714.3	2310861.52	2343119.96	1715263.94	2186208.16	1493223.86	1589343.01	1422501.74	2767207.65	1645391.11	1212874.47	3007221.12	2691538.19	2408994.05	2825352.59	875652.15	2884719.27	2986448.72	805764.22	2691538.19	3223059.86	2845004.48	1524599.69	2375828.71	3156730.23	5057523.59	762299.34	2493947.08	2068278.89	2599854.48	3245478.02	2359417.65	2216726.5	2263304.65	19892.37	1639.59	10959.3	1662.49	23656.34	6792.79	23009.42	1388.16	2816.11	3614.55	8363.13	3716.2	3325.99	9945.68	11745.96	4268.94
UNC13B	171.45	191.67	195.72	0.0	0.55	1870.53	2335.28	651.58	1159.07	3515.68	2032.85	438.59	1781.89	2104.58	2319.15	1191.69	679.29	3235.01	1233.75	1963.57	3794.3	1159.07	1883.54	3395.89	2224.63	2367.9	1794.29	1594.73	1529.73	1369.04	1870.53	2004.85	3982.99	1059.11	4704.07	974.5	1870.53	480.04	395.18	3955.48	2537.92	1769.57	2047.0	2627.46	4543.8	1277.29	483.38	551.56	1331.57	3395.89	1529.73	1794.29	3395.89	3039.3	291.04	154.42	199.85	305.55	279.14	215.77	255.0	173.85	202.66	246.28	293.07	221.86	176.29	228.13	265.87	353.59
WFS1	339.14	177.53	476.71	187.71	108.14	1498.22	4038.61	988.12	2758.13	4903.87	2682.69	629.35	2319.15	2645.74	2591.27	1662.49	1233.75	1023.0	1628.26	4575.41	1628.26	1304.15	2163.77	2417.67	2133.97	2664.15	1397.83	1896.65	1909.85	1605.83	1697.45	1832.01	2816.11	1540.37	3665.02	995.0	2417.67	2224.63	567.1	2047.0	3103.19	1242.34	2417.67	2816.11	3928.15	2047.0	1023.0	1015.93	1896.65	2895.31	1561.89	2090.03	2537.92	2255.7	486.75	403.5	447.82	555.41	379.04	251.48	493.56	432.53	307.69	420.68	583.07	511.0	379.04	571.05	567.1	660.68
ZNF385B	0.35	3.47	4.5	0.0	0.06	1651.0	2417.67	967.76	1331.57	3303.0	1857.6	1322.37	3928.15	2303.12	1519.15	1870.53	624.99	1199.98	1529.73	1963.57	5219.6	1674.06	2287.2	2367.9	2224.63	3491.39	3257.52	974.5	1561.89	2287.2	633.73	2976.74	4123.49	1832.01	4419.52	543.96	2835.7	1350.18	493.56	5633.22	3280.18	1950.0	1143.1	1819.35	5183.54	2739.08	493.56	1159.07	1135.2	3018.3	2835.7	5219.6	3039.3	4358.66	4.46	3.5	7.57	2.51	2.25	3.86	1.16	0.0	13.83	19.53	1.64	3.06	6.62	13.83	7.0	2.12
ZNF69	13.72	18.03	58.71	0.0	0.27	57.49	116.78	48.87	111.99	128.79	175.07	52.82	283.05	148.09	366.09	117.6	22.26	80.01	94.67	113.56	256.78	61.25	103.69	129.69	125.24	231.32	137.14	100.13	161.02	152.28	42.41	34.51	191.67	85.22	145.02	77.25	241.19	32.36	187.71	103.69	303.44	53.95	258.57	78.34	81.71	116.78	69.03	78.89	78.34	190.34	98.73	217.27	209.84	127.0	45.85	53.95	81.14	74.06	44.25	53.95	42.41	86.43	76.71	78.34	63.89	47.84	77.25	67.59	72.52	44.57
